Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Genuine Parts Company', '3.5']",http://www.napaautojobs.com/,Software Engineer,"Atlanta, GA",$76K - $113K (Glassdoor est.),"Company Background:
Genuine Parts Company (“GPC” or the “Company”), founded in 1928 and based in Atlanta, Georgia, is a leading distributor of automotive and industrial replacement parts and value-added services. The Company operates a global portfolio of businesses with more than 10,000 locations across the world. GPC has approximately 50,000 global employees. The Company has operations in the United States, Canada, Mexico, Australia, New Zealand, Indonesia, Singapore, France, the U.K., Germany, Poland, the Netherlands, Belgium, Spain and China.

Position Purpose:
The Software Engineer, Inventory will be responsible for development of NAPA’s next generation Inventory capabilities. This individual will be part of a team that provides centralized inventory and services serving a store base of 6,700 stores in the U.S. and Canada and their customers. The individual will work with Team Leads, Architects, Product Managers, and other developers to provide a best-in-class solution for NAPA customers and stores.",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846c2de809833524466bf8db33&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_013a160f&cb=1668262265208&jobListingId=1008268741121&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm2rq1ritmu801-1ghm2rq2ei9iu800-9786566e42645502--6NYlbfkN0Bd6ahwT5cImKA-OBbAWOijFAWrnIDZWjGD5UgchOEkFz52JsEL6rBVhYm_U0bL6IRV6_lkJlE0nUbrpuusqowwzubf8Nk5TJr9WypmINiuPOUnKW0LnO5bv0oSbukpeJq6UYjzA1j9LrqpF-d4dT5bGHBcfbbmBlK5lbj3iZcN4gRbWFOmC8e7lUgTokr_m6HBg3tJ7l02saVqQuZy0S3VdO-SL_M8bev4KZKCa4L65rurRLriZAYALhlNvKKB114AVra-3czjhd7sSkoCQ3Ecx753CMnl-jKUxlnDUOx5gB7sRaDG9FQTkwe3u_GIUYkYxGz5fp5FAc-jeGJJstyF5PWc4S-6VQjsAxGDUmppRBdnCVp3GIob1ZULoAJFCpblJqxj-0PEKYVP7eyyTQG8rZUpmlvEdIoZt9o4YlforbRoybBOmf7brWtOYm9ejDB8pP3kOGbsopLXJhT0i3MtVvR-2ZeCw73f7yloiZmIMQp6TTW38Jbx
"['Genuine Parts Company', '3.5']",http://www.napaautojobs.com/,Software Engineer,"Atlanta, GA",$76K - $113K (Glassdoor est.),"Company Background:
Genuine Parts Company (“GPC” or the “Company”) founded in 1928 and based in Atlanta, Georgia, is a leading distributor of automotive and industrial replacement parts and value-added services. The Company operates a global portfolio of businesses with more than 10,000 locations across the world. GPC has approximately 50,000 global employees. The Company has operations in the United States, Canada, Mexico, Australia, New Zealand, Indonesia, Singapore, France, the U.K., Germany, Poland, the Netherlands, Belgium, Spain, and China.
Position Purpose:
The Software Engineer, Payments will be responsible for development of NAPA’s next generation Payment capabilities. This individual will be part of a team that provides payment systems and services serving a store base of 6,700 stores in the U.S. and Canada and their customers. The individual will work with Team Leads, Architects, Product Managers, and other developers to provide a best-in-class solution for NAPA customers and stores.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846c2de809833524466bf8db33&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a69ec884&cb=1668262267021&jobListingId=1008138454348&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm2rq1ritmu801-1ghm2rq2ei9iu800-521cab0ff8a4dd00--6NYlbfkN0Bd6ahwT5cImKA-OBbAWOijFAWrnIDZWjGD5UgchOEkFz52JsEL6rBVhYm_U0bL6ITugQsPJhSiWnlWzgpZbdPbOpWdIufHTZJ3H8KDQJMMEanJegoIXzrMgz0bQjYMIVfgo2o1IwkQ5apeyQJfdoz1wQoP7FpFMLAZulyZmBw34ajMZg-fZW77Og_Bepf73ROO0PFBKgZGUKRbzee9sz5xG64gBozS-YWUbpvlHyez4g6x2kUqHG4VktaxQZXq-tq5EeVBq3rEcWztY2I7DkWeLa7_8eFWsszphGjWVSz_5q_F9QlOzKepyJlEO_aOl07xGrP97wW2Fz5XB0f69_luBGcEo4GD6UUEq74KzoMJtkKPOJ70xYTcURPLVn0_2rNXzC_XOrYYR77vyKrNPCf9eGpFbUM_M3PRygm1jxF2M3VOQGr3cCVmog3xXCy5OJdH6RJZGod6Y7mD1NXiTDU57uCMDRwU8yRnl0cBlsAvDPAuJNZnHLYu
"['Genuine Parts Company', '3.5']",http://www.napaautojobs.com/,Software Engineer,"Atlanta, GA",$76K - $113K (Glassdoor est.),"Company Background:
Genuine Parts Company (“GPC” or the “Company”), founded in 1928 and based in Atlanta, Georgia, is a leading specialty distributor engaged in the distribution of automotive and industrial replacement parts and value-added services. The Company operates a global portfolio of businesses with more than 10,000 locations across the world. GPC has approximately 50,000 global employees. The Company has operations in the United States, Canada, Mexico, Australia, New Zealand, Indonesia, Singapore, France, the U.K., Germany, Poland, the Netherlands, Belgium, Spain and China.

Position Purpose:
Seeking world-class talent to join the world’s leading distributor of automotive and industrial replacement parts and value-added services operating 5,500+ locations and servicing more than 20,000 locations in the U.S and Canada. Specifically, this role will function as the head of engineering to architect the next generation Commerce platforms for GPC. Working with a highly talented team, you'll play a leadership role to build and run one of the world’s largest automotive and industrial replacement parts operations.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846c2de809833524466bf8db33&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0749be11&cb=1668262271019&jobListingId=1007614215836&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm2rq1ritmu801-1ghm2rq2ei9iu800-4eb897134ccebbd1--6NYlbfkN0Bd6ahwT5cImKA-OBbAWOijFAWrnIDZWjGD5UgchOEkFz52JsEL6rBVhYm_U0bL6IRfYHtXqbP1JvSjD71rGh9kTFhJ-GasfpJ1XZjx7_S8Yp0kCfy5Z5tOA6QWCCF7kGnn1PUjl_BhNwQsDcT3cDTeM8_nfgJqo5GwUKHbAXTU6gqoT4rEV4KcW-tDmlVosqawkLtadHsv381RpSC_9FtmGHpbwOOTVDG-ox-HXHvOKkYy5p9V1FRA-VnqfCy6853e5ugZGJyDoWRiBD2ieF4dv2ICcbgDAh6cKWk8voxM1Nh8afmYbRt-nhPCphzLc47b55VX1rUogU68bQlfDWv9aQTfTXl-GsgEL2ccxkZ8KJM48MGKU5xWH_LeffM6k1udI39bmdcyxq9wn9aJHSQmwapuYCdekIdo_JZwfc0bCTOex4OjCgIK4bQp4DuhyjzzQUYQafTB9c7Nk3Y4ZaQEQsVlFH32RVjX_ECYs-u6UDfr3FJB_Hq8
"['Genuine Parts Company', '3.5']",http://www.napaautojobs.com/,Software Engineer,"Atlanta, GA",$76K - $113K (Glassdoor est.),"Company Background:
Genuine Parts Company (“GPC” or the “Company”), founded in 1928 and based in Atlanta, Georgia, is a leading distributor of automotive and industrial replacement parts and value-added services. The Company operates a global portfolio of businesses with more than 10,000 locations across the world. GPC has approximately 50,000 global employees. The Company has operations in the United States, Canada, Mexico, Australia, New Zealand, Indonesia, Singapore, France, the U.K., Germany, Poland, the Netherlands, Belgium, Spain, and China.

Position Purpose:
The Engineer, Store Systems will be responsible for development of NAPA’s next generation store system. This individual will be part of a team that provides Back Office and POS functionality in a whole-store technology solution serving the entire user community of over 6,700 stores in the U.S. and Canada. The individual will work with Product Owners, Team Leads, Architects, other developers and the Business to provide a best-in-class solution for NAPA stores.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846c2de809833524466bf8db33&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e1f2c7bc&cb=1668262275170&jobListingId=1007892636834&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm2rq1ritmu801-1ghm2rq2ei9iu800-ede1718c1f08e2e9--6NYlbfkN0Bd6ahwT5cImKA-OBbAWOijFAWrnIDZWjGD5UgchOEkFz52JsEL6rBVhYm_U0bL6IRhvqWL2cRHODaY2GpTcLrVewVFBi6TcW9U1lyGVNBZzRBsoLHTnfc_BeJUMvrhLH2-0dX_B-gw-Ex6diGR3t8BV3XRBfM-eaawgthmZFHHVITlvEupy_dAK54Mj33g4BvR8ZiBknIODwDd0hV3HmR2kG8NT6XeFzukZXEfqHOS4KboJXEww9OH3CxbUEFHr5Eh9f5T7EsNlJvuLYDVbb4Zvi_pXtciBxDL0On1Xo6nFH9r4hHuYaVNmmMCqsyNdauHvISPMjzFb8sfXD4zCe50sFNV8n-VX3V6_2R0GfRm9IkOH9oAChK_Cfx8GoI5Fb3iiasYL_HJeAlx1sisii-9isdTQdhs0JAHFbSzjJpUd1WsELxVqZKUskE5zVdHPao8_VBR3d1pSndGxmgo8S-UoJoj8g1kWthGMMWrLOjpR9RJzfLBd6aq
,,Software Engineer,"Atlanta, GA",$76K - $113K (Glassdoor est.),,30d+,
"['Genuine Parts Company', '3.5']",http://www.napaautojobs.com/,Software Engineer,"Atlanta, GA",$76K - $113K (Glassdoor est.),"Company Background:
Genuine Parts Company (“GPC” or the “Company”), founded in 1928 and based in Atlanta, Georgia, is a leading specialty distributor engaged in the distribution of automotive and industrial replacement parts and value-added services. The Company operates a global portfolio of businesses with more than 10,000 locations across the world. GPC has approximately 50,000 global employees. The Company has operations in the United States, Canada, Mexico, Australia, New Zealand, Indonesia, Singapore, France, the U.K., Germany, Poland, the Netherlands, Belgium, Spain and China.


Position Purpose:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846c2de809833524466bf8db33&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_30611558&cb=1668262282212&jobListingId=1007837811485&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm2rq1ritmu801-1ghm2rq2ei9iu800-2dda298b74b35e80--6NYlbfkN0Bd6ahwT5cImKA-OBbAWOijFAWrnIDZWjGD5UgchOEkFz52JsEL6rBVhYm_U0bL6ITTapQpHWc_eMTNYyac--8KMPugDXfJ-RcMeo2MPRXwd2ZExjNJ8S-vGfCgivZOvdfRTRmASPPl0IBsntfcO2vuH17cAuZZpvIJuvlvjRTMtM6eCZCxIpUaUsoSBfpoJ1S3hrKkGa0uKRxKpeFshozmufvSkInb58R6eM-umVZWlOJnFMtY4bYkEFFYsjJGtsDPlx5YO0h95cWqaSkDIWlkHaBokgQ58CpmRy4BHfYdHGGOiOnoS0nebvhtnKvlPw4fpGf2eqCtjWIZ6q5SZV5Jem1krqyLRa_Eg_IFUQByXjwoz3aGcDvUqz-ZTQGhos5zr9XVgbTXdwypAKgcyQ-a2ewex-Gd1Y4xDOVPL11bdSOisdKoK61cEj_FYNpbGP-iUljIlRsRh6ZjzZNuX2Ml4sl-a8_gRA_bF_1fu4GvxL3U7iWFDX0q
"['Genuine Parts Company', '3.5']",http://www.napaautojobs.com/,Software Engineer,"Atlanta, GA",$76K - $113K (Glassdoor est.),"Company Background:
Genuine Parts Company (“GPC” or the “Company”), founded in 1928 and based in Atlanta, Georgia, is a leading specialty distributor engaged in the distribution of automotive and industrial replacement parts and value-added services. The Company operates a global portfolio of businesses with more than 10,000 locations across the world. GPC has approximately 50,000 global employees. The Company has operations in the United States, Canada, Mexico, Australia, New Zealand, Indonesia, Singapore, France, the U.K., Germany, Poland, the Netherlands, Belgium, Spain, and China.


Position Purpose:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846c2de809833524466bf8db33&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0484aa7f&cb=1668262284067&jobListingId=1007921870211&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm2rq1ritmu801-1ghm2rq2ei9iu800-329f5359c9429cb8--6NYlbfkN0Bd6ahwT5cImKA-OBbAWOijFAWrnIDZWjGD5UgchOEkFz52JsEL6rBVhYm_U0bL6IQyTlMAHfGkSf1oXin4v4ulxwJ0qgIkaAhlTip317q_ZROVLDj_VGdlioCrUCditNEFpEguI9ZHL-lK6U9iytg6knm6meVjceC_bCLVFFYE4ST3bcA9KzLvwHq5A1QehnqYqZA3beEeafGWqNpVtMhfOQI8odHbs0fv3hjwj6J1gAQO5sQjwreZxGfJDkaVJ5oy1GMPSWvqzDFHJcQVKJJ2-Rd8xOXDR6-aTUfueyVFhOqPS9gdMsBiinBE7IG41SVWqKYPqfOSrFzDkA43fL6Lc9Fg6HvRiM1LR6prr0vXzNnY8DpopdS_gTj5pDOCWJ9pqynxSpjlVTBJC4lCHifRQmyfL1LJTlvQ9DtwH3GfSe4g1a9rbnRmhMpaFDmmDHzIoAV6vl3_9ibbElbujeiC4Fc_q09uvKuy2O8uEyGSIR9DnrWi8NfN
"['Genuine Parts Company', '3.5']",http://www.napaautojobs.com/,Software Engineer,"Atlanta, GA",$76K - $113K (Glassdoor est.),"Company Background:
Genuine Parts Company (“GPC” or the “Company”), founded in 1928 and based in Atlanta, Georgia, is a leading distributor of automotive and industrial replacement parts and value-added services. The Company operates a global portfolio of businesses with more than 10,000 locations across the world. GPC has approximately 50,000 global employees. The Company has operations in the United States, Canada, Mexico, Australia, New Zealand, Indonesia, Singapore, France, the U.K., Germany, Poland, the Netherlands, Belgium, Spain and China.
Position Purpose:

Seeking world-class talent to join the world’s leading distributor of automotive and industrial replacement parts and value-added services operating 5,500+ locations and servicing more than 20,000 locations in the U.S and Canada. Specifically, this role will function as a member of our WMS Engineering team to help design, implement, and support packaged warehousing and distribution technology at GPC. Working with a highly talented team, you'll play a key role to build and run one of the world’s largest automotive and industrial replacement parts operations.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846c2de809833524466bf8db33&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cc2fb7f3&cb=1668262285837&jobListingId=1008012245347&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm2rq1ritmu801-1ghm2rq2ei9iu800-5ff3356186453ea4--6NYlbfkN0Bd6ahwT5cImKA-OBbAWOijFAWrnIDZWjGD5UgchOEkFz52JsEL6rBVhYm_U0bL6ITNJZOsMeHTOZOZp7IZjEEOupEwig7gJVkeNI9OXPrf912Tf39UTZdHFgRdWR2Ip7a-0mW5RkwByA2ZzcNUXqDNrB13kWO4xjsEhFKsjADEHIVmbxFrumQ1PDTgmnUiv-DL-VC_UwQXZk2uqfdNOJR3VBRQGW1PK8KUnjb6eD2mr6OD4WDRcSInclMzjCDxaKAvCunLa4oD_tiN2lUkVgBSvKkpnbF9OAZ-Ws2oTYUemoDFxOTEMo2ONNlv_6vDsTC80uIrGAYFCpaIpx2MIfDxEllxzY6XKGqPBcq8bbpAZbIrRMBeM-fRgYMY8pSoiqUGfW4QW1x3Lhl46luMcjgCn-0Hhquocst_RhSEBiiQgu7MEz8ADqXuu8RhIoMpC2wn9DmOXhqOT-iB8pb8lYHSVOX7nwCpJy6WScJ-lcbfAD96CDXKQKAz
"['Genuine Parts Company', '3.5']",http://www.napaautojobs.com/,Software Engineer,"Atlanta, GA",$76K - $113K (Glassdoor est.),"Company Background:
Genuine Parts Company (“GPC” or the “Company”), founded in 1928 and based in Atlanta, Georgia, is a leading specialty distributor engaged in the distribution of automotive and industrial replacement parts and value-added services. The Company operates a global portfolio of businesses with more than 10,000 locations across the world. GPC has approximately 50,000 global employees. The Company has operations in the United States, Canada, Mexico, Australia, New Zealand, Indonesia, Singapore, France, the U.K., Germany, Poland, the Netherlands, Belgium, Spain and China.

Position Purpose:
Seeking world-class talent to join the world’s leading distributor of automotive and industrial replacement parts and value-added services operating 5,500+ locations and servicing more than 20,000 locations in the U.S and Canada. Specifically, this role will function as the Principal Engineer of a newly formed team of Engineers to build the next generation commerce platforms at GPC. Working with a highly talented team, you'll play a key role to build and run one of the world’s largest automotive and industrial replacement parts operations.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846c2de809833524466bf8db33&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f0060086&cb=1668262287809&jobListingId=1007629295982&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm2rq1ritmu801-1ghm2rq2ei9iu800-9f202c3b1cdbbd97--6NYlbfkN0Bd6ahwT5cImKA-OBbAWOijFAWrnIDZWjGD5UgchOEkFz52JsEL6rBVhYm_U0bL6IS2fOd0GkD5xsFmtAO8KtFR9QWYrB77JiFVERWX81R5iUkaYyI7F56woEHsRhPyVdtFahbasWJseGu6wXGzAjoftfaj_wEHYFsGvsjjMZlrME0k0BETD8z24omOF70GlECpIDsrAYs2siBpBuCwKrfG8nXJZ21BHXNvKGczE8OCB-nYAjmOZUaDsaoFUWuu4vYIBblHGGuvrtlt0DcACvT0ZMp3XuqTi4rKqQCxiTJelbx6yz6J6hL-CPU1g-iESBI_a8DX0rmjpnzQ2Mtdft8POfwUZtuaL5h-8qgnEzejwmprJQmpjSmq4E7H_w07jIZSHPdDai5umJhP40c3LyGw2OwvLiGaKdGaigq5lSTUmjesXDIKgcZIaqmukCAOC35TJelUIFHBnp5mPppzDimZaEERFy0EdwS-XD0FYY9kzzI5J5KAP-Y1
"['Genuine Parts Company', '3.5']",http://www.napaautojobs.com/,Software Engineer,"Atlanta, GA",$76K - $113K (Glassdoor est.),"Company Background:
Genuine Parts Company (“GPC” or the “Company”), founded in 1928 and based in Atlanta, Georgia, is a leading distributor of automotive and industrial replacement parts and value-added services. The Company operates a global portfolio of businesses with more than 10,000 locations across the world. GPC has approximately 50,000 global employees. The Company has operations in the United States, Canada, Mexico, Australia, New Zealand, Indonesia, Singapore, France, the U.K., Germany, Poland, the Netherlands, Belgium, Spain, and China.

Position Purpose:
The Software Engineer will work on a cross-functional, agile delivery team that owns and supports software to support the critical business functions at GPC. They are responsible for the development of code and the processes and practices that support a high-quality product like XP Programming practices and Test-Driven Development. The Software Engineer will have a “test-first” attitude with a focus on automation. And the Software Engineer will employ best practices around observability, monitoring, and system resilience.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846c2de809833524466bf8db33&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f9ca4c01&cb=1668262289712&jobListingId=1008051263999&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm2rq1ritmu801-1ghm2rq2ei9iu800-e1fb84efc9359c0f--6NYlbfkN0Bd6ahwT5cImKA-OBbAWOijFAWrnIDZWjGD5UgchOEkFz52JsEL6rBVhYm_U0bL6ITJ6u5rWfJG3kI6MdQItZFgTSjwiAQJMFySw1Fnha_pKd3kg_i_pnxgigqZ7GZ83FdiMKJNSdVNdNW9cI91dnHuNA89fv4m5Ycvioe8q2gKTXEQl13AoAypFJjFdJ0v4JT82AnZ0H6DSpYAZ_n6dPaWCT5157s7OeVS8KDwu2UL8ovv6eQbIyHijlDFCp1L0FZlceY-Vyl4dOCArrtecUpELdllZlN7Xq3DJtBwLoiY2xijtxRvF5I5xLXa_xQ8Y5zth2iq9yk1mhkHXmBJlltV0ICVXPg7NFTrNXibysBEVAQQESCwVMxErlXRIJMVj8Sx7aWYMLeSs5_pbI49Oq2cBaHRFnjsCfphxSPWG8xAYGFZKfxXbXBvSZHrar9ycxpr-EJqeNzNoXk6TBXizAjp-ZG0vVFjkS2DnoVlXHNmoOntqFMyLI0b
