Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Gilead Sciences', '3.9']",http://www.gilead.com/,Senior Statistical Programmer - Virology,"Foster City, CA",$114K - $155K (Glassdoor est.),"For Current Gilead Employees and Contractors:
Please log onto your
Internal Career Site
to apply for this job.
Job Description
Senior Statistical Programmer- Virology

Statistical programmers work collaboratively with internal colleagues and external vendors to ensure the efficient, high-quality production of analysis datasets and statistical outputs for study reports and integrated summaries in support of Gilead’s regulatory, scientific and business objectives.

Key Skills:



$107,520.00 - $161,280.00",22d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a548b9f83df7d683c00666f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4f31b1c0&cb=1668231241605&jobListingId=1008222394322&jrtk=3-0-1ghl592u1jiis801-1ghl592ukh7j0800-2ad05a1ac6462101-
"['Gilead Sciences', '3.9']",http://www.gilead.com/,Senior Statistical Programmer - Virology,"Foster City, CA",$114K - $155K (Glassdoor est.),"For Current Gilead Employees and Contractors:
Please log onto your
Internal Career Site
to apply for this job.
Job Description
About Gilead:
Gilead Sciences, Inc. is a research-based biopharmaceutical company founded in 1987. Together we deliver life-saving therapies to patients in need. With the commitment and drive you bring to the workplace every day, you will be part of a team that is changing the world and helping millions of people live healthier, more fulfilling lives. Our worldwide staff is a close community where you can see the tangible results of your contributions, where every individual matters, and everyone has a chance to enhance their skills through ongoing development. Our scientific focus has resulted in marketed products that are benefiting hundreds of thousands of people, a pipeline of late-stage drug candidates, and unmatched patient access programs to ensure medications are available to those who could otherwise not afford them. By joining Gilead, you will further our mission to address unmet medical needs and improve life by advancing the care of patients with life-threatening diseases.",1d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a548b9f83df7d683c00666f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3fe72124&cb=1668231244562&jobListingId=1008272740138&jrtk=3-0-1ghl592u1jiis801-1ghl592ukh7j0800-fd4c9cddfb6bd590-
"['Gilead Sciences', '3.9']",http://www.gilead.com/,Senior Statistical Programmer - Virology,"Foster City, CA",$114K - $155K (Glassdoor est.),"For Current Gilead Employees and Contractors:
Please log onto your
Internal Career Site
to apply for this job.
Job Description
Gilead Sciences is a biopharmaceutical company that discovers, develops and commercializes innovative therapeutics in areas of unmet medical need. The company's mission is to advance the care of patients suffering from life-threatening diseases worldwide. Headquartered in Foster City, California, Gilead has operations in North, South and Central America, Europe, Africa, Asia and Australia. Gilead makes it a priority to increase access to its medicines for people who can benefit from them, regardless of where they live or their economic status.
Finance Manager, US HIV Commercial Finance (Gross to Net)
This position will provide financial support for the HIV therapeutic area as part of the North America Commercial FP&A team. This role will report to the Associate Director, Gross to Net US HIV Commercial Finance and will work closely with Revenue Accounting, Managed Market Strategy & Operations, Commercial Contracting, Government Pricing to support quarterly Gross to Net (GTN) close process and pricing forecast. The Finance Manager will be responsible for assisting the Assoc. Director in reporting and presenting results to Commercial Finance leadership.",1d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a548b9f83df7d683c00666f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fbb284e0&cb=1668231247339&jobListingId=1008272740305&jrtk=3-0-1ghl592u1jiis801-1ghl592ukh7j0800-3c63ec73008ea87f-
"['Gilead Sciences', '3.9']",http://www.gilead.com/,Senior Statistical Programmer - Virology,"Foster City, CA",$114K - $155K (Glassdoor est.),"For Current Gilead Employees and Contractors:
Please log onto your
Internal Career Site
to apply for this job.
Job Description
Senior Statistical Programmer

The position is based in Foster City, CA.

Statistical programmers work collaboratively with internal colleagues and external vendors to ensure the efficient, high-quality production of analysis datasets and statistical outputs for study reports and integrated summaries in support of Gilead’s regulatory, scientific and business objectives.

Key Skills:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a548b9f83df7d683c00666f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0c031893&cb=1668231251291&jobListingId=1008200197033&jrtk=3-0-1ghl592u1jiis801-1ghl592ukh7j0800-b1a69d27c2ed2595-
"['Gilead Sciences', '3.9']",http://www.gilead.com/,IT Program Manager,"Raleigh, NC",$111K - $150K (Glassdoor est.),"For Current Gilead Employees and Contractors:
Please log onto your
Internal Career Site
to apply for this job.
Job Description
Gilead Sciences is a biopharmaceutical company that discovers, develops and commercializes innovative therapeutics in areas of unmet medical need. The company's mission is to advance the care of patients suffering from life-threatening diseases worldwide. Headquartered in Foster City, California, Gilead has operations in North, South and Central America, Europe, Africa, Asia and Australia. Gilead makes it a priority to increase access to its medicines for people who can benefit from them, regardless of where they live or their economic status.
The Employee Experience (EE) Services organization provides the full range of services to Gilead’s business users globally. This team aims to provide services that are reliable, accessible, feature-rich, and easy to use for all users. From the business standpoint, we aim to build a highly effective team that provides services that are cost-effective, proactively managed, and financially responsible and transparent to our stakeholders.",29d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a54ed259d965403c06b95da&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_304c6581&cb=1668231269859&jobListingId=1008205897104&jrtk=3-0-1ghl59rb2grjo801-1ghl59rbiirkn800-994792e36de619c3-
,,IT Program Manager,"Raleigh, NC",$111K - $150K (Glassdoor est.),,30d+,
"['Allied Universal', '3.1']",http://jobs.aus.com/,GSOC Analyst - Biopharmaceutical Company,"Foster City, CA",$30.00 Per Hour(Employer est.),"Allied Universal®, North America’s leading security and facility services company, provides rewarding careers that give you a sense of purpose. While working in a dynamic, diverse and inclusive workplace, you will be part of a team that fuels a culture that will reflect in our communities and customers we serve. We offer medical, dental and vision coverage, life insurance, 401K, employee assistance programs, company discounts, perks and more for all full-time positions!
""Free Guard Card Training upon offer!"" (Ask for more details)
“Security Guard Experience Not Required”
Must Have a Valid CA Driver’s License 1-2 yrs.
Must Be Fully Vaccinated
(Must Have First Vaccination, With Second Vaccination Scheduled)
GSOC Analyst Needed Full Time
Must Have 1-2 Years Experience
Hiring Bonus Available",24h,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846a551d28ba9c32822fe63fcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_62d9a2c2&cb=1668231291971&jobListingId=1008275102545&jrtk=3-0-1ghl5a7arklua801-1ghl5a7bggspa800-e79118b9af878b43--6NYlbfkN0Bkl6eMu1FM1r07QHNveSMIb5NS-ooqLFrV5tiSRjmHVl6py5KZ0S4DryhV055PNS9ZD0TUyq0PXPSH-dpor6jf3kh24xgYGCOWslGLBOAbozK6VXSXdqD1Iif7daLzILjQAO0RWEf8czmlyJkehIJ18rIe-1oMd1LgNqKcaRGni23jg9AS1N3yH-Jh9CzEImTfQpFF5lPQzlyiAuKODpV-rU1K1okTqIdmLgpWR0gh53PLSONGq1blVDzC9gSymFYQaKAu27S8rVXVdivhEsdPicFaZrX331PieufV8pUbzgWooPOXOeoxI4aM7zVeTHzpqiOtDCQR4hFbL5yA9G_qb0I17jznj_nV8E3vvxtuSSK7CWnmSIW8mRmZgUB1DV6pXMz2gH86_hcaA5otsMtIgbkMBNlhU2OfxVV2tvBikEu_ckhDBOoB
"['Gilead Sciences', '3.9']",http://www.gilead.com/,GSOC Analyst - Biopharmaceutical Company,"Foster City, CA",$30.00 Per Hour(Employer est.),"For Current Gilead Employees and Contractors:
Please log onto your
Internal Career Site
to apply for this job.
Job Description
Gilead Sciences, Inc. is a research-based biopharmaceutical company founded in 1987. Together we deliver life-saving therapies to patients in need. With the commitment and drive you bring to the workplace every day, you will be part of a team that is changing the world and helping millions of people live healthier, more fulfilling lives. Our worldwide staff is a close community where you can see the tangible results of your contributions, where every individual matters, and everyone has a chance to enhance their skills through ongoing development. Our scientific focus has resulted in marketed products that are benefiting hundreds of thousands of people, a pipeline of late-stage drug candidates, and unmatched patient access programs to ensure medications are available to those who could otherwise not afford them. By joining Gilead, you will further our mission to address unmet medical needs and improve life by advancing the care of patients with life-threatening diseases.",4d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a551d28ba9c32822fe63fcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e8258b71&cb=1668231294996&jobListingId=1008263753014&jrtk=3-0-1ghl5a7arklua801-1ghl5a7bggspa800-af0f4cc7e1b96851-
"['Gilead Sciences', '3.9']",http://www.gilead.com/,GSOC Analyst - Biopharmaceutical Company,"Foster City, CA",$30.00 Per Hour(Employer est.),"For Current Gilead Employees and Contractors:
Please log onto your
Internal Career Site
to apply for this job.
Job Description
Job Summary:
The Senior IT Security and Risk Analyst is a key member of the Information Security and Privacy team and works closely with cross functional IT and business led IT teams to ensure that all applications and systems are built, maintained and protected in accordance with identity and access governance process, policies, standards, and compliance requirements so that the risk is managed appropriately. The candidate will assist with developing and implementing the desired end state of the Information Security and Privacy programs within Identity and Access management landscape.
As part of the Security Operations team, the Sr. IT Security and Risk Security Analyst will provide end-to-end daily support and participate in projects for all Identity and Access Management solutions. Daily operation and project responsibilities will include working with system owners across the organization to onboard IAM services onto their system landscape.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a551d28ba9c32822fe63fcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6d67cba5&cb=1668231296774&jobListingId=1008165510167&jrtk=3-0-1ghl5a7arklua801-1ghl5a7bggspa800-53ddd69c316386b9-
"['Gilead Sciences', '3.9']",http://www.gilead.com/,GSOC Analyst - Biopharmaceutical Company,"Foster City, CA",$30.00 Per Hour(Employer est.),"For Current Gilead Employees and Contractors:
Please log onto your
Internal Career Site
to apply for this job.
Job Description
Position Summary:
The Sr. Digital Security Analyst is a key member of IT Business SRC (Security, Risk and Compliance) team and works closely with IT Security, IT Data Privacy, Legal and Infrastructure teams to ensure strong and seamless digital security and data privacy compliances in support of Gilead and Kite’s business strategies and processes.
Essential Job Functions:
Serve as Security, Risk and Compliance liaison in support of Gilead and Kite business.
Support analysis of business environments (trends and business strategy) to uncover deficiencies and recommend solutions.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a551d28ba9c32822fe63fcf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_04ff0aa0&cb=1668231300783&jobListingId=1008172127245&jrtk=3-0-1ghl5a7arklua801-1ghl5a7bggspa800-c087df82a0e9903b-
