Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Prevail Health, Inc', '2.8']",http://www.prevailhealth.com/,Full Stack Developer,"Chicago, IL",$64K - $93K (Glassdoor est.),"About Prevail Health Solutions (iprevail.com):
iPrevail.com is a unique platform that combines digital therapeutics with a human touch to offer mental and behavioral health solutions. Our goal is to making mental and behavioral health care’s services accessible to all. iPrevail.com is backed by clinical research and designed to help individuals navigate a wide range of mental health challenges, including anxiety, depression, stress, among others.
iPrevail.com partnered with the National Science Foundation to develop its innovative platform with support from a range of partners and funders, including Goldman Sachs Foundation, Bristol Myers Squibb Foundation, Rush University, and many others.
About this role:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c3117a29cffa5fa340d477d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_30f47be0&cb=1668262475657&jobListingId=1007742662842&jrtk=3-0-1ghm325v62bgf001-1ghm325vngsro800-f98e5d2f60ca37cd-
"['Goldman Sachs', '4.0']",http://www.goldmansachs.com/,Full Stack Developer,"Chicago, IL",$64K - $93K (Glassdoor est.),"SOFTWARE ENGINEER | 2023 SKILLSET | DALLAS
GOLDMAN SACHS ENGINEERING CULTURE
At Goldman Sachs, our Engineers do not just make things – we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn data into action. Create new businesses, transform finance, and explore a world of opportunity at the speed of markets.
Engineering is at the critical center of our business, and our dynamic environment requires innovative strategic thinking and immediate, real solutions. If you enjoy working in a fast-paced environment, are passionate about producing highly impactful commercial solutions, and collaborating with other driven colleagues, then this is the role for you.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c3117a29cffa5fa340d477d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a31f585c&cb=1668262478547&jobListingId=1008190915826&jrtk=3-0-1ghm325v62bgf001-1ghm325vngsro800-2ce3e804e9791f43-
"['OpenGov', '4.4']",http://opengov.com/,Full Stack Developer,"Chicago, IL",$64K - $93K (Glassdoor est.),"Imagine yourself here!

OpenGov is a mission driven fast-growth, Series D, venture backed startup (includes Andreessen Horowitz, Formation 8, and Emerson Collective). Our Board of Directors includes iconic Silicon Valley executives John Chambers (former Cisco Chairman and CEO) and Marc Andreessen (Time Magazine’s list of the 100 most influential people in the world).

OpenGov is the leader in modern cloud software for local governments and state agencies. We have surpassed 1,600+ governments (and growing fast!) using our products in our mission to power more effective and accountable government.

OpenGov is a 2022 Top Workplaces USA award winner and a Forbes 2022 America's Best Startup Employer!

was founded in 2012 by Zac Bookman, Joe Lonsdale, and technologists from Stanford University, who studied government budgeting in the aftermath of the Great Recession. They observed dedicated public servants struggle against outdated technology that prevented them from accessing timely spending information and communicating their priorities to citizens and elected officials. Believing there was a better way, the team set out to build a cloud-based solution to power a more effective and accountable government. Today, over 2,000 public agencies in 48 states form a growing network leveraging OpenGov to achieve their government’s ERP needs.",2d,
"['Goldman Sachs', '4.0']",http://www.goldmansachs.com/,Full Stack Developer,"Chicago, IL",$64K - $93K (Glassdoor est.),"AMD Engineering, Client Services Hands On Application Development Lead
What We Do
At Goldman Sachs, our Engineers don’t just make things – we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn data into action. Create new businesses, transform finance, and explore a world of opportunity at the speed of markets .
Engineering, which is comprised of our Technology Division and global strategists’ groups, is at the critical center of our business, and our dynamic environment requires innovative strategic thinking and immediate, real solutions. Want to push the limit of digital possibilities? Start here.",2d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846c3117a29cffa5fa340d477d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1eca9d8b&cb=1668262484482&jobListingId=1008268727398&jrtk=3-0-1ghm325v62bgf001-1ghm325vngsro800-1a11a6c75fd83764-
"['Goldman Sachs', '4.0']",http://www.goldmansachs.com/,Full Stack Developer,"Chicago, IL",$64K - $93K (Glassdoor est.),"AM Engineering, Client Reporting Application Development Manager
What We Do
At Goldman Sachs, our Engineers don’t just make things – we make things possible. Change the world by connecting people and capital with ideas. Solve the most challenging and pressing engineering problems for our clients. Join our engineering teams that build massively scalable software and systems, architect low latency infrastructure solutions, proactively guard against cyber threats, and leverage machine learning alongside financial engineering to continuously turn data into action. Create new businesses, transform finance, and explore a world of opportunity at the speed of markets .
Engineering, which is comprised of our Technology Division and global strategists’ groups, is at the critical center of our business, and our dynamic environment requires innovative strategic thinking and immediate, real solutions. Want to push the limit of digital possibilities? Start here.",2d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846c3117a29cffa5fa340d477d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d85a70ba&cb=1668262488216&jobListingId=1008268727394&jrtk=3-0-1ghm325v62bgf001-1ghm325vngsro800-a0620f1e2f58e8f8-
"['Mahmee', '3.1']",https://www.mahmee.com/,Full Stack Developer,"Chicago, IL",$64K - $93K (Glassdoor est.),"Mahmee is an integrated care delivery platform for maternal and infant health that connects patients, independent health professionals, and enterprise healthcare organizations to increase access to comprehensive prenatal and postpartum care. Our platform closes gaps in care and creates a seamless maternity experience for new and expecting parents from pregnancy to baby’s first birthday. We work with community groups, healthcare organizations, state Medicaid agencies, and insurance companies to ensure that moms and babies across the socioeconomic spectrum have access to care. The company is backed by some of the most well-known venture capital investors in the world, including Goldman Sachs Asset Management, Mark Cuban, Serena Williams, and Arlan Hamilton, among others.

We’re looking to bring on a Senior Mobile Developer to help us build beautiful mobile apps to complement our web experience and build out our local marketplace. We're looking for someone that lives and breathes mobile apps on either the iOS platform. If you know both, even better!",30d+,
"['Goldman Sachs', '4.0']",http://www.goldmansachs.com/,Full Stack Developer,"Chicago, IL",$64K - $93K (Glassdoor est.),"Consumer
The firm’s Consumer business, Marcus by Goldman Sachs, combines the entrepreneurial spirit of a startup with more than 150 years of experience. Today, we serve millions of customers across multiple products including lending, deposits, financial tools, and our partnership with Apple on Apple Card. We use innovative design, data, engineering and other core capabilities to provide customers with powerful tools and products that are grounded in value, transparency and simplicity. As we build a leading digital consumer bank and expand into new products and partnerships, we are looking for leaders and individual contributors to join our team.
Position: Associate - Web Developer
Location: Atlanta, GA/Remote
Overview:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846c3117a29cffa5fa340d477d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_621f2483&cb=1668262493986&jobListingId=1008078098496&jrtk=3-0-1ghm325v62bgf001-1ghm325vngsro800-225bafbffe3e4c17-
"['The Plum Tree Group', '3.5']",https://www.plumtreegroup.net/,Full Stack Developer,"Chicago, IL",$64K - $93K (Glassdoor est.),"We are looking for a QA Engineer role for one of our clients located at Chicago, Illinois, United States
Our client specializes in high-quality end-to-end technology product development, they develop a wide array of technology platforms and frameworks including mobile, web, Internet of Things (IoT), wearables, and embedded devices. They have an awesome culture that includes perks such as healthcare benefits, PTO, wellness programs, and much, much more.
Things that will excite you as you create great applications;
A challenging environment that requires collaborative problem-solving
A constant effort to automate testing and deployment efforts
Creating Acceptance Criteria based on an in-depth understanding of client needs",30d+,
"['Goldman Sachs', '4.0']",http://www.goldmansachs.com/,Full Stack Developer,"Chicago, IL",$64K - $93K (Glassdoor est.),"Who we are:
At Goldman Sachs, our culture is one of teamwork, innovation and meritocracy. We often say our people are our greatest asset and we take pride in supporting each colleague both professionally and personally. From collaborative work spaces and ergonomic services to wellbeing and resilience offerings, we offer our Engineering professionals the flexibility and support they need to reach their goals in and outside of the office.

The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world. We commit people, capital and ideas to help our clients, shareholders and the communities we serve to grow.",4d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846c3117a29cffa5fa340d477d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_03ea2798&cb=1668262499681&jobListingId=1008262987374&jrtk=3-0-1ghm325v62bgf001-1ghm325vngsro800-c51a0ae8b3e34706-
"['Goldman Sachs', '4.0']",http://www.goldmansachs.com/,Full Stack Developer,"Chicago, IL",$64K - $93K (Glassdoor est.),"Asset Management Division - Front End Engineer
Goldman Sachs Engineering is a leading developer of quantitative models and cutting edge systems to solve complex business problems. Working with the firm’s trading, operations, finance, sales, banking and investing businesses, engineers use their mathematical and scientific training to create financial products, advise clients on transactions, identify market opportunities, assist managing risks, and provide technical solutions to facilitate all business activities.
Goldman Sachs Asset Management Division (AMD) is one of the four key revenue generating Divisions of the Firm. AMD Alternatives is the private side of AMD. It invests in a wide range of global asset classes including: Private Credit, Real Estate, Corporate Private Equity, Growth Equity and Infrastructure worldwide. The AMD Alternatives Strategists collaborate with investing and finance professionals to create quantitative computer models and web applications to support all aspects of the investing and lending life cycle. We create quantitative models and develop software applications to help structure, value, hedge, and risk manage the investments in our portfolios. Members hold advanced degrees in Engineering, Computer Science, Mathematics and Physics. The team proactively collaborates with colleagues globally to ensure that the best solutions are implemented.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846c3117a29cffa5fa340d477d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_59a93120&cb=1668262501804&jobListingId=1008196915388&jrtk=3-0-1ghm325v62bgf001-1ghm325vngsro800-dce7d1c668a72a05-
