Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
['Piazza Honda of Philadelphia'],,Automotive Technician/Mechanic,"Philadelphia, PA",$45K - $100K (Employer est.),"Piazza Honda of Philadelphia
$2500 signing bonus!
Hiring Immediately, Automotive Technicians. All skill levels needed. We are seeking Automotive Technicians to add to our growing service department.
PLEASE RESPOND WITH THE BEST DAY & TIME FOR AN INTERVIEW!
Aggressive Compensation Packages- over 10 of our technicians earned over $100,000 last year working for us!
Our Facilities are state of the art!",9d,
['Lakeville Tire & Auto Service - Goodyear'],,Automotive Technician/Mechanic,"Philadelphia, PA",$45K - $100K (Employer est.),"Lakeville Tire & Auto Service, a full service Goodyear auto repair shop in downtown Lakeville, is looking for an Experienced Automotive Technician. We offer a wide variety of benefits as well as a sign-on bonus of up to $10,000! If you are looking to join our excellent crew and stay cool in our air conditioned facility, this is the right place for you! Offered pay is based on experience.
Benefits:
Sign-on Bonus of up to $10,000
Weekday schedule (No weekends!)
Medical/Dental Insurance
Vacation and holidays
Retirement contributions",30d+,
"['Goodyear Commercial Tire', '3.7']",http://www.goodyear.com/,Automotive Technician/Mechanic,"Philadelphia, PA",$45K - $100K (Employer est.),"IMMEDIATELY HIRING!!! – APPLY TODAY!!!
Thank you for your interest in a career at Goodyear Commercial Tire & Service Centers. Our mission statement is 'SERVICE EXCELLENCE – ALWAYS'.   This position functions in a manufacturing environment at a Goodyear Commercial Tire & Service Center's Retread facility where commercial truck tires are retreaded through a series of manual and automated processes.
Do you have what it takes to Provide ""Service Excellence - Always"" to delight our customers?
Experience isn't required for this position. You will be trained in any skills required. We encourage you to allow us to invest in your success as you invest in ours. Start your career with us today!
What's in it for you:",30d+,
"['Thompson Truck & Trailer', '2.7']",http://www.thompsontruck.com/,Automotive Technician/Mechanic,"Philadelphia, PA",$45K - $100K (Employer est.),"Thompson Tire & Retread is a local, family-owned, full-service tire business serving customers in Cedar Rapids, Dubuque, and Davenport, Iowa. We serve commercial customers through competitive prices on a wide variety of tire brands and customized tires service, including onsite repairs and 24/7 roadside assistance. Additionally, we have a Goodyear Authorized Retread plant in our Dubuque location that can help our customers save money on their new tires. The opportunities in this business and within the transportation organization are growing as needs increase!
Thompson is a destination employer looking for team members to join us for the long-haul. We focus on promoting from within and providing career paths - not just jobs. Our leadership team is continually evolving our strategic plan to stay in line with what our customers AND employees want and need. We are looking for a Tire Technician to join us at our NEW Thompson Tire location on 6th Street!",30d+,
"['Thompson Truck & Trailer', '2.7']",http://www.thompsontruck.com/,Automotive Technician/Mechanic,"Philadelphia, PA",$45K - $100K (Employer est.),"Thompson Tire & Retread is a local, family-owned, full-service tire business serving customers in Cedar Rapids, Dubuque, and Davenport, Iowa. We serve commercial customers through competitive prices on a wide variety of tire brands and customized tires service, including onsite repairs and 24/7 roadside assistance. Additionally, we have a Goodyear Authorized Retread plant in our Dubuque location that can help our customers save money on their new tires. The opportunities in this business and within the transportation organization are growing as needs increase!
Thompson is a destination employer looking for team members to join us for the long-haul. We focus on promoting from within and providing career paths - not just jobs. Our leadership team is continually evolving our strategic plan to stay in line with what our customers AND employees want and need.",30d+,
['Albertville Goodyear'],,Automotive Technician/Mechanic,"Philadelphia, PA",$45K - $100K (Employer est.),"Journeyman Technician - $5,000 Sign On Bonus with Health Benefits!
Albertville Goodyear is seeking a full time experienced Journeyman Technician available Monday - Friday.
We offer a fun and fast pace work environment, with competitive base pay and excellent commission programs. Join an amazing team with a $5,000 sign on bonus and Health benefits!
Albertville Goodyear on 61st Street NE has been in business for over 15 years serving the city and surrounding communities with a great reputation!
Journeyman Automotive Technician Responsibilities:
Perform maintenance and repair on customer vehicles.",30d+,
['Goodyear Commercial Retread Plant'],,Automotive Technician/Mechanic,"Philadelphia, PA",$45K - $100K (Employer est.),"IMMEDIATELY HIRING!!! – APPLY TODAY!!!
Safety is our priority! COVID-19 protocols are in place, including mandatory face coverings, social distancing, disinfection standards, and others to protect our associates.
Thank you for your interest in a career at Goodyear Commercial Tire & Service Centers. Our mission statement is 'SERVICE EXCELLENCE – ALWAYS'.   This position functions in a manufacturing environment at a Goodyear Commercial Tire & Service Center's Retread facility where commercial truck tires are retreaded through a series of manual and automated processes.
Do you have what it takes to Provide ""Service Excellence - Always"" to delight our customers?
Experience isn't required for this position. You will be trained in any skills required. We encourage you to allow us to invest in your success as you invest in ours. Start your career with us today!",30d+,
"['Goodyear Commercial Tire & Service Center', '3.7']",http://www.goodyear.com/,Automotive Technician/Mechanic,"Philadelphia, PA",$45K - $100K (Employer est.),"We are a service and retreading market leader with over 200 Commercial Tire Centers and Truck Care Centers located across the United States. We have the unique ability to service the largest nationwide commercial fleets while also providing friendly hometown service to regional and local fleets. Our mission statement is 'SERVICE EXCELLENCE – ALWAYS'. Goodyear Commercial Tire & Service Centers (CTSC) are owned by Goodyear — which makes them uniquely qualified to offer you trusted tires, reliable services and powerful management tools to help you lower your operating costs. It's all part of Goodyear's Total Solution for commercial and off-the-road fleets.
IMMEDIATELY HIRING!!! – APPLY TODAY!!!
Thank you for your interest in a career at Goodyear Commercial Tire & Service Centers. We are a service and retreading market leader with over 200 Commercial Tire Centers and Truck Care Centers located across the United States. Our mission statement is 'SERVICE EXCELLENCE – ALWAYS'.   We have the unique ability to service the largest nation-wide commercial fleets while also providing friendly hometown service to regional and local fleets.",30d+,
"['Auto Tech Centers, Inc. (Goodyear)']",,Automotive Technician/Mechanic,"Philadelphia, PA",$45K - $100K (Employer est.),"Are you looking for a stable, team oriented environment to learn and maximize your abilities? Auto Tech has been a thriving and growing business for over 35 years and our success can be attributed to all of our employees. We are a family owned, high traffic, multiple location, Goodyear Dealer that offers a wide range of benefits and really cares about you as an employee. It's a priority to continually strive for the best environment and resources for you to succeed.
If you are interested in the automotive field and are looking for a solid position within a company that has growth potential, please apply.
Thank you for your career interest with Auto Tech and we look forward to your application.
The General Service Technician is responsible for being able to professionally do non-technical automotive service repairs. The General Service associate performs tire/wheel related services and oil changes in addition to maintaining the cleanliness and maintenance of the service department, showroom, exterior of building and tire racks. At least six months of general automotive experience is preferred; Must be able to lift 50 lbs. with or without reasonable accommodation.",30d+,
"['Big O Tires', '3.3']",http://www.bigotires.com/,Automotive Technician/Mechanic,"Philadelphia, PA",$45K - $100K (Employer est.),"BIG O TIRES is looking for Tire Sales and Advisors with experience for our Bay Area Service Centers. We are quickly becoming the areas ""go to shop"" for Tires and Auto Service Maintenance Repairs. With Friendly staff and thorough Inspections we make sure that a customer’s vehicle will meet the Customers exceptions for life span and dependability. Be part of the Team that makes that happen with courtesy and inspections.
What we're looking for:
Demonstrated Tire / Service experience.
Excellent communication, organizational and written skills
Customer oriented and able for responding to customer concerns and and repair concerns.",30d+,
