Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['HF Sinclair', '4.0']",https://www.hfsinclair.com/,Inspector I- IV,"Artesia, NM",$38K - $57K (Glassdoor est.),"Basic Function
HF Sinclair in Artesia, NM is seeking an Inspector. Depending on the candidate's experience this role will conduct inspection duties and routing to complex assignments for the Inspection Department under direct or limited supervision.
Job Duties
Works to ensure integrity of piping, equipment, and atmospheric storage tanks
Works to ensure company records comply with Regulatory requirements
Provides suggestions and/or support to help the plant run more efficiently",1d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c59be4c98e37901d9131480&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5f9d3093&cb=1668265141805&jobListingId=1008272787245&jrtk=3-0-1ghm5jfkc2apa001-1ghm5jfl1g2ec800-42797be9f24d25b5-
"['HollyFrontier', '3.5']",http://www.hollyfrontier.com/,Inspector I- IV,"Artesia, NM",$38K - $57K (Glassdoor est.),"Basic Function
HF Sinclair Corporation is seeking an HRIS Analyst III to be based at our Dallas office. Conducts complex and advanced HRIS duties and assignments for the Human Resources (HR) Department under limited supervision. Analyzes maintains and evaluates the HRIS for the Company. Monitors system performance, end-user activities, and data integrity and interfaces to other systems with IT and third-party vendors to resolve problems. Provides system expertise, direction, and training for team members as well as end users.
Job Duties
Leads HRIS implementations and enhancement projects as assigned by Manager
Serves as an HRIS subject matter expert",12d,
"['HF Sinclair', '4.0']",https://www.hfsinclair.com/,Inspector I- IV,"Artesia, NM",$38K - $57K (Glassdoor est.),"Basic Function
HF Sinclair in Dallas, Tx is seeking a Sr. Director Business Analyst who will be responsible for supporting the company’s routine business application systems and reporting environments while working with key users to improve business processes. Provides technical expertise, direction and training for team members as well as business users.
Job Duties
Provides support for various SAP modules including configuration and enhancement requests from the user community and company management
Implements configuration changes, redesigns, new releases and updates to the systems environment in an effort to optimize the use of Information Technology",1d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c59be4c98e37901d9131480&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_240de6b4&cb=1668265146786&jobListingId=1008272787364&jrtk=3-0-1ghm5jfkc2apa001-1ghm5jfl1g2ec800-a02edb046eb11849-
"['HF Sinclair', '4.0']",https://www.hfsinclair.com/,Inspector I- IV,"Artesia, NM",$38K - $57K (Glassdoor est.),"Basic Function
HF Sinclair Corporation is seeking an HRIS Analyst III to be based at our Dallas office. Conducts complex and advanced HRIS duties and assignments for the Human Resources (HR) Department under limited supervision. Analyzes maintains and evaluates the HRIS for the Company. Monitors system performance, end-user activities, and data integrity and interfaces to other systems with IT and third-party vendors to resolve problems. Provides system expertise, direction, and training for team members as well as end users.
Job Duties
Leads HRIS implementations and enhancement projects as assigned by Manager",16d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846c59be4c98e37901d9131480&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_60262fd2&cb=1668265148799&jobListingId=1008235813794&jrtk=3-0-1ghm5jfkc2apa001-1ghm5jfl1g2ec800-a5e0d712e8b62692-
"['HF Sinclair', '4.0']",https://www.hfsinclair.com/,Inspector I- IV,"Artesia, NM",$38K - $57K (Glassdoor est.),"Basic Function
HF Sinclair Corporation is seeking an SAP Basis Analyst IV to be based in our headquarters in Dallas, TX. This position will be responsible for administering SAP NetWeaver, SAP Cloud, and non-SAP business application platforms, including OS, database, and application tiers.
Job Duties
Support SOX audit requests
Follow data retention policy while managing data capacities
Manage OSS messages and SAP support",4d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846c59be4c98e37901d9131480&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5e3fbf28&cb=1668265152548&jobListingId=1008263797381&jrtk=3-0-1ghm5jfkc2apa001-1ghm5jfl1g2ec800-534bef0ef4e60766-
"['HF Sinclair', '4.0']",https://www.hfsinclair.com/,Inspector I- IV,"Artesia, NM",$38K - $57K (Glassdoor est.),"Basic Function
HF Sinclair in Dallas TX, is seeking an ERP Business IT Systems Analyst-Logistics, for its Information Technology Department. The ERP Business IT Systems Analyst will be responsible for supporting the company's routine application systems and reporting environments while working with key users to improve business processes. The ERP Business IT Systems Analyst will focus on logistics functions and supply chain processes in order to improve the company's marine management capabilities as well as other ground transportation.
Job Duties
Provides support and resolution for various SAP modules including configuration and enhancement requests from the user community and company management",24d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846c59be4c98e37901d9131480&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2684daf0&cb=1668265155422&jobListingId=1008215905886&jrtk=3-0-1ghm5jfkc2apa001-1ghm5jfl1g2ec800-38b17ca22b07165d-
"['HF Sinclair Corporation', '4.0']",https://www.hfsinclair.com/,Inspector I- IV,"Artesia, NM",$38K - $57K (Glassdoor est.),"BASIC FUNCTION:
HF Sinclair is seeking a Human Resources Generalist II who will be under moderate supervision and in accordance with established HR policies and procedures manages multiple HR systems and independently resolves moderately complex issues related to those systems. Performs audits of HR systems to ensure compliance with HR policy and applicable regulations.
ESSENTIAL JOB DUTIES/RESPONSIBILITIES: (functions considered essential as defined by ADA)
§ Carries out the Company’s policies and procedures, understands and follows state and federal laws pertaining to Human Resources (HR) and creates all needed reports, spreadsheets and letters",30d+,
"['HF Sinclair', '4.0']",https://www.hfsinclair.com/,SAP Basis Analyst IV,"Dallas, TX",$80K - $110K (Glassdoor est.),"Basic Function
HF Sinclair Corporation is seeking an SAP Basis Analyst IV to be based in our headquarters in Dallas, TX. This position will be responsible for administering SAP NetWeaver, SAP Cloud, and non-SAP business application platforms, including OS, database, and application tiers.
Job Duties
Support SOX audit requests
Follow data retention policy while managing data capacities
Manage OSS messages and SAP support",4d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c5a377e9c7e735686b9d442&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f7e06133&cb=1668265168337&jobListingId=1008263797381&jrtk=3-0-1ghm5ke0cj4gt801-1ghm5ke0ugrgv800-534bef0ef4e60766-
"['HollyFrontier', '3.5']",http://www.hollyfrontier.com/,SAP Basis Analyst IV,"Dallas, TX",$80K - $110K (Glassdoor est.),"Basic Function
HF Sinclair Corporation is seeking an HRIS Analyst III to be based at our Dallas office. Conducts complex and advanced HRIS duties and assignments for the Human Resources (HR) Department under limited supervision. Analyzes maintains and evaluates the HRIS for the Company. Monitors system performance, end-user activities, and data integrity and interfaces to other systems with IT and third-party vendors to resolve problems. Provides system expertise, direction, and training for team members as well as end users.
Job Duties
Leads HRIS implementations and enhancement projects as assigned by Manager
Serves as an HRIS subject matter expert",12d,
"['HF Sinclair', '4.0']",https://www.hfsinclair.com/,SAP Basis Analyst IV,"Dallas, TX",$80K - $110K (Glassdoor est.),"Basic Function
HF Sinclair Corporation is seeking an HRIS Analyst III to be based at our Dallas office. Conducts complex and advanced HRIS duties and assignments for the Human Resources (HR) Department under limited supervision. Analyzes maintains and evaluates the HRIS for the Company. Monitors system performance, end-user activities, and data integrity and interfaces to other systems with IT and third-party vendors to resolve problems. Provides system expertise, direction, and training for team members as well as end users.
Job Duties
Leads HRIS implementations and enhancement projects as assigned by Manager",16d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c5a377e9c7e735686b9d442&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_66e47a72&cb=1668265175209&jobListingId=1008235813794&jrtk=3-0-1ghm5ke0cj4gt801-1ghm5ke0ugrgv800-a5e0d712e8b62692-
"['HF Sinclair', '4.0']",https://www.hfsinclair.com/,SAP Basis Analyst IV,"Dallas, TX",$80K - $110K (Glassdoor est.),"Basic Function
HF Sinclair in Dallas, Tx is seeking a Sr. Director Business Analyst who will be responsible for supporting the company’s routine business application systems and reporting environments while working with key users to improve business processes. Provides technical expertise, direction and training for team members as well as business users.
Job Duties
Provides support for various SAP modules including configuration and enhancement requests from the user community and company management
Implements configuration changes, redesigns, new releases and updates to the systems environment in an effort to optimize the use of Information Technology",1d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846c5a377e9c7e735686b9d442&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_22cfb314&cb=1668265178933&jobListingId=1008272787364&jrtk=3-0-1ghm5ke0cj4gt801-1ghm5ke0ugrgv800-a02edb046eb11849-
"['HF Sinclair', '4.0']",https://www.hfsinclair.com/,SAP Basis Analyst IV,"Dallas, TX",$80K - $110K (Glassdoor est.),"Basic Function
HF Sinclair in Dallas TX, is seeking an ERP Business IT Systems Analyst-Logistics, for its Information Technology Department. The ERP Business IT Systems Analyst will be responsible for supporting the company's routine application systems and reporting environments while working with key users to improve business processes. The ERP Business IT Systems Analyst will focus on logistics functions and supply chain processes in order to improve the company's marine management capabilities as well as other ground transportation.
Job Duties
Provides support and resolution for various SAP modules including configuration and enhancement requests from the user community and company management",24d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846c5a377e9c7e735686b9d442&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5f3a30d3&cb=1668265181770&jobListingId=1008215905886&jrtk=3-0-1ghm5ke0cj4gt801-1ghm5ke0ugrgv800-38b17ca22b07165d-
