Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['HP Tuners LLC', '4.0']",http://www.hptuners.com/,Senior Firmware Engineer,"Buffalo Grove, IL",$87K - $115K (Glassdoor est.),"HP Tuners is currently seeking a full-time Senior Firmware Engineer to join our team in Buffalo Grove, IL. At HP Tuners, we develop hardware and software products to suite the aftermarket needs of automotive enthusiasts.
As a Senior Firmware Engineer at HP Tuners, you will be working with an experienced cross-disciplinary team that builds cutting edge automotive products from prototype all the way to production. You will be writing firmware for existing devices, as well as helping develop new products from the ground up.
This position reports to the Director of Hardware Engineering.
Essential Duties and Responsibilities
Develop firmware for new embedded products.",17d,
"['HP', '4.2']",https://jobs.hp.com/,Senior Firmware Engineer,"Buffalo Grove, IL",$87K - $115K (Glassdoor est.),"Your day to day • Leverage your programming skills to build rich user experiences, solve complex problems with content collaboration, audio and video processing. The solutions you build will run on a wide variety of hardware platforms around the world and be used every day. • Turn software requirements into clean working software. • Use the latest technologies to build Android services, applications, and API's. • Balance performance with the constraints of embedded platforms. What you bring to the team • Bachelor’s or master’s degree in Computer Science or related field. • Knowledge of C++, Java, Kotlin or similar object-oriented programming language. • Strong problem solving and troubleshooting skills. • Passionate about bringing your 'A' game every day and learning from a stellar team of engineers.

About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.",7d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c5411ac8c7c29817c8722b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4bcb51ba&cb=1668264768476&jobListingId=1008259150806&jrtk=3-0-1ghm584enkbmb801-1ghm584f6209v001-d80780fa9a31f826-
"['HP', '4.2']",https://jobs.hp.com/,Senior Firmware Engineer,"Buffalo Grove, IL",$87K - $115K (Glassdoor est.),"Responsibilities:
Leads multiple project teams of other software systems engineers and internal and outsourced development partners responsible for all stages of design and development for complex products and platforms, including solution design, analysis, coding, testing, and integration.
Manages and expands relationships with internal and outsourced development partners on software systems design and development.
Reviews and evaluates designs and project activities for compliance with systems design and development guidelines and standards; provides tangible feedback to improve product quality and mitigate failure risk.
Provides domain-specific expertise and overall software systems leadership and perspective to cross-organization projects, programs, and activities.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c5411ac8c7c29817c8722b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5e43d3b8&cb=1668264772404&jobListingId=1007968102696&jrtk=3-0-1ghm584enkbmb801-1ghm584f6209v001-59ae313e9755b6bd-
"['HP', '4.2']",https://jobs.hp.com/,Senior Firmware Engineer,"Buffalo Grove, IL",$87K - $115K (Glassdoor est.),"HP is an equal opportunity employer:
Https://tbcdn.talentbrew.com/company/3544/v1_0/PDFs/HP%20Inc%20EEO%20Policy%20Statement%202017_Final_signed.pdf
Directs the activities related to the analysis, design, programming, debugging, troubleshooting, and modification of software for firmware (IC embedded code) applications. Oversees programming activities involving analog and digital hardware and software operating systems. May have responsibility for the programming of assembly language, machine language and high level languages, including but not limited to C and C++. Selects, develops, and evaluates personnel to ensure the efficient operation of the function.

Responsibilities
Develops full software stack for ISPs including firmware for peripheral hardwares, data flow frameworks, and more; enables co-work of development and algorithm engineers on the same software code base",8d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846c5411ac8c7c29817c8722b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_88f302ae&cb=1668264776263&jobListingId=1008256925336&jrtk=3-0-1ghm584enkbmb801-1ghm584f6209v001-2cc52424596f56c0-
"['HP', '4.2']",https://jobs.hp.com/,Senior Firmware Engineer,"Buffalo Grove, IL",$87K - $115K (Glassdoor est.),"Are you passionate about technology and looking to work in an agile start-up environment that is built on the brand recognition, solution capabilities, and global reach of a world-class technology pioneer? The HP Workforce Services Solutions (WSS) team operates in a highly dynamic landscape that delivers a best-in-class, multi-OS Services portfolio powered by software, cloud, data analytics, and machine learning.
The Managed Insights Product Team within HP Workforce Services & Solutions is seeking a forward thinking, tech-savvy Product Manager who is passionate about delivering solutions that drive business value and growth, deliver problem management solutions, and define integrated workflows between analytics platforms and remediation offerings.
The ideal candidate is someone who thrives is identifying ways technology can be used to improve workplace performance and productivity, will have a proven track record of working with engineering and business stakeholders, and demonstrated success in delivery and adoption of strategic portfolio and process integrations. The incumbent will be expected to routinely exercise independent judgment in developing and evangelizing product growth plans across business units, customers, and partner groups.",3d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846c5411ac8c7c29817c8722b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fc5f0871&cb=1668264780191&jobListingId=1008267816584&jrtk=3-0-1ghm584enkbmb801-1ghm584f6209v001-e35e616b9eb3461d-
"['HP', '4.2']",https://jobs.hp.com/,Senior Firmware Engineer,"Buffalo Grove, IL",$87K - $115K (Glassdoor est.),"Description -
The Data Science & AI group in Personal System Software is responsible for delivering a broad range of software capabilities, including generating actionable insights from business data, increasing operational efficiency with automation, and building breakthrough experiences for HP products and services. We are seeking Machine Learning engineer to collaborate with our software engineers and product teams to solve difficult technical problems and develop new machine learning capabilities that will impact upcoming HP products. If you have deep technical skills, are intensely curious, and like to attack the hardest and the most challenging problems, want to make a difference in the lives of others, and want to work in a highly supportive environment, then we invite you to apply to join our team.
In this highly visible role, you will:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846c5411ac8c7c29817c8722b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_66ae4155&cb=1668264782034&jobListingId=1007656475434&jrtk=3-0-1ghm584enkbmb801-1ghm584f6209v001-5026c3d05343dae5-
"['HP', '4.2']",https://jobs.hp.com/,Senior Firmware Engineer,"Buffalo Grove, IL",$87K - $115K (Glassdoor est.),"Applies advanced subject matter knowledge to solve complex business issues and is regarded as a subject matter expert. Frequently contributes to the development of new ideas and methods. Works on complex problems where analysis of situations or data requires an in-depth evaluation of multiple factors. Leads and/or provides expertise to functional project teams and may participate in cross-functional initiatives. Acts as an expert providing direction and guidance to process improvements and establishing policies. Frequently represents the organization to external customers/clients. Exercises significant independent judgment within broadly defined policies and practices to determine best method for accomplishing work and achieving objectives. May provide mentoring and guidance to lower level employees.
Responsibilities:
Leads multiple project teams of other software applications engineers and internal and outsourced development partners responsible for all stages of design and development for complex products and platforms, including solution design, analysis, coding, testing, and integration.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846c5411ac8c7c29817c8722b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_72b4b3fa&cb=1668264784941&jobListingId=1008038710557&jrtk=3-0-1ghm584enkbmb801-1ghm584f6209v001-77c60c8641c47b16-
"['HP', '4.2']",https://jobs.hp.com/,Senior Firmware Engineer,"Buffalo Grove, IL",$87K - $115K (Glassdoor est.),"Responsible for designing, developing, and managing activities for a specific software product or group of products from product definition and planning through production, release, and end of life. Individuals in these roles may have responsibilities across multiple software engineering disciplines oh which the goal is development of creative, industry-leading, software services and solutions.
Responsibilities:
Collaborates with engineering and development teams to evaluate and identify optimal software solutions.
Works with more senior engineers in the design and deployment of software.
Designs, codes, and debugs applications in various software languages.",11d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846c5411ac8c7c29817c8722b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f46398ab&cb=1668264787805&jobListingId=1008249257858&jrtk=3-0-1ghm584enkbmb801-1ghm584f6209v001-063f6f8367cb1a20-
"['HP', '4.2']",https://jobs.hp.com/,Senior Firmware Engineer,"Buffalo Grove, IL",$87K - $115K (Glassdoor est.),"Are you passionate about technology and looking to work in an agile start-up environment that is built on the brand recognition, solution capabilities, and global reach of a world-class technology pioneer? The HP Workforce Services Solutions (WSS) team operates in a highly dynamic landscape that delivers a best-in-class, multi-OS Services portfolio powered by software, cloud, data analytics, and machine learning.
The Managed Insights Product Team within HP Workforce Services & Solutions is seeking a forward thinking, tech-savvy Product Manager who is passionate about delivering solutions that drive business value and growth.
The ideal candidate will have a proven track record of working with engineering and business stakeholders to drive successful delivery and adoption of strategic portfolio integrations that improve workplace productivity and streamline IT operations. You will be expected to routinely exercise independent judgment in developing and evangelizing product growth plans that meet our roadmap and business objectives.",3d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846c5411ac8c7c29817c8722b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_943c616b&cb=1668264789703&jobListingId=1008267816581&jrtk=3-0-1ghm584enkbmb801-1ghm584f6209v001-d6f695ffe5a90638-
"['HP', '4.2']",https://jobs.hp.com/,Senior Firmware Engineer,"Buffalo Grove, IL",$87K - $115K (Glassdoor est.),"Your day to day • Leverage your programming skills to build rich user experiences, solve complex problems with content collaboration, audio and video processing. The solutions you build will run on a wide variety of hardware platforms around the world and be used every day. • Turn software requirements into clean working software. • Use the latest technologies to build Android services, applications, and API's. • Balance performance with the constraints of embedded platforms. What you bring to the team • Bachelor’s or master’s degree in Computer Science or related field. • Knowledge of C++, Java, Kotlin or similar object-oriented programming language. • Strong problem solving and troubleshooting skills. • Passionate about bringing your 'A' game every day and learning from a stellar team of engineers.

About HP

You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.",7d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846c5411ac8c7c29817c8722b8&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_48b6c80b&cb=1668264792937&jobListingId=1008259150805&jrtk=3-0-1ghm584enkbmb801-1ghm584f6209v001-735412b23b923b97-
