Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Halliburton', '3.7']",http://www.halliburton.com/,Software Architect,"Houston, TX",$104K - $151K (Glassdoor est.),"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Responsibilities:
Lead for taking architect decisions for web application development using AKS, .net and document DB environment
Provides detail technical design to developers
Leads the developers for scrum ceremonies along with the scrum master
Manages team of developers onsite and works through technical leads
Help team provide estimation for the business requirement
Works with product owners to understand requirement and transform into technical solution evaluating technical and business trade offs


Bachelors or masters degree in Computer science with minimum 11 years of industry experience
Must have experience with microservice architecture & Containers using Docker and AKS.
Must have experience with .Net API for backend API development
Must have experience collaborating across various component team and Hybrid tech stack ( Edge, Web, Cloud )
Good to have experience with web development preferably using Angular
Good to have experience with Algorithms and experience developing realtime application data using SignalR or similar tech
Sound knowledge of documentDb like Cosmos, MongoDb
Must be able to drive execution and if required hands on coding
Must be able to work independently to solve complex problems
Must be able to assist developers to solve technical problems
Strong written and verbal communication skill
Good to have experience leading large & distributed group of developer
Must have experience working with internal stakeholders ( Product owners , End user , Senior Management )

Skills typically acquired through the completion of an undergraduate degree in Computer Science or similar discipline, and 7 years of related experience or through 11 years of software development experience. Completion of a masters in Computer Science or similar discipline is preferred.

Candidates having qualifications that exceed the minimum job requirements will receive consideration for higher-level roles give (1) their experience, (2) additional job requirements, and/or (3) business needs. Depending on education, experience, and skill level, a variety of job opportunities might be available Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation.

Location
3000 N. Sam Houston Parkway E. , Houston , Texas , 77032 , United States

Job Details
149422
Experienced Hire
Engineering/Science/Technology
Production Enhancement
Full Time",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7beb0cbb25b384f372490d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cd39bc2c&cb=1668233821978&jobListingId=1008269374441&jrtk=3-0-1ghl7nqpiklt0801-1ghl7nqq8ghqn800-b6199aee94396e10-
"['Halliburton', '3.7']",http://www.halliburton.com/,Software Architect,"Houston, TX",$104K - $151K (Glassdoor est.),"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Job Description & Requirements

Qualifications
Experience with complex, innovative algorithm design and math-intensive software development in C/C++.
Strong foundation in geometric modeling, computational geometry, CAD, FEM or computer graphics.
Experience with numerical optimization techniques.
High standards for code quality, maintainability, robustness and performance.
Evidence of achievement in academia or industry.
Requires completion of an undergraduate degree in Computer Science, Engineering, Geoscience, or similar discipline, and a minimum of 6 years of related experience, which includes software development and algorithms.


Under general supervision, provides technical leadership while maintaining the ability to advance development expertise by designing, coding, testing, trouble-shooting, and documenting engineering systems applications.
Assists in scoping and costing of technical solutions.
This role will have responsibility for identifying and filling technological and functional requirements needed by the organization, or the project.
Ensures that the technical solutions produced meet the accepted technical standards.
Supervises development, QA, and/or other technical staff members. Manages the development team and potentially outside consultants in coordinating project design and milestone reviews to ensure on-time, on-schedule, on-scope delivery.
Responsible for staffing and career development within the team.
Utilizes project management skills and tracking tools in the organization and execution of project assignments.
Executes tactical action plans according to department goals and objectives.
Contributes technical leadership and provides technical guidance in the area of expertise to the delivery of the product.
Incorporates reliability analysis and promotes optimum use of development tools and standards during the design process.
Ensures re-use of technical components and reduced duplication.
Possesses understanding of the supported PSL's technology and broad understanding of the associated development tools.

Candidates having qualifications that exceed the minimum job requirements will receive consideration for higher-level roles give (1) their experience, (2) additional job requirements, and/or (3) business needs. Depending on education, experience, and skill level, a variety of job opportunities might be available from Tech Prof- Technology, Ld to Tech Prof Leader – Technology, Sr. Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation.

Location
3000 N Sam Houston Pkwy E , Houston , Texas , 77032 , United States

Job Details
132818
Experienced Hire
Engineering/Science/Technology
Landmark Software & Services
Full Time",26d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a7beb0cbb25b384f372490d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2e5e6cd8&cb=1668233823878&jobListingId=1008210325165&jrtk=3-0-1ghl7nqpiklt0801-1ghl7nqq8ghqn800-9a492fce9e563eb0-
"['Halliburton', '3.7']",http://www.halliburton.com/,Software Architect,"Houston, TX",$104K - $151K (Glassdoor est.),"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

HALLIBURTON

The Advanced Controls COE is Looking for You

Locations: Houston or Singapore

Responsibilities
Conducting research and development in modeling, control, and data analytics for solving challenging problems in the oil & gas industry
Contributing to the identification of high value problems and opportunities
Participating in control system design, control system prototyping, and implementation
Design smart systems to augment complex tasks
Collaborating with team members and providing necessary support for technology transfer
Publishing results in patent applications, technical journals, and conferences

Required Education and Skills
A PhD (or equivalent experience) from Mechanical Engineering, Aerospace Engineering, Computer Science, Chemical Engineering, or Electrical Engineering with a focus on Control Theory and Applications, Robotics, Mechatronics, Machine Learning, or Data Analytics.
Experience and strong interest in solving practical problems, from invention to implementation in the field
An excellent publication and patent record consistent with experience.
Extensive knowledge in control theory, such as modern control, adaptive control, robust control, nonlinear control, optimal control, Model Predictive Control, etc., with outstanding ability to identify the proper control method for solving practical control problems and, when necessary, to develop new control methods, and/or
Extensive knowledge and practical experience in the application of Data Analytics including machine learning techniques such as SVM, Neuro Network, Bayes network, Genetic Algorithms, etc., preferably with control applications, and/or
Knowledge of robotic systems with high DoF control, path planning, mechatronics, or dynamic modeling of complex systems
Demonstrated teamwork, strong communication skills, and collaborative in complex engineering projects.
Skills typically acquired through the completion of an undergraduate degree in Science, Engineering or similar discipline, and 2 years of related experience. Completion of a masters or PHD in Science or Engineering is preferred

Preferred Experiences
Worked with large data sets, unstructured data, structured data and supporting compute/cloud systems like Microsoft Azure
Built tools/workflows and support structures needed to analyze data, perform data cleaning, execute feature detection and extract business value from data
Developed models, control algorithms, workflows, & software for use in field operations.
Leveraged data visualization software applications, such as R, Power BI, Spotfire or Tableau

Candidates having qualifications that exceed the minimum job requirements will receive consideration for higher-level roles give (1) their experience, (2) additional job requirements, and/or (3) business needs. Depending on education, experience, and skill level, a variety of job opportunities might be available Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation.

Location
3000 N. Sam Houston Parkway E. , Houston , Texas , 77032 , United States

Job Details
145752
Experienced Hire
Engineering/Science/Technology
Sperry Drilling Svcs
Full Time",24h,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a7beb0cbb25b384f372490d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_43687786&cb=1668233827536&jobListingId=1008275060014&jrtk=3-0-1ghl7nqpiklt0801-1ghl7nqq8ghqn800-095e967fe3580d78-
"['Halliburton', '3.7']",http://www.halliburton.com/,Software Architect,"Houston, TX",$104K - $151K (Glassdoor est.),"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Responsibilities:
Under general supervision applies functional specifications and uses engineering tools to design hardware, electronic circuits, control systems or algorithms for product changes and new development.
Under general direction, designs, develops, tests, and supports electrical and/or electronic hardware and/or firmware for downhole tools and surface systems.
This may include analog and digital circuitry, power transmission and distribution, signal and communications systems.
Diagnoses instrument and electrical and/or electronic system problems.
Services, troubleshoots, repairs and/or replaces and maintains instrument and electrical and/or electronics component level in surface and downhole equipment.
Independently performs analytical troubleshooting, repair and maintenance of electrical and/or electronic systems.
May independently develop, test and debug firmware for Microprocessor/Micro-controller/DSP system.
Independently evaluates, selects and applies standard engineering techniques, procedures and criteria, using a judgment in making minor adaptations and modifications.
Develops specifications, process study, research investigations, and report preparation.
Provide technical guidance to designers/drafters and less experience engineers as required.
May provide technical leadership in developing solutions and/or devising new approaches to problems encountered.
Incorporates reliability analysis during the design and test process.
Comply with Halliburton HSE and Service Quality requirements. Job tasks, correctly performed, impact indirectly on cost containment, efficiency, profitability or operations.


Undergraduate degree in Electrical Engineering, Electronics Engineering or similar discipline.
4 years of related experience.

Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation .

Location
835 W 41st St South, Tulsa, Oklahoma, 74104, United States

Job Details
170895
Experienced Hire
Engineering/Science/Technology
Artificial Lift
Full Time


Compensation Information
Compensation is competitive and commensurate with experience.",10d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a7beb0cbb25b384f372490d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6cce166c&cb=1668233831406&jobListingId=1008250774658&jrtk=3-0-1ghl7nqpiklt0801-1ghl7nqq8ghqn800-f77ff18b30ce9a11-
"['Halliburton', '3.7']",http://www.halliburton.com/,Software Architect,"Houston, TX",$104K - $151K (Glassdoor est.),"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Overview:
Developing software for an upstream oil and gas industry can be very challenging due to various environments under which it has to work flawlessly. We are in the midst of our journey of digital transformation and automation of our services. We are looking for a highly talented and experienced software developer who can contribute in this exciting journey. In this position, you will apply your expertise to help shape technical vision and strategies that align with the business unit roadmap by identifying opportunities, providing solutions and solving business challenges. In this capacity, you will collaborate with other stakeholders to ensure the software being designed and developed is aligned with business requirements. You will be instrumental in helping facilitate the development of highly efficient, highly reliable, fault-tolerant scalable solutions to satisfy those objectives. Projects will be diverse and will directly affect the operation and effectiveness of field operations.


Under broad direction, applies skills to implementing leading edge software technologies and enhancing the Technical Software Development process
Conceives, proposes, and sells new ideas and products in the engineering organization and guides their implementation to a final product
Provides technical direction in area of specialty on major software products and services
Works on designs that span several groups at an enterprise level
Incumbent must be hands-on, be able to operate unsupervised and is called on to consult for the most complex design projects
May direct and monitor the work of other programming personnel across large scale development projects including involvement in design and milestone reviews
Coaches and mentors less senior developers and provides Technical Excellence Leadership
Must possess excellent communication skills
Skills typically acquired through the completion of an undergraduate degree in Computer Science or similar discipline, and 7 years of related experience or through 11 years of software development experience
Completion of a masters in Computer Science or similar discipline is preferred
Candidates having qualifications that exceed the minimum job requirements will receive consideration for higher-level roles give (1) their experience, (2) additional job requirements, and/or (3) business needs. Depending on education, experience, and skill level, a variety of job opportunities might be available Principal Engineer Software Development, Technical Advisor Software Development, up to the Technical Advisor Software Development
Strong experience with Microsoft .Net Framework (C#) and .NET Core for developing apps and services using Microsoft Visual Studio.
Experience in full-stack web development with Angular 2+, HTML5/CSS3/JavaScript and Bootstrap 3.x


Oil and Gas experience including drilling or geological related applications development
Demonstrated ability to stay current with Application Architecture best practices, design patterns, existing and emerging technologies and platforms, architectural and systems engineering trends
Broad technical expertise in the design and development of complex multi-tiered distributed engineering applications
Experience with cloud development (preferably Azure). Azure certification with AZ-305 (or equivalent) is a strong plus
Experience with event-based programming, microservices and use of containers
Experience with RDBMS including SQL. Experience using ORM tools such as Entity Framework
Familiar with using NoSQL database
Familiar with mobile app development
Strong Math background/Numerical Analysis experience with Scientific applications development
Job role contributes to value creation

Candidates having qualifications that exceed the minimum job requirements will receive consideration for higher-level roles give (1) their experience, (2) additional job requirements, and/or (3) business needs. Depending on education, experience, and skill level, a variety of job opportunities might be available Principal Engineer Software Development, Technical Advisor Software Development, up to the T echnical Advisor Software Development Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation.

Location
3000 N. Sam Houston Parkway E. , Houston , Texas , 77032 , United States

Job Details
157465
Experienced Hire
Engineering/Science/Technology
Sperry Drilling Svcs
Full Time",22d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a7beb0cbb25b384f372490d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b8fcebef&cb=1668233834202&jobListingId=1008222361701&jrtk=3-0-1ghl7nqpiklt0801-1ghl7nqq8ghqn800-a7aeb4ecf5b10972-
"['Halliburton', '3.7']",http://www.halliburton.com/,Software Architect,"Houston, TX",$104K - $151K (Glassdoor est.),"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Fullstack Engineer – Team Lead

Responsibilities
Leading and guiding the team to ensure the team performs with a high efficiency
Design and architect solutions that solve technical challenges for the team
Provides technical leadership during implementation and code reviews
Clearly communicates project status, progress, and blockers to the rest of the team
Assisting and mentoring new team members
Writing and modifying design documentation, technical requirements analysis, test results documentation and standard operating procedures
Managing resource needs through recruiting and onboarding

Preferred Qualifications
Excellent leadership skills, with minimum of 2 years team leading experience on a fullstack level
Strong analytical and problem-solving skills
Positive attitude with good organizational and communication skills
Minimum 4 years of experience in designing and building applications in a frontend framework, preferably Vuejs
At least 5 years hands on experience with backend technologies with one or more programming languages including but not limited to c++, Java or Python
Experience using and implementing RESTful APIs
Experience with CI and Source control systems such as Jenkins and Git
Experience with CD tools such as Docker and Kubernetes
Knowledge of working with databases such as Redis and SQL
Knowledge of professional software engineering practices & best practices for the full software development life cycle, including coding standards, code reviews, source control management, build processes, testing, and operations
Ability to take a project from scoping requirements through actual launch of the project
Candidates having qualifications that exceed the minimum job requirements will receive consideration for higher-level roles give (1) their experience, (2) additional job requirements, and/or (3) business needs. Depending on education, experience, and skill level, a variety of job opportunities might be available Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation.

Location
3000 N. Sam Houston Parkway E. , Houston , Texas , 77032 , United States

Job Details
136940
Experienced Hire
Engineering/Science/Technology
Production Enhancement
Full Time",21d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a7beb0cbb25b384f372490d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c47585ed&cb=1668233836965&jobListingId=1008226217036&jrtk=3-0-1ghl7nqpiklt0801-1ghl7nqq8ghqn800-4965e75f89ecef13-
"['Halliburton', '3.7']",http://www.halliburton.com/,Software Development (Principal - Advisor),"Houston, TX",$94K - $130K (Glassdoor est.),"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Overview:
Developing software for an upstream oil and gas industry can be very challenging due to various environments under which it has to work flawlessly. We are in the midst of our journey of digital transformation and automation of our services. We are looking for a highly talented and experienced software developer who can contribute in this exciting journey. In this position, you will apply your expertise to help shape technical vision and strategies that align with the business unit roadmap by identifying opportunities, providing solutions and solving business challenges. In this capacity, you will collaborate with other stakeholders to ensure the software being designed and developed is aligned with business requirements. You will be instrumental in helping facilitate the development of highly efficient, highly reliable, fault-tolerant scalable solutions to satisfy those objectives. Projects will be diverse and will directly affect the operation and effectiveness of field operations.


Under broad direction, applies skills to implementing leading edge software technologies and enhancing the Technical Software Development process
Conceives, proposes, and sells new ideas and products in the engineering organization and guides their implementation to a final product
Provides technical direction in area of specialty on major software products and services
Works on designs that span several groups at an enterprise level
Incumbent must be hands-on, be able to operate unsupervised and is called on to consult for the most complex design projects
May direct and monitor the work of other programming personnel across large scale development projects including involvement in design and milestone reviews
Coaches and mentors less senior developers and provides Technical Excellence Leadership
Must possess excellent communication skills
Skills typically acquired through the completion of an undergraduate degree in Computer Science or similar discipline, and 7 years of related experience or through 11 years of software development experience
Completion of a masters in Computer Science or similar discipline is preferred
Candidates having qualifications that exceed the minimum job requirements will receive consideration for higher-level roles give (1) their experience, (2) additional job requirements, and/or (3) business needs. Depending on education, experience, and skill level, a variety of job opportunities might be available Principal Engineer Software Development, Technical Advisor Software Development, up to the Technical Advisor Software Development
Strong experience with Microsoft .Net Framework (C#) and .NET Core for developing apps and services using Microsoft Visual Studio.
Experience in full-stack web development with Angular 2+, HTML5/CSS3/JavaScript and Bootstrap 3.x


Oil and Gas experience including drilling or geological related applications development
Demonstrated ability to stay current with Application Architecture best practices, design patterns, existing and emerging technologies and platforms, architectural and systems engineering trends
Broad technical expertise in the design and development of complex multi-tiered distributed engineering applications
Experience with cloud development (preferably Azure). Azure certification with AZ-305 (or equivalent) is a strong plus
Experience with event-based programming, microservices and use of containers
Experience with RDBMS including SQL. Experience using ORM tools such as Entity Framework
Familiar with using NoSQL database
Familiar with mobile app development
Strong Math background/Numerical Analysis experience with Scientific applications development
Job role contributes to value creation

Candidates having qualifications that exceed the minimum job requirements will receive consideration for higher-level roles give (1) their experience, (2) additional job requirements, and/or (3) business needs. Depending on education, experience, and skill level, a variety of job opportunities might be available Principal Engineer Software Development, Technical Advisor Software Development, up to the T echnical Advisor Software Development Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation.

Location
3000 N. Sam Houston Parkway E. , Houston , Texas , 77032 , United States

Job Details
157465
Experienced Hire
Engineering/Science/Technology
Sperry Drilling Svcs
Full Time",22d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7c5cf1817f7032acba455e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_76858cd9&cb=1668233852011&jobListingId=1008222361701&jrtk=3-0-1ghl7on9rk61j801-1ghl7onaaii2f800-a7aeb4ecf5b10972-
"['Halliburton', '3.7']",http://www.halliburton.com/,Embedded Systems Engineer,"Tulsa, OK",$77K - $106K (Glassdoor est.),"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Responsibilities:
Under general supervision applies functional specifications and uses engineering tools to design hardware, electronic circuits, control systems or algorithms for product changes and new development.
Under general direction, designs, develops, tests, and supports electrical and/or electronic hardware and/or firmware for downhole tools and surface systems.
This may include analog and digital circuitry, power transmission and distribution, signal and communications systems.
Diagnoses instrument and electrical and/or electronic system problems.
Services, troubleshoots, repairs and/or replaces and maintains instrument and electrical and/or electronics component level in surface and downhole equipment.
Independently performs analytical troubleshooting, repair and maintenance of electrical and/or electronic systems.
May independently develop, test and debug firmware for Microprocessor/Micro-controller/DSP system.
Independently evaluates, selects and applies standard engineering techniques, procedures and criteria, using a judgment in making minor adaptations and modifications.
Develops specifications, process study, research investigations, and report preparation.
Provide technical guidance to designers/drafters and less experience engineers as required.
May provide technical leadership in developing solutions and/or devising new approaches to problems encountered.
Incorporates reliability analysis during the design and test process.
Comply with Halliburton HSE and Service Quality requirements. Job tasks, correctly performed, impact indirectly on cost containment, efficiency, profitability or operations.


Undergraduate degree in Electrical Engineering, Electronics Engineering or similar discipline.
4 years of related experience.

Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation .

Location
835 W 41st St South, Tulsa, Oklahoma, 74104, United States

Job Details
170895
Experienced Hire
Engineering/Science/Technology
Artificial Lift
Full Time


Compensation Information
Compensation is competitive and commensurate with experience.",10d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7c91cb9f97dbaa1dc74e64&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_90a8bab9&cb=1668233864465&jobListingId=1008250774658&jrtk=3-0-1ghl7p4fh28q7001-1ghl7p4g1gsro800-f77ff18b30ce9a11-
"['Halliburton', '3.7']",http://www.halliburton.com/,Embedded Systems Engineer,"Tulsa, OK",$77K - $106K (Glassdoor est.),"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Location: Duncan, OK preferred / Houston, TX Alternative

In this role, you will be responsible for the collaboration and interactions in the review of specific customer application(s) using electric technologies for the Low and Medium Voltage power systems for Halliburton’s Production Enhancement Product Service Lines (PSL). Also, you will support the delivery/commissioning of these state-of-the-art technology solutions for challenging applications in oil & gas to improve operational efficiency, lower costs and emissions, and maximize well productivity. You will need to be creative, dynamic, passionate, and data-driven with the ability to effectively communicate and influence the internal teams and/or customers to deliver best-in-class solutions. This is a high visibility position where the incumbent is expected to frequently interact with Technology, business leadership, and customers to formulate and plan technology delivery for electrical power systems applications.

Cultivate a culture of collaboration in the electrical low and medium voltage power systems to ensure that state-of-the-art technology is applied in the development of new customer technical solutions. Hands on experience in the development of applications of electrical equipment and systems including micro-grids, utility electrical interfaces, natural gas (NG) generators and turbines using industrial electrical distribution, medium voltage switchgear, transformers, motor control centers, AC motors, and protection systems for mobile applications. Actively collaborate with other personnel engaged in equipment design, maintenance, and operation to ensure safe, reliable deployment of high-performance solutions meeting customer requirements. Interact closely with suppliers to ensure performance, reliability and quality of components and subsystems.

Minimum of bachelor’s degree in electrical engineering with at least 5 years of electrical power systems engineering experience or related/applicable experience. Master’s degree is highly desired but not required. Experience working with customers in the use/application/selection of mobile electrical gear to solve customer specific solutions, and knowledgeable with electrical analysis and in the use of commercial software such as SKM preferred, or ETAP, etc., Experience in medium voltage power generation and/or distribution for oil & gas applications preferred. Experience with large-scale industrial processes (chemical, pharmaceutical, oil & gas refining) is essential to be successful in this role. Understanding of the commissioning of power systems solutions (low & medium voltage), using utility power, micro-grids, and mobile power generation (NG gas turbine & recip. engines), and demonstrated troubleshooting skills is desired, but not required.

Ability to read and interpret electrical and mechanical drawings and diagrams, electrical schematics, piping, and instrument drawings (P&IDs), flow charts and cause and effect diagrams.

Candidates having qualifications that exceed the minimum job requirements will receive consideration for higher-level roles given (1) their experience, (2) additional job requirements, and/or (3) business needs. Depending on education, experience, and skill level, a variety of job opportunities might be available.

Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation.

Location
2600 South 2nd St , Duncan , Oklahoma , 73533 , United States

Job Details
128196
Experienced Hire
Engineering/Science/Technology
Production Enhancement
Full Time",3d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a7c91cb9f97dbaa1dc74e64&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_87b87d28&cb=1668233866515&jobListingId=1008267009158&jrtk=3-0-1ghl7p4fh28q7001-1ghl7p4g1gsro800-4fb212eed4c03f3c-
"['Halliburton', '3.7']",http://www.halliburton.com/,Embedded Systems Engineer,"Tulsa, OK",$77K - $106K (Glassdoor est.),"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.

Under general direction, demonstrates creativity, foresight, and mature engineering judgment in anticipating and solving engineering problems during the development and application of new and improved products and processes

Design and implement Cementing fluids and wellbore construction solutions, reservoir and/or wellbore fluid treatment and placement applications

Apply advanced fluid mechanics theory and design to the rheological characterization of fluids, flow modeling, solids transport, viscoelasticity, and friction

May apply advanced geomechanics technologies in the areas of mini-frac analysis, formation sanding potential, wellbore stability assessment, pore pressure prediction, stress analysis and mechanical property determination

Implement advanced reservoir engineering techniques in areas of production decline analysis, well test analysis, fluid flow in porous media, and production simulation

Perform numerical modeling, data analysis, correlation and model development utilizing existing commercial software and assist in development of new modeling software

Develop chemical products and processes by providing chemical and engineering analysis applicable to need

May design and perform specialized tests and simulations including design and construction of modeling apparatus and data acquisition systems

Assist in development and testing of software products by providing engineering functions and may provide field support for existing software products

Assist in the preparation of detailed project plan and performance of the project as directed by project leaders and management

Resolve technical/operational questions with representatives of other organizations. Job tasks, correctly performed, impact indirectly on cost containment, efficiency, profitability or operations

Consequences of error are easily measured and can be confined

Skills are typically acquired through completion of an undergraduate degree in Engineering, Science, or similar discipline and a minimum of 4 years related experience

Certification as a Licensed/Chartered Professional is preferred. Candidates having qualifications that exceed the minimum job requirements will receive consideration for higher-level roles given (1) their experience, (2) additional job requirements, and/or (3) business needs. Depending on education, experience and skills, a variety of job opportunities might be available including Senior Petrophysical Applications Engineer up to a Principal Petrophysical Applications Engineer Halliburton is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, disability, genetic information, pregnancy, citizenship, marital status, sex/gender, sexual preference/ orientation, gender identity, age, veteran status, national origin, or any other status protected by law or regulation.

Location
3000 N. Sam Houston Parkway E. , Houston , Texas , 77032 , United States

Job Details
134516
Experienced Hire
Engineering/Science/Technology
Cementing
Full Time",1d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a7c91cb9f97dbaa1dc74e64&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6bcd2f99&cb=1668233869153&jobListingId=1008272704192&jrtk=3-0-1ghl7p4fh28q7001-1ghl7p4g1gsro800-28cb3be786fd28f6-
