Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Lincoln Financial', '3.6']",https://www.lincolnfinancial.com/public/individuals,"Analyst, Application Development (Remote)","Hartford, CT",$63K - $138K (Employer est.),"Date: Nov 12, 2022
Primary Location: Hartford, CT, US
Company: Lincoln Financial
Alternate Locations: Work from Home

Work Arrangement: Work from Home

Relocation assistance:: is not available for this opportunity.

Pay Range: $63,100 - $137,900",26d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b3656a6be1a6c9c121cabff&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_792759eb&cb=1668246050891&jobListingId=1008211244616&jrtk=3-0-1ghljclmi2jq7001-1ghljcln3itnc800-da36719b7f679d86-
"['HSB', '3.7']",http://www.hsb.se/,"Analyst, Application Development (Remote)","Hartford, CT",$63K - $138K (Employer est.),"Software Engineer, Full Stack Developer

WE OFFER
Zeguro, a part of The Hartford Steam Boiler Inspection and Insurance Company (HSB) has an exciting opportunity to join our innovative cybersecurity SaaS team. We are looking for an individual for the position of Software Engineer, Full Stack Developer.

Our team (www.zeguro.com) at HSB is responsible for the Zeguro Cyber Safety solution that makes it easy for small businesses to protect themselves from cyber attacks. Join our team (based in the San Francisco bay area) to help millions of businesses be cyber safe.

This position is responsible for:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b3656a6be1a6c9c121cabff&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8074ec1d&cb=1668246052898&jobListingId=1008061060062&jrtk=3-0-1ghljclmi2jq7001-1ghljcln3itnc800-1b769e1a733b69fe-
"['HSB', '3.7']",http://www.hsb.se/,"Analyst, Application Development (Remote)","Hartford, CT",$63K - $138K (Employer est.),"Market Research Content Developer

WE OFFER
Translate a wide range of internal and externally developed market research into engaging, text and visual-based stories. These stories are meant to foster a deeper understanding of current and future trends impacting the business landscape.

Under moderate supervision and in partnership with other team members, author short-form stories, articles, and write-ups that will be shared through multiple communication channels within the company, including email communications, a digital library and Microsoft Teams. Some topics will have scarce amounts of supporting information and require strong skills to weave together engaging stories to share with the business. Use intuition and business experience to identify subject areas most applicable to our product and innovation pipeline. Partner with internal stakeholders to help deliver new content and enhanced content functionality for users while maintaining the data integrity, consistency and access of content in our foundational digital library. Work with internal thought partners, seeking to enable and facilitate the translation of in-house expertise into a highly shareable, synthesized format. Translate often complex concepts into a format that engenders interest and engagement to an internal audience.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b3656a6be1a6c9c121cabff&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_62207846&cb=1668246054857&jobListingId=1008125974745&jrtk=3-0-1ghljclmi2jq7001-1ghljcln3itnc800-603e82c5d65cd651-
"['HSB', '3.7']",http://www.hsb.se/,"Analyst, Application Development (Remote)","Hartford, CT",$63K - $138K (Employer est.),"Backend Software Manager

WE OFFER
Are you passionate about protecting businesses through the power of Internet of Things (IoT) and emerging technology? Do you get excited about creating leading edge sensor hardware, software, and analytics platforms?

HSB Applied Technology Solutions enables the future of insurance through our Small and Medium Enterprise (SME), Industrial, and Emerging Risk Solutions businesses. In tandem with Meshify, HSB's IoT technology subsidiary based in Austin, TX, we partner with insurance carriers, property owners and ecosystem players to create solutions that ""connect and protect"" our customers by combining the latest IoT technology, specialty insurance products, and innovative business models into game-changing offerings.

Team Lead for the backend team that acts as a bridge between sensors, users, and infrastructure. Work with stakeholders by designing solutions for complex and unique problems. Develop backend services in Go and work with NoSQL and SQL environments, using git, docker, and CI/CD tools. Manage backend developers to help build and maintain scalable and deployable solutions.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b3656a6be1a6c9c121cabff&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1ee45a53&cb=1668246057631&jobListingId=1007946119886&jrtk=3-0-1ghljclmi2jq7001-1ghljcln3itnc800-e4da30a2b33e743f-
"['Milliman', '4.1']",http://www.milliman.com/,"Analyst, Application Development (Remote)","Hartford, CT",$63K - $138K (Employer est.),"Job Details
Description
The Analyst position will assist in completing projects related to the Milliman Advanced Risk Adjusters™ (MARA) software product. The role includes providing analytical support to all aspects of this rapidly growing product business, including research and development, sales and marketing, client support, and software development. Tasks will include working collaboratively with data scientists to build new risk adjustment models using predictive modeling and other powerful analyses, model testing and maintenance, and development of user documentation and client support materials. Location is flexible within Milliman's offices, with preference for Minneapolis, MN, Seattle, WA, Houston, TX or Hartford, CT areas.
About MARA",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b3656a6be1a6c9c121cabff&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0fef1536&cb=1668246059446&jobListingId=1008114441162&jrtk=3-0-1ghljclmi2jq7001-1ghljcln3itnc800-c336bfade05c7d5d-
"['Munich Re America Services', '4.3']",http://www.munichre.com/,"Analyst, Application Development (Remote)","Hartford, CT",$63K - $138K (Employer est.),"Sr. Solution Architect - Data Analytics/ML Ops Engineer
Location
Hartford , United States
Your job
Munich Re America Services (MRAS) is a shared service organization that delivers services to all Munich Re US P&C Companies and other group entities.

We’re adding to our diverse team of experts and are looking to hire an employee committed to building a culture that enables the creation of innovative solutions for our business units and clients.

As a member of Munich Re's US operations, we offer the financial strength and stability that comes with being part of the world's preeminent insurance and reinsurance brand. Our risk experts work together to assemble the right mix of products and services to help our clients stay competitive – from traditional reinsurance coverages, to niche and specialty reinsurance and insurance products.

The section IT 1.6 Business Technology is responsible for successful consulting on, bundling, management and design of IT innovation solutions in close cooperation with the business divisional units and departments, and central divisions in Munich Re (Group), as well as with other IT units.

IT section1.6.4.1 in Munich and section 1.6.4.2 in Princeton is responsible for Munich Re’s “Big Data and Analytics Platform” and specific data and AI based solutions. This so-called BDAP platform builds the basis for the innovative digital solutions of Munich Re and needs permanent development.

We are looking for a highly motivated and passionate Data Analytics Architect Lead to drive high priority customer initiatives on the Microsoft Azure Platform in collaboration with customers. This is a customer facing role, owning overall technical relationship between customer and BDAP Data, Advanced Analytics and Artificial Intelligence Platform.

You will own the Data Platform & Advanced Analytics technical customer engagements within our North American Business Units including architectural design sessions, specific implementation projects and/or MVPs. The ideal candidate will have experience in customer-facing roles and success leading deep technical architecture discussions with senior customer executives, Enterprise Architects, IT Management and Developers to drive Data Platform and Advanced Analytics solutions to productions.
Key responsibilities include:




At Munich Re US, we see Diversity and Inclusion as a solution to the challenges and opportunities all around us. Our goal is to foster an inclusive culture and build a workforce that reflects the customers we serve and the communities in which we live and work. We strive to provide a workplace where all of our colleagues feel respected, valued and empowered to achieve their very best every day. We recruit and develop talent with a focus on providing our customers the most innovative products and services.

We are an equal opportunity employer. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",30d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b3656a6be1a6c9c121cabff&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4d1d9ef3&cb=1668246063364&jobListingId=1008203490263&jrtk=3-0-1ghljclmi2jq7001-1ghljcln3itnc800-cada9700c372b0e3-
"['College of the Holy Cross', '3.8']",http://www.holycross.edu/,"Analyst, Application Development (Remote)","Hartford, CT",$63K - $138K (Employer est.),"Location: Worcester, MA Category: Information Technology Posted On: Tue Sep 20 2022 Job Description:

Reporting to the Director of IT Customer Experience, the Administrative Relationship Manager acts as techno-functional liaison between Information Technology Services and administrative departments with a focus on finance, student financials, and aid. This position's primary goal is to help administrative departments identify and achieve efficiencies and automations that allow for staff to focus on the business of the College. The incumbent is responsible for managing and supporting a portfolio of applications used in administrative support of the functions of the College. This position works with administrative departments to determine needs and evaluate technology solutions. This position will serve as a point of escalation for customer issues and shepherd projects through governance processes.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b3656a6be1a6c9c121cabff&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2ed2a284&cb=1668246065202&jobListingId=1008151438446&jrtk=3-0-1ghljclmi2jq7001-1ghljcln3itnc800-c3b92d18614b6198-
"['CGI Group, Inc.', '3.9']",https://www.cgi.com/us/en-us/careers,"Analyst, Application Development (Remote)","Hartford, CT",$63K - $138K (Employer est.),"Java Engineer

Position Description
Developer will work on a team of truly talented individuals and be responsible for the design, build, and unit testing of IT applications and its components that interface with complex enterprise systems and external vendor systems.
Excellent communication skills both written and oral are also essential as this position will interface with remote scrum teams, business owners, enterprise architects, security, infrastructure, and end users via email, phone, IM, desktop sharing, and wiki.

The role can be performed in Raleigh, NC, Hartford, CT, Chattanooga, TN, or Lafayette, LA.

Your future duties and responsibilities

Required qualifications to be successful in this role

Nice to have

#LI-ARK1
#DICE

CGI is required by law in some jurisdictions to include a reasonable estimate of the compensation range for this role. The determination of this range includes various factors not limited to: skill set level; experience and training; and licensure and certifications. CGI typically does not hire individuals at or near the top of the range for their role. Compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is $84,000 - 161,600.

At CGI we call our professionals ""members"" to reinforce that all who join our team are, as owners, empowered to participate in the challenges and rewards that come from building a world-class company. CGI's benefits include:



While technology is at the heart of our clients' digital transformation, we understand that people are at the heart of business success.

When you join CGI, you become a trusted advisor, collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes. We call our employees ""members"" because they are CGI shareholders and owners and owners who enjoy working and growing together to build a company we are proud of. This has been our Dream since 1976, and it has brought us to where we are today - one of the world's largest independent providers of IT and business consulting services.

At CGI, we recognize the richness that diversity brings. We strive to create a work culture where all belong and collaborate with clients in building more inclusive communities. As an equal-opportunity employer, we want to empower all our members to succeed and grow. If you require an accommodation at any point during the recruitment process, please let us know. We will be happy to assist.

Ready to become part of our success story? Join CGI - where your ideas and actions make a difference.

Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, pregnancy, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, or any other legally protected status or characteristics.

CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at US_Employment_Compliance@cgi.com . You will need to reference the requisition number of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. .

We make it easy to translate military experience and skills! Click here to be directed to our site that is dedicated to veterans and transitioning service members.

All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held. CGI will consider for employment qualified applicants with arrests and conviction records in accordance with all local regulations and ordinances.

CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI's legal duty to furnish information.",4d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b3656a6be1a6c9c121cabff&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_21e8065f&cb=1668246069134&jobListingId=1008264471131&jrtk=3-0-1ghljclmi2jq7001-1ghljcln3itnc800-1537eb19717359a7-
"['CGI Group, Inc.', '3.9']",https://www.cgi.com/us/en-us/careers,"Analyst, Application Development (Remote)","Hartford, CT",$63K - $138K (Employer est.),"Sr Oracle Database Administrator

Position Description
We are looking for a highly skilled Oracle Database Administrator to join our growing team.
The individual in this role would be responsible for supporting our software development teams under DBA capacity and working under the agile methodology.

The role can be performed in Raleigh, NC, Hartford, CT, Chattanooga, TN, or Lafayette, LA.

Your future duties and responsibilities
Single point of contact to provide day-to-day support for Oracle databases aligned to applications
Provide database administration for a variety of mission-critical custom and packaged software applications

Required qualifications to be successful in this role
o 6+ years of Oracle (Linux, Unix, Windows)
o 3+ years of strong Linux background
o 3+ years of scripting experience

Nice to have

#LI-ARK1
#DICE

CGI is required by law in some jurisdictions to include a reasonable estimate of the compensation range for this role. The determination of this range includes various factors not limited to: skill set level; experience and training; and licensure and certifications. CGI typically does not hire individuals at or near the top of the range for their role. Compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is $74,600 - 143,700.

At CGI we call our professionals ""members"" to reinforce that all who join our team are, as owners, empowered to participate in the challenges and rewards that come from building a world-class company. CGI's benefits include:



While technology is at the heart of our clients' digital transformation, we understand that people are at the heart of business success.

When you join CGI, you become a trusted advisor, collaborating with colleagues and clients to bring forward actionable insights that deliver meaningful and sustainable outcomes. We call our employees ""members"" because they are CGI shareholders and owners and owners who enjoy working and growing together to build a company we are proud of. This has been our Dream since 1976, and it has brought us to where we are today - one of the world's largest independent providers of IT and business consulting services.

At CGI, we recognize the richness that diversity brings. We strive to create a work culture where all belong and collaborate with clients in building more inclusive communities. As an equal-opportunity employer, we want to empower all our members to succeed and grow. If you require an accommodation at any point during the recruitment process, please let us know. We will be happy to assist.

Ready to become part of our success story? Join CGI - where your ideas and actions make a difference.

Qualified applicants will receive consideration for employment without regard to their race, ethnicity, ancestry, color, sex, religion, creed, age, national origin, citizenship status, disability, pregnancy, medical condition, military and veteran status, marital status, sexual orientation or perceived sexual orientation, gender, gender identity, and gender expression, familial status, political affiliation, genetic information, or any other legally protected status or characteristics.

CGI provides reasonable accommodations to qualified individuals with disabilities. If you need an accommodation to apply for a job in the U.S., please email the CGI U.S. Employment Compliance mailbox at US_Employment_Compliance@cgi.com . You will need to reference the requisition number of the position in which you are interested. Your message will be routed to the appropriate recruiter who will assist you. .

We make it easy to translate military experience and skills! Click here to be directed to our site that is dedicated to veterans and transitioning service members.

All CGI offers of employment in the U.S. are contingent upon the ability to successfully complete a background investigation. Background investigation components can vary dependent upon specific assignment and/or level of US government security clearance held. CGI will consider for employment qualified applicants with arrests and conviction records in accordance with all local regulations and ordinances.

CGI will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with CGI's legal duty to furnish information.",4d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b3656a6be1a6c9c121cabff&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_00090dbf&cb=1668246073027&jobListingId=1008264471149&jrtk=3-0-1ghljclmi2jq7001-1ghljcln3itnc800-0d98078c6eb2c1ba-
"['Randstad', '3.9']",http://www.randstad.com/,"Analyst, Application Development (Remote)","Hartford, CT",$63K - $138K (Employer est.),"summary
$110,000 - $150,000 per year
permanent
bachelor degree
category
computer and mathematical occupations
reference
959778",24d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b3656a6be1a6c9c121cabff&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3f74b321&cb=1668246074804&jobListingId=1008216284172&jrtk=3-0-1ghljclmi2jq7001-1ghljcln3itnc800-5acc88d173a63b90-
