Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Home Depot / THD', '3.8']",http://www.careers.homedepot.com/,Software Engineer - Machine Learning (Remote),"Atlanta, GA",$130K (Employer est.),"Position Purpose:
The Software Engineer will focus on developing Business Intelligence reporting to create visualizations highlighting the successes, metrics, and processes for projects, programs, and ongoing initiatives. These reports may cover, but are not limited to, performance metrics, KPI metrics, contact center metrics, as well as ITIL Service Management reporting. The Software Engineer will play a key role connecting with the customer, learning their business and processes, gathering and understanding requirements, setting up and maintaining data pipeline jobs as necessary, writing code to aggregate, combine, and/or transform data, building visualizations, making certain the report meets and continues to meet customer needs, as well as anticipating new and future needs. Additionally, the Software Engineer will research new Business Intelligence technologies and contribute to continuous service improvement.
Key Responsibilities:",7d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a21df73bb6f220a56d83cb6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8f2c84a7&cb=1668227921454&jobListingId=1008258430324&jrtk=3-0-1ghl23o0dmbgs801-1ghl23o13i6hj800-4797ec9d39276ef7-
"['Home Depot / THD', '3.8']",http://www.careers.homedepot.com/,Software Engineer - Machine Learning (Remote),"Atlanta, GA",$130K (Employer est.),"Position Purpose:
The Software Engineer is responsible for assisting in developing and designing a product that Home Depot customers and associates will love. As a Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Software Engineers may be involved in product configuration, security, resilience, performance tuning and production monitoring.

Key Responsibilities:
60% Delivers and Executes - Assists in developing, testing, deploying, and maintaining software; Follows best practices established by the organization and participates in improvement conversations; Consistently helps the team achieve results, even under tough circumstances",1d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a21df73bb6f220a56d83cb6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_27730b3b&cb=1668227924049&jobListingId=1008271694923&jrtk=3-0-1ghl23o0dmbgs801-1ghl23o13i6hj800-c5e27474059a0245-
"['Home Depot / THD', '3.8']",http://www.careers.homedepot.com/,Software Engineer - Machine Learning (Remote),"Atlanta, GA",$130K (Employer est.),"Position Purpose:
The Software Engineer is responsible for assisting in developing and designing a product that Home Depot customers and associates will love. As a Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Software Engineers may be involved in product configuration, security, resilience, performance tuning and production monitoring.
Key Responsibilities:
60% Delivers and Executes - Assists in developing, testing, deploying, and maintaining software; Follows best practices established by the organization and participates in improvement conversations; Consistently helps the team achieve results, even under tough circumstances",6d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a21df73bb6f220a56d83cb6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_18a6be96&cb=1668227926448&jobListingId=1008259426369&jrtk=3-0-1ghl23o0dmbgs801-1ghl23o13i6hj800-8be1ebb72d5cad66-
"['Home Depot / THD', '3.8']",http://www.careers.homedepot.com/,Software Engineer - Machine Learning (Remote),"Atlanta, GA",$130K (Employer est.),"Position Purpose:
The Sr. Software Engineer is responsible for independently developing and consistently redesigning/refactoring a product to adapt to our customers and associates needs. As a Sr. Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Sr. Software Engineers may be involved in product and tool selection, configuration, security, resilience, performance tuning and production monitoring as well as mentoring less experienced engineers.

Major Tasks, Responsibilities & Key Accountabilities:
50% Delivery and Execution - Develops, tests, deploys, and maintains software, with a clear understanding of the value the software is to provide; Takes on new opportunities and tough challenges with a sense of urgency, high energy and enthusiasm; Consistently achieves results, even under tough circumstances; Develops test suites (functional, destructive, etc) to enable success, rapid deployment of code to production; Takes a broad view when approaching issues; using a global lens

20% Learns and Grows - Learns through successful and failed experiment when tackling new problems; Actively seeks ways to grow and be challenged using both formal and informal development channels

20% Plans and Aligns - Collaborates with other team members in agile processes; Creates new and better ways for the organization to be successful; Works the Product Team to ensure user stories are valuable, developer ready, easy to understand and testable; Delivers multi-mode communications that convey a clear understanding of the unique needs of different audiences; Adapts approach and demeanor in real time to match the shifting demands of different situations; Relates openly and comfortably with diverse groups of people

10% Supports and Enables - Helps grow junior engineers by providing guidance on modern software development frameworks, and leading technical discussions


This position typically reports to Software Engineer Manager or Sr. Manager

This position has 0 Direct Reports



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.


No travel required.",24h,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a21df73bb6f220a56d83cb6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_330d3502&cb=1668227930663&jobListingId=1008274512483&jrtk=3-0-1ghl23o0dmbgs801-1ghl23o13i6hj800-f5201e62693fac57-
"['Home Depot / THD', '3.8']",http://www.careers.homedepot.com/,Software Engineer - Machine Learning (Remote),"Atlanta, GA",$130K (Employer est.),"Position Purpose:
The Sr. Software Engineer is responsible for independently developing and consistently redesigning/refactoring a product to adapt to our customers and associates needs. As a Sr. Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Sr. Software Engineers may be involved in product and tool selection, configuration, security, resilience, performance tuning and production monitoring as well as mentoring less experienced engineers.

Key Responsibilities:
50% Delivery and Execution - Develops, tests, deploys, and maintains software, with a clear understanding of the value the software is to provide; Takes on new opportunities and tough challenges with a sense of urgency, high energy and enthusiasm; Consistently achieves results, even under tough circumstances; Develops test suites (functional, destructive, etc) to enable success, rapid deployment of code to production; Takes a broad view when approaching issues; using a global lens",2d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a21df73bb6f220a56d83cb6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4d7cf8cd&cb=1668227933084&jobListingId=1008268525884&jrtk=3-0-1ghl23o0dmbgs801-1ghl23o13i6hj800-f2f87f89dd285b8a-
"['Home Depot / THD', '3.8']",http://www.careers.homedepot.com/,Software Engineer - Machine Learning (Remote),"Atlanta, GA",$130K (Employer est.),"Position Purpose:
The Software Engineer is responsible for assisting in developing and designing a product that Home Depot customers and associates will love. As a Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Software Engineers may be involved in product configuration, security, resilience, performance tuning and production monitoring.

Major Tasks, Responsibilities & Key Accountabilities:
60% Delivers and Executes - Assists in developing, testing, deploying, and maintaining software; Follows best practices established by the organization and participates in improvement conversations; Consistently helps the team achieve results, even under tough circumstances


20% Learns and Grows - Learns through successful and failed experiment when tackling new problems; Actively seeks ways to grow and be challenged using both formal and informal development channels


20% Plans and Aligns - Builds partnerships and works collaboratively with others to meet shared objectives; Collaborates with other team members in agile processes; Relates openly and comfortably with diverse groups of people


This position typically reports to Software Engineer Manager or Sr. Manager


This position has 0 Direct Reports



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

No travel required.",3d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a21df73bb6f220a56d83cb6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6964b447&cb=1668227934969&jobListingId=1008266458406&jrtk=3-0-1ghl23o0dmbgs801-1ghl23o13i6hj800-7d76fe0c1b01756a-
"['Home Depot / THD', '3.8']",http://www.careers.homedepot.com/,Software Engineer - Machine Learning (Remote),"Atlanta, GA",$130K (Employer est.),"Position Purpose:
The Software Engineer is responsible for assisting in developing and designing a product that Home Depot customers and associates will love. As a Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Software Engineers may be involved in product configuration, security, resilience, performance tuning and production monitoring.

Major Tasks, Responsibilities & Key Accountabilities:
60% Delivers and Executes - Assists in developing, testing, deploying, and maintaining software; Follows best practices established by the organization and participates in improvement conversations; Consistently helps the team achieve results, even under tough circumstances


20% Learns and Grows - Learns through successful and failed experiment when tackling new problems; Actively seeks ways to grow and be challenged using both formal and informal development channels


20% Plans and Aligns - Builds partnerships and works collaboratively with others to meet shared objectives; Collaborates with other team members in agile processes; Relates openly and comfortably with diverse groups of people


This position typically reports to Software Engineer Manager or Sr. Manager
This position has 0 Direct Reports



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

No travel required.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a21df73bb6f220a56d83cb6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cc37e042&cb=1668227936848&jobListingId=1008168805908&jrtk=3-0-1ghl23o0dmbgs801-1ghl23o13i6hj800-44fbfaa770559b94-
"['Home Depot / THD', '3.8']",http://www.careers.homedepot.com/,Software Engineer - Machine Learning (Remote),"Atlanta, GA",$130K (Employer est.),"Position Purpose:

The Home Depot is able to offer virtual employment of this position in the following states:
AK, AZ, CA, GA, HI, ID, IL, KS, KY, ME, MA, MI, MN, MT, NE, NV, NH, NJ, NM, NY, ND, OH, OR, RI, SD, TX, UT, VT, WA, WV, WI, WY
For Nevada and New York City residents: The pay range for this position is between $100k and $150k. Starting salary may vary based on a number of factors including, but not limited to, the position being offered, location, education, training, and/or experience.
The Home Depot offers additional competitive financial and non-financial benefits, which may include a performance-based bonus program or a profit-sharing program depending on position.
About BlackLocus

BlackLocus is building cloud-based analytic tools to optimize and automate retail merchandising decisions such as pricing, assortment, space and fulfillment. By applying machine learning and revenue management techniques, the BlackLocus platform enables intelligent retail software to identify opportunities for competitive advantage. The company was a venture-funded startup, founded by Carnegie Mellon alumni and entrepreneurs with a passion for creative deployment of new technology. Acquired by The Home Depot in December of 2012, we operate with autonomy as a product lab from an office located in downtown Austin, TX.

Job Summary

BlackLocus is seeking creative, thoughtful coders to join our development team. Our people solve interesting, challenging problems while working closely with data scientists and business analysts. We build tools to make business actions simple even from large data sets. Our data mining and machine learning pipeline, as well as our user-facing applications, are built primarily in Java, Python, and JavaScript. Our services and tools are entirely cloud-deployed.


100%- Delivery & Execution: Write clean, maintainable, high-quality code; Collaborate to establish best practices across development projects; Help take new products from prototype to deployment; Solve problems with production systems and automate operations as much as possible
Stay current with advancements in technology and advocate for the appropriate use of those advancements in our own stack


This role reports to the Director of Engineering at Black Locus.
This role has no direct reports.



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

Typically requires overnight travel less than 10% of the time.",6d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a21df73bb6f220a56d83cb6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a0a4e3b4&cb=1668227938832&jobListingId=1008259426380&jrtk=3-0-1ghl23o0dmbgs801-1ghl23o13i6hj800-4b8a89ab1f22233a-
"['Home Depot / THD', '3.8']",http://www.careers.homedepot.com/,Software Engineer - Machine Learning (Remote),"Atlanta, GA",$130K (Employer est.),"Position Purpose:
The Software Engineer II is responsible for independently developing and assisting in the design of a product that our customers and associates love. As a Software Engineer II, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Software Engineer IIs may be involved in configuration, security, resilience, performance tuning and production monitoring.

Key Responsibilities:
60% Delivery and Execution - Collaborates and pairs with other product team members (UX, engineering, and product management) to create secure, reliable, scalable software solutions; Documents, reviews and ensures that all quality and change control standards are met; Works with Product Team to ensure user stories that are developer-ready, easy to understand, and testable; Writes custom code or scripts to automate infrastructure, monitoring services, and test cases; Writes custom code or scripts to do destructive testing to ensure adequate resiliency in production; Program configuration/modification and setup activities on large projects using HD approved methodology; Configures commercial off the shelf solutions to align with evolving business needs Creates meaningful dashboards, logging, alerting, and responses to ensure that issues are captured and addressed proactively",2d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a21df73bb6f220a56d83cb6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6328b866&cb=1668227942550&jobListingId=1008268525881&jrtk=3-0-1ghl23o0dmbgs801-1ghl23o13i6hj800-56a15a3885ebdcd0-
"['Home Depot / THD', '3.8']",http://www.careers.homedepot.com/,Software Engineer - Machine Learning (Remote),"Atlanta, GA",$130K (Employer est.),"Position Purpose:
The Sr. Software Engineer is responsible for technical operational support for a logistical application based system. As a Sr. Software Engineer, you will be part of a dynamic team with engineers of all experience levels who help each other build and grow technical and leadership skills while creating, deploying, and supporting production applications. In addition, Sr. Software Engineers may be involved in product and tool selection, configuration, security, resilience, performance tuning and production monitoring as well as mentoring less experienced engineers.

Major Tasks, Responsibilities & Key Accountabilities:
50% Delivery and Execution - Develops, tests, deploys, and maintains software, with a clear understanding of the value the software is to provide; Takes on new opportunities and tough challenges with a sense of urgency, high energy and enthusiasm; Consistently achieves results, even under tough circumstances; Develops test suites (functional, destructive, etc) to enable success, rapid deployment of code to production; Takes a broad view when approaching issues; using a global lens

20% Learns and Grows - Learns through successful and failed experiment when tackling new problems; Actively seeks ways to grow and be challenged using both formal and informal development channels

20% Plans and Aligns - Collaborates with other team members in agile processes; Creates new and better ways for the organization to be successful; Works the Product Team to ensure user stories are valuable, developer ready, easy to understand and testable; Delivers multi-mode communications that convey a clear understanding of the unique needs of different audiences; Adapts approach and demeanor in real time to match the shifting demands of different situations; Relates openly and comfortably with diverse groups of people

10% Supports and Enables - Helps grow junior engineers by providing guidance on modern software development frameworks, and leading technical discussions


This position typically reports to Software Engineer Manager or Sr. Manager

This position has 0 Direct Reports



1. Located in a comfortable indoor area. Any unpleasant conditions would be infrequent and not objectionable.

No travel required.",8d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a21df73bb6f220a56d83cb6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2555d27a&cb=1668227946546&jobListingId=1008255008692&jrtk=3-0-1ghl23o0dmbgs801-1ghl23o13i6hj800-e3f2e55e6d350a66-
