Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Honeywell', '4.0']",http://www.honeywell.com/,Software Engineer II,"Aguadilla, PR",$61K - $81K (Glassdoor est.),"Join a team recognized for leadership, innovation and diversity
Honeywell changes the way the world works.

For more than 130 years, we’ve solved the toughest customer challenges through a rare combination of our industrial expertise and our innovations in ground breaking software and technology, and industry-leading automation.
This perfection is built on a foundation of inclusion, diversity and driving a performance culture that values integrity and ethics.

Are you ready to help us make the future?

We lead with software and innovation.
Whether we’re turning mustard seeds into fuel, creating quantum algorithms or making taxis fly, our software engineering team is home to the world’s leading technological talent.

We want software engineers who not only have a solid foundation in coding, development, designing, testing and even hacking, but who also have a passion for empowering the world and making it a better place for everyone – today and tomorrow.

The candidate’s initial assignment will be supporting and maintaining solutions for Engineering Business Management (EBM) tools such as Aerospace Estimation Tool (AET). The AET development is part of a group of productivity projects to aid in the improvement of the quoting efforts within Honeywell Aerospace. AET serves as a single Aero-wide solution for estimation. This tool promotes a consistent quoting and reporting process, reduces the time it takes to generate an estimate by facilitating ease of access, communication, versioning, archival and electronic approval of estimates.

Candidate will perform day-to-day application support including user account management, guide, and train application users globally, master data management. Monitor and perform maintenance of the systems to ensure reliable performance. This role also includes systems requirements elicitation, process validation, testing support and training material preparation. Candidate will meet with users to understand their issues or requirements and then determine and test an appropriate solution. The person must be able to make recommendations as to any work around that may be appropriate. They will also be responsible for additional tasks as assigned.",3d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=00000184694308a1a15eafd48f976de6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4716f331&cb=1668213322859&jobListingId=1008266100101&jrtk=3-0-1ghkk626pjcb6801-1ghkk627aj4hp800-a626e5c8a1123652-
"['Honeywell', '4.0']",http://www.honeywell.com/,Software Engineer II,"Aguadilla, PR",$61K - $81K (Glassdoor est.),"Advanced Cloud Developer
Advanced Cloud Developer for Honeywell International, Inc. (Atlanta, GA)

RESPONSIBILITIES:
Design and implement SOAP and REST api for Honeywell Cloud Connect gateway platform.
Design RESTful API and define authentication process, version management policies, device registration process, device provisioning policies and payload schema.
Manage a continuous integration/continuous deployment methodology for server technologies using Jenkins.
Participate in Voice of Customer (VOC) and Observational Voice of Customer (OVOC) processes to address key gaps in product technology and features.",28d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=00000184694308a1a15eafd48f976de6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a6e6d68b&cb=1668213327101&jobListingId=1008206253485&jrtk=3-0-1ghkk626pjcb6801-1ghkk627aj4hp800-8db5f0fca33cf52e-
"['Mission Support and Test Services, LLC', '3.7']",https://www.nnss.gov/,Software Engineer II,"Aguadilla, PR",$61K - $81K (Glassdoor est.),"Overview:
Mission Support and Test Services, LLC (MSTS) manages and operates the Nevada National Security Site (NNSS) for the U.S. National Nuclear Security Administration (NNSA). Our MISSION is to help ensure the security of the United States and its allies by providing high-hazard experimentation and incident response capabilities through operations, engineering, education, field, and integration services and by acting as environmental stewards to the Site’s Cold War legacy. Our VISION is to be the user site of choice for large-scale, high-hazard, national security experimentation, with premier facilities and capabilities below ground, on the ground, and in the air. (See NNSS.gov for our unique capabilities.) Our 2,750+ professional, craft, and support employees are called upon to innovate, collaborate, and deliver on some of the more difficult nuclear security challenges facing the world today. In this environment, the best ideas need to be voiced and every opinion matters. As such, MSTS places great value on Diversity, Equity, and Inclusion and is committed to a diverse and equitable workforce, with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, and perspectives.
Responsibilities:


Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000184694308a1a15eafd48f976de6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8e019e81&cb=1668213330165&jobListingId=1007991338906&jrtk=3-0-1ghkk626pjcb6801-1ghkk627aj4hp800-197886bfb3b228d4-
"['The RMR Group', '3.7']",http://www.rmrgroup.com/,Software Engineer II,"Aguadilla, PR",$61K - $81K (Glassdoor est.),"Overview:
Seeking a highly motivated building automation system professional who is looking for a new challenge in applying skills to Smart Building Automation solutions for internal use. Candidates should have a growth mindset, be willing to learn new skills in building automation, control systems, remote building monitoring, and continuous commissioning. Position will have opportunity to think creatively to solve challenges and identify new opportunities.

This position will collaborate closely within Energy & Sustainability team to support and build upon building automation systems and building energy management activities utilizing a nationwide enterprise network of Connected Buildings built upon the Tridium Niagara framework. This position will also support strategic company and portfolio-focused initiatives including remote monitoring, fault detection and diagnostics (FDD), continuous commissioning, automated optimization, internet of things (IoT), sensor deployment, and sustainability metrics tracking. This team member will provide quality control and maintenance of system integrations and performance and contribute to achievement of company-wide energy, sustainability and emissions reduction goals using innovative methods with a “can-do” attitude. The candidate should perform well in a fast-paced, highly dynamic, and deadline-driven environment.
Responsibilities:
Qualifications:
Company Overview:",10d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=00000184694308a1a15eafd48f976de6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e41a5f64&cb=1668213332816&jobListingId=1008247486602&jrtk=3-0-1ghkk626pjcb6801-1ghkk627aj4hp800-ab18a9124aebb3cb-
"['Mission Support and Test Services, LLC', '3.7']",https://www.nnss.gov/,Software Engineer II,"Aguadilla, PR",$61K - $81K (Glassdoor est.),"Overview:
Mission Support and Test Services, LLC (MSTS) manages and operates the Nevada National Security Site (NNSS) for the U.S. National Nuclear Security Administration (NNSA). Our MISSION is to help ensure the security of the United States and its allies by providing high-hazard experimentation and incident response capabilities through operations, engineering, education, field, and integration services and by acting as environmental stewards to the Site’s Cold War legacy. Our VISION is to be the user site of choice for large-scale, high-hazard, national security experimentation, with premier facilities and capabilities below ground, on the ground, and in the air. (See NNSS.gov for our unique capabilities.) Our 2,750+ professional, craft, and support employees are called upon to innovate, collaborate, and deliver on some of the more difficult nuclear security challenges facing the world today. In this environment, the best ideas need to be voiced and every opinion matters. As such, MSTS places great value on Diversity, Equity, and Inclusion and is committed to a diverse and equitable workforce, with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, and perspectives.
Responsibilities:

Qualifications:",1d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000184694308a1a15eafd48f976de6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e852a6be&cb=1668213338566&jobListingId=1008270743514&jrtk=3-0-1ghkk626pjcb6801-1ghkk627aj4hp800-5b3a48358f0430d7-
"['Mission Support and Test Services, LLC', '3.7']",https://www.nnss.gov/,Software Engineer II,"Aguadilla, PR",$61K - $81K (Glassdoor est.),"Overview:
Mission Support and Test Services, LLC (MSTS) manages and operates the Nevada National Security Site (NNSS) for the U.S. National Nuclear Security Administration (NNSA). Our MISSION is to help ensure the security of the United States and its allies by providing high-hazard experimentation and incident response capabilities through operations, engineering, education, field, and integration services and by acting as environmental stewards to the Site’s Cold War legacy. Our VISION is to be the user site of choice for large-scale, high-hazard, national security experimentation, with premier facilities and capabilities below ground, on the ground, and in the air. (See NNSS.gov for our unique capabilities.) Our 2,750+ professional, craft, and support employees are called upon to innovate, collaborate, and deliver on some of the more difficult nuclear security challenges facing the world today. In this environment, the best ideas need to be voiced and every opinion matters. As such, MSTS places great value on Diversity, Equity, and Inclusion and is committed to a diverse and equitable workforce, with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, and perspectives.
Responsibilities:


Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=00000184694308a1a15eafd48f976de6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c31498bf&cb=1668213342738&jobListingId=1008157895208&jrtk=3-0-1ghkk626pjcb6801-1ghkk627aj4hp800-40d7ee7f963dbc8b-
"['ORAU', '4.2']",http://www.orau.org/,Software Engineer II,"Aguadilla, PR",$61K - $81K (Glassdoor est.),"Overview:
Oak Ridge Associated Universities (ORAU) is seeking an experienced Principal Applications Analyst to support the Nevada National Security Site (NNSS) in Las Vegas, Nevada.

Located in a remote, highly secure area of southern Nevada, the NNSS is a premier outdoor, indoor, and underground national laboratory. It is a preferred location for experiments supporting the US Department of Energy’s (DOE) National Nuclear Security Administration (NNSA)’s nuclear weapons Stockpile Stewardship Programs, national defense programs, and national security research, development, and training programs, as well as vital programs of other federal agencies.

About NNSS: Click Here for NNSS
Responsibilities:
What Your Job Will Be Like




Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=00000184694308a1a15eafd48f976de6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dad4a87d&cb=1668213346233&jobListingId=1008150389689&jrtk=3-0-1ghkk626pjcb6801-1ghkk627aj4hp800-b0b0142529970f6e-
"['Mission Support and Test Services, LLC', '3.7']",https://www.nnss.gov/,Senior Training Specialist (Instructional Designer/Curriculum Developer),"North Las Vegas, NV",$73K - $110K (Employer est.),"Overview:
Mission Support and Test Services, LLC (MSTS) manages and operates the Nevada National Security Site (NNSS) for the U.S. National Nuclear Security Administration (NNSA). Our MISSION is to help ensure the security of the United States and its allies by providing high-hazard experimentation and incident response capabilities through operations, engineering, education, field, and integration services and by acting as environmental stewards to the Site’s Cold War legacy. Our VISION is to be the user site of choice for large-scale, high-hazard, national security experimentation, with premier facilities and capabilities below ground, on the ground, and in the air. (See NNSS.gov for our unique capabilities.) Our 2,750+ professional, craft, and support employees are called upon to innovate, collaborate, and deliver on some of the more difficult nuclear security challenges facing the world today. In this environment, the best ideas need to be voiced and every opinion matters. As such, MSTS places great value on Diversity, Equity, and Inclusion and is committed to a diverse and equitable workforce, with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, and perspectives.
Responsibilities:


Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469439edaac7bb4b7e2a6b3f0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ad93579e&cb=1668213360018&jobListingId=1007991338906&jrtk=3-0-1ghkk77p6m6ot801-1ghkk77psi15p800-197886bfb3b228d4-
"['Mission Support and Test Services, LLC', '3.7']",https://www.nnss.gov/,Senior Training Specialist (Instructional Designer/Curriculum Developer),"North Las Vegas, NV",$73K - $110K (Employer est.),"Overview:
Mission Support and Test Services, LLC (MSTS) manages and operates the Nevada National Security Site (NNSS) for the U.S. National Nuclear Security Administration (NNSA). Our MISSION is to help ensure the security of the United States and its allies by providing high-hazard experimentation and incident response capabilities through operations, engineering, education, field, and integration services and by acting as environmental stewards to the Site’s Cold War legacy. Our VISION is to be the user site of choice for large-scale, high-hazard, national security experimentation, with premier facilities and capabilities below ground, on the ground, and in the air. (See NNSS.gov for our unique capabilities.) Our 2,750+ professional, craft, and support employees are called upon to innovate, collaborate, and deliver on some of the more difficult nuclear security challenges facing the world today. In this environment, the best ideas need to be voiced and every opinion matters. As such, MSTS places great value on Diversity, Equity, and Inclusion and is committed to a diverse and equitable workforce, with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, and perspectives.
Responsibilities:

Qualifications:",1d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469439edaac7bb4b7e2a6b3f0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d1b7a94b&cb=1668213361695&jobListingId=1008270743514&jrtk=3-0-1ghkk77p6m6ot801-1ghkk77psi15p800-5b3a48358f0430d7-
"['Mission Support and Test Services, LLC', '3.7']",https://www.nnss.gov/,Senior Training Specialist (Instructional Designer/Curriculum Developer),"North Las Vegas, NV",$73K - $110K (Employer est.),"Overview:
Mission Support and Test Services, LLC (MSTS) manages and operates the Nevada National Security Site (NNSS) for the U.S. National Nuclear Security Administration (NNSA). Our MISSION is to help ensure the security of the United States and its allies by providing high-hazard experimentation and incident response capabilities through operations, engineering, education, field, and integration services and by acting as environmental stewards to the Site’s Cold War legacy. Our VISION is to be the user site of choice for large-scale, high-hazard, national security experimentation, with premier facilities and capabilities below ground, on the ground, and in the air. (See NNSS.gov for our unique capabilities.) Our 2,750+ professional, craft, and support employees are called upon to innovate, collaborate, and deliver on some of the more difficult nuclear security challenges facing the world today. In this environment, the best ideas need to be voiced and every opinion matters. As such, MSTS places great value on Diversity, Equity, and Inclusion and is committed to a diverse and equitable workforce, with an inclusive culture that values and celebrates the diversity of our people, talents, ideas, and perspectives.
Responsibilities:




Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018469439edaac7bb4b7e2a6b3f0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7affccc8&cb=1668213364757&jobListingId=1008087975179&jrtk=3-0-1ghkk77p6m6ot801-1ghkk77psi15p800-23110016b83bb6a4-
