Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Concentra', '3.1']",http://www.concentra.com/,Software Development Analyst I - Java,"Addison, TX",,"Overview:
The Java Software Development Analyst I will work within a collaborative agile team. Responsibilities include development, reliability, availability, and performance of Java J2EE applications. Application services provide automation, workflow & process improvement, system/application integration, employer and payer applications.

The Analyst I reviews, analyzes, and modifies programming systems including coding, testing, debugging, and documenting programs for new or existing systems in accordance with project plans and specifications. They are responsible for delivering quality customer service, as well as, incorporating and adhering to requirements defined by Concentra technology standards. In addition, the Analyst I is responsible for providing accurate and timely completion of technical development and support tasks in accordance with Information Systems standards and methodologies.
Responsibilities:
Qualifications:
Additional Data:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846b4ffb0e937cd0e6a514f10c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f838d077&cb=1668247719973&jobListingId=1007977556317&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlkvuq0kbkm801-1ghlkvuqjg4es800-3fe734a81e8e2d2c--6NYlbfkN0DDQFhFpEj8E6I-jJYIuuzBZBfxsun5AZUCGICqmkVSgXKAFkl2_xnMBhBSUOBLYt1zry51YXNeiLA2LAcWGZMy8XPPC__oBlOFNd1hCKH6w51UVlgNsilvJM23YNt9Y67pll0oF8d0GZAPgykWi5JoK5TQXLEcENlBD2v8k14EzegEqgn7TrAhOawCMcicC_8yA0vEGEMDUr4LwdgHdZtMfyQL8OjnxrB8h__DRCz56tVCeN5fz69PS751U45qAlKRIxByPXLymrI8uXAwaydFs5IBOrjT1qvKFH_Wr2VhDt9yBnB3tZXQ9V28PXZ-lbRH4gs_RclMbBtw5SbbfUCkMCn-NjWN_WyG7N7qxKxtmcT3IXrlbKEb75ZXbx9vzdNHvLjSy0FDa76vuf5lagQKMGIhcpnpCbla937zgnd2ISHZfs_N9zz02_tme8Xqy2tFFUnRDQDVmHTS6GzvR7nM7L3tK2HsnOT-OeDE459rxniwXIbvNfMdu_IYiaAeTf_aZTBmQZBjzIA89zPoQlid5D_33ZQjYz8mDTfELAOrrrgxOnrvoLRuHVTdGJwEqN6CG2OUi5Z1gHNz3m9nO2U1O1ZFJw_qEynEDpRTOa2OTjWPQ9fYtWdd8z_nXRriFlaOUTxUcY0n34iLHtN_Enbd_oaVAAD7sjnfOFuS5ReiE3saPZ_0gl08cTFrHGMLmrtl3WQemmg4TJe6dg6JPxfdfgAtkoZH2cKPvlOoX8QbFEADvT4-kX69cYYsGUP4P3Dp7lrKzwgp_aO-yeVCUe5PguTRcUN8qloQgQalu775GsU3fTg0LEvgeX_ttmgZFHM9X3-xrZUNlAY1BKBuNzzbGRHubahYoZH7AXPye4er750mo41xOoSA4mPwh0p5vRwa1vpMjiIXLmwEpkAct1x1whoXP26tdEiWWzctsiUXN_9P5D8yrepYsibVgrEuvuQOdkBCLfiRUHnt3yko6G4EzP_nFWs78M6bXhXy1gsnPGkrV93g0QYK
"['Humana', '3.9']",https://careers.humana.com/,Software Development Analyst I - Java,"Addison, TX",,"Responsibilities
The Senior Cloud Solutions Engineer, Enterprise API Engineering & Operations supports development and operations of Enterprise API platforms like APIGEE within organization's existing Hybrid IT infrastructure (i.e., Cloud & On-prem). This role will be responsible for implementing organization's Enterprise API Platforms Engineering and Operations strategy from a technical perspective, including design, planning, integration, maintenance, and support of hybrid (cloud & on-prem) infrastructure architecture.
Looking to accept your next challenge? We are looking to hire a high energy, problem solving rockstar to join the Enterprise API team at Humana. Amazing opportunity, with a strong team. Join us and be part of an inclusive, supportive team thriving in an energizing, collaborative, and iterative delivery environment. Here, you will help lead our industry forward, enhance your technical skills and make your career.
Job Description",1d,
"['Concentra', '3.1']",http://www.concentra.com/,Software Development Analyst I - Java,"Addison, TX",,"Overview:
Please be advised, if you are viewing this position on Indeed, that the salary rate/range set forth herein was provided by Indeed. Concentra's market specific rate/range will be provided during the interview process.
The Java Software Development Analyst II will work within a collaborative agile team. Responsibilities include development, reliability, availability, and performance of Java J2EE applications. Application services provide automation, workflow & process improvement, system/application integration, employer and payer applications.

The Analyst II reviews, analyzes, and modifies programming systems including coding, testing, debugging, and documenting programs for new or existing systems in accordance with project plans and specifications. They are responsible for delivering quality customer service, as well as, incorporating and adhering to requirements defined by Concentra technology standards. In addition, the Analyst II is responsible for providing accurate and timely completion of technical development and support tasks in accordance with Information Systems standards and methodologies.
Responsibilities:
Qualifications:


Additional Data:",23d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846b4ffb0e937cd0e6a514f10c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_70ecaf70&cb=1668247725065&jobListingId=1008218697573&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlkvuq0kbkm801-1ghlkvuqjg4es800-0ad30bfdf48843a1--6NYlbfkN0DDQFhFpEj8E6I-jJYIuuzBZBfxsun5AZUCGICqmkVSgXKAFkl2_xnMBhBSUOBLYt109ZSbhwen8XsXSNu7Sl4Sc0ag_UnBh6FhCndQ1iF_CLps_2xJ5yAMcBDc9u9Jrgl45CTZn8_hT7lJL8uBbQjpJ42t1ACX_KYJpzjUDW-d7DidcgiKn2I4I6zUetcNTwCjQEtKz4B_42oJ0fqKoIJ7tBqjNcMfGItW3dswjAnLH3Tv7MEFZIcgYImGgCxG7Tsfp--gg2Hfp00xMS5ZDXMrwVBIagrySJ7B0pvPJCcuVs3NsivTk0dgKBCVSk_eJUmcYMiTsdfYcEn62DsSELweLPaIrgMyau1MSif8vRwrHze8_sb4sPqIxIP-RIlWrZftahNDN4b9LLLnzgyc5mZEJ46HX24KpFKcLC4ePNdtJ6aKZSmUeOUbt1x32VLAyzr4YX5muhKEhl6FMJAewKN98snOAHH7AroE_9XTmjRIV8i2R6jz1Cj61tluOFBYoONmBYhKjlkGNZ-i2n4U-uSOK_ZPRlX2kTwZ3UY-13uskPVav78XdUhqSPeSSZ492qoGG5bWJ_dpwoFPvKqpMTtdy1PYEf7zI0nJ5_flSOPKI_XwRJWpelFnmA5XUX-6xaw6WRL61uPwxOcVr2iLsfu8xNF8YxqVDlIM0OOk5tqw0ju4Uj6YqlkhT5bzjnCTcU0gdbljWdDxuJPdQ2OQ_NUf7OkWGC3g11wdwX_WJ8oSWeNDqewge_YYkks-FMVTM5u6-5QdYLd0cmgNj-THH93hpCRIkIX-mFi4uuKZx9w_9MahLKwb3TRqZ00xIwZ-FrjkQcf-lJ0aNnexjVN8S12v9KkunyBYt9uLoeGoS5JpRo_o_0vc1FJlb00Wi_3ofLU8cOFScWsDVrzhOQSej3d3t0BIsXOdSO19RHNUEniMNZRuabaoZd6ARmCpAHkc7SBQ1SaM-bA66dt-eZV53kya6iEVNeYGftwwAtcOM7_5HrpvVjkkZJKm
"['Concentra', '3.1']",http://www.concentra.com/,Software Development Analyst I - Java,"Addison, TX",,"Overview:
The Software Development Analyst II, reviews, analyzes, and modifies programming systems including coding, testing, debugging, and documenting programs for new or existing systems in accordance with project plans and specifications. They are responsible for delivering quality customer service, as well as, incorporating and adhering to requirements defined by Concentra technology standards. The Analyst II’s are responsible for providing accurate and timely completion of technical development and support tasks in accordance with Information Systems standards and methodologies. Software Development Analyst II’s work under the supervision of the Manager, Software Development.
Responsibilities:
Responsible for developing software tasks in accordance with Information System standards and methodologies
Relies on instructions and pre-established guidelines to perform the function of the job
Qualifications:
Additional Data:",29d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846b4ffb0e937cd0e6a514f10c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_392f0eea&cb=1668247728995&jobListingId=1008205023392&jrtk=3-0-1ghlkvuq0kbkm801-1ghlkvuqjg4es800-7acaaec3d4512c9c--6NYlbfkN0DDQFhFpEj8E6I-jJYIuuzBZBfxsun5AZUCGICqmkVSgXKAFkl2_xnMBhBSUOBLYt0V18gGfI-FN0cLYkTaEtmx4xQ9adKbpk9XzNQ-S8WqYHw43634fiyWY_82RBdhj9nmPg9v7VAu8okXFUcZBu77ENWk9HQaEkpfGUzB5Lvj5zugPWMeIkKIchNT2SnzCef1RJVwSfJ2_aWGfdTer0bUwY4OD5NfrIb1CY9eKRMbio29GeytYd93dobOJF1z52gugWzSoubRCZ5iAL8ngNq5Woav9i4oV6bUxS2gyr2q9lq97OeOtHlrVMj7G4_8f0khbXHVK5A7SDe8Vxq_HeTj5iqjMsygYGz17_vT9t6wqQaKFa9PBp25M4GhCViolVzDONY62_uAkcsVnpOE8RgdvF4BFPM6IhwtzKeU_iAYqPD1mpAkrKys-PAtNWObiGce1iqiObQFsQ0OhLXh5qPBEJ6zNZVrNfYd3Y2VSD83B6FwkvKv3I8zHqYR59ZYFSQO1KD4RclnbNldp7YskWzKTl4P5eMxV2LdTWZb6uVe8SZYGbMaXlucMV2LkHAvHZVdxxbU9QhmSocj6ZpMNz5MkJL6HX8B5hYUa4CIr-ZJV1pAuoc90X8EouiRKhfNouNnLNpm5LWzAgx3fpIvVsX7ExO4eLw4IP1W3jr8zkXQXtDID6tinTCxgnIVOpCzE679MF-36iW2slDOvYq0BRJSHl2FsZsldy6ZcYhxv7ti8Z3sHhywK_jhoRJDMjNP8AzBthMn9BRDqf0bkTh8M0gNuH15VrO4JYseRKqq1GVzBRGg62noTz5X-OBSk7n09lcYudLVrJ9Z1Pv65yMZOKTAtiNxLfeaXcdIMULsL91Yo_4S8vdhhxvx3VfQ0TJgXVFW5xqfnzMIZjlPRUuPkozbhu232ImbUS9oSAc-TuSva2zyp6cRSFFEGT1OBK1na2Hrn9mKrbnowN0kXWl3SVe8bvC6wAKzgRq8swDRetL6U9BPs-OjlDwU
"['Humana', '3.9']",https://careers.humana.com/,Software Development Analyst I - Java,"Addison, TX",,"If you are a person who is curious, eager to learn and welcomes a challenge, this is the role for you! In this position, you will be responsible for release management, audit management, non-OS patching. upgrades, secops/pen testing from detailed specifications including analysis, coding, testing and documenting processes, routines, and applications. You will also be responsible for participating in the preparation of specifications from which programs will be written. This role will offer you the opportunity to learn and gain experience from a world-class organization working closely with other developers to solve complex data challenges to resolve business needs.
Responsibilities
Create and/or modify programs to adapt to changes in needs and requirements, adhering to defined specifications and meeting timelines.




40

Not Specified
0",2d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b4ffb0e937cd0e6a514f10c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e2fcffb5&cb=1668247731887&jobListingId=1008268491590&jrtk=3-0-1ghlkvuq0kbkm801-1ghlkvuqjg4es800-0e772778c812ecce-
"['Humana', '3.9']",https://careers.humana.com/,Software Development Analyst I - Java,"Addison, TX",,"Humana's Digital Health Platform Innovation and Engineering team is now seeking a Senior Full Stack Engineer. The Senior Full Stack Engineer performs software engineering activities in all layers of the stack, from setting up the database to programming in the back-end and the appearance at the front-end. The Senior Full Stack Engineer work assignments involve moderately complex to complex issues where the analysis of situations or data requires an in-depth evaluation of variable factors.
Responsibilities
The Senior Full Stack Engineer is involved in all stages of software development, including front-end development, back-end development, database integrations, network and hosting management, user interface, user experience, and back-end server management.
The Senior Full Stack Engineer:
40

Not Specified
0",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b4ffb0e937cd0e6a514f10c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7ac6b4cd&cb=1668247733830&jobListingId=1008199900042&jrtk=3-0-1ghlkvuq0kbkm801-1ghlkvuqjg4es800-9714e60201e3390c-
"['Humana', '3.9']",https://careers.humana.com/,Software Development Analyst I - Java,"Addison, TX",,"Responsibilities
Humana Inc. seeks Lead Software Engineer in Louisville, KY.
Duties: Code software applications based on business requirements. Standardize the quality assurance procedure for software. Oversee testing and debugging and develop fixes. Research complaints and make necessary adjustments and/or recommendations to resolve complex software related issues. Advise executives to develop functional strategies. Provide analysis of variable factors and determine the best course of action. 100% telecommuting permitted within the U.S.
Requires a Bachelor’s degree in Computer Science, Computer Engineering, or related field plus 7 years of experience in the job offered or related role. Employer will accept academic professional experience such as a professor, lecturer, or related role in the IT field.
40

Not Specified
0",1d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b4ffb0e937cd0e6a514f10c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cd08c9bd&cb=1668247737681&jobListingId=1008272651609&jrtk=3-0-1ghlkvuq0kbkm801-1ghlkvuqjg4es800-7eda5dc1f8f53c84-
"['Humana', '3.9']",https://careers.humana.com/,Software Development Analyst I - Java,"Addison, TX",,"The Digital Health and Innovation organization is seeking a talented leader with deep digital and cloud engineering experience for the position of Director, Full Stack Engineering. This is a key leadership role in the Digital Health and Innovation Engineering organization and is responsible for leading and developing a team of approximately 75 talented architects and engineers. This team designs, develops and maintains cloud based (Azure) platforms that enable our experience delivery teams to create exceptional digital experiences for our members and consumers at a speed of 40%- 50% faster than in the past.
Responsibilities
Additional responsibilities include, but are not limited to:
Developing and executing an effective 12-24 month technology strategy and roadmap that allows us to meet the demands our product management, experience engineers, and line of business partners
40

Not Specified
0",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b4ffb0e937cd0e6a514f10c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f761211c&cb=1668247740602&jobListingId=1008186211751&jrtk=3-0-1ghlkvuq0kbkm801-1ghlkvuqjg4es800-1e8274796e3cf988-
"['Humana', '3.9']",https://careers.humana.com/,Software Development Analyst I - Java,"Addison, TX",,"The Software Engineer 2 codes software applications based on business requirements. The Software Engineer 2 work assignments are varied and frequently require interpretation and independent determination of the appropriate courses of action.
Responsibilities
Are you looking for an innovative way to utilize your web development skills and support our nation’s military? Our web development team employs the cutting edge of what Microsoft ASP.NET is capable of, and we continually push the envelope of this technology and how we employ new features in our web applications. We utilize Azure DevOps for CI/CD, bridging the gap between requirements, development, and deployment. We also leverage many development technologies like .NET Core, various JavaScript libraries, C#, and so much more.
Interested in the Cloud? Journey with us into Azure Government Cloud as we elevate our unique Military Healthcare platform. You can be a part of our web development team and of our important mission of supporting the TRICARE healthcare program for our nation's military. Humana Government Business is a top 10 DOD contractor, with a long history in the TRICARE business and a bright future pursuing the next generation of military health contracts.
40

Not Specified
0",14d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b4ffb0e937cd0e6a514f10c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_48848e50&cb=1668247744370&jobListingId=1008241571967&jrtk=3-0-1ghlkvuq0kbkm801-1ghlkvuqjg4es800-e03c4c106d0623a8-
"['Humana', '3.9']",https://careers.humana.com/,Software Development Analyst I - Java,"Addison, TX",,"The Senior Full Stack Engineer Performs software engineering activities in all layers of the stack, from setting up the database to programming in the back-end and the appearance at the front-end. The Senior Full Stack Engineer works on problems of diverse scope and complexity ranging from moderate to substantial.
Responsibilities
The Senior Full Stack Engineer Is involved in all stages of software development, including front-end development, back-end development, database integrations, network and hosting management, user interface, user experience, and back-end server management. Advises executives to develop functional strategies (often segment specific) on matters of significance. Exercises independent judgment and decision making on complex issues regarding job duties and related tasks, and works under minimal supervision; uses independent judgment requiring analysis of variable factors and determining the best course of action.



40

Not Specified
0",9d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b4ffb0e937cd0e6a514f10c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_33c691e0&cb=1668247748261&jobListingId=1008253276638&jrtk=3-0-1ghlkvuq0kbkm801-1ghlkvuqjg4es800-8d6a41b55087cdbb-
