Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['IBM', '4.1']",http://www.ibm.com/,2023 Entry Level Associate Developer: Full Stack,"Buffalo, NY",$57K - $95K (Glassdoor est.),"Introduction
A career in IBM Consulting embraces long-term relationships, meaningful impact, and close collaboration with clients across the globe.

You'll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio; including IBM Software and Red Hat.

Curiosity and a constant quest for knowledge serve as the foundation to success in IBM Consulting. In your role, you'll be supported by mentors and coaches who will encourage you to challenge the norm, investigate ideas outside of your role, and come up with creative solutions resulting in ground breaking impact for a wide network of clients. Our culture of evolution and empathy centers on long-term career growth and learning opportunities in an environment that embraces your unique skills and experience.


As an Associate Full Stack Application Developer at IBM, your analytical and technical skills will directly impact the quality of the applications we create. In your role, you will be responsible for:


You must live in, or be willing to relocate to Buffalo, NY
Some travel is expected, and all candidates must be willing and able to travel to meet our client needs across the US. Travel is typically related to knowledge transfer and training at the client site. You are expected to travel up to 50% of the time.",20d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846bca832391ee15db90e88f41&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c932784d&cb=1668255762956&jobListingId=1008226737985&jrtk=3-0-1ghlsl0qlk613801-1ghlsl0r4i38g800-2d51ad85294bae04-
"['IBM', '4.1']",http://www.ibm.com/,2023 Entry Level Associate Developer: Full Stack,"Buffalo, NY",$57K - $95K (Glassdoor est.),"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
Software Developer for Chip Physical Design and Analysis Tools

We are looking for a dynamic individual to join our team. We develop software solutions to continuously improve the efficiency and effectiveness of microprocessor design. You will join a global team of hardware and software developers who develop advanced tools used in the design, analysis, and validation of the world’s most secure and powerful microprocessors. Our team develops both gate level and transistor level tools, and continually pioneer innovative algorithms in the field of timing, power, and noise analysis. Our code runs the gamut from scripts to compiled code to web-based front ends with databases on the backend to store the data. We manage our development in an agile fashion using Github, Zenhub, daily scrums, and sprint planning.




None",13d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846bca832391ee15db90e88f41&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_77508c91&cb=1668255766182&jobListingId=1008242572613&jrtk=3-0-1ghlsl0qlk613801-1ghlsl0r4i38g800-ba2a5548ae81a127-
"['IBM', '4.1']",http://www.ibm.com/,2023 Entry Level Associate Developer: Full Stack,"Buffalo, NY",$57K - $95K (Glassdoor est.),"Introduction
A career in IBM Consulting embraces long-term relationships, meaningful impact, and close collaboration with clients across the globe. You'll work with visionaries across multiple industries to improve the hybrid cloud and AI journey for the most innovative and valuable companies in the world. Your ability to accelerate impact and make meaningful change for your clients is enabled by our strategic partner ecosystem and our robust technology platforms across the IBM portfolio; including IBM Software and Red Hat.

Curiosity and a constant quest for knowledge serve as the foundation to success in IBM Consulting. In your role, you'll be supported by mentors and coaches who will encourage you to challenge the norm, investigate ideas outside of your role, and come up with creative solutions resulting in ground breaking impact for a wide network of clients. Our culture of evolution and empathy centers on long-term career growth and learning opportunities in an environment that embraces your unique skills and experience.


In this role, you'll work in our IBM Client Innovation Center (CIC), where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. These centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology.

As an Application Developer at IBM, your analytical and technical skills will directly impact the quality of the applications we create. In your role, you will be responsible for:

You must be willing to relocate or live within a commutable distance to the Lansing Office.

Some travel is expected, and all candidates must be willing and able to travel to meet our client needs across the US. Travel is typically related to knowledge transfer and training at the client site. You are expected to travel up to 50% of the time.",20d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846bca832391ee15db90e88f41&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3688b573&cb=1668255769842&jobListingId=1008226737826&jrtk=3-0-1ghlsl0qlk613801-1ghlsl0r4i38g800-698f98f180d0ef30-
"['IBM', '4.1']",http://www.ibm.com/,2023 Entry Level Associate Developer: Full Stack,"Buffalo, NY",$57K - $95K (Glassdoor est.),"Introduction
As an Application Developer, you will lead IBM into the future by translating system requirements into the design and development of customized systems in an agile environment. The success of IBM is in your hands as you transform vital business needs into code and drive innovation. Your work will power IBM and its clients globally, collaborating and integrating code into enterprise systems. You will have access to the latest education, tools and technology, and a limitless career path with the world’s technology leader. Come to IBM and make a global impact!

Your Role and Responsibilities

At Randori, an IBM company, we help defenders continuously assess their real-world security. Our automated attack platform provides a red team experience designed to mirror today’s adversaries, not yesterday’s threats. We partner with security teams to help them understand the art of the possible by delivering an unrivaled attack experience, at scale.",2d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846bca832391ee15db90e88f41&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8e1101e2&cb=1668255771922&jobListingId=1008269445345&jrtk=3-0-1ghlsl0qlk613801-1ghlsl0r4i38g800-90829fde3cff2e58-
"['IBM', '4.1']",http://www.ibm.com/,2023 Entry Level Associate Developer: Full Stack,"Buffalo, NY",$57K - $95K (Glassdoor est.),"Introduction
Do you have a passion for learning and applying modern software engineering practices? Are you excited to use these practices to deliver and manage mission critical services at scale? Are you a quick thinker? If so, please read on.

Your Role and Responsibilities
The CIO Hybrid cloud platform team is seeking Full-Stack Engineers to helps us grow, maintain, and support our multi-tenant application platform built on OpenShift.

Do you have a broad range of experience across application and systems development? Would you like to help us create the next generation of scalable distributed systems at IBM? We’re a team of passionate engineers who are working to build a developer-facing platform that enables fast, reliable, and reproducible patterns for running resilient application workloads at the global scale that IBM needs. If this sounds exciting, you should apply!

Most of our teams are in Atlanta, GA; Austin, TX; Boston Metro, MA; New York, NY; Raleigh, NC; Armonk, NY; and Southbury, CT. However, since the nature of our work is hybrid, we welcome applications from other locations.",15d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846bca832391ee15db90e88f41&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2be38780&cb=1668255776245&jobListingId=1008239050632&jrtk=3-0-1ghlsl0qlk613801-1ghlsl0r4i38g800-b04abea7bd42c2ab-
"['IBM', '4.1']",http://www.ibm.com/,2023 Entry Level Associate Developer: Full Stack,"Buffalo, NY",$57K - $95K (Glassdoor est.),"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
As a Software Developer at IBM, you’ll work as part of a larger team of experienced developers in an interactive, collaborative environment. You’ll learn the fundamentals of development, software design, testing, and cloud computing, agile principles, IBM Design Thinking, DevOps and continuous delivery. You will also learn how to resolve IBM customer issues, debug customer problems and environments, and increase Cloud Service skills, and will build the skills to grow your career as a Software Developer. Best of all, you are a contributing member of your team, putting forward ideas, taking on responsibilities and making choices about how you get the job done just like any other IBMer.




None",1d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846bca832391ee15db90e88f41&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_06c47bb8&cb=1668255778742&jobListingId=1008272754815&jrtk=3-0-1ghlsl0qlk613801-1ghlsl0r4i38g800-40f12941b111a386-
"['IBM', '4.1']",http://www.ibm.com/,2023 Entry Level Associate Developer: Full Stack,"Buffalo, NY",$57K - $95K (Glassdoor est.),"Introduction
As an Application Developer, you will lead IBM into the future by translating system requirements into the design and development of customized systems in an agile environment. The success of IBM is in your hands as you transform vital business needs into code and drive innovation. Your work will power IBM and its clients globally, collaborating and integrating code into enterprise systems. You will have access to the latest education, tools and technology, and a limitless career path with the world’s technology leader. Come to IBM and make a global impact!

Your Role and Responsibilities
In this role, you'll work in our IBM Client Innovation Center (CIC) in Lansing, Michigan, where we deliver deep technical and industry expertise to a wide range of public and private sector clients around the world. These centers offer our clients locally based skills and technical expertise to drive innovation and adoption of new technology.

As a Maximo Developer, you will be responsible for solution design, development, data migration, integration, configuration, & deployment and support of Maximo. This position has primary responsibility of developing & supporting Maximo Application and its user community including hardware configuration and requirements; software configuration; system troubleshooting; report development; system interfaces; and hands-on, day-to-day support for Maximo applications.

The successful candidates for this position will become members of our Lansing Client Innovation Team. You will work closely across the CIC network to delight our customers with leading edge solutions with a keen focus on quality and client satisfaction. In addition to strong collaboration across the team, you will be virtually integrated into our deep learning and knowledge program as well as employee engagement across NA. All resources in our CIC network may be requested to travel depending on specific client project needs. US Travel is typically related to knowledge transfer and client relationship building at the client site, as well as subsequent travel for key milestones or project initiatives. Travel is generally no more than 50% of the time.

Bloomington & Peoria IL; Fort Wayne, South Bend & Indianapolis IN, Toledo, Columbus & Cincinnati OH and Madison & Milwaukee WI",3d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846bca832391ee15db90e88f41&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_89773fa3&cb=1668255782661&jobListingId=1008265644251&jrtk=3-0-1ghlsl0qlk613801-1ghlsl0r4i38g800-e4d59a25e38c8730-
"['IBM', '4.1']",http://www.ibm.com/,2023 Entry Level Associate Developer: Full Stack,"Buffalo, NY",$57K - $95K (Glassdoor est.),"Introduction
At IBM, work is more than a job - it's a calling: To build. To design. To code. To consult. To think along with clients and sell. To make markets. To invent. To collaborate. Not just to do something better, but to attempt things you've never thought possible. Are you ready to lead in this new era of technology and solve some of the world's most challenging problems? If so, lets talk.

Your Role and Responsibilities
Randori, an IBM Company and the leading provider of external Attack Surface Management and Continuous Automated Red Teaming is looking for a Software Engineering Manager to help lead and define, shape, and implement scalable software solutions for our Cyber Security platform. You’ll work with our red team, researchers, and developers to shape the direction of our products.

As a Software Engineering Manager, you will be a software development leader helping us scale our development efforts by managing careers on the team, scaling the hiring and development process, and partnering with product to ideate and deliver an exceptional product.

We are looking for driven software professionals who love to help teams grow and deliver innovative, scalable software. If you enjoy balancing multiple efforts, debating software architecture, and championing new process improvements we are the company for you. Being an early entrant in a fast-paced domain you must enjoy both coaching and rolling up your sleeves and helping the team to deliver. You have at your fingertips a mastery of several software frameworks and deployment technologies. You have experience with at least one cloud provider API. You have a history of leading a team and are capable of quickly learning new technologies.

Responsibilities of the Role:",20d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846bca832391ee15db90e88f41&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e865e4dd&cb=1668255786542&jobListingId=1008226739833&jrtk=3-0-1ghlsl0qlk613801-1ghlsl0r4i38g800-9e0997776812291f-
"['IBM', '4.1']",http://www.ibm.com/,2023 Entry Level Associate Developer: Full Stack,"Buffalo, NY",$57K - $95K (Glassdoor est.),"Introduction
Software Developers at IBM are the backbone of our strategic initiatives to design, code, test, and provide industry-leading solutions that make the world run today - planes and trains take off on time, bank transactions complete in the blink of an eye and the world remains safe because of the work our software developers do. Whether you are working on projects internally or for a client, software development is critical to the success of IBM and our clients worldwide. At IBM, you will use the latest software development tools, techniques and approaches and work with leading minds in the industry to build solutions you can be proud of.

Your Role and Responsibilities
Become an IBM Employee and come on as a part of a team within IBM Consulting Platform Services creating React Frontend for AWS Native Applications and the client’s AWS cloud platform overall.
We are seeking highly motivated and accomplished Senior React Front end Engineers. Help set standards across the organization on design, architecture, and best practices.",20d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846bca832391ee15db90e88f41&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ef72ab17&cb=1668255788517&jobListingId=1008226739397&jrtk=3-0-1ghlsl0qlk613801-1ghlsl0r4i38g800-42cc9b7fbd2981ff-
"['IBM', '4.1']",http://www.ibm.com/,2023 Entry Level Associate Developer: Full Stack,"Buffalo, NY",$57K - $95K (Glassdoor est.),"Introduction
Watson Orders is a IBM Silicon Valley based technology development group targeting the development of world-class conversational AI. Our mission is to deliver advanced technology solutions that address real-world, data driven needs in a customer-facing the quick service restaurant, environment. We are focused on using state-of-the-art Machine Learning, AI, and related technologies to completely transform the customer experience!

Your Role and Responsibilities
We are currently looking for skilled Senior Software developer – Production Engineering to ensure performance and reliability for AI & ML driven voice agent microservices, Edge Kubernetes clusters, network services, and storage layers.
Work closely with other Watson Orders development teams in an embedded SRE model to help define & implement key metrics for uptime, reliability, and performance of these services and develop runbooks for incident management.",20d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846bca832391ee15db90e88f41&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_60fcdbb3&cb=1668255791396&jobListingId=1008226736940&jrtk=3-0-1ghlsl0qlk613801-1ghlsl0r4i38g800-fe706fe70219623e-
