Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Intel', '4.3']",https://jobs.intel.com/,Product Development Engineer,"San Jose, CA",$97K - $128K (Glassdoor est.),"Job Description

Become a member of one of the largest engineering companies in the world! Intel is seeking highly qualified candidates to join our Intel Federal (IFED) group within our larger Programmable Solutions Group (PSG) as a Product Development Engineer!
Join our Programmable Solutions Group (PSG) team as a Product Development Engineer, where you will be responsible for ensuring the testability and manufacturability of integrated circuits from the component feasibility stage through production ramp. In this role, you will make significant contributions to design, development, and validation of testability circuits.
Responsibilities will include, but are not limited to:
Evaluate, develop, and debug complex test methods.













This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b99a5118f920d7d928fa502&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_22053fbc&cb=1668252563621&jobListingId=1008068178042&jrtk=3-0-1ghlpj9a0kcls801-1ghlpj9ali7ko800-4b52de0f3a235d7f-
"['Integrated Intel Solutions', '3.5']",http://www.integratedintelsolutions.com/,Product Development Engineer,"San Jose, CA",$97K - $128K (Glassdoor est.),"The Contractor shall provide an on-site Lead Software Developer (LSD) who shall lead the development efforts for the CMT suite of Tools. LSD shall represent developers at management and Sponsor and IC meetings. Team lead shall be responsible for the required documentation, including both program-level and user-level documentation. LSD shall enhance software to improve efficiency.

The team lead shall provide technical direction to programmers in ensuring program deadlines are met.",8d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b99a5118f920d7d928fa502&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3c20fdd9&cb=1668252565886&jobListingId=1008255178216&jrtk=3-0-1ghlpj9a0kcls801-1ghlpj9ali7ko800-a95f496394349a9b-
"['Intel', '4.3']",https://jobs.intel.com/,Product Development Engineer,"San Jose, CA",$97K - $128K (Glassdoor est.),"Job Description

Join Intel-and build a better tomorrow. Intel is in the midst of an exciting transformation, with a vision to create and extend computing technology to connect and enrich the lives of every person on Earth. So join us-and help us create the next generation of technologies that will shape the future for decades to come.
About the group:
This is a EDA Tools Software Engineering position in the Custom Layout Team of the Process Design Kit (PDK) group, within the Design Enablement (DE) organization.
Excellent opportunity for individuals who enjoy working in fast paced team environment with eagerness to learn.















This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b99a5118f920d7d928fa502&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3041f110&cb=1668252567981&jobListingId=1008096181757&jrtk=3-0-1ghlpj9a0kcls801-1ghlpj9ali7ko800-67364faa161790e8-
"['Intel', '4.3']",https://jobs.intel.com/,Product Development Engineer,"San Jose, CA",$97K - $128K (Glassdoor est.),"Job Description

The High Density Modular Tester (HDMT) provides a breakthrough, massively parallel, low cost test technology for silicon validation and high volume manufacturing. We are currently developing the next generation of the HDMT tester, including significant hardware and software architectural changes above and beyond the current generation of Automated Test Equipment (ATE), this will provide the best user experience for Intel Product Development community. This role is an opportunity to build upon your DevOps experience
Responsibilities will include but not be limited to:
Making improvements to the development and build infrastructure
Work closely with software engineers and oversee or facilitate continuous integration and delivery of our software.













This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b99a5118f920d7d928fa502&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_31ddd31f&cb=1668252570631&jobListingId=1008066597155&jrtk=3-0-1ghlpj9a0kcls801-1ghlpj9ali7ko800-07dc598170501f8c-
"['Integrated Intel Solutions', '3.5']",http://www.integratedintelsolutions.com/,Product Development Engineer,"San Jose, CA",$97K - $128K (Glassdoor est.),"The Sponsor is primarily responsible for providing and maintaining an enterprise Linux platform and an enterprise Kubernetes platform. In support of these platforms, the Sponsor requires support for developing automated tools, maintaining a secure environment, and providing operations and maintenance (O&M) project integration support.
WORK REQUIREMENTS
The Contractor Team shall provide software development support for automated tools used to manage the Sponsors automated provisioning service enterprise platform.
The Contractor shall develop ServiceNow workflows and scripts to enable automated provisioning from one network or domain to other cross domain networks.
The Contractor shall maintain ServiceNow workflows and scripts to enable automated provisioning from one network or domain to other cross domain networks and domains.",24h,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b99a5118f920d7d928fa502&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1f16c2e3&cb=1668252581480&jobListingId=1008274623550&jrtk=3-0-1ghlpj9a0kcls801-1ghlpj9ali7ko800-eb883f25ea29ff62-
"['Integrated Intel Solutions', '3.5']",http://www.integratedintelsolutions.com/,Product Development Engineer,"San Jose, CA",$97K - $128K (Glassdoor est.),"The seven-person Developer team shall comply with the Lean Agile methodology. The Developer team shall participate in all Lean Agile scrums, sprints and grooming sessions. The Developer team shall perform Commercial-Off-The-Shelf (COTS) product integration and development efforts. The Developer team shall ensure tasks are completed on schedule. The Developer team shall consult and coordinate appropriately for problem resolution, task scheduling, new resource requirements, and task clarification. The Developer team shall will work in partnership with an integrated team of staff and contractors. The Developer shall understand the cloud environments, such as AWS or Azure. The Developer team shall coordinate and collaborate with security, operations, engineering, testing and other teams to provide system information and technical support. The Developer team shall create, manage and update Jira tickets. The Contractor team shall design, develop and modify software systems. The Developer team shall document and track vendor software roadmaps for software and patch version updates. The Developer team shall unit test their software and perform code reviews.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b99a5118f920d7d928fa502&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_43cb157f&cb=1668252585318&jobListingId=1008046219022&jrtk=3-0-1ghlpj9a0kcls801-1ghlpj9ali7ko800-89f9902d6530f83d-
"['Intel', '4.3']",https://jobs.intel.com/,Product Development Engineer,"San Jose, CA",$97K - $128K (Glassdoor est.),"Job Description

Become a member of one of the largest engineering companies in the world! Intel is on a mission to create and extend computing technology to connect and enrich the lives of every person on earth. To make this ambitious mission happen, we need the right people who will share their passion for our vision. Intel is seeking highly qualified candidates to join our Intel Federal (IFED) group within our larger Programmable Solution Group as a Software Engineer!
Join our Quartus and eTools development team as a Software Engineer where you will research, design, develop, and optimize software tools that enable the use of Field Programmable Gate Arrays (FPGA).
Responsibilities will include, but are not limited to:










This role will be eligible for our hybrid work model which allows employees to split their time between working on-site at their assigned Intel site and off-site.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b99a5118f920d7d928fa502&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a283a1fd&cb=1668252589530&jobListingId=1008090301026&jrtk=3-0-1ghlpj9a0kcls801-1ghlpj9ali7ko800-76e2398d82623253-
"['Integrated Intel Solutions', '3.5']",http://www.integratedintelsolutions.com/,Product Development Engineer,"San Jose, CA",$97K - $128K (Glassdoor est.),"Responsibilities:

Designs, develops, and maintains web content and services using Ruby, Java, Python, MySQL, RDS, ServiceNow, Restful web services
Catalog, manage and protect application data using enterprise services.
Use existing enterprise services rather than building single-purpose solutions
Fully describe and document mission solution architecture and interfaces
Ensure each new application or system enhancement meets agreed upon performance SLAs for system up-time, concurrent users, and system recovery.
Implement changes to current applications and data pipelines based on Sponsor requirements.
Provide applications development and programming support to develop software to implement system-level requirements.
Implement changes to the current applications based on changing partner requirements, legislation, and policy.
Maintain current system software, including functionality testing for existing applications.
Develop applications and modifications to existing Sponsor applications in compliance with the architectural and Authorization and Accreditation (A&A) processes.
Document software and application architectures.
Document software code.
Required skills and demonstrated experience
The candidate shall have the following required skills, certifications and demonstrated experience:
Demonstrated experience using JIRA and Confluence
Demonstrated experience using the technical and functional design requirements related to Java, JavaScript, Ruby, CMS, Angular, and ServiceNow developing languages.
Demonstrated experience using Spring, Hibernate, and JSF frameworks
Demonstrated experience with AJAX and Java EL for web applications and application data logic
Demonstrated experience with Apache TomCat as a web server for JAVA implementations
Demonstrated experience with web technologies, including CSS and HTML
Demonstrated experience with Frontend design: Bootstrap and VanillaJS
Demonstrated experience using ElasticSearch search/analytics engine
Demonstrated experience using MySQL relational database management systems
Demonstrated experience with version control software, Git/GitHub
Demonstrated experience using MongoDB database environment
Demonstrated experience with scripting languages including Python and Perl
Demonstrated experience with Agile development.",7d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b99a5118f920d7d928fa502&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ae91a09d&cb=1668252591136&jobListingId=1008258576542&jrtk=3-0-1ghlpj9a0kcls801-1ghlpj9ali7ko800-0ceb4ad8a72fd088-
"['Integrated Intel Solutions', '3.5']",http://www.integratedintelsolutions.com/,Product Development Engineer,"San Jose, CA",$97K - $128K (Glassdoor est.),"The Sponsor applies technical resources to accelerate the timely, reliable, and secure delivery of open source data, information, and insights. The Sponsor requires support to maintain and enhance an existing big data exploitation platform. The Contractor will work within an agile team environment. Work will include creating Amazon Web Services (AWS)-based resources; writing, testing, and debugging custom application code; administering database services; and performing data cleaning, formatting, and other forms of data management. The Team shall work closely with the Sponsor’s product owner and program manager to deliver user stories necessary to realize product vision. The Team shall coordinate with multiple entities, including mission partners, to ensure tools meet defined requirements. The Team shall apply an agile approach to software development consistent with the Sponsor’s project management and software development frameworks with a focus on demonstrating and delivering releasable software every iteration. The Team shall create and maintain JWICS-accessible resources within the Sponsor’s Amazon Web Services (AWS) Cloud environment. The Team shall ensure all security vulnerabilities are addressed as appropriate by severity and maintain security accreditation, including maintaining plan of action for vulnerability remediation. The Team shall maintain all source code in Sponsor-wide, remote Git repository. The Team shall apply industry best practices (such as, but not specifically Test Driven Development) for ensuring custom application code is comprehensively tested. The Team shall administer and maintain relational and non-relational transactional database systems within the application security boundary. The Team shall perform data cleaning and formatting for ingested data ensuring they meet quality and content management standards.





1. Demonstrated experience building and maintaining cloud based platforms.
2. Demonstrated experience administering, securing, and scaling AWS EC2 resources consisting of CentOS/Linux servers with some configured as MySQL database servers.
3. Demonstrated experience applying front end technologies, including HTML5, CSS, and JavaScript/jQuery.
4. Demonstrated experience developing and maintaining applications using Ruby on Rails with Apache Solr.
5. Demonstrated experience developing software in a DevSecOps environment.
6. Demonstrated experience with modern system architecture patterns, such as event-driven, microservices and MVC architectures.
7. Demonstrated experience maintaining Continuous Integration/Continuous Delivery (CI/CD) pipelines with automated testing and deployment.
8. Demonstrated experience using Git as a source code repository.



9. Demonstrated experience with Angular, React, or Vue.js
10.Demonstrated experience with D3.js or OpenLayers",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b99a5118f920d7d928fa502&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_045661ab&cb=1668252594206&jobListingId=1008072484994&jrtk=3-0-1ghlpj9a0kcls801-1ghlpj9ali7ko800-a08570a4259e5335-
['Crystal Intel'],,Product Development Engineer,"San Jose, CA",$97K - $128K (Glassdoor est.),"Job Responsibilities:
Responsible for packaging, hardening, deploying, and maintaining a streaming data transformation commercial off the shelf (COTS) software for our government customer to be used for large scale data transformations of legacy DoD and IC data formats. In this role you will:
Implement system hardening to ensure the tool deployment meets all security controls and requirements
Package the installation and configuration of the tool for deployment, and work with the team to implement automation and standard installation and configuration procedures
Manage the operations of a large-scale ingest and streaming data transformation system in support of interoperability with legacy IC systems and data resources
Support the creation of contractual deliverables in advance of government required due dates",30d+,
