Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['International Paper', '3.5']",http://www.internationalpaper.com/,Application Development Analyst,"Memphis, TN",,"Position Title:
Application Development Analyst I

Category/Shift:
Salaried Full-Time

Physical Location:
6400 Poplar Avenue",23d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b517e2597807bd4193b85bb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8c06e134&cb=1668247822312&jobListingId=1008219679130&jrtk=3-0-1ghll2viukbn2801-1ghll2vjji7nt800-1d84f80b5e7c8fa3-
"['International Paper', '3.5']",http://www.internationalpaper.com/,Application Development Analyst,"Memphis, TN",,"Position Title:
Application Development Analyst

Category/Shift:
Salaried Full-Time

Physical Location:
6400 Poplar Avenue",21d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b517e2597807bd4193b85bb&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d0fc80a5&cb=1668247824973&jobListingId=1008226078229&jrtk=3-0-1ghll2viukbn2801-1ghll2vjji7nt800-b6f890df339d4800-
"['International Paper', '3.5']",http://www.internationalpaper.com/,Application Development Analyst,"Memphis, TN",,"International Paper (NYSE: IP) is a leading global supplier of renewable fiber-based products. We produce corrugated packaging products that protect and promote goods, and enable worldwide commerce, and pulp for diapers, tissue and other personal care products that promote health and wellness. Headquartered in Memphis, Tenn., we employ approximately 38,000 colleagues globally. We serve customers worldwide, with manufacturing operations in North America, Latin America, North Africa and Europe. Net sales for 2021 were $19.4 billion. Additional information can be found by visiting InternationalPaper.com.
This is a remote opportunity, must be within driving distance of the Memphis, TN campus.
This position is responsible for overseeing the development & architecture of International Paper’s Identity & Access Management system. The position will provide support for complex system management activities related to Identity & Access Management system software, hardware, performance, and problem determination. The role will also be responsible for resource management requiring communication and coordination with vendors, technicians, clients, and management. It will also provide technical input to management decision making in the area of software, hardware, and performance. This role is responsible for configuration and deployment of new connectors, workflows, processes, procedures and tools in the IAM space.",30d+,
"['Florida International University', '4.1']",http://www.fiu.edu/,Financial Analyst 1 - 528047,"Miami, FL",$45K - $50K (Employer est.),"Florida International University is Miami’s public research university, focused on student success. According to U.S. News and World Report, FIU has 42 top-50 rankings in the nation among public universities. FIU is a top U.S. research university (R1), with more than $200 million in annual expenditures. FIU ranks 15th in the nation among public universities for patent production, which drives innovation, and is one of the institutions that helps make Florida the top state for higher education. The Next Horizon fundraising campaign is furthering FIU’s commitment to providing students Worlds Ahead opportunities. Today, FIU has two campuses and multiple centers, and supports artistic and cultural engagement through its three museums: Patricia & Phillip Frost Art Museum, the Wolfsonian-FIU, and the Jewish Museum of Florida-FIU. FIU is a member of Conference USA, with more than 400 student-athletes participating in 18 sports. The university has awarded more than 330,000 degrees to many leaders in South Florida and beyond. For more information about FIU, visit",25d,
"['MEC Energy Services, LLC']",,Financial Analyst 1 - 528047,"Miami, FL",$45K - $50K (Employer est.),"Company: MEC Energy Services, LLC
Job Title: Program Analyst Level III
Task 1: Provide up-to-date analysis of assigned areas or countries as it relates to CT issues and priorities.
Monitor developing political situations, terrorism threats, security sector dynamics, human rights situations, and issues of administrative management that may impact upon the ability of the USG to implement counterterrorism assistance and/or capacity building programs.
Monitor intelligence community reporting and analysis on political, security, human rights, and terrorism developments in assigned countries, including reporting on individuals and units that are beneficiaries or potential beneficiaries of CT assistance, which may impact the ability of the USG to implement counterterrorism assistance and/or capacity building programs",22d,
"['Florida International University', '4.1']",http://www.fiu.edu/,Financial Analyst 1 - 528047,"Miami, FL",$45K - $50K (Employer est.),"Apply Instructions:
Please apply directly to our website by going to https://hr.fiu.edu/careers/ , select ""Prospective Employees"" and reference job opening ID # 528114 under ""Search Jobs"".
Job Summary
Provides support, researches problems, plans solutions and provides functional recommendations for Oracle's Customer Solutions (Panthersoft) Student Information System as a functional team member of the Office of Scholarships.
Manages and executes the production calendar of the Office of Scholarships area. Collaborates in bundle testing, Oracle CS, upgrades within the Enrollment Services areas, Campus Community and Student Self-Services.",17d,
"['Booz Allen Hamilton', '4.2']",http://www.boozallen.com/,Financial Analyst 1 - 528047,"Miami, FL",$45K - $50K (Employer est.),"Key Role:
Work with senior stakeholders across the DoD to plan for implementation of DoD Digital Modernization initiatives as they pertain to Joint Staff and Combatant Commands. Coordinate with Information System Owners to plan for adoption of emerging IT capabilities, including Cloud and Artificial Intelligence (AI), 5G, and IPv6. Review and analyze DoD IT strategies, policies, and guidance to help the Chief Information Officer (CIO) plan for impacts to IT policy and Governance, Cybersecurity, Enterprise Architecture, Portfolio Management, and Records Management. Develop strategies, analysis reports, information papers, decision briefs, and gap analyses. Analyze and review IT requirements based on alignment with DoD Digital Modernization objectives. Review DoD IT policies, strategies, memorandum, and guiding documents and assist with the development of the organization’s five-year strategy. Apply critical thinking and analysis to organizational change initiatives.
#LI-AH1, ID14-G",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846b51ebfdaf92585042917a9a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_86b3afb7&cb=1668247859544&jobListingId=1008123921765&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghll3r1eklur801-1ghll3r23ghqn800-d3e19635eda14c12--6NYlbfkN0CaLaeO0W0aSDE10oNno4SsRl14ssiVXEJb5QYZji-zahvEu0xfL2FTlRVV8QmokeGh89FsQCI8xSGeUzNUwPgf_0oW9an8zDnNFg6ycruCu27XlYyA7-JYpTMwJcKvzaGcRZPeeCtsL8oDbzgZAGRkZg_dv6uopRnu5CMnzdECEfi0f9REmlnrZDEbGNyLK6G6vWGrFcNM1NbgS9zjUxezbvxZqexfcWVuXhPXQJuQpxEgbpujWPmOIx9R1KNDqJk7M6SyI0dr20Ohio5HpMu7Oagqp4AvCqIw7-7hBp7DgV6qzbR-YqCpi8C2lMAVjaIdJlBcpqkH2C3hiVZpYb4LlplLE-uBijp4ATeIJVXimkUdE2RwDTouBxfV3eT4I4MLR0HP3Z32QfWWvwgntjXiqZajUKLiSubISAssBURmTF-HbuIb8AFgUgI6MJWyHsk_zF9CM8RWK-VvXsy--gZ2f8eVpOYQqv6g4Tvz_J78MMcKSFyC9OYj9oVI2_kPXeS8aNC-ux9QAF2z3tCQJjtdrWdtsDuBUkQZOdqdD2hFoXGGWzzCtQFoxWYX6HCTT_4%3D
"['MEC Energy Services, LLC']",,Financial Analyst 1 - 528047,"Miami, FL",$45K - $50K (Employer est.),"Company: MEC Energy Services, LLC
Job Title: Program Analyst Level III
Task 1: Provide up-to-date analysis of assigned areas or countries as it relates to CT issues and priorities.
Monitor developing political situations, terrorism threats, security sector dynamics, human rights situations, and issues of administrative management that may impact upon the ability of the USG to implement counterterrorism assistance and/or capacity building programs.
Monitor intelligence community reporting and analysis on political, security, human rights, and terrorism developments in assigned countries, including reporting on individuals and units that are beneficiaries or potential beneficiaries of CT assistance, which may impact the ability of the USG to implement counterterrorism assistance and/or capacity building programs",22d,
"['Stony Brook University', '4.0']",http://www.stonybrook.edu/,Financial Analyst 1 - 528047,"Miami, FL",$45K - $50K (Employer est.),"Compliance Analyst

Compliance Analyst

Required Qualifications (as evidenced by an attached resume):
Bachelor's degree (foreign equivalent or higher). In lieu of a Bachelor's degree, a combination of relevant education and experience totaling four (4) years may be considered. Two (2) years of experience in research, research administration, or another relevant field (compliance, audit, accounting, sponsored program administration, etc.). Experience with federal regulatory requirements as they relate to conflicts of interest and/or federal sponsor foreign influence guidelines.

Preferred Qualifications:
Master's degree (foreign equivalent or higher) in business, a science discipline, or related field. Experience with conflict of interest requirements, foreign influence concerns, or export control regulations within a university or other research environment. Experience with reporting requirements, as they relate to conflicts of interest. Experience with tools to support compliance initiatives and/or training (such as PowerPoint, presentation tools, and/or systems to develop and manage disclosures and active management plans).


Support the Director for Research Security in the execution of a comprehensive research security program with a primary focus on conflict of interest and foreign influence as it relates to disclosures. The position will interact with faculty and researchers to assist them with compliance to SBU's conflict of interest policies and regulations to ensure faculty researchers' outside interests do not impact - or appear to impact - the objectivity of the research, safety and welfare of research subjects, the interests of students and trainees, or other employee responsibilities, such as teaching, service, or administrative duties. The position will also back-up the Director for Research Security in other areas of research security programs (i.e., research security, export controls, foreign influence and international collaborations). Incumbent must have the ability to interpret government regulations and communicate complex regulations and requirements to others and the ability to perform and document detailed reviews of complex situations. Incumbent must have ability to maintain confidentiality related to sensitive information. They must have strong organizational skills and the ability to work with diverse groups of faculty, staff, and students.


The Research Foundation of SUNY is a private educational corporation. Employment is subject to the Research Foundation policies and procedures, sponsor guidelines and the availability of funding. FLSA Exempt position, not eligible for the overtime provisions of the FLSA. Minimum salary threshold must be met to maintain FLSA exemption.

Due to U.S. Export Control laws and regulations, the candidate hired will need to be a U.S. citizen, lawful permanent resident, or other ""protected individual"" (as defined by 8 U.S.C. Sec. 1324b(a)(3).

Resume/CV and cover letter should be included with the online application.



If you need a disability-related accommodation, please call the university Office of Equity and Access (OEA) at or visit OEA.

a

Visit our page to learn about the we offer.
Job Number: 2203724Official Job Title: Sponsored Programs Associate IJob Field: Administrative & Professional (non-Clinical)Primary Location: US-NY-Stony BrookDepartment/Hiring Area: VP AdminSchedule: Part-time Shift :Day Shift Shift Hours: 8:30 a.m. - 5:00 p.m. Posting Start Date: Oct 26, 2022Posting End Date: Nov 25, 2022, 8:59:00 PMSalary:Commensurate with experienceAppointment Type: RegularSalary Grade:E3






jeid-613bada653adf648bbaefd3ee3a56cd8",3d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846b51ebfdaf92585042917a9a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ee18f7fc&cb=1668247865627&jobListingId=1008264951905&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghll3r1eklur801-1ghll3r23ghqn800-e12a054080b752cb--6NYlbfkN0DPsm7s22OHruxIvA2JB4aF0iQTvEahxDcCKLZI70mRtkVhha1SaoWpQX9gfKDbYvE4UVgSZFerxoE3nIArYNUIOYLHUbA6kch9JR4Eg-28Yxl1ECr74I6dc_lcf1OrAHUnEmQqcRdfuKldFOjimAngunWuMgJRYQiLMkFsjmequaHkqklYfDeP6mSFeBjCjlRKVthCU9Q1vD4Sjcv1GiVfePGdhCBsYbHZCoZHFDkMjVbKVukblgYQfcllsxQqgBYECwT5LJRy1poJGC9ord4KHuztPLhq0NqhctENBFBaznwzC5YyLKLMumZ32EMSPg9lxZPzInwZ-uqtEdeY-U-DBpgegMzuuG8hNtdxj87ZYKEWF43-iteIebdJVNGp8rSKz2SaPovK4p3mmpG1kx7LUoiIruY_Tsbu5sdmguksfllYMvVOF7zLaZIEzYF7dlrZ0MmXSLy8ZA%3D%3D
"['County of Sonoma', '3.9']",http://sonomacounty.ca.gov/,Financial Analyst 1 - 528047,"Miami, FL",$45K - $50K (Employer est.),"Position Information
The County of Sonoma Human Services Department seeks to fill a full-time Document Imaging Technician vacancy in their Economic Assistance Division.

Starting salary up to $24.82/hour ($51,802.32/year), plus a cash allowance of $600/month, and a competitive total compensation package!

As a Document Imaging Technician in the Economic Assistance Division, you will prepare official County records and documents for scanning and database storage, secure records for conversion to digital content, and collect documents for addition to previously stored case records. Additionally, you will:
Review materials for proper identification, importance, and clarity
The ideal candidates will possess:


HSD fosters a positive work environment, where our commitment to providing opportunities for advancement is strengthened by a robust staff development program. We believe in the merits of work/life balance and enjoy the satisfaction of knowing that our work contributes to the betterment of our community.

As the largest agency in Sonoma County government, our mission is to protect vulnerable children and adults, and to promote maximum independence and well-being for individuals and families. HSD is responsible for child and adult protective services, veteran services, and administration of state and federal programs, including CalFRESH, CalWORKs, Medi-Cal, and In-Home Supportive Services. The department is dedicated to providing high quality, client-focused, cost-effective services and values the diversity, integrity, teamwork, leadership, and accountability of all staff in accomplishing the mission of the Department.

The Department works collaboratively at the federal, state, and local level to find creative solutions to support the health, safety, and well-being of individuals, families, and the community. To meet that goal, the Department has fostered strong relationships with other public and private sector partners, including other government agencies, community-based organizations, and business leaders. For more information regarding HSD's services please visit http://sonomacounty.ca.gov/Human-Services.



Working at the County of Sonoma offers expansive opportunities for growth and development, the ability to be a part of a challenging and rewarding work environment, and the satisfaction of knowing your contributions work to better our shared community. You can also look forward to flexible work arrangements and excellent benefits* including:

This employment list may also be used to fill future full-time, part-time, or extra-help (temporary) positions as they occur during the active status of the list.",18d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846b51ebfdaf92585042917a9a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b3db060c&cb=1668247868539&jobListingId=1008231444270&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghll3r1eklur801-1ghll3r23ghqn800-54ac145cfc6a4083--6NYlbfkN0BvzA_Kmv4z7KukiHRB8cB3aZv6vWqt37fRCqV9c3zLQMN2IKttcrycFRVRUvuAYjl0QP0euZWWiBxUix7smhn6ru_TkyukdCW6gGL-s7_MwIkaKZ6WlaOa5ztr5rnIkKIuwphppbIbJfaXgrDq0pRCiX6K3T5sRCDOQegr7BeWaLIOQVR5KZmW-JIIQD0Kl6I_loe0t5_pLyzORp9qhrgXmch6RjdSS_X7Ai22OTyjTGNDAMpIfau5hOQ-YGCkeZsIef82Kppnd4H9wEy21bltXmiqBKpk5QlVYuMy-mJr83mXbQkF6avS45SdYWRaBR0ZdUIzfPL9MpHpe4LZV6nlbYf1-gWO5vKBQocz3kLLAlM0rbEGQloPjIwt1fEAWFlcsN0NiupPnittYg-H0zgCNUPj6Dn0vaKGVlpAtnJvh4vdEoGHdRT3KDCnTDRQ2RR1ucfr1-PYHZYvyh3T1ZYyht0dO4tHoeac6IzqXSGN6CFSEgfX6QWDBFo0JZU14rscuzhEyFKEIMt_tQQZwei3
