Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['JPMorgan Chase Bank, N.A.', '3.8']",http://www.chase.com/,Software Engineering - AWS Security,"Jersey City, NJ",$124K - $180K (Employer est.),"As a member of our DevSecOps Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:
AWS security certification or equivalent experience
BS/BA degree or equivalent experience",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a6756fea482c67b14ee28fd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ed28965c&cb=1668232479090&jobListingId=1008269991347&jrtk=3-0-1ghl6elpmi9i1801-1ghl6elqai14k800-6a9f338788baacd6-
"['JPMorgan Chase Bank, N.A.', '3.8']",http://www.chase.com/,Software Engineering - AWS Security,"Jersey City, NJ",$124K - $180K (Employer est.),"Are you a highly skilled, experienced Software Engineer looking for your next career move?

Do you have 3 - 9 years of Software Engineering experience delivering mid-to-large enterprise projects?

Have you worked in an Agile environment?

We welcome you to explore the technology opportunities we have available across our US Technology Centers. JPMC follows a hybrid in-person/remote work schedule. Relocation assistance available.

Required Skills:
BS/BA degree or equivalent experience



As a member of our Engineering Group we look first and foremost for people who are passionate around solving business problems through innovation & engineering practices. You will be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

At JPMorgan Chase, we embrace differences. We practice openness. We are a meritocracy because everyone deserves an opportunity to succeed while bringing their whole self to work.

J.P. Morgan Chase is committed to creating an inclusive organization where everyone can succeed based on merit. We understand that with diversity comes strength and innovation. We aim to present, hire and develop a diverse group of talented individuals who find creative ways to solve our clients' problems using ideas that reflect the best of their different points of view. Diversity represents who we are, the clients we serve, and helps us build a world-class franchise.

Ready to build your future?

We look forward to connecting with you soon.",2d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a6756fea482c67b14ee28fd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_06c77ca3&cb=1668232482993&jobListingId=1008269991236&jrtk=3-0-1ghl6elpmi9i1801-1ghl6elqai14k800-749d51dc26c0ee93-
"['JPMorgan Chase Bank, N.A.', '3.8']",http://www.chase.com/,Software Engineering - AWS Security,"Jersey City, NJ",$124K - $180K (Employer est.),"As an experienced member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:
BS/BA degree or equivalent experience
Expertise in application, data, and infrastructure architecture disciplines",19d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a6756fea482c67b14ee28fd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ea8d4c3d&cb=1668232486853&jobListingId=1008228801807&jrtk=3-0-1ghl6elpmi9i1801-1ghl6elqai14k800-c6e3404aeecd8c98-
,,Software Engineering - AWS Security,"Jersey City, NJ",$124K - $180K (Employer est.),,8d,
"['JPMorgan Chase Bank, N.A.', '3.8']",http://www.chase.com/,Software Engineering - AWS Security,"Jersey City, NJ",$124K - $180K (Employer est.),"As an experienced member (VP) of our Software Engineering team, you will be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with product, design, business, engineering stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment - one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally. As a leader of organizational, operational and technological change, you'll build partnerships with business groups and technology teams across the firm.

You'll also help manage a high-performing team of technologists from multiple job families who share your passion for technology and innovation. This role will lead a directly aligned organization and partner with Product Owners & Designers to deliver on new prototypes and products. You will be able to deliver high quality results in a rapidly changing environment that requires flexibility and adaptability with razor focus on speed to execute.

Qualifications",1d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a6756fea482c67b14ee28fd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_56eabd1e&cb=1668232491483&jobListingId=1008273211802&jrtk=3-0-1ghl6elpmi9i1801-1ghl6elqai14k800-a146708536b8f14b-
"['JPMorgan Chase Bank, N.A.', '3.8']",http://www.chase.com/,Software Engineering - AWS Security,"Jersey City, NJ",$124K - $180K (Employer est.),"As a member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:
BS/BA degree or equivalent experience
Advanced knowledge of application, data, and infrastructure architecture disciplines",24h,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a6756fea482c67b14ee28fd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ff5d47f8&cb=1668232494366&jobListingId=1008275459692&jrtk=3-0-1ghl6elpmi9i1801-1ghl6elqai14k800-8368f33b0d4a0b91-
"['JPMorgan Chase Bank, N.A.', '3.8']",http://www.chase.com/,Software Engineering - AWS Security,"Jersey City, NJ",$124K - $180K (Employer est.),"As an iOS Applications Engineer for our Digital Payments' Software Group, you dive head-first into creating innovative solutions that advance businesses and careers. You will join an inspiring and curious team of technologists dedicated to improving the design, analytics, development, coding, testing, and application programming that goes into creating high-quality software and new products. You will be tasked with keeping the team and other key stakeholders up to speed on the progress of what is being developed. Coming in with an understanding of the importance of end-to-end software development such as Agile frameworks is key. Best of all, you will be able to harness massive amounts of brainpower through JPMorgan Chase's Global Network of over 40,000 technologists from around the world.

Please note this position is starting as a Remote Position for the San Francisco Bay Area. Candidates can work at home currently, but candidates must be living in the San Francisco Bay Area or be willing to relocate to the San Francisco Bay Area in California as meetings will occur occasionally at the Palo Alto Office.",14d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a6756fea482c67b14ee28fd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c7c770a0&cb=1668232497188&jobListingId=1008242042056&jrtk=3-0-1ghl6elpmi9i1801-1ghl6elqai14k800-2bd48cd330893f85-
"['JPMorgan Chase Bank, N.A.', '3.8']",http://www.chase.com/,Software Engineering - AWS Security,"Jersey City, NJ",$124K - $180K (Employer est.),"As a Junior level J2EE Software Engineer, you will provide high quality technology solutions that address business needs by developing applications within mature technology environments. Perform full life cycle design and development for the Operations Technology Applications. You will be responsible for the following:
Perform hands-on development for defects and new features
Assist with defect resolution during system testing and user acceptance testing
Partner with L2 and assist in incident resolution as needed
Create implementation plans and back out plans
Oversee implementations and post-implementation support phases
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.",15d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a6756fea482c67b14ee28fd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c85f884f&cb=1668232500020&jobListingId=1008239599188&jrtk=3-0-1ghl6elpmi9i1801-1ghl6elqai14k800-3ffed29acbb7c42f-
"['JPMorgan Chase Bank, N.A.', '3.8']",http://www.chase.com/,Software Engineering - AWS Security,"Jersey City, NJ",$124K - $180K (Employer est.),"As an experienced Software Engineer, you will work in a dynamic, agile team to enhance, build, and deliver trusted market-leading technology products in a secure, stable, and scalable way. Depending on the team that you join, you could be developing mobile features that give our customers and clients more control over how they bank with us, strategizing on how big data can make our trading systems quicker, creating the next innovation in payments for merchants, or supporting the integration of our private and public cloud platforms.
Your Role and Responsibilities

Participate in design and develop scalable and resilient systems in a timely manner using Java or Python and JavaScript to contribute to continual, iterative improvements for product teams
Design, write, comment and unit test code to confirm software modules are of the highest quality





JPMorgan Chase is looking to hire Associate Software Engineers at the 601 and 602 levels. A determination will be made on placement for successful candidates based on the results of a skills-based assessment which applicants will be asked to complete during the hiring process. The assessment will evaluate ability to perform basic coding and systems design responsibilities. For the 601 level, the role requires the ability to understand advance features of a coding language, design a viable system, and solve functional problems through basic language applications. For the 602 level, the role requires a higher level of proficiency and ability to function independently, including the ability to use and explain advance features of a coding language, design systems across technologies and platforms, solve functional and non-functional problems through an application of language best practices, as well as, the ability to assess issues broadly, identify alternative or innovative solutions, collaborate effectively, and provide guidance to others.

Visa sponsorship may be available for these positions.",2d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a6756fea482c67b14ee28fd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8ba1c0bd&cb=1668232502029&jobListingId=1008268739154&jrtk=3-0-1ghl6elpmi9i1801-1ghl6elqai14k800-bb8646f41f8ca7c4-
"['JPMorgan Chase Bank, N.A.', '3.8']",http://www.chase.com/,Software Engineering - AWS Security,"Jersey City, NJ",$124K - $180K (Employer est.),"As an experienced member of our Software Engineering Group, we look first and foremost for people who are passionate around solving business problems through innovation and engineering practices. You'll be required to apply your depth of knowledge and expertise to all aspects of the software development lifecycle, as well as partner continuously with your many stakeholders on a daily basis to stay focused on common goals. We embrace a culture of experimentation and constantly strive for improvement and learning. You'll work in a collaborative, trusting, thought-provoking environment-one that encourages diversity of thought and creative solutions that are in the best interests of our customers globally.

This role requires a wide variety of strengths and capabilities, including:
BS/BA degree or equivalent experience
Expertise in application, data, and infrastructure architecture disciplines",24h,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a6756fea482c67b14ee28fd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c5735bb6&cb=1668232505016&jobListingId=1008275459750&jrtk=3-0-1ghl6elpmi9i1801-1ghl6elqai14k800-3de9dee2993f0a84-
