Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Jabil Inc', '3.8']",http://www.jabil.com/,Manufacturing Test Engineer/Technician with Software Experience,"Memphis, TN",$55K - $80K (Employer est.),"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 260,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We combine an unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world’s leading brands. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.
Jabil is looking for an experienced Test Engineer who has software knowledge and experience to work in Memphis, TN. The Test Engineer will develop and maintain test procedures, tester hardware and software for electronic circuit board production.
In this role you will",24h,
"['Jabil Inc', '3.8']",http://www.jabil.com/,Manufacturing Test Engineer/Technician with Software Experience,"Memphis, TN",$55K - $80K (Employer est.),"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 260,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We combine an unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world’s leading brands. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.
Jabil is seeking an experienced Test Engineer for its location in Florence, Kentucky. The Test Engineer will be self-directed, he/she will be responsible for developing and maintaining test procedures, test hardware and software for electronic circuit production.
In this role you will",24h,
"['Jabil', '3.8']",http://www.jabil.com/,Manufacturing Test Engineer/Technician with Software Experience,"Memphis, TN",$55K - $80K (Employer est.),"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 260,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We combine an unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world's leading brands. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.

At Jabil, our financial systems developers are true business partners who immerse themselves in the domains they support to develop modern and collaborative solutions to business problems. This position works closely with our Tax and Treasury departments and will be a part of the team that develops and maintains our custom-built Python and JavaScript user interface.

An ideal candidate will have a foundation in the following:

A desire to learn additional technologies (if not already known) that the team utilizes:





BE AWARE OF FRAUD: When applying for a job at Jabil you will be contacted via correspondence through our official job portal with a jabil.com e-mail address; direct phone call from a member of the Jabil team; or direct e-mail with a jabil.com e-mail address. Jabil does not request payments for interviews or at any other point during the hiring process. Jabil will not ask for your personal identifying information such as a social security number, birth certificate, financial institution, driver's license number or passport information over the phone or via e-mail. If you believe you are a victim of identity theft, contact the Federal Bureau of Investigations internet crime hotline (www.ic3.gov), the Federal Trade Commission identity theft hotline (www.identitytheft.gov) and/or your local police department. Any scam job listings should be reported to whatever website it was posted in.",17d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a2b8d5f8e5926182e870a89&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9f90d679&cb=1668228564783&jobListingId=1008233720801&jrtk=3-0-1ghl2n3cekbnb801-1ghl2n3d2i150800-f937d5a26055483e-
"['Jabil', '3.8']",http://www.jabil.com/,Manufacturing Test Engineer/Technician with Software Experience,"Memphis, TN",$55K - $80K (Employer est.),"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 260,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We combine an unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world's leading brands. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.

JOB SUMMARY

As a Lead Engineer, you will be able to technically lead the entire cross functional design team on their interactions and responsibilities for that project. A Lead Engineer is responsible for insuring the phase gate technical milestones are met, is the leader of technical reviews, and is responsible for making sure that the specification requirements inputs and design outputs align. This engineer will have demonstrated experience at releasing product into a production environment.







LANGUAGE SKILLS
Ability to read, analyze, and interpret general business periodicals, professional journals, technical procedures, or governmental regulations. Ability to write reports, business correspondence, and procedure manuals. Ability to effectively present information and respond to questions from groups of managers, clients, customers, and the general public.

MATHEMATICAL SKILLS
Ability to work with mathematical concepts such as probability and statistics, and fundamentals of plane and solid geometry and trigonometry. Ability to apply concepts such as fractions, percentages, ratios, and proportions to practical situations.

REASONING ABILITY
Ability to define problems, collect data, establish facts, and draw valid conclusions. Ability to interpret an extensive variety of technical instructions in mathematical or diagram form and deal with several abstract and concrete variables. Ability to develop
mathematical models of physical reality and solve them, then implement the results.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a2b8d5f8e5926182e870a89&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4c555208&cb=1668228568849&jobListingId=1007854642848&jrtk=3-0-1ghl2n3cekbnb801-1ghl2n3d2i150800-e71eded37a193064-
"['Jabil', '3.8']",http://www.jabil.com/,Manufacturing Test Engineer/Technician with Software Experience,"Memphis, TN",$55K - $80K (Employer est.),"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 260,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We combine an unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world's leading brands. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.

Manufacturing Process Engineer

Kasalis is a global supplier of advanced automation and production systems for the active alignment, assembly, and test of leading-edge optical devices and electro-optical systems - including compact camera modules, NIR and visible light projectors, LiDAR systems, augmented reality systems, and structured light 3D sensing systems. We work on innovative, state-of-the-art technologies from some of the world's most recognizable brands in the technology space.

Kasalis is part of Jabil, one of the top manufacturers in the world, with more than 200,000 employees worldwide in over 100 facilities.

About the Job

We are searching for a talented and motivated Manufacturing Process Engineer to prototype and deploy customized automated optical active alignment and test systems for our internal and external customers. You will be involved in DFX feedback to both customers and internal designers, setup, optimization, and qualification of custom manufacturing machines and processes, deployment of custom machines and processes around the globe, and support of manufacturing processes in mass production. We need someone who thrives working in a small team environment with tight deadlines, who takes pride and ownership of their work, and who delivers practical, high-quality solutions.

Essential Duties and Responsibilities

Requirements

Desired Skills

Education and Experience

BE AWARE OF FRAUD: When applying for a job at Jabil you will be contacted via correspondence through our official job portal with a jabil.com e-mail address; direct phone call from a member of the Jabil team; or direct e-mail with a jabil.com e-mail address. Jabil does not request payments for interviews or at any other point during the hiring process. Jabil will not ask for your personal identifying information such as a social security number, birth certificate, financial institution, driver's license number or passport information over the phone or via e-mail. If you believe you are a victim of identity theft, contact the Federal Bureau of Investigations internet crime hotline (www.ic3.gov), the Federal Trade Commission identity theft hotline (www.identitytheft.gov) and/or your local police department. Any scam job listings should be reported to whatever website it was posted in.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a2b8d5f8e5926182e870a89&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9523308a&cb=1668228571684&jobListingId=1007873682766&jrtk=3-0-1ghl2n3cekbnb801-1ghl2n3d2i150800-e148f4201237cbd0-
"['Jabil', '3.8']",http://www.jabil.com/,Manufacturing Test Engineer/Technician with Software Experience,"Memphis, TN",$55K - $80K (Employer est.),"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 260,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We combine an unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world's leading brands. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.

Software Engineer

Kasalis is a global supplier of advanced automation and production systems for the active alignment, assembly, and test of leading-edge optical devices and electro-optical systems including compact camera modules, NIR and visible light projectors, LiDAR systems, augmented reality systems, and structured light 3D sensing systems. We work on innovative, state-of-the-art technologies from some of the world's most recognizable brands in the technology space.

Kasalis is part of Jabil, one of the top manufacturers in the world, with more than 200,000 employees worldwide in over 100 facilities.



We are searching for a talented and motivated Software Engineer with good analytical skills, strong programming ability, and a detail-oriented troubleshooting attitude to develop advanced algorithms for precision, automated manufacturing of optical devices. We need someone who thrives working in a small team environment with tight deadlines, takes pride and ownership of their work, and delivers high quality solutions. As a small team developing our own manufacturing automation platform, we have a lot of freedom in selecting which technologies we use. In this role you'll be exposed to a varied tech stack of both in-house and externally sourced components. You'll also get to work with mechanical and electrical systems that are controlled by your software. A key part of the role is thinking out of the box to apply cutting edge software technologies to the field of manufacturing automation.









BE AWARE OF FRAUD: When applying for a job at Jabil you will be contacted via correspondence through our official job portal with a jabil.com e-mail address; direct phone call from a member of the Jabil team; or direct e-mail with a jabil.com e-mail address. Jabil does not request payments for interviews or at any other point during the hiring process. Jabil will not ask for your personal identifying information such as a social security number, birth certificate, financial institution, driver's license number or passport information over the phone or via e-mail. If you believe you are a victim of identity theft, contact the Federal Bureau of Investigations internet crime hotline (www.ic3.gov), the Federal Trade Commission identity theft hotline (www.identitytheft.gov) and/or your local police department. Any scam job listings should be reported to whatever website it was posted in.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a2b8d5f8e5926182e870a89&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c468740b&cb=1668228574718&jobListingId=1008002432625&jrtk=3-0-1ghl2n3cekbnb801-1ghl2n3d2i150800-c6d0c8d629c60188-
"['Jabil', '3.8']",http://www.jabil.com/,Manufacturing Test Engineer/Technician with Software Experience,"Memphis, TN",$55K - $80K (Employer est.),"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 260,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We combine an unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world's leading brands. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.

JOB SUMMARY

Jabil is a product solutions company providing comprehensive design, manufacturing, supply chain and product management services. Operating from over 100 facilities in 29 countries, Jabil delivers innovative, integrated and tailored solutions to customers across a broad range of industries and end-markets, such as automotive, consumer lifestyle and wearable tech, defense and aerospace, connected home and building, industrial and energy, enterprise and infrastructure, healthcare, mobility, packaging and printing.

Jabil is seeking a Senior Systems Engineer who will directly contribute to the transformative growth within our Enterprise and Infrastructure division by applying unique and innovative approaches to solving problems of server solutions for our customers. You will be responsible for contributing to the end-to-end definition, development and POC validation of server and rack level solutions spanning multiple customers and manufacturing regions. You will also be responsible for interfacing with customers, sales, marketing, CTO, and product engineering teams to ensure your deliverables meet the creative solutioning and optimal performance expected of our customers.













BE AWARE OF FRAUD: When applying for a job at Jabil you will be contacted via correspondence through our official job portal with a jabil.com e-mail address; direct phone call from a member of the Jabil team; or direct e-mail with a jabil.com e-mail address. Jabil does not request payments for interviews or at any other point during the hiring process. Jabil will not ask for your personal identifying information such as a social security number, birth certificate, financial institution, driver's license number or passport information over the phone or via e-mail. If you believe you are a victim of identity theft, contact the Federal Bureau of Investigations internet crime hotline (www.ic3.gov), the Federal Trade Commission identity theft hotline (www.identitytheft.gov) and/or your local police department. Any scam job listings should be reported to whatever website it was posted in.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a2b8d5f8e5926182e870a89&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b0febf76&cb=1668228577329&jobListingId=1008111558466&jrtk=3-0-1ghl2n3cekbnb801-1ghl2n3d2i150800-42b3da32dc289a5c-
"['Jabil', '3.8']",http://www.jabil.com/,Manufacturing Test Engineer/Technician with Software Experience,"Memphis, TN",$55K - $80K (Employer est.),"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 260,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We combine an unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world's leading brands. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.

Jabil is seeking an experienced Front-End Engineer to work in the Lexington, Kentucky location, this position can be remote!! The subject matter expert Front-End Engineer will be able to technically lead user interface and user experience engineering across multiple projects. This role is responsible for working on developing user interface designs, developing processes and workflows for iterative user experience design. Also, the Front-End Engineer will be responsible for technical reviews and must demonstrate experience at the full cycle of user experience engineering from initial requirements and user stories to releasing the product into a production environment.




/

BE AWARE OF FRAUD: When applying for a job at Jabil you will be contacted via correspondence through our official job portal with a jabil.com e-mail address; direct phone call from a member of the Jabil team; or direct e-mail with a jabil.com e-mail address. Jabil does not request payments for interviews or at any other point during the hiring process. Jabil will not ask for your personal identifying information such as a social security number, birth certificate, financial institution, driver's license number or passport information over the phone or via e-mail. If you believe you are a victim of identity theft, contact the Federal Bureau of Investigations internet crime hotline (www.ic3.gov), the Federal Trade Commission identity theft hotline (www.identitytheft.gov) and/or your local police department. Any scam job listings should be reported to whatever website it was posted in.

This job cannot be performed remotely in the state of Colorado.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a2b8d5f8e5926182e870a89&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4850965a&cb=1668228580024&jobListingId=1008163463089&jrtk=3-0-1ghl2n3cekbnb801-1ghl2n3d2i150800-184043c71f0410c9-
"['Jabil', '3.8']",http://www.jabil.com/,Manufacturing Test Engineer/Technician with Software Experience,"Memphis, TN",$55K - $80K (Employer est.),"JOB SUMMARY
Lead Test Development technical positions all require similar types of activities, but the required level of technical expertise increases with the higher level positions. A Lead Test Development Engineer is required to be able to perform medium to high complexity engineering work. The types of work performed include development of test solution quotes, development of test solutions, test crisis support and continuous improvement of core competency. The lead engineer is expected to lead smaller teams of engineers and/or technicians in driving a project from concept to completion. The lead engineer is expected to work directly with the team’s project managers in interfacing with the customers on a daily basis providing project status, identifying risks earlier and providing mitigation or contingency plans.
ESSENTIAL DUTIES AND RESPONSIBILITIES",30d+,
"['Jabil', '3.8']",http://www.jabil.com/,Manufacturing Test Engineer/Technician with Software Experience,"Memphis, TN",$55K - $80K (Employer est.),"At Jabil we strive to make ANYTHING POSSIBLE and EVERYTHING BETTER. With over 260,000 diverse, talented and dedicated employees across 100 locations in 30 countries, our vision is to be the most technologically advanced and trusted manufacturing solutions provider. We combine an unmatched breadth and depth of end-market experience, technical and design capabilities, manufacturing know-how, supply chain insights and global product management expertise to enable success for the world's leading brands. We are driven by a common purpose to make a positive impact for each other, our communities, and the environment.

JOB SUMMARY

The purpose of the job is to design automation engineering projects in the area of assignment, e.g., mechanical, electrical, electronics, software application. The Sr. Automation Design Engineer reviews and analyzes project requirements, specification, plan, design and installation. Position is responsible for design of automation equipment to ensure stipulated specification and requirements are met, and delivered within budget and on time. Position supports Lead Engineer of respective area in design of automation equipment.










BE AWARE OF FRAUD: When applying for a job at Jabil you will be contacted via correspondence through our official job portal with a jabil.com e-mail address; direct phone call from a member of the Jabil team; or direct e-mail with a jabil.com e-mail address. Jabil does not request payments for interviews or at any other point during the hiring process. Jabil will not ask for your personal identifying information such as a social security number, birth certificate, financial institution, driver's license number or passport information over the phone or via e-mail. If you believe you are a victim of identity theft, contact the Federal Bureau of Investigations internet crime hotline (www.ic3.gov), the Federal Trade Commission identity theft hotline (www.identitytheft.gov) and/or your local police department. Any scam job listings should be reported to whatever website it was posted in.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a2b8d5f8e5926182e870a89&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_40bc1fb9&cb=1668228585694&jobListingId=1008157229164&jrtk=3-0-1ghl2n3cekbnb801-1ghl2n3d2i150800-4ce61e2ad5799e68-
