Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Johnson Automotive', '3.2']",https://www.johnsonautomotive.com/,Automotive Service Advisor - Johnson Kia,"Annapolis, MD",$28K - $46K (Glassdoor est.),"Our Upcoming New Dealership, Johnson Kia, in Annapolis, MD, is seeking Full-Time Service Advisors! We are seeking a friendly and motivated individuals with a positive attitude to fill the open positions! If you are customer-service oriented and interested in working in a fast paced environment with great earning potential, this is an excellent opportunity for you!
.
Johnson Kia is a member of Johnson Automotive, one of the fastest growing automotive companies in the east coast. Johnson Automotive has earned a reputation for outstanding customer service and first-class operation by hiring top performers that are eager to elevate our guest’s experiences.
.
This position will assist with the operations of the Service Department by advising and counseling guests on any necessary vehicle service repairs as recommended by technicians.",1d,
"['Verizon', '3.9']",http://verizon.com/jobs,Automotive Service Advisor - Johnson Kia,"Annapolis, MD",$28K - $46K (Glassdoor est.),"When you join Verizon

Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect across the globe. We’re a diverse network of people driven by our shared ambition to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here.


What you’ll be doing...

As a Verizon Retail Specialist, you’ll have the power to control your own career in one of our retail stores. You’ll apply your unique talents, passion for technology, and customer service skills to create the ultimate in-store experience. In this role you will be:


This position (at 32-40 hours per week) offers full-time benefits, including medical, dental,401k, educational assistance, and employee discounts that start on day one. Must be willing to work evenings, weekends, and holidays and to pick up additional shifts, if necessary.




You’ll need to have:


Even better if you have:


Why Verizon?

Verizon is an award winning company and has been recognized by the Diversity Best Practices Inclusion Index, Working Mother Magazine, as a best company for multicultural women, as a top 10 Best for Vets employer, and as a top 10 Military Spouse Friendly Employer.

Being surrounded by great technology is the start. Being surrounded by great people makes it even better. Thousands of locations, millions of connections. A personal experience for each customer created by you.

Be challenged.

Our technologies and our customers’ needs are always evolving. You’ll be at the forefront of the tech world’s latest trends.

After you apply…

You may be required to take an assessment. It takes about 15-20 minutes to complete. If you're selected to move forward, one of our recruiters will reach out to tell you more about the role and answer your questions.




We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.",10d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846b20afc3b5329c9d57d06364&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d695122d&cb=1668244628062&jobListingId=1008250157143&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1ghli1bvn2heh001-1ghli1c09griq800-778b7849a17589c4--6NYlbfkN0BCNs6bE--Mn_ADd0RyzMq18ZUxdybwefWV8heO_C7Y93WSfGMHAxRcSzeibk6A72SV8CIl4OTwWyV75Yj6OifMlDwQp_ah7q00fgb5y2Ol6aVqRsSeyLsJo_7xollE-1rqMdejgkjCpYIH0s1OwwJ2KqepaJ17eGo3EA36UtpY6871yAVbcip_nRsZksQ21hQAa6tjQZ6_Y8c2_xYWasoSsCYyUSEZsQz-SDky3PeY3xWgnvHSu3dD64PNNAkcHDXZDR41x-Bx77qxtKCKOeNEc7Lx-2Yg6Sj94bLevXhwCIGGRaMFjw62xOWLsxldpSKdISssxHG9zGypI29KyK55peg_8FMFln6p3n-T1ZZRcEAzhS7vaX62hOlDHVdPphRNl8hlEqoPAuCgrqR1x1zxy7wMjUYKXLktRzxmsl1-anmGSQTGcv2BnagibaGCiwX0XYy-bVSYeTpqVdJVBxMiA-LPuA2LzvjKhjr0VB4gaKjfE7B_m3DMW4iceBl2d1o1gGfFNzyeRARC6mDsNdMp6QjPeV8GbXQUAN59__EjVuwSJJEqXbFHmQ3yZ6QvV0o2ZZFIm-PHMuciJo_ArgKrSq6ZB4jVjU6l50ceQwpQqwPxNt_lCfFIDSw-NKqBPgUxrfreqk5WFUsbgGKgULwSKzTdqEegqMqpHkBb32X1-5WDJddoMIYK0_YTP6w5oiSFZloJK_QjY7b0Ap1fG2_uirKKJGtwYKfq7Kup1AQOZHqyXtSyi8J291NIm2x568e_KH8HcPDUQA%3D%3D
['Wallace P Johnson Plumbing & Heating Inc'],,Automotive Service Advisor - Johnson Kia,"Annapolis, MD",$28K - $46K (Glassdoor est.),"Are you looking to be part of a growing team in an up-and-coming company? If so, keep reading because Johnson Plumbing, a commercial/industrial plumbing outfit, is searching for an experienced Operator for our Southern California division, and you just might fit the bill.
As an Operator with Johnson Plumbing, you will have the opportunity to:
Play a significant role on each required project by safely and skillfully operating a backhoe, excavating and backfilling deep trenches and tenant improvements.
Work off equipment in trenches installing pipe
Demonstrate your knowledge by maintaining the equipment in peak operating condition by performing simple preventive maintenance and repair tasks such as making simple adjustments, replacing minor parts, and lubricating the equipment daily
Mentor crew members by training others on the proper operation of a backhoe",4d,
"['Verizon', '3.9']",http://verizon.com/jobs,Automotive Service Advisor - Johnson Kia,"Annapolis, MD",$28K - $46K (Glassdoor est.),"When you join Verizon

Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect across the globe. We’re a diverse network of people driven by our shared ambition to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here.


What you’ll be doing...

As a Verizon Retail Specialist, you’ll have the power to control your own career in one of our retail stores. You’ll apply your unique talents, passion for technology, and customer service skills to create the ultimate in-store experience. In this role you will be:


This position (at 32-40 hours per week) offers full-time benefits, including medical, dental,401k, educational assistance, and employee discounts that start on day one. Must be willing to work evenings, weekends, and holidays and to pick up additional shifts, if necessary.




You’ll need to have:


Even better if you have:


Why Verizon?

Verizon is an award winning company and has been recognized by the Diversity Best Practices Inclusion Index, Working Mother Magazine, as a best company for multicultural women, as a top 10 Best for Vets employer, and as a top 10 Military Spouse Friendly Employer.

Being surrounded by great technology is the start. Being surrounded by great people makes it even better. Thousands of locations, millions of connections. A personal experience for each customer created by you.

Be challenged.

Our technologies and our customers’ needs are always evolving. You’ll be at the forefront of the tech world’s latest trends.

After you apply…

You may be required to take an assessment. It takes about 15-20 minutes to complete. If you're selected to move forward, one of our recruiters will reach out to tell you more about the role and answer your questions.




We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.",10d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846b20afc3b5329c9d57d06364&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_818ede73&cb=1668244632863&jobListingId=1008250160995&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1ghli1bvn2heh001-1ghli1c09griq800-9ed0a5b920d497d3--6NYlbfkN0BCNs6bE--Mn_ADd0RyzMq18ZUxdybwefWV8heO_C7Y93WSfGMHAxRcSzeibk6A72SV8CIl4OTwW6wt1wMUbPKic7pwDJgMOWg2hpT9m3wHBcUON_KEd1wodkgV2FCfyNpMAi3N12ohyIGRoxIH5gDJ6BI6xsLKstdZSOM8ULdesruAWhI6J8Vu2YDv1hIfUcVi1_jyv9y3x_VRsEYaFlwV1EKvUtfhWlqCKgvvANDbFc6WOpqagjNvUXjb4eF-lb9746msgRmz2dTIszIqknLEB2P02Hbb0uZcPhSyXD9ATBRMqJt50mKhnvnsoi3B6v_LiyLzrMPloncgn713m-nGOsDu00nEB214pJTjosF8unkhk2NYqsTPqUt7VcENNs1hkk12TTqGdeWVclB5IWRxQTKaWacsY03G8cf7ZKiCt4RJCntWDXptUKGg-In0nx_oU0mgAG7Liy4tTvi3qK34lGOIynaUh0ArJSoY0_7l211z0707u77c_V64afY7Ulelr6LDkO_3LDcSt8GsoftX0eFQOS604EhVrrO0APEHi5a8nvt0QRtJl2vB6phYwyvvYs-P3L8keP0wKD6jLP9K3pfE7EljtKX4EjxGqhqE9F9LGmmCPl5fabA4hCo3MY6ofxQ6f0iuQ-IReVMIHpDr96efBNrHN5EyDHLOdJEmSwpkGf2OzDXOlGojcVwpDz9-HNHcOWMWhlpYoFm9ClttHYf_Ls8epWNlezTnrE7i1WawE4pzYKW6gC7qC1GI5Ey_e0xwd-WeWw%3D%3D
"['Verizon', '3.9']",http://verizon.com/jobs,Automotive Service Advisor - Johnson Kia,"Annapolis, MD",$28K - $46K (Glassdoor est.),"When you join Verizon

Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect across the globe. We’re a diverse network of people driven by our shared ambition to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here.


What you’ll be doing...

As a Verizon Retail Specialist, you’ll have the power to control your own career in one of our retail stores. You’ll apply your unique talents, passion for technology, and customer service skills to create the ultimate in-store experience. In this role you will be:


This position (at 32-40 hours per week) offers full-time benefits, including medical, dental,401k, educational assistance, and employee discounts that start on day one. Must be willing to work evenings, weekends, and holidays and to pick up additional shifts, if necessary.




You’ll need to have:


Even better if you have:


Why Verizon?

Verizon is an award winning company and has been recognized by the Diversity Best Practices Inclusion Index, Working Mother Magazine, as a best company for multicultural women, as a top 10 Best for Vets employer, and as a top 10 Military Spouse Friendly Employer.

Being surrounded by great technology is the start. Being surrounded by great people makes it even better. Thousands of locations, millions of connections. A personal experience for each customer created by you.

Be challenged.

Our technologies and our customers’ needs are always evolving. You’ll be at the forefront of the tech world’s latest trends.

After you apply…

You may be required to take an assessment. It takes about 15-20 minutes to complete. If you're selected to move forward, one of our recruiters will reach out to tell you more about the role and answer your questions.




We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.",10d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846b20afc3b5329c9d57d06364&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_008af9e1&cb=1668244635797&jobListingId=1008250163007&cpc=8795CF9063CD573D&jrtk=3-0-1ghli1bvn2heh001-1ghli1c09griq800-dccc275a28019d80--6NYlbfkN0BCNs6bE--Mn_ADd0RyzMq18ZUxdybwefWV8heO_C7Y93WSfGMHAxRcSzeibk6A72SV8CIl4OTwW_qwVQ44wUU3p4WyZ4dBhZU7aiAR5DRDtP6JItiwwCL3Cx4gH-9yikYNezpZeJUpzLf_I0aR95gblouaWM_XzdL2L6j9HYkkCRay-vXx2OfSpCGWZbW3kirFuQpq8IiIu7ExEKrvxnjXY80pqQqRu1q-X39WgX33_HCk6lR9dBjYYs_ZhIBlgJrON4P3UXHbH09HyCWOD3zSbjhFPkhVCSphsoDqYUgR7yu911iYXJRMzJkQ9on_4NiWLQpYOtInEg3cVZC5CaBl7cxjgy_okcLpYPO7_22uMOvHmWr4mnQ4bdZkQXbbQNwjvtr_buTZ-jhtnKTXal6ZhHhmtfltDAf_Go3L3-wGLVhAnFjF4Ao9wuxY2wttviakAbEFT-acQ1rnyQXa1qJMjGHj0vepnDjJXR2hPEBjek-EHa0CtAWz4ygiKYaJJhyKS56xkIhycpc6SuexcL00P57skN5k5osA0d7QPjwocwTxuj8y3JW8WEGxthtpUtQXaMWe_sfrtvWnz72jLkeVJENVpNQbh6OEPkoP1AhdjmzK8jaJrFRtJLYZhAC3oihhMBCll0J-yl7yA636LoDPR4VT78I7Ajl8NDjrT8JDJfEB-oUwbo0jxNMITi8swk2IjFeJ_e-pH5CQEaspbtPnJwRkgpQ8NTnWjMOSC6BDuZSvMSPphx30SkS_HjDcwekkxAbh_xNw4w%3D%3D
"['Holiday Inn Johnson City', '3.5']",http://www.ihg.com/,Automotive Service Advisor - Johnson Kia,"Annapolis, MD",$28K - $46K (Glassdoor est.),"Greets guests upon arrival and make them feel welcome. Administer check-ins and check-outs. Responds in a professional and courteous manner to arriving, departing and in-house guests by providing accurate and timely information and services.
Essential Duties & Responsibilities:
Maintain a friendly and warm demeanor at all times.
Obtain all necessary information when taking room reservations.
Monitor all V.I.P. and special guest requests.
Fully comprehend and execute all relevant phases of the front desk computer system.
Ensure logging and delivery of all messages, packages and mail in a timely and professional manner.",1d,
"['Verizon', '3.9']",http://verizon.com/jobs,Automotive Service Advisor - Johnson Kia,"Annapolis, MD",$28K - $46K (Glassdoor est.),"When you join Verizon

Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect across the globe. We’re a diverse network of people driven by our shared ambition to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here.


What you’ll be doing...

As a Verizon Retail Specialist, you’ll have the power to control your own career in one of our retail stores. You’ll apply your unique talents, passion for technology, and customer service skills to create the ultimate in-store experience. In this role you will be:


This position (at 32-40 hours per week) offers full-time benefits, including medical, dental,401k, educational assistance, and employee discounts that start on day one. Must be willing to work evenings, weekends, and holidays and to pick up additional shifts, if necessary.




You’ll need to have:


Even better if you have:


Why Verizon?

Verizon is an award winning company and has been recognized by the Diversity Best Practices Inclusion Index, Working Mother Magazine, as a best company for multicultural women, as a top 10 Best for Vets employer, and as a top 10 Military Spouse Friendly Employer.

Being surrounded by great technology is the start. Being surrounded by great people makes it even better. Thousands of locations, millions of connections. A personal experience for each customer created by you.

Be challenged.

Our technologies and our customers’ needs are always evolving. You’ll be at the forefront of the tech world’s latest trends.

After you apply…

You may be required to take an assessment. It takes about 15-20 minutes to complete. If you're selected to move forward, one of our recruiters will reach out to tell you more about the role and answer your questions.




We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.",10d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846b20afc3b5329c9d57d06364&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_275ccaf6&cb=1668244643614&jobListingId=1008250162954&cpc=8795CF9063CD573D&jrtk=3-0-1ghli1bvn2heh001-1ghli1c09griq800-22d62c39dc8a10e5--6NYlbfkN0BCNs6bE--Mn_ADd0RyzMq18ZUxdybwefWV8heO_C7Y93WSfGMHAxRcSzeibk6A72SV8CIl4OTwW1m_Sp2Sv76RowE-VittK2TAKJD7AOcyxUCYyxHavmMAxgMlu8iHbpDz7yaooaCUk4KxjEy4WwIKDXR09wfzAyMauEiOdhMVVBPdRCGS_KTKghAlbD7c8g-d3MFYKjq2ChmXpiBsEpUejIXfGIvT7-FKPBk3tQw8jXKfOmD2MwdHaLwFYdi9DCLMwM8psKsVljheCCU5FU6THoMb1_5EFBgjvLvsS9pYXmXXsVk0YrkpFVjHjVEGWBF2BY5ArGr7163AyEvfcuFjpyLNdJTnUXzbRt_qPk1pnqIKbQyFnDWyHhr7mwxpVR4k0ipetI-636_QOB4r9YBH2Csu8Ws7KaBm6o8xiqjZ12D-3wO7y1L0ptvVYoqswzjHBD83GmUDlj8Daw8xzPu4eXtMljn31_bj3b8G_f_xuWCNo9MK02Wx8d3jO3kv4QJx8jdVU5NPA54NwDHMLuAZV4qSJnERBMZ8S5UYP9cT1yQtcCQ8JjwXQAleC7diheVQ_kQ2_Q0Czu0nSgIkcd5GZ1kDUk0ZzUXp_FDSoicYFu_9NTxirSlfqLBNzDgXfrobnh4cA_uoJUR3NsyCsUcig09mxQcv2NZPMBR2QqSNtvLFsqQ0MyHPBcmTvlWDq6Fih3INoeg4I8qg_0Q5fADbD-FzCZDO1CBkvN-XTZjfog2i8l_ic3AJ-EAnznj-N7PbwKwFayuL_Q%3D%3D
"['Verizon', '3.9']",http://verizon.com/jobs,Automotive Service Advisor - Johnson Kia,"Annapolis, MD",$28K - $46K (Glassdoor est.),"When you join Verizon

Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect across the globe. We’re a diverse network of people driven by our shared ambition to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here.


What you’ll be doing...

As a Verizon Retail Specialist, you’ll have the power to control your own career in one of our retail stores. You’ll apply your unique talents, passion for technology, and customer service skills to create the ultimate in-store experience. In this role you will be:


This position (at 32-40 hours per week) offers full-time benefits, including medical, dental,401k, educational assistance, and employee discounts that start on day one. Must be willing to work evenings, weekends, and holidays and to pick up additional shifts, if necessary.




You’ll need to have:


Even better if you have:


Why Verizon?

Verizon is an award winning company and has been recognized by the Diversity Best Practices Inclusion Index, Working Mother Magazine, as a best company for multicultural women, as a top 10 Best for Vets employer, and as a top 10 Military Spouse Friendly Employer.

Being surrounded by great technology is the start. Being surrounded by great people makes it even better. Thousands of locations, millions of connections. A personal experience for each customer created by you.

Be challenged.

Our technologies and our customers’ needs are always evolving. You’ll be at the forefront of the tech world’s latest trends.

After you apply…

You may be required to take an assessment. It takes about 15-20 minutes to complete. If you're selected to move forward, one of our recruiters will reach out to tell you more about the role and answer your questions.




We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.",10d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846b20afc3b5329c9d57d06364&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dece3e23&cb=1668244647487&jobListingId=1008250156718&cpc=654405A9B1E0A9F5&jrtk=3-0-1ghli1bvn2heh001-1ghli1c09griq800-65faa064e3ad4240--6NYlbfkN0BCNs6bE--Mn_ADd0RyzMq18ZUxdybwefWV8heO_C7Y93WSfGMHAxRcrDwlo2n9hUYrmMCKv9EDAElKkSmo6RwDMXX6VIu-Pk2S-q6nVUdxPGFfDjH6ZvMihRRK1LfaKHgaBd8YKn8eQFh8dvChHYSq_r5R1FLfJJHANA_7wVBxohse51vDbbUHyDq3ox2T9DBFMT4Z1JePOXBcc4pye3wdP_YJvG-TxevJ1qw1m6m0rnWFp3FJgItsd_Oa-_U4p-CWERboKteg1dAtthY6Rq1wbKsV9Dw9uCqXKrgO3vC9DkKkZ1KQix_wm8JImMkt1Q0iL34TIVtkMWB1lG57UmMLyobJkkXlXA5Ydj-oVTGGsglOY4anCAN_NVubMoOIpVB68dnhHDqygNNsJ_Mn0IE5hwEFty5gs-3N_JsnxWYFYLUNOmUdL07Qb2IvH2_DOmlyVuKIdwVNBYlGoN3FUHSSvHf05I1P43m7Z64Rqnve68eQuujTyU4nw_hVEQk4tU-xuPFA3D0OZPsT3D2ZwqfFoFAnw9FS2Nyoj-uKM6lOZhf8WVU6fH83nKJtiw4hxK3X09p80wTa5Ne_3b82BWocM0FmgClVe_yVF1CQinBnNqHKMO61RvVCKfGpSh8z1_CkX18hZ2EocXkGVu3U7BLTVtZo3V_TZcRcvyoFp0o8vCddUxh943Oe4K0H7C_FltW33YKDTDUy41jeRbvZp0NeNEOwKApHcqOisCTB31XWOUHRH2L5a5Xt
"['Verizon', '3.9']",http://verizon.com/jobs,Automotive Service Advisor - Johnson Kia,"Annapolis, MD",$28K - $46K (Glassdoor est.),"When you join Verizon

Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect across the globe. We’re a diverse network of people driven by our shared ambition to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here.


What you’ll be doing...

As a Verizon Retail Specialist, you’ll have the power to control your own career in one of our retail stores. You’ll apply your unique talents, passion for technology, and customer service skills to create the ultimate in-store experience. In this role you will be:


This position (at 32-40 hours per week) offers full-time benefits, including medical, dental,401k, educational assistance, and employee discounts that start on day one. Must be willing to work evenings, weekends, and holidays and to pick up additional shifts, if necessary.




You’ll need to have:


Even better if you have:


Why Verizon?

Verizon is an award winning company and has been recognized by the Diversity Best Practices Inclusion Index, Working Mother Magazine, as a best company for multicultural women, as a top 10 Best for Vets employer, and as a top 10 Military Spouse Friendly Employer.

Being surrounded by great technology is the start. Being surrounded by great people makes it even better. Thousands of locations, millions of connections. A personal experience for each customer created by you.

Be challenged.

Our technologies and our customers’ needs are always evolving. You’ll be at the forefront of the tech world’s latest trends.

After you apply…

You may be required to take an assessment. It takes about 15-20 minutes to complete. If you're selected to move forward, one of our recruiters will reach out to tell you more about the role and answer your questions.




We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.",10d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846b20afc3b5329c9d57d06364&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d6b55344&cb=1668244651491&jobListingId=1008250159690&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1ghli1bvn2heh001-1ghli1c09griq800-d55272d0338f369d--6NYlbfkN0BCNs6bE--Mn_ADd0RyzMq18ZUxdybwefWV8heO_C7Y93WSfGMHAxRcrDwlo2n9hUYrmMCKv9EDAOMaLwE5VBK169jKVARnH0xTYMklw41_e1D45qZCNhGC6K8ZTFrFa07crkhvAW-UYf8FKmD7YCS92AK9wx3p9JRebHZC5d5H4Xg-Mnc__qdaqnzAQzqJSa0jAuGpbJxZxDbHq8z369r1C8LQV2UoQiZM6rcXs5s6GZuHbrPnf4Oa1ZoqiT_tw6yp1Bw8HyqdP7eegl3NoKLXipUt7pYoOrOLwZO01sK_msSCguSG9W_KJuxNSvpdMNSsTzClIp7AQVSli_tfEfuwco8SSPVRFLx_jeSjKw8Iu44qaEbFOLKzWfujhvFUFiCPUV4se01fUtmL5r1HXg92fXL7569zPibKCwk8YNSoMrGyv426QLP88-5xj4fuxmONICvGrZrz5J8Z6j-oqNYokls-Uq7-AVZj2R9bkEDS3Hk-BINljyceCyVW3p2MR5KhCvaznKMMdnQXvrkHjkpcbZ115fxM818kOWVl4-gN6JcLIUtLOdAW2U03AmOt_JZ5eYTCSetC0NoKzR7V06jFVK_PjoU58xG60HTkJVy2cC5z3w3NjecBAAOPdV1DYfoBO4aCNPyi_khSDSRfh369Of6W1BQ_OQLb2c7ZXH-T8I74eg3QS9W0NoZKNJxi4aF_-hZQHNDtm5LOIK3ssWEatCsiXxi96_nc3YSDa7PrsOpYI3jc1tO_
"['Verizon', '3.9']",http://verizon.com/jobs,Automotive Service Advisor - Johnson Kia,"Annapolis, MD",$28K - $46K (Glassdoor est.),"When you join Verizon

Verizon is one of the world’s leading providers of technology and communications services, transforming the way we connect across the globe. We’re a diverse network of people driven by our shared ambition to shape a better future. Here, we have the ability to learn and grow at the speed of technology, and the space to create within every role. Together, we are moving the world forward – and you can too. Dream it. Build it. Do it here.


What you’ll be doing...

As a Verizon Retail Specialist, you’ll have the power to control your own career in one of our retail stores. You’ll apply your unique talents, passion for technology, and customer service skills to create the ultimate in-store experience. In this role you will be:


This position (at 32-40 hours per week) offers full-time benefits, including medical, dental,401k, educational assistance, and employee discounts that start on day one. Must be willing to work evenings, weekends, and holidays and to pick up additional shifts, if necessary.




You’ll need to have:


Even better if you have:


Why Verizon?

Verizon is an award winning company and has been recognized by the Diversity Best Practices Inclusion Index, Working Mother Magazine, as a best company for multicultural women, as a top 10 Best for Vets employer, and as a top 10 Military Spouse Friendly Employer.

Being surrounded by great technology is the start. Being surrounded by great people makes it even better. Thousands of locations, millions of connections. A personal experience for each customer created by you.

Be challenged.

Our technologies and our customers’ needs are always evolving. You’ll be at the forefront of the tech world’s latest trends.

After you apply…

You may be required to take an assessment. It takes about 15-20 minutes to complete. If you're selected to move forward, one of our recruiters will reach out to tell you more about the role and answer your questions.




We're proud to be an equal opportunity employer - and celebrate our employees' differences, including race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, and Veteran status. At Verizon, we know that diversity makes us stronger. We are committed to a collaborative, inclusive environment that encourages authenticity and fosters a sense of belonging. We strive for everyone to feel valued, connected, and empowered to reach their potential and contribute their best. Check out our diversity and inclusion page to learn more.",10d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846b20afc3b5329c9d57d06364&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_78a4cdb6&cb=1668244653300&jobListingId=1008250160793&cpc=AC285F3A3ECA6BB0&jrtk=3-0-1ghli1bvn2heh001-1ghli1c09griq800-6ea3b638ea013005--6NYlbfkN0BCNs6bE--Mn_ADd0RyzMq18ZUxdybwefWV8heO_C7Y93WSfGMHAxRcrDwlo2n9hUYrmMCKv9EDAHRjno_Tn_xKcVidOQuoTAv3RTPVOsZ0Z9QzDSwZ-hOu32Zu1T5D-csPXWsEeKsOodJAvX_InjsKSv-oeANpouR32m59P2YHBb3_xfo4TFTDpQ5HzVxh4ZeYGPwWl0k3T5Oy-K1dfhrZmUeF5WeKU5asz1rJcjCgJk48Vo-k7Woa1pCTHXy9erzerYRtCmorHFxO6mz5WmqNzi1ZnIQlmgCQOok18843UHytT5aTH-DyWeY69JtXiolNaGxWDu_wNPKbrAaTURq5F3VLnMpGa_y36lCYs_1q-xdp-gYJv6-6zLBHfFqBmtCPo6eC2evnZRtoZZhIulvk3bh_UBYlE95p3qq2sWM5bq4vo_eLit6D4KP5RjDkDXgpxoOdn8EzFeemse8oxB1xZXcRQiwaJn7l6q5RUkDE4lgVHcwazjlh3GMyPOPXhWH05xqIIGKLfSxa-HBJsQA_wSDm2btMd47rXNU0SVhhhTG-mFwafZIjJyriUJfhPLK09MFFMWMARzigCtvsic0gw6bgOOKj5xvmjLhCXf4werSho5rpDX4mT59c_wdjsgkG1__C5z9rLEJukb1516QaxwsPfhfZub-4P01Xb8TfVndqYY9hcvd4n-y_J935ANy2caW7i-ANaH1Gaa5osJrZIxXWp3j3sdU_107ykxWIxWq5cbqAqR-V
