Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Global Atlantic Financial Group', '4.0']",http://www.globalatlantic.com/,Compliance Senior Analyst,"Boston, MA",$57K - $108K (Employer est.),"All offices are currently open, and our employees are back 4 or 5 days a week in Hudson Yards, NY and 3 days a week in all other offices. If you have questions on this policy or the application process, please contact recruiting@gafg.com.
Company policy requires all employees and visitors to the Hudson Yards, NY office to be vaccinated against the COVID-19 virus.
COMPANY OVERVIEW
Global Atlantic Financial Group is a leader in the U.S. life insurance and annuity industry, serving the needs of individuals and institutions. Global Atlantic is a majority-owned subsidiary of KKR, a leading global investment firm that offers alternative asset management across multiple strategies and capital markets solutions.

Global Atlantic is looking for a diverse team of talented individuals who reinforce our culture of collaboration and innovation. We are dedicated to the career development of our people because we know they are critical to our long-term success. Join our team and come grow with us.",24d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a9b7b87944cf0e5b28a4bec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7f3b4d28&cb=1668235897422&jobListingId=1008215950069&jrtk=3-0-1ghl9mutom6q7801-1ghl9muuei6hj800-e2404170135bf585-
"['Internet Brands', '3.3']",http://www.internetbrands.com/,Compliance Senior Analyst,"Boston, MA",$57K - $108K (Employer est.),"The IT Support Analyst's role is to maintain and improve the users’ productivity while providing the customers with a good experience when they request support. This includes analyzing and resolving end-user hardware and software issues in a timely and accurate fashion, providing end-user training where required, and gaining an understanding of the users’ needs and work habits so IT can proactively deploy appropriate services and tools leading to increase productivity. The IT Support Analyst serves as an IT ambassador, advocator, and technology consultant to the business and works on building a trusted relationship with the user community.

RESPONSIBILITIES
Must have: Establish a strong relationship with the business stakeholders and the General Manager.
Monitor work orders and incident management system to ensure timely resolution of all tickets.

REQUIREMENTS
Education & Certification

Knowledge & Experience

Personal Attributes

About Internet Brands:

Headquartered in El Segundo, Calif., Internet Brands® is a fully integrated online media and software services organization focused on four high-value vertical categories: Health, Automotive, Legal, and Home/Travel. The company's award-winning consumer websites lead their categories and serve more than 250 million monthly visitors, while a full range of web presence offerings has established deep, long-term relationships with SMB and enterprise clients. Internet Brands' powerful, proprietary operating platform provides the flexibility and scalability to fuel the company's continued growth. Internet Brands is a portfolio company of KKR and Temasek. For more information, please visit www.internetbrands.com.

Internet Brands and its wholly-owned affiliates are an equal opportunity employer.",30d+,
"['Global Atlantic Financial Group Opportunities', '4.0']",http://www.globalatlantic.com/,Compliance Senior Analyst,"Boston, MA",$57K - $108K (Employer est.),"All offices are currently open, and our employees are back 4 or 5 days a week in Hudson Yards, NY and 3 days a week in all other offices. If you have questions on this policy or the application process, please contact recruiting@gafg.com.
Company policy requires all employees and visitors to the Hudson Yards, NY office to be vaccinated against the COVID-19 virus.
COMPANY OVERVIEW
Global Atlantic Financial Group is a leader in the U.S. life insurance and annuity industry, serving the needs of individuals and institutions. Global Atlantic is a majority-owned subsidiary of KKR, a leading global investment firm that offers alternative asset management across multiple strategies and capital markets solutions.

Global Atlantic is looking for a diverse team of talented individuals who reinforce our culture of collaboration and innovation. We are dedicated to the career development of our people because we know they are critical to our long-term success. Join our team and come grow with us.",2d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a9b7b87944cf0e5b28a4bec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_22ba62f5&cb=1668235903011&jobListingId=1008268488906&jrtk=3-0-1ghl9mutom6q7801-1ghl9muuei6hj800-0c7bf7161d520482-
"['Global Atlantic Financial Group Opportunities', '4.0']",http://www.globalatlantic.com/,Compliance Senior Analyst,"Boston, MA",$57K - $108K (Employer est.),"Compliance Senior Analyst
Boston, Massachusetts, United States
All offices are currently open, and our employees are back 4 or 5 days a week in Hudson Yards, NY and 3 days a week in all other offices.
COMPANY OVERVIEW
Global Atlantic Financial Group is a leader in the U.S. life insurance and annuity industry, serving the needs of individuals and institutions. Global Atlantic is a majority-owned subsidiary of KKR, a leading global investment firm that offers alternative asset management across multiple strategies and capital markets solutions.",22d,
"['Global Atlantic Financial Group Opportunities', '4.0']",http://www.globalatlantic.com/,Compliance Senior Analyst,"Boston, MA",$57K - $108K (Employer est.),"All offices are currently open, and our employees are back 4 or 5 days a week in Hudson Yards, NY and 3 days a week in all other offices. If you have questions on this policy or the application process, please contact recruiting@gafg.com.
Company policy requires all employees and visitors to the Hudson Yards, NY office to be vaccinated against the COVID-19 virus.
COMPANY OVERVIEW
Global Atlantic Financial Group is a leader in the U.S. life insurance and annuity industry, serving the needs of individuals and institutions. Global Atlantic is a majority-owned subsidiary of KKR, a leading global investment firm that offers alternative asset management across multiple strategies and capital markets solutions.

Global Atlantic is looking for a diverse team of talented individuals who reinforce our culture of collaboration and innovation. We are dedicated to the career development of our people because we know they are critical to our long-term success. Join our team and come grow with us.",11d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a9b7b87944cf0e5b28a4bec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e6e518b2&cb=1668235914018&jobListingId=1008246734278&jrtk=3-0-1ghl9mutom6q7801-1ghl9muuei6hj800-65260dcb1411afd6-
"['Global Atlantic Financial Group Opportunities', '4.0']",http://www.globalatlantic.com/,Compliance Senior Analyst,"Boston, MA",$57K - $108K (Employer est.),"All offices are currently open, and our employees are back 4 or 5 days a week in Hudson Yards, NY and 3 days a week in all other offices. If you have questions on this policy or the application process, please contact recruiting@gafg.com.
Company policy requires all employees and visitors to the Hudson Yards, NY office to be vaccinated against the COVID-19 virus.
COMPANY OVERVIEW
Global Atlantic Financial Group is a leader in the U.S. life insurance and annuity industry, serving the needs of individuals and institutions. Global Atlantic is a majority-owned subsidiary of KKR, a leading global investment firm that offers alternative asset management across multiple strategies and capital markets solutions.

Global Atlantic is looking for a diverse team of talented individuals who reinforce our culture of collaboration and innovation. We are dedicated to the career development of our people because we know they are critical to our long-term success. Join our team and come grow with us.",11d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a9b7b87944cf0e5b28a4bec&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_15a665f4&cb=1668235915899&jobListingId=1008246734267&jrtk=3-0-1ghl9mutom6q7801-1ghl9muuei6hj800-e325abc00ead0256-
"['Internet Brands', '3.3']",http://www.internetbrands.com/,Associate Data Scientist,"Los Angeles, CA",$85K - $132K (Glassdoor est.),"Internet Brands is looking for an Associate Data Scientist to contribute to our machine learning initiatives. The ideal candidate has a practical background in machine learning, with experience in natural language processing, information retrieval, knowledge extraction or deep learning. The role is located in sunny El Segundo and you’ll be working closely with all of our business units. You will be working with product managers and data scientists in building content recommendation, personalization, and business intelligence models to enhance our customer experience and business intelligence capabilities.

Responsibilities:
Selecting features, building and optimizing classifiers using machine learning techniques.
Data mining using state-of-the-art methods.
Extending company’s data with third party sources of information when needed.

Skills and Qualifications:

Excellence in at least one of these is highly desirable:

About Internet Brands:

Headquartered in El Segundo, Calif., Internet Brands® is a fully integrated online media and software services organization focused on four high-value vertical categories: Health, Automotive, Legal, and Home/Travel. The company's award-winning consumer websites lead their categories and serve more than 250 million monthly visitors, while a full range of web presence offerings has established deep, long-term relationships with SMB and enterprise clients. Internet Brands' powerful, proprietary operating platform provides the flexibility and scalability to fuel the company's continued growth. Internet Brands is a portfolio company of KKR and Temasek. For more information, please visit www.internetbrands.com.

Internet Brands and its wholly-owned affiliates are an equal opportunity employer.",30d,
"['Bowery Farming', '3.8']",http://www.boweryfarming.com/,Associate Data Scientist,"Los Angeles, CA",$85K - $132K (Glassdoor est.),"We are the largest vertical farming company in the United States, designing and building smart indoor environments to reimagine the future of food. Through our network of smart indoor farms and proprietary end-to-end technology, we are transforming the entire fresh food supply chain to be simpler, safer, and vastly more sustainable.
Our farms are 100x+ more productive than traditional agriculture while using a fraction of the resources - all enabled by leading-edge technology. We are scaling quickly with five farms in operation, including state-of-the-art R&D and innovation farms for pioneering indoor Agriculture Science, and two commercial farms under development that will more than double our total production by 2023. Our brand has been in the market since 2016 and is currently sold in over 1,400 locations including Whole Foods, Ahold Delhaize, Amazon, Safeway/Albertsons, and Walmart.
We are backed by tech and agriculture industry leaders with $647M in equity and debt raised from investors including Fidelity, Temasek, Google Ventures, KKR, General Catalyst, GGV Capital, First Round Capital, and individuals including Jeff Wilke, Tom Colicchio, José Andrés, and David Barber of Blue Hill.",30d+,
"['Plum Lending', '4.2']",http://www.plumlending.com/,Associate Data Scientist,"Los Angeles, CA",$85K - $132K (Glassdoor est.),"Senior Data Engineer

JOB SUMMARY
We are looking for a data-driven problem solver with a high level of Java proficiency who can automatically discover and extract information from multiple data sources and enjoys working with new data science technologies. The senior data engineer will work to recognize patterns and productize your solutions and techniques for integration into our products and our processes. You will have a high degree of authority and autonomy, be capable of managing multiple high-priority tasks in a timely manner, and collaborate across the business. A successful senior data engineer at Plum needs to be innovative, detail-oriented, team-focused, strategic and effective in new and changing environments.
We are looking for the candidate to start immediately.
Plum employees work full time from their US based home.
RESPONSIBILITIES",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a9c0d41b76b3bf076c1f059&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ae88ca91&cb=1668235934978&jobListingId=1008104420452&jrtk=3-0-1ghl9o3bmjcbq801-1ghl9o3cbghqn800-d7a55b91cd99294a-
"['Heartland Dental', '3.7']",https://heartland.com/careers/,IT Network Engineer - Hybrid,"Creve Coeur, MO",$65K - $97K (Glassdoor est.),"IT Network Engineer, Information Technology

The IT Network Engineer position is primarily responsible for the configuration, management, and solution design of the network infrastructure for Heartland Dental. This role also participates in the planning and implementation of policies and procedures to ensure network provisioning and maintenance that is consistent with the company goals, industry best practices, and regulatory requirements. Additionally, this position will be responsible for ensuring the high availability and optimal performance of all critical network infrastructure by using monitoring and support tools, diagnosing and resolving performance issues, and testing and installing updates for network devices.
With more than 1,600 dental offices supported across 38 states, over 20,000 team members and over 2,300 supported doctors in our support, Heartland Dental has a proven track record of growth and success. We’re looking for professional individuals who are open, positive and mentally flexible to join our network of support.",18d,
"['GoFan', '4.7']",http://www.gofan.co/,IT Network Engineer - Hybrid,"Creve Coeur, MO",$65K - $97K (Glassdoor est.),"COMPANY OVERVIEW
PlayOn! Sports is the nation's leading high school media and technology company, providing streaming and digital ticketing services to thousands of high schools nationwide. In 2013, PlayOn! Sports and the National Federation of State High School Associations (NFHS) created the NFHS Network, a joint venture that aggregates the sports media and related rights of state high school athletic associations while celebrating the accomplishments of student-athletes, student broadcasters, and high schools across the country. Through the NFHS Network, PlayOn! Sports provides automated production capabilities free of charge to schools which allows them to live-stream via artificial intelligence and automation thus avoiding the need for production personnel.

In 2022, PlayOn! Sports and GoFan (backed by KKR a leading global investment firm), the leading digital ticketing company in the high school sports market, joined forces to create a streamlined customer experience for in-person, live-stream, and on-demand events. There are 19,500 high schools in the NFHS ecosystem and PlayOn! Sports current works with over 50% of them. Going forward, the company is focused on: 1) continuing to grow the number of schools it works with; 2) continuing to grow the average revenue per school; 3) expanding the products and services it provides to the high school ecosystem beyond streaming; 4) expanding outside of high school sports.",4d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a9c55a4b4602f2d4bdfb532&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9b1e6e87&cb=1668235965077&jobListingId=1008263238773&jrtk=3-0-1ghl9olekklvv801-1ghl9olf6ghpk800-8551f3e20c47542b-
