Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Kinder Morgan', '3.8']",http://www.kindermorgan.com/,Application Developer I/II,"Colorado Springs, CO",$66K - $106K (Employer est.),"Kinder Morgan, one of the largest energy infrastructure companies in North America, is looking for IT Application Developer Analysts.
Come work for a diverse and dynamic team where your aptitude and determination drive your career growth. A successful candidate will join an application development team that specifically focuses on business systems supporting the operations of Kinder Morgan. As an Operational Support Group (OSG) IT team member, you will be working for one of the largest energy infrastructure companies in North America. The OSG Engineering (Eng) and Environmental Health Safety (EHS) Systems application team develops and supports many custom solutions for use by operations on approximately 84,000 miles of natural gas, gasoline, crude oil, and carbon dioxide (CO2) pipelines and over 150 terminals for storing and handling various chemicals and other products.
On the OSG Engineering and Environmental Health Safety Systems application team, you will develop custom software solutions, support 3rd party solutions, build relationships with key company users, and be afforded opportunities for taking responsibility and ownership of these solutions. A successful candidate will also engage in challenging assignments with opportunities for growth in their career.",4d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a15ddec9513c949b1de33ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a2931145&cb=1668227134002&jobListingId=1008262916931&jrtk=3-0-1ghl1bngo296b001-1ghl1bnhfj45o800-0d7b733878d7de06-
"['Kinder Morgan', '3.8']",http://www.kindermorgan.com/,Application Developer I/II,"Colorado Springs, CO",$66K - $106K (Employer est.),"Kinder Morgan, one of the largest energy infrastructure companies in North America, is looking for IT Application Developer Analysts.
Come work for a diverse and dynamic team where your aptitude and determination drive your career growth. A successful candidate will join an application development team that specifically focuses on business systems supporting the operations of Kinder Morgan. As an Operational Support Group (OSG) IT team member, you will be working for one of the largest energy infrastructure companies in North America. The OSG Engineering (Eng) and Environmental Health Safety (EHS) Systems application team develops and supports many custom solutions for use by operations on approximately 84,000 miles of natural gas, gasoline, crude oil, and carbon dioxide (CO2) pipelines and over 150 terminals for storing and handling various chemicals and other products.
On the OSG Engineering and Environmental Health Safety Systems application team, you will develop custom software solutions, support 3rd party solutions, build relationships with key company users, and be afforded opportunities for taking responsibility and ownership of these solutions. A successful candidate will also engage in challenging assignments with opportunities for growth in their career.",4d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a15ddec9513c949b1de33ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e1f10d1e&cb=1668227135762&jobListingId=1008262928805&jrtk=3-0-1ghl1bngo296b001-1ghl1bnhfj45o800-069f8af3c6bdd576-
"['Kinder Morgan', '3.8']",http://www.kindermorgan.com/,Application Developer I/II,"Colorado Springs, CO",$66K - $106K (Employer est.),"Kinder Morgan, one of the largest energy infrastructure companies in North America, has been in operation since 1997. Over the years, we have understood that not only do our people contribute to our success, but that they should share in that success. We provide all employees with a safe, honest, trustworthy, ethical, respectful and professional work environment. We believe in building friendly and personal long-term relationships by supporting our employees with ongoing training, continued growth and internal advancement while cultivating teamwork and diversity with a culture of inclusion from various experiences and backgrounds. Dedicated to providing security to our employees, we offer a comprehensive benefit program that includes, medical, dental, vision, disability, life, 401(k), a retirement contribution (pension plan) and more.
Join our team and help shape the present and future of North America’s energy infrastructure with a career at Kinder Morgan.

This application development position resides within the Business Systems application team. The successful candidate will be working for one of the largest energy infrastructure companies in North America. The Business Systems application team develops and supports many custom solutions for approximately 84,000 miles of natural gas, gasoline, crude oil, and carbon dioxide (CO2) pipelines and over 150 terminals for storing and handling various chemicals and other products.





















We are an Equal Opportunity Employer and do not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any other federal, state or local protected class.",1d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a15ddec9513c949b1de33ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a7829b98&cb=1668227137541&jobListingId=1008270084851&jrtk=3-0-1ghl1bngo296b001-1ghl1bnhfj45o800-412d0ce6c55312fe-
"['Kinder Morgan', '3.8']",http://www.kindermorgan.com/,Application Developer I/II,"Colorado Springs, CO",$66K - $106K (Employer est.),"Kinder Morgan, one of the largest energy infrastructure companies in North America, is looking for IT Application Developer Analysts.
Come work for a diverse and dynamic team where your aptitude and determination drive your career growth. A successful candidate will join an application development team which specifically focuses on business systems supporting the Natural Gas, CO2, and Natural Gas Midstream divisions of Kinder Morgan. As a team member, you will be working for one of the largest energy infrastructure companies in North America. The Business Systems application team develops and supports many custom solutions for approximately 84,000 miles of natural gas, gasoline, crude oil, and carbon dioxide (CO2) pipelines and over 150 terminals for storing and handling various chemicals and other products.
On the Business Systems application team, you will develop custom software solutions, build relationships with key company users, and be afforded opportunities for taking responsibility and ownership of these solutions. A successful candidate will also engage in challenging assignments with opportunities for growth in their career.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a15ddec9513c949b1de33ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_55be72b2&cb=1668227139390&jobListingId=1008175335254&jrtk=3-0-1ghl1bngo296b001-1ghl1bnhfj45o800-333398c2b877bc68-
"['Kinder Morgan', '3.8']",http://www.kindermorgan.com/,Application Developer I/II,"Colorado Springs, CO",$66K - $106K (Employer est.),"Kinder Morgan, one of the largest energy infrastructure companies in North America, is looking for IT Application Developer Analysts.
Come work for a diverse and dynamic team where your aptitude and determination drive your career growth. A successful candidate will join an application development team which specifically focuses on business systems supporting the Natural Gas, CO2, and Natural Gas Midstream divisions of Kinder Morgan. As a team member, you will be working for one of the largest energy infrastructure companies in North America. The Business Systems application team develops and supports many custom solutions for approximately 84,000 miles of natural gas, gasoline, crude oil, and carbon dioxide (CO2) pipelines and over 150 terminals for storing and handling various chemicals and other products.
On the Business Systems application team, you will develop custom software solutions, build relationships with key company users, and be afforded opportunities for taking responsibility and ownership of these solutions. A successful candidate will also engage in challenging assignments with opportunities for growth in their career.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a15ddec9513c949b1de33ac&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5312cda7&cb=1668227143273&jobListingId=1008175336827&jrtk=3-0-1ghl1bngo296b001-1ghl1bnhfj45o800-3cae8bf587aca291-
"['Kinder Morgan', '3.8']",http://www.kindermorgan.com/,Application Developer I/II,"Colorado Springs, CO",$66K - $106K (Employer est.),"Kinder Morgan, one of the largest energy infrastructure companies in North America, is looking for IT Application Developer Analysts.
Come work for a diverse and dynamic team where your aptitude and determination drive your career growth. A successful candidate will join an application development team that specifically focuses on business systems supporting the operations of Kinder Morgan. As an Operational Support Group (OSG) IT team member, you will be working for one of the largest energy infrastructure companies in North America. The OSG Engineering (Eng) and Environmental Health Safety (EHS) Systems application team develops and supports many custom solutions for use by operations on approximately 84,000 miles of natural gas, gasoline, crude oil, and carbon dioxide (CO2) pipelines and over 150 terminals for storing and handling various chemicals and other products.
On the OSG Engineering and Environmental Health Safety Systems application team, you will develop custom software solutions, support 3rd party solutions, build relationships with key company users, and be afforded opportunities for taking responsibility and ownership of these solutions. A successful candidate will also engage in challenging assignments with opportunities for growth in their career.",4d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a1626378f5d3e99713580fe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f4226246&cb=1668227153274&jobListingId=1008262916931&jrtk=3-0-1ghl1c9j7k24p801-1ghl1c9joitnc800-0d7b733878d7de06-
"['Kinder Morgan', '3.8']",http://www.kindermorgan.com/,Application Developer I/II,"Colorado Springs, CO",$66K - $106K (Employer est.),"Kinder Morgan, one of the largest energy infrastructure companies in North America, is looking for IT Application Developer Analysts.
Come work for a diverse and dynamic team where your aptitude and determination drive your career growth. A successful candidate will join an application development team that specifically focuses on business systems supporting the operations of Kinder Morgan. As an Operational Support Group (OSG) IT team member, you will be working for one of the largest energy infrastructure companies in North America. The OSG Engineering (Eng) and Environmental Health Safety (EHS) Systems application team develops and supports many custom solutions for use by operations on approximately 84,000 miles of natural gas, gasoline, crude oil, and carbon dioxide (CO2) pipelines and over 150 terminals for storing and handling various chemicals and other products.
On the OSG Engineering and Environmental Health Safety Systems application team, you will develop custom software solutions, support 3rd party solutions, build relationships with key company users, and be afforded opportunities for taking responsibility and ownership of these solutions. A successful candidate will also engage in challenging assignments with opportunities for growth in their career.",4d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a1626378f5d3e99713580fe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b7407e1d&cb=1668227157319&jobListingId=1008262928805&jrtk=3-0-1ghl1c9j7k24p801-1ghl1c9joitnc800-069f8af3c6bdd576-
"['Kinder Morgan', '3.8']",http://www.kindermorgan.com/,Application Developer I/II,"Colorado Springs, CO",$66K - $106K (Employer est.),"This application development position resides within the Business Systems application team. The successful candidate will be working for one of the largest energy infrastructure companies in North America. The Business Systems application team develops and supports many custom solutions for approximately 84,000 miles of natural gas, gasoline, crude oil, and carbon dioxide (CO2) pipelines and over 150 terminals for storing and handling various chemicals and other products.
On the Business Systems application team, the candidate will develop, configure, coordinate, implement, and support all systems, interfaces and peripheral applications used to support internal and external Electronic Data Interchange/Electronic Data Mechanism (EDI/EDM) trading partners. Specific tasks include analyzing and designing maps for new trading partners, along with supporting existing data exchanges by modifying data maps and interfaces. Participating in project meetings, providing input to project plans, and providing status updates. Working with internal teams, trading partners, and vendors to troubleshoot and rectify any issues. Day-to-day tasks include maintaining trading partner worksheets, monitoring dashboard for any errors, correcting any transmission failures, and maintaining EDI documentation and procedures. Support of E-Business initiatives to include Classic EDI, EDI/EDM over the Internet, XML, and other related technologies.",1d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a1626378f5d3e99713580fe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_03886430&cb=1668227159986&jobListingId=1008270117371&jrtk=3-0-1ghl1c9j7k24p801-1ghl1c9joitnc800-017e6c526d4e3627-
"['Kinder Morgan', '3.8']",http://www.kindermorgan.com/,Application Developer I/II,"Colorado Springs, CO",$66K - $106K (Employer est.),"Kinder Morgan, one of the largest energy infrastructure companies in North America, is looking for IT Application Developer Analysts.
Come work for a diverse and dynamic team where your aptitude and determination drive your career growth. A successful candidate will join an application development team which specifically focuses on business systems supporting the Natural Gas, CO2, and Natural Gas Midstream divisions of Kinder Morgan. As a team member, you will be working for one of the largest energy infrastructure companies in North America. The Business Systems application team develops and supports many custom solutions for approximately 84,000 miles of natural gas, gasoline, crude oil, and carbon dioxide (CO2) pipelines and over 150 terminals for storing and handling various chemicals and other products.

This application development position resides within the Business Systems application team. The successful candidate will be working for one of the largest energy infrastructure companies in North America. The Business Systems application team develops and supports many custom solutions for approximately 84,000 miles of natural gas, gasoline, crude oil, and carbon dioxide (CO2) pipelines and over 150 terminals for storing and handling various chemicals and other products.",1d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a1626378f5d3e99713580fe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e989c837&cb=1668227161990&jobListingId=1008270168338&jrtk=3-0-1ghl1c9j7k24p801-1ghl1c9joitnc800-6e08886da95aff52-
"['Kinder Morgan', '3.8']",http://www.kindermorgan.com/,Application Developer I/II,"Colorado Springs, CO",$66K - $106K (Employer est.),"Position Description:
Kinder Morgan, one of the largest energy infrastructure companies in North America, is looking for IT Application Developer Analysts.
Come work for a diverse and dynamic team where your aptitude and determination drive your career growth. A successful candidate will join an application development team that specifically focuses on business systems supporting the Natural Gas, CO2, and Natural Gas Midstream divisions of Kinder Morgan. As a team member, you will be working for one of the largest energy infrastructure companies in North America. The Business Systems application team develops and supports many custom solutions for approximately 84,000 miles of natural gas, gasoline, crude oil, and carbon dioxide (CO2) pipelines and over 150 terminals for storing and handling various chemicals and other products.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a1626378f5d3e99713580fe&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_35eacde2&cb=1668227163754&jobListingId=1008124940576&jrtk=3-0-1ghl1c9j7k24p801-1ghl1c9joitnc800-c1993bfbc28ce6cd-
