Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Kroger General Office', '3.1']",http://jobs.kroger.com/,Sr. Software Engineer,"Cincinnati, OH",$82K - $112K (Glassdoor est.),"Company Name: Kroger General Office
Position Type: Employee
FLSA Status: Exempt
Line of Business:
See what life is like at Kroger Technology
at https://www.kroger.com/livekt

Additional Technology Information:
Job Description",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a42879fbc0702a0914ee163&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_decf98dc&cb=1668230062331&jobListingId=1008193952045&jrtk=3-0-1ghl451ugii3l801-1ghl451v2irkn800-5049635d7e5e2608-
"['Kroger General Office', '3.1']",http://jobs.kroger.com/,Sr. Software Engineer,"Cincinnati, OH",$82K - $112K (Glassdoor est.),"Company Name: Kroger General Office
Position Type: Employee
FLSA Status: Exempt
Line of Business:
See what life is like at Kroger Technology
at https://www.kroger.com/livekt

Additional Technology Information: Senior Software Engineer - Customer Identity
Kroger's Customer Identity team's mission is to provide state of the art secure, low-friction, and
highly available authentication & authorization services for over 65 Million online shoppers. You
will be joining a team that is on a journey toward enabling passwordless auth, FIDO, and
passkeys.
You will be joining a CIAM (Customer Identity and Access Management) team that is highly
passionate about customer experience and developer experience. You will be responsible for
creating sign-up, login and identity management flows for Kroger applications (iOS, Android,
and Web). You will work on features such as multi factor auth with new device detection, code
challenge flows, and social sign in to provide a low friction and secure means of allowing
customers to access Kroger's services.
Our Tech Stack
What You'll Do
& web applications, as well as infrastructure services and components for customer
authentication
integration into our APIs and Auth flows
frame
What you'll need
ensure you are solving the right problems.",15d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a42879fbc0702a0914ee163&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e43ac82a&cb=1668230066206&jobListingId=1008238919397&jrtk=3-0-1ghl451ugii3l801-1ghl451v2irkn800-47fb07255455d842-
"['Kroger General Office', '3.1']",http://jobs.kroger.com/,Sr. Software Engineer,"Cincinnati, OH",$82K - $112K (Glassdoor est.),"Company Name: Kroger General Office
Position Type: Employee
FLSA Status: Exempt
Line of Business:
See what life is like at Kroger Technology
at https://www.kroger.com/livekt

Additional Technology Information:
Experience in building and supporting secure and scalable infrastructure using public cloud, IaaS, PaaS, and on-premises platforms.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a42879fbc0702a0914ee163&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9a501b69&cb=1668230070028&jobListingId=1007956776592&jrtk=3-0-1ghl451ugii3l801-1ghl451v2irkn800-68bc94cea6af5753-
"['Kroger General Office', '3.1']",http://jobs.kroger.com/,Sr. Software Engineer,"Cincinnati, OH",$82K - $112K (Glassdoor est.),"Company Name: Kroger General Office
Position Type: Employee
FLSA Status: Exempt
Line of Business:
See what life is like at Kroger Technology
at https://www.kroger.com/livekt

Additional Technology Information:
The TWS Engineer (Tivoli Workload Scheduler) is responsible for the overall Systems Administration, Support and Availability for our TWS Scheduling Environment deployed both on-prem, at remote sites and in the Cloud. The TWS Engineer implements/installs, maintains and administers all aspects of TWS infrastructure systems. Monitors overall performance to proactively identify potential issues and tune appropriately. Performs root cause analysis and implements corrective measures. Works with others to establish and improve processes and procedures with a focus on automation.",15d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a42879fbc0702a0914ee163&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c2bb0b07&cb=1668230071873&jobListingId=1008238919350&jrtk=3-0-1ghl451ugii3l801-1ghl451v2irkn800-5133a999a117cc62-
"['Kroger General Office', '3.1']",http://jobs.kroger.com/,Sr. Software Engineer,"Cincinnati, OH",$82K - $112K (Glassdoor est.),"Company Name: Kroger General Office
Position Type: Employee
FLSA Status: Exempt
Line of Business:
See what life is like at Kroger Technology
at https://www.kroger.com/livekt

Additional Technology Information:
Additional specific information:",14d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a42879fbc0702a0914ee163&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_45102bd1&cb=1668230073715&jobListingId=1008240775366&jrtk=3-0-1ghl451ugii3l801-1ghl451v2irkn800-e11ec14682f752c1-
"['Kroger General Office', '3.1']",http://jobs.kroger.com/,Sr. Software Engineer,"Cincinnati, OH",$82K - $112K (Glassdoor est.),"Company Name: Kroger General Office
Position Type: Employee
FLSA Status: Exempt
Line of Business:
See what life is like at Kroger Technology
at https://www.kroger.com/livekt

Additional Technology Information:

Position Summary",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a42879fbc0702a0914ee163&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_04675803&cb=1668230075591&jobListingId=1008008642165&jrtk=3-0-1ghl451ugii3l801-1ghl451v2irkn800-efa57ab2e0225e3a-
"['Kroger General Office', '3.1']",http://jobs.kroger.com/,Sr. Software Engineer,"Cincinnati, OH",$82K - $112K (Glassdoor est.),"Company Name: Kroger General Office
Position Type: Employee
FLSA Status: Exempt
Line of Business:
See what life is like at Kroger Technology
at https://www.kroger.com/livekt

Additional Technology Information:
Requirements:",14d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a42879fbc0702a0914ee163&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a378f023&cb=1668230079443&jobListingId=1008240775334&jrtk=3-0-1ghl451ugii3l801-1ghl451v2irkn800-541e8aed08e0d3e7-
"['Kroger General Office', '3.1']",http://jobs.kroger.com/,Sr. Software Engineer,"Cincinnati, OH",$82K - $112K (Glassdoor est.),"Company Name: Kroger General Office
Position Type: Employee
FLSA Status: Exempt
Line of Business:
See what life is like at Kroger Technology
at https://www.kroger.com/livekt

Additional Technology Information:
Are you an engineers' engineer? Do you have experience and enjoy building tools, libraries, pipelines, software, and practices that accelerates and improves software development for yourself and others?

We are seeking a senior web platform software engineer to join the Kroger Application Platform Web Client (KWC) team. The KWC team uses the latest tech and concepts to more effectively handle shared dependencies among applications enterprise wide. This empowers library authors and application teams to better manage dependencies which improves velocity, reduces maintenance and support time, and improves the developer experience. In other words, we enable foundational capabilities integration via module federation: distributed shared dependency integration at enterprise scale.",15d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a42879fbc0702a0914ee163&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ae62d56d&cb=1668230082598&jobListingId=1008238919367&jrtk=3-0-1ghl451ugii3l801-1ghl451v2irkn800-b819328a4d291648-
"['Kroger General Office', '3.1']",http://jobs.kroger.com/,Sr. Software Engineer,"Cincinnati, OH",$82K - $112K (Glassdoor est.),"Company Name: Kroger General Office
Position Type: Employee
FLSA Status: Exempt
Line of Business: Enterprise Retail Systems
See what life is like at Kroger Technology
at https://www.kroger.com/livekt

Additional Technology Information:
Kroger’s Health & Wellness organization has an open fulltime position for an Operations Manager. Kroger Health & Wellness is one of America’s leading retail healthcare organizations, with 2,300 pharmacies and 11 specialty pharmacies, and 200 clinics. We're looking for candidates that care deeply about the technical side of operations and making sure that everything is running smoothly for over 22,000 healthcare professionals and 13 million customers. Our vision is to help people live healthier lives.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a42879fbc0702a0914ee163&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_058065dc&cb=1668230086210&jobListingId=1008005468646&jrtk=3-0-1ghl451ugii3l801-1ghl451v2irkn800-73960008ef03a69e-
"['Kroger General Office', '3.1']",http://jobs.kroger.com/,Sr. Software Engineer,"Cincinnati, OH",$82K - $112K (Glassdoor est.),"Company Name: Kroger General Office
Position Type: Employee
FLSA Status: Exempt
Line of Business:
See what life is like at Kroger Technology
at https://www.kroger.com/livekt

Additional Technology Information:
Scripting/Automation (Primary)",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a42879fbc0702a0914ee163&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_64e3ec0a&cb=1668230089229&jobListingId=1008151032347&jrtk=3-0-1ghl451ugii3l801-1ghl451v2irkn800-ea1ebe1a51d65f53-
