Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['L3Harris Technologies', '3.7']",http://www.l3harris.com/,"Sr Specialist, Software Quality Engineer","Melbourne, FL",$69K - $90K (Glassdoor est.),"Description:
Job Title: Sr Specialist, Software Quality Engineer
Job Code: CS20220711-93101
Job Location: USA-FL-Melbourne

Job Description:
Perform project quality related activities in a software development environment on multiple programs covering all phases of a project’s lifecycle and working as part of development and test teams on all assigned projects. You will be contributing to each assigned project’s product reliability, supplier, and process improvement activities. You will also be participating in required project and organizational peer reviews per project plans and our Management System, assisting in ensuring adherence to good engineering practices and compliance to program specific, organizational, auditing, monitoring, evaluating, and reporting for both internal operations and external subcontractor / supplier activities relating to the full project life-cycle. You will be interfacing with customers, program management, engineering, configuration management, logistics, procurement, and finance.",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846931870f94ef6ed9b44916ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2132e10d&cb=1668212172534&jobListingId=1008267850648&jrtk=3-0-1ghkj31pkjc9n801-1ghkj31qagrgj800-0448a69e823ca2d8-
"['L3Harris Technologies', '3.7']",http://www.l3harris.com/,"Sr Specialist, Software Quality Engineer","Melbourne, FL",$69K - $90K (Glassdoor est.),"Description:
Sr. Manager, Software Engineering
About Space & Sensors:
L3Harris Space & Sensors Division, headquartered in Mason, Ohio, designs, develops, and manufactures complex systems (electronic, avionics, transceivers, transmitters, electro-optical, and electro-mechanical) for the defense, aerospace, and commercial markets. L3Harris is a recognized leader in Electro-Optical technologies that enable systems to support surveillance, reconnaissance, threat detection, and self-protection missions. Our world-class Space Avionics systems include equipment for Mars Rover/Landers/Orbiters, Launch Vehicles, and Imaging Satellite Communications.
Space & Sensors team members bring their passion for innovation and engineering, their desire to push the envelope to adapt, communicate, and deliver on highly-reliable mission-critical systems. We offer an alternative 9/80 work schedule with every other Friday off, and the opportunity to work with a talented and diverse group of professionals. Focused on fostering a diverse and inclusive environment where employees can grow and develop professionally, employees can get engaged with several Employee Resource Groups (ERGs), participate in monthly activities hosted by our Employee Engagement Committee or get involved with volunteer opportunities through our L3Harris Investing for Tomorrow community program.",2d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846931870f94ef6ed9b44916ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_07b5284b&cb=1668212175715&jobListingId=1008267850623&jrtk=3-0-1ghkj31pkjc9n801-1ghkj31qagrgj800-ec2a3f7b76316e3d-
"['L3Harris Technologies', '3.7']",http://www.l3harris.com/,"Sr Specialist, Software Quality Engineer","Melbourne, FL",$69K - $90K (Glassdoor est.),"Description:
Cloud Software Engineering Lead
Req #: IMS20220811-93209
Job Location: Rockwall, TX
Job Description:
As a Software Lead, you will be part of our ComCept division. Comcept is a results-driven organization with an “employee-first” mindset, focused on innovation and delivery of quality products and services to our customers. Our ISR Networking, Big Data Analytics and PED (Processing, Exploitation and Dissemination) Solutions business develops advanced wireless Network-Centric Warfare concepts to enhance the use of Intelligence, Surveillance and Reconnaissance (ISR) assets by creating networked multi-intelligence, multi-domain and multi-security collaborative systems.",1d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846931870f94ef6ed9b44916ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d86b60cc&cb=1668212177295&jobListingId=1008271006118&jrtk=3-0-1ghkj31pkjc9n801-1ghkj31qagrgj800-a6a66a30e774c8af-
"['L3Harris Technologies', '3.7']",http://www.l3harris.com/,"Sr Specialist, Software Quality Engineer","Melbourne, FL",$69K - $90K (Glassdoor est.),"Description:
Job Title: Software Engineer, Developer
Job Code: SWP2
Job Location: Fall River, MA
Job Description:
This position will be part of the company’s software engineering team with responsibilities for producing software for the IVER family of autonomous underwater vehicles (AUVs) and associated support equipment. This role shall be involved with developing software for the AUV mission planning software, database development and management of AUV data, and operator command and control of the AUV.",2d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846931870f94ef6ed9b44916ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4b65f83a&cb=1668212180225&jobListingId=1008267850629&jrtk=3-0-1ghkj31pkjc9n801-1ghkj31qagrgj800-5d5aa73b5c3947e0-
"['L3Harris Technologies', '3.7']",http://www.l3harris.com/,"Sr Specialist, Software Quality Engineer","Melbourne, FL",$69K - $90K (Glassdoor est.),"Description:
Sr. Specialist, Software Engineering
About Space & Sensors:
L3Harris Space & Sensors Division, headquartered in Mason, Ohio, designs, develops, and manufactures complex systems (electronic, avionics, transceivers, transmitters, electro-optical, and electro-mechanical) for the defense, aerospace, and commercial markets. L3Harris is a recognized leader in Electro-Optical technologies that enable systems to support surveillance, reconnaissance, threat detection, and self-protection missions. Our world-class Space Avionics systems include equipment for Mars Rover/Landers/Orbiters, Launch Vehicles, and Imaging Satellite Communications. Space & Sensors team members bring their passion for innovation and engineering, their desire to push the envelope to adapt, communicate, and deliver on highly reliable mission-critical systems. We offer competitive benefits, an alternative 9/80 work schedule, and the opportunity to work with a talented and diverse group of professionals.

#LI-Hybrid",2d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846931870f94ef6ed9b44916ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1abc3fca&cb=1668212183136&jobListingId=1008267850607&jrtk=3-0-1ghkj31pkjc9n801-1ghkj31qagrgj800-dfab1fcea2ea7190-
"['L3Harris Technologies', '3.7']",http://www.l3harris.com/,"Sr Specialist, Software Quality Engineer","Melbourne, FL",$69K - $90K (Glassdoor est.),"Description:
Software Engineering Specialist
Req #: IMS20222909-91261
Job Location: Rockwall, Texas
Job Description:
L3Harris ComCept is seeking a professional with a strong, broad knowledge of Software Engineering who enjoys solving new problems in creative ways and working well both independently and collaboratively. This position requires excellent problem-solving and software development skills that will be utilized on various projects with new and advanced technologies.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846931870f94ef6ed9b44916ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_902b711e&cb=1668212187215&jobListingId=1008182831906&jrtk=3-0-1ghkj31pkjc9n801-1ghkj31qagrgj800-c393beb3885f00f8-
"['L3Harris Technologies', '3.7']",http://www.l3harris.com/,"Sr Specialist, Software Quality Engineer","Melbourne, FL",$69K - $90K (Glassdoor est.),"Description:
Software Engineering Manager
Req #: IMS20220308-88030
Job Location: Rockwall, Texas
Job Description:
Our ComCept division is a results-driven organization with an “employee-first” mindset, focused on innovation and delivery of quality products and services to our customers. We are experiencing rapid growth due to increasing market share, which offers qualified candidates excellent career advancement potential.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846931870f94ef6ed9b44916ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a8560fcf&cb=1668212189353&jobListingId=1008062293554&jrtk=3-0-1ghkj31pkjc9n801-1ghkj31qagrgj800-55dd1875c9d35be1-
"['L3Harris Technologies', '3.7']",http://www.l3harris.com/,"Sr Specialist, Software Quality Engineer","Melbourne, FL",$69K - $90K (Glassdoor est.),"Description:
Job Title: Sr. Associate Software Engineer (Hybrid)
Job Location: Rochester, NY
Job Code: CS20220710-91654
L3Harris’ Communication Systems segment is currently seeking a Sr. Associate, Software Engineer to join our team. This position will be based at our Rochester, NY facility and offers a Hybrid Work Schedule.
Job Description:
The successful candidate will be responsible for the design and development of embedded software for next generation and legacy tactical radio waveforms. Strong communication and interpersonal skills, coupled with the ability work within a large engineering team are required.

#LI-Hybrid",28d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846931870f94ef6ed9b44916ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_31886bd8&cb=1668212191914&jobListingId=1008207147270&jrtk=3-0-1ghkj31pkjc9n801-1ghkj31qagrgj800-75c8ae8e73f0fa99-
"['L3Harris Technologies', '3.7']",http://www.l3harris.com/,"Sr Specialist, Software Quality Engineer","Melbourne, FL",$69K - $90K (Glassdoor est.),"Description:
Job Title: Sr Associate, Software Engrg (Hybrid)
Job Code: CS20222609-90976
Job Location: Rochester, New York
L3Harris' Communication Systems segment is currently seeking a Sr. Associate, Software Engineering to join our team. This position will be based at our Rochester, NY facility. This position offers a Hybrid work schedule.
Job Description:
Responsible for research, design, and development of embedded software development for next generation multi-channel radio products, in conjunction with hardware product development.

#LI-Hybrid",15d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846931870f94ef6ed9b44916ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c7672800&cb=1668212194920&jobListingId=1008237786720&jrtk=3-0-1ghkj31pkjc9n801-1ghkj31qagrgj800-46fc95b50ec94c8c-
"['L3Harris Technologies', '3.7']",http://www.l3harris.com/,"Sr Specialist, Software Quality Engineer","Melbourne, FL",$69K - $90K (Glassdoor est.),"Description:
Job Title: Sr. Specialist, Software Engineer
Job Code: IMS20222010-92253
Job Location: Greenville, TX
Job Description:
L3Harris is seeking a Sr. Specialist, Software Engineer – Certified Scrum Master and servant leader who will lead Agile practices by promoting and supporting Scrum teams developing customer-centric digital software applications and services. We are looking for someone who enjoys working in a highly collaborative environment, values team collaboration, understands and practices Scrum theory values and quality, and has a strong desire to inspire change. Join us as we continue on our agile transformational journey.",17d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846931870f94ef6ed9b44916ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0b76859b&cb=1668212198732&jobListingId=1008232420529&jrtk=3-0-1ghkj31pkjc9n801-1ghkj31qagrgj800-1e5f7df1f1e8f359-
