Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Lam Research', '4.2']",http://www.lamresearch.com/,Enterprise Software Application Engineer,"Tualatin, OR",$112K - $151K (Glassdoor est.),"Job Responsibilities
Responsible for driving adoption of internal SW products across etch and deposition product group.
Work with application team and process engineers in the planning, data collection, modeling, data analysis, and reporting of results to process teams and other stakeholders
Works with process engineers and senior engineers cross functionally to understand roadmaps, process flow, inflection points, requirements, and business issues/ challenges.
Works with product managers and developers to make sure required capabilities are available for applications and provide requirements and user story
Contributes to product development and release activities.
Acts as single point of contact accountable for applications.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a9c7d63ad017d59148287db&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c2299c1b&cb=1668235958508&jobListingId=1008003716308&jrtk=3-0-1ghl9ovefma62801-1ghl9ovevi38g800-17b6a09e26a81ca3-
"['Lam Research', '4.2']",http://www.lamresearch.com/,Enterprise Software Application Engineer,"Tualatin, OR",$112K - $151K (Glassdoor est.),"Job Responsibilities
As a Software Engineer you will seek important solutions related to Big Data platforms, API development and Data Visualization.
You will have an opportunity to learn Software Engineering methodologies by being part of an Agile team while being able to provide inputs and own projects from start to finish.
You will partner with a team of Engineers and have an opportunity to work with Big Data File systems, DB and Messaging frameworks like HDFS, Hbase, NiFi, Kafka etc..
You will collaborate with Product Managers, Product Owners and Technical Owners to translate business requirements and build robust and scalable products
This role requires partnering continuously with many stakeholders and global teams daily to stay focused on common goals. This includes coordinating with internal and external teams (onsite/offshore) as necessary.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a9c7d63ad017d59148287db&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7521dd74&cb=1668235960719&jobListingId=1008151536399&jrtk=3-0-1ghl9ovefma62801-1ghl9ovevi38g800-14d066e1c11f3dbc-
"['Lam Research', '4.2']",http://www.lamresearch.com/,Enterprise Software Application Engineer,"Tualatin, OR",$112K - $151K (Glassdoor est.),"Job Responsibilities
We are searching for a talented software engineer with a strong background in Solid Mechanics and FEM to join our development team. Our 3D modeling engine simulates the fabrication of complex nanoscale semiconductor devices using a wide variety of structural representations and algorithms. You will work with a small team to design and implement algorithms and infrastructure for modeling physical phenomena that play a crucial role in the fabrication of cutting-edge semiconductor components.
This is a perfect role for candidates who want to work with a team on state-of-the-art challenges in 3D modeling and simulation. This is a hands-on software engineering position requiring proficiency in C++, expertise in implementing FEM and other types of physical modeling. Your work will have a direct impact on how our partners and customers design and validate the highly complex 3D structures for today’s semiconductor devices.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a9c7d63ad017d59148287db&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a7a212fd&cb=1668235964287&jobListingId=1008193270153&jrtk=3-0-1ghl9ovefma62801-1ghl9ovevi38g800-495c3498484468fa-
"['Lam Research', '4.2']",http://www.lamresearch.com/,Enterprise Software Application Engineer,"Tualatin, OR",$112K - $151K (Glassdoor est.),"Responsibilities
We are searching for a talented software engineer with a strong background in 3D modeling and simulation to join our development team. Our voxel-based 3D modeling engine simulates the fabrication of complex nanoscale semiconductor devices. As a key member of our modeling team, you will design and implement algorithms for modeling and simulating the physical phenomena that play a crucial role in the fabrication of cutting-edge semiconductor components.
This is a perfect role for candidates who want to work on state-of-the-art challenges in 3D modeling and simulation. This is a hands-on software engineering position requiring proficiency in C++, expertise in numerical or particle-based methods, and physical modeling. Your work will have a direct impact on how our partners and customers design and validate the highly complex 3D structures for today’s semiconductor devices.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a9c7d63ad017d59148287db&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_de6178d8&cb=1668235967159&jobListingId=1008017670203&jrtk=3-0-1ghl9ovefma62801-1ghl9ovevi38g800-64541d71b92ab585-
"['Lam Research', '4.2']",http://www.lamresearch.com/,Enterprise Software Application Engineer,"Tualatin, OR",$112K - $151K (Glassdoor est.),"Job Responsibilities
At Coventor Inc. (a Lam Research company) we build innovative software products to solve semiconductor manufacturing challenges around the world. Great engineering is Coventor’s heart and soul. Our software is envisioned and created by world-class engineers in many disciplines: software engineering, numerical physics, statistics, electrical engineering, quality assurance and development operations. Since our inception as an MIT spin-off in Technology Square, we’ve built an experienced management team able to incite fast product evolution through agile process. At Coventor, you will have autonomy and responsibility to take initiative and turn your ideas into great products.
We are looking for an experienced Senior Web Developer to join our dynamic team developing a world class semiconductor software platform in the web. You will be embedded in a collaborative software development team that is following the Scrum agile development process. Through daily engagement with the other developers and the QA team, you will play a critical role in helping us deliver quality software focusing more on the backend side of the platform. Your title and salary will be commensurate with your education and experience.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a9c7d63ad017d59148287db&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7951ba84&cb=1668235971351&jobListingId=1008165719344&jrtk=3-0-1ghl9ovefma62801-1ghl9ovevi38g800-537113311909ae82-
"['Lam Research', '4.2']",http://www.lamresearch.com/,Enterprise Software Application Engineer,"Tualatin, OR",$112K - $151K (Glassdoor est.),"Job Responsibilities
Lam Research is seeking a Senior Automation Engineer to participate in the development of laboratory control systems that support operations and internal business associates. The successful candidate must demonstrate high levels of motivation, individual responsibility, and accountability; able to perform the essential functions listed below. The ideal candidate will be familiar with the software development life cycle including (SLDC) the planning, design, development, deployment, and sustaining stages. They also require an in-depth knowledge of different programming languages, frameworks, and tools.
Software Developers will know how to write elegant code based on product specifications and requirements. They should be familiar with testing, debugging, and improving their code and the work of their team members to deliver products on timely, cost, and effective manner. The ability to learn new programming languages, collect feedback and improve existing software is a desirable quality in applicants. They also require a good understanding of algorithms, flow charts and mathematical concepts that form the basis of computer programming.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a9c7d63ad017d59148287db&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6ff9ac05&cb=1668235974019&jobListingId=1008152113293&jrtk=3-0-1ghl9ovefma62801-1ghl9ovevi38g800-704fff80d2be15c3-
"['Lam Research', '4.2']",http://www.lamresearch.com/,Enterprise Software Application Engineer,"Tualatin, OR",$112K - $151K (Glassdoor est.),"Job Description
We are looking for a Java Developer to join our team developing Spring Boot APIs ""big data"" platform. As a Java Developer on our team you will analyze complex business requirements and problems and drive research to design quality technical solutions. You will be responsible for designing, coding, testing, implementing, maintaining, and supporting application software. You will be actively involved throughout the project lifecycle, often starting with rapid prototypes early in the design phase, but most of the time you will ultimately be writing clean, production-ready code. You will work with both front-end and back-end web developers to create functional clean data service layer.
Responsibilities
This job requires you to apply your depth of software knowledge and expertise to all aspects of the development lifecycle. Responsibilities include software design and development along with support and maintenance of Big Data Products.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a9c7d63ad017d59148287db&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5b69f9a8&cb=1668235976775&jobListingId=1008126669564&jrtk=3-0-1ghl9ovefma62801-1ghl9ovevi38g800-3af60f8fa3b4b978-
"['Lam Research', '4.2']",http://www.lamresearch.com/,Enterprise Software Application Engineer,"Tualatin, OR",$112K - $151K (Glassdoor est.),"Job Description
We are looking for a Senior Angular Developer to join our team developing web-based applications to leverage ""big data"" platform. As a UI Developer on our team, you will analyze complex business requirements and problems and drive research to design quality technical solutions. You will be responsible for designing, coding, testing, implementing, maintaining, and supporting application software. You will be actively involved throughout the project lifecycle, often starting with rapid prototypes early in the design phase, but most of the time you will ultimately be writing clean, production-ready code, which will be integrated with the backend/APIs. You will work with both front-end and back-end web developers to build all client-side logic. You will also be bridging the gap between the visual elements and the server-side infrastructure, taking an active role on both sides, and defining how the application looks and functions.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a9c7d63ad017d59148287db&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_548f64f3&cb=1668235980613&jobListingId=1008126668681&jrtk=3-0-1ghl9ovefma62801-1ghl9ovevi38g800-4903040b62e52be0-
"['Lam Research', '4.2']",http://www.lamresearch.com/,Enterprise Software Application Engineer,"Tualatin, OR",$112K - $151K (Glassdoor est.),"Job Responsibilities
Plans, designs, develops, troubleshoots problem areas, and debugs software programs for enhancements and new products.
Demonstrates solutions by providing documentation, flowcharts, and clear code.
Develops software and tools in support of design, infrastructure, and technology platforms, including operating systems, compilers, routers, networks, utilities, databases, cloud-based and Internet-related tools.
Determines hardware compatibility and/or influences hardware design. Support field issues by providing information requested.
Collaborates with cross functional teams throughout our organization effectively.
Can travel within USA, Europe, and Asia (total is less than 10%) when the need arises.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a9c7d63ad017d59148287db&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7be94a81&cb=1668235984634&jobListingId=1008105345555&jrtk=3-0-1ghl9ovefma62801-1ghl9ovevi38g800-2a4978e69239f8ed-
"['Lam Research', '4.2']",http://www.lamresearch.com/,Enterprise Software Application Engineer,"Tualatin, OR",$112K - $151K (Glassdoor est.),"Job Responsibilities
Designs, develops, troubleshoots and debugs software programs for enhancements and new products. Develops software and tools in support of design, infrastructure and technology platforms
Implement new customer requirements and features in our existing application
Maintain existing code base and investigating problem areas
Demonstrating solutions by providing documentation, flowcharts, and clear code
Working in cross functional teams throughout our organization
Ability to travel within USA, Europe, and Asia (total is less than 10%)
Minimum Qualifications",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a9c7d63ad017d59148287db&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bee5a5f7&cb=1668235988460&jobListingId=1007955380083&jrtk=3-0-1ghl9ovefma62801-1ghl9ovevi38g800-3ba9b4155d0ede8b-
