Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Liberty Mutual Insurance', '3.9']",http://www.libertymutualgroup.com/,Senior Software Engineer,Remote,$125K - $160K (Employer est.),"Are you itching to unleash your skills —and drive— on a tech team that’s working to digitally transform a trillion-dollar industry? From test-driving the latest cloud technologies to creating intuitive consumer apps, Liberty Mutual Technology Group is constantly innovating and creating industry-leading solutions that provide peace of mind for our customers worldwide. As a senior software engineer at Liberty Mutual, you’ll apply your talents in an agile environment with the full backing and comprehensive benefits of a Fortune 100 company.
Responsibilities:
Collaborative partner: Within our GRM US Tech group, you’ll work on a team of engineers, scrum masters, and product owners to deliver innovative digital features that make it easy for our customers understand and manage their policies
Skilled technical engineer: You’ll lead the implementation of new features, improvements, and innovations to continually modernize our products and systems







17",23d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846d110d40b100981442f99a93&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2db72f9a&cb=1668277152432&jobListingId=1008219027887&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmh23bfm6ot801-1ghmh23c4i15p800-51dc1174d5dca3f1--6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt-THYVDVXiQ1RxehNPznEJFMNYJeHFc2xavGHEjRNwBBzigLtoDGzIcGawZe-aWRldAVp9jjUfqIu5J5CZs5savmTQjAr0S_kPDid57RDVweiOLBRIo9-bYAtPqEexMYSYsvV4JCl4_5-NUrc6WxEpCTx4HdjJQvd2SOqRpwvdjb3Pcr2YnfWCzC0J-EJlI_SDe5kd0snyq9C4hfjTvRfWBrA0ECEZsFHDXlYt-uXepq4fWeXju6f1MyOH5frm0DT29jdOovyZk0x_cAA7O25X-NOcSxeUi_dcrnGheJgSW4nqvDO4jYADFZ105ILt8MOB8KPlQz6rkm2QYZRRNeECfdE2vrcKtxjJpY4D3dM7QXB-5rX5AfVBUJkFo66p-pufk9HQmFRv2WK8uBJkG_KSNE-0m3mmiiPIsIOD0MZryil8Pcv4w89RwWmHEaHt_CtkyWQY3ASRPxxKFoJcM_gbEcxnLTmhbbbOWCDxDgdWXstO1H2XJNaGiyIvwmPzROjkk9Pu8XbfW_Ki8yDL1_h_hu7Life1DR9lOWowoFW2JE7B-Ztlo5xKGok5GMvlXmu0cRGE7S9M2y
"['Liberty Mutual Insurance', '3.9']",http://www.libertymutualgroup.com/,Senior Software Engineer,Remote,$125K - $160K (Employer est.),"Principal Software Engineer
Are you itching to unleash your skills —and drive— on a tech team that's working to digitally transform a trillion-dollar industry? From test-driving the latest cloud technologies to creating intuitive consumer apps, Liberty Mutual Technology Group is constantly innovating and creating industry-leading solutions that provide peace of mind for our customers worldwide. As a senior software engineer at Liberty Mutual, you'll apply your talents in an agile environment at a Fortune 100 company that is consistently named a top “100 Best Places to Work in IT” by IDG Insider Pro and Computerworld.
Responsibilities:
Collaborative partner: Working within our GRM Services Tech team of engineers, scrum masters, and product owners you'll tackle technical challenges and ensure quality as we move to next-generation applications

Bachelor's Degree
16",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846d110d40b100981442f99a93&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_626f6a0e&cb=1668277155522&jobListingId=1008151703185&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmh23bfm6ot801-1ghmh23c4i15p800-b2659717039983a6--6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt7DArby_x8vsKPea1Au2d2R0rjXKDk7ieUwfjj7swdeRhbuj8X46Q4wA69oNA14AlMf3glsZq-pRIhfbjQyxJjRVwyLZgrOf5DYEoWWU4f-6GprYAk50b_A7FFRBMR8Y4dyvbaZsdTi0_XrlySSB4-5i16F1Aa9h7CY4bBOcxxPUWyKG1y1osYlD7t_eEgWhzfW5T2EjncJguKHVkWDTRTqkOw8_W8EkELpYKBvy_v0U2RfKOiY1zLhDL0bvnygvdCt1704Xem2_voMWK_R0ygb_xajs-F70L1bwMEmKrjRVn8ASoOKD08oa0sHIKk000EQHntahaRAEAb6D4um3BlSxDSnUmBzaV91rzdn4sRTrcpMywRIr0oCoI01BtPpJHTs7Tl7qIeQaOSbBeXy0kucLEHxmiUTDQwG09TEeU2cYFCPXBZlBse6I10odhnvKnkb5-7ebkWvzBMAHjNg4uOowrExONnt6dbq_eUswkK1tUZVqTVWG5cSdN8jbUi3oQ7Wv6ozw8DdATyOEjDEzAcHdkIxXzSnOBrG-5Vq7ddeYyhyyYZmc8gQVAmWn1kpRx4feHQoXnvOIM1H1X0-ebZLKb3Km5YXokksjwo7YR9Fv
"['Liberty Mutual Insurance', '3.9']",http://www.libertymutualgroup.com/,Senior Software Engineer,Remote,$125K - $160K (Employer est.),"At Liberty Mutual, technology isn't just a part of our business, it's what drives us forward. We deliver our customers peace of mind every day by helping them protect what they value most. Our passion for placing the customer at the center of everything we do is driving a transformational shift at Liberty Mutual. Operating as a tech startup within a Fortune 100 company, we are leading a digital disruption that will redefine how people experience insurance.
If you're a curious learner who has a penchant for getting things done, thrives on facilitating, collaboration, and has a wealth of Agile know-how, we want you to join our tech team! The Scrum Master ll will oversee planning, implementation, and timely delivery for core pieces of Liberty Mutual's new Personal Lines auto pricing programs. This complex effort will have significant impact on the company's performance, and delivery of quality products to our customers. They will collaborate with Product Owners, Technologists, Architects and development teams to define and drive solutions. They will coach, mentor, and lead two mission teams of 6-9 Software Developers, Quality Assurance Analysts and Test Engineers: driving Agile practices and delivery of quality software solutions.







17",30d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846d110d40b100981442f99a93&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_54a3d4a4&cb=1668277159378&jobListingId=1008204979768&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmh23bfm6ot801-1ghmh23c4i15p800-f279d6ab7dd77618--6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt-THYVDVXiQ1RxehNPznEJGT7ZH_un_3rrhFvu75dtc69lMTRH26x7-uHvJspZeYf0pv1BMN_wtOFZ2z51Pqxv1iAxlPzkr1SQm8bwrCLprd02T4RquEDhm2FlCi7zyoZIou1rvQfvhKBbiEycAUK8HsscT_m8KHPS75f3D7MD1cp-PL-xm0JBM0IUQwVP8-zXoKQO_6HnUkc75ry3svxCGqsp7emL4wq4M29rCv14wwELnnyBUmy8qi6OO8vKmsefyBoIJ-Z2XEzldkq8iuegTTu7hOsh53TAbqxA9t-bWEWbrkYxYk8QVaGDiFJnqA8CwP7qXQydkVtpy-GAk7XemZ_T9Ihtcer4cHA5lJ6b477Y60J6MFcLSqV3OiwkFBFLiMjt1BhY_bAK-_vgZJDd-upnA6nL_OBlV9b1ryrNghbQgY_MAOTbCobY9RZ2Etl5d06TQdJSSE8KGb7tIY2sz3mhyunHIQ3Du8PzBKGL0IJeMu8E1QdVWNO5CkQ4oCV3M5gF-TUqtX7FhwO6XP1cADhgwcKMIhUpVZC1x2KI1JcjNr_aSN94SwSkIRuaYagoUG9e0pBIIfRvCDOhOug10%3D
"['Liberty Mutual Insurance', '3.9']",http://www.libertymutualgroup.com/,Senior Software Engineer,Remote,$125K - $160K (Employer est.),"Are you itching to unleash your skills —and drive— on a tech team that’s working to digitally transform a trillion-dollar industry? From test-driving the latest cloud technologies to creating intuitive consumer apps, Liberty Mutual Technology Group is constantly innovating and creating industry-leading solutions that provide peace of mind for our customers worldwide. As a senior software engineer at Liberty Mutual, you’ll apply your talents in an agile environment with the full backing and comprehensive benefits of a Fortune 100 company.
Responsibilities:
Collaborative partner: Within our GRM US Tech group, you’ll work on a team of engineers, scrum masters, and product owners to deliver innovative digital features that make it easy for our customers understand and manage their policies
Skilled technical engineer: You’ll lead the implementation of new features, improvements, and innovations to continually modernize our products and systems







17",23d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846d115154846966db1ba4dea6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_34af54f1&cb=1668277172612&jobListingId=1008219027887&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmh2kc4klt0801-1ghmh2kckj46m800-51dc1174d5dca3f1--6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt-THYVDVXiQ1RxehNPznEJFMNYJeHFc2xavGHEjRNwBBzigLtoDGzIcGawZe-aWRldAVp9jjUfqIu5J5CZs5savmTQjAr0S_kPDid57RDVweiOLBRIo9-bYAtPqEexMYSQPSSkzrjE88DQzf2S0wQL0jr9_MNxDhlWCReFTyVjN61HqFPHSAlA8QE-X4LKRNNyIdVo6zldPy8adTlzy-jt-q6V3QDPweHBrcz2w0IDqLGF8X3SiJj6EzzPszBqAHai5cNDC5YGotL3AnPfCJIOxAvvrts8MUWVlpo0F4Ur8KcwbjZ6PfqNFR64kXOjTjxBIDGIMHqGBjDoT1Ew6fXRm8j8m3XQlowcHHV0F4613soHccNOrYccUt3GKLqrQXG5u7j3vyQHCizTWdeElyD9VpDoNOulBngUQy_4g7ChX-t2FE7eAwWgyCPomuuz-0nTnywfi4gj0IpcaiNhQSTQrHzmjHZnKsWcepZbxQi2Yd6QOAOr1RgdGw9jHotOo2iOBLHiw7skXlOR8bZZa5r45tDdoNbh_AMOfedjVemzKm3W9bS4iZuC2HpVItCgt27N1NrBualXxU
"['Liberty Mutual Insurance', '3.9']",http://www.libertymutualgroup.com/,Senior Software Engineer,Remote,$125K - $160K (Employer est.),"Principal Software Engineer
Are you itching to unleash your skills —and drive— on a tech team that's working to digitally transform a trillion-dollar industry? From test-driving the latest cloud technologies to creating intuitive consumer apps, Liberty Mutual Technology Group is constantly innovating and creating industry-leading solutions that provide peace of mind for our customers worldwide. As a senior software engineer at Liberty Mutual, you'll apply your talents in an agile environment at a Fortune 100 company that is consistently named a top “100 Best Places to Work in IT” by IDG Insider Pro and Computerworld.
Responsibilities:
Collaborative partner: Working within our GRM Services Tech team of engineers, scrum masters, and product owners you'll tackle technical challenges and ensure quality as we move to next-generation applications

Bachelor's Degree
16",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846d115154846966db1ba4dea6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7b771165&cb=1668277175500&jobListingId=1008151703185&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmh2kc4klt0801-1ghmh2kckj46m800-b2659717039983a6--6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt7DArby_x8vsKPea1Au2d2R0rjXKDk7ieUwfjj7swdeRhbuj8X46Q4wA69oNA14AlMf3glsZq-pRIhfbjQyxJjRVwyLZgrOf5DYEoWWU4f-6GprYAk50b_A7FFRBMR8Y4RDL4VSQB3fn9TvgTiTSbBoRDg7DuyKDp2-JIuOjj8J69SnSZhNnLGdorh-jvqF0YrrqYZI5pXWes0Qu0TwlQ2ej9EyJHz2qcaMhyI3CsKJodrHHw4VAyora269kq2QrV9cwQBYWU_5iDmFwHcdWMcIOTBfPNR-3Dg1yXq6QxBoZY2pbiCN0LgOrwbHFTWjVCsZkjDLrYfzABk89tPEeAMvIONOFhgtNyIFsojKqmApKl3hUp4OKbN9x2h6SA2v9HvykwAYmsjmEvT-_0UhBLl7tBFMrfAlVs7TyFcPzWi7fVfPWCrNRDPf_jwCXd-9uQYKph2K6T-ULx0XnhT1S14GMGCpSI28IrELqi9fIZCcBYSwAzeEoKq8yCKvRYYhvF6O_PKzzJtvt7tPiaJ_T_AbTUymztMBxXw2EONhuOuWNYzNhbmrUQaBFqNM9mL755kLwZ5KDOleyJnGanlo4hXYKXEi0CPDCa-JCaV0oYWzW
"['Liberty Mutual Insurance', '3.9']",http://www.libertymutualgroup.com/,Senior System Support Analyst,Remote,$70K - $126K (Employer est.),"Are you excited by trying new technology and learning new tools? Do you have first-hand knowledge in the technology industry and/or claims experience?
Liberty Mutual is currently hiring top talent for our Solution Delivery, Claims team. As a Systems Support Analyst, you will work collaboratively with Agile development teams to support and enhance our claims handling user experience, from gathering user insights and feedback, to drafting requirements, test, and pilot plans. You will analyze complex technical system problems and create innovative solutions that exceed customer expectations.
This is a fast-paced environment providing rapid delivery of a variety of technologies supporting Claims. This role will focus on supporting and advancing our claims handling hub, Lumen. In this role you will work on a highly collaborative team that values speed and quality, with a strong desire to drive change and foster a positive work environment. You will have the opportunity to help lead this change with us as we grow.
**This is a ranged posting. Position offered will be based on candidate skills and experience at manager discretion.**







15",3d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846d11a4468655528f68b48027&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_765d15e5&cb=1668277192122&jobListingId=1008268485676&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmh393i2pe4001-1ghmh3945ghpk800-67e6af32e7e1302b--6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt-THYVDVXiQ1RxehNPznEJGx-sQriPniGhE9hqoFye7jaXvZ00W_Ao7CUm877UOC3ZxRPivy1yDBp0pkupxSLCLC0YbF8Dwnrw3PlBuDLdoxuiRpfETPxU5SBlNBdDD1y1j5o1vgxZOG_l9mg5GmhsXQQPHSif5KrqMIuj0S8ECcnf1qm3MsC2nymkaTVP9pJ4bcw-CaB0k00UnenmQZ3eaYHZE9Op7ExL6JP1Fhf9Ka84yjMP3982iiHfImPLWobVUaUp5qtputkAhrd4AK5V25fpZGdMqUYqOwtcXIniYBd8I_2Bnuh7FygbLz-k4ScaoIHZBbWNI8zQ0a4BgOznI8vfDyOghHJFZNAAoXoM_eH6P4KHphxQeoJbrLmZXU7x-nDPgBSUq9Sy3SL_ncAE2HVkGTTBTLzQ08EhMYm_8OZ_hHkxwQ-OZ7T5Pa6kfrwr2DsYE5KFb810K-gvz_KsAP7dXK0ETOQiRzrQSmaexWB7tV00wSpNqpjlPTbSD6htZcOuRufspXtBTInR_jRZxiSNh4PI1AwFMHwpYmEh-BskHg_4qOc2UbM-6X0fY65L0KNjj4wdw0KLoVpqouoiE%3D
"['Liberty Mutual Insurance', '3.9']",http://www.libertymutualgroup.com/,Senior System Support Analyst,Remote,$70K - $126K (Employer est.),"The Global Retail Markets (GRM) Global Strategy team is seeking a talented, motivated individual to join our highly visible group that focuses on solving the most critical strategic issues of the organization. This mission involves partnering with senior stakeholders at both the GRM and local international market levels to develop business unit strategies, identify business levers and opportunity areas, and manage key strategic initiatives. Additionally, you will also be responsible for working on the GRM Executive team's global strategic priorities GRM's Regional COOs and other leaders.
Example of recent work includes:
Developing a long-term view of the future mobility (ex: vehicle electrification, vehicle autonomy, ridehail) and determining how we position GRM to win.
Developing a multi-year roadmap to drive transformative expense savings for GRM US.
Supporting efforts to optimize acquisition costs across our digital, direct, partner, and independent agent channels.







16",14d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846d11a4468655528f68b48027&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_544c9d2d&cb=1668277193779&jobListingId=1008242533386&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmh393i2pe4001-1ghmh3945ghpk800-967c267a56ddd1e1--6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmt9Ub76orj87O9hhBHWUAr2A7oCLpqdzXgo0J_dZ3OtPrTKgnM7EZfbdH7JZZrWh0pHA33rpdupK-3jljIWd64xgFlco74HWGdQ-Jke84qWNr8ChikvFfVGQzOMoUNqBBVr-8TAthXo5_UJWl44TnvKj5ZlJY7DooJ59QqE0D_GPiB3rd8zMpSsNYVh00qj1rvud9Ais2dW2hWoZvszkrpEPcNE-3Sn_jqGlVnA0Z1M3A28VWCzc-xwd0_qNsIUbRbvhEJcJDaJwWPGPhneRvdTJ8vcuTndsAn7JLVgsRw5vOni8N4AauS5l8hc0If4hZ3Q5yg4Glu6rvkmCq7LGVcpxwIEKjLhQPf3vqp0ig8nSD3SEp47RnfSGIJ937-dea4u1hW51eGdUK1R3v5tNhYKMPT8Cfyxdmgij3zF12i0Z__avf7CKqzRAQNJjscwWFuHyo3ISK5Zg7x2f0VTXlL3FfWQ_tG09MJsQVK5QINQnBcOAzHnTBHSrFOOnjyTHuV3CAbIn-eCvwTDD01GJN3zcnGER_Ga4qB1ZqdVzoyozGGENUYBhnWzXPoEtu3c5msfLgyzXJ7vLrXr1S7-_gD1DGITAeXTSgaUjp_Z2R8I5Chyrr-bf2VNjtMH2WrOMlNA%3D%3D
"['Liberty Mutual Insurance', '3.9']",http://www.libertymutualgroup.com/,Senior System Support Analyst,Remote,$70K - $126K (Employer est.),"Advance your Claims career at Liberty Mutual Insurance - A Fortune 100 Company!
Liberty Mutual has an immediate opening for a Technical Claims Specialist I/Technical Claims Specialist II/ Senior Technical Claims Specialist. In this role, you will investigate, evaluate and resolve Environmental General Liability cases. Assignment may include a predetermined section of open inventory or cases that present high exposure. The Claims Specialist will resolve coverage and liability issues by applying established procedures and practices, and will provide customer service to current and former policyholders, vendors, and third-party claimants.
This is a range posting to be filled as a Technical Claims Specialist I, Technical Claims Specialist II or Senior Technical Claims Specialist , and will be determined based on candidate experience. This is a 100% remote position, but please note that travel may be required if/when necessary.
Responsibilities:
This position is in the Global Risk Solutions (GRS) Strategic and Professional Risk Claims and Environmental (SPRC/E3U ) Unit within the AGL Specialty Claims group. Claims handled could include Toxic Tort, Environmental, Coverage, Class Actions, and other unique complex claims.







Bachelor's Degree
15",9d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846d11a4468655528f68b48027&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_87ca1338&cb=1668277196042&jobListingId=1008254981172&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmh393i2pe4001-1ghmh3945ghpk800-c14e66f936f635f2--6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmtxBW_fB6uj4PYI5J3W_4H6TK7Y677juFfyL9nEQTSTsBpl3Jk7IoRyOgAHncvOn8Dx-hJcJ9XCBxBaeYTeNgM0zIX55SD63EMf6Hlg68VvX6jnE09D9KhnqqJTBJTl48cGatFUgHAYCVyAkb7up_PJKFN4LeUUfkQjBE7JGoBEkcHclAb1uLLepCCxxYRTKOE1qaJZWbFuIYG5toeB99jPSi6OqfcsFIXp1edCvkVw7QhpaYXnTGu2tFfkaOofyr88ldibplrU2lnSrVNYbMhZpOJD3-MZMBOL1pT5Z3ywBrGSegd-Z9LRobm2MsDC5Wz7krRi8_07B0snubMZns5clhM4MKayxC25T6GlMIar6X-nE2-WrceE06TcWo2C5PuS_eZK2tewnUuEe44JaOV0iYp6nrQdp4GSTlHRlnkUbHzsdc8MdUzcrTS3rTGPNo83uPPSwoYk2gAw0_v1jHnXl9vrwjc_KPEsb_EEXow1WXWpruvHtajsPEgembVU-lL1Hkng9ZeR5lyR-aPIOqfLK7B84IJEZuWDn3hy1Bmp7RdAzzuKQiS6_RoesevPzSPFN-xDknpTW0KKdQcsNgnq3y_QLDHU0Fvqe4ZJmYqzM9
"['Liberty Mutual Insurance', '3.9']",http://www.libertymutualgroup.com/,Senior System Support Analyst,Remote,$70K - $126K (Employer est.),"Are you looking for a position with the ability to leverage the resources of a Fortune 100 company to innovate and develop our future position in the industry? Our Product Technology Solutions group within Global Retail Markets is seeking a Consultant of Product Research to join their growing and highly visible group.
The Global Retail Markets Product Technology Solutions team leads management and development of end-to-end technology solutions, technology and vendor pipeline management, testing, prototyping, and scaling of solutions or services to meet evolving customer needs and marketplace trends. In addition, we manage the $600M+ Product Management budget with ambitious goals to drive down overall expense. Our mission is to help provide superior capabilities to power best in class customer experience while becoming laser efficient on expenses to compete as our industry evolves in the digital world.
The Analyst position is a hands-on role that will be heavily involved with a top priority of Global Retail Markets – With a number of mobility and telematics products already in market and the portfolio expanding, this role will be responsible for performing advanced analytics, developing data-driven insights, and helping to elevate and enhance our telematics and mobility data sets to support in market products and new product opportunities.

13",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846d11a4468655528f68b48027&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f6a77046&cb=1668277199613&jobListingId=1007937092642&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmh393i2pe4001-1ghmh3945ghpk800-29328bf50c71064d--6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmtyWCD3NTgamBmYM-1M6OxFwLo0TyF-c1uxiIB4MnG1yqHq--pL8uUww6dC3wVS9gUZw--C2W-hJelL_62l1eFSz2QRS1-uUSXr7IvTalgSzX1RUTxsMJzGrG2pkclA5JJ9XAxsc5ItVWL5SIFwwqrIHF-97I6yneJ7820me5ibmzX4PluO6GFXFircHxLcv_oACKXgsnCxiF89xr1t8bVc80nSp2p9xpX_9NC5Ng4pKi4mktSxbQ5BI2ILPGR60E66SfUwdRhj6FlGPZ67EcKOwzjAI80AT8dvdm5kdL5H4mFhp0lR74nCJneb3NmnEZaRwFSxWdVWzHZaGsNVuMD9k8aRIEwsfzdQB1_Gg4LWh5kqVgW7zINSImos8AYiRom_M5PjO-TIa1lyL-4H0aYgzziEi5-RK6X205-9aaqsWXCp0DI6XJvkvQV1mOpXRhzIXqHwpMoKpbGBw3-dIn57y2-bHLa9lZNR_GWtxaHga24kzKXboqOljH1sJUGDxJ9r1dlml66AAp_PwDZUflLARmn3fr9FRQ2YtHsCyJNIDUmXvQKGZsdKH2dLUq6b4jAsT1Zdh1UMZbF85rhXeFLolMcOcz6lo8qrRzMXh6K0cZgpP6dm4a4lHY9aBIiJb3-9u39vPYffgi
"['Liberty Mutual Insurance', '3.9']",http://www.libertymutualgroup.com/,Senior System Support Analyst,Remote,$70K - $126K (Employer est.),"The Broker Analytics team within GRS Field Operations is seeking a Business Analyst to provide robust analysis and actionable insights in support of our GRS Broker Relationship Managers (BRMs). Our GRS BRMs are a group of senior leaders who manage the global relationships with Liberty's largest retail and wholesale broking houses.
We are seeking an energetic, driven analyst with creative problem-solving ability who will thrive in a fast-pace and complex data environment. In addition to direct analytic support of our GRS BRMs, the Business Analyst will be expected to support various aspects of our internal broker data pipeline processes (i.e. partnering with LSM and GRM to report on and analyze broker metrics, strategies, and opportunities with a global lens), and drive analyses in partnership with our external broker stakeholders in an effort to keep us ahead of our competition. The Business Analyst will be involved in regular ad-hoc analyses, along with the development of presentation materials and data packets in support of various internal and external executive meetings and engagements (i.e. conferences, roadshows, and relationship building events).
The ideal candidate must be a strong collaborator and be able to work with general direction from manager on more complex tasks.







13",9d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846d11a4468655528f68b48027&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_85598519&cb=1668277203742&jobListingId=1008254981182&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmh393i2pe4001-1ghmh3945ghpk800-23f00a0a731f742d--6NYlbfkN0D19kSVUiNzG2UWy1lRGehFMusHrHGUl8ru40ax50wmtyWCD3NTgamB267Ac8Y_GexfsfDDYgcwG4Zi2EWTiP6KSkCgJHM1YX0ckMzSqeERXOY5QId7l1Wy1PuMM8XJ_Bsj-E5nYss3rzQNr5LprtWFJP4f1m5IzU2iaSSxlprohGMDlc9MQEEkPrcNJ1XYWnG61p9o1N6tVwpVrnS7FtuFgL0EcWy-ZXgQBXn21Nasy16_dqjgN7kO2M9ys7Wg6mTICeuLvi_UF8Mj_EU9Q7AQDEjUSNdhYYzEmDnXJeQmVUJj8-_GJbWihp4bYmcIU3yrrD78hf8El3DXEDp2G44XINFAeua0EVDVWRRbm4EUvYIm3q2m1c6vF_K6cYlfcPyTf8Y2TMurMlYKMDUXqHXv7Ssh3OofLFcYKckdNaP_w48lX4CgvvbBlItCEJpr6-fLmdFwHGF9ir72N06u7heRZbyzKYjysLKE89BKRnOkGPo4ZkRbOR750JMwp8pzy7uU1wKcpcp20pokl9R_MWBoqewi6bNRnnb8mPZOZcNqbb5kH5N1oSiVLoJP7cYoomKUIK2THspNIBm8M-KIBWtneObZkSKwkTg7F6J9E_l-2kr99Y6sWg4ieoUir_oori9XgZunKdFkPrslwKXbSoejXWQLsjarzCg%3D
