Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Amica Mutual Insurance Company', '3.4']",http://careers.amica.com/,Flutter Mobile Application Developer – Remote,"Providence, RI",$108K - $148K (Employer est.),"Mobile Application Developer (Corporate Strategy)
25 Amica Way, Lincoln, RI 02865
We’re redefining excellent mobile experiences. Software engineering makes that happen.
This is a remote position.

In looking for a software engineer, we’re searching for someone who can utilize Flutter and Dart to enhance our mobile app experience and optimize the end user experience.
You’ll be a key influencer for multiple projects and initiatives as you collaborate with your peers to deliver continuous value to our customers on Amica’s mobile app. You'll work directly with the mobile application team as well as other cross-functional teams to ensure that customer needs translate into engaging experiences in our mobile app.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846bfca32796da5777daf982aa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3acc6521&cb=1668259037734&jobListingId=1008129615534&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvp8r1ma58801-1ghlvp8rii7ko800-021afa72cadb1888--6NYlbfkN0DHNsmo6-l5VPEcn0_qUKkjeVx5zfr-x0vwZbi1T4ZBycdf6Jx9Tpj7qckzafRgtcLwXmfU9mAYbpxOwmDIzldaMqtkB_3uHHHVDHaPbDH4n4jncFPZQisjCF3RRf0ZCGiB1c-gL9362iUAWdfcCwqzVtfklGytp2osXpQxFW3K6wNZk4pwm-6byGKlbfyYeDJgUZIyGjZ2nz2my-wUX03QS29d4hGFSlnDFqIK1eGzPaIeLMbUSEtbMi5Soh4yw9uYRKkcHfiNFinARWNAdNm8cauDI2pL4oGHZL4baXJJvBMXAV3jc7uWecFx0XdMiL3Lit2ZWKP5YB_7-vK7u_VxTKwHF4OyS1x2lQ5Ax0BtNLA-00vANhB7JonyepohcZqvtFxf2ixzbXUV0x_wcIAkdrZiJ7kGUExDU4cCOto4P6gsQkIGM4VZQx-_drVYOnegL7Gqi8SzOKX2S1sOeByKrjmMTWXSgaq6XkeWT2unSojQTWmjk2KCjdBWHhaQq68OXEWKDizl5w-CVx-swD00Uq_7yI6l3J-hjCfUMP3WsgfrYcb101sW2qTZOnTacCT0-wMBmP6Q9wepvwfFhRpIsWWccZf-GM9p1A3jP70_6GRSYJZwZrNiyT4_7zLwTDzbXwhpdRL6TmzJDFX7Z-F5WXUn3OIvZhFfZBE0jN3dnrvDE1c9G3kL5bgNbhWJWe0RpdpPqswpilMVfpvth7N5nkarZgcAwaofLdJDrU7k1LA7DrBkHu7y22tePjLEOM1LP6deWJq9LHpvR3ElqwqfMq7iYNOpfcs%3D
"['Amica Mutual Insurance Company', '3.4']",http://careers.amica.com/,Flutter Mobile Application Developer – Remote,"Providence, RI",$108K - $148K (Employer est.),"QA Developer (Corporate Information Systems Department)
25 Amica Way
Lincoln, RI 02865
Want to turn your IT expertise into customer solutions?
The feeling is mutual.
Our Lincoln, RI office is seeking Software Development Engineer in Test (QA Developer) to work with our Digital team. They will design, develop, build and execute technical solutions to perform verification and validation activities on a variety of business applications. They are expected to maintain and expand their knowledge of QA practices and technical skills that allow them to identify and effectively improve the quality of a business applications.
The ideal candidate will have Cypress & JavaScript experience, as well as experience with web testing and general knowledge of API.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846bfca32796da5777daf982aa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_63377b19&cb=1668259039802&jobListingId=1008126800013&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvp8r1ma58801-1ghlvp8rii7ko800-d652e56f57390bca--6NYlbfkN0DHNsmo6-l5VPEcn0_qUKkjeVx5zfr-x0vwZbi1T4ZBycdf6Jx9Tpj7qckzafRgtcKIz8stFlt_HVix2nr7XvDzG7arZjz_36htA8D9gAylFEvXKPuVZqNKRLReMpWwQUtjtUmIGtQLtt-B2nyciriKK7ecy1AMTbHq3BY1c4iRBFB3QE8aOz1e7KWOUcT958iLPbf65q6XfD8eZEjgqhHv6kHggNS6pvG5kNe-XYeihTSFm3rZF4Xy70jL9ncPyOBH_bPq0ZfoFFwOjJpJXOfJ6lz_kJGmLM8x11RfHnBMSUv8g3edW1zXEKqKOUBUDQk1YF36o_FVBsFDEc8xQzBLxDhcj2LLfOOnLTXuL8osz_9hNnaatTAr0EW07ej7112orpOqeDQEPTh1yGH87Y5AcrcZ9YxuFsJIt-CPWKGo_TcuaQybe2RRKdEKw640a3g_HJ8cP_RhBfXQLT8QBSGcYwP0JoCHK-wdG_a4fe8XMg7z5g2ydIsCXvikOAjubKwqQkm_Aam2cRFY1D0Wi1E8fxrKyS32tfysDqfi8jM-mppYXSbsg9iWw7kILWrNIghg1W9f8N2rE0d4Og9yK4GC-HKrKZpap2stZI1BxSejcg_tDAwWhVSHoe2jdVPgKG5gc6yaqBNHAaAcJyJWG5vmJvaafSmPgLrAXf3Qk0qoAUQ1Z9VaZW7m6IDR6HF0xESwcpOvnAcNqnBeCQjtzQjytE9AbRaUeRTMCLYQ3SfsfgymYDOEdZAllYNPk4zHhhLktMCe2_kV7IiDH3R3b02_yorJw63YfY8%3D
"['Apex Systems', '3.9']",http://www.apexsystems.com/,Flutter Mobile Application Developer – Remote,"Providence, RI",$108K - $148K (Employer est.),"Job#: 1305531

Job Description:
Apex Systems is looking for a Solution Developer

Please contact rmsmith@apexsystems.com if interested

Submission deadline is 11/18

OnBase ECM Solution Developer

The Enterprise Content Management Team is seeking an experienced Enterprise Content Management (ECM) Solution Developer to assist our ECM team with implementing content management solutions in OnBase. You will be providing ongoing support of agency-wide initiatives and efforts as part of our Enterprise Content Management strategy.

The ECM Solutions Developer role will work within, as well as cross-functionally, with developers, analysts, architects, and key stakeholders in supporting and developing technology solutions that address business problems. As an experienced candidate, with a demonstrated track record in designing and implementing enterprise-scale ECM solutions, you will utilize your technical competencies to assist in designing solutions for managing enterprise-wide structured and unstructured digital content securely.

Primary Responsibilities

Work with project managers, key stakeholders, and other team members within the Business & Technology team to deliver business value of ECM technologies for business processes at NDOT.
Design, develop, and deploy ECM Solutions that automate business processes and workflows.
Advocate core ECM architectural standards and concepts and translate to business value.
Troubleshoot, and resolve ECM software and infrastructure issues.
Work with project managers, key stakeholders, and the team members to analyze business requirements and build functional specifications.
Assist in implementation of new systems and enhancements to existing systems as requested.
Plan for and test software updates, defects, and configuration changes.
Communicates courteously and professionally; maintains working relationships with others in carrying out job functions.

Position Qualifications

Two or more (2+) years’ experience in Business Application Design and Development type role required
Two or more (2+) years’ experience working with OnBase Enterprise Content Management; working knowledge of ECM technologies, strategies, data structures, and the use of the data stored within them required
Two or more (2+) years’ experience building complex solutions using Hyland OnBase ECM Content Platform modules: OnBase Configuration, WorkView, Workflow, Document Composition, Unity scripts and Unity API
BA degree in Computer Science, Information Systems, or equivalent work experience in Information Technology roles
Demonstrated knowledge of OnBase module capabilities and how to properly extend OnBase's functionality
Experience with Microsoft stack (e.g., SQL Server, Windows Client, Windows Server and IIS platforms) required; prior experience in System or Application Administration preferred
Experience using Microsoft Visual Studio and C#, particularly in conjunction with OnBase Unity API modules and OnBase Unity scripts
Develop applications in line with business requirements using Agile methodologies
Experience deploying, documenting, and administering an OnBase implementation
OnBase Certifications preferred, some examples are OnBase Certified System Administrator (OCSA), OnBase Certified Application Programming Interface (OCAPI), OnBase Certified WorkView (OCWV), and OnBase Certified Workflow Administrator (OCWA) certifications. Must be able to show proof of certifications.

Job Conditions

A hybrid remote work option is preferred for qualified candidates.
Regular and reliable attendance is required.

EEO Employer

Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at employeeservices@apexsystems.com or 844-463-6178.


Contract


Yes


Lincoln, NE, US


Applications and Data Management


October 20, 2022",22d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846bfca32796da5777daf982aa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4ca25ca1&cb=1668259041837&jobListingId=1008222469681&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvp8r1ma58801-1ghlvp8rii7ko800-841e7bc136f3f9d1--6NYlbfkN0DqWjE27Bj7wQp7zwejGyju2OyxUuq4SEucXSyN07WCWejYvQmJsgF2DYF8Y-TYieBAETrQtvX3I4ddl1b2xUxLGRRVH4X1-p11Q7OSUdX0xUZAzlklgYpNF9m9PCeDKkhZwHGXSJlnZLKWHAXZZaN-ebyCdT59GpplOnVcph1vEt1bnPds28qkI-7WnJjtSdZteAF0pTGmNlO7riQyfCSnijaYeprqO-RDt_ImN1HscnJfqXUxkKYYoUlMlPhLUTjaBJGGs869loBjz7JgXeH6uwc1uQS3t6YLysfQq2v0nZxgJwKNvA8214hWjHiWhJpofzzJIrK72U0_I-inZjNDd8aBvMnP6f8d4xiQ29B7hBw8v5I6c8dikxCCnXMz038Ps2287llj3MOqV-r9s2Byj10zC3pF1cXVshTqO8NOWUeMQVs13OHscLwn1hSi4p5eEWty_TFjStnw95rPPsI6oyDBO6G2mv8Ao24q5FSP5wAblxrEmIeG1OYbnEtT2iMFJHNUL6Nxxg%3D%3D
"['CI Software', '3.7']",http://www.ci.com.br/,Flutter Mobile Application Developer – Remote,"Providence, RI",$108K - $148K (Employer est.),"The Secure Resilient Systems and Technology Group at MIT Lincoln Laboratory creates and transitions advanced technologies for ensuring the security and resiliency of next-generation mission-critical systems. The group's research and development in this area focus on a wide range of systems from drones and satellites, to handheld devices and miniature sensors, to high­ performance secure cloud computing, to many others.
The group comprises computer scientists; software, hardware, and electrical engineers; cryptographers; system analysts; and security architects, all of whom share a common passion for helping solve some of the hardest technical problems relevant to national security. The group pursues innovative, high-impact, practical research in small focused teams, and it succeeds by participating in all R&D phases, including problem analysis and innovative solution design, system architecture, rapid prototyping, field testing, and ultimately, transfer of the technology to Department of Defense and Intelligence Community users, sponsors, and industry.",9d,
"['Amica Mutual Insurance Company', '3.4']",http://careers.amica.com/,Flutter Mobile Application Developer – Remote,"Providence, RI",$108K - $148K (Employer est.),"Guidewire Developer/Senior Guidewire Developer (Corporate Information Systems Department)
25 Amica Way
Lincoln, RI 02865
Are you looking for a career in a growing industry with new products, new markets and new technology?
The feeling is mutual.
Our Lincoln, RI office is seeking a Senior level IT Developer/Software Engineer who will perform technical design, development, testing and implementation of complex IT solutions using existing and emerging technologies that include expertise in multiple application areas, including Guidewire’s PolicyCenter, BillingCenter, and ClaimCenter applications.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846bfca32796da5777daf982aa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_55514f67&cb=1668259047503&jobListingId=1007959162564&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvp8r1ma58801-1ghlvp8rii7ko800-738c1862f037c7ce--6NYlbfkN0DHNsmo6-l5VPEcn0_qUKkjeVx5zfr-x0vwZbi1T4ZBycdf6Jx9Tpj7qckzafRgtcKTvIu0nZ4x2OLDGaAfVQclQktuG9PIorqJXm8Q8IjJUghPFFO8DWKDf-X7FxXvv2Lp7u8_-R84btVLZBCOP1Cnrlh8y8Tz10ffZ011haxIPQzDkY_Da3ZklRVCyF1YIAgYDDjVYhweG1ZskalYbhCnw7A8GEnzXE7_jgJw300L1SF4MXvACg3P25k-ZIMGc-liOk2I6jIsO_M0SyhTdLNxqczedy7ZHRwV-u15Q29yD1Q9zoiqgQat4o_6RQTXrAHPRCzs-Q6cHXa4Z-FV6HI5IS_cRUMrKFpvHLm4dXvSW8i1xGX8LWTbHCTx0mCjJP6OyzY8g1oGPB6FEfHVsxyR7guroCMSP7f7m3I-1e37ZCgeuFSmkBMu2uQeMOFmUoZkYFGLy7GCiHQygS4sQUftfXiIsPYiqjrjKpZDinVEErlHL3iOAzutwcNRKPcXnywBgcI75MsJ-7N6Pp8Fx8ZijhBr_e-TFhnZKWfgvbXUet9KOiuF5CTGcoTlvU9u3S-x6HMKhZW-SyREwqXJSxh7KMbldn3WyY6u60fbjGW6SXNNSBcSBVo6EdL_9XCdPn6ZZxxJdB12huf739Plg-ppW6wKALoFCI10bKqnE7AQnify6fJN9lVJ28-l5PyiP0vzMrjvoQS_LOH6_GOry7_Lx2NiL40xbQEd8pLjXpOdgLEvLuF6aJ_Bse-HOBq_yFCvVCH2v9YSxCie6wmnj18fm-ao1iLZr4k%3D
"['Apex Systems', '3.9']",http://www.apexsystems.com/,Flutter Mobile Application Developer – Remote,"Providence, RI",$108K - $148K (Employer est.),"Job#: 1306391

Job Description:
Apex Systems is looking for a Senior Business Analyst

Please contact mkerickson@apexsystems.com if interested

Submission deadline is 10/28

Job Overview:
As a Sr. Business Analyst / Business Systems Analyst, you will be responsible to define quality, detailed user stories and supporting artifacts that enable the team to deliver working software and that are aligned to business objectives. You must be able to communicate between business and IT (both internal and external to the organization) in understanding the business’s needs and translating them to actionable stories and supporting logical designs/data mapping.

The position will be part of the delivery team, where all members must facilitate clear and open communication between business stakeholders, developers, architects, vendors, and the product owner that enable high quality stories and artifacts in an Agile context. They must work as a team to deliver working software solutions aligned to business value for stakeholders.


The Sr. Business Analyst / Business Systems Analyst will demonstrate competencies across these dimensions:

Agile Practice & Team Role

Work in continuous delivery mode, analyzing and delivering features iteratively
Consistently demonstrate strong understanding of and adherence to Agile processes and principles for effective delivery
Participate in Scrum ceremonies
Work collaboratively with team members to meet the sprint goal(s)

Requirement Elicitation & User Story Management

Responsible for eliciting, documenting, and refining, detailed business requirements in the form of user stories.
Create supporting requirements artifacts deliverables such as business process flows, system interaction diagrams, data mapping/ ERDs, to meet development and stakeholder needs
Responsible for complete and clearly communicated acceptance criteria and test case creation related to stories as a part of backlog grooming to ensure the delivered solution meets the stated requirements


Minimum of 5 years of experience as a Business Analyst working on information technology projects
Minimum of 2 years of experience as a Business Analyst in an agile project-based environment. Proficient with user stories and agile ceremonies, principles and frameworks
Experienced with data analysis and mapping for system integration and API development support
Experienced with system/ Non-functional requirements analysis, and vendor integration support.
client-server, web-based applications, web services, data schemas, SQL in order to support the delivery of user stories through solution suite
Experienced with testing support
Experience as an Agile team member having delivered working software in a ground floor software design and delivery with vended resources
Clear and concise communication style
Positive and constructive attitude
Experience with usability best practices
Comfortable communicating to all levels within an organization
Comfortable communicating technical concepts to various levels of non-technical audiences
Exceptional attention to detail and time management skills


Experience utilizing Jira
Experience with agile projects transforming legacy functions into new solutions to benefit the organization
Experienced working with remote teams
Industry Experience specifically in Eligibility and Enrollment methods of practice / delivery models, business rules and process across benefit programs
Experience delivering presentations to varied audiences

EEO Employer

Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at employeeservices@apexsystems.com or 844-463-6178.


Contract


Lincoln, NE, US


PMO and Business Operations


October 27, 2022",15d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846bfca32796da5777daf982aa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0ff27427&cb=1668259051091&jobListingId=1008239265688&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvp8r1ma58801-1ghlvp8rii7ko800-71298821584fbddd--6NYlbfkN0DqWjE27Bj7wQp7zwejGyju2OyxUuq4SEucXSyN07WCWbkDRL8PSg20akoNQ_tTaW-JUkryoeatsRH0oqD11s0TcE-x8WoanIIkG77eKHIDGpcSr4TWrOs7hSQjrYh7eEYxd4Q_0QRryqZxJtJtZH1TqZoP6WyKTOcWGJksDC5F9AFyJuEoDIkoQEnmF8n2Npx8-WvLAZe1_4pv_kOyFTEuB7yuChsBu4sFjrdrLPPpjdXxhdkpvWI0yX0Rmnw6s-azAcHNzuhEfYcMUP-Da5b4iYNi3-fbHNRD05SCRLAvjLk_OFQFjDUR_JwD7z1rPbruSdcCN8BXDHqd_8SfilHSkzCXXS_vE4uGKJBGCTyktv0NTd0akW6As6BZOEP1rd6Km68TftxXOvYi-YPRyM40cD0s_ta4nXPZSoEraSdeNUqwIppJe3THtzQOoCD42fCXbVzMqZp8o2VmpHGDBQTdPADkqhbyKeqx38LMBnM8v6tJ_tB_96J3_bzUFsfutsOhd04b3wB5DUInh1L1KlOA
"['Placer County', '4.5']",http://www.placercoe.k12.ca.us/,Flutter Mobile Application Developer – Remote,"Providence, RI",$108K - $148K (Employer est.),"Salary
$25.91 - $32.35/hour; $4,491.07 - $5,607.33/month; $53,892.80 - $67,288.00/year

Department
County-Wide

Job Type
Open

Date Opened
5/17/2022 08:00:00 AM

Filing Deadline
11/16/2022 5:00:00 PM",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846bfca32796da5777daf982aa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_625444ff&cb=1668259052599&jobListingId=1007869653611&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvp8r1ma58801-1ghlvp8rii7ko800-fee970b40975e0ca--6NYlbfkN0C0kIFf5K0zO-AKXu7bPqj5fL-_SWq3vlPj_VD5NvCCToNGz_eJ973qSUZ24V0o5rHXikYF9SJ63Ta9I-lWaS-ze1LyjQpQ1od-0BIq04fxXIWfWs8FDC6Z--uxm9xtjkyGUm_likI2G8PfW8hkOh8m6BkbGFeMFJbEZNuS5W3RWr4zpBl11chdATDuPySizUxligru71qCS6o9jT5nfh2hGAyBj2l7tPlfmDXMWydI6g7IuinkuQ6Z0lKJWZJvJluM4s_W2JsRdpmArutndrQhbB28x2lmHVB429EcGfoFtjbswGBcl_yB3_CEiutdQyBfmz9Z6rcPK30mIXKLxSVtkjNlzCbw5vhNaUwlqT6h1wIy23pV8AxHzG17iQci1FKwIKnAXhbcfzU8GoeeB7Ikuu-q6U6C9u5IaWMIN_TvdSPLuAgNToPoz5LbSySUc6UeZbzmuS2VlbfkxBSBdJ4yuvxZrqJr_Et4Aut5-MK58Nwro7zRwo8eDfteI-Frqt79EksC3VnqrGDaIvZHZTIDh6MxdSLyu3kV96KJcMKV-Q%3D%3D
"['Apex Systems', '3.9']",http://www.apexsystems.com/,Flutter Mobile Application Developer – Remote,"Providence, RI",$108K - $148K (Employer est.),"Job#: 1307735

Job Description:
Apex Systems is looking for a Senior Applications Developer

Please reach out to rmsmith@apexsystems.com if interested

Submission deadline is 11/02/2022

Job Overview:
This team is seeking a full-stack Java & React developer to build and support services to be shared by multiple teams and projects across the Department. This position will contribute to program objectives while promoting and supporting enterprise reuse of components. The developer will receive direction from a Lead Technical Architect. The developer will plan, analyze, design, and develop various micro-services in a cloud environment. The developer will also contribute to front-end React applications that consume those services as needed. The ability to communicate with technical team members, business users, and management is required.


Under general direction, responsible for all phases of development and maintenance on assigned computer applications; communicates with business analysts to determine system requirements; researches system enhancements and problems; performs analysis and design of computer applications; performs programming and testing; performs related work as assigned. Position works directly with various levels of business and technical staff to determine sound technical solutions for business requirements. This position designs, codes, tests and documents micro-service applications and React front-end applications. Position has full technical knowledge of all phases of applications development and the development technologies utilized. Position provides production support for small and large, simple and complex applications including the ability to resolve problems in constrained timeframes. Position may have occasional off hours support. Position may be responsible for mentoring less experienced team members. Position may lead small-to-medium projects or components of larger projects.


The Sr. Application Developer – Java/React, will demonstrate strong competencies across these responsibilities:

Develop and debug application code
Design java classes
Conduct unit, integration, and customer acceptance testing
Prepare code and application documentation
Design and deploy micro-service databases in the Azure cloud, using relational or non-relational databases as appropriate
Design and deploy React SPAs in the Azure cloud
Consult with peers and subordinates on application issues
Use application development tools and utilities as appropriate
Assist and mentor peers and subordinates as appropriate
Develop business problem definition
Accomplish information collection, analysis and organization
Prepare economic evaluation and estimates of time/effort required on projects
Prepare solution development, recommendations and evaluation criteria


At least 5 years Java development
At least 3 years developing micro-services, using Spring Boot or equivalent frameworks
At least 3 years writing and documenting REST APIs using the Open API (Swagger) specification.
At least 3 years HTML, CSS, and JavaScript experience
At least 3 years developing front-ends written in a modern SPA framework (Angular, React, Vue, etc.)
At least 3 years working with relational databases. Ability to write SQL queries and debug database related issues in Java applications.


Familiarity with cloud application models (cloud native, serverless, etc.) strongly preferred.
Familiarity with application deployments in the Azure cloud preferred.
Familiarity with non-relational DBs is a plus (MongoDB, Cosmos DB, Dynamo DB, etc.)
Exposure to database automation frameworks (Liquibase, Flyway, etc.) is a plus.
Relevant certifications and training
Preferred to have a minimum of 3 years’ experience in all aspects of the software development lifecycle and workflow including, but not limited to:
Estimates
Target date planning
Work plan development and monitoring
Stakeholder communication
Quality Assurance
Development methods/techniques
Testing methods/techniques
Implementation planning and execution

Characteristics

Trusted and respected as a thought leader
Displays intellectual curiosity and integrity
Motivated and driven by achieving long-term technical outcomes
Ability to work effectively in a team environment and lead cross-functional teams

EEO Employer

Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at employeeservices@apexsystems.com or 844-463-6178.


Contract


Yes


Lincoln, NE, US


Applications and Data Management


October 31, 2022",11d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846bfca32796da5777daf982aa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4c8c391e&cb=1668259055776&jobListingId=1008246217097&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlvp8r1ma58801-1ghlvp8rii7ko800-ee8098c0f63841dd--6NYlbfkN0DqWjE27Bj7wQp7zwejGyju2OyxUuq4SEucXSyN07WCWejYvQmJsgF2DYF8Y-TYieAD3zr5dqrFcpsMQp-JYTtZtp-yrZI9gPQqsgz_vYBZgRzbpIlj9k9q1ZVzSyZIG6s8aXprg3PHtNuG7zNFN0QdZEOcwfN4sJR3Qo9j3Qt3UOKG8u14uoRUSxNVMVlywm_n8VoujzTcnVs3wxegIQaJggkUSRb9SFr3P6u_h55kQ0ZPXnvyqggn9bnD_T6zmbVZByCEf8ZnMXDF99P77XqqcxbmafS5trmG2auQimTtfOq_GNUlHVIIu27imo7kP7EUHG0Ua113ZYRLZbver7IHkXQPMxhQxB-SzRWvlsCGxVBt633UIvuE3JAkxSd77BgOaim0Aq3QRyJG-FiVJgGthuX3q-P_LHofIq7gYKfdRMblILLk4gMGQS5A7CzaG_-_pbW3PLnFQVvnI52klx6TiiO6ZWu3lSlSPTzmdK5GnYkeZUiG8_2oo1zOVm2RXMAnhafUzPrtIKD9m3pzclpoT74ZFulrMog%3D
"['Apex Systems', '3.9']",http://www.apexsystems.com/,Flutter Mobile Application Developer – Remote,"Providence, RI",$108K - $148K (Employer est.),"Job#: 1308300

Job Description:
Apex Systems is looking for a Remote Project Manager

Qualified candidates please contact mkerickson@apexsystems.com

Apex Systems is seeking a dedicated IT Project Manager/Scrum Master

Under general direction, this position would be responsible for planning, directing and coordinating project management activities of designated project(s) ensuring that the goals and objectives of the project(s) are accomplished within the prescribed timeframe and requirements.

Responsibilities


Qualified applicants will have a Bachelor's degree or Technical degree in Computer Science/Software Development/Project Management (or equivalent combination of education and minimum 5+ year’s Project Management experience).
Must have minimum 2+ years of experience in managing projects/software development utilizing Agile SDLC.
Minimum 5 years project management experience


Experience with all aspects of project management.
Experience with Agile development utilizing SCRUM.
Experience working with Developers and end users is a plus.
Project Management certification desired, but not required.
Perform or assist with testing as needed.
Experience with Web Services and Windows Services.
Experience using Microsoft SQL Server
Experience with CICS.
Experience handling multiple projects.
NDOT utilizes Agile development methodology.

Web applications are built in C#.NET, HTML, JavaScript, CSS and XML which interact with the Department's Information Systems.

Our client has a number of legacy systems built using COBOL, CICS and DB2 Z/OS.

EEO Employer

Apex Systems is an equal opportunity employer. We do not discriminate or allow discrimination on the basis of race, color, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related medical conditions), age, sexual orientation, gender identity, national origin, ancestry, citizenship, genetic information, registered domestic partner status, marital status, disability, status as a crime victim, protected veteran status, political affiliation, union membership, or any other characteristic protected by law. Apex will consider qualified applicants with criminal histories in a manner consistent with the requirements of applicable law. If you have visited our website in search of information on employment opportunities or to apply for a position, and you require an accommodation in using our website for a search or application, please contact our Employee Services Department at employeeservices@apexsystems.com or 844-463-6178.


Contract


Yes


Lincoln, NE, US


PMO and Business Operations


November 3, 2022",8d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846bfca32796da5777daf982aa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d96b68ee&cb=1668259057642&jobListingId=1008255814550&jrtk=3-0-1ghlvp8r1ma58801-1ghlvp8rii7ko800-523dd9a21b666ad8--6NYlbfkN0DqWjE27Bj7wQp7zwejGyju2OyxUuq4SEucXSyN07WCWejYvQmJsgF2DYF8Y-TYieBw2BIsTERxYfeJHn7iG6Eizrx02zAEXgMPTNUKao8wo4eXkNJUNWgumjW3XF0rsvpuwdhlgkAI0WQsY8PPxNCmesM3DgcSw8c2dYv1QdB2i3_4a1Ma3pOMSn4Egs3int4fyaOggHJp2iidDSdbWECzB0VWucY6gyTUOlm8EozE25t5DJWtDyTjadl7zFE6PsitFEQLB-Kb3e79r_4WwG7BJnFJS3V0OdW3-DAbCy8O0Iyo6PSQXFQfOFSoPHzNKoQu9ctDtCn0M6PTo6xvb4b7InHivhIvEVGSBWzLTuVAQwBW_QNVnixQ7RVbeCi61R3WaEvGHuDWSueKXKJCw5CeG8IuW6co76WqrIFeX-eaBIOiw90fSPLQ_gYI2-GgHTY4u07FdK3A1iVPtancC910HrsIF2G9e0687U72IvsO_LU-1z-twgz0BnfRe7VelGYgmNztmmuKLw%3D%3D
"['MIT Lincoln Laboratory', '4.3']",http://www.ll.mit.edu/,Flutter Mobile Application Developer – Remote,"Providence, RI",$108K - $148K (Employer est.),"The Secure Resilient Systems and Technology Group at Lincoln Laboratory is made up of software developers, hardware and electrical engineers, cryptographers, computer scientists, systems analysts, and security architects, who share a common passion for solving the hardest technical problems in national security. We pursue innovative, high-impact, practical research in small, focused teams. We succeed by being involved in all R&D phases, including problem analysis and innovative solution design, system architecture, rapid prototyping and field-testing, and ultimately transfer of our technology to DoD, Intelligence Community, and other government sponsors, as well as to industry. Being part of MIT, we also collaborate closely with academia and publish our research in top-tier venues. If you would like to work on things that truly matter at a place that combines problems of pressing national importance with MIT’s culture of academic excellence, abundance of resources, and superior work-life balance, apply here to learn more.
Job Description",9d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846bfca32796da5777daf982aa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c35039f7&cb=1668259061636&jobListingId=1008253733147&jrtk=3-0-1ghlvp8r1ma58801-1ghlvp8rii7ko800-c3f9d232dc8c31cb-
