Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,IT Developer,"San Antonio, TX",$72K - $100K (Glassdoor est.),"An exciting career awaits you

At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
Position Summary
This position provides an excellent opportunity to play a significant role in supporting the technology needs of Marathon’s HR organization. This position is responsible for designing, developing and supporting applications and database code within the Workforce Software Time and Attendance, while enforcing best practices. The successful candidate will be self-motivated, possess strong analytical, organizational and communication skills, and excel in a fast-paced environment. The candidate must have the ability to work with individuals from multiple business units across a variety of locations, external vendors, and a dynamic IT support staff.
Key Responsibilities
San Antonio TX
Findlay OH Main Bldg
00005397
19100 Ridgewood Pkwy
Bachelors: Information Technology
Full time
Regular",15d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a36119d8c5ec3ae84937fab&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_97a923c4&cb=1668229245150&jobListingId=1008238519289&jrtk=3-0-1ghl3c4eambgp801-1ghl3c4esh7j0800-68146fb25c4772dc-
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,IT Developer,"San Antonio, TX",$72K - $100K (Glassdoor est.),"An exciting career awaits you
At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
Position Summary
The IT Business Analyst (GIS Developer) will support multiple business groups across MPC such as Midstream, Terminals, and Refining. The role will involve development of new GIS functionality and support existing products based primarily on ESRI suite, requiring detailed knowledge of server application products. This position will work directly with business partners and other IT groups to ensure GIS applications meet business functional and performance requirements. The IT Business Analyst (GIS Developer) will manage GIS support requests from business users and will take a significant role on projects that will expand/enhance corporate GIS capabilities. Project responsibilities will include gathering/documenting requirements, functional designs, application development, and producing test scripts according to the business unit objectives.
Findlay OH Main Bldg
00002506
$85,500
$128,200
10
539 S Main St
Denver CO, San Antonio TX, Tulsa OK
Bachelors: Information Technology
Full time
Regular",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a36119d8c5ec3ae84937fab&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f90c4f45&cb=1668229247078&jobListingId=1007824525961&jrtk=3-0-1ghl3c4eambgp801-1ghl3c4esh7j0800-73b70cb59f70d5c0-
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,IT Developer,"San Antonio, TX",$72K - $100K (Glassdoor est.),"An exciting career awaits you
At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
Position Summary
This position offers an opportunity to play a significant role in supporting MPC’s RightAngle platform by providing technical leadership in the area of software engineering and development. This position is responsible for designing, developing and supporting application and database code while enforcing best practices. The successful candidate will be self-motivated, possess strong analytical, organizational and communication skills, and excel in a fast-paced environment. The candidate must have the ability to work with individuals from multiple business units across a variety of locations, external vendors, and a dynamic IT support staff. Because of the criticality of some systems and processes, duties will occasionally require the candidate to be on call after-hours and/or weekends.
Findlay OH Main Bldg
00004881
$98,300.00 - $169,400.00
11 - 12
539 S Main St
Denver CO, San Antonio TX
Bachelors: Information Technology
Full time
Regular",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a36119d8c5ec3ae84937fab&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4de23a74&cb=1668229248705&jobListingId=1008158947608&jrtk=3-0-1ghl3c4eambgp801-1ghl3c4esh7j0800-a7e8500e94d92113-
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,IT Developer,"San Antonio, TX",$72K - $100K (Glassdoor est.),"An exciting career awaits you

At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
Position Summary
This position offers an excellent opportunity to leverage technical and business knowledge for the Clean Products organization. Partnering with analytics-focused business partners in a high-paced environment, the successful candidate will work to ensure that the best available information is provided to support critical decision making. This role emphasizes technical aptitude and requires functional acumen to deliver timely insights and optimize ongoing operations.
This position belongs to a family of jobs with increasing responsibility, competency, and skill level. Actual position title and pay grade will be based on the selected candidate’s experience and qualifications.
San Antonio TX
Findlay OH Main Bldg
00001543
19100 Ridgewood Pkwy
Bachelors: Information Technology (Required)
Full time
Regular",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a36119d8c5ec3ae84937fab&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b56266bf&cb=1668229250508&jobListingId=1007687648087&jrtk=3-0-1ghl3c4eambgp801-1ghl3c4esh7j0800-f8ed6642db3af7de-
,,Cybersecurity Engineer I (Vulnerability/Penetration Testing),"San Antonio, TX",$86K - $121K (Glassdoor est.),,30d+,
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,Cybersecurity Engineer I (Vulnerability/Penetration Testing),"San Antonio, TX",$86K - $121K (Glassdoor est.),"An exciting career awaits you

At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
Role Overview:
The Vulnerability/Penetration Testing is a highly critical role tasked with providing assurance for the security posture of the enterprise through discovering, assessing, reporting, and tracking the remediation of security vulnerabilities. This role performs assessments within Information and Operation Technology IT/OT environments. Identifying where systems/networks deviate from acceptable security configurations. The role is given structured opportunities to expose system vulnerabilities achieved through active evaluations (penetration tests and/or vulnerability assessments) using specialty tools and techniques that simulate adversarial techniques. This role are also known as vulnerability assessors, vulnerability analysts or penetration testers.
San Antonio TX
Denver CO, Findlay OH Main Bldg
00004249
19100 Ridgewood Pkwy
Bachelors: Information Technology
Full time
Regular",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a368d579e7c5c1c0ef4a82b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dd5626d3&cb=1668229276620&jobListingId=1008101271735&jrtk=3-0-1ghl3d3c9im9i801-1ghl3d3csim92800-4e4b281dad74b672-
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,Cybersecurity Engineer I (Vulnerability/Penetration Testing),"San Antonio, TX",$86K - $121K (Glassdoor est.),"An exciting career awaits you

At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
Position Summary
This position offers an excellent opportunity to leverage technical and business knowledge for the Clean Products organization. Partnering with analytics-focused business partners in a high-paced environment, the successful candidate will work to ensure that the best available information is provided to support critical decision making. This role emphasizes technical aptitude and requires functional acumen to deliver timely insights and optimize ongoing operations.
This position belongs to a family of jobs with increasing responsibility, competency, and skill level. Actual position title and pay grade will be based on the selected candidate’s experience and qualifications.
San Antonio TX
Findlay OH Main Bldg
00001543
19100 Ridgewood Pkwy
Bachelors: Information Technology (Required)
Full time
Regular",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a368d579e7c5c1c0ef4a82b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a520a1df&cb=1668229278396&jobListingId=1007687648087&jrtk=3-0-1ghl3d3c9im9i801-1ghl3d3csim92800-f8ed6642db3af7de-
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,Cybersecurity Engineer I (Vulnerability/Penetration Testing),"San Antonio, TX",$86K - $121K (Glassdoor est.),"An exciting career awaits you
At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
Position Summary
This position will work closely with Commercial business partners and IT peers to understand strategic business objectives and solve complex problems. The role will ensure solutions are reliable, secure, and aligned with enterprise technologies. Responsibilities include resolving problems, delivering value-added enhancements, gathering and documenting business requirements, and the coordination of users testing. A successful candidate will possess excellent communication skills and high work standards.
This position belongs to a family of jobs with increasing responsibility, competency, and skill level. Actual position title and pay grade will be based on the selected candidate’s experience and qualifications.
San Antonio TX
00004084
$85,500
$128,200
10
19100 Ridgewood Pkwy
Denver CO, Findlay OH Main Bldg
Bachelors: Information Technology
Full time
Regular",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a368d579e7c5c1c0ef4a82b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ff870397&cb=1668229280186&jobListingId=1008063505309&jrtk=3-0-1ghl3d3c9im9i801-1ghl3d3csim92800-847418eff244c4a8-
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,Cybersecurity Engineer I (Vulnerability/Penetration Testing),"San Antonio, TX",$86K - $121K (Glassdoor est.),"An exciting career awaits you
At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
The Senior IT Business Analyst – DevSecOps will be an advocate to the alignment of Business and IT objectives, identify opportunities for process advancement leveraging technology, support creation of business capability and technology projects, translate business capabilities into functional requirements, and work with business stakeholders and IT Delivery teams to develop, test, and deploy solutions. It is essential to have excellent communication and coordination skills to successfully integrate various functions in a coordinated manner and deliver the responsibilities to the customer’s satisfaction. A successful candidate will possess excellent communication skills and high work standards.
This position belongs to a family of jobs with increasing responsibility, competency, and skill level. Actual position title and pay grade will be based on the selected candidate’s experience and qualifications.
Findlay OH Main Bldg
00001850
$98,300.00 - $169,400.00
11 - 12
539 S Main St
Denver CO, San Antonio TX
Bachelors (Required)
Full time
Regular",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a368d579e7c5c1c0ef4a82b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1dc5f3a2&cb=1668229283054&jobListingId=1007737213134&jrtk=3-0-1ghl3d3c9im9i801-1ghl3d3csim92800-e0cc088827ff11f7-
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,Cybersecurity Engineer I (Vulnerability/Penetration Testing),"San Antonio, TX",$86K - $121K (Glassdoor est.),"An exciting career awaits you

At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
Learn more about Marathon Petroleum’s benefits at
www.mympcbenefits.com
.
POSITION SUMMARY:
The SCADA Analyst provides controls and communications technical support for the G&P East Region Pipeline SCADA system. Responsible for programming and maintaining Schneider Electric Geo SCADA HMI and its server/network infrastructure. The role supports troubleshooting and improvement requests from Pipeline Operations and Controllers, and interfaces with Engineering teams to design and commission pipeline asset expansion.
Canonsburg PA
00005380
4600 Jbarry Ct Ste 500
Full time
Regular",16d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a368d579e7c5c1c0ef4a82b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6a46eaed&cb=1668229286031&jobListingId=1008236485545&jrtk=3-0-1ghl3d3c9im9i801-1ghl3d3csim92800-0c4d2a63697630ee-
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,IT Business Analyst,"Findlay, OH",$61K - $81K (Glassdoor est.),"An exciting career awaits you

At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
Position Summary
This position will work closely with Clean Products business partners and IT peers to understand strategic business objectives and solve complex problems. The role will ensure solutions are reliable, secure, and aligned with enterprise technologies. Responsibilities include resolving problems, delivering value-added enhancements, gathering and documenting business requirements, and the coordination of users testing. A successful candidate will possess excellent communication skills and high work standards.
This position belongs to a family of jobs with increasing responsibility, competency, and skill level. Actual position title and pay grade will be based on the selected candidate’s experience and qualifications.

Findlay OH Main Bldg
San Antonio TX
00004888
539 S Main St
Bachelors: Information Technology
Full time
Regular",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a36d0729fcbcb7c1eff3f51&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6919948f&cb=1668229293964&jobListingId=1008156604026&jrtk=3-0-1ghl3dk5ajiis802-1ghl3dk5uh7j0800-65cbb44bf15454c4-
"['Marathon Petroleum Company LP', '3.5']",http://www.marathonpetroleum.com/,IT Business Analyst,"Findlay, OH",$61K - $81K (Glassdoor est.),"An exciting career awaits you
At MPC, we’re committed to being a great place to work – one that welcomes new ideas, encourages diverse perspectives, develops our people, and fosters a collaborative team environment.
Position Summary
The Agile Project Management Office (PMO) Supervisor is responsible for supporting the IES strategy while enabling a hybrid Agile transformation and traditional plan-driven approach within MPC’s IT Infrastructure and Enterprise Services (IES) organization. The Agile PMO Supervisor is responsible for adhering to various project/product Portfolio Management practices and partnering closely with IES’ Agile coach to drive improvements in IES’ overall agile maturity to affect positive and sustainable change.
Experience in metric-driven delivery, and lean methodologies, will be required to build the best-in-class delivery. The Agile PMO Supervisor is responsible for supporting and enabling the organization’s portfolios, programs, and structured work efforts.
Findlay OH Main Bldg
00005590
$129,900.00 - $194,900.00
13
539 S Main St
Denver CO, San Antonio TX
Bachelors: Information Technology (Required)
Full time
Regular",1d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a36d0729fcbcb7c1eff3f51&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fad67e55&cb=1668229296815&jobListingId=1008271737663&jrtk=3-0-1ghl3dk5ajiis802-1ghl3dk5uh7j0800-80bfb16817dcfe0c-
