Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
['Gardner Marsh Gas Equipment'],,Propane/Natural Gas Technical Products and Applications Specialist,"Raleigh, NC",$45K - $75K (Employer est.),"DO NOT APPLY UNLESS YOU HAVE PROPANE OR NATURAL GAS EXPERIENCE.
Job Description
Title: Technical Products and Applications Specialist
Location: Gardner Marsh Gas Equipment Company - Northwest Raleigh, NC - convenient to Hwy 540/Hwy 70
Reports To: CEO
Hours: 40+ per week
Technical Products and Applications Specialist Job Summary: The Technical Products and Applications Specialist (TPAS) is a critical position within Gardner Marsh.",25d,
,,Propane/Natural Gas Technical Products and Applications Specialist,"Raleigh, NC",$45K - $75K (Employer est.),,30d+,
"['Marsh Bellofram', '3.0']",http://www.descocorporation.com/,Propane/Natural Gas Technical Products and Applications Specialist,"Raleigh, NC",$45K - $75K (Employer est.),"Job Title: Electrical Engineer
Marsh Bellofram Group based in Newell, WV, just outside of the Pittsburgh, PA Metro area consists of multiple industry leading brands focused on industrial control and measurement. We are experiencing strong growth and need to expand our team. Products include pressure and temperature monitoring and control devices, motor protection and industrial process timing instruments. Our customers are in a wide array of markets such as energy, manufacturing, water treatment, utilities, medical, aerospace and defense.
Summary: This role is involved in research and development on a group of electrical products with industry established brands and advanced technology. Products include wireless cloud-based data collecting and analyzing devices, three phase monitors, and electronic controlled pneumatic regulators. Products are primarily manufactured in our facility in the states, but also at our plant in China and contract manufacturers.",30d+,
"['Marsh Bellofram', '3.0']",http://www.descocorporation.com/,Propane/Natural Gas Technical Products and Applications Specialist,"Raleigh, NC",$45K - $75K (Employer est.),"Job Description: Provides problem analysis and evaluation support to the customer, with alternate solutions to meet their needs.
Application Engineer Job Responsibilities:
Identifies and defines customer needs, then develops optimum product design solutions to the customer.
Analyzes and evaluates design parameters, including customer drawings and hardware for materials selected to optimize end product.
Communicates with PCD department, as needed, to accomplish goals of meeting customer product needs.",30d+,
"['Marsh Bellofram', '3.0']",http://www.descocorporation.com/,Propane/Natural Gas Technical Products and Applications Specialist,"Raleigh, NC",$45K - $75K (Employer est.),"Job Title: Manufacturing Engineer
About the Company:
Marsh Bellofram Group based in Newell, WV, just outside of the Pittsburgh, PA Metro area consists of multiple industry leading brands focused on industrial control and measurement. We are experiencing strong growth and need to expand our team. Products include gas pressure regulators, gauges, high precision pneumatic controls, engineered rubber and silicone components, critical space motor protection and industrial process timing instruments. Our customers are in a wide array of markets such as energy, manufacturing, water treatment, utilities, aerospace and defense.
Position Function:",2d,
"[""AL PACKER'S WHITE MARSH FORD"", '3.1']",http://www.alpacker.com/,Propane/Natural Gas Technical Products and Applications Specialist,"Raleigh, NC",$45K - $75K (Employer est.),"Service Advisor
Al Packer’s White Marsh Ford, LLC is looking for an Advisor to complete our team of service professionals and provide excellent Customer Service. The ideal candidate will have 2 – 4 years’ experience as an ASM or Service Advisor. Ford, Lincoln, CDK experience beneficial.
Essential duties include:
Work closely with Service Director to create a team environment producing highly effective results.
Meet with customers to identify required automotive maintenance and offer service advice.
Maintain a positive relationship with customers, ensuring their needs are met.",8d,
"[""AL PACKER'S WHITE MARSH FORD"", '3.1']",http://www.alpacker.com/,Propane/Natural Gas Technical Products and Applications Specialist,"Raleigh, NC",$45K - $75K (Employer est.),"Experienced Skilled Body Technician
Large Ford Dealer collision center
Great team enviroment
Many Direct Repair / Great Parts Dept/Huge Fleet accounts work all year long
Bonus for I Car Platinum Tech
Great Family owned company to work for!!
I-car Training free to employees
Contact Dan Nasuta 410-622-9019",30d+,
"['Marsh Bellofram', '3.0']",http://www.descocorporation.com/,Propane/Natural Gas Technical Products and Applications Specialist,"Raleigh, NC",$45K - $75K (Employer est.),"Job Title: Production Scheduler
Job Location: Newell, WV
About the Company: Marsh Bellofram Group based in Newell, WV, just outside of the Pittsburgh, PA Metro area, consists of multiple industry leading brands focused on industrial control and measurement. We are experiencing strong growth and need to expand our team. Products include gas pressure regulators, gauges, high precision pneumatic controls, engineered rubber and silicone components, critical space motor protection and industrial process timing instruments. Our customers are in a wide array of markets such as energy, manufacturing, water treatment, utilities, aerospace and defense.
Position Function: The Production Scheduler role is a key member of the operations team. This role provides our factory with the plan to achieve on-time order delivery and utilize our entire capacity. While some aspects of the position are transactional, we are looking for a strategic thinker who can reshape this role within the company and find new ways to improve our level of performance as viewed by the customer.",30d+,
"['Marsh Bellofram', '3.0']",http://www.descocorporation.com/,Propane/Natural Gas Technical Products and Applications Specialist,"Raleigh, NC",$45K - $75K (Employer est.),"Job Title: Electrical Engineering Manager
Marsh Bellofram Group based in Newell, WV, just outside of the Pittsburgh, PA Metro area, consists of multiple industry leading brands focused on industrial control and measurement. We are experiencing strong growth and need to expand our team. Products include gas pressure regulators, gauges, high precision pneumatic controls, engineered rubber and silicone components, critical space motor protection and industrial process timing IOT based instruments. Our customers are in a wide array of markets such as energy, manufacturing, water treatment, utilities, medical, aerospace and defense.
Summary: This role is a working manager position, accountable for new product development and technical support on a group of electrical products with industry established brands and advanced technology. Products include wireless cloud-based data collecting and analyzing devices, three phase monitors, and electronic controlled pneumatic regulators. Products are primarily manufactured in our facility in WV, but also at our plant in China and partner contract manufacturers. We are about to embark on significant investment in retooling the entire business and need an ambitious engineering manager to drive this initiative.",30d+,
"['Cline Wood, a Marsh & McLennan Agency LLC company', '3.2']",http://www.clinewood.com/,Propane/Natural Gas Technical Products and Applications Specialist,"Raleigh, NC",$45K - $75K (Employer est.),"Why choose MMA?
Because it’s your choice. Make a career. Make a difference. Explore the opportunity. Combine your energy, passion and drive for excellence with MMA’s vision to be a world-class leader, revolutionizing our industry and our colleague and client experience and it could be the perfect match.
Interested? Marsh & McLennan Agency (MMA) located in Leawood, KS may be the place for you. As an MMA colleague, you’ll get personal and professional development, a driven and entrepreneurial team-oriented environment, and leaders at all levels who are committed to maintaining high levels of colleague engagement. Discover how much is possible as you grow or advance your career. With MMA you can create a career that matters.
We are looking for a full-time Placement Specialist (AKA Marketing Account Executive) to join our growing Transportation team in Leawood, KS, Arlington, TX, and Louisville, KY.",30d+,
