Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Transfinder', '3.5']",http://www.transfinder.com/,Full Stack Developer,"Schenectady, NY",$61K - $92K (Glassdoor est.),"Transfinder is a fast-growing software company providing industry leading transportation solutions to School Districts across North America.

If you want to work for an industry leader, learn the latest technology and be a part of an organization that values employee opinions, then Transfinder is the company for you!

100% Remote Position – Must be a resident of Texas or New York State.

Tech Stack

C#",30d+,
"['Harvard University', '4.4']",http://www.harvard.edu/,Full Stack Developer,"Schenectady, NY",$61K - $92K (Glassdoor est.),"Position Description
Harvard University Information Technology (HUIT) is a community of Information Technology professionals committed to delivering service and technological solutions in support of teaching, learning, research and administration. We are recruiting an IT workforce that has both breadth in their ability to collaborate and innovate across disciplines – and depth in specific areas of expertise. HUIT offers opportunities for IT professionals to learn and work in a unique technology landscape and service-focused environment. If you are a technically proficient, nimble, user-focused, and accountable IT professional who also connects with the importance of collaborating well in a team environment, we are looking for you!
*For those interested in remote work, this role can be primarily remote. We also have beautiful on-campus space in the heart of Harvard Square for employees who choose to be on-site.*",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b995a6e98e2ece9a2187e95&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8118900f&cb=1668252532208&jobListingId=1008166345284&jrtk=3-0-1ghlpiml4m6op801-1ghlpimlkimbd800-566c1101fcce7d6f-
"['City of Holyoke MA', '4.7']",http://www.holyoke.org/,Full Stack Developer,"Schenectady, NY",$61K - $92K (Glassdoor est.),"City of Holyoke
Building Department
Full-Time Building Commissioner
Job Posting - November 10, 2022 - December 1, 2022
Position Purpose:
Performs administrative, supervisory, and technical work related to building safety and all Codes and Inspections Department activities in the City of Holyoke, administers and supervises the planning and direction of all activities of the department, responsible for maintaining and improving upon the efficiency and effectiveness of all areas under his/her direction and control. Performs all other related work as required.
Essential Functions:",1d,
"['Superconductive', '5.0']",http://www.superconductive.com/,Full Stack Developer,"Schenectady, NY",$61K - $92K (Glassdoor est.),"This is an exciting time at Superconductive. We are building a SaaS product that will provide a UI for the Great Expectations library. The product will deliver a hosted solution with easy configuration of data connections, storage backends, and pipeline integrations; efficient creation of data quality tests, including for non-technical users; tools for collaboration across teams; and shared dashboarding and monitoring capabilities of an organization’s data quality.

As a Frontend Engineer at Superconductive, you will become a founding member of the SaaS development team. You will be responsible for building an excellent UI for enabling responsive and beautiful interactions with data and the Great Expectations library. This role has the potential to develop into a team lead and manager as the team grows.
As part of Superconductive, you will also have opportunities to support the community and evangelize Great Expectations through conference talks, workshops, and blog posts, if you’d like.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b995a6e98e2ece9a2187e95&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_18df099d&cb=1668252539966&jobListingId=1006885395558&jrtk=3-0-1ghlpiml4m6op801-1ghlpimlkimbd800-706d75709947f208-
"['City of Somerville', '3.8']",https://www.somervillema.gov/,Full Stack Developer,"Schenectady, NY",$61K - $92K (Glassdoor est.),"The City of Somerville is one of the leading cities on climate change in Massachusetts and the country, pioneering new approaches to climate action planning, clean energy and resilience programs, and community engagement. Reporting to the Climate Change Program Manager, the Sustainability Planner is a new position within the department. The overarching goal of the Sustainability Planner will be to enhance sustainability and resiliency of buildings and mobility citywide. Responsibilities include supporting efforts to effectively and creatively reduce greenhouse gas emissions, improve energy efficiency, and increase resiliency in the building and transportation sectors in ways that promote health and equity. The Sustainability Planner is required to perform all similar or related duties.
Essential Functions:
The essential functions or duties listed below are intended only as illustrations of the various type of work that may be performed. The omission of specific statements of duties does not exclude them from the position if the work is similar, related, or a logical assignment to the position.",30d+,
"['Harvard University', '4.4']",http://www.harvard.edu/,"Application Developer, PeopleSoft","Cambridge, MA",$61K - $92K (Glassdoor est.),"Position Description
Harvard University Information Technology (HUIT) is a community of Information Technology professionals committed to delivering service and technological solutions in support of teaching, learning, research and administration. We are recruiting an IT workforce that has both breadth in their ability to collaborate and innovate across disciplines – and depth in specific areas of expertise. HUIT offers opportunities for IT professionals to learn and work in a unique technology landscape and service-focused environment. If you are a technically proficient, nimble, user-focused, and accountable IT professional who also connects with the importance of collaborating well in a team environment, we are looking for you!
*For those interested in remote work, this role can be primarily remote. We also have beautiful on-campus space in the heart of Harvard Square for employees who choose to be on-site.*",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b99baeb9d2474cac5b9202c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ed12e8be&cb=1668252552866&jobListingId=1008166345284&jrtk=3-0-1ghlpjep1kuj6801-1ghlpjepe209v000-566c1101fcce7d6f-
"['Transfinder', '3.5']",http://www.transfinder.com/,"Application Developer, PeopleSoft","Cambridge, MA",$61K - $92K (Glassdoor est.),"Transfinder is a fast-growing software company providing industry leading transportation solutions to School Districts across North America.

If you want to work for an industry leader, learn the latest technology and be a part of an organization that values employee opinions, then Transfinder is the company for you!

100% Remote Position – Must be a resident of Texas or New York State.

Tech Stack

C#",30d+,
"['Superconductive', '5.0']",http://www.superconductive.com/,"Application Developer, PeopleSoft","Cambridge, MA",$61K - $92K (Glassdoor est.),"This is an exciting time at Superconductive. We are building a SaaS product that will provide a UI for the Great Expectations library. The product will deliver a hosted solution with easy configuration of data connections, storage backends, and pipeline integrations; efficient creation of data quality tests, including for non-technical users; tools for collaboration across teams; and shared dashboarding and monitoring capabilities of an organization’s data quality.

As a Frontend Engineer at Superconductive, you will become a founding member of the SaaS development team. You will be responsible for building an excellent UI for enabling responsive and beautiful interactions with data and the Great Expectations library. This role has the potential to develop into a team lead and manager as the team grows.
As part of Superconductive, you will also have opportunities to support the community and evangelize Great Expectations through conference talks, workshops, and blog posts, if you’d like.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b99baeb9d2474cac5b9202c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0ba9ceaf&cb=1668252559682&jobListingId=1006885395558&jrtk=3-0-1ghlpjep1kuj6801-1ghlpjepe209v000-706d75709947f208-
"['Harvard University', '4.4']",http://www.harvard.edu/,"Application Developer, PeopleSoft","Cambridge, MA",$19.00 - $21.50 Per Hour(Employer est.),"Position Description
Harvard University Information Technology (HUIT) is a community of Information Technology professionals committed to delivering service and technological solutions in support of teaching, learning, research and administration. We are recruiting an IT workforce that has both breadth in their ability to collaborate and innovate across disciplines – and depth in specific areas of expertise. HUIT offers opportunities for IT professionals to learn and work in a unique technology landscape and service-focused environment. If you are a technically proficient, nimble, user-focused, and accountable IT professional who also connects with the importance of collaborating well in a team environment, we are looking for you!
*For those interested in remote work, this role can be primarily remote. We also have beautiful on-campus space in the heart of Harvard Square for employees who choose to be on-site.*",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b9a09aeb94dc4f742a1fa0f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_797492c9&cb=1668252575362&jobListingId=1008166345284&jrtk=3-0-1ghlpk2fbgspq801-1ghlpk2ftgriq800-566c1101fcce7d6f-
"['Harvard University', '4.4']",http://www.harvard.edu/,"Application Developer, PeopleSoft","Cambridge, MA",$19.00 - $21.50 Per Hour(Employer est.),"Position Description
Harvard University Information Technology (HUIT) is a community of professionals committed to delivering service and technological solutions in support of teaching, learning, research and administration. Our mission is to make it easier for faculty, students, and staff to teach, research, learn, and work through the effective use of information technology. We are recruiting a workforce that has both breadth in their ability to collaborate and innovate across disciplines–and depth in specific areas of expertise. HUIT offers opportunities to learn and work in a unique technology landscape and service-focused environment. If you are a technically proficient, nimble, user-focused and accountable IT professional who also connects with the importance of collaborating well in a team environment we are looking for you!",9d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b9a09aeb94dc4f742a1fa0f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_99da6666&cb=1668252578326&jobListingId=1008252260340&jrtk=3-0-1ghlpk2fbgspq801-1ghlpk2ftgriq800-373d83c1c5b18c2b-
