Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['MCKESSON', '3.7']",http://www.mckesson.com/,Senior Software Developer - US Remote,"San Francisco, CA",$125K - $162K (Glassdoor est.),"McKesson requires new employees to be fully vaccinated for COVID-19 as defined by the CDC, subject to applicable, verified accommodation requests.
Join the fight against cancer.
Senior Software Developer
Backed by the strength of a Fortune 9 company (McKesson Corporation), Ontada® develops technologies used by the oncology community to deliver evidence-based, personalized care, as well as insights used by biopharma companies to accelerate drug development and support the entire treatment journey. We help Oncology providers make data-driven decisions, so patients have the best treatment options. Together with our partners, we are fighting against cancer and changing the lives of cancer patients.
$130,100 - $216,800",12d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018469bd12ce94118130ddbd5eaf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_023cc78e&cb=1668221329005&jobListingId=1008244128024&jrtk=3-0-1ghkrq4o9kuii801-1ghkrq4oqi3af800-96633faaea1b3b7f--6NYlbfkN0C6D6WZThmbXjRUxhEpMiiw4VuykEGX0bEYTY4zUG8M1evzbYlWD5WbmBCH5fHH2gnA4L8uP7gymVQvbgXKWXyD38WwUkzkqh7G782F94b_DekFxcDnCOIHQZuQKvCUf2FQrItnqFDTxjIpWH4LciYOF1EoU_WJqxD4w-Sj5TWyTPN8VW7mSQYNHxUkUZLADX-mtvdsstWlLEoRh0hFboBYmftKb80QxeawW7Y7VtOMi1oaWQDOR8CrKy9I_D5SE-jl5zcEivU0Go2STNYHMC45L5L3Kt8eGmBq9fW6ntYaFDrutuWNzFJNCtiBBrRC8odSXovn-EXdCUta3LZS23baP8G0at6hbSQ4-4ZA2jgMMiN2BiHBnfrKfFIEKU2wpJlfkj47Ao9vPQFR5TbFM_QfrFghr2w0WChBXzWf6nOoaxwC3med9tL1
"['MCKESSON', '3.7']",http://www.mckesson.com/,Senior Software Developer - US Remote,"San Francisco, CA",$125K - $162K (Glassdoor est.),"McKesson requires new employees to be fully vaccinated for COVID-19 as defined by the CDC, subject to applicable, verified accommodation requests.
McKesson Corporation is a Fortune 7 company and is one of the largest providers of healthcare supply chain management solutions, retail pharmacy, medical & pharmaceutical supplies, healthcare technology, community oncology and specialty care in the United States with revenues of $231 billion in 2020. The company was founded in 1833 by John McKesson and Charles Olcott in New York with a focus on importing and wholesaling pharmaceutical products. United by our ICARE shared principles, McKesson's 80,000 employees work together every day to make better care possible around the globe – one product, one partner, one patient at a time.
We take pride in our culture of connection and believe in a workplace where everyone can be their full, authentic self. We welcome and encourage veterans, individuals with disabilities and others with diverse perspectives to join our growing team. Your unique perspective and experience are valuable assets that can translate into a rewarding career path with us. Apply to join our team and help shape the future of healthcare!",4d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018469bd12ce94118130ddbd5eaf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_04332014&cb=1668221333355&jobListingId=1008261251095&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghkrq4o9kuii801-1ghkrq4oqi3af800-3f02401f044f34ea--6NYlbfkN0C6D6WZThmbXjRUxhEpMiiw4VuykEGX0bEYTY4zUG8M1evzbYlWD5WbmBCH5fHH2gmA1ffhtXIG6-PD7KXd-uzrO232M2ZvzziMeOlLq0MghTs2ZJBk8MZLafAeC_GZMOfSr2K7gSPganYF53KITo-yqfd3dNcNg4b8NqQBjcpxJdM3d8Aa4UebvoRRbLStFvUTfLo8ZC_jYhGrPhWvc9rxei66nHq-AzSuAIBG2cEb2q0FksHUFcU327nKESEGxb6wZj9p34Gkk3K4DH_xaLdUw-i3m4fJ3DVHGlAgz-nIMctRVCso_o164n6Wi8VGNh4vbU3EbZKBopbs43WumgsnfGVNpvbUTLw2rMqTZQLobqOV_RO_MUQrTD3V8jM-ZYTaz9G53ngxFjEs2_DLIepVJFgVSQfdTMPpsloiB4VKAfgXcBksHiD2QRUdptWV7NU%3D
"['MCKESSON', '3.7']",http://www.mckesson.com/,Senior Software Developer - US Remote,"San Francisco, CA",$125K - $162K (Glassdoor est.),"McKesson requires new employees to be fully vaccinated for COVID-19 as defined by the CDC, subject to applicable, verified accommodation requests.
McKesson Corporation is a Fortune 7 company and is one of the largest providers of healthcare supply chain management solutions, retail pharmacy, medical & pharmaceutical supplies, healthcare technology, community oncology and specialty care in the United States with revenues of $231 billion in 2020. The company was founded in 1833 by John McKesson and Charles Olcott in New York with a focus on importing and wholesaling pharmaceutical products. United by our ICARE shared principles, McKesson's 80,000 employees work together every day to make better care possible around the globe – one product, one partner, one patient at a time.
We take pride in our culture of connection and believe in a workplace where everyone can be their full, authentic self. We welcome and encourage veterans, individuals with disabilities and others with diverse perspectives to join our growing team. Your unique perspective and experience are valuable assets that can translate into a rewarding career path with us. Apply to join our team and help shape the future of healthcare!",4d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018469bd12ce94118130ddbd5eaf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b639a588&cb=1668221337430&jobListingId=1008261251186&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkrq4o9kuii801-1ghkrq4oqi3af800-7215be7914df22c9--6NYlbfkN0C6D6WZThmbXjRUxhEpMiiw4VuykEGX0bEYTY4zUG8M1evzbYlWD5WbmBCH5fHH2gmA1ffhtXIG62k_2UpEbSkW6f7D_pOSZoWB8iqyGOolc4lgqn8u4o326e1HOSXrOcN2IdL2fO_m9fwa6zpBxQ_s57BbvFZP1BebuO8xsI7ELVpyOEPRbnd4cBdzXXGxuAuTqiI-01ab6fGZomBauNPMNcZlx_74my29Td6Llj8lwAHOqUIYPdcxDoBmxPaCXTiExZNpMxlBMwdZCokqarjTcroJBwONKtvOx9bQldWjuxidkUS6Y5XRsN3-w8DXfkwGBwP4CaTNRumxs8_s3z0Fr5mvNp_3HBd5lm0mWO27HhhPjQJsBtHm2wEqAL-Tlfu916kh2imAltBf8K8jdN8RWH5j1ra2HCrbcCRb9OGgGO4EeCJvbZo8
"['MCKESSON', '3.7']",http://www.mckesson.com/,Senior Software Developer - US Remote,"San Francisco, CA",$125K - $162K (Glassdoor est.),"McKesson requires new employees to be fully vaccinated for COVID-19 as defined by the CDC, subject to applicable, verified accommodation requests.
McKesson Corporation is one of the largest providers of healthcare supply chain management solutions, retail pharmacy, medical & pharmaceutical supplies, healthcare technology, community oncology and specialty care in the United States with revenues of $231 billion in 2020. The company was founded in 1833 by John McKesson and Charles Olcott in New York with a focus on importing and wholesaling pharmaceutical products. United by our ICARE shared principles, McKesson's 80,000 employees work together every day to make better care possible around the globe – one product, one partner, one patient at a time.
We take pride in our culture of connection and believe in a workplace where everyone can be their full, authentic self. We welcome and encourage veterans, individuals with disabilities and others with diverse perspectives to join our growing team. Your unique perspective and experience are valuable assets that can translate into a rewarding career path with us. Apply to join our team and help shape the future of healthcare!",4d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018469bd12ce94118130ddbd5eaf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_48fbe3a8&cb=1668221340102&jobListingId=1008261251116&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkrq4o9kuii801-1ghkrq4oqi3af800-de5f7d38d610cbfa--6NYlbfkN0C6D6WZThmbXjRUxhEpMiiw4VuykEGX0bEYTY4zUG8M1evzbYlWD5WbmBCH5fHH2gmA1ffhtXIG61eY41grfa7Zw0vyEFMfiJ1qHr_9UHB_r1MW-ZL89d4qRRIOnDgCOdKOCHci8fCwfLBIgnruv_izgBHsj0_aMGGavh05WM-JB14dEnuOnKmpXqIt1pewt9r7qqbTb-IH4w-d-HzBMIcaXXc4xUveEudBybSlSur6eir9clxTWvEaFFH5G6ys06yDyIwSAsHD6KgeNzIdLcbOdMEg3Mj29xb2uQ87gEHNlvIkVvJliS2sfYBhiht_8BeaH9KonC-HH4z7J1KKnOCrgoKo9MLLBr7vtDy9ETihTn1jXlLs1QCSfbT39-z9sSaxpzjpwUiHEcTOz3MQx4d5Pgu1tLFdZH9lKfD6s2Zkj7SIWgxWjm5D
"['MCKESSON', '3.7']",http://www.mckesson.com/,Senior Software Developer - US Remote,"San Francisco, CA",$125K - $162K (Glassdoor est.),"McKesson requires new employees to be fully vaccinated for COVID-19 as defined by the CDC, subject to applicable, verified accommodation requests.
McKesson Corporation is a global leader in healthcare supply chain management solutions, retail pharmacy, community oncology and specialty care, and healthcare information solutions. McKesson partners with pharmaceutical manufacturers, providers, pharmacies, governments and other organizations in healthcare to help provide the right medicines, medical products and healthcare services to the right patients at the right time, safely and cost-effectively. United by our ICARE shared principles, our employees work every day to innovate and deliver opportunities that make our customers and partners more successful - all for the better health of patients. McKesson has been named a “Most Admired Company” in the healthcare wholesaler category by FORTUNE, a “Best Place to Work” by the Human Rights Campaign Foundation, and a topmilitary-friendly companyby Military Friendly. For more information, visitwww.mckesson.com.",12d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018469bd12ce94118130ddbd5eaf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ed103ff1&cb=1668221342960&jobListingId=1008244127933&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghkrq4o9kuii801-1ghkrq4oqi3af800-07242631aeba77af--6NYlbfkN0C6D6WZThmbXjRUxhEpMiiw4VuykEGX0bEYTY4zUG8M1evzbYlWD5WbmBCH5fHH2gnA4L8uP7gymSD7smVMdQjVfgUYuwCfKzXZHszD2466HGcvJCq7_nKtJn5GJvaGnyDsy4HI3F9u8M0m-CA1Wehi_22Oc4YWLCyLVZSzt1oKYAskZjuQ4sr53CXzDyCmhpexonoSqmwjkzrF7UkFy_uTimWLPBc5b6PFNSybXORWiIbtzm0qJ-JfL7C1r5mrhtCm0wzQOMnO_V_JBXfT-_7MUOce7CFJmjheXVd_id-OBNr3dzJcxZ673GeGqutyvF51U6tT48u382QA6RIh3tdcCLL_kYy691gEYrU5OtV3xyMdzxdNhBEQw_Pw1TUM7P4kGSLtUGT2MQrdm_GQDEiuhNm3ZckeusEbq6twyd5ofrXtJsXsJ6zJ-xnHgDQrHVk%3D
"['MCKESSON', '3.7']",http://www.mckesson.com/,Senior Software Developer - US Remote,"San Francisco, CA",$125K - $162K (Glassdoor est.),"McKesson requires new employees to be fully vaccinated for COVID-19 as defined by the CDC, subject to applicable, verified accommodation requests.
McKesson Corporation is a global leader in healthcare supply chain management solutions, retail pharmacy, community oncology and specialty care, and healthcare information solutions. McKesson partners with pharmaceutical manufacturers, providers, pharmacies, governments and other organizations in healthcare to help provide the right medicines, medical products and healthcare services to the right patients at the right time, safely and cost-effectively. United by our ICARE shared principles, our employees work every day to innovate and deliver opportunities that make our customers and partners more successful - all for the better health of patients. McKesson has been named a “Most Admired Company” in the healthcare wholesaler category by FORTUNE, a “Best Place to Work” by the Human Rights Campaign Foundation, and a top military-friendly company by Military Friendly. For more information, visit www.mckesson.com.",24h,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018469bd12ce94118130ddbd5eaf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cccd9c8b&cb=1668221344934&jobListingId=1008274170609&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghkrq4o9kuii801-1ghkrq4oqi3af800-d675952afad47ce7--6NYlbfkN0C6D6WZThmbXjRUxhEpMiiw4VuykEGX0bEYTY4zUG8M1evzbYlWD5WbmBCH5fHH2glyJvHbr1BcGEffHZxfr7q_Hv3IP5CdrcDDn1qinp0uRMd0O_gHmUFXxNxF26S7G-egXzsNk3SRxYQ61Jm1rnR7ZISORpWMUv2G6cB_72ZSFUzCi48zvJlN8Ty-6LsS_Tbiie5dBpIFzA_xdBvBXnooO2wA4voOyHKBXVZZtfwyVWGfuytO3QoZa8_YKal5PlRuHc-zTJzSv0dKu3cmGKbzgcdFF7Yug1m1x-WGpEUb2Sk925yAzNGarR4Ck6d8I2KbGtRNWaGIT4Jx8IJnR8V9lo8B7YmGBAL0-iip_J2Jx5tyh1bQ8U-rvPGvLOafe0ginj80InKElE8m5iXQ8oJPEY2uF4nAbADKw87uhnonWwwyyk38xkMM69p8iyjy8ls%3D
"['MCKESSON', '3.7']",http://www.mckesson.com/,Senior Software Developer - US Remote,"San Francisco, CA",$125K - $162K (Glassdoor est.),"McKesson requires new employees to be fully vaccinated for COVID-19 as defined by the CDC, subject to applicable, verified accommodation requests.

McKesson Corporation is a global leader in healthcare supply chain management solutions, retail pharmacy, community oncology and specialty care, and healthcare information solutions. McKesson partners with pharmaceutical manufacturers, providers, pharmacies, governments and other organizations in healthcare to help provide the right medicines, medical products and healthcare services to the right patients at the right time, safely and cost-effectively. United by our ICARE shared principles, our employees work every day to innovate and deliver opportunities that make our customers and partners more successful - all for the better health of patients. McKesson has been named a “Most Admired Company” in the healthcare wholesaler category by FORTUNE, a “Best Place to Work” by the Human Rights Campaign Foundation, and a top military-friendly company by Military Friendly. For more information, visit www.mckesson.com.",12d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018469bd12ce94118130ddbd5eaf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_40713bde&cb=1668221348733&jobListingId=1008244127735&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkrq4o9kuii801-1ghkrq4oqi3af800-c12c432c9b8a5a35--6NYlbfkN0C6D6WZThmbXjRUxhEpMiiw4VuykEGX0bEYTY4zUG8M1evzbYlWD5WbmBCH5fHH2gnA4L8uP7gymVmnkF4n8-3qI-2MZST11tkD81pcRtl7zg-z51p6YIEhu93CcHHvFyuOoUnR7vfxFZXNKb-I8Tfxfl3B7-omi7pz-ZunMW09pWR-5NLlYTc1W1umfpr0LNe2GmMrg1s8x_gwP2ymo8oRPX7DC_VLIjExIXXmEVTtvqWUni9xS_dYdUqRTgpYz9OFZqLkGgJpPtCL282wO5BJBgrgXBb-CMSNVLEHNcblywTO84CDtXnPFw0tGub43URtCbivohoXDZKWzpiSEXr6RaylLupT_sDpn8Sfov9KzC9d_Mkyofp-4p0_OzBCRDHaaWdxkRNgUW5DhmW2LYISGUrO8hhiiNX6YprNPoS43OrOEtabfhj1
"['MCKESSON', '3.7']",http://www.mckesson.com/,Senior Software Developer - US Remote,"San Francisco, CA",$125K - $162K (Glassdoor est.),"McKesson requires new employees to be fully vaccinated for COVID-19 as defined by the CDC, subject to applicable, verified accommodation requests.
McKesson is in the business of better health and we touch the lives of patients in virtually every aspect of healthcare. At Macro Helix, we are a leader in providing 340B software focused on helping customers improve financial performance, increase operating efficiencies, and maintain regulatory compliance.
Every single McKesson employee contributes to our mission—by joining McKesson you act as a catalyst in a chain of events that helps millions of people all over the globe. We understand the importance of a system that works together. You’ll collaborate on the products and solutions that help us carry out our mission to improve lives and advance healthcare. Your expertise, drive and passion can help us improve everything we touch, from providers to payors to pharmacies. Working here is your opportunity to shape an industry that’s vital to us all.",4d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018469bd12ce94118130ddbd5eaf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9dc8651b&cb=1668221351689&jobListingId=1008261251309&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkrq4o9kuii801-1ghkrq4oqi3af800-bc5df42419d9a267--6NYlbfkN0C6D6WZThmbXjRUxhEpMiiw4VuykEGX0bEYTY4zUG8M1evzbYlWD5WbmBCH5fHH2gmA1ffhtXIG6ye9ikRQc4wOZwO3G4Sr5GaknVj2EFY8_U60Yo2AjVZ5Jvb_jLlsB1gLP_2sVxpKW-0ePBLZM1ZKgVG5isn4seSqdyo-f0ZfNz_iXukrwrFgzXXfQZqnuoKS2zgrO8z3xmBVbzu8meyi19wvsGp5ZgxEoabt7NlV01I2QzEp-gIeMp1j7LtqqPco7WFB7_ybe-Wx_XQIOC4rsxOH4CNUJgxvptRqEeNdzGQbh_8DdAr2SHz0BNsCPOWizwcMsE0ni30wrMO-0svbR8TLg75iDOO01o1ZINjZfixsTwklu-80acvxDgPCWo9zVHD0rrBcW1KQ-OavXDg6Pmv6EpT-BxKjh2XnFHJHizOkWcxLh60D
"['MCKESSON', '3.7']",http://www.mckesson.com/,Senior Software Developer - US Remote,"San Francisco, CA",$125K - $162K (Glassdoor est.),"McKesson requires new employees to be fully vaccinated for COVID-19 as defined by the CDC, subject to applicable, verified accommodation requests.
McKesson is in the business of better health and we touch the lives of patients in virtually every aspect of healthcare. We partner with payors, hospitals, physician offices, pharmacies, pharmaceutical companies, and others across the spectrum of care to build healthier organizations that deliver better care to patients in every setting. We believe in the importance of strong, vital organizations because we know that patients can only be healthy when our system is healthy.
Every single McKesson employee contributes to our mission—by joining McKesson you act as a catalyst in a chain of events that helps millions of people all over the globe. Talented, compassionate people are the future of our company—and of healthcare. At McKesson, you’ll collaborate on the products and solutions that help us carry out our mission to improve lives and advance healthcare. Working here is your opportunity to shape an industry that’s vital to us all.",12d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018469bd12ce94118130ddbd5eaf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e7562a56&cb=1668221353937&jobListingId=1008244127969&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkrq4o9kuii801-1ghkrq4oqi3af800-65ccebfc24271be8--6NYlbfkN0C6D6WZThmbXjRUxhEpMiiw4VuykEGX0bEYTY4zUG8M1evzbYlWD5WbmBCH5fHH2gnA4L8uP7gymTaozbgJVwp-iEqWutcEVM4O9OSFz21Bq8_F1Iw0xlH2zFoVA3cNV6KvFGioUU17PRNw8zUF2scN539FhlAetUeDpfRr2VGtd93t2zv1kACqZIF3LsoeK2CQzB85dlHRTdvQ_WH-FZ86aV15MLo26JmIUXcNHpGN6nkvLtNMGK-7mEVAq1Uk8SuKbGVUo8WGz4BX2_78l46joR0Wtskvd5PRe0GSeH6yY-hMNHoQUvru0WfCaLOvVdn4BLPi3A-5yAdOqt7396lbwmQIl9-BlvggL8zEyhjOhEEAlIBNOWO5ZYlOfdesDzmoa6m6E0NZf2S2CgyDGMX2jMHpi0qBLpzuGaNHK8SGdj5rvIuIi9Pd
"['MCKESSON', '3.7']",http://www.mckesson.com/,Senior Software Developer - US Remote,"San Francisco, CA",$125K - $162K (Glassdoor est.),"McKesson requires new employees to be fully vaccinated for COVID-19 as defined by the CDC, subject to applicable, verified accommodation requests.
McKesson is seeking a Senior Software Engineer.
Supplylogix is a software company that develops and delivers practical supply chain intelligence solutions for pharmacy and related businesses. We are a small, highly skilled team that builds and maintains software which manages inventory for pharmacies nationwide. Being a small business unit in a larger corporation gives us the benefit of having a stable backbone, but the ability to react quickly to our clients’ requests. We have the experience, resources, vision, and passion to build great software that helps our clients achieve greater supply chain efficiency and improve patient satisfaction.
Key Responsibilities",24h,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018469bd12ce94118130ddbd5eaf&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e482fe56&cb=1668221355874&jobListingId=1008275074432&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkrq4o9kuii801-1ghkrq4oqi3af800-4f0c011f28953b07--6NYlbfkN0C6D6WZThmbXjRUxhEpMiiw4VuykEGX0bEYTY4zUG8M1evzbYlWD5WbmBCH5fHH2glS10mCmNYHFUffzkt7Mbea2d88wRIbLNDsNhjafmGy4-__apRe-ErMsHbFnzWctOOCJzNffcfZEuweSdssvX8Z23e8ZDjdqdyvGE6iwl8D-9_alH1xOBMuRRw0XR_p9osM65_t-jBcFkLw_fDBQ_mKPaR46hKvt195ic5PH5bwZv8DHF7eYxSDh4vxQ3V_biHQg8UWejt48LwUiDHjJLj1SOwoeav2RC_Bam7KJHPq63WFCnjfXEC6e_24JaZSRWkiPWtVuQycS95_VJRUfNpzPf3En3VqItJGUFrS2IwtKLP5qYTdnftSz97xAlhgXJ-ZtLqThs1q5j8gVBCY2mYiXUCFs6A_I5P20O2fvlc-vZ5p05nR7NzI
