Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['MAGID GLOVE & SAFETY MANUFACTURING CO, LLC', '3.8']",https://www.magidglove.com/,Full Stack Application Developer,"Romeoville, IL",$72K - $106K (Glassdoor est.),"What Matters at Magid? YOU do!

""The number one key to growth is having good people and that’s what has driven us at every stage of the game."" - Greg Cohen, CEO

At Magid we are passionate about keeping workers safe and proud of the innovative and collaborative environment we have created where diversity is celebrated, and growth never stops.",30d+,
"['T-Mobile', '3.8']",http://www.t-mobile.com/,Full Stack Application Developer,"Romeoville, IL",$72K - $106K (Glassdoor est.),"Be unstoppable with us!
T-Mobile is synonymous with innovation–and you could be part of the team that disrupted an entire industry! We reinvented customer service, brought real 5G to the nation, and now we’re shaping the future of technology in wireless and beyond. Our work is as exciting as it is rewarding, so consider the career opportunity below as your invitation to grow with us, make big things happen with us, above all, #BEYOU with us. Together, we won’t stop!
We’re searching for a Software Engineer, Full Stack, who can collaborate with a team of developers, product managers, and business units to architect, develop and maintain a variety of web applications to support our growing platform.

As our Full Stack Software Engineer, you will be responsible for the design, development, deployment, and maintenance of various products of our company. You will work on the backend as well as the front end of web apps. You will be responsible for the performance (both API optimization and front-end performance), analytics, and monitoring of the applications. You will contribute towards applications that optimize internal processes and efficiencies. Since you will be dealing with lots of data, you should be comfortable working with raw SQL queries and optimizing DB design for performance. You will collaborate with a team of engineers and product managers responsible for building new and supporting existing applications. You must ensure that coding standards are followed, and documentation is maintained. You must be obsessed with coding, sharp with logic, appreciative of business goals and workflows, and able to communicate with a wide variety of team members.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846c3d88a2b1f9dbec0ea1c2af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8a54def9&cb=1668263303675&jobListingId=1008189849908&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm3r26n2ape001-1ghm3r27cgsro800-44130f6a186bd3d1--6NYlbfkN0DQ26wr4AzmoNOeS9kS7NPMaLEmoS4rCSw65dkfRS7bcC5IvAh3917GgOGpouu4mP3LeL2xo56pdtBlpfxmL9sShj3mie0VHQWbh5Sq68oBxgzLiStF066VevQaLTwlcaoBLgQsem9PRl98fHI4XU_Wc2sh3AqAQP_jPZAGSkDkl82JILU2A0T7BVCrcfqf0udkediyqzJX9-qc6t-ztPCWjhhCqhqwc2ae6ORm4gx8xF85dZOzGNvOFTrv27R5oRJQvw5_y5Ft4wOX_fgbg0UWA7ymtpaxzUFKoeEyt-myoh5qXl9-_hCgygLjUKctgCOr6boB2cLQQ4gPbtNIGfM-KmDMSRdfxHZcsUouelSw_29-gNeBlwQG9d0tkMoJVdUie0dhA7sc3MDLFqMLmR4bVDhq_uI0VJW17sswnkJW4lkRjxjwcR4pw00-XKToIuLk2FZwp9C5mAJSeZqNFVV_RkMe7S_8Zanr7H2udtQoQK8FhKvAQW9_PZtvvZi66GiQNXUbIfflgf_B7FBKzqfQNvk-bSofRfylCTod51Hjvw-aBbRYaY9w3c0cKlkJVw1WG_ceVn7kwoXg0HSzMtQhzCUgaEb6BkxTTnlNPWWkFyr-LbR1eTNjtrBSjUioBd3JSvM5whNMM5Aq4N_FrwyD7CfXC2qV7l_TUm1hzqGFoXhvL1RqVm0lqN91G0AOfqOBLnEjL9j7p3_Fx__ZaJmiGu76GM9Vt67hys1drQdDFKzys2Db8SXZelncHK0nJ02ooOzvXB50nNjWzpF0ynVvd0ueyLLqFGW0z1bKxYpgyMWECUVKbToG5G3ORIITKzcrHAp74culBTIVPSeP7oSDLuiHF-LhFjQvaFZuVyZl3NqXFC3ul7J0fk0bXo8moffOu_p-vAxjl3GsTw1FUr904YnmPWy5PW9HPkfzdu1RTT8IzWjo1GSBJCZGHFX_LFoREy31EBTxUhwBfbMMlRs8fh4eFKqk72sGHI1H57aYiGe_Y1BJcMhxPg2iaiIFm5e6oZ066tFGnMjVaRMiI-0svCg4wJP0i1OB-GEGF-Yr6qv9xjTF-1NVYH3Ar12u1Ujgntf2zoXhhyxa80brqzNUmy6cX2avSk6uran_ayQ312c1pxyAIVOnoZm9uNuya0Qjv3WAzNND9STaG0lktUdbh-H1fMN79UrDrvCg-mX92t6OhGxYTw9f9H_gskm33BuYKuxn3J9sf_oxrfl1liyN9oqYtDcZxnokiy4787X6EHk0uMr1V_okR3OwGJiapEA9yuQ1O3GrGQ%3D%3D
"['Miles Partnership', '4.0']",http://www.milespartnership.com/,Full Stack Application Developer,"Romeoville, IL",$72K - $106K (Glassdoor est.),"Job Details
Level
Experienced
Job Location
Remote (FL) - City Flexible, FL
Remote Type
Fully Remote
Position Type",16d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846c3d88a2b1f9dbec0ea1c2af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_99519e9d&cb=1668263306671&jobListingId=1008235497402&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghm3r26n2ape001-1ghm3r27cgsro800-34002f5fdf1b1c92--6NYlbfkN0DZZkyOPtvMjqDDtN8rnR319N6rIpFNX56Vrt04YiHoO7_yTGbsIkeHxvA3z76OzwlnIlBVW3eqyDSsZbOgIB1xKtznr53yMEVhzrLz47bHSvyue8RleVpmTO8hFhZayMvM5Usv1xZiq5De6w4pJ1Tn4Wt0q9vjT4v5YAHisDK1j0r92rhAEUrPyMJSYTVNtnYc4zoghHGzatrdsO-7CNsbF340xYqgEGtZwD8MBqsGQd4i8uTCNc6WsED49BiWgi-GlPETY80h_M_x_EbrCZFEXV1N98gMpJbp-oUd3lv8SPpROSPrmAiUvdR9P9AYYLfI3Y-V-OXFD3yfxpE0m7L4wD8m6mX3lXw4batxolURUf_R-QG7OzsdG6QptVUqvRADuxYKP2iI6lNnq89y8E50D6VB9yIp-Sbh-WdsxUrIcmw7R64oLTE1nCRDY-HVYHp4F_YR2CAlmEeqd-t7-CaX3rvIkJ5icZvotFBH_EtR_KNSEr64f9xGxYZoxSlBjecTxnrEE8DwdCYsmfr-UpI19ZTXyYQQYFCzB6BrQdBJjDiFeA0Ac9-K_h7JqDzl9bU%3D
"['Roi Revolution Inc', '4.3']",http://www.roirevolution.com/,Full Stack Application Developer,"Romeoville, IL",$72K - $106K (Glassdoor est.),"Are you interested in joining a tightknit development team where you can play a major role in driving the growth of a cutting-edge digital marketing agency? Do you want to leverage your development skills to create robust productivity tools? If so, ROI Revolution has an opportunity for you!

How will you make a difference?

We are searching for a creative, passionate, and talented engineer to join our software development team. Our team participates in pair programming to help design, build, and scale our proprietary suite of tools. We develop new features and tools for use internally by our client services team to increase their efficiency, and to empower them to grow our clients’ online presence by integrating with major advertising platforms such as Google, Microsoft, and Amazon.
Our application suite leverages a variety of languages, frameworks, and tools such as TypeScript, Node, React, Ruby, Rails, VBA, Kubernetes, OAuth, BigQuery, AWS, and GCP. As part of the development team, you will work to maintain expert-level knowledge of these and upcoming technologies to stay on top of industry trends. If you have intense intellectual curiosity, are self-motivated and proactive, you’ll enjoy working every day on our development team!",30d+,
"['Amex', '4.3']",http://www.americanexpress.com/,Full Stack Application Developer,"Romeoville, IL",$72K - $106K (Glassdoor est.),"You Lead the Way. We’ve Got Your Back.

At American Express, we know that with the right backing, people and businesses have the power to progress in incredible ways. Whether we’re supporting our customers’ financial confidence to move ahead, taking commerce to new heights, or encouraging people to explore the world, our colleagues are constantly redefining what’s possible — and we’re proud to back each other every step of the way. When you join #TeamAmex, you become part of a diverse community of over 60,000 colleagues, all with a common goal to deliver an exceptional customer experience every day.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846c3d88a2b1f9dbec0ea1c2af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_429573e2&cb=1668263313755&jobListingId=1008130308912&jrtk=3-0-1ghm3r26n2ape001-1ghm3r27cgsro800-9de9aa485b8815f5-
"['FHI 360', '4.0']",http://www.fhi360.org/,Full Stack Application Developer,"Romeoville, IL",$72K - $106K (Glassdoor est.),"FHI 360 staff working in the United States are required to be fully vaccinated for COVID-19, regardless of the type of project or client they serve, or of their employment status (full/part-time, remote, telework, or in-office), unless an accommodation applies. FHI 360 complies with federal, state, and local laws with regard to accommodations related to this policy. Full vaccination is currently defined as two weeks after the second dose in a two-dose series, such as the Pfizer-BioNTech or Moderna vaccine, or two weeks after a single-dose vaccine, such as Johnson & Johnson’s Janssen vaccine. Booster doses are not required at this time.
Job Summary:
Analyzes the operations of a department or functional unit with the purpose of developing a general system or reporting solution to a business problem that may require automation. Specific business analyst duties include assessing the business data model, improving/streamlining business processes, and integrating technology, as needed, with the business functions. Specific activities may include participating in client needs assessments as well as evaluating platform feasibility and business and technical software requirements. Position is responsible for gathering business requirements, conducting data analysis, impact assessments to understand business and application/reporting implications. The technical/analytical portion of this work is to develop, design, test, validate and/or analyze technical solutions for clients through an appropriate blending of technical knowledge and business problem solving activities. This position will also provide training, guidance, resources and support to PBI or report superusers on ad-hoc and self-service report development and help support PBI administration and process improvement. May advise the client on improvement opportunities that solve business process and technical issues of varying complexities.",3d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846c3d88a2b1f9dbec0ea1c2af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_840ec2eb&cb=1668263316751&jobListingId=1008266608768&jrtk=3-0-1ghm3r26n2ape001-1ghm3r27cgsro800-578877b827660035-
"['UNITED PARCEL SERVICE', '3.5']",http://www.upsjobs.com/,Full Stack Application Developer,"Romeoville, IL",$72K - $106K (Glassdoor est.),"Senior Applications Developer - Remote Position
We’re the obstacle overcomers, the problem get-arounders. From figuring it out to getting it done…our innovative culture demands “yes and how!” We are UPS. We are the United Problem Solvers.
About Applications Development at UPS Technology:
Our Application Development teams use their expertise in programming languages and software design to develop next-generation technology. They are responsible for developing the applications which track and move up to 38 million packages in a single day (4.7 billion annually). This team works closely with all of our customers to build innovative technologies that are customized to drive our business and provide the ultimate customer experience. As a member of the applications development family, you will help UPS grow and provide valuable services across the globe.

UPS is an equal opportunity employer. UPS does not discriminate on the basis of race/color/religion/sex/national origin/veteran/disability/age/sexual orientation/gender identity or any other characteristic protected by law",13d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846c3d88a2b1f9dbec0ea1c2af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_09365c09&cb=1668263319967&jobListingId=1008242711600&jrtk=3-0-1ghm3r26n2ape001-1ghm3r27cgsro800-5bc2a59a02fff1c9-
"['Cornell University', '4.4']",https://hr.cornell.edu/jobs,Full Stack Application Developer,"Romeoville, IL",$72K - $106K (Glassdoor est.),"Cornell University embraces diversity and seeks candidates who will contribute to a climate that supports students, faculty and staff of all identities and backgrounds. We strongly encourage individuals from underrepresented and/or marginalized identities to apply.

As part of the university's
comprehensive vaccination program
, all Cornell employees are required to have and provide proof of an FDA-or WHO-authorized or approved COVID-19 primary vaccination or have obtained a university-approved disability/medical or religious exemption, regardless of their role and work location.
New hires are required to provide documentation showing primary vaccination status (that is, completion of two shots of the Moderna or Pfizer vaccine or one shot of the Janssen/Johnson & Johnson) before their first day of work. If a new hire's vaccination is not complete or information is not received by their start date, the first day of work will be delayed. It is possible in some cases that an offer of employment may be withdrawn.

Software Developer
Prog Analyst III - Band F
Research Administration Information Services


Prog Analyst III
Information Technology
F
Salary
$77,704.00 - $90,304.00
Endowed
Kristie Devine
1
2022-05-23-07:00",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846c3d88a2b1f9dbec0ea1c2af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_adaa3c76&cb=1668263321742&jobListingId=1007885954145&jrtk=3-0-1ghm3r26n2ape001-1ghm3r27cgsro800-27e1435627595f1f-
"['Rapid Response Monitoring', '4.6']",http://www.rrms.com/,Full Stack Application Developer,"Romeoville, IL",$72K - $106K (Glassdoor est.),"Role Summary
The Software Quality Assurance Analyst is responsible for both manual and automated test creation of company projects and initiatives, working closely with Software Engineering leaders and project leads reporting and communicating for releases to ensure high quality solutions. Additionally, this individual will gain an in-depth understanding of the business applications and product functionality to be tested, and then lead in the development, implementation and evaluation of test strategies, specifications, and models.
Responsibilities.
Execute or assure all levels of testing (System, Integration, Unit, and Regression) to detect and track defects, inconsistencies, and performance issues, with consistent standards across all technologies and platforms.",23d,
"['Dematic Corp.', '3.8']",http://www.dematicjobs.com/,Full Stack Application Developer,"Romeoville, IL",$72K - $106K (Glassdoor est.),"This is an exciting opportunity to join the team in our beautiful office in Atlanta, GA or remote. You’ll work with a great team to enhance our Digital software that hundreds of customers around the world use to manage building equipment, staff, renewable energy infrastructure and industrial machines used for material handling and manufacturing. You will work on major new software modules and features, quality improvements and performance optimizations, and integrations with live machine data through our big data pipeline.
What we offer:
What We Offer:
Career Development
Competitive Compensation and Benefits",18d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846c3d88a2b1f9dbec0ea1c2af&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5a283f3a&cb=1668263325954&jobListingId=1008231093196&jrtk=3-0-1ghm3r26n2ape001-1ghm3r27cgsro800-3d79a86e76ed132b-
