Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Molina Healthcare', '3.4']",http://careers.molinahealthcare.com/,"Architect, Info Systems - .Net Framework - Remote","Long Beach, CA",$80K - $157K (Employer est.),"JOB DESCRIPTION

Job Summary

Architects company specific systems and technology expertise across multiple infrastructure and development disciplines.

Applies and promotes key principles (e.g. stability, scalability, performance, security, compatibility, re-use), helping ensure a balance between tactical and strategic technology solutions. Considers business problems “end-to-end”: including people, process, and technology, both within and outside the enterprise, as part of any design solution. Promotes use of industry and enterprise technology standards. Monitors emerging technologies for potential application within or across the Corporation. Adheres to design and application development standards, methodology and, framework within Architectural compliance and governance.

KNOWLEDGE/SKILLS/ABILITIES

Industry specialist for one or more systems technologies.

Practices and leads solution architecture and applications design in adherence to SW development standards.

Architects and designs system solutions solving specific business or processing problem.

Gathers business requirements and develops conceptual design and architects solutions for multiple projects concurrently.

Works closely with business teams and other IT teams to align solutions with the enterprise strategic direction.

Builds relationship with IT leadership, technical teams (applications, infrastructure and others), vendors etc. to understand and solve problems.

Provides leadership and direction to the engineers in the team and across the enterprise.

Conducts peer review of other developers (internal and contract staff) to ensure standards and quality.

Responsible for quality deliveries for self and application engineers. Participates in build vs. buy evaluation process.

Leads architecture and design discussions in adherence to SW development standards.

Responsible to support the application system / service owner for system performance, budgeting and planning.

Responsible for application system stability and scalability related activities.

Responsible for alignment with project methodologies and change management processes.

Responsible to organize, manage and lead cross-team project tasks and deliverables.

Responsible for designing and building enterprise level application systems.

Responsible for presentations and solutions submitted to technical and business review committees.

Responsible for understanding the business area being supported by the team and the company's overall business.

Ownership to provide cross-organization teamwork, collaboration, communication and leadership.

Provides constructive feedback on people, process and technology for continuous improvement.

JOB QUALIFICATIONS

Required Education

Bachelor's Degree in relevant field

Required Experience

2+ years of hands-on technical implementation experience in IT Enterprise environments.

3-4 years of IT technical experience with IT enterprise infrastructure.

Preferred Education

Graduate Degree

If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.

$80,412.03 - $156,803.45 a year*",30d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a3bbe4cb06c1d843ad6b7ee&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6d38ed90&cb=1668229616953&jobListingId=1008201602887&jrtk=3-0-1ghl3nfjmj47j801-1ghl3nfkegrgv800-59e00fcae3659ce7-
"['Molina Healthcare', '3.4']",http://careers.molinahealthcare.com/,"Architect, Info Systems - .Net Framework - Remote","Long Beach, CA",$80K - $157K (Employer est.),"Job Description
Job Summary
Designs, develops, and communicates technology models and foundations used to run mobile applications, data, and infrastructure in support of one or more business processes. Applies and promotes key principles (e.g. stability, scalability, performance, security, compatibility, re-use), helping ensure a balance between tactical and strategic technology solutions. Considers business problems “end-to-end”: including people, process, and technology, both within and outside the enterprise, as part of any design solution. Promotes use of industry and enterprise technology standards. Monitors emerging technologies for potential application within or across the Corporation. Adheres to design and application development standards, methodology and, framework within Architectural compliance and governance.

Knowledge/Skills/Abilities

Experience developing native iOS Applications with Swift for iPhone and iPad
Job Qualifications

Required Education
Bachelor's Degree in relevant field
Required Experience
3-5 years Application Development Experience
Preferred Education
Master's Degree in Computer Science or Business Field
Preferred Experience
5-7 years, Healthcare Industry
Preferred License, Certification, Association
Microsoft Technologies, Mobility and ITIL

If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.

$66,456.22 - $129,589.63 a year*",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a3bbe4cb06c1d843ad6b7ee&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e2293eac&cb=1668229620797&jobListingId=1008167808884&jrtk=3-0-1ghl3nfjmj47j801-1ghl3nfkegrgv800-44c83236563e379e-
"['Molina Healthcare', '3.4']",http://careers.molinahealthcare.com/,"Engineer, Big Data - Remote","Long Beach, CA",$60K - $118K (Employer est.),"Job Description
Job Summary
Responsible for collecting, storing, processing, and analyzing large sets of data. The primary focus will be on choosing optimal solutions to use for these purposes, then maintaining, implementing, and monitoring them. He/she will also be responsible to follow architecture and best practices used across the enterprise.

Knowledge/Skills/Abilities
Define ideal Architecture, Evaluating tools and Frameworks, Standards & Best Practices for implementing scalable business solutions
Implement Batch and Real-time data ingestion/extraction processes through ETL, Streaming, API, etc., between diverse source and target systems with structured and unstructured datasets
Job Qualifications

Required Education
Bachelor's Degree
Required Experience
Preferred Education
Master's Degree
Preferred Experience
Experience in the healthcare industry is preferred

If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.

$60,414.75 - $117,808.76 a year*",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a3bee8e9cfe04ee35735ccc&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bf8231cf&cb=1668229629084&jobListingId=1007995020197&jrtk=3-0-1ghl3nrm2i3bv801-1ghl3nrmoimbd800-29412bdd639e7a50-
"['Molina Healthcare', '3.4']",http://careers.molinahealthcare.com/,Program Manager,"Long Beach, CA",$66K - $130K (Employer est.),"JOB DESCRIPTION

Job Summary

Responsible for internal business projects and programs involving department or cross-functional teams of subject matter experts, delivering products through the design process to completion. Plans and directs schedules as well as project budgets. Monitors the project from inception through delivery. May engage and oversee the work of external vendors. Assigns, directs and monitors system analysis and program staff. These positions' primary focus is project/program management, rather than the application of expertise in a specialized functional field of knowledge although they may have technical team members.

KNOWLEDGE/SKILLS/ABILITIES

Active collaborator with people who are responsible for internal business projects and programs involving department or cross-functional teams of subject matter experts, delivering products through the design process to completion.

Plans and directs schedules as well as project budgets.

Monitors the project from inception through delivery.

May engage and oversee the work of external vendors.

Primary focus is program/project management, rather than the application of expertise in a specialized functional field of knowledge although they may have technical team members.

Focuses on process improvement, organizational change management, program management and other processes relative to the business.

Leads and manages team in planning and executing business programs.

Serves as the subject matter expert in the functional area and leads programs to meet critical needs.

Communicates and collaborates with customers to analyze and transform needs and goals into functional requirements. Delivers the appropriate artifacts as needed.

Works with operational leaders within the business to provide recommendations on opportunities for process improvements.

Creates business requirements documents, test plans, requirements traceability matrix, user training materials and other related documentations.

Generate and distribute standard reports on schedule

JOB QUALIFICATIONS


Bachelor's Degree or equivalent combination of education and experience.


3-5 years of Program and/or Project management experience.

Operational Process Improvement experience.

Healthcare experience.

Experience with Microsoft Project and Visio

Excellent presentation and communication skills.

Experience partnering with different levels of leadership across the organization.

REQU I RED L I C E N S E, C E R TI FI C A T I O N , AS S O C I A TI O N :


Graduate Degree or equivalent combination of education and experience.


PR E FE R RED L I C E N S E, C E R TI FI C A T I O N , AS S O C I A TI O N :

If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.

$66,456.22 - $129,589.63 a year*",8d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a3c2940a0ae5817e76260fa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fef8b802&cb=1668229644651&jobListingId=1008254655420&jrtk=3-0-1ghl3oabvkui7801-1ghl3oad3209v000-b5fb1187d700ede8-
"['Molina Healthcare', '3.4']",http://careers.molinahealthcare.com/,Program Manager,"Long Beach, CA",$66K - $130K (Employer est.),"Job Summary

Responsible for internal quality improvement p rojects and programs involving department or cross-functional teams of subject matter experts. Develops and drives comprehensive quality intervention strategy in order to achieve key performance metrics and improve health outcomes. Monitor s, assesses, and tracks trends related to various outreach campaigns and identifies areas for improvement. May engage and oversee the work of external vendors. Supports Performance Improvement Projects and other regulatory projects as required by State and Federal agencies relative to line of business. This role is primarily focused on the Apple Health (Medicaid) population however may support Medicare and/or Marketplace initiatives.

KNOWLEDGE/SKILLS/ABILITIES

Extensive knowledge of interventions and population health management strategies and tactics, including integration of Social Determinants of Health in order to reduce health disparities

Effectively collaborates across departments and varying levels of leadership to support quality activities and hold team members accountable.

Ability to interpret outcome data, integrate into strategy and translate into action items for various audiences.

Focuses on quality improvement, specific to the design, management, implementation and evaluation of quality interventions.

May engage and oversee the work of external vendors or community-based partners .

Working knowledge of Medicaid Managed Care in WA State, HEDIS, CAHPS and Stars ratings.

Manage intervention workflows on behalf of the team; communicate changes internally and externally as needed

Serves as the subject matter expert in the functional area and leads programs to meet critical needs.

Communicates and collaborates with customers to analyze and transform needs and goals into functional requirements.

Works with operational leaders within the business to provide recommendations on opportunities for process improvements.

Creates business requirements documents, project plans, timelines, communication plans and other related documentation .


Bachelor's Degree or equivalent combination of education and experience.


3-5 years of Program and/or Project management experience in Quality Improvement .

Operational Process Improvement experience.

Healthcare experience.

Experience with Microsoft Project and Visio

Excellent presentation and communication skills.

Experience partnering with different levels of leadership across the organization.



Graduate Degree or equivalent combination of education and experience.



If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.

$66,456.22 - $129,589.63 a year*

#PJCorp

#LI-BEMORE",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a3c2940a0ae5817e76260fa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f50a887c&cb=1668229648466&jobListingId=1007989814090&jrtk=3-0-1ghl3oabvkui7801-1ghl3oad3209v000-5a4a2ca5c354f23e-
"['Molina Healthcare', '3.4']",http://careers.molinahealthcare.com/,Program Manager,"Long Beach, CA",$66K - $130K (Employer est.),"JOB DESCRIPTION

Job Summary

Responsible for internal business projects and programs involving department or cross-functional teams of subject matter experts, delivering products through the design process to completion. Plans and directs schedules as well as project budgets. Monitors the project from inception through delivery. May engage and oversee the work of external vendors. Assigns, directs and monitors system analysis and program staff. These positions' primary focus is project/program management, rather than the application of expertise in a specialized functional field of knowledge although they may have technical team members.

KNOWLEDGE/SKILLS/ABILITIES

Active collaborator with people who are responsible for internal business projects and programs involving department or cross-functional teams of subject matter experts, delivering products through the design process to completion.

Plans and directs schedules as well as project budgets.

Monitors the project from inception through delivery.

May engage and oversee the work of external vendors.

Primary focus is program/project management, rather than the application of expertise in a specialized functional field of knowledge although they may have technical team members.

Focuses on process improvement, organizational change management, program management and other processes relative to the business.

Leads and manages team in planning and executing business programs.

Serves as the subject matter expert in the functional area and leads programs to meet critical needs.

Communicates and collaborates with customers to analyze and transform needs and goals into functional requirements. Delivers the appropriate artifacts as needed.

Works with operational leaders within the business to provide recommendations on opportunities for process improvements.

Creates business requirements documents, test plans, requirements traceability matrix, user training materials and other related documentations.

Generate and distribute standard reports on schedule

JOB QUALIFICATIONS


Bachelor's Degree or equivalent combination of education and experience.


3-5 years of Program and/or Project management experience.

Operational Process Improvement experience.

Healthcare experience.

Experience with Microsoft Project and Visio

Excellent presentation and communication skills.

Experience partnering with different levels of leadership across the organization.

REQU I RED L I C E N S E, C E R TI FI C A T I O N , AS S O C I A TI O N :


Graduate Degree or equivalent combination of education and experience.


PR E FE R RED L I C E N S E, C E R TI FI C A T I O N , AS S O C I A TI O N :

If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.

$66,456.22 - $129,589.63 a year*",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a3c2940a0ae5817e76260fa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cd344022&cb=1668229650318&jobListingId=1008130700977&jrtk=3-0-1ghl3oabvkui7801-1ghl3oad3209v000-9bfbddf03e323ade-
"['Molina Healthcare', '3.4']",http://careers.molinahealthcare.com/,Program Manager,"Long Beach, CA",$66K - $130K (Employer est.),"JOB DESCRIPTION

Job Summary

Molina Healthcare is hiring for a Program Manager, Healthcare Implementation . This role can be worked remotely from a variety of locations within the US.

This position will be joining the Corporate Enrollment Implementation team, the role’s responsibilities include but not limited to : representing enrollment operations in projects and oversee Enrollment implementations, review contracts and ensure requirements are implemented by the project team, review and approve requirements documents, participate in solution definition, provide guidance and directions to the project team, coordinate cross-functional discussions and efforts, create reports and or timelines.

Highly desired experience includes the following- Managed Care experience, Program Management experience, business analysis, project management experience, SQL, Medicare, Medicaid knowledge, Agile project, experience in healthcare implementations.

KNOWLEDGE/SKILLS/ABILITIES

Responsible for internal business projects and programs involving department or cross-functional teams of subject matter experts, delivering products through the design process to completion. Plans and directs schedules as well as project budgets. Monitors the project from inception through delivery. May engage and oversee the work of external vendors. Assigns, directs and monitors system analysis and program staff. These positions' primary focus is project/program management, rather than the application of expertise in a specialized functional field of knowledge although they may have technical team members.

Active collaborator with people who are responsible for internal business projects and programs involving department or cross-functional teams of subject matter experts, delivering products through the design process to completion.

Plans and directs schedules as well as project budgets.

Monitors the project from inception through delivery.

May engage and oversee the work of external vendors.

Primary focus is program/project management, rather than the application of expertise in a specialized functional field of knowledge although they may have technical team members.

Focuses on process improvement, organizational change management, program management and other processes relative to the business.

Leads and manages team in planning and executing business programs.

Serves as the subject matter expert in the functional area and leads programs to meet critical needs.

Communicates and collaborates with customers to analyze and transform needs and goals into functional requirements. Delivers the appropriate artifacts as needed.

Works with operational leaders within the business to provide recommendations on opportunities for process improvements.

Creates business requirements documents, test plans, requirements traceability matrix, user training materials and other related documentations.

Generate and distribute standard reports on schedule .

JOB QUALIFICATIONS

Bachelor's Degree or equivalent combination of education and experience.
Graduate Degree or equivalent combination of education and experience.


3-5 years of Program and/or Project management experience.

Operational Process Improvement experience.

Healthcare experience.

Experience with Microsoft Project and Visio

Excellent presentation and communication skills.

Experience partnering with different levels of leadership across the organization.


5-7 years of Program and/or Project management experience

Managed Care experience

Experience working in a cross functional highly matrixed organization.

PMP, Six Sigma Green Belt, Six Sigma Black Belt Certification and/or comparable coursework desired.

If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.

Same Posting Description for Internal and External Candidates

$66,456.22 - $129,589.63 a year*",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a3c2940a0ae5817e76260fa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1fc3e004&cb=1668229653099&jobListingId=1008191618840&jrtk=3-0-1ghl3oabvkui7801-1ghl3oad3209v000-c1e8b0cc443cf63e-
"['Molina Healthcare', '3.4']",http://careers.molinahealthcare.com/,Program Manager,"Long Beach, CA",$66K - $130K (Employer est.),"Job Description

Program Manager with strong analytic, detail oriented and organizational skills. Responsible for Enrollment internal business projects and programs involving department or cross-functional teams of subject matter experts, delivering products though the design process to completion. This unique role requires a candidate who is a hybrid between Program Manager, Sr Business Analyst and Systems Analyst. Big picture and proactive process thinking will be key to the success of this role.

Knowledge/Skills/Abilities

This position primarily focuses on project/program management related to the business for overall process improvement, organizational change management, program management and other processes relative to the business.

Responsibilities include troubleshooting, analyzing, planning and project management to resolution, including post monitoring

Subject matter expert of enrollment processes (i.e..834, ID cards, DTRR’s, Premium Billing, extracts) with ability to provide knowledge and feedback to ensure regulatory and business needs are addressed in projects, health plan initiatives, or any other process impacting enrollment

Liaison between the Operations Team and IT

Ability to identify upstream and downstream impacts

Ability to successfully support 15-20 assignments and provide weekly status updates

Drives assignments and remove hurdles independently to meet planned deliverables

Reviews requirements related to assignments for complete understanding of request

Communicates and collaborates with customers to analyze and transform needs and goals into functional requirements

Coordinates and provides guidance to assigned business analyst

Manages project from inception through delivery. May engage and oversee the work of external vendors.

Manages, builds timelines, and communicates status for 20-27 assignments simultaneously

Responsible for meeting weekly with customer and sharing status of request within scope of work

Reviews, and approves test cases for projects to support first resolution by avoiding introducing defects into production

Candidate must be able to independently resolve issues and remove hurdles

Candidate must be self-sufficient, utilize resources and articulate findings

Identify root cause, function and process improvement opportunities that are critical to effective outcome, thinking of upstream and downstream impacts

Strong leadership skills with the ability to bring the right resources together and drive a solution

Responsible for identifying changes that will improve key enrollment metrics, resulting in realized benefits

Strong business knowledge related to Molina lines of business, with particular knowledge for Marketplace and or Medicare

Knowledge related to CMS regulations, reporting requirements, and member material requirements is required

Job Qualifications

Required Education

Required Experience

Candidate needs at least 2 years’ experience within healthcare industry, preferably enrollment

Knowledge of enrollment files, including extracts

Project Management Experience

Sr. Business or System Analyst experience

Proven process Improvement Experience

Preferred Education

Graduate Degree or equivalent combination of education and experience

Preferred Experience

3-5 years within healthcare industry, preferably enrollment.

Intermediate SQL

Knowledge related to enrollment & eligibility, ID cards, PCP Assignment, Member Materials

Medicare knowledge

Preferred License, Certification, Association
If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.

$66,456.22 - $129,589.63 a year*",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a3c2940a0ae5817e76260fa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_219b1b4d&cb=1668229655995&jobListingId=1008073471576&jrtk=3-0-1ghl3oabvkui7801-1ghl3oad3209v000-3118bb2fd15f807e-
"['Molina Healthcare', '3.4']",http://careers.molinahealthcare.com/,Program Manager,"Long Beach, CA",$66K - $130K (Employer est.),"JOB DESCRIPTION

Job Summary

Responsible for internal business projects and programs involving department or cross-functional teams of subject matter experts, delivering products through the design process to completion. Plans and directs schedules as well as project budgets. Monitors the project from inception through delivery. May engage and oversee the work of external vendors. Assigns, directs, and monitors system analysis and program staff. These positions' primary focus is project/program management, rather than the application of expertise in a specialized functional field of knowledge although they may have technical team members. A background in analytics/SQL is preferred. HEDIS experience preferred.

KNOWLEDGE/SKILLS/ABILITIES

Manages people who lead teams in planning and executing business programs. Assigns and monitors work of program management staff providing support and direction.

Serves as the subject matter expert to Program Managers and in functional areas; leads programs to meet critical needs.

Communicates and collaborates with customers to analyze and transform needs and goals into functional requirements.

Works with operational leaders within the business to provide recommendations on opportunities for process improvements.

Creates business requirements documents, test plans, requirements traceability matrix, user training materials and other related documentations.

Develops, defines, and executes plans, schedules, and deliverables. Monitors programs from initiation through delivery.

JOB QUALIFICATIONS

Required Education

Bachelor's Degree or equivalent combination of education and experience

Required Experience

7-9 years

Required License, Certification, Association

PMP Certification (and/or comparable coursework)

Preferred Education

Graduate Degree or equivalent combination of education and experience

SQL experience preferred

Preferred Experience

10+ years

Preferred License, Certification, Association

Six Sigma Black Belt Certification, ITIL Certification desired

If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.

$73,101.84 - $142,548.59 a year*",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a3c2940a0ae5817e76260fa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_28c0af15&cb=1668229657759&jobListingId=1008113607429&jrtk=3-0-1ghl3oabvkui7801-1ghl3oad3209v000-3e3396d7ad593f63-
"['Molina Healthcare', '3.4']",http://careers.molinahealthcare.com/,Program Manager,"Long Beach, CA",$66K - $130K (Employer est.),"JOB DESCRIPTION

Ideal candidate will be a Marketplace SME, have experience managing inventory, service levels, and Vendors.

Job Summary

Responsible for internal business projects and programs involving department or cross-functional teams of subject matter experts, delivering products through the design process to completion. Plans and directs schedules as well as project budgets. Monitors the project from inception through delivery. May engage and oversee the work of external vendors. Assigns, directs and monitors system analysis and program staff. These positions' primary focus is project/program management, rather than the application of expertise in a specialized functional field of knowledge although they may have technical team members.

KNOWLEDGE/SKILLS/ABILITIES

Active collaborator with people who are responsible for internal business projects and programs involving department or cross-functional teams of subject matter experts, delivering products through the design process to completion.

Plans and directs schedules as well as project budgets.

Monitors the project from inception through delivery.

May engage and oversee the work of external vendors.

Primary focus is program/project management, rather than the application of expertise in a specialized functional field of knowledge although they may have technical team members.

Focuses on process improvement, organizational change management, program management and other processes relative to the business.

Leads and manages team in planning and executing business programs.

Serves as the subject matter expert in the functional area and leads programs to meet critical needs.

Communicates and collaborates with customers to analyze and transform needs and goals into functional requirements. Delivers the appropriate artifacts as needed.

Works with operational leaders within the business to provide recommendations on opportunities for process improvements.

Creates business requirements documents, test plans, requirements traceability matrix, user training materials and other related documentations.

Generate and distribute standard reports on schedule

JOB QUALIFICATIONS


Bachelor's Degree or equivalent combination of education and experience.


3-5 years of Program and/or Project management experience.

Operational Process Improvement experience.

Healthcare experience.

Experience with Microsoft Project and Visio

Excellent presentation and communication skills.

Experience partnering with different levels of leadership across the organization.

REQU I RED L I C E N S E, C E R TI FI C A T I O N , AS S O C I A TI O N :


Graduate Degree or equivalent combination of education and experience.


PR E FE R RED L I C E N S E, C E R TI FI C A T I O N , AS S O C I A TI O N :

If you are interested in applying for this position, please apply through the intranet job listing.

Molina Healthcare offers a competitive benefits and compensation package. Molina Healthcare is an Equal Opportunity Employer (EOE) M/F/D/V.

$66,456.22 - $129,589.63 a year*",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a3c2940a0ae5817e76260fa&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ef694a9b&cb=1668229659593&jobListingId=1008176798480&jrtk=3-0-1ghl3oabvkui7801-1ghl3oad3209v000-e685c51ce047cce4-
