Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Mondelēz International', '4.0']",http://www.mondelezinternational.com/,QA Engineering Practice Lead,"East Hanover, NJ",$124K - $178K (Glassdoor est.),"Job Description
Are You Ready to Make It Happen at Mondelēz International?
Join our Mission to Lead the Future of Snacking. Make It Uniquely Yours.
About This Role
This is a fantastic opportunity for a highly enthusiastic, experienced, and driven QA Engineering Practice Lead to make a real impact in defining Mondelez’s QA Engineering Strategy and continuing to build out the test automation framework within this business. With full accountability for QA Strategy and Automation you will be looked upon as an expert in this field, someone who will help identify, select, and develop appropriate automation tools and frameworks we use moving forward, applying the latest techniques and evaluating the latest technologies.
Regular
Software & Applications
Technology & Digital",18d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a362674b360b847f02af8b7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6efe0d5c&cb=1668229249911&jobListingId=1008230606663&jrtk=3-0-1ghl3c9ksma5k801-1ghl3c9lcimbd800-59a1121c73cf4246-
"['Mondelēz International', '4.0']",http://www.mondelezinternational.com/,QA Engineering Practice Lead,"East Hanover, NJ",$124K - $178K (Glassdoor est.),"Job Description
Are You Ready to Make It Happen at Mondelēz International? Join our Mission to Lead the Future of Snacking. Make It With Pride.
You will manage the delivery of all HSE activities in a manufacturing facility or commercial areas (offices, Sales, Warehouses) , including standards & procedures, capability processes, reporting, compliance and audit.
That means you will define and review standards and legislation applicable to site, validate design for HSE into projects and modifications, and support defined work processes (e.g. IIM pillar) to improve HSE application and effectiveness. Also, you will map all applicable legislation and internal standards, ensure ongoing compliance and manage relationship with legal department and local authorities. You will maintain all HSE regulatory requirements for plant
Regular
Health, Safety & Environment
Manufacturing",17d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a362674b360b847f02af8b7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0ef31a12&cb=1668229253737&jobListingId=1008233212951&jrtk=3-0-1ghl3c9ksma5k801-1ghl3c9lcimbd800-b0ffcff901bd51d8-
"['Mondelēz International', '4.0']",http://www.mondelezinternational.com/,QA Engineering Practice Lead,"East Hanover, NJ",$124K - $178K (Glassdoor est.),"Job Description
Are You Ready to Make It Happen at Mondelēz International?
Join our Mission to Lead the Future of Snacking. Make It Uniquely Yours.
As a senior DevOps Engineer you will be expected to take a major role in designing, building and supporting our platforms products and capabilities to the enterprise. The role has a deep software engineering focus and is responsible for providing a world class, enterprise ready competitively differentiating DevOps technology capability for Mondelez. You will be expected to be able to contribute along our stack, ranging from our cloud platforms to our on premise monolithic platforms and developer offerings.
Regular
Software & Applications
Technology & Digital",18d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a362674b360b847f02af8b7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5f972a5b&cb=1668229256459&jobListingId=1008230606658&jrtk=3-0-1ghl3c9ksma5k801-1ghl3c9lcimbd800-bb65be6a1c52c3b3-
"['Mondelēz International', '4.0']",http://www.mondelezinternational.com/,QA Engineering Practice Lead,"East Hanover, NJ",$124K - $178K (Glassdoor est.),"Job Description
Are You Ready to Make It Happen at Mondelēz International?
Join our Mission to Lead the Future of Snacking. Make It With Pride.
In this leadership role, you serve as a senior technical resource for the organization, regularly interacting with other senior managers. You are an internally recognized expert in packaging development and packaging engineering. In this role, you identify, define and solve complex business problems by applying broad technical and consumer knowledge as well as an in-depth understanding of packaging technologies related to Mondelēz products.
How you will contribute

Regular
Packaging Development & Engineering
Science & Engineering",25d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a362674b360b847f02af8b7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7b0591a0&cb=1668229260285&jobListingId=1008213108544&jrtk=3-0-1ghl3c9ksma5k801-1ghl3c9lcimbd800-f39646ca025cdc8a-
"['Mondelēz International', '4.0']",http://www.mondelezinternational.com/,"Safety, Environmental and Health Specialist","Chicago, IL",$57K - $88K (Glassdoor est.),"Job Description
Are You Ready to Make It Happen at Mondelēz International? Join our Mission to Lead the Future of Snacking. Make It With Pride.
You will manage the delivery of all HSE activities in a manufacturing facility or commercial areas (offices, Sales, Warehouses) , including standards & procedures, capability processes, reporting, compliance and audit.
That means you will define and review standards and legislation applicable to site, validate design for HSE into projects and modifications, and support defined work processes (e.g. IIM pillar) to improve HSE application and effectiveness. Also, you will map all applicable legislation and internal standards, ensure ongoing compliance and manage relationship with legal department and local authorities. You will maintain all HSE regulatory requirements for plant
Regular
Health, Safety & Environment
Manufacturing",17d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a3674708cbc589e4d4a17ea&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_220f85da&cb=1668229270972&jobListingId=1008233212951&jrtk=3-0-1ghl3ct55ma6j801-1ghl3ct5mi14k800-b0ffcff901bd51d8-
"['Mondelēz International', '4.0']",http://www.mondelezinternational.com/,Data Ingestion Lead,"East Hanover, NJ",,"Job Description
Are You Ready to Make It Happen at Mondelēz International?
Join our Mission to Lead the Future of Snacking. Make It Possible.
You will have the opportunity to make an big impact on our business performance as you support the data strategy and lead the development of custom models/algorithms. Working in close partnership with the business leadership team, you will manage the vision and agenda for business analytics in your area of responsibility.
How you will contribute
You will:
Regular
Analytics & Modelling
Analytics & Data Science",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a369569ae51550ecba9c94f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f754703e&cb=1668229278210&jobListingId=1007471600838&jrtk=3-0-1ghl3d5cm28df001-1ghl3d5dfi15p800-5ae9e93130c55436-
"['Mondelēz International', '4.0']",http://www.mondelezinternational.com/,Sr. Consumer Scientist I,"East Hanover, NJ",$67K - $99K (Glassdoor est.),"Job Description
Are You Ready to Make It Happen at Mondelēz International?
Join our Mission to Lead the Future of Snacking. Make It With Pride.
Under the indirect supervision of a manager, you plan and organize cross-functional projects and develop consumer-centric objectives and strategies in response to business needs. You also interact independently with senior management and stakeholders.
How you will contribute
You will deliver on single or multi-stage complex projects, meeting standards and time frames by designing research and producing quality, actionable data. You will lead all aspects of qualitative and quantitative consumer research and ensure that the data gleaned is translated into a cohesive story. To that end, you will interpret results, report and present findings, and make recommendations that contribute to decision making. In this role, you may also lead descriptive panels, training, data analysis, reporting and assess panelist’s performance, interact with your peers, junior developers/marketing and other colleagues, and may take on supervisory responsibility when completing assignments. This role requires and understanding and the application of multivariate statistical methods to gain deeper understanding and insights from the research. Teamwork is essential in this position because you will participate on teams where new methodologies and capabilities are evaluated, proposed and implemented. You will partner with key stakeholders (R&D and commercial/insights) to ensure that the work is aligned with strategic priorities and ensure that procedures are followed and the highest standards of work and environment, health and safety are maintained.
Regular
Consumer Science
Science & Engineering",21d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a36b59e88f5b199ddb744a5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_50ef2549&cb=1668229286459&jobListingId=1008224023428&jrtk=3-0-1ghl3ddeaj4gt801-1ghl3ddeqj46m801-e982e3319a01f1e2-
"['International Data Group, Inc.', '3.4']",http://foundryco.com/,Sr. Consumer Scientist I,"East Hanover, NJ",$67K - $99K (Glassdoor est.),"Overview:
IDC is seeking a Research Vice President (RVP) covering Storage, Converged, Hyperconverged and Composable Infrastructure. Reporting to the GVP/GM for the Infrastructure Systems, Platforms and Technologies and Buyer View Group, the RVP will be a key face of IDC’s market intelligence and advisory services on Enterprise IT and Cloud Infrastructure. We are looking for candidates with the experience and skills needed to help IDC’s clients bring innovative infrastructure products and services to market. The RVP will have a broad and in-depth knowledge of the enterprise IT and cloud infrastructure industry with a specific focus on Systems, Platforms and Technologies, Vendor landscape, and Use cases and workloads.

A successful RVP will become an important member within a team of industry experts and will be looked upon as a frequent contributor to IDC’s enterprise and cloud IT infrastructure services research.



Responsibilities:
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a36b59e88f5b199ddb744a5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_64fad3a6&cb=1668229289314&jobListingId=1008172255307&jrtk=3-0-1ghl3ddeaj4gt801-1ghl3ddeqj46m801-20157abde6ec8f50-
"['International Data Group, Inc.', '3.4']",http://foundryco.com/,Sr. Consumer Scientist I,"East Hanover, NJ",$67K - $99K (Glassdoor est.),"Overview:
IDC is seeking a Research Manager who will be responsible for covering the ongoing trends, opportunities, and competitive landscape in the Unified Communications & Collaboration (UC&C) market. IDC's Worldwide Unified Communications team within the Network and Telecommunications Group is looking for an individual who is deeply knowledgeable on the UC&C market. Knowledge of UC&C technologies and strategies should include familiarity of current trends, major providers in the hardware, software and as-a-service subsegments of the UC&C market, including on-prem and cloud-based solutions, as well as be familiar with the role that UCaaS Service providers play in this segment.

This position carries the expectation the individual will author a mix of shorter industry-event reactive pieces as well as lengthier market trend and thought leadership documents that provide deeper insight into the changing nature of the market. The ability to build relationships with vendors and to reach out to industry representatives proactively is critical. This position will possibly support forecasts and quantitative deliverables in the future.



Responsibilities:
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a36b59e88f5b199ddb744a5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a8db1983&cb=1668229293069&jobListingId=1008172255304&jrtk=3-0-1ghl3ddeaj4gt801-1ghl3ddeqj46m801-8ff961a66e21de97-
"['International Data Group, Inc.', '3.4']",http://foundryco.com/,Sr. Consumer Scientist I,"East Hanover, NJ",$67K - $99K (Glassdoor est.),"Overview:
IDC is seeking a Research Vice President, Communications Service Provider Operations for our Worldwide Network and Telecommunications group. The dynamic individual, being knowledgeable about IT operations in the Telecom and Communications SP segment, will be responsible for the market research agenda and consulting as it relates to ongoing technology and digital transformation amongst service providers. Domain knowledge of OSS/BSS, service assurance, fulfillment, orchestration and monetization domains especially as they relate to the ongoing telecom operations transformation initiatives is a key requirement for this position.

Digital transformation and a rapidly changing competitive landscape is motivating service providers to evolve faster than ever before, while embracing many of the learnings from cloud and network virtualization, including the ability to leverage open source across the infrastructure stack. Providing thought leadership around these industry shifts, what these mean to operators and vendors, and substantiating with quantitative and qualitative analysis is a key to the success of this position.



Responsibilities:
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a36b59e88f5b199ddb744a5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_75600b1e&cb=1668229295861&jobListingId=1008034166234&jrtk=3-0-1ghl3ddeaj4gt801-1ghl3ddeqj46m801-f1fe5e210e0046ff-
