Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Murphy USA', '3.2']",http://www.murphyusa.com/,Quality Assurance Automation Engineer (I-III),"El Dorado, AR",,"The Quality Assurance (QA) Automation Engineer I will be responsible for leveraging industry standard tools in the development of significant test automation to ensure the functional operation of Murphy USA's mission critical Applications. This position will work closely with all members of the BSM, BA, QA, Administration, Development, Support and Deployment teams and be responsible for ensuring quality in software products.

Essential duties

Develop supporting test plans and implement a strategy for creating and maintaining reusable test data.
Create and implement automated testing of web applications across multiple web browsers and platforms.
Develop, maintain and execute automated test scripts for requirement validation, integration, regression, performance and usability testing.
Collect performance requirements, along with developing the appropriate performance test work products (test strategies, plans, scenarios and scripts).
Support and maintain quality related metrics like unit test coverage, testing progress.
Collaborate with project managers, solution analysts, the Quality Assurance team and developers on project and application-level test automation. Help identifying candidates for inclusion in test automation.
Perform any other related duties as required or assigned.
EDUCATION AND EXPERIENCE
Broad knowledge of such fields as accounting, marketing, business administration, finance, etc. Equivalent to a four year college degree, plus 0 to 6 months related experience and/or training, or equivalent combination of education and experience.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7a19c999436a0196cb50da&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e39b1923&cb=1668233703518&jobListingId=1007988003932&jrtk=3-0-1ghl7k6fnklur801-1ghl7k6g821v4000-d404f94397cc88e4-
"['Murphy USA', '3.2']",http://www.murphyusa.com/,Quality Assurance Automation Engineer (I-III),"El Dorado, AR",,"The Quality Assurance (QA) Automation Engineer I will be responsible for leveraging industry standard tools in the development of significant test automation to ensure the functional operation of Murphy USA's mission critical Applications. This position will work closely with all members of the BSM, BA, QA, Administration, Development, Support and Deployment teams and be responsible for ensuring quality in software products.

Essential duties

Develop supporting test plans and implement a strategy for creating and maintaining reusable test data.
Create and implement automated testing of web applications across multiple web browsers and platforms.
Develop, maintain and execute automated test scripts for requirement validation, integration, regression, performance and usability testing.
EDUCATION AND EXPERIENCE
Broad knowledge of such fields as accounting, marketing, business administration, finance, etc. Equivalent to a four year college degree, plus 0 to 6 months related experience and/or training, or equivalent combination of education and experience.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a7a19c999436a0196cb50da&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7c68cb10&cb=1668233707124&jobListingId=1007849339824&jrtk=3-0-1ghl7k6fnklur801-1ghl7k6g821v4000-f4524c9e2377bd93-
"['Murphy USA', '3.2']",http://www.murphyusa.com/,Quality Assurance Automation Engineer (I-III),"El Dorado, AR",,"The Quality Assurance (QA) Automation Engineer I will be responsible for leveraging industry standard tools in the development of significant test automation to ensure the functional operation of Murphy USA's mission critical Applications. This position will work closely with all members of the BSM, BA, QA, Administration, Development, Support and Deployment teams and be responsible for ensuring quality in software products.

Essential duties

Develop supporting test plans and implement a strategy for creating and maintaining reusable test data.
Create and implement automated testing of web applications across multiple web browsers and platforms.
Develop, maintain and execute automated test scripts for requirement validation, integration, regression, performance and usability testing.
Collect performance requirements, along with developing the appropriate performance test work products (test strategies, plans, scenarios and scripts).
Support and maintain quality related metrics like unit test coverage, testing progress.
Collaborate with project managers, solution analysts, the Quality Assurance team and developers on project and application-level test automation. Help identifying candidates for inclusion in test automation.
Perform any other related duties as required or assigned.
EDUCATION AND EXPERIENCE
Broad knowledge of such fields as accounting, marketing, business administration, finance, etc. Equivalent to a four year college degree, plus 0 to 6 months related experience and/or training, or equivalent combination of education and experience.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7a471dabe8400b24436e21&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b51fc6dc&cb=1668233714497&jobListingId=1007988003932&jrtk=3-0-1ghl7khqpjm4g801-1ghl7khrai9hg800-d404f94397cc88e4-
"['Murphy USA', '3.2']",http://www.murphyusa.com/,Quality Assurance Automation Engineer (I-III),"El Dorado, AR",,"The Quality Assurance (QA) Automation Engineer I will be responsible for leveraging industry standard tools in the development of significant test automation to ensure the functional operation of Murphy USA's mission critical Applications. This position will work closely with all members of the BSM, BA, QA, Administration, Development, Support and Deployment teams and be responsible for ensuring quality in software products.

Essential duties

Develop supporting test plans and implement a strategy for creating and maintaining reusable test data.
Create and implement automated testing of web applications across multiple web browsers and platforms.
Develop, maintain and execute automated test scripts for requirement validation, integration, regression, performance and usability testing.
EDUCATION AND EXPERIENCE
Broad knowledge of such fields as accounting, marketing, business administration, finance, etc. Equivalent to a four year college degree, plus 0 to 6 months related experience and/or training, or equivalent combination of education and experience.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a7a471dabe8400b24436e21&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2aec14ef&cb=1668233717300&jobListingId=1007849339824&jrtk=3-0-1ghl7khqpjm4g801-1ghl7khrai9hg800-f4524c9e2377bd93-
"['Murphy USA', '3.2']",http://www.murphyusa.com/,TS Project Manager (I-III),"El Dorado, AR",,"We aim for the right person and fit for each role and for this position, that means being open to a range of experience and qualifications. Not sure where you fit? Let's talk! Apply today.

The Departmental Project Manager III plans, manages and drives the end-to-end lifecycle of a small number of departmental projects.
ESSENTIAL DUTIES AND RESPONSIBILITIES
1. Manage 3-4 separate projects depending on size. Can range from small single system upgrades to multi-system integrations impacting multiple functional areas.
2. Build out department level project management processes and templates
3. PM will be responsible for
a. Project Charter
b. Project scope document
c. Issues and Risk matrix
d. Status report/dashboard
4. PM will be accountable for other project documents/templates
a. Requirements (We use Microsoft DevOps via user stories)
b. Test templates
5. Define status reporting cadences.
6. Set up and maintain shared project folders and templates.
7. Develop and maintain project plans.
8. Control the project scope and budget.
9. Monitor and report project status.
10. Coordinate internal and external resources required across projects and manage relationships with and expectations among Project Sponsors, Projects Leads, and Project Teams.
11. Anticipates risks and challenges related to assigned initiatives and keep Project Sponsors and Project Leads informed of these risks and challenges.

Preferred Certificates, Licenses, Registrations:
PMP Certification

Software Skills Required:
Intermediate: Sensei Beacon PPM, MS Project/Project Web App, SharePoint, MS Teams, Presentation/PowerPoint, Spreadsheet, Word Processing/Typing

Experience / Education Requirements:
Bachelor’s degree
Four years related experience.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7a827b9722c7847ec8b5e6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_01c2b3f0&cb=1668233729852&jobListingId=1008005604466&jrtk=3-0-1ghl7l0oli4kh801-1ghl7l0qqg4f7800-13f1669823ab9110-
"['Murphy USA', '3.2']",http://www.murphyusa.com/,TS Project Manager (I-III),"El Dorado, AR",,"The Project Manager III (Infrastructure) plans, manages, and drives IT projects and initiatives to completion. These initiatives are high-priority, departmental projects that will support the Technology Services Infrastructure Engineering, Infrastructure Operations and End User Services teams. The Infrastructure Project Manager III ensures his/her assigned initiatives are delivered on time/budget and meet or exceed business expectations by: 1) partnering with the project team to solve the business problem(s) at hand and making recommendations to Management, 2) providing structure and adhering to quality standards of the IT Leadership; and 3) anticipating and resolving risks and challenges.

The Infrastructure Project Manager III role is a highly-visible role requiring significant teamwork and collaboration. She/he must manage expectations of: 1) IT Management (overseeing the direction of and making decisions on the respective initiatives); 2) the project team (who provide the day-to-day support and content contributions to the initiatives) She/he is responsible for setting the overall project management standards and program cadence.

ESSENTIAL DUTIES AND RESPONSIBILITIES
1. Manage and lead IT Infrastructure initiatives and IT Infrastructure departmental projects.

2. Define status reporting cadences and facilitate project status meetings.

3. Set up and maintain shared project/program folders and templates.

4. Develop and maintain project/program plans.

5. Control the project/program scope and budget.

6. Monitor and report project/program status.

7. Coordinate internal and external resources required across projects and manage relationships with and expectations among Project Sponsors, Projects Leads, and Project Teams.

8. Anticipates risks and challenges related to assigned initiatives and keep Project Sponsors, Project Leads, and the IT Leadership informed of these risks and challenges.

9. Escalate issues to the appropriate oversight body.

10. Communicate to ensure user adoption and smooth transition of projects.

11. Calculate and track projects benefits, both financial and strategic.

13. Follow IT processes (ITSM) as it relates to the implementation of the projects (Change and Release Management).

14. Perform any other related duties as required or assigned.

Preferred Certificates, Licenses, Registrations:
PMP Certification
PROSCI Change Management
ITIL Foundation
Software Skills Required:
Strong Understanding / knowledge of IT hardware components, technologies, and applications
Intermediate: Sensei Beacon PPM, MS Project/Project Web App, SharePoint, MS Teams, Presentation/PowerPoint, Spreadsheet, Word Processing/Typing
Intermediate Understanding ITSM (Information Technology Service Management) processes
Basic: Financial Management, Accounting

Experience / Education Requirements:
Bachelor’s degree
Four years related experience",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a7a827b9722c7847ec8b5e6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4c30f244&cb=1668233733560&jobListingId=1008002756734&jrtk=3-0-1ghl7l0oli4kh801-1ghl7l0qqg4f7800-ca7b6289b5c5fdc4-
"['US Veterans Health Administration', '3.7']",http://www.vacareers.va.gov/,Biomedical Engineer,"Albuquerque, NM",$45K - $104K (Employer est.),"Duties
Duties of the Staff Biomedical Engineer include but is not limited to:
Conducting a medical equipment management or biomedical research program that is compliant with applicable healthcare standards and regulatory agencies.
Developing a curriculum for a continuing education program that addresses the safe and effective use of medical technology and/or research devices.
Managing a recall and safety alert program for medical devices, including medical device hazard investigations, to assure compliance with patient safety goals, Safe Medical Devices Act, and The Joint Commission requirements.
Conducting capital asset and infrastructure planning for medical equipment spanning initial concept, installation, and effective implementation of complex medical equipment.

: Monday through Friday from 7:30 a.m. to 4:00 p.m.
: Not available
This is not a virtual position.
: Not authorized
Not authorized
Not required",4d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7ae62c934d76796bd775c5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e6aa84a9&cb=1668233754889&jobListingId=1008264146922&jrtk=3-0-1ghl7lpiuih74801-1ghl7lpje24hh000-99f8f2259c606251-
"['Murphy USA', '3.2']",http://www.murphyusa.com/,Biomedical Engineer,"Albuquerque, NM",$45K - $104K (Employer est.),"GENERAL DESCRIPTION OF POSITION
The Cyber Security Engineer will be responsible for safeguarding information assets located across the Murphy USA enterprise. This role is responsible for development and implementation of security architectures, technologies and automation as well as providing key input to security operations and production support. This position will act as an internal security advisor to associates driving initiatives while balancing business priorities against internal policy, standards, and IT security controls framework. This individual will take a lead role to identify risks and create strategies that effectively prevent the loss of company, employee, or customer data.



ESSENTIAL DUTIES AND RESPONSIBILITIES

1. Collaborate with other technology associates and functional business teams to build, deliver, and support effective, security technology solutions aligned to enterprise security strategy and compliance
2. Provide recommendations to management, based on current and emerging technologies, on methods to increase security, reduce costs, improve performance & availability, and reduce administration time
3. Evaluate and implement data security systems to ensure the protection of corporate and customer data against unauthorized use, access, interruption, disclosure, accidental or intentional loss of data.
4. Architect, implement and manage security technology solutions
5. Automate security tool administration & operations tasks through creation & maintenance of scripts and tools
6. Provide security support and insight for many different platforms including Windows, Active Directory, Linux, Exchange, Office 365, Azure Cloud, Amazon AWS, VMWare, Citrix, and Application (Java, C++) security.
7. Conduct penetration testing and red team activities of infrastructure and applications to identify weaknesses and recommend remediation
8. Build and maintain cloud formation templates and scripts to automate and deploy security-related resources
9. Advise, oversee and create proper IAM roles and policies to secure cloud infrastructure
10. Maintain documentation regarding security technologies, configuration, and operating procedures
11. Perform discovery for new organizational initiatives & drive security focused solutions aligned with business and technology requirements
12. Provide training, mentoring, and best practices to the security team
13. Work collaboratively with others within and outside of his or her function to achieve goals, simply processes, reduce costs, prevent loss, and to ensure that work is completed safely, accurately, and on time
14. Adopt and adhere to current Security policies, standards, guidelines and processes
15. Model team commitment by adhering to the team's expectations and guidelines; fulfilling team responsibilities; and demonstrating personal commitment to the team by being cooperative, collaborative, and flexible
16. Manage relationships in a manner acceptable to others and to the organization; adhere consistently with all organizational policies related to our respectful workplace

EDUCATION AND EXPERIENCE",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a7ae62c934d76796bd775c5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7b7fa880&cb=1668233758966&jobListingId=1007668935620&jrtk=3-0-1ghl7lpiuih74801-1ghl7lpje24hh000-94704fd9a71cb5c2-
"['US Veterans Health Administration', '3.7']",http://www.vacareers.va.gov/,Safety & Occupational Health Specialist,"Albuquerque, NM",$67K - $87K (Employer est.),"Duties
***THIS IS NOT A VIRTUAL POSITION, YOU MUST LIVE WITHIN OR BE WILLING TO RELOCATE WITHIN A COMMUTABLE DISTANCE OF THE DUTY LOCATION***

Major duties and responsibilities include but are not limited to:
Assumes lead role in the development of safety goals, policy, and procedural documentation for a facility.
Develops goals and objectives, prepares safety policies, procedures and guidelines, organizes and participates in program budget, develops safety training curriculum and reviews proposed equipment procurement requests to insure the inclusion of necessary safety features.

Monday - Friday, 8:00am - 4:30pm.
Not authorized
Not Required",1d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7b0faf81f6c3b7110d26ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_abdf9f52&cb=1668233767488&jobListingId=1008271579570&jrtk=3-0-1ghl7m3v42hig001-1ghl7m3vpj4hn800-f5b538f08d81b53d-
"['US Veterans Health Administration', '3.7']",http://www.vacareers.va.gov/,Safety & Occupational Health Specialist,"Albuquerque, NM",$67K - $87K (Employer est.),"Duties
Direct patient care duties may include, but not limited to the following:

Hearing aid troubleshooting and repair; performing visual and auditory checks of hearing aids and hearing assistive technology-including all hearing aid accessories as well as alerting devices (troubleshoots performance);fabricating earmold impressions with proper (non-diagnostic) otoscopy; ordering earmolds based on plan of care through prosthetics or DLC and fitting and modifying earmolds, if necessary; providing basic hearing aid information for patients and caregivers consistent with the audiologist's treatment plan, including but not limited to, realistic expectations, communication strategies, and/or aural rehabilitation; assisting in set up and delivery of face-to-face and telehealth visits by preparing the equipment for patient evaluation and other audiology procedures including, but not limited to daily biologic listening calibration of audiometric equipment and calibration of real-ear equipment; assisting patients with hearing aid connectivity including, but not limited to downloading applications (or apps), pairing devices in the app, Bluetooth pairing, and pairing hearing aid accessories.

The incumbent is responsible for ensuring timely and accurate documentation of all interactions in the medical records and that all encounters are correctly documented using electronic medical record and computerized tracking and ordering functions via ROES. The Health Technician (HIS) completes documentation per medical center policy for timeliness for each episode of care and codes procedures as appropriate in the patient record in preparation for co-signature by the audiologist.

Administrative duties may include, but not limited to the following:

Maintaining comprehensive supply and equipment tracking systems to include monitoring stock of RME and consumable items; ensuring proper inventory levels to complete the daily tasks; prioritizing the acquisition of all supplies and equipment regarding date of expiration and may maintain a loaner hearing aid inventory.

The Health Technician (HIS) assists patients through triaging phone calls and audiology requests with regards to priority and urgency, following the audiologist's plan of care.

: Monday - Friday; 8:00am - 4:30pm
: Not Available
This is not a virtual position.
: 00000
: Not Authorized
Not Authorized
Not required",30d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a7b0faf81f6c3b7110d26ca&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c9992973&cb=1668233771459&jobListingId=1008202011661&jrtk=3-0-1ghl7m3v42hig001-1ghl7m3vpj4hn800-5447bbfde042a59b-
