Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['NRG', '3.9']",http://www.nrg.com/,Digital Experience Developer - Remote,"Houston, TX",$70K - $110K (Glassdoor est.),"At NRG, we’re bringing the power of energy to people and organizations by putting customers at the center of everything we do. We generate electricity and provide energy solutions and natural gas to millions of customers through our diverse portfolio of retail brands. A Fortune 500 company, operating in the United States and Canada, NRG delivers innovative solutions while advocating for competitive energy markets and customer choice, working towards a sustainable energy future. More information is available at www.nrg.com. Connect with NRG on Facebook, LinkedIn and follow us on Twitter @nrgenergy.
Front End Developer
Seeking a Front-End Developer to focus on development, maintenance and back-end system administration of corporate retail websites, microsites and web applications. Our environment is fast paced, production driven, and deadline oriented.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a69eba597e519826b4c2e50&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9902cdf7&cb=1668232645371&jobListingId=1007963460460&jrtk=3-0-1ghl6jqupjc9n801-1ghl6jqv9gsqm800-bc6dd0b66752c51b-
"['NRG', '3.9']",http://www.nrg.com/,Digital Experience Developer - Remote,"Houston, TX",$70K - $110K (Glassdoor est.),"At NRG, we’re bringing the power of energy to people and organizations by putting customers at the center of everything we do. We generate electricity and provide energy solutions and natural gas to millions of customers through our diverse portfolio of retail brands. A Fortune 500 company, operating in the United States and Canada, NRG delivers innovative solutions while advocating for competitive energy markets and customer choice, working towards a sustainable energy future. More information is available at www.nrg.com. Connect with NRG on Facebook, LinkedIn and follow us on Twitter @nrgenergy.
Design, develop, maintain, enhance, and support application programs, processes, and platforms in the digital landscape. Interface with clients to determine requirements, resolve issues and determine cost estimates. Provide subject matter expertise to the business client to assist with problem solving and as a resource for training and development. Provide key input to help create and maintain a cohesive, dynamic, and successful digital development team.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a69eba597e519826b4c2e50&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a6a85ec9&cb=1668232647204&jobListingId=1007913633900&jrtk=3-0-1ghl6jqupjc9n801-1ghl6jqv9gsqm800-c2114e2ade22346b-
"['NRG', '3.9']",http://www.nrg.com/,Digital Experience Developer - Remote,"Houston, TX",$70K - $110K (Glassdoor est.),"As an NRG employee, we encourage you to think creatively and proactively about your career choices. Our work environment is dynamic and the career opportunities across our businesses offer variety and challenge. Providing career growth to our own employees is critical to our ongoing success-take charge of your career goals and empower your future!

Design, develop, maintain and enhance NRG’s retail costing, pricing, forecasting, risk management, and reporting systems for mass markets and C&I customer load. Interface with clients to determine requirements, resolve issues and determine cost estimates. Provide subject matter expertise to Retail Risk, Load Forecasting and Marketing groups in order to assist with problem solving and as a resource for training development.",23d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a69eba597e519826b4c2e50&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_71a2fef9&cb=1668232650019&jobListingId=1008218565866&jrtk=3-0-1ghl6jqupjc9n801-1ghl6jqv9gsqm800-d84411671df859a5-
"['NRG', '3.9']",http://www.nrg.com/,Digital Experience Developer - Remote,"Houston, TX",$70K - $110K (Glassdoor est.),"As an NRG employee, we encourage you to think creatively and proactively about your career choices. Our work environment is dynamic and the career opportunities across our businesses offer variety and challenge. Providing career growth to our own employees is critical to our ongoing success-take charge of your career goals and empower your future!

Our company is seeking an Angular Developer who has the technical ability to implement user interfaces using JavaScript and the Angular framework. You will need to know the best practices and modern ways of creating interfaces and ensure the interface is able to interact with backend APIs. You will also need to have great communication and collaboration skills as you will need to interact with fellow frontend and backend developers regularly to ensure components can be integrated together.
JAVA and Angular developer with the ability to work on internally developing market settlement and optimization solutions for our Distributed Energy Management Environment and our Online Account Management platform. Qualified candidates must have 4-5 years of experience in JAVA development, including a strong applications development background and the ability to apply these skills with assistance from a lead developer and/or IT Manager in an Agile development environment. The role encompasses both project, production support, testing, and QA tasks as requested by the lead developer.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a69eba597e519826b4c2e50&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_204d6a11&cb=1668232652475&jobListingId=1008156498952&jrtk=3-0-1ghl6jqupjc9n801-1ghl6jqv9gsqm800-adfd94a70300947e-
"['NRG', '3.9']",http://www.nrg.com/,Digital Experience Developer - Remote,"Houston, TX",$70K - $110K (Glassdoor est.),"At NRG, we’re bringing the power of energy to people and organizations by putting customers at the center of everything we do. We generate electricity and provide energy solutions and natural gas to millions of customers through our diverse portfolio of retail brands. A Fortune 500 company, operating in the United States and Canada, NRG delivers innovative solutions while advocating for competitive energy markets and customer choice, working towards a sustainable energy future. More information is available at www.nrg.com. Connect with NRG on Facebook, LinkedIn and follow us on Twitter @nrgenergy.
Job Summary:
NRG is looking for a talented Machine Learning Engineer to develop Python packages to streamline our analytics work; enable common, scalable analytical computing environments on demand; and deploy our reports and predictive models into production. This position is part Software Engineer, part DevOps Engineer, and part Data Engineer. This individual will work within a functionally organized Data and Analytics group with support from IT, Data Engineering and Governance, Business Intelligence, and Product Management. Its scope encompasses electricity and gas contracts, plant operations, trading, and energy services. The role will be part of an Agile team doing design, coding, code reviews and requirements gathering.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a69eba597e519826b4c2e50&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_04a00d78&cb=1668232655190&jobListingId=1007857366272&jrtk=3-0-1ghl6jqupjc9n801-1ghl6jqv9gsqm800-3074f456c05b1b7c-
"['NRG', '3.9']",http://www.nrg.com/,Digital Experience Developer - Remote,"Houston, TX",$70K - $110K (Glassdoor est.),"At NRG, we’re bringing the power of energy to people and organizations by putting customers at the center of everything we do. We generate electricity and provide energy solutions and natural gas to millions of customers through our diverse portfolio of retail brands. A Fortune 500 company, operating in the United States and Canada, NRG delivers innovative solutions while advocating for competitive energy markets and customer choice, working towards a sustainable energy future. More information is available at www.nrg.com. Connect with NRG on Facebook, LinkedIn and follow us on Twitter @nrgenergy.
This position is governed by a local union contract.
Job Summary:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a69eba597e519826b4c2e50&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4b1bff26&cb=1668232658096&jobListingId=1008186852841&jrtk=3-0-1ghl6jqupjc9n801-1ghl6jqv9gsqm800-7b4c92d603284e7a-
"['NRG', '3.9']",http://www.nrg.com/,Digital Experience Developer - Remote,"Houston, TX",,"At NRG, we’re bringing the power of energy to people and organizations by putting customers at the center of everything we do. We generate electricity and provide energy solutions and natural gas to millions of customers through our diverse portfolio of retail brands. A Fortune 500 company, operating in the United States and Canada, NRG delivers innovative solutions while advocating for competitive energy markets and customer choice, working towards a sustainable energy future. More information is available at www.nrg.com. Connect with NRG on Facebook, LinkedIn and follow us on Twitter @nrgenergy.
Front End Developer
Seeking a Front-End Developer to focus on development, maintenance and back-end system administration of corporate retail websites, microsites and web applications. Our environment is fast paced, production driven, and deadline oriented.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a6a44c08aab6d9193142c9f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_35bb603d&cb=1668232668574&jobListingId=1007963460460&jrtk=3-0-1ghl6kh7gjii9801-1ghl6kh86ihlq801-bc6dd0b66752c51b-
"['NRG', '3.9']",http://www.nrg.com/,Digital Experience Developer - Remote,"Houston, TX",,"As an NRG employee, we encourage you to think creatively and proactively about your career choices. Our work environment is dynamic and the career opportunities across our businesses offer variety and challenge. Providing career growth to our own employees is critical to our ongoing success-take charge of your career goals and empower your future!

Design, develop, maintain and enhance NRG’s retail costing, pricing, forecasting, risk management, and reporting systems for mass markets and C&I customer load. Interface with clients to determine requirements, resolve issues and determine cost estimates. Provide subject matter expertise to Retail Risk, Load Forecasting and Marketing groups in order to assist with problem solving and as a resource for training development.",23d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a6a44c08aab6d9193142c9f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b8102a5a&cb=1668232671540&jobListingId=1008218565866&jrtk=3-0-1ghl6kh7gjii9801-1ghl6kh86ihlq801-d84411671df859a5-
"['NRG', '3.9']",http://www.nrg.com/,UX/UI Designer,"Houston, TX",$55K - $91K (Glassdoor est.),"At NRG, we’re bringing the power of energy to people and organizations by putting customers at the center of everything we do. We generate electricity and provide energy solutions and natural gas to millions of customers through our diverse portfolio of retail brands. A Fortune 500 company, operating in the United States and Canada, NRG delivers innovative solutions while advocating for competitive energy markets and customer choice, working towards a sustainable energy future. More information is available at www.nrg.com. Connect with NRG on Facebook, LinkedIn and follow us on Twitter @nrgenergy.
Job Summary:
The User Experience/User Interface (UX/UI) Designer will work with Marketing, Conversion, CX, Operations, Technical Product Owners (TPO) and IT team to drive the user experience design process from conceptualization to detailed user interfaces through implementation of features and usability review. This individual will work closely with the other teams to build functional features and products through design work and user research.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a6a8084a5396cf327013ca5&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_74e7b4b5&cb=1668232685012&jobListingId=1008038077726&jrtk=3-0-1ghl6l05pis3q801-1ghl6l069gajs800-3d67ed915bae8a51-
,,Sr Project Manager,California,,,1d,
