Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Nationwide Technical & Executive Search', '4.0']",http://www.nwexs.com/,"Programmer Analyst (Waukegan, IL)","Waukegan, IL",$59K - $89K (Glassdoor est.),"Programmer Analyst
Waukegan, IL
Permanent /Direct Hire Position, great company, excellent pay and benefits
On-site position and not Remote
Relocation assistance available for this position
No Sponsorships, transfers, OPT, or visa sponsorships
Summary: The Programmer Analyst provides analytical, programming and systems support for computer systems which fulfill information requirements, resolve computer related business problems, and plan for future growth. This
position also performs work and makes technical decisions with some latitude for independent judgment
under general supervision.",3d,
"['Nationwide Technical & Executive Search', '4.0']",http://www.nwexs.com/,"Programmer Analyst (Waukegan, IL)","Waukegan, IL",$59K - $89K (Glassdoor est.),"Programmer Analyst
Waukegan, IL
Permanent /Direct Hire Position, great company, excellent pay and benefits
On-site position and not Remote
Relocation assistance available for this position
No Sponsorships, transfers, OPT, or visa sponsorships
Summary: The Programmer Analyst provides analytical, programming and systems support for computer systems which fulfill information requirements, resolve computer related business problems, and plan for future growth. This
position also performs work and makes technical decisions with some latitude for independent judgment
under general supervision.",1d,
"['Nationwide Technical & Executive Search', '4.0']",http://www.nwexs.com/,"Programmer Analyst (Waukegan, IL)","Waukegan, IL",$59K - $89K (Glassdoor est.),"Controls Automation Engineer
Dakota, IL
Permanent /Direct Hire Position, great company, excellent pay and benefits
On-site position and not Remote
Relocation assistance available for this position
No Sponsorships, transfers, OPT, or visa sponsorships
Responsibilities:
Working safely and in compliance with all OSHA and company requirements
Complete daily inspections of facility systems to meet the business needs of the company.",1d,
"['Nationwide Technical & Executive Search', '4.0']",http://www.nwexs.com/,"Programmer Analyst (Waukegan, IL)","Waukegan, IL",$59K - $89K (Glassdoor est.),"Controls Automation Engineer
Dakota, IL
Permanent /Direct Hire Position, great company, excellent pay and benefits
On-site position and not Remote
Relocation assistance available for this position
No Sponsorships, transfers, OPT, or visa sponsorships
Responsibilities:
Working safely and in compliance with all OSHA and company requirements
Complete daily inspections of facility systems to meet the business needs of the company.",2d,
"['Nationwide IT Services, Inc', '3.9']",http://www.nw-its.com/,"Programmer Analyst (Waukegan, IL)","Waukegan, IL",$59K - $89K (Glassdoor est.),".Net Developer
Public Trust
Remote

Overview:
Nationwide IT Services (NIS) is seeking four (4) .NET developers to support a time-sensitive development project on our flagship contract. The ideal candidate will be well-versed with .NET development tools/languages such as Visual Studio, C# and ASP.NET Razor and work with the team to redevelop a legacy application used to support the collection, curation, archiving, and dissemination of scientific information. The developers will report to the Task Lead and Program Manager to provide regular updates on development and use Agile/Scrum methodologies and practices in support of the project.

Responsibilities:



NIS is an IT and Management consulting company, designated 8(a) by the SBA, and a CVE-verified Service Disabled Veteran Owned Small Business. Our mission is to deliver value-added services to our customers, leveraging technology, people, and industry best practices to implement innovative solutions through our trusted employees and team members.

Our benefits package includes medical, dental, and vision insurance, life and disability insurance, 401(k) plan with employer match, paid holidays, PTO (sick/vacation), commuter benefits, employee assistance program (EAP) and educational reimbursement.

Nationwide IT Services, Inc. provides equal employment opportunities (EEO) to all qualified applicants for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, genetics, disability or protected veteran status.",3d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846d233daf9d0879e4971d3298&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d920a3eb&cb=1668278354521&jobListingId=1008266484872&jrtk=3-0-1ghmi6fg72ape002-1ghmi6fgri39u800-3a41a1eb5c904eb3-
"['Nationwide IT Services', '3.9']",http://www.nw-its.com/,"Programmer Analyst (Waukegan, IL)","Waukegan, IL",$59K - $89K (Glassdoor est.),"Back-End Developer- DRUPAL
Remote – Public Trust
Nationwide IT Services (NIS) is seeking a Back-End Developer to support all aspects of the Software Development Life Cycle (SDLC) from requirements analysis, design, development, implementation and maintenance. This developer will assist with developing web sites that will function in all major browsers and provide timely support on development tasks and other related deliverables.
The ideal candidate will have exceptional programming skills, problem solving abilities and a focused work ethic. The developer will work in a dynamic, fast-paced environment and will be responsible for providing operational support and bug/fix to existing applications as well as supporting enhancement release and new development.",30d,
"['Nationwide IT Services, Inc', '3.9']",http://www.nw-its.com/,"Programmer Analyst (Waukegan, IL)","Waukegan, IL",$59K - $89K (Glassdoor est.),"DevOps Engineer
Remote
Public Trust

Nationwide IT Services (NIS) is seeking a DevOps Engineer to support a development team.
The ideal candidate will be well-versed in DevOps best practices, tools and technologies and work with the development team to deploy and manage code changes and ensure that systems are operational and running smoothly. The DevOps Engineer will report directly to the Task Lead, participate in Agile/Scrum ceremonies/activities as well as provide regular updates on progress/issues/concerns.

Duties and Responsibilities
Git/SCM: Strong Git skills and understanding of Git workflows with substantial experience with source code management platforms (such as GitHub and Gitlab), to implement GitOps and Git-driven pipelines.
• TDD & CI/CD: Support a Test-Driven Development (TDD) team with continuous integration and deployment workflows (CI/CD), including artifact-base development/deployment.
Bonus for experience using Drupal Test Traits (DTT).
• Containers: Architecting and configuring containerized applications; particularly with Docker, and common local Drupal development tools such as Lando, Docksal, DDev Docker for Drupal, and DrupalVM.
• Orchestration (CI/CD): Architecting, configuring and managing both manual and continuous integration, with Kubernetes, GitLab CI, Jenkins, Ansible, and occasionally Chef or Puppet.
• Development Workflow: Architecting, documenting and helping implement local development setup and workflows (QA/UAT, Dev/Test/Prod) for project teams (primarily GitLab, Docker and K8S).
• DB: Configuration and management of common Drupal databases, including MySQL, MariaDB, Aurora/RDS; bonus for PostgreSQL experience (particularly associated with Atlassian, Jira and Confluence configuration/management).
• OS & Web Servers: General systems administration (Linux/Ubuntu) and web server setup / administration (Apache, NGINX, Proxy Servers).
• AWS: Administering multiple AWS-based services, including Lambda, EC2, EBS, ELB, RDS, S3, Route53, EKS, IAM, KMS, CloudWatch, CloudTrail, and Cloud Formation.
• Acquia & Other Hosting Platforms: Extensive work with Acquia (ACE & ACSF), and also with other platform providers, such as Patheon (Multidev & Upstreams), Azure DevOps, Google Cloud Platform (GCP/GKE), CentOS.
• Caching: Configuration of common caching strategies and tools related to Drupal, including Big Pipe, open-source options (Varnish, Memcached, Redis) and major platforms (Akami, Cloudflare).
• Security: Architecting and configuring SecOps, including SSL (LE/certbot and other providers), SSH (OpenSSH, Bastillion), and secrets management (Vault), firewalls.
• Performance: Integration and managing tooling for performance tuning (New Relic) and load testing (Gatling, Artillery, Loader).
• Other: Other general DevOps and systems administration tasks, such as cron, logging / log streaming, search (Solr, Elastic Search), SecOps (not required, but beneficial), and release management.


Must be US Citizen or Authorized to Work in the United States.
• Must be able to attain/maintain Public Trust clearance.
• Excellent verbal/written communication skills
• 5+ years of DevOps experience within an AWS environment
• Bachelor’s in computer science or comparable degree/enterprise work experience desired.


• Familiarity with Acquia/Drupal highly preferred but not required
• AWS and/or Drupal 8 & 9 certifications highly preferred but not required


NIS is an IT and Management consulting company, designated 8(a) by the SBA, and a CVE-verified Service Disabled Veteran Owned Small Business. Our mission is to deliver value-added services to our customers, leveraging technology, people, and industry best practices to implement innovative solutions through our trusted employees and team members.

Our benefits package includes medical, dental, and vision insurance, life and disability insurance, 401(k) plan with employer match, paid holidays, PTO (sick/vacation), commuter benefits, employee assistance program (EAP) and educational reimbursement.

Nationwide IT Services, Inc. provides equal employment opportunities (EEO) to all qualified applicants for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, genetics, disability or protected veteran status.",23d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846d233daf9d0879e4971d3298&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ed1df95a&cb=1668278360365&jobListingId=1008219323871&jrtk=3-0-1ghmi6fg72ape002-1ghmi6fgri39u800-4d6cb3405b7ae98d-
"['Nationwide IT Services, Inc', '3.9']",http://www.nw-its.com/,"Programmer Analyst (Waukegan, IL)","Waukegan, IL",$59K - $89K (Glassdoor est.),"Sr. Application Developer
Full Remote -Pensacola FL area
Secret Level Security Clearance Required

Nationwide IT Services is seeking NMOTC Application Developer to become a part of a close-knit group of professionals to support the Navy customer located aboard Naval Air Station in Pensacola, Florida.

The Navy Medicine Operational Training Command (NMOTC) supports Navy Medicine’s life-saving mission by training these medical professionals for theater-specific contingencies.

Responsibilities:
Seeking a candidate with over 3 years of professional experience as a Application Developer


NIS is an IT and Management consulting company, designated 8(a) by the SBA, and a CVE-verified Service Disabled Veteran Owned Small Business. Our mission is to deliver value-added services to our customers, leveraging technology, people, and industry best practices to implement innovative solutions through our trusted employees and team members.

Our benefits package includes medical, dental, and vision insurance, life and disability insurance, 401(k) plan with employer match, paid holidays, PTO (sick/vacation), commuter benefits, employee assistance program (EAP) and educational reimbursement.

Nationwide IT Services, Inc. provides equal employment opportunities (EEO) to all qualified applicants for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, genetics, disability or protected veteran status.",14d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846d233daf9d0879e4971d3298&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c1c3ffe3&cb=1668278362497&jobListingId=1008241763030&jrtk=3-0-1ghmi6fg72ape002-1ghmi6fgri39u800-66f8bd912476a7da-
"['Nationwide Marketing Group LLC', '4.0']",http://www.nationwidegroup.org/,"Programmer Analyst (Waukegan, IL)","Waukegan, IL",$59K - $89K (Glassdoor est.),"About NMG:
Nationwide Marketing Group works on behalf of thousands of Independent appliance, furniture, bedding, electronics, specialty electronics, custom installation and rent-to-own dealers, helping them grow their businesses and thrive on their own terms. With more than 5,000 Members operating some 14,000 storefronts, Nationwide Marketing Group is the largest buying, marketing and business support organization of its kind, representing billions in combined annual sales across the membership. For 50 years, the organization has remained committed to the Independent channel, empowering Members with the scale, sophistication and efficiencies they need to compete while delivering the unmatched business intelligence, tools and resources required to win in an ever-changing business environment. To learn more, visit our website at nationwidegroup.org or Nationwide Marketing Group LinkedIn",30d+,
"['Nationwide Marketing Group LLC', '4.0']",http://www.nationwidegroup.org/,"Programmer Analyst (Waukegan, IL)","Waukegan, IL",$59K - $89K (Glassdoor est.),"About NMG:
Nationwide Marketing Group works on behalf of thousands of Independent appliance, furniture, bedding, electronics, specialty electronics, custom installation and rent-to-own dealers, helping them grow their businesses and thrive on their own terms. With more than 5,000 Members operating some 14,000 storefronts, Nationwide Marketing Group is the largest buying, marketing and business support organization of its kind, representing billions in combined annual sales across the membership. For 50 years, the organization has remained committed to the Independent channel, empowering Members with the scale, sophistication and efficiencies they need to compete while delivering the unmatched business intelligence, tools and resources required to win in an ever-changing business environment. To learn more, visit our website at nationwidegroup.org or Nationwide Marketing Group LinkedIn",30d+,
