Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Trinity Solar Careers', '3.8']",http://www.trinity-solar.com/,Software Developer - Python,"Wall, NJ",$60K - $200K (Employer est.),"The Software Developer will be responsible for developing, testing, documenting, and maintaining new and existing applications to support the Business. He or she will develop back-end components, connect the application to other web services and assist front-end developers to ensure integration with the application.
Job Category: Entry to senior level positions available.
Work locations: In office, remote, hybrid schedules available.
Salary Range: $60,000 - $200,000 commensurate with experience and education.
Roles & Responsibilities
Responsible for writing structured, clean, reusable, and testable code using Python.
Will implement well-designed, high-performance applications for the server-side.",30d+,
"['Gavin', '3.3']",http://www.gavinadvertising.com/,Software Developer - Python,"Wall, NJ",$60K - $200K (Employer est.),"Full Stack Developer
Full-Time Position
Who We Are
GAVIN™ is an award-winning full-service brand communications agency offering comprehensive strategy, creative, public relations, digital and media buying services. The agency has a work-remote culture supported by an HQ office in York, Pennsylvania and a satellite office in Baltimore, Maryland. The agency serves healthcare, education, manufacturing, government, finance, and business to business clients across the US. Recognized as a national leader in our industry by PRNews as an Agency Elite Top 100 firm in the country, an Inc. Magazine Inc 5000 company, Best Places to Work in our region, and a Top 50 Fastest Growing Company, GAVIN is on a strategic growth path.",1d,
"['SupplyHouse', '3.9']",https://www.supplyhouse.com/,Software Developer - Python,"Wall, NJ",$60K - $200K (Employer est.),"We’re looking for a Flutter App Developer to help us build and add exciting new features to our SupplyHouse mobile app on both the Apple and Google Play stores. The selected individual will work very closely with our Senior App Developer to add new features, squash any bugs, maintain the app, and assist in the deployment build process to the stores.
This is a remote-based role within select states in the United States. At this time, we are only able to employ those located in the following states: Florida, Georgia, Nevada, New Jersey, New York, North Carolina, Ohio, South Carolina, Tennessee, Texas, and Washington.
This position will require travel to our NY office headquarters for up to four times per year for internal meetings and team-building activities. The cost of travel for employees out of the area will be covered by the company. Additionally, our offices are always available for staff to use as much as desired.",30d+,
"['webfx.com', '4.4']",https://www.webfx.com/,Software Developer - Python,"Wall, NJ",$60K - $200K (Employer est.),"Hi there! We're WebFX, a full-service digital marketing agency based in the US (but with a global presence) and we'd love to meet you! We're looking for people to join our mission to provide world-class digital marketing solutions to mid-size businesses around the world. We get super excited about driving business growth for our clients and are looking for people who take pride in their marketing work and enjoy having a little fun at the same time.

Why Choose WebFX?

We've been named the Best Place To Work in Pennsylvania 7 years in a row
We're expanding! New offices in Guatemala, St Petersburg FL, Lancaster PA (and York, PA and Cape Town South Africa coming in 2022)
Prior knowledge/experience is not required for any of our roles, we provide all of the training and tools necessary for you to be successful!",30d+,
,,Software Developer - Python,"Wall, NJ",$60K - $200K (Employer est.),,4d,
,,Software Developer - Python,"Wall, NJ",$60K - $200K (Employer est.),,30d+,
,,Software Developer - Python,"Wall, NJ",$60K - $200K (Employer est.),,30d+,
"['Trinity Solar Careers', '3.8']",http://www.trinity-solar.com/,Software Developer - Python,"Wall, NJ",$60K - $200K (Employer est.),"The RPA Developer is responsible for developing, integrating, testing, and maintaining existing and new RPA-based solutions. They will work closely with the RPA team and Business Technology department by writing code using RPA software as well as Python language to develop these solutions.
Job Category: Entry to senior level positions available.
Work locations: In office, hybrid schedules available.
Salary Range: $60,000 - $200,000 commensurate with experience and education.

Text our Recruiter Matt (214-838-2582) directly!",30d+,
"['SupplyHouse', '3.9']",https://www.supplyhouse.com/,Software Developer - Python,"Wall, NJ",$60K - $200K (Employer est.),"We’re looking for a QA Engineer to help us evaluate and test our software applications for usability and functionality. The selected individual will work closely with our Senior QA Engineer and Development Team to ensure that the software adheres to the established quality standards. Specific experience in testing is preferred, but not required.
This is a remote-based role within select states in the United States. At this time, we are only able to employ those located in the following states: Florida, Georgia, Nevada, New Jersey, New York, North Carolina, Ohio, South Carolina, Tennessee, Texas, and Washington.
This position will require travel to our NY office headquarters for up to four times per year for internal meetings and team-building activities. The cost of travel for employees out of the area will be covered by the company. Additionally, our offices are always available for staff to use as much as desired.",11d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846ccfcffebc9c4bf140284eb6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_77f68b52&cb=1668272913140&jobListingId=1008249616810&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmcvk1chapq801-1ghmcvk1uih5r800-109e1f1717bf73cd--6NYlbfkN0AHfvvUQbcLXLtsZFdl65kmeh4M4gDg85dZKEG9sjBXado6h1rhv320OgUg7t5VyCpwsh4bz7RR4Vo8f_OxmHTUq4LU3marxCapaOK7cftujQQWkldATJN0hYulMG9vsgQfFpW1owyi_80rzvyu5xMHv3rGnVDvHKbJe1lVW5Ol2rXbpnZA3d5biwjcwJpd3Aiew1J0PtfLtEu7_h4y10hWlKOTuLmmwi_r_KWIrftARkG-Yu9Cn6321vNxFPRKnIuzAixxHPcUarzZ3liDPR0_nzNFMPp0sPRM804cjW3yq0yPA3ee0s5jrCBsESJaf1c4VFLUDFvdBuGudBxXENqTMP6-B4PlSAleW8VpK0nA260S6a4071BdAXv3rApNamIwvAr5f2VvyDZSFEHGaj1azLxGHQchCgE9jQW8JXMdfYZ5simJV08YlQZUgC1q68PK4IzvEGsLuJvCiIlBvtmns8q8-aVa_jIrLFt4X8QAYrrM2pc6wNxHLHpLFQFMNekkKvLYLNzj3-TSNKpj9BaMTn0BL8piTuavcCRPfhxWb0jxdRB4HjagW3S3Ukn23WABO9TPZl3k9gndfr_bm1bNQWH9rIZX4-FbuMuwRU5X6QyIdcdnlPRNKRjmQhgAKTceX4zaodC2WB_4Ha-OQGi6BRR_woyWenP5bePe-i5PF8i7-AisICnrYkYRkKLSk7v2CjvfKlTgdWEQ17CySTN_ja8VnwtnO0QmjrHt7ea_Ko_hxGK6zzHwdGX-pfwgXtwrOPZFK1LyobcGyEVM1wdsoVNR-j87D2_HEKM96fohuxQnNbCIgVqbws1heUj1VXKLxsW3Vct7pqM97tpnIG1h06Y60PsfWPNvm1Kv8HF_FErK24mp0lKd8zvdYL-1w5HA_HcrxQ4COq4kkN3k9f8RRRhU9HK4yG7pEZ5Jl9HE8UXdJbikB5bDPpXo37hV6sPUzyMenxBFNdXSiEwMTRpoLPu7xSkSgiAcWDBZaR3Z2w%3D%3D
"['Anheuser-Busch', '3.8']",http://www.anheuser-busch.com/,Software Developer - Python,"Wall, NJ",$60K - $200K (Employer est.),"Dreaming big is in our DNA. Brewing the world’s most loved beers and creating meaningful experiences is what inspires us. We are owners, empowered to lead real change, deliver on tough challenges, and take accountability for the results. We are looking for talent that shares these values, that is ambitious, bold & resilient. We want talent that is looking for fast career growth, cross-functional experiences, global exposure and robust training & development.
WORK LOCATIONS: St. Louis, MO - New York City, NY - Denver, CO - Miami, FL - Austin, TX
Salary: $98,000 - $152,000 (pending location)
COMPANY:
Michelob ULTRA. Cutwater Spirits. Budweiser. Kona Brewing Co. Stella Artois. Bud Light. That’s right, over 100 of America’s most loved brands, to be exact. But there’s so much more to us than our top-notch portfolio of beers, seltzers, and more. We are powered by a 19,000-strong team that shares our passion to create a future with more cheers. We look for people with talent, curiosity, and commitment and provide the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is unstoppable. Are you ready to join a team that dreams as big as you do?
ROLE SUMMARY:
The Team
“TechOps” is a team that is well rooted with the business and the functions inside Anheuser-Busch and covers both United States and Canada as a North American Zone (NAZ). In TechOps, you will design, build, test, and support software products that continue to be a competitive advantage to our business. You will act as a technical Subject Matter Expert (SME), and partner with others to deliver sustainable solutions and successful end-user experiences.
The Job
As a Software Engineer specializing in API development, you will be key to enabling the flow of data and its underlying transactions through building and interacting with APIs in applications and services. You will work on a DevOps software engineering team dedicated to building enterprise applications with the latest and greatest cloud-first technology to enable key parts of our business. From contributing to new applications to enhancing existing products, you will work amongst a team of passionate software engineers, facilitated by a scrum master, with work prioritized by product owners.
JOB RESPONSIBILITIES:",4d,
