Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Nordstrom Inc', '3.7']",http://www.nordstrom.com/,UX Designer 2 - REMOTE,"Seattle, WA",$99K - $154K (Employer est.),"Job Description
Do you enjoy solving complex UX problems with a broad set of UX methods? As a UX Designer 2 in the Enterprise UX space at Nordstrom, you’ll shape digital applications and tools that support customer experiences and help us innovate as a company. You’ll collaborate and partner with UX designers, content designers, researchers, engineers and other cross-functional partners to design and test enterprise-focused solutions.
The customer is our compass, but not our only focus. We contribute to efforts across Nordstrom and Nordstrom Rack that improve our employee experiences and retail operations and give Nordstrom the ability to deliver on our brand promise.

A day in the life…
Colorado: $99,000-$153,500 annually, Nevada: $99,000-$153,500 annually, New York: $111,000-$172,500 annually",3d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a8e063daf2710247a50187f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9a13bde9&cb=1668235009458&jobListingId=1008265841141&jrtk=3-0-1ghl8s1k2ma7i801-1ghl8s1klitnc800-cd54ddc7a14ffbbd-
"['Nordstrom Inc', '3.7']",http://www.nordstrom.com/,UX Designer 2 - REMOTE,"Seattle, WA",$99K - $154K (Employer est.),"Job Description
Do you enjoy solving complex UX problems with a broad set of UX methods? As a UX Designer 2 in the Enterprise UX space at Nordstrom, you’ll shape digital applications and tools that support customer experiences and help us innovate as a company. You’ll collaborate and partner with UX designers, content designers, researchers, engineers and other cross-functional partners to design and test enterprise-focused solutions.
The customer is our compass, but not our only focus. We contribute to efforts across Nordstrom and Nordstrom Rack that improve our employee experiences and retail operations and give Nordstrom the ability to deliver on our brand promise.

A day in the life…
Colorado: $99,000-$153,500 annually, Nevada: $99,000-$153,500 annually, New York: $111,000-$172,500 annually",3d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a8e063daf2710247a50187f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_90f24e42&cb=1668235013118&jobListingId=1008265841075&jrtk=3-0-1ghl8s1k2ma7i801-1ghl8s1klitnc800-6a580965303bfa7c-
"['Nordstrom Inc', '3.7']",http://www.nordstrom.com/,UX Designer 2 - REMOTE,"Seattle, WA",$99K - $154K (Employer est.),"Job Description
Do you enjoy solving complex UX problems with a broad set of UX methods? As a UX Designer 2 in the Enterprise UX space at Nordstrom, you’ll shape digital applications and tools that support customer experiences and help us innovate as a company. You’ll collaborate and partner with UX designers, content designers, researchers, engineers and other cross-functional partners to design and test enterprise-focused solutions.
The customer is our compass, but not our only focus. We contribute to efforts across Nordstrom and Nordstrom Rack that improve our employee experiences and retail operations and give Nordstrom the ability to deliver on our brand promise.

A day in the life…
Colorado: $99,000-$153,500 annually, Nevada: $99,000-$153,500 annually, New York: $111,000-$172,500 annually",3d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a8e063daf2710247a50187f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5ab4682f&cb=1668235016001&jobListingId=1008265841138&jrtk=3-0-1ghl8s1k2ma7i801-1ghl8s1klitnc800-2d1fd94b9230b7ea-
"['Nordstrom Inc', '3.7']",http://www.nordstrom.com/,UX Designer 2 - REMOTE,"Seattle, WA",$99K - $154K (Employer est.),"Job Description
Do you enjoy solving complex UX problems with a broad set of UX methods? As a UX Designer 2 in the Enterprise UX space at Nordstrom, you’ll shape digital applications and tools that support customer experiences and help us innovate as a company. You’ll collaborate and partner with UX designers, content designers, researchers, engineers and other cross-functional partners to design and test enterprise-focused solutions.
The customer is our compass, but not our only focus. We contribute to efforts across Nordstrom and Nordstrom Rack that improve our employee experiences and retail operations and give Nordstrom the ability to deliver on our brand promise.

A day in the life…
Colorado: $99,000-$153,500 annually, Nevada: $99,000-$153,500 annually, New York: $111,000-$172,500 annually",3d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a8e063daf2710247a50187f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8808072f&cb=1668235017812&jobListingId=1008265841100&jrtk=3-0-1ghl8s1k2ma7i801-1ghl8s1klitnc800-7f7e729f07e2d580-
"['Nordstrom Inc', '3.7']",http://www.nordstrom.com/,UX Designer 2 - REMOTE,"Seattle, WA",$99K - $154K (Employer est.),"Job Description
Do you enjoy solving complex UX problems with a broad set of UX methods? As a UX Designer 2 in the Enterprise UX space at Nordstrom, you’ll shape digital applications and tools that support customer experiences and help us innovate as a company. You’ll collaborate and partner with UX designers, content designers, researchers, engineers and other cross-functional partners to design and test enterprise-focused solutions.
The customer is our compass, but not our only focus. We contribute to efforts across Nordstrom and Nordstrom Rack that improve our employee experiences and retail operations and give Nordstrom the ability to deliver on our brand promise.

A day in the life…
Colorado: $99,000-$153,500 annually, Nevada: $99,000-$153,500 annually, New York: $111,000-$172,500 annually",3d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a8e063daf2710247a50187f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_00c3bf83&cb=1668235020604&jobListingId=1008265841145&jrtk=3-0-1ghl8s1k2ma7i801-1ghl8s1klitnc800-2f676a59134aa2c4-
"['Nordstrom Inc', '3.7']",http://www.nordstrom.com/,UX Designer 2 - REMOTE,"Seattle, WA",$99K - $154K (Employer est.),"Job Description
Do you enjoy solving complex UX problems with a broad set of UX methods? As a UX Designer 2 in the Enterprise UX space at Nordstrom, you’ll shape digital applications and tools that support customer experiences and help us innovate as a company. You’ll collaborate and partner with UX designers, content designers, researchers, engineers and other cross-functional partners to design and test enterprise-focused solutions.
The customer is our compass, but not our only focus. We contribute to efforts across Nordstrom and Nordstrom Rack that improve our employee experiences and retail operations and give Nordstrom the ability to deliver on our brand promise.

A day in the life…
Colorado: $99,000-$153,500 annually, Nevada: $99,000-$153,500 annually, New York: $111,000-$172,500 annually",3d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a8e063daf2710247a50187f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_68073095&cb=1668235022540&jobListingId=1008265841134&jrtk=3-0-1ghl8s1k2ma7i801-1ghl8s1klitnc800-fb319db047232923-
"['Nordstrom Inc', '3.7']",http://www.nordstrom.com/,"Senior Project Manager, NMG Brand Programs - Data, Insight and Analytics","Seattle, WA",$83K - $117K (Glassdoor est.),"Job Description
The NMG Brand Programs, Senior Project Manager – Data, Insight and Analytics role is responsible for collecting, analyzing and presenting data to improve decision making around program priorities and enables decisions that drive business value. In this role, you will be part of a dynamic, fast paced, and growing division within the Nordstrom Merchandising Group (NMG), with an opportunity to drive value and improvements for the business through work on critical business functionalities and initiatives. You will also have exposure to senior leadership and opportunities to work with many key areas of the business and cross-functional teams. This position reports to the NMG Brand Programs - Senior Director of Program Management.

This individual has a unique blend of strategic, analytic and collaboration skills with demonstrated experience in taking ideas from vision to execution blending relationship management, program management, problem-solving skills, and the ability to drive to aligned outcomes. This role requires an individual comfortable working in a fast-paced environment, dealing with ambiguity, engaging stakeholders in a productive, positive way and setting the course for the business to help drive Nordstrom growth.",29d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a8e60e88594f1dd8af1978f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7dab634d&cb=1668235031893&jobListingId=1008205324365&jrtk=3-0-1ghl8so8ekuh0801-1ghl8so90imbd800-50bd4b1d72226cc4-
"['Nordstrom Inc', '3.7']",http://www.nordstrom.com/,"Senior Project Manager, NMG Brand Programs - Data, Insight and Analytics","Seattle, WA",$83K - $117K (Glassdoor est.),"Job Description
The Technology Partner Management team’s mission is to drive lifetime value in relationships with third party technology suppliers and vendor partners. We work with suppliers to ensure successful and cost-effective delivery of products and services key to the delivery of Nordstrom Technology products and capabilities. Success is measured in terms of Negotiation Value, value driven in the overall Vendor Partner Relationship, and benefit delivery.
The Partner Manager Sr. 2’s responsibility is to build, maintain and enhance relationships with strategic technology vendor partners and internal stakeholders. This senior-level individual contributor serves as liaison to the Technology business and a facilitator for contract lifecycle and Partner Management activities.
Responsible for managing numerous vendor relationships simultaneously, ensuring technology and business requirements align to specifications and priorities, and leading arbitration and negotiation. Act as a trusted advisor to our Technology leaders; and a mentor/consultant for junior peers. Ensure that the organization achieves its objectives with strategic vendor partners and assists the vendor partners in their efforts to be successful within the Nordstrom organization.
Salary Range for Colorado ONLY - $130,000 - $203,000 + Bonus & Benefits",20d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a8e60e88594f1dd8af1978f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c3fbd08e&cb=1668235035746&jobListingId=1008226804677&jrtk=3-0-1ghl8so8ekuh0801-1ghl8so90imbd800-9f4dc568309280b2-
,,"Senior Project Manager, NMG Brand Programs - Data, Insight and Analytics","Seattle, WA",$83K - $117K (Glassdoor est.),"Job Description
The Technology Partner Management team’s mission is to drive lifetime value in relationships with third party technology suppliers and vendor partners. We work with suppliers to ensure successful and cost-effective delivery of products and services key to the delivery of Nordstrom Technology products and capabilities. Success is measured in terms of Negotiation Value, value driven in the overall Vendor Partner Relationship, and benefit delivery.
The Partner Manager Sr. 2’s responsibility is to build, maintain and enhance relationships with strategic technology vendor partners and internal stakeholders. This senior-level individual contributor serves as liaison to the Technology business and a facilitator for contract lifecycle and Partner Management activities.
Responsible for managing numerous vendor relationships simultaneously, ensuring technology and business requirements align to specifications and priorities, and leading arbitration and negotiation. Act as a trusted advisor to our Technology leaders; and a mentor/consultant for junior peers. Ensure that the organization achieves its objectives with strategic vendor partners and assists the vendor partners in their efforts to be successful within the Nordstrom organization.
Salary Range for Colorado ONLY - $130,000 - $203,000 + Bonus & Benefits",20d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a8e60e88594f1dd8af1978f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_573e5b26&cb=1668235037947&jobListingId=1008226804679&jrtk=3-0-1ghl8so8ekuh0801-1ghl8so90imbd800-8359e22e8db68103-
"['Nordstrom Inc', '3.7']",http://www.nordstrom.com/,"Senior Project Manager, NMG Brand Programs - Data, Insight and Analytics","Seattle, WA",$83K - $117K (Glassdoor est.),"Job Description
The Technology Partner Management team’s mission is to drive lifetime value in relationships with third party technology suppliers and vendor partners. We work with suppliers to ensure successful and cost-effective delivery of products and services key to the delivery of Nordstrom Technology products and capabilities. Success is measured in terms of Negotiation Value, value driven in the overall Vendor Partner Relationship, and benefit delivery.
The Partner Manager Sr. 2’s responsibility is to build, maintain and enhance relationships with strategic technology vendor partners and internal stakeholders. This senior-level individual contributor serves as liaison to the Technology business and a facilitator for contract lifecycle and Partner Management activities.
Responsible for managing numerous vendor relationships simultaneously, ensuring technology and business requirements align to specifications and priorities, and leading arbitration and negotiation. Act as a trusted advisor to our Technology leaders; and a mentor/consultant for junior peers. Ensure that the organization achieves its objectives with strategic vendor partners and assists the vendor partners in their efforts to be successful within the Nordstrom organization.
Salary Range for Colorado ONLY - $130,000 - $203,000 + Bonus & Benefits",20d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a8e60e88594f1dd8af1978f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d50a0987&cb=1668235041911&jobListingId=1008226804673&jrtk=3-0-1ghl8so8ekuh0801-1ghl8so90imbd800-161b8127e1859083-
