Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Nucor Steel Berkeley', '4.2']",http://www.nucorbuildingsystems.com/,Software Engineer (Level II Automation Engineer),"Huger, SC",$90K (Employer est.),"Job Details
Division: Nucor Steel Berkeley
Location: Huger, SC, United States
Other Available Locations: N/A

$90k potential annual income
Basic Job Functions:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b8f41d58365c5d011e169f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6e47f868&cb=1668251866390&jobListingId=1007765315525&jrtk=3-0-1ghlougfv2jqc001-1ghlouggii7ko800-91cf482efa15e3ad-
"['Nucor Steel Arkansas', '4.2']",http://www.nucorbuildingsystems.com/,Software Engineer (Level II Automation Engineer),"Huger, SC",$90K (Employer est.),"Job Details
Division: Nucor Steel Arkansas
Location: Blytheville, AR, United States
Other Available Locations: N/A
Basic Job Functions:
The Business Intelligence (BI) Developer will provide Business Intelligence and Analytics support for Nucor Steel Arkansas. The ideal candidate has a knack for seeing solutions in sprawling data sets and the business mindset to convert insights into strategic opportunities. The BI Developer will work closely with teammates across all functions to support and implement high-quality, data-driven decisions. The BI Developer will be responsible for defining BI requirements that provide insights to business results, build metadata to support BI visualizations, build and/or facilitate the creation of BI visualizations, and provide training for BI consumers.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b8f41d58365c5d011e169f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3267dd1c&cb=1668251869481&jobListingId=1008048417191&jrtk=3-0-1ghlougfv2jqc001-1ghlouggii7ko800-b34621362765d43a-
"['Nucor Steel Gallatin LLC', '3.4']",http://www.gallatinsteel.com/,Software Engineer (Level II Automation Engineer),"Huger, SC",$90K (Employer est.),"Job Details
Division: Nucor Steel Gallatin LLC
Location: Ghent, KY, United States
Other Available Locations: N/A
Basic Job Functions:
Programmer Analyst performs varying duties including, but not limited to, manage the functionality, availability and performance of the purchased and custom applications that service the business; perform project/task management for application development changes; responsible for requirements and design of changes or additions to applications; take a lead role in problem solving application problems, programming and a support role in infrastructure problems.Safety is the most important part of all jobs within Nucor; therefore, candidates must be able to demonstrate the ability to initiate, lead, and uphold safety policies, practices, procedures, and housekeeping standards at all times.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b8f41d58365c5d011e169f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_258498d8&cb=1668251872144&jobListingId=1007731292721&jrtk=3-0-1ghlougfv2jqc001-1ghlouggii7ko800-3fb371c17fad3633-
"['Nucor Steel Berkeley', '4.2']",http://www.nucorbuildingsystems.com/,Software Engineer (Level II Automation Engineer),"Huger, SC",$90K (Employer est.),"Job Details
Division: Nucor Steel Berkeley
Location: Huger, SC, United States
Other Available Locations: South Carolina

Basic Job Functions:
Responsibilities of the position include but are not limited to with full life-cycle software development, including gathering requirements, designing solutions, developing full-stack applications, migration of existing systems, and supporting those applications in production. This position will also be responsible for establishing relationships and collaborating with individuals both inside IT and across the organization. Able to work nights, weekends, and holidays on occasion.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b8f41d58365c5d011e169f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ded74698&cb=1668251874066&jobListingId=1008081990257&jrtk=3-0-1ghlougfv2jqc001-1ghlouggii7ko800-42064618b00792d4-
"['Nucor Steel Arkansas', '4.2']",http://www.nucorbuildingsystems.com/,Software Engineer (Level II Automation Engineer),"Huger, SC",$90K (Employer est.),"Job Details
Division: Nucor Steel Arkansas
Location: Blytheville, AR, United States
Other Available Locations: N/A

Basic Job Functions:
Nucor Corporation, a Fortune 200 company, is the largest steel producer in the United States and the largest recycler in North America. Our goal is to take care of our customers and we do that by being the safest, highest quality, lowest cost, most productive, and most profitable steel and steel products company in the world.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b8f41d58365c5d011e169f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2a4bdb5f&cb=1668251875930&jobListingId=1008008406041&jrtk=3-0-1ghlougfv2jqc001-1ghlouggii7ko800-b853d2fd2595ecd5-
"['Nucor Building Systems Indiana', '4.2']",http://www.nucorbuildingsystems.com/,Software Engineer (Level II Automation Engineer),"Huger, SC",$90K (Employer est.),"Job Details
Division: Nucor Building Systems Indiana
Location: Waterloo, IN, United States
Other Available Locations: N/A
Basic Job Functions:

Safety is the most important part of all jobs within Nucor; therefore, candidates must be able to demonstrate the ability to initiate, lead, and uphold safety policies, practices, procedures, and housekeeping standards at all times",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b8f41d58365c5d011e169f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_07dcbd59&cb=1668251879818&jobListingId=1008080211103&jrtk=3-0-1ghlougfv2jqc001-1ghlouggii7ko800-094b9a41dd1f28b0-
['Nucor Insulated Panel Group LLC'],,Software Engineer (Level II Automation Engineer),"Huger, SC",$90K (Employer est.),"Job Details
Division: Nucor Insulated Panel Group LLC
Location: Lewisville, TX, United States
Other Available Locations: N/A
Basic Job Functions:
The role of the Automation Engineer is two-fold. First, to be a great Nucor team member who demonstrates high levels of honesty, integrity, and ownership in everything they do. Second, is to ensure the success of the team by SAFELY performing programming and upgrade tasks on insulated metal panel equipment and systems, as well as proposing and implementing innovative solutions to challenges in the panel making process and business.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b8f41d58365c5d011e169f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_401c3a58&cb=1668251882767&jobListingId=1007993238773&jrtk=3-0-1ghlougfv2jqc001-1ghlouggii7ko800-ad1c04d76d78673d-
['Nucor Tubular Products - Trinity'],,Software Engineer (Level II Automation Engineer),"Huger, SC",$90K (Employer est.),"Job Details
Division: Nucor Tubular Products - Trinity
Location: Trinity, AL, United States
Other Available Locations: N/A
Basic Job Functions:
Nucor Tubular Products- Trinity is seeking qualified candidates for the position of Automation Engineer. This role will be responsible for working with the Electrical / Mechanical Maintenance and Production teams to maintain and optimize the Mill processes. This will include using engineering principles, algorithms and techniques to trouble-shoot and improve both the process and equipment and to develop/implement future improvement plans. The successful candidate will be required to have knowledge of both hardware and software and will occasionally be required to provide additional support outside normal business hours. Additionally, they will be required to develop computer programming skills, network management skills, as well as learn to manage, maintain, edit large databases and other needed skills to advance knowledge in the areas of Process Control, as well as other duties as assigned.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b8f41d58365c5d011e169f9&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a70fa48c&cb=1668251884913&jobListingId=1008130050487&jrtk=3-0-1ghlougfv2jqc001-1ghlouggii7ko800-e2fe800ef9e12be8-
"['Nucor Steel Berkeley', '4.2']",http://www.nucorbuildingsystems.com/,Software Engineer (Level II Automation Engineer),"Huger, SC",$90K (Employer est.),"Job Details
Division: Nucor Steel Berkeley
Location: Huger, SC, United States
Other Available Locations: N/A

$90k potential annual income
Basic Job Functions:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b8faba6821c6fbeead934a1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_127d3fae&cb=1668251893657&jobListingId=1007765315525&jrtk=3-0-1ghlovauojiil801-1ghlovavairl2800-91cf482efa15e3ad-
"['Nucor Steel Berkeley', '4.2']",http://www.nucorbuildingsystems.com/,Software Engineer (Level II Automation Engineer),"Huger, SC",$90K (Employer est.),"Job Details
Division: Nucor Steel Berkeley
Location: Huger, SC, United States
Other Available Locations: South Carolina

Basic Job Functions:
Responsibilities of the position include but are not limited to with full life-cycle software development, including gathering requirements, designing solutions, developing full-stack applications, migration of existing systems, and supporting those applications in production. This position will also be responsible for establishing relationships and collaborating with individuals both inside IT and across the organization. Able to work nights, weekends, and holidays on occasion.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b8faba6821c6fbeead934a1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1787cc0f&cb=1668251897488&jobListingId=1008081990257&jrtk=3-0-1ghlovauojiil801-1ghlovavairl2800-42064618b00792d4-
