Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['NVIDIA', '4.6']",http://www.nvidia.com/,"Senior Performance Software Engineer, Deep Learning Libraries","Santa Clara, CA",$131K - $176K (Glassdoor est.),"We are now looking for a Senior Performance Software Engineer for Deep Learning Libraries! Do you enjoy tuning parallel algorithms and analyzing their performance? If so, we want to hear from you!
As a deep learning library performance software engineer, you will be developing optimized code to accelerate linear algebra and deep learning operations on NVIDIA GPUs. The team delivers high-performance code to NVIDIA’s
cuDNN
,
cuBLAS
, and
TensorRT
libraries to accelerate deep learning models. The team is proud to play an integral part in enabling the breakthroughs in domains such as image classification, speech recognition, and natural language processing. Join the team that is building the underlying software used across the world to power the revolution in artificial intelligence!

NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.
#deeplearning",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846a6cc700ac6c83c517fc1013&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fcd24adb&cb=1668232830588&jobListingId=1008045693983&cpc=5F8B9684766EE3AF&jrtk=3-0-1ghl6php2kclu801-1ghl6phplghpk800-27f9d006741d4095--6NYlbfkN0Ct1eYYw2bk7imXkZBzkvCztKeSwYw_6rMLV1-VTk7hZ8Dc-xSXHT910mj3hrg87_a2aMtF8SMd6tj4rpz0zIDFIegfJNDVL14usUCgQnvWNRjP7S-WwOxvOBzqDOYx1CqbaL31j-vxWzDVFe3uBUUvO4kj8aFGapooDgjGXLHaKF6vTmL1xB-uYt7SSLgGnB314GKZCyXYMm4l4saExm_d16OJSFy7Au1AQ8GC58lvo6C73qm09wolAYh5tZwUIfbbnfdRIU0-5g9tWI0AvQeetmnxz4FAokanyFPkmiOtzUZKwElsLlJSlWD_bZ19YPR-mCrVum68dT72s09u9gNEAwd8TgS58fI2pJiRp8OsYHrVaf-ko1C255XBOiSYwb070M2nkHjaan8U1vIJbn3OdxG37-n1t0mq9BsY6C_AGeonciTK4JBJmbcHW79b19_MYbFluq5HHCE7aLu6YS0IOx2mBvM8l41ik64w088rgrNzT4bP0ilYoas07DT5_335kGXsZbw5umhIteI-9hu5T1Yy-70DjW8Nk55PWXtSyvf2zguMHsASxZvVBbthrX9qxNG2QQWeall5UKDIYGLHrg8udH5neIYJ2JUNirLCUtG0VSLfzthqOy_KAk7foK3T40xvD6jZXVpa-55p7V4nDLzSfBIONYs4Wl3_6lfQIVvjneaR_OlrrJnUzvoeVas%3D
"['NVIDIA', '4.6']",http://www.nvidia.com/,"Senior Performance Software Engineer, Deep Learning Libraries","Santa Clara, CA",$131K - $176K (Glassdoor est.),"Want to join a fun, creative company that is on the cutting edge of amazing technologies? NVIDIA is developing groundbreaking solutions in some of the world’s most exciting technology areas including Virtual Reality, Artificial Intelligence, Deep Learning and Autonomous Vehicles.
We are looking for an experienced software engineer to join our Planning and Control team to work on Infrastructure, Architecture, and Tooling. In this role, you will help improve the modularity, maintainability, and testability of the Planning and Control software You will also develop infrastructure and tools that enable rapid algorithm development.
What you’ll be doing:
Optimize the software architecture for modularity, testability, and build efficiency.
Find ways to increase our overall team velocity through improvements in the development, testing, and release infrastructure and processes.
Develop tools that enable rapid testing and debugging the Planning and Control software.
The Colorado Equal Pay for Equal Work Act requires that NVIDIA provide the compensation range and benefits offered for this position if performed in Colorado. The base salary range for this position in Colorado is $126,000.00 - 173,250.00 USD.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846a6cc700ac6c83c517fc1013&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0cb2c926&cb=1668232833307&jobListingId=1007841274986&cpc=39EF89E0C6A5CFA2&jrtk=3-0-1ghl6php2kclu801-1ghl6phplghpk800-3cdb865f8593dc97--6NYlbfkN0Ct1eYYw2bk7imXkZBzkvCztKeSwYw_6rMLV1-VTk7hZ8Dc-xSXHT910mj3hrg87_aeF2xruosdCp9If8ghOfSxoPRbR0r4oBJ9_1IwWXb0njh778WOmQu8hTvBBTHXjOM6O1QpYmCpH3mcIHx_O2MFz9GVMmC5WnBz7tt3P43y6UKta7_7KJV6of3vEHsINfmo5PMZHJISWC4yJ23wj7uDHv-3MtN7a1816HeFLyztfSKqF6xXZfHLaFASW2j-TknbSysHCFmrS0iJniKhKDbdNCn0UIaIxyHB2YN1fl9Z7hvRE_VCDugEYuQZyLG_rk_S9n6bv8i2DXsTeAL4C33v0QCH0QW2Kpssh5_gpWcw37wd_XfK7YACHfX-4HTif_0t8SOshpGmbaV4fKw2zQtj50B3RFYi265pxDU-zwQgZDvjG-YBIUsKtz2lcg08NHvbD15W_eCI3MNuw8wrnUbtnmXt3-4M3L9Jgp7SOZRAru_MR090WzBOyeyrsqhj1RlX1d_m6y22ukC4Sz_lQvibqStcWuBb4a5iRdcn1sLlVxjF1Ax8Vf76Uo6bwhpJ48Z4Lq9Zh2Nn_vqgsuVd7l9vonTGde1yzIebW1lHV4Wr6NgsDFlRNPeA8Q2xbAVl4W3DJoCxOo9zgGmnHk4QOa21pMSXO3fU5jaF-RcnNgVf9gLrIQ6iydQ3fdYhLfasRrMquW78un1ALA%3D%3D
"['NVIDIA', '4.6']",http://www.nvidia.com/,"Senior Performance Software Engineer, Deep Learning Libraries","Santa Clara, CA",$131K - $176K (Glassdoor est.),"Want to join a creative company that is on the cutting edge of amazing technologies? NVIDIA is developing groundbreaking solutions in some of the world’s most sophisticated technologies including Virtual Reality, Artificial Intelligence, Deep Learning and Autonomous Vehicles. We are looking for software engineers to join our Behavior Planning team to improve the way we drive. As part of this team you will build our behavioral and motion planning algorithms for various design domains, which spans challenges from achieving a comfortable driving experience, occlusion handling, driver-in-the-loop situations, all the way to the long tail of traffic rules that need to be handled autonomously. You will have the opportunity to deploy your algorithms and truly have the first-hand experience of your work driving the cars of the future.
What you will be doing:
Develop motion and behavioral planning methods for different scenarios like highways and urban roads
Integrate the algorithms into our software stack and mature them to production quality
The Colorado Equal Pay for Equal Work Act requires that NVIDIA provide the compensation range and benefits offered for this position if performed in Colorado. The base salary range for this position in Colorado is $126,000.00 - 173,250.00 USD.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846a6cc700ac6c83c517fc1013&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_27e874c2&cb=1668232837176&jobListingId=1008101498338&jrtk=3-0-1ghl6php2kclu801-1ghl6phplghpk800-bd2b0259a3fa0fea--6NYlbfkN0Ct1eYYw2bk7imXkZBzkvCztKeSwYw_6rMLV1-VTk7hZ8Dc-xSXHT910mj3hrg87_YLVSr4B4mnx6RLgme5xTHmxhAYhalncHhoSTHiDTm5CkKygLHCMR-3indfHRDO4Ey33e_A8Q9EALnr6jBMgA77L5M2B3Ea21OqyyN7ydvEiPJ44eqg0PiEueL-AgFOQuUTIVBYW3UFt0UisvGYTtUnz9mh1keQkcuLMIUWW5QxIG3ONSIXEgP9C81pYRVcMXlnnDjQTW8_1Xb6mrLHLzL1zEaRtlKF5Ho62Ca4INEWouPkiGM2QXlxX2wFBzSLPxvP_ebbdFPyqScjCMi98QJerkXdrM3lkSMILZ85EudfPp285b-usi-EHJe9JqBHOywQjzyONB0QabtO19JmP4FzU4R0OomLhZFLK8spdOmU45-h4PPpxCdyv02XlznUwnTDFLheO9o--culFGqe0dKTMqCyINDL2U6F-1F1wu5nd5Bvgw55vxpih5fG3IRuRlXB5vpVPr5xqa9vLrkwxJAC5NjYv9bZSBsYBakLVNmuNBJzVtiEIjIlc4ysf4eAwaluGEypb55KuxV7kgT-E5oi2hdAboTApqzBWK6kH4SfmtHwNKyiFNnRlPgy1Pgaa29vXm2V4pbxrvxfMhDUB2mkni2vcaf0PYu1d5Fp1m3YN7iESDwPW24t
"['NVIDIA', '4.6']",http://www.nvidia.com/,"Senior Performance Software Engineer, Deep Learning Libraries","Santa Clara, CA",$131K - $176K (Glassdoor est.),"We are now looking for a Senior Software Performance Engineer to work on our NeMo Large Language Model Service engineering team. Our team is building next-generation services and interfaces for training and deploying AI at scale. We are dedicated to developing speech and NLP technologies that tackle real problems. We contribute to all steps of the machine learning lifecycle: from conceptualization, to applied research, engineering for optimized inference, and deployment.
What you'll be doing:
Design and implement performance & load tests across services and libraries to increase understanding of system behavior under positive and negative conditions
Collect and organize performance data and share with key stakeholders
Identify performance issues through profiling of the various components
The Colorado Equal Pay for Equal Work Act requires that NVIDIA provide the compensation range and benefits offered for this position if performed in Colorado. The base salary range for this position in Colorado is $162,000.00 - 222,750.00 USD.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.
#deeplearning",3d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a6cc700ac6c83c517fc1013&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8e700b0e&cb=1668232841081&jobListingId=1008266699526&jrtk=3-0-1ghl6php2kclu801-1ghl6phplghpk800-de6c6f461a6a6f51-
"['NVIDIA', '4.6']",http://www.nvidia.com/,"Senior Performance Software Engineer, Deep Learning Libraries","Santa Clara, CA",$131K - $176K (Glassdoor est.),"We are looking for a Senior Software Infrastructure Development Engineer. You will be joining the team driving test methodology across all NVIDIA board products - from the consumer-facing GeForce/Quadro boards to the data-center-focused Tesla boards! We work on evaluating, validating and building new test equipment for the production line and maintaining home-grown test frameworks and related infrastructure. As a Senior Infrastructure Engineer, you will have the opportunity to work on exciting projects and make a difference to NVIDIA's production test solutions.
What you’ll be doing:
Work with multiple Test Engineering teams to build the ""IDE for test"" - a collection of web-based tools to simplify our diagnostic tool builds and releases
Use innovative technologies such as ReactJS combined with other frameworks such as Flask (python) to improve existing test infrastructure or create new test infrastructure to increase efficiency and productivity in test case development, scheduling, or deployment
The Colorado Equal Pay for Equal Work Act requires that NVIDIA provide the compensation range and benefits offered for this position if performed in Colorado. The base salary range for this position in Colorado is $0.00 - 0.00 USD.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",3d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a6cc700ac6c83c517fc1013&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_560e80d9&cb=1668232842868&jobListingId=1008265216635&jrtk=3-0-1ghl6php2kclu801-1ghl6phplghpk800-43e63480a5db0048-
"['NVIDIA', '4.6']",http://www.nvidia.com/,"Senior Performance Software Engineer, Deep Learning Libraries","Santa Clara, CA",$131K - $176K (Glassdoor est.),"We are looking for a System Software Engineer to work on the
Triton Tools Team
.

NVIDIA is seeking an exceptional software engineer for its GPU-accelerated deep learning system software team. Academic and commercial groups around the world are using GPUs to power a revolution in deep learning, enabling breakthroughs in problems from image classification to speech recognition to natural language processing. We are a fast-paced team building tools and software to make design and deployment of new deep learning models easier and accessible to more data scientists. We are open to many remote work locations!
What you'll be doing:
In this role, you will be an active member on one or more open-source software tools being developed by the Triton Tools team. Projects include software and tools to capture performance metrics and optimize configurations of inference models. You will balance a variety of objectives: build robust software; work with team leads to prioritize features and capabilities; and integrate the latest NVIDIA technologies.
The Colorado Equal Pay for Equal Work Act requires that NVIDIA provide the compensation range and benefits offered for this position if performed in Colorado. The base salary range for this position in Colorado is $0.00 - 0.00 USD.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",10d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a6cc700ac6c83c517fc1013&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e254ab97&cb=1668232845773&jobListingId=1008251016728&jrtk=3-0-1ghl6php2kclu801-1ghl6phplghpk800-8a8fd578bad16c31-
"['NVIDIA', '4.6']",http://www.nvidia.com/,"Senior Performance Software Engineer, Deep Learning Libraries","Santa Clara, CA",$131K - $176K (Glassdoor est.),"We are looking for someone to be passionate about quality assurance. You’ll collaborate with multi-functional groups. Senior SWQA Test Development Engineers at NVIDIA aren't only manual testers, you write scripts to automate testing or build tools for QA team, so we can improve productivities or optimize test plan. We'd like to see your ability to identify weak spots and constantly craft better and creative test plans to break software and identify potential issues. You'll have a huge impact on the quality of NVIDIA's enterprise product.
What you’ll be doing:
Work closely with multi-functional teams to understand the test requirements and take ownership of product quality.
Develop test plans, design test cases, complete testing via automation and/or manually and compose test reports.
Build and maintain our complicated test environments.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",2d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a6cc700ac6c83c517fc1013&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ce4a4710&cb=1668232848779&jobListingId=1008267388339&jrtk=3-0-1ghl6php2kclu801-1ghl6phplghpk800-8a967292ed7a7d8e-
"['NVIDIA', '4.6']",http://www.nvidia.com/,"Senior Performance Software Engineer, Deep Learning Libraries","Santa Clara, CA",$131K - $176K (Glassdoor est.),"NVIDIA is seeking a Director, SRE & DevOps to lead a team of SRE & Cloud Engineering Team to operationalize, visualize & automate world-class products to solve engineering, teamwork & Cloud challenges. As a Director, SRE & DevOps, you will lead a team of systems & software engineering to build and run large-scale, fault-tolerant systems and services in the Engineering, Collaboration & Cloud Infrastructure space. Cultural fit is a must, as you will need to be self-motivated, a critical thinker, data-driven, and results-oriented, with a focus on delivering outstanding user experience.
What you'll be doing:
Lead by example, mentor the team of Managers & IC and, establish credibility through quality technical execution, and pitch in with hands-on help and code as needed to keep things running smoothly
Mentor members of the team, enabling them to deliver high-quality Systems & End User experience.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",8d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a6cc700ac6c83c517fc1013&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_6cd45650&cb=1668232851589&jobListingId=1008255337820&jrtk=3-0-1ghl6php2kclu801-1ghl6phplghpk800-62f498804d5b12a7-
"['NVIDIA', '4.6']",http://www.nvidia.com/,"Senior Performance Software Engineer, Deep Learning Libraries","Santa Clara, CA",$131K - $176K (Glassdoor est.),"The Jetson team is looking for a Software Engineering Manager to lead platform software development for the Jetson Developer Kit and Jetson module embedded products!
Do you have prior experience leading embedded platform software development, from the low-level details of embedded systems bring-up including bootloader and Linux kernel through enablement of specialized hardware for GPU computing, multimedia and graphics software? Are you as adept taking an end-user's perspective in the definition, design and development of the platform as you are on the technical aspects of embedded platform enablement? If so, this opportunity will allow you to apply your skills and grow with a family of embedded devices that enable autonomous machines and AI at-the-edge with unparalleled performance and low-power operation.
What you’ll be doing:
You will lead platform software engineering delivering both low-level platform support and high-level APIs to unlock the power of the Jetson platform. This position offers you the opportunity to use your experience leading within a worldwide matrixed software development team, and have broad impact on future Jetson platforms within our highly-dynamic and technology-focused company.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a6cc700ac6c83c517fc1013&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3f9adf74&cb=1668232855483&jobListingId=1008197034870&jrtk=3-0-1ghl6php2kclu801-1ghl6phplghpk800-febdd776ce284200-
"['NVIDIA', '4.6']",http://www.nvidia.com/,"Senior Performance Software Engineer, Deep Learning Libraries","Santa Clara, CA",$131K - $176K (Glassdoor est.),"NVIDIA is hiring engineers to scale up its Distributed Compute Infrastructure. We expect you to have strong programming skills, a deep understanding of software building and packaging, especially related to Golang, and Python, experience with distributed systems, as well as excellent communication and planning skills. We also welcome out-of-the-box problem solvers who can provide new insights while strong at carrying out tasks. Expect to be constantly challenged, improving, and evolving for the better. You and other specialists in this team will help advance NVIDIA's capacity to build and deploy leading infrastructure solutions for a broad range of AI, Simulation, and Rendering solutions that impact current and future important applications.
If you're creative and passionate about what you do, motivated and love having fun, then what are you waiting for, apply today! For two decades, we have pioneered visual computing, the art, and science of computer graphics. With our invention of the GPU - the engine of modern visual computing - the field has expanded to encompass video games, movie production, product design, medical diagnosis, metaverse, and scientific research. Today, we stand at the beginning of the next era, AI computing and next generation internet, ignited by a new computing model, GPU-powered deep learning, and large-scale Simulation.
NVIDIA is committed to fostering a diverse work environment and proud to be an equal opportunity employer. As we highly value diversity in our current and future employees, we do not discriminate (including in our hiring and promotion practices) on the basis of race, religion, color, national origin, gender, gender expression, sexual orientation, age, marital status, veteran status, disability status or any other characteristic protected by law.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a6cc700ac6c83c517fc1013&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_df10901e&cb=1668232857696&jobListingId=1008164005617&jrtk=3-0-1ghl6php2kclu801-1ghl6phplghpk800-f82db1aea96d4f71-
