Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Occidental Petroleum Corporation', '3.6']",http://www.oxy.com/,Analyst Ops Data Mgmt,"Houston, TX",$75K - $109K (Glassdoor est.),"Analyst Ops Data Mgmt
00029421

Occidental Petroleum Corporation (NYSE: OXY) is an international oil and gas exploration and production company, and its OxyChem subsidiary is a major North American chemical manufacturer. We are one of the largest U.S. oil and gas companies, based on equity market capitalization, with more than 40,000 employees and contractors worldwide. Our greatest asset has been and will continue to be our people. We are looking for an experienced and motivated individual to fill the position of Data Analyst within our Project Execution Data Management group in Houston, TX.",3d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7bc68398b507d29c17b34a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c5694726&cb=1668233814064&jobListingId=1008265624395&jrtk=3-0-1ghl7nhm2hapq801-1ghl7nhmigriq800-bbbc6bf8e203fc8d-
"['Occidental Petroleum Corporation', '3.6']",http://www.oxy.com/,Analyst Ops Data Mgmt,"Houston, TX",$75K - $109K (Glassdoor est.),"Manager Investor Relations
00029418

Occidental Petroleum Corporation (NYSE: OXY) is an international oil and gas exploration and production company, and its OxyChem subsidiary is a major North American chemical manufacturer. We are one of the largest U.S. oil and gas companies, based on equity market capitalization, with more than 40,000 employees and contractors worldwide.

Our greatest asset has been and will continue to be our people. We are looking for an experienced and motivated individual to fill the position of Manager within our Investor Relations team based in",24h,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a7bc68398b507d29c17b34a&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c2c9590e&cb=1668233815837&jobListingId=1008275066179&jrtk=3-0-1ghl7nhm2hapq801-1ghl7nhmigriq800-3f30f0e684ef4b24-
"['Occidental Petroleum Corporation', '3.6']",http://www.oxy.com/,Advisor IT Systems (SAP Developer),"Houston, TX",$98K - $135K (Glassdoor est.),"Advisor IT Systems (SAP Developer)
00028057

Occidental Petroleum Corporation (NYSE: OXY) is an international oil and gas exploration and production company, and its OxyChem subsidiary is a major North American chemical manufacturer. We are one of the largest U.S. oil and gas companies, based on equity market capitalization, with more than 40,000 employees and contractors worldwide.
Our greatest asset has been and will continue to be our people. We are looking for an experienced and motivated individual to fill the position of IT Advisor (SAP BW, HANA and BOBJ Developer) within our ERP Foundations Department based in Houston, Texas.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7beec49daf50a46392de90&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c0d64af8&cb=1668233822464&jobListingId=1007937198494&jrtk=3-0-1ghl7nrnbj454801-1ghl7nrnqi39u800-3d475b68c9d09120-
"['Occidental Petroleum Corporation', '3.6']",http://www.oxy.com/,Manager Data Governance,"Houston, TX",$90K - $134K (Glassdoor est.),"Manager Data Governance
00029311

Occidental Petroleum Corporation (NYSE: OXY) is an international oil and gas exploration and production company, and its OxyChem subsidiary is a major North American chemical manufacturer. We are one of the largest U.S. oil and gas companies, based on equity market capitalization, with more than 40,000 employees and contractors worldwide.
Our greatest asset has been and will continue to be our people. We are looking for an experienced and motivated individual to fill the position of Principal / Manager Data Engineer within our (Data Management & Analytics) function, based in (Houston, TX).",18d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7c1059bfef48bebdc81533&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e87f7373&cb=1668233835331&jobListingId=1008231725951&jrtk=3-0-1ghl7o444kuj7801-1ghl7o44oghqn800-edb87e6e5bc1d5fe-
"['Occidental Petroleum Corporation', '3.6']",http://www.oxy.com/,Manager Data Governance,"Houston, TX",$90K - $134K (Glassdoor est.),"Senior Staff/Advisor Analytics Engineer
00029007

Occidental Petroleum Corporation (NYSE: OXY) is an international oil and gas exploration and production company, and its OxyChem subsidiary is a major North American chemical manufacturer. We are one of the largest U.S. oil and gas companies, based on equity market capitalization, with more than 40,000 employees and contractors worldwide.

Our greatest asset has been and will continue to be our people. We are looking for an experienced and motivated individual to fill tan exciting position of Senior Analytics Engineer within our based in In this role, you will get the opportunity to work alongside other OXY’s scientists and engineers to solve some of the most challenging scientific and engineering problems in the energy industry and help OXY to take bold steps to innovate for a lower-carbon future.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a7c1059bfef48bebdc81533&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d5f68031&cb=1668233838176&jobListingId=1008151836823&jrtk=3-0-1ghl7o444kuj7801-1ghl7o44oghqn800-8b821cf099365a8c-
"['Occidental Petroleum Corporation', '3.6']",http://www.oxy.com/,Automation Communications Specialist,"Pecos, TX",$45K - $69K (Glassdoor est.),"Automation Communications Specialist
00029432

Occidental is an international energy company with operations in the United States, Middle East, Latin America and Africa. We are the largest onshore oil producer in the U.S., including in the Permian Basin, and a leading offshore producer in the Gulf of Mexico. Our midstream and marketing segment provides flow assurance and maximizes the value of our oil and gas. Our chemical subsidiary OxyChem manufactures the building blocks for life-enhancing products. Our Oxy Low Carbon Ventures subsidiary is advancing leading-edge technologies and business solutions that economically grow our business while reducing emissions. We are committed to using our global leadership in carbon dioxide management to advance a lower-carbon world. Visit Oxy.com for more information.",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7c76f5860d5ff17b22043d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_18310b12&cb=1668233862855&jobListingId=1008268542558&jrtk=3-0-1ghl7otpaklt9801-1ghl7otpqi9hg800-a8c219b5e8a00b06-
"['Occidental Petroleum Corporation', '3.6']",http://www.oxy.com/,Automation Communications Specialist,"Pecos, TX",$45K - $69K (Glassdoor est.),"Supplier Registration Specialist
00029262

Our greatest asset has been and will continue to be our people. We are looking for self-motivated individuals to fill the position of Supplier Registration Specialist within our Supply Chain Management organization. The ideal candidate can be located at either our Midland or Houston office.

PRIMARY RESPONSIBILITIES:",25d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a7c76f5860d5ff17b22043d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_63556daa&cb=1668233864656&jobListingId=1008213593458&jrtk=3-0-1ghl7otpaklt9801-1ghl7otpqi9hg800-e034b968d25cd787-
"['Occidental Petroleum Corporation', '3.6']",http://www.oxy.com/,Automation Communications Specialist,"Pecos, TX",$45K - $69K (Glassdoor est.),"Specialist GIS Sr
00028575

Occidental Petroleum Corporation (NYSE: OXY) is an international oil and gas exploration and production company, and its OxyChem subsidiary is a major North American chemical manufacturer. We are one of the largest U.S. oil and gas companies, based on equity market capitalization, with more than 40,000 employees and contractors worldwide.

Our greatest asset has been and will continue to be our people. We are looking for an experienced and motivated individual to fill the position of GIS Specialist Sr within our Team based in",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a7c76f5860d5ff17b22043d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_56e89bfe&cb=1668233867574&jobListingId=1008094026681&jrtk=3-0-1ghl7otpaklt9801-1ghl7otpqi9hg800-99b34f57ea73f732-
"['Occidental Petroleum Corporation', '3.6']",http://www.oxy.com/,Analyst Ops Data Mgmt,"Houston, TX",$75K - $109K (Glassdoor est.),"Analyst Ops Data Mgmt
00029421

Occidental Petroleum Corporation (NYSE: OXY) is an international oil and gas exploration and production company, and its OxyChem subsidiary is a major North American chemical manufacturer. We are one of the largest U.S. oil and gas companies, based on equity market capitalization, with more than 40,000 employees and contractors worldwide. Our greatest asset has been and will continue to be our people. We are looking for an experienced and motivated individual to fill the position of Data Analyst within our Project Execution Data Management group in Houston, TX.",3d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7cc06b8af6f712f32b0cd2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b9799612&cb=1668233879259&jobListingId=1008265624395&jrtk=3-0-1ghl7pg4ekbms801-1ghl7pg52ghpk800-bbbc6bf8e203fc8d-
"['Occidental Petroleum Corporation', '3.6']",http://www.oxy.com/,Analyst Ops Data Mgmt,"Houston, TX",$75K - $109K (Glassdoor est.),"Analyst Ops Data Mgmt
00029421

Occidental Petroleum Corporation (NYSE: OXY) is an international oil and gas exploration and production company, and its OxyChem subsidiary is a major North American chemical manufacturer. We are one of the largest U.S. oil and gas companies, based on equity market capitalization, with more than 40,000 employees and contractors worldwide. Our greatest asset has been and will continue to be our people. We are looking for an experienced and motivated individual to fill the position of Data Analyst within our Project Execution Data Management group in Houston, TX.",3d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a7d297a9204386d849131c2&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9c36bd51&cb=1668233906997&jobListingId=1008265624395&jrtk=3-0-1ghl7qadambgs801-1ghl7qadri17g800-bbbc6bf8e203fc8d-
