Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Aston Technologies Inc.', '4.1']",https://www.astontech.com/,Full Stack Web Developer - Entry Level,St Louis Park,$25.00 Per Hour(Employer est.),"Job Description:
Limited Time Opportunity: Earn a $2,000 bonus on your first paycheck on project after completing our in-house training curriculum. For a limited time. Ask for more details.
This Full-Stack Web Developer position will be working on client’s software projects to help assess, design, and implement to ensure a successful project completion. This role begins with an on site training program with curriculum designed to sharpen and test your programming abilities. Upon successful completion of training, you will have a clearer understanding of creating enterprise REST Endpoints, complex Full-Stack web applications, and advanced coding proficiency.

Successful candidates of the training program are currently working on projects in the following areas: Java SpringBoot back end, Node.JS React front end, building sophisticated graphical user interfaces (GUI), managed DevOps infrastructure as well as Big Data. When on project, our software developers solve technical challenges, document solutions, resolve bugs, and allocate resources to deliver solutions for the client.

We are looking for people to participate in our in-office training for this position as soon as December 12th.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846b40aa23974b6bad65e1be3d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0978ca6b&cb=1668246716663&jobListingId=1007611984163&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlk1aiembgo801-1ghlk1aiuihlq800-76785349a91f064f--6NYlbfkN0Bkb-ytiGCNOKS17COaSWVQYZB8PE4Lo8kSq62CWsDFcV9x-emSzh73JOO2gE-hyEo_2DyTb6_v1zyxpEwvk8_xhbcIzpfv7GbkwH58wfOb_FkEj2ktgPq5ISPQzlc0_q2TlUNAPeQHOm6HtODDFBS3fqqYKprACdO6eLXbtsB9pFA_h41WeGElZsrcN-qhT5N7Z-oxoQw8Vu4X15TmfB0zOpOT0iZMAfNdVGCrG6CYcqm_nXBksD05zDAdaMGZOfs5OdfW5zkKQTDol_EoLjBGFAlyZOqdClsd27GJjIqURdCmxuYR-XPP5G1yTIzJwP5Jp3vB6w9IO-wXkdkO_PGD6y4-87Qhy1yS729GCo6BiyjX1fEr5ms9hY665oL-v47A5z1IVaCR_LJo1JKouvybjQs_VRDABQNjdXZnsj48l7RUqZ_WNPyJEjADokM1TtsOM51myJwjiDQUFNUvTrq-QAyT2elnER-mueLmiOx6tXcmXRYKrWU95VTpW4-m4kMY3KrP-4qqh0kyZx_QUt6H
"['Ansys', '4.2']",http://www.ansys.com/,Full Stack Web Developer - Entry Level,St Louis Park,$25.00 Per Hour(Employer est.),"Ansys is the global leader in engineering simulation. We empower the world’s most innovative companies to deliver transformational products to their customers. By offering the best and broadest portfolio of engineering simulation software solutions, we help our customers solve the most complex design challenges and engineer products limited only by imagination. Whether you are a software developer, product engineer, sales team member, or part of our corporate team, at Ansys we know that by embracing what makes us each unique, we become collectively better.

Summary / Role Purpose
IT professional with an understanding of financial business applications functionality and capabilities with the ability to develop detailed functional and technical design recommendations and configurations of business applications. The primary focus will be leveraging development experience with Oracle EBS R12 applications and interfaces to provide robust functionality and meet new requirements from the business. This role is responsible for the validation of business requirements and design approaches, basic and advanced system configuration, limited custom development, advanced report, and database query development focused on our core Financial Application environments. This role expected to work independently with moderate supervision and participate as a development resource in larger projects.",2d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846b40aa23974b6bad65e1be3d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dedeb1a6&cb=1668246718612&jobListingId=1008269647740&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlk1aiembgo801-1ghlk1aiuihlq800-9b975032d4268477--6NYlbfkN0C_VxUQDhzcEtU5UIQUIXNdycmbXVRtU8htuAzRK_ilEtj_GUc6UbOCa9u03t1VkXJSLvTxVV416D0OZ2vYGz4lyS8HGdTvYaGYTRNbALEsmEAkFXGeQ5ekag5aiaZ-hjJUMma7W1kz5B7ipoIARgTt0QDpAn_cupnFjUwz7HQ7a0i1k7oh3tUjCO6O_rEQjT1cp8vVRPhFMO5xqeP5Dr3Hu1Z4RjhtYKDIrZYLMMydjR54C2Q-xjVOdkDzEANAFG3YrfnWnw34b3PbRj6N1CIndwNCIzgMy7M3vzlYwHlLqhxv-cODwFiOo8IxbfqlT2CyJsxF-_9tNRftHEkqggwes-acbnuce3aGaZz1447BqScrahJdiDbET-p4fGBRBo7g3jSTF3egFkynoA8Xt-BTU89XecMuJiDYiHkPxgT4gG4VRZwwvTYFDb9mPotzi39nOXWDLSXPbt4Czmhq20JcEEJVyJvka82IzihtcWjmI1MjifKDh-7MVBKlUTcddXX8KCWOGSw8SXtb6KrO-mWHlLNSSa5sNvmEp4dP-wgNcu-YC54q4Gs80_Y28pmzjmHxYv8Q7HLiKIYRPihsvz9DAZfOGfFj8jCVg__Ru_p4uxB2EzuwmKFFAtdjI8kMcIsl11399yr5Nwn5iUbLb1iUOlAwvMT8-44DKgaBZdH7dKyLbfJvXksaPXSLkG47K-gx6lFTsijJVjUSz4IPxx8MkDD0uCWtr5hcKka_83wffYBbzDkKeQfF1zXejRCIGwSMLbF4tt8hMMZFctSJrSDpqYwxfuht6nGjuhF_8KyI0dLrvdY58CIDVp3D-a-m4THvA8QJ1MbZME4TBG8InX1Kho9cgzXEBEzcJwrPqKIy8F8QygVGwk_1Ew9q3JtEFDECVw-t6J3Js0LCGVUePmEA6jgQCPb64FZMl4bGBKJIbjk8Q-fUs-4oqCxntFizA71lO-2S5if8kceF84CuXFY6H60BfPPX5LOUjrveVNy_FGG0alxc5NbAICavY2Efl6HRdcopdNXimcleK7_H9f_eNpTLWyasJmAILrmjgLrKuZjCcxmY8dMT7-T40ZKLkDmUrYb5TlGGcLpZkJINrRI6Ea-5ov5V690f8WukhXaOPQ%3D%3D
"['Ansys', '4.2']",http://www.ansys.com/,Full Stack Web Developer - Entry Level,St Louis Park,$25.00 Per Hour(Employer est.),"Ansys is the global leader in engineering simulation. We empower the world’s most innovative companies to deliver transformational products to their customers. By offering the best and broadest portfolio of engineering simulation software solutions, we help our customers solve the most complex design challenges and engineer products limited only by imagination. Whether you are a software developer, product engineer, sales team member, or part of our corporate team, at Ansys we know that by embracing what makes us each unique, we become collectively better.

Summary / Role Purpose
IT professional with an understanding of financial business applications functionality and capabilities with the ability to develop detailed functional and technical design recommendations and configurations of business applications. The primary focus will be leveraging development experience with Oracle EBS R12 applications and interfaces to provide robust functionality and meet new requirements from the business. This role is responsible for the validation of business requirements and design approaches, basic and advanced system configuration, limited custom development, advanced report, and database query development focused on our core Financial Application environments. This role expected to work independently with moderate supervision and participate as a development resource in larger projects.",2d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846b40aa23974b6bad65e1be3d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8dc23ea3&cb=1668246722710&jobListingId=1008269647721&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlk1aiembgo801-1ghlk1aiuihlq800-98d3a676ebd99a96--6NYlbfkN0C_VxUQDhzcEtU5UIQUIXNdycmbXVRtU8htuAzRK_ilEtj_GUc6UbOCa9u03t1VkXJSLvTxVV416GPTxpvtiX3r_0pk9BTrSR2X5I1waOFZ5Q3jCCDWQ2LvrsQvedpiB1EPX8D3noDEwJYFjMe9AtNh-xvCUl9OK4wXR85tS2xTR4yHB9cCQ9nju4RDZrQYhGUlqh94oyt_2fQCaVd_Vth5hz7HlyJSuWdx_Fs9y6-r0qy2XrURUiSzbrtzPRpzo5MmZkbtTmE6sHAceqFB7SekJ9ZDy1Filh4XO50dtmXHV9b_3emWyYotzrYil7HhebC9bEt6YqM_sngn4GvzuuPsKKwxYCXiaYbwzNUT_eKunCKcfc60jDz0t-hlKn489FCW3OA5BUTJ40zHPMCHfMt4UgEjIqfS3Li3lkMx4yFb7SUDfz4MDLV2MrjzmmR5v0wl3Zplc_EuB2Y9rDA1g48A2WzTkuvTwb4qWvPri058PFA_a1CEWiRAGtblzX5odlEMHFzDhu7tM6L-7A22vjoJZnFBC0dbdlkp4Hc-Lqr45xmwHyokP4jFC8ms-tA_peJ5sve9xJXPR3IS4VU7yzaNGUz7ynIBgwNvJhBvktGKxfsELIIie17HCfvJ-Jb7bw1m718zb2KKkR0c_Ai8QJOiI6jHIsEudEbmoyjNH3sLzXxxHnKuJrPH4yk3HBlePJQ5jfZfUhUWuN5fmmNhNfKYdYNEFQIZsSlOLDdDnrldkRGG6IBc8rUPK9ACiF6sTwyqjKOmS251dwomZg-O_uKTAAPuIdNXY9H7Vjak3qfucLQE3wXJs1OEXYp4CIEkKHe0-q3JX0ISR8qzo-NHQj8wNpTPnuCP51_edBEkAb-R4lVQphrgT_Rwqrbz2kBmPUgubsfhdgRuLsTQ0ilPSKaBdMHLvVjjEPr99a5Phav14agQ9531YugwdqZInZNvGaUhNbddXXWLHeY8a7aBmb6ofsiQWcAkVEI7t2p6nCPa91up4kqcp_hE9Pvtfhb-zEDPJ2AO9RjfO6OghuVUAvCwnkBWwt2lW2SWekT1ooAwqcPUqzDyytg5_3OafIHj3wiurb5PLulGUK00jpwpRbMaz8TNXTXW3wZT_WyQM1-yzw%3D%3D
"['Ansys', '4.2']",http://www.ansys.com/,Full Stack Web Developer - Entry Level,St Louis Park,$25.00 Per Hour(Employer est.),"Ansys is the global leader in engineering simulation. We empower the world’s most innovative companies to deliver transformational products to their customers. By offering the best and broadest portfolio of engineering simulation software solutions, we help our customers solve the most complex design challenges and engineer products limited only by imagination. Whether you are a software developer, product engineer, sales team member, or part of our corporate team, at Ansys we know that by embracing what makes us each unique, we become collectively better.

Summary / Role Purpose
IT professional with an understanding of financial business applications functionality and capabilities with the ability to develop detailed functional and technical design recommendations and configurations of business applications. The primary focus will be leveraging development experience with Oracle EBS R12 applications and interfaces to provide robust functionality and meet new requirements from the business. This role is responsible for the validation of business requirements and design approaches, basic and advanced system configuration, limited custom development, advanced report, and database query development focused on our core Financial Application environments. This role expected to work independently with moderate supervision and participate as a development resource in larger projects.",2d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846b40aa23974b6bad65e1be3d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_67592ec8&cb=1668246731054&jobListingId=1008269648117&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlk1aiembgo801-1ghlk1aiuihlq800-16ed45aa6c90a7cc--6NYlbfkN0C_VxUQDhzcEtU5UIQUIXNdycmbXVRtU8htuAzRK_ilEtj_GUc6UbOCa9u03t1VkXJSLvTxVV416Iruh46pHan2XVvjSsMp1PReaJ-ivTOe1d_gbgmdCEyDmFowzDgxjhPi7UMJ0-9tIDdk2C2xSavGjkWTiOAjzvCMiTEqo6NhPcQVfq1m9QM1SUOePMUCGwau5nPFDLaJRzbHZlOXgQCSyovOtHLjzFi-pf_STXy3AEBNA6NImWcTxF60lzUUn-5t3J5hUb3H5VEgxcwLBlpV0HubF3K7kCEDS02h4QYisp0JPTzzDDANR5eDpwDN48PW8GdMVkqQvf7atnml9ewq3vGhdufRFfirIdIU3uq-_O3bU6_jSWneU8ad0CaQZGGK9oKhMjeAX9o5cisc_T9VhPvBftOKntYLRijGprjrddJEEZvr-z8dUeyRglBBO5QYSf7E0Yh-tM5fcwhfyqLt4GP7mvBKnS-erU4SOwZxK0mOXgLUbpLAffMrYl1vXUjqaeLjb1p4VhwvzuPtTB2bSoECTMZ_WWs62mL2wcx-003pUBSfpEvjBHX-a1IsZK9sFfoQ6OPGEeYFy3fbDeBSHpmBD6f92tY0_hHUnNy0YyLtiZ1lAZsExFiGQYNkNrSgmz410x-_1zPAp2waIuk_ZqBaMjk8U8EXJwzJamWGhrnhpKh2GGWGS2H6RixheAn4mQyt-EyKlBBuww13_pvwlatxlTyeWNBopJSWPxZljsUeZ1jtwyhBSxWECB7LakG-8amgXBay48Wbi2V3MRsBxFhb9pyT61UfehtQWnjpl3SRXRwN2mGDFBbOV5VccP35vEG02IAIy7eOd0z0UdEAbCoH7Gu47kM-FNatEwxyFp8DLrvLMErhP_qBKhmZVGn3FIgdmepHAN-v3NFWUV_bqQcQp2HN3_LfoeFDNYwLUG_cFBvd4pk0I8FE6T3ayu70ownAqjiJiz9r1_A5X-IjVYWS8fWI5XBFZ2ly1SNly-Myrho-Y77HElPcCuCYE8A3pyk2Xs1P9-MM8fMLexKa4jlAWrgxwwsCUfZZAHHVVcF_npN4Py13oxSzgAEbK0mtoppXfB81KKUU70cqpEi7an5ax6Ee1iLfDqNTYOfyVQ%3D%3D
"['Anheuser-Busch', '3.8']",http://www.anheuser-busch.com/,Full Stack Web Developer - Entry Level,St Louis Park,$25.00 Per Hour(Employer est.),"Dreaming big is in our DNA. Brewing the world’s most loved beers and creating meaningful experiences is what inspires us. We are owners, empowered to lead real change, deliver on tough challenges, and take accountability for the results. We are looking for talent that shares these values, that is ambitious, bold & resilient. We want talent that is looking for fast career growth, cross-functional experiences, global exposure and robust training & development.
WORK LOCATIONS: St. Louis, MO - New York City, NY - Denver, CO - Miami, FL - Austin, TX
Salary: $98,000 - $152,000 (pending location)
COMPANY:
Michelob ULTRA. Cutwater Spirits. Budweiser. Kona Brewing Co. Stella Artois. Bud Light. That’s right, over 100 of America’s most loved brands, to be exact. But there’s so much more to us than our top-notch portfolio of beers, seltzers, and more. We are powered by a 19,000-strong team that shares our passion to create a future with more cheers. We look for people with talent, curiosity, and commitment and provide the teammates, resources and opportunities to unleash their full potential. The power we create together – when we combine your strengths with ours – is unstoppable. Are you ready to join a team that dreams as big as you do?
ROLE SUMMARY:
The Team
“TechOps” is a team that is well rooted with the business and the functions inside Anheuser-Busch and covers both United States and Canada as a North American Zone (NAZ). In TechOps, you will design, build, test, and support software products that continue to be a competitive advantage to our business. You will act as a technical Subject Matter Expert (SME), and partner with others to deliver sustainable solutions and successful end-user experiences.
The Job
As a Software Engineer specializing in API development, you will be key to enabling the flow of data and its underlying transactions through building and interacting with APIs in applications and services. You will work on a DevOps software engineering team dedicated to building enterprise applications with the latest and greatest cloud-first technology to enable key parts of our business. From contributing to new applications to enhancing existing products, you will work amongst a team of passionate software engineers, facilitated by a scrum master, with work prioritized by product owners.
JOB RESPONSIBILITIES:",4d,
"['Yardi Systems, Inc.', '4.1']",http://www.yardi.com/,Full Stack Web Developer - Entry Level,St Louis Park,$25.00 Per Hour(Employer est.),"Yardi is a global software company providing innovative property management solutions and services in every real estate market. We are focused on providing our customers with superior products and outstanding customer service. We are passionate about technology and believe work should be fulfilling and fun! We are committed to our customers, employees and the communities where we live.
We are looking for motivated, enthusiastic team players with a passion for technology to join our growing Software Development Team!
What you will do
Modify, implement, and maintain existing applications to established standards, specifications and approved changes",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846b40aa23974b6bad65e1be3d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_75ae34a8&cb=1668246736094&jobListingId=1008017415464&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlk1aiembgo801-1ghlk1aiuihlq800-ea259a364d6a35bf--6NYlbfkN0CV0HNUvoJHZLBsHZVlKdwBK3U3yTEE_byVWJUywqgs8FW6VKWzVQYZmMYwNXo6DhDZomqPkujI9KE963rTVjUBOpZ96UUymEMAxMRetiMn8VC-n4ToDVmsdxK-9Gx62OrF2jms9gJJ2mgE-CldkUZ99gN-M231ocm8x8NocuFJK-OpA8VI580GVufOn0ZfRcAgg0muxsMjh-8FIpqLOCVYrs-vrwRpGhHWsl_rMQA_V7Fbu5tMiI94_b85xtu-mHuSdF4hjEQofMGH9U6TlhMlENH-SLLYHJf9K-lV9eQQZUJMuV4TnRVe8TjdQZQSRy4fAfO8tv5mASICpczwTY2TRLFFmNW5j8FecqYFfKEL9SH9bMm9u8oLUvfmb46QwflYjgceH4NR6GYx4wQljvOzcjth2hGXKRij9hhaeA-zoD7wF3OXwt92x6Gatn1vhvqU4iszdCouYI3jSdEB4ji2gc1EwdDiitY9AIJ7PiDPGRqt5yQO4qhO9nWZrIU5K70%3D
,,Full Stack Web Developer - Entry Level,St Louis Park,$25.00 Per Hour(Employer est.),,2d,
"['Zillow', '3.9']",https://www.zillow.com/,Full Stack Web Developer - Entry Level,St Louis Park,$25.00 Per Hour(Employer est.),"About the team
As a Zillow Group platform, ShowingTime operates as an independent, open platform for existing and new clients — many of whom already use other industry offerings from Zillow Group. Launched in 1999, ShowingTime is the market leader in the scheduling, automation and management of residential property showings across the US and Canada. Each month, we automate over 4,000,000 showings and partner with nearly 1 million real estate agents who rely on our platform. This provides both convenience to the home buyer and an unprecedented level of visibility to the seller.
About the role
Design, build, and maintain Selenium tests using Selenium C# with BDD Specflow or Protractor and Typescript for Angular (or similar).
This role has been categorized as a Remote position. “Remote” employees do not have a permanent corporate office workplace and, instead, work from a physical location of their choice which must be identified to the Company. Employees may live in any of the 50 US States, with limited exceptions. In certain cases, an employee in a remote-designated job may need to live in a specific region or time zone to support customers or clients as part of their role.
In Colorado, Connecticut, Nevada and New York City the standard base pay range for this role is $98,600.00 - $157,400.00 Annually. This base pay range is specific to Colorado, Connecticut, Nevada and New York City and may not be applicable to other locations.
In addition to a competitive base salary this position is also eligible for equity awards based on factors such as experience, performance and location. Actual amounts will vary depending on experience, performance and location.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846b40aa23974b6bad65e1be3d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_70194f16&cb=1668246740944&jobListingId=1008073833153&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlk1aiembgo801-1ghlk1aiuihlq800-bdbd237fa6adc276--6NYlbfkN0ANMurRYyPEXg08u6OamUd1Mvhk-zhFSGYIZgoJR86UvYL2v6MoUqae-sD5DnU21vow35bQ1-Ze4dgwP3h0gIUgPs8wUViGkb_G3-ui4tvTc5oBQ_fL4jvKGTFl8Uu4QmnKpXCh8pUj7fxO7Bu5yBOVswLieY_dmKPh0ojbhdWQ1NDoAz7J0w5KAwkqPiN2zKkqfUV2YauJxBwORtP-h3jKsytMzr4Qt07_pROaSvCNnDwZhbROzPHmulJGvJzl1DKxj9WWHKSwyM1BuS1rBrAhekSbRZ4fgNHoeV3VYbMRPWcHB6_mvvY2FLLoEDBO16D5beafmyJ-0p9sigAWOL1V0mF1-84sTvS51TZclcNr55-p_-qmSe5KEFtUzQYeOXOHe3FDv_MdTq7CuxHDLUj0A3lmou5VmBvMkXx1lShn7OQlzl_7_UmTM_XG8WPt4OaDr5LWmGi4vem-vsMGLKpvLBmQgrgbuGfp-pVQXeA6b-vCmVyZnRCawoHGT0AipkJQYPvPhJSysMskF2iJQN6RySwES5p5-DUBu_aFezqttwQEe2EjNGRUtNfcG2UshfsQSDv5zWlhW5ck0vqhXBD5W5JPMp5tbg4a2imuSpJbTDDQrONLDbbhuWuCxoqhu0LuLe2NXoDeZJ5hKbvo7zSqSbIpBcJy60tHGCDRcx4LGWpGujlWXLKfaQJ53RA20KWVKJyZj3jul-6bXip3UhxWh2DNbnycM9lEEsj2eG2t41YC1Q1tP9OO8Va6vuaD5M0wTzx9QQruS12gmCluMplEA4l0_6foIr0IrpUWXKbR4m6PQvc3rn0_DIulaJstwayjv2zTotU5Y6zbBDAbrVQ8QQpGheoyTv5AzyD5KrtOlDxt_Q5lhCAhGMm5ykaKfud1jlipSycYp-XuwmjrHtN__qXncKlNpTj4U3pKR-GMcBwZNKRXwfS0
"['Ansys', '4.2']",http://www.ansys.com/,Full Stack Web Developer - Entry Level,St Louis Park,$25.00 Per Hour(Employer est.),"Ansys is the global leader in engineering simulation. We empower the world’s most innovative companies to deliver transformational products to their customers. By offering the best and broadest portfolio of engineering simulation software solutions, we help our customers solve the most complex design challenges and engineer products limited only by imagination. Whether you are a software developer, product engineer, sales team member, or part of our corporate team, at Ansys we know that by embracing what makes us each unique, we become collectively better.

Summary / Role Purpose
IT professional with an understanding of financial business applications functionality and capabilities with the ability to develop detailed functional and technical design recommendations and configurations of business applications. The primary focus will be leveraging development experience with Oracle EBS R12 applications and interfaces to provide robust functionality and meet new requirements from the business. This role is responsible for the validation of business requirements and design approaches, basic and advanced system configuration, limited custom development, advanced report, and database query development focused on our core Financial Application environments. This role expected to work independently with moderate supervision and participate as a development resource in larger projects.",2d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846b40aa23974b6bad65e1be3d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_44a955c0&cb=1668246742815&jobListingId=1008269647722&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlk1aiembgo801-1ghlk1aiuihlq800-40619cfb1f1507ef--6NYlbfkN0C_VxUQDhzcEtU5UIQUIXNdycmbXVRtU8htuAzRK_ilEtj_GUc6UbOCa9u03t1VkXJSLvTxVV416Pnc1KBnb_Z-dnkZg8uaScDy5n92A6EBVyLVXmxc1DCtXVBceKH4_YfjML2xfP-nA1XtQmCcf4Tg4L2UBpfP1RET849q1sDsqxtshyssUbqo8YbJzUnqEQSSrX8MOuH4q6F0EbqqA8L8i7w54HInkDovuDAymQSjvHcBlnaj6Wwa9xQKVokpYqxh9Mocrj28h4xH3U4TcH3F3xtx3kmMRMXp-OCMY6cAslZOr-rELlp7VTMVUObWLf4rE70XOvvGZWVPc7jXNIA-CLMmg-opkm85c0QvM8_mqqmPvhh6dwPMaiyv0kvD7IujDj0vXgiA2aerbaiFte1z35J9BDWPgeWxHIe-U6XnLimAvrUeRav7U83j9o_yMTUBzbpN-8-6RX1zLje5hnJGxDhIY9JmsGfn-j6WJfjiemJb7qiDC2cG4R-R9iyP8F612GkqQO23l44csn9Q1NtZPH6rhxE7Mq7z9i3hDZg9M7LwRdVYwVP4-iUbcKo3jlh6U60LIdXJVOuUzm7y-3_sXw46rFPRN-wav5WTNJHuysDlpZUa2ASKHCXJQciiVS99TaQFwSXrh5JKZlTv0mgWVW45tfhh3L-eKPiT_CtvP64btArKzC6NimLgNlD01gm65G7XAHeDmDCnwPDc-COxFIndkFOkIQE7sgFPrQOQscLnWoREv--o1_wQmj79WmYyoQtCgbLTIDHB2ja_AwXz4QK6e17JkxIxvlz3uid3YSisZGMGk6IwmXjRV3XkrX2zIdnmzoLjWk27F5Wif4sCyDBEnsze5qOHfJ8VZ0oNyG1ddG_2VAMDRuGrBjWehyHkEMJrRnAT6lvI3pYdRmo6UhX93qyMnTdS9yAd0hxK1H8lDEZUvZm3Z8er7ggykFlqyAfkBdWoDU-nOy2B0jHIZBC5Lc2e5chB3ZSRFC1eNFWSIADsuxRcxzCmpMf-ivvf34CA_6UrfzpxpMAH4EWiHMlbu1zHcclIyE9-ArYdkas8UNCc56XjdzKw6x7eDIrIZzr-5MdwD_802hKc0aVH
"['Target', '3.6']",http://www.target.com/,Full Stack Web Developer - Entry Level,St Louis Park,$25.00 Per Hour(Employer est.),"Location: 1000 Nicollet Mall, Minneapolis, Minnesota, United States, 55403-2542
About Us:
Target is an iconic brand, a Fortune 50 company, and one of America’s leading retailers.
Target as a tech company? Absolutely. We’re the behind-the-scenes powerhouse that fuels Target’s passion and commitment to cutting-edge innovation. We anchor every aspect of being America’s most loved retailer with cutting-edge technology, and the smartest engineers in retail technology! Site Reliability Engineering (SRE) at Target is an engineering discipline that combines software and systems engineering to build and run large-scale, massively distributed, and fault-tolerant systems.
As a Lead Engineer in SRE, you are someone who has demonstrated experience building highly scalable platforms and fault-tolerant systems across a range of technologies, including Linux, Apache, MongoDB, Python, Oracle RDBMS, Redis, Postgres, and Hadoop. We use a combination of Google Computing Platform and our own server farms operating out of Target Data Centers, and therefore, experience managing application stacks in a Hybrid cloud is preferred. You are a thought leader and mentor for internal and external technical talent and actively contribute to the external technical community.

This position may be considered for a Remote or Hybrid work arrangement based on Target’s needs. A Hybrid work arrangement means the team members core role will be a blend of virtual and onsite at a Target location. A Remote work arrangement means the team member works full-time from home or an alternate location that’s not a Target location, does not have a desk at their primary HQ work location and may travel to HQ up to 4 times a year. Work duties cannot be performed outside of the country of the primary work location, unless otherwise prescribed by Target. The salary range is :$105,800.00 USD - $190,400.00 USD. Pay is based on several factors which may include, but are not limited to education, work experience, certifications, labor markets, etc. In addition to your salary, Target cares about and invests in you as a team member, so that you can take care of yourself and your family. Find competitive benefits from financial and education to well-being and beyond at https://corporate.target.com/careers/benefits.",3d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846b40aa23974b6bad65e1be3d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9f5239b4&cb=1668246746794&jobListingId=1008267068712&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlk1aiembgo801-1ghlk1aiuihlq800-78d73c2badb7642a--6NYlbfkN0AgONBeCfCTVljpwzR96jFX3mtyFC--n153CYnqiKkqIX_9jcboxCHu9xR05732Qjnls8LGO4bXWXjMByY3zRoGgnI_XSmrg1ilJSUuFPi_D0wVBjzaANabY37FCi3vcZ8g69ZJf33lkI0JXRsNYTO7RwQaSbaGMKlcNceK_1J_Hx0QYOFPjR78ZMAHQPp8zThT1TovQDmjL7NOnaNjqpToCr2El4sb4cul84KEngakKxSSt4b2v6kBXaFD8FT7Worym5kVszQwpiWtgn8M5kKjQ_lEY-VMGTdZeGKdYnaUkkQ55aG9lbAb4rnlvhf9p3GX2fMsHAbw4m6PV-sKTGkR9A7KDgB3B9LRUMaYreJ11CtXOUdoXtAuzZLbQMfcuxIcqf_JTiv6JDoZe14omNfA72UgM3FVzcduuL_rWY1Z3XpRakDvNeAe
