Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
['G P De Silva Spice Inc'],,"Sr, Import Export Specialist","Pico Rivera, CA",$60K (Employer est.),"Grupo Canela member of G.P De Silva Spices is a wholesale Import company that offers cinnamon sticks in bulk and spices. Founded in 1955, our corporate goal has been to help our global clients simplify their cross-border deliveries with a stable end-to-end and cost-effective solution. We are present today in the USA, Los Angeles CA, Houston Texas. Given this know-how, it is our aim to empower Small & Medium Enterprise (SME) clients in the B2B market with B2C delivery experience and market competitive rates.
If you are looking to bring your skills and expertise to a growing global company, it’s time for you to join us!
The Role
The person whom we’re looking for must be proficient in the following:",10d,
['PG Long Floorcovering'],,"Sr, Import Export Specialist","Pico Rivera, CA",$60K (Employer est.),"Our Portland Oregon Corporate location has an immediate need for a General Ledger Accountant. Located just off Airport Way
PG Long is the most trusted floor covering operation in Oregon, SW Washington, and Boise for the multi-family housing industry. From the southern Willamette Valley to Longview, apartment managers, management companies, and property owners have relied on our unrivaled commitment to superior quality, competitive pricing, and diligent customer service for over 20 years.
Compensation: $70-85K depending on experience
Job Responsibilities (prior relevant experience is a must)
Timely and accurate creation of financial information/reports as directed on a monthly, quarterly, and annual basis",4d,
['PG Staffing'],,"Sr, Import Export Specialist","Pico Rivera, CA",$60K (Employer est.),"PG staffing is the hiring firm for local vendors in the area and will provide you with the best fit employers based on your resume and skillset. The employers we seek are actively hiring and we have met with thoroughly to ensure their business model and leadership is a system backed by success.
PG is looking for an individual that is in search for a CAREER. This company has shown success 6 years consecutively by growing consistently including through covid. We are seeking people with great communication skills and a light background in customer service. You will own your own business, build equity to either retire or pass down to your family. We have seen people from all backgrounds do very well in this industry based on the training and mentorship we have created.
Entry-Level Management: Start with a branded office location and a team. Contacts are provided with a leadership team who is compensated based on your success. This position is meant for individuals who want to control their own schedule and not be restricted to missing family time.",1d,
['G P De Silva Spice Inc'],,"Sr, Import Export Specialist","Pico Rivera, CA",$60K (Employer est.),"Reports to Warehouse Manager
· Prepares orders by processing requests and supply orders; pulling materials; packing boxes; placing orders in delivery area.
· Loading, transporting, and delivering items to clients or businesses in a safe, timely manner.
· Reviewing orders before and after delivery to ensure that orders are complete.
· Assisting with loading and unloading items from vehicles.
· Providing excellent customer service, answering questions, and handling complaints from clients.",30d+,
['PG Staffing'],,"Sr, Import Export Specialist","Pico Rivera, CA",$60K (Employer est.),"PG staffing is the hiring firm for local vendors in the area and will provide you with the best fit employers based on your resume and skillset. The employers we seek are actively hiring and we have met with thoroughly to ensure their business model and leadership is a system backed by success.
PG is looking for an individual that is in search for a CAREER. This company has shown success 6 years consecutively by growing consistently including through covid. We are seeking people with great communication skills and a light background in customer service. You will own your own business, build equity to either retire or pass down to your family. We have seen people from all backgrounds do very well in this industry based on the training and mentorship we have created.
Entry-Level Management: Start with a branded office location and a team. Contacts are provided with a leadership team who is compensated based on your success. This position is meant for individuals who want to control their own schedule and not be restricted to missing family time.",1d,
"['PG Courier, Inc']",,"Sr, Import Export Specialist","Pico Rivera, CA",$60K (Employer est.),"PG Courier, Inc. is now hiring full-time FedEx Delivery Route Drivers in the Arlington area. Drivers will be operating out of the Arlington terminal and will be making deliveries to local residences and businesses in surrounding areas. Our drivers will be operating step vans provided by the employer. No CDL required!
We are now accepting applications for full-time and part-time drivers!
*** For immediate consideration please text me Maya, your name and that you are applying to PG Courier at 6154574553***
Terminal Location: 2251 E Bardin Rd, Arlington, TX 76018
Paid: $120+/per day",24h,
"['People Gas (PG)', '3.7']",https://www.wecenergygroup.com/,"Sr, Import Export Specialist","Pico Rivera, CA",$60K (Employer est.),"Peoples Gas delivers natural gas to customers in the city of Chicago.

PGL, a subsidiary of WEC Energy Group, is seeking a Field Coordinator in our Chicago, Illinois location.
Job Summary
Inspects and directs contractor work associated with main and service installations restorations or general maintenance. Maintains accurate records and drawings as required.
Job Responsibilities",11d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846b6789be87b54d62113af657&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_91fdee88&cb=1668249286099&jobListingId=1008247661244&jrtk=3-0-1ghlmf2f7kf37801-1ghlmf2fni14k800-03e30292126650be--6NYlbfkN0CS9ht1X8azC29pcmb-gxE-ZjFbcsqpoDu33rSHAm5jGG0YoB8xolfUrAFXY0bRRNSHxIpAMX6L7Fp9NpoVvZcu81efqsaLk2DScYFQVk0zVByWwp-zDBkrmvYOoKaXewLXsg0RX8Axd_7OgaAcwzgUVYtAZi64y68DJNrgorkKdXb3PwQ4KnK93BYaAeeasfJsnQPSyKY1KQnhcKp75xOoozVS1ivCqJGb5ZSfibNqofvMzLI9Ura0MeprtlA8WguspBLKDuYsjQPJclRTaN17zundurezJdh5QA21uhuu10RujedOcxiGHx5l4PMUavNbvD8q_VpaPYksNNljd2_hCsNJ1aAHdJZrDlpIrpuo-p3IoLcNxbIb6y_pOJuRR1TtixlxGe4ihxQ_IZkW_leUN9o3FCTzHPfC_LTN5Wxk6hhYfvH9yE3ns7RSYfPk1YXU37m5wFua7ffBeJq2ssiiKgxspUgvrUGG5RPfPvwMUGehQxqJNEcbEQpwEg3mgy2J5mxepyJ-5Y6vt8ZEEZ6jWRi3Wvm5odFGbkbaGu_o_FKEcefY9HkDHhMlUDwAuEg_srxNiFYZwYaQbqhPMusVynvGHQPQK4hmYFoojgDolTIqdygPC-V8KgavW51mUGY_nq-3Uixvf0XhL-tf3VUz
"['People Gas (PG)', '3.7']",https://www.wecenergygroup.com/,"Sr, Import Export Specialist","Pico Rivera, CA",$60K (Employer est.),"If you’re talented, energetic and ready for a career with a future, consider joining our team. We are one of the nation’s largest electric generation and distribution and natural gas delivery holding companies. We are WEC Energy Group! Peoples Gas delivers natural gas to customers in the city of Chicago.

PGL, a subsidiary of WEC Energy Group, is seeking an Engineer in our Chicago, Illinois location.
Job Summary and Responsibilities
The Engineer works under general supervision to provide Engineering support to field and staff personnel through a variety of projects and assignments. The Engineer evaluates system performance through modeling, develops system designs, oversees construction, maintenance, and operations activities, investigates incidents, trouble-shoots systems and equipment, tests materials, and performs other assignments.",10d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846b6789be87b54d62113af657&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_62541b2e&cb=1668249288916&jobListingId=1008251116357&jrtk=3-0-1ghlmf2f7kf37801-1ghlmf2fni14k800-ad192c1aa6753911--6NYlbfkN0CS9ht1X8azC29pcmb-gxE-ZjFbcsqpoDu33rSHAm5jGG0YoB8xolfUyP4I-iUwY9v-lvrl_pr2x0t6DR_zvg12O67UKqjiUTRScIGQeze2pF0aXFhgK_uXUoZ8w6HVuNUGL9pJON8w99uRRPckNDZa9MAzoecv_J7L0WOe9eOADGOqtKO880EDTXx3AY196qmfBhWSzo3RYxygR8pXZySwHKh6ojQJ_a_Tw3vQMsv4zp14dSXRUOllKufxWsXWQOHUrOSlJiebOAiWsBVUmFTX_8H2oGsZJKQp7gmoK6N5_9X4XFqgmxwYrxJD7m0C8M0Ple-H6kZjqpzc89Kkr6cHZGRoZvjTYLCx6neyCDa6_VNWBpx3oqu2Ves7OV93uPNS5HIf430d4IdChZf7CwuYoi8jxG2Jmy1L_V0p-TSUXOd5f1QNTp1jArj7vw3ca4jrKbSVzqSx6pf-O23peBxTQwQK7AvxJHb0_bkVuKvpDUtc5maUCW3xJDVGs3XPsKcv74TVPcUY8h1jZfuUiX7Tfq-2ENplRLSEBCFI5iSMSB_WYvf2dnGIoN4M45UH65jWUNhqAfdbCyD_tomlP3jrCrtKDo89Ds8JYeuZtHcbIR8jEImDNiuDy7aObxdL6HU%3D
['G-A-P Supply Corp Johnstone Portland'],,"Sr, Import Export Specialist","Pico Rivera, CA",$60K (Employer est.),"Description:
WHO WE ARE -
Johnstone Supply is the top cooperative wholesale distributor in the country and a recognized national leader in the HVACR industry. With regional distribution centers based in Portland, Oregon, Joliet, Illinois, Memphis, Tennessee, Allentown, Pennsylvania, Jacksonville, Florida, and Las Vegas, Nevada, the company boasts over 425 independently-owned stores throughout the United States and beyond, totaling over 3 billion dollars in annual sales.
Unbeatable service, support, product knowledge and competitive pricing remain Johnstone's core values. The regional distribution network means even better product availability and delivery times for local contractors, and ongoing improvements to our distribution and operations systems means Johnstone is poised to remain a true one-stop-shop for contractors nationwide. We offer superior customer service, technical advice and training seminars and feature the industry's most respected catalog (available both in digital and online) featuring more than 80,000 quality parts, supplies and equipment.









Requirements:",12d,
['G-A-P Supply Corp Johnstone Northwest'],,"Sr, Import Export Specialist","Pico Rivera, CA",$60K (Employer est.),"WHO WE ARE -
Johnstone Supply is the top cooperative wholesale distributor in the country and a recognized national leader in the HVACR industry. With regional distribution centers based in Portland, Oregon, Joliet, Illinois, Memphis, Tennessee, Allentown, Pennsylvania, Jacksonville, Florida, and Las Vegas, Nevada, the company boasts over 425 independently-owned stores throughout the United States and beyond, totaling over 3 billion dollars in annual sales.Unbeatable service, support, product knowledge and competitive pricing remain Johnstone’s core values. The regional distribution network means even better product availability and delivery times for local contractors, and ongoing improvements to our distribution and operations systems means Johnstone is poised to remain a true “one-stop-shop” for contractors nationwide. We offer superior customer service, technical advice and training seminars and feature the industry’s most respected catalog (available both in digital and online) featuring more than 80,000 quality parts, supplies and equipment.",17d,
"['Heartland F P G', '3.7']",http://www.heartlandfpg.com/,"Sr, Import Export Specialist","Pico Rivera, CA",$60K (Employer est.),"Heartland Food Products Group is a global leader in the consumer packaged goods (CPG) industry, producing low-calorie sweeteners, coffee, coffee creamers and liquid water enhancers. We manufacture and market Splenda, the #1 brand in the low calorie sweetener category and the most recognized in the world.
Our goal is to transform the sweetener category from commoditized ingredients to a destination that unleashed shopper’s potential for better, healthier baking and beverages. We make coffee, tea and water taste better and help people live happier, healthier and longer lives by making it easy to reduce sugar.
We offer an excellent compensation and benefits package. Come grow with us!
This role is not a remote opportunity, it is on-site at our Manufacturing Plant in Indianapolis, Indiana.",1d,www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=000001846b6789be87b54d62113af657&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_91ab6ea6&cb=1668249297800&jobListingId=1008272913547&jrtk=3-0-1ghlmf2f7kf37801-1ghlmf2fni14k800-ec18177b5c3c815c-
