Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['PPG Industries', '3.4']",http://jobs.ppg.com/,(.NET) Application Developer Entry Level,"Cranberry Twp, PA",$57K - $81K (Glassdoor est.),"The Application Developer – Entry Level family forms part of the Application Development track in the IT function and plays an crucial role in helping PPG to maintain and update our proprietary and legacy systems.

PPG is a Fortune 500 company with over 100 years of success behind out name. This role will be based in our Cranberry, PA office located just north of Pittsburgh and allows for working from home 3-4 days a week with minimal oversight.

Responsibilities:",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469f3fd5fb73964685b372c36&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_35ffc3b6&cb=1668224915288&jobListingId=1008268607551&jrtk=3-0-1ghkv7vd1joqv801-1ghkv7vdpg4do800-9f879aac2736dd8f-
"['PPG Industries', '3.4']",http://jobs.ppg.com/,(.NET) Application Developer Entry Level,"Cranberry Twp, PA",$57K - $81K (Glassdoor est.),"The Application Developer IV requires analysis, programming, and configuration of end user applications and/or systems software including Analyzing detailed business/functional/technical requirements and specifications for the application. Coding internally developed applications and/or configuring commercial-off-the-shelf (COTS) applications using programming, scripting, and database languages. Supporting application testing, deployment, maintenance, and evolution activities by correcting programming errors, responding to scope changes, and coding application improvements.
Responsibilites:
Fully participate in agile ceremonies as a developer and technical specialist and engage the HMM agile team daily to contribute to its continued success.
Analyze and solve technology and source code to resolve and prevent application issues.",21d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469f3fd5fb73964685b372c36&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f7cf7361&cb=1668224918135&jobListingId=1008225821165&jrtk=3-0-1ghkv7vd1joqv801-1ghkv7vdpg4do800-515347b63c5fbfe1-
"['PPG Industries', '3.4']",http://jobs.ppg.com/,Operational Technology (OT) Engineer,"Delaware, OH",$51K - $75K (Glassdoor est.),"As an OT Manufacturing Engineer, you will play an integral role throughout the plant and will be responsible for development of web-based software applications for manufacturing business in partnership with existing 3rd party software company!
Key Responsibilities
Work with leadership team in prioritizing projects, writing project scopes, developing solutions alongside vendors, provide training and support software and user base.
Monitor ticket system, routing all incoming support requests, and reporting key support indicators.
IIoT, servers, networking, firewalls, routing, IeIP, implement the process controls network, virtualization, backups of servers, support plant / team projects that use the network, updating of servers, hardware, software, PLC networks, distributed control systems, operator terminals.",23d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469f42a7090fea17c2a61d168&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_49977482&cb=1668224925767&jobListingId=1008218636734&jrtk=3-0-1ghkv8amajorm801-1ghkv8amvii2f800-e9043f56f3a4e0c2-
"['PPG Industries', '3.4']",http://jobs.ppg.com/,Sr. User Interface Designer - Design System Lead,"Pittsburgh, PA",$72K - $100K (Glassdoor est.),"Pittsburgh, PA or REMOTE

As a Sr. User Interface Designer for the Primer Design System at PPG, you'll join our exciting and growing UX organization, working on a suite of omnichannel eCommerce applications. We are looking for a talented, highly motivated, and technically excellent designer to lead the development and management of the design system used by product teams across PPG’s digital organization. At PPG, we are expanding our digital capabilities and maturing our design culture to drive growth and facilitate delightful experiences for our customers around the world.

Key Responsibilities:",18d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469f44f2393e71f7f84a7fa9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ab996bf0&cb=1668224934812&jobListingId=1008230406904&jrtk=3-0-1ghkv8jqtkuh0801-1ghkv8jrdi39u800-07cc1044e686dc32-
"['PPG Industries', '3.4']",http://jobs.ppg.com/,Sr. User Interface Designer - Design System Lead,"Pittsburgh, PA",$72K - $100K (Glassdoor est.),"Pittsburgh, PA or REMOTE

As a Senior User Experience Designer at PPG, you'll be instrumental in an exciting and creative environment within our growing UX Center of Excellence team working on a suite of omnichannel ecommerce applications. At PPG, we are expanding our digital capabilities and maturing our design culture to drive growth and facilitate enjoyable experiences for our customers around the world.

Key Responsibilities:",24d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469f44f2393e71f7f84a7fa9e&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3c82513e&cb=1668224937796&jobListingId=1008215809564&jrtk=3-0-1ghkv8jqtkuh0801-1ghkv8jrdi39u800-f1dcb8f07bca39e8-
"['PPG Industries', '3.4']",http://jobs.ppg.com/,Scrum Master Specialist II,"Cranberry Twp, PA",$66K - $90K (Glassdoor est.),"Scrum Master Specialist II are business, function, or process specialists and can be technology generalists or specialists. They demonstrate the ability to clearly express and share ideas and risks both verbally and written, in a positive and effective manner to their supervisor and team members. Effective in communicating status to the team. Have a clear understanding of policies and procedures, how they align with the overall IT organization and participate in defining and shaping these for their organization. Can be effective with little supervision. Normal focus is on existing products or processes but tends to be focused on new initiatives.
Scrum Master Specialist II is seen as an individual contributor within their team. They are competent at handling their time, have interpersonal and collaboration skills. They do not supervise other individuals but are expected to be self-directed. The decisions they make could impact their immediate team/specific area of support but could also impact the larger team. As an individual contributor they are considered a member of a group or team and expected to deliver consistent results with less direction and supervision. They will work on larger, more complex tasks which most likely will involve collaboration with a larger group. Their contribution is measured by their ability to complete the work assigned to them, as well as, the success of the team. They are expected to have skills to assist entry level team members to facilitate personal and technical growth. The impact of their contribution is to the efforts they are involved with could impact themselves or their immediate team.",7d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469f48cac937ce45ca1d6e6d7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_31dfaedf&cb=1668224951960&jobListingId=1008257018352&jrtk=3-0-1ghkv937ama7e801-1ghkv937vi7nt800-fdd5b27649849e61-
"['PPG Industries', '3.4']",http://jobs.ppg.com/,"Director, AI/ML","Pittsburgh, PA",$79K - $139K (Glassdoor est.),"DIRECTOR, AI/ML

PPG Industries, Inc. seeks a Director, AI/ML in Pittsburgh, PA to be responsible for building and executing an Artificial Intelligence/Machine Learning and Digital Analytics roadmap across all PPG businesses and functions as well as developing and applying creative solutions to business problems. Specific duties include: (i) creating algorithms to extract information from large, multi-parametric global data sets and deploying those algorithms to production to identify actionable insights from large data sets; (ii) designing, developing, and implementing analytics solutions using a variety of commercial and open source tools; (iii) building advanced analysis and reporting solutions to help product and marketing teams plan and optimize their roadmaps; and (iv) supervising a team of IT professionals.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469f4c0a997df6f6c75efdf34&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c8817672&cb=1668224962927&jobListingId=1008148991749&jrtk=3-0-1ghkv9g7ijm4g801-1ghkv9g7ughqu800-14a5e3f45ad5f78b-
"['PPG Industries', '3.4']",http://jobs.ppg.com/,Process Control Engineer,"Circleville, OH",$70K - $98K (Glassdoor est.),"As the Process Control Engineer, you will be responsible for engineering and controls support for the manufacturing facility.
Key Responsibilities:
Work closely with the Process Optimization engineer to review and solve controls and recipe issues
Define, develop, and implement long term solutions to drive process reliability and optimization
Identify and address network connectivity and configuration issues
Interact with operations and maintenance personnel, vendors, purchasing and safety to assure a high level of achievement in safety, quality, and productivity.",4d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469f4f04e8722e47cc93c9b4b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f0d2b609&cb=1668224982163&jobListingId=1008263738553&jrtk=3-0-1ghkv9s48k259801-1ghkv9s4mihlq800-5886bdd02a8dedc0-
"['PPG Industries', '3.4']",http://jobs.ppg.com/,Process Control Engineer,"Circleville, OH",$70K - $98K (Glassdoor est.),"As an OT Manufacturing Engineer, you will play an integral role throughout the plant and will be responsible for development of web-based software applications for manufacturing business in partnership with existing 3rd party software company!
Key Responsibilities
Work with leadership team in prioritizing projects, writing project scopes, developing solutions alongside vendors, provide training and support software and user base.
Monitor ticket system, routing all incoming support requests, and reporting key support indicators.
IIoT, servers, networking, firewalls, routing, IeIP, implement the process controls network, virtualization, backups of servers, support plant / team projects that use the network, updating of servers, hardware, software, PLC networks, distributed control systems, operator terminals.",23d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018469f4f04e8722e47cc93c9b4b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e6486007&cb=1668224985005&jobListingId=1008218636734&jrtk=3-0-1ghkv9s48k259801-1ghkv9s4mihlq800-e9043f56f3a4e0c2-
"['University of Alabama at Birmingham', '4.1']",http://www.uab.edu/,Process Control Engineer,"Circleville, OH",$70K - $98K (Glassdoor est.),"Position Information
School/College
School of Engineering

Title
School of Engineering - Open Rank - Neuroengineering

Assignment Category
Full-Time

Rank
Open Rank",9d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018469f4f04e8722e47cc93c9b4b&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_22c750ca&cb=1668224988846&jobListingId=1008251312133&jrtk=3-0-1ghkv9s48k259801-1ghkv9s4mihlq800-dc7c7f0835d272db-
