Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['PACCAR Technical Center', '3.5']",http://www.paccar.com/,Embedded Vehicle Controllers Test Engineer,"Mount Vernon, WA",$91K - $123K (Glassdoor est.),"PACCAR is a global technology leader in the design, manufacture and customer support of high-quality light-, medium-, and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates. PACCAR also designs and manufactures advanced diesel engines, provides financial services and information technology, and distributes truck parts related to its principal business.

The Embedded Vehicle Controllers Test Engineer develops and executes test plans for electrical/electronic systems on heavy and medium duty semi-trucks. The engineer will find new, innovative, and efficient ways to verify various types of vehicle functionality. The Engineer will coordinate and track coverage of testable requirements, recommend test scope based on risk, verify and document defects. This position communicates with multiple levels of management, customers, and project stakeholders.

Job Functions / Responsibilities

Qualifications & Skills

Company Information
PACCAR is a Fortune 500 company established in 1905. PACCAR Inc is recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture and customer support of premium light-, medium- and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates and also provides customized financial services, information technology and truck parts related to its principal business.
The PACCAR Technical Center provides engineering excellence to the truck, engine, and winch divisions of PACCAR Inc through innovative product development and testing. The Technical Center is located in the Skagit Valley about 65 miles north of Seattle, Washington.
Whether you want to design the transportation technology of tomorrow, support the staff functions of a dynamic, international leader, or build our excellent products and services — you can develop the career you desire with PACCAR. Get started!

Additional Job Board Information
If you would like more information about what makes PACCAR an excellent place to work, please visit the PACCAR Career Site.
PACCAR is an Equal Opportunity Employer/Protected Veteran/Disability.",7d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846aef02a1ade562ad34bfe725&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8f2e9872&cb=1668241370268&jobListingId=1008258285763&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghleu0mima4p801-1ghleu0n1ihlq800-4cf4ec14b5d57afc--6NYlbfkN0BRuO5BYsuceeAvGiaIlQxsZM713AkDd8ZSGnZlsKhjr9SNL35tvZQyxkQHohUWuoGceRIAi2Q6GLHrpA2SrvgHXI180DEhL_xWlo1af-1CARJDZf3BKSF0kUYe0-l2y2qgFzS0vepU_Fqs6mOpBI6sxDRr7RI1aZynsowRYjVb41KWY11rFH0_SN0c5ZAvFXOj36AlvVza93ejYKyKYWK-IOJCe9Mks5_UFvpoCdvtxBdiTi4VByy2Jk56yut1OVxEFri_NumUTuypEebdzQwsgmIAN7l0lwZbLaMycokNFQGZphV0CKUyg4XsrULEm4goP83EuD2I5FZz8GEHeucDjdGcPCY2OpZvZyo4YxxwFxnGby0UUOz-hbWDdSXST8rTqxrP9zi5RSwScIpe3ZS7TkjkohC8TbfYbaZQPCzR6k8LEj8mAIy7PaNMBypZikyaijYUTuHzF2hqdkz2GyDnIff_nXkV1M6-4NBHbIkDcq5teivJqYnbenMJ_yQij7fWVfwSAN6jvqbtELZKDqZe
,http://www.paccar.com/,Embedded Vehicle Controllers Test Engineer,"Mount Vernon, WA",$91K - $123K (Glassdoor est.),"PACCAR is a global technology leader in the design, manufacture and customer support of high-quality light-, medium-, and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates. PACCAR also designs and manufactures advanced diesel engines, provides financial services and information technology, and distributes truck parts related to its principal business.

Requisition Summary

The Embedded Systems Automation Engineer investigates, develops, and implements automation tools and procedures to improve overall levels of testing automation for vehicle electronic control units (ECUs). This role is also responsible for increasing the fidelity and repeatability of automated embedded systems tests ran on Hardware-In-The-Loop (HIL) benches. This position communicates with multiple levels of management, external suppliers, customers, and project stakeholders.

Job Functions / Responsibilities

Qualifications & Skills

Company Information
PACCAR is a Fortune 500 company established in 1905. PACCAR Inc is recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture and customer support of premium light-, medium- and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates and also provides customized financial services, information technology and truck parts related to its principal business.
The PACCAR Technical Center provides engineering excellence to the truck, engine, and winch divisions of PACCAR Inc through innovative product development and testing. The Technical Center is located in the Skagit Valley about 65 miles north of Seattle, Washington.
Whether you want to design the transportation technology of tomorrow, support the staff functions of a dynamic, international leader, or build our excellent products and services — you can develop the career you desire with PACCAR. Get started!

Additional Job Board Information
If you would like more information about what makes PACCAR an excellent place to work, please visit the PACCAR Career Site.
PACCAR is an Equal Opportunity Employer/Protected Veteran/Disability.",18d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846aef02a1ade562ad34bfe725&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_abdfd6cd&cb=1668241374232&jobListingId=1008231463226&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghleu0mima4p801-1ghleu0n1ihlq800-6bb8d55061cc8d4b--6NYlbfkN0BRuO5BYsuceeAvGiaIlQxsZM713AkDd8ZSGnZlsKhjr9SNL35tvZQyxkQHohUWuoEOpUNsIFZpPA_IOCOFfUTwVbF0XkoF8PoXsAJTvFZcpQqdR_XDjMw5Yo4ZoHGt6X8fqggduMUYkomAxZsAC99WR-7cGJWQnXUCQp6NY79swqdzJj7vsFEpHBKCEhDVxmiIukL9ev4syUmzrYATMuUfYj5D2fg1-GLX-mwKvQ7JfDR9UDw-XQCQ34Wxxwno9hZy9msKTy7rFfGxUVQh-k728a0lubfBYfWwwSJDiegr1BWrLFDNxSY6w-WovF0JTjnp_16b0gx8M8Ib8x3QlKaun1Lk8ol9jhpuZAY-gEYmNS_CWuBzskINpAJCDiEnBxOarGmNS3UmMtyxjh8sIxFQYKR2ED2qJeMXW_HRK1po3FNHBKjpNK4E7ku4Su9j78Ba_zAq3AIbRo47BbJ2NwQQC5YVnpFT106YncNS14XkkQKXzbfa2tcZJLh-cNnUr4TU-LMhTBZNOrXe5vnmLaJ-
"['PACCAR Inc', '3.5']",http://www.paccar.com/,Embedded Vehicle Controllers Test Engineer,"Mount Vernon, WA",$91K - $123K (Glassdoor est.),"PACCAR is a global technology leader in the design, manufacture and customer support of high-quality light-, medium-, and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates. PACCAR also designs and manufactures advanced diesel engines, provides financial services and information technology, and distributes truck parts related to its principal business.

Company Information
PACCAR is a Fortune 500 company established in 1905. PACCAR Inc is recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture and customer support of premium light-, medium- and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates and also provides customized financial services, information technology and truck parts related to its principal business.
Whether you want to design the transportation technology of tomorrow, support the staff functions of a dynamic, international leader, or build our excellent products and services, you can develop the career you desire with PACCAR. Get started!
Requisition Summary
The Software Quality Manager is responsible for the application of the PACCAR Software Quality Assurance process across suppliers that develop embedded software. Roles include participation in supplier selection, conducting assessments, monitoring supplier life cycle metrics, and approving PPAP submissions for product launch. Additional duties include supporting engineering activities, participating in root cause analyses of supplier defects, and application of ASPICE capability improvement methodologies to supplier processes. Training will be provided. Available office locations are Seattle WA, Chicago IL, Columbus OH, Columbus MI, Denton TX, Eindhvoen Netherlands.

Division Information
PACCAR Quality is based in Bellevue, Washington with staff distributed across all PACCAR divisions supporting supplier activities, new product launches, and engineering.

Job Functions / Responsibilities

Required Qualifications

Preferred Qualifications

Benefits

PACCAR offers comprehensive benefits from time of hire through retirement for vested employees and their families. As a U.S. Salaried PACCAR employee, you have a full range of benefit options including:
PACCAR is an eVerify and Equal Opportunity Employer/Protected Veteran/Disability.

PACCAR offers comprehensive benefits from time of hire through retirement for vested employees and their families. As a U.S. Salaried PACCAR employee, you have a full range of benefit options including:",16d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846aef02a1ade562ad34bfe725&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_26fbdeb3&cb=1668241376630&jobListingId=1008234909891&jrtk=3-0-1ghleu0mima4p801-1ghleu0n1ihlq800-51a242c4363b5d9a--6NYlbfkN0BRuO5BYsuceeAvGiaIlQxsZM713AkDd8ZSGnZlsKhjr-cYwSfK4fd2jcRC-0TZhr_UP2q2igShoB1OcbuSoHetjcSSqZsx5XGSHHlbpS4V5O1rlP7gHF2JMmlEJJmPVd7s9Y-KUTLkdLW81A0_JXyTl4H2kL4nBd60fx5wQ-TicwJ9qzXJ52LHMmfMJ-x_1XU6VEvemQPGuV-hdYnXhlDLYl31OMmhoNbdKvhKNTiqQ_vTd0cW7zGN0V4nnmMwVV2pGEf4KN_W0E9gYFXIuMzFXNibG8BaNOyigVX7HQ52DbmSZRz2QQ5G4fFoLBbuY_Fl7ii90HH8CaJODIOlZIOvVKzMbFdh8_ACWJ9_nndvHsOMKzecP6FGf3EqpsHQcBXUs0bD2d6WKWE_RRNv1lQ7u06yF0QaHqjmfU2xWB8pEk9_bIY_boRpitUuNUNwLZN530uIsBdeE_RxQ-Ox7i_mXcXPUGqqEJP87kr8HCJF4R7u0HL3AU2l-p_UcIHQ2iqyRe6ygQXfFSdna8PgfKAk
"['PACCAR', '3.5']",http://www.paccar.com/,Embedded Vehicle Controllers Test Engineer,"Mount Vernon, WA",$91K - $123K (Glassdoor est.),"PACCAR Embedded Engineering organization has an opening for an Embedded Systems/Application Software Developer who has interest in working on next generation industry-leading trucks to join our company in Kirkland, WA.

Company Information

PACCAR is a Fortune 500 company established in 1905. PACCAR Inc is recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture and customer support of high-quality light-, medium-, and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates. PACCAR also designs and manufactures advanced diesel engines, provides financial services and information technology, and distributes truck parts related to its principal business.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846aef02a1ade562ad34bfe725&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_380f57d5&cb=1668241379562&jobListingId=1008174934737&jrtk=3-0-1ghleu0mima4p801-1ghleu0n1ihlq800-f5afed13e938739b-
"['PACCAR', '3.5']",http://www.paccar.com/,Embedded Vehicle Controllers Test Engineer,"Mount Vernon, WA",$91K - $123K (Glassdoor est.),"Requisition Summary

This position is responsible for creating and maintaining manufacturing tester software programs and web applications to support the testing and validation of electrical and electronic truck components.

Job Functions / Responsibilities

Develops computer-based software to take electrical/electronic measurements and digital readings.
Develops web-based applications using C# and SQL to capture and analyze test results.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846aef02a1ade562ad34bfe725&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_62dbf3d0&cb=1668241383478&jobListingId=1008184019120&jrtk=3-0-1ghleu0mima4p801-1ghleu0n1ihlq800-f961feb8e53bb7fe-
"['PACCAR', '3.5']",http://www.paccar.com/,Embedded Vehicle Controllers Test Engineer,"Mount Vernon, WA",$91K - $123K (Glassdoor est.),"PACCAR Embedded Engineering Organization has an immediate opening for a Test Engineer - Embedded Software Integration to join our team in Kirkland, WA.

Company Information
PACCAR is a Fortune 500 company established in 1905. PACCAR Inc is recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture, and customer support of high-quality light-, medium-, and heavy-duty trucks under the Kenworth, Peterbilt, and DAF nameplates. PACCAR also designs and manufactures advanced diesel engines, provides financial services and information technology, and distributes truck parts related to its principal business.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846aef02a1ade562ad34bfe725&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_37ecd7cd&cb=1668241385464&jobListingId=1008067321031&jrtk=3-0-1ghleu0mima4p801-1ghleu0n1ihlq800-86199ef32b81c365-
"['PACCAR', '3.5']",http://www.paccar.com/,Embedded Vehicle Controllers Test Engineer,"Mount Vernon, WA",$91K - $123K (Glassdoor est.),"Requisition Summary
The PACCAR Embedded Engineering Team is looking for a skilled engineer to develop rapid controls prototype software for PACCAR powertrain and vehicle management systems and create technical requirement document. Skilled candidates will develop software based on customer requirements following the established corporate software development process.
.
Company Information
PACCAR is a Fortune 500 company established in 1905. PACCAR Inc is recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture and customer support of premium light-, medium- and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates and also provides customized financial services, information technology and truck parts related to its principal business.",30d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846aef02a1ade562ad34bfe725&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5431bbb4&cb=1668241389458&jobListingId=1008202523361&jrtk=3-0-1ghleu0mima4p801-1ghleu0n1ihlq800-fad041b583aec3d0-
"['PACCAR', '3.5']",http://www.paccar.com/,Embedded Vehicle Controllers Test Engineer,"Mount Vernon, WA",$91K - $123K (Glassdoor est.),"About PACCAR
PACCAR, Inc. is a Fortune 500 company established in 1905 and is recognized as a global leader in the commercial vehicle, financial, and customer service fields. PACCAR is a global technology leader in the design, manufacture, and customer support of high-quality light-, medium- and heavy-duty trucks under its internationally recognized brands Kenworth, Peterbilt and DAF nameplates. PACCAR designs and manufactures advanced diesel engines and provides customized financial services, information technology and truck parts related to its principal business.
Your next career move is waiting at PACCAR whether you want to design the transportation technology of tomorrow, support the staff functions of a dynamic, international leader, or build our excellent products and services. Join the PACCAR team today!",30d+,
"['PACCAR', '3.5']",http://www.paccar.com/,Embedded Vehicle Controllers Test Engineer,"Mount Vernon, WA",$91K - $123K (Glassdoor est.),"About PACCAR

PACCAR, Inc. is a Fortune 500 company established in 1905 and is recognized as a global leader in the commercial vehicle, financial, and customer service fields. PACCAR is a global technology leader in the design, manufacture, and customer support of high-quality light-, medium- and heavy-duty trucks under its internationally recognized brands Kenworth, Peterbilt and DAF nameplates. PACCAR designs and manufactures advanced diesel engines and provides customized financial services, information technology and truck parts related to its principal business.

Your next career move is waiting at PACCAR whether you want to design the transportation technology of tomorrow, support the staff functions of a dynamic, international leader, or build our excellent products and services. Join the PACCAR team today!",1d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846aef02a1ade562ad34bfe725&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a13cddde&cb=1668241395256&jobListingId=1008272328928&jrtk=3-0-1ghleu0mima4p801-1ghleu0n1ihlq800-a05925d302cb8d6f-
"['PACCAR', '3.5']",http://www.paccar.com/,Embedded Vehicle Controllers Test Engineer,"Mount Vernon, WA",$91K - $123K (Glassdoor est.),"PACCAR Embedded Engineering Organization has an immediate opening for an Application Software Engineer to join our team in Kirkland, WA.

Company Information
PACCAR is a Fortune 500 company established in 1905. PACCAR Inc is recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture, and customer support of high-quality light-, medium-, and heavy-duty trucks under the Kenworth, Peterbilt, and DAF nameplates. PACCAR also designs and manufactures advanced diesel engines, provides financial services and information technology, and distributes truck parts related to its principal business.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846aef02a1ade562ad34bfe725&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4009ac98&cb=1668241398384&jobListingId=1008184019121&jrtk=3-0-1ghleu0mima4p801-1ghleu0n1ihlq800-b7e09d981b5adb60-
