Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Lumen', '3.4']",http://www.lumen.com/,"IP Automation Systems Engineer (Cloud/Edge) - Denver, CO","Denver, CO",$85K - $189K (Employer est.),"About Lumen
Lumen is guided by our belief that humanity is at its best when technology advances the way we live and work. With 450,000 route fiber miles serving customers in more than 60 countries, we deliver the fastest, most secure global platform for applications and data to help businesses, government and communities deliver amazing experiences. Learn more about Lumen’s network, edge cloud, security and communication and collaboration solutions and our purpose to further human progress through technology at news.lumen.com, LinkedIn: /lumentechnologies, Twitter: @lumentechco, Facebook: /lumentechnologies, Instagram: @lumentechnologies and YouTube: /lumentechnologies.
The Role
This Lead Network Engineer position requires extensive experience in engineering, software development, systems administration, testing, and managing distinct lab environments: Development, QA-Test, and Preproduction of Edge Compute platforms. The candidate will also perform software engineering, development, and automation of Virtualization OpenStack, and Kubernetes environments. This includes managing all aspects of engineering, automation, Continuous Delivery Pipeline (CE/CI/CD), which includes monitoring, resolution, administration, and engineering of multiple private Edge Compute bare metal and virtualization environments. This role includes designing high-performing, scalable software, geographically redundant, and system solutions that must handle a high volume of transactions, throughput, and sessions. The ideal Lead Network Engineer will be a great motivator who can thrive in a Lean-Agile environment, with a consistent drive to find ways to improve the process, technology, and fellow employees.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018469fd2217bc76fbf1ad8876ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f1dcff63&cb=1668225516667&jobListingId=1007989971322&cpc=8795CF9063CD573D&jrtk=3-0-1ghkvq8hti7lj801-1ghkvq8inii3h800-706fe7dedc056d40--6NYlbfkN0BGKj2dVRoMy2japSZrYRM8IJNi6D13enLCCRY5KIhxiuh_sXSgGZCrHE3-yTlm2cvTRjFICopPvFFIme5rzt13TU2sYTD-gOq_HDCITz-MdQhtBV0A5wT0FWDHVdQ6pTOYaICkjrXMbaVMU_ryDUCLeplw2sYG08M-SMvAHQnmemsUjSwViIfbLgaGxOUP0aLA-gg0JTu6empFrY5VXS5X1TFAU9tb_oBLxbjwqpQUyeBd6ciuxyTkauaPv7hvpD4yPB18p6gXoMN9fooZe2JvRtwU1Pelt0wqqdIjvsIKsJbuVFjHV32oIOumPu9ya4mJT8JH6ujLqIHGkQ1SZTzzZq94dWOkDZmCpwWmUcJWhwX1xYQxNbqp-uDCB-HoIV4xv0I6YEya2L6uu_k8fU4xEc_x1kEjCIDIIvsyFy1i2ksdmvQzCzUYK9e4NbBJ7wBlGNszGpfTR0dWC0l_nWkffY-oq2z5VijapL6a350kn1_lgxefZC80JSc0QlcmM6zvrRwc4l3qFog_BP1g48cxXOHlDgJ5utRuRV8wPeWRoFb2q92z0Pl_fESAdGo9U5EV-3VJcNHayJ-sC3fEghrMk9krWI3_wzp9rUGmOfDaXTOwTej5PXxoVDw3b4fKbqrVmq9YmsUTR61yvI1lywRSEHnX6CIDltpAjJiUeCUYjvLXxDWnOlsKAX2gSZvHQkOOn8vI_ZObVsysytG4E2-mmLdv75eluFZy8sQ8zNDfUuvuyvVUk1jzTpnqye-kpvA0UdNhzAFK6tNUF3f5HL2RyIDxULBo4QaqLIv33rjftrGM5EAfvwbaWzJS2wv8nTlOZdeZhkybNk-ZVUuCoc7rNtBzDD0Gqx2UWMfYqxsnPFRWF2GlvUTiGFiqRjl4WfJET6Agth3z-L6IbwPDQfpm-Nd_MZkMOo5DqVyZ37zZft6Do0hTsFR4pOQfCoeVdrRSWnCjVwi88qldf4TzecxW5eWPutB4BF7DslSJot9DgRv5Fy6RQU56-hT-Y7GODXiT-YwRK6LusMRVTL10A9gTg36bFDdaH8PhTJ2yx7L1N0FWgHm_vpHfJqoQdESoxMpLyylf0Gd11eFZ4nbGopkl0P_J2KMid5lmld2EE1ydTBnzt-x7UprCMVP_jEZ9AHDQkbqz3_VntX9NVCZ4L9qSfkke9mTiV_c%3D
"['Guidehouse', '3.7']",https://guidehouse.com/,"IP Automation Systems Engineer (Cloud/Edge) - Denver, CO","Denver, CO",$85K - $189K (Employer est.),"Overview

Guidehouse is a leading global provider of consulting services to the public sector and commercial markets, with broad capabilities in management, technology, and risk consulting. By combining our public and private sector expertise, we help clients address their most complex challenges and navigate significant regulatory pressures focusing on transformational change, business resiliency, and technology-driven innovation. Across a range of advisory, consulting, outsourcing, and digital services, we create scalable, innovative solutions that help our clients outwit complexity and position them for future growth and success. The company has more than 12,000 professionals in over 50 locations globally. Guidehouse is a Veritas Capital portfolio company, led by seasoned professionals with proven and diverse expertise in traditional and emerging technologies, markets, and agenda-setting issues driving national and global economies. For more information, please visit www.guidehouse.com.",4d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018469fd2217bc76fbf1ad8876ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_67a1e05c&cb=1668225519728&jobListingId=1008262304695&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkvq8hti7lj801-1ghkvq8inii3h800-8debee4d9fa9190f--6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yIa6z53gDnQhWpskdKX-KCW-rBt8tuzstIRviq0TqhlnpIF3sEFIvgs9WGSMOQEF8yJsoZWBq-qb08L5rwiDZZAtT-JOi1MJ7m6YWPjeA1ErSXKRQzeAoUOAyifO9ENA_RiM88Hmueo6CxP7Fryd3Pw6dcrLk4TlzN7FpS7retMISkWqKbxe2NgcW7KzfPw-H2lSB5g3WSxeingZS39ivVBpeG_7TfUBveYzDJoZccoai2fjv1MaP4RCjukb3BjS4OrHYX7oket2dZx4s_8WnJdnuQXAN71BFQz3vsBk8yT4XBcZFCtX1CYiCUHdUs03g4xrI9cokAmjK_Sxy43pJfodMbuSpo1Fis_dDnPEfaqtcVSVWTNoQAbXkWq6qACMU_DQglvrQD7hoI0gxoHuaGg%3D
"['Allstate', '3.5']",http://www.allstate.com/,"IP Automation Systems Engineer (Cloud/Edge) - Denver, CO","Denver, CO",$85K - $189K (Employer est.),"The world isn’t standing still, and neither is Allstate. We’re moving quickly, looking across our businesses and brands and taking bold steps to better serve customers’ evolving needs. That’s why now is an exciting time to join our team. You’ll have opportunities to take risks, challenge the status quo and shape the future for the greater good.
You’ll do all this in an environment of excellence and the highest ethical standards – a place where values such as integrity, inclusive diversity and accountability are paramount. We empower every employee to lead, drive change and give back where they work and live. Our people are our greatest strength, and we work as one team in service of our customers and communities.
Everything we do at Allstate is driven by a shared purpose: to protect people from life’s uncertainties so they can realize their hopes and dreams. For more than 89 years we’ve thrived by staying a step ahead of whatever’s coming next – to give customers peace of mind no matter what changes they face. We acted with conviction to advocate for seat belts, air bags and graduated driving laws. We help give survivors of domestic violence a voice through financial empowerment. We’ve been an industry leader in pricing sophistication, telematics, digital photo claims and, more recently, device and identity protection. We are the Good Hands. We don’t follow the trends. We set them. Job Summary:
The Data & Intelligent Systems (D&IS) group within Allstate is a world-class technology organization focused on enabling Allstate to become a leader in the technology and data space. Allstate’s strategy continues to emphasize data and technology as we continue our digital transformation journey. This has created numerous opportunities in the Data & Intelligent Systems technology organization to find work that is meaningful to you. We are looking for a highly-skilled professional to join a highly visible project within Allstate.
The Content Management & Search (CMS) team within D&IS is responsible for supporting multiple platforms: web content management, digitial asset management, and search. CMS team members partner with a diverse group of clients – ranging from teams that support Allstate.com to teams that support customer data across all channels.
The Enterprise Search Engineer plays a critical role in the Apache Solr product lifecycle including: design, solutioning, execution, and taking ownership of operational excellence. Large scale, Enterprise data platforms rely on the Search team to ensure hundreds of millions of documents, terrabytes of data are effectively queried at sub-millisecond transaction rates. Your expertise in building and maintaining query and index pipelines, customizing feature capabilities, and ensuring the Apache Solr infrastructure is optimized to ensure a high-availability environment will be a welcome addition to diverse, global team of technologists.


The Enterprise Search Engineer core responsibilities include but are not limited to:
Implementation and support of large scale, Enterprise Apache Solr solutions.
Document detailed design, functional and technical specifications in developing Apache Solr solutions.
Exhibit expertise in Apache Solr architecture and the demonstrated competency to design, deploy and support solutions in a shared services architecture.
Develop, execute, and document procedures and standards adhering to SDLC best practices including the Agile Scrum methodology.
Ability to handle multiple tasks and meet deadlines.
Troubleshoot technical issues, perform root cause analysis and take appropriate action to remediate issues.
Participates in the discovery phase of projects to determine high-level design.
Analyzes business needs and develops plans to implement software requirements in conjunction with product management and architects.
Independently handles high-impact, critical software/systems monitoring issues and tickets/ incidents.
Troubleshoots business and production issues.
Mentors and coaches junior developers in Apache Solr solutions.
Collaborates with other technologists as a member of a broad, cross-functional team motivated to solve business problems. Essential Criteria:
Candidates should clearly state on their application form how they meet each of the essential criteria as these will be assessed during shortlisting and only these deemed to meet all of the below criteria will move forward to the next stage.
3+ years experience with open source search engines like Lucene, Apache Solr , or Elasticsearch.
Experience building scalable, high performing and robust Java and .NET applications.
Puppet , Perl, Python, Bash, or Unix Shell and willingness to learn new technologies.
Experience with Node JS, AngularJS, Bootstrap or other web-based frameworks.
Experience with Continuous Integration and related tools (e.g., Jenkins , Artifactory Pro, SonarQube, Selenium, Jmeter, and so forth).


Apache Solr
Java
Puppet
GitHub or Jenkins
Hands on experience and accountability architecting, designing, implementing and delivering large scale distributed systems and/or applications for the cloud, including microservices architectures and 12-factor principles
Experience of Spark.
Expertise with some or all of JBoss / Tomcat, or other application servers.
Experience with Source Code Management Tools (e.g., GitHub). On-Call Requirments:
On-Call Production Support rotation for all Apache Solr search environments every four (4) weeks. Rotation assignments last for an entire week (Monday-Sunday). Notes:
The preceding description is not designed to be a complete list of all duties and responsibilities. May be required to perform other related duties as assigned. Regular, predictable attendance is an essential function of this job.
Test Salary Hyperlink
The candidate(s) offered this position will be required to submit to a background investigation, which includes a drug screen.
Good Work. Good Life. Good Hands®.
As a Fortune 100 company and industry leader, we provide a competitive salary – but that’s just the beginning. Our Total Rewards package also offers benefits like tuition assistance, medical and dental insurance, as well as a robust pension and 401(k). Plus, you’ll have access to a wide variety of programs to help you balance your work and personal life -- including a generous paid time off policy. For a full description of Allstate’s benefits, visit allstate.jobs/benefits/

Learn more about life at Allstate. Connect with us on Twitter , Facebook , Instagram and LinkedIn or watch a video .

Allstate generally does not sponsor individuals for employment-based visas for this position.

Effective July 1, 2014, under Indiana House Enrolled Act (HEA) 1242, it is against public policy of the State of Indiana and a discriminatory practice for an employer to discriminate against a prospective employee on the basis of status as a veteran by refusing to employ an applicant on the basis that they are a veteran of the armed forces of the United States, a member of the Indiana National Guard or a member of a reserve component.

For jobs in San Francisco, please click “ here ” for information regarding the San Francisco Fair Chance Ordinance.
For jobs in Los Angeles, please click “ here ” for information regarding the Los Angeles Fair Chance Initiative for Hiring Ordinance.

To view the “EEO is the Law” poster click “ here ”. This poster provides information concerning the laws and procedures for filing complaints of violations of the laws with the Office of Federal Contract Compliance Programs

To view the FMLA poster, click “ here ”. This poster summarizing the major provisions of the Family and Medical Leave Act (FMLA) and telling employees how to file a complaint.

It is the Company’s policy to employ the best qualified individuals available for all jobs. Therefore, any discriminatory action taken on account of an employee’s ancestry, age, color, disability, genetic information, gender, gender identity, gender expression, sexual and reproductive health decision, marital status, medical condition, military or veteran status, national origin, race (include traits historically associated with race, including, but not limited to, hair texture and protective hairstyles), religion (including religious dress), sex, or sexual orientation that adversely affects an employee's terms or conditions of employment is prohibited. This policy applies to all aspects of the employment relationship, including, but not limited to, hiring, training, salary administration, promotion, job assignment, benefits, discipline, and separation of employment.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018469fd2217bc76fbf1ad8876ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ce1d03d2&cb=1668225522729&jobListingId=1008153307451&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkvq8hti7lj801-1ghkvq8inii3h800-78566549416a5d2f--6NYlbfkN0BLH0BMQoDn-yw6Urt952hBm1JLFZ7WpBxND2cMIOjOqbFVk94wXfJol2fCSe2VsLyjrAlbIQtm3Um9pT9Y4ZTSj95tjLcj5jkP3W-TCRPALw4sME_U_xFMvLxnbTfvJRGbpJs0k-pb1vhe5POO3UO8iWMYgCCBsPrvUUVubcHefCKmjG2msL8SlFaHsgPsijagEuGj6972nndveNwzluVgTaFio1reWX9bPCV777EAzosmbESHqhSCveKRoqgZYyj7_xlMc51TLtRcrhvPkIrSrkwn3yjbad5tFHp_XzsK0yARvpj75Ug9Ch7sHxrRhx1m9Y8mKO-4bf_a6nNXPZOmtHeFQ8JPxrjvbzyvCQ0PGUo62_qvSqwX67mRKZ9baj2AWt8DxKzLEnEbYjUaN6ZebgxyKIH9X6-LLwZd6r9qaQKhqnlUpjrJts3NCWKTea4NuT8rI81-pLEhsco2P9Jkhwm5k2NkUy5GMAuKNLC0_RzTpWX5VpFWj5KLwrP-t6rw3cg1GdvkL2Xz2ZhvElIKMK_1a5Ta-9XmwVLKVlILfizQlFrtJdgJMC8ofuWZBxfgpAcZ_1I9mtaSEbDyQsjli6sH-kT485JGRY2zZXLcDJF5fWxWc6OzAoVZXf4dXgz-PnVSqUgOmpOKQ9Mqn7POCtmYI6hd0DWhL46R6pW_gMN8ZPCOuiWYTMkh32Xb_xL3KngH7K59gqrD3Sdi5_HR1tWQEjyxmu3SQqCdWUDY0RvnO5eQSQygEXL_3AoB-Cu3nO5CCaPKa4TQ4WWHvcvzQy9cjbvahGfkmtg04tCUSN9zHcilDnoI1ARSiprzUWI6yxaxGdx0lzRdk2D6lv6duyfMtjujPd1f0sM3MKs3mojdK2pE__BXxqdaR35ouqu9FiWvRkCfD6MgpXFJpKCIX_Mku09z77F8Ion3Icu1eeKl20hJ4VnSA8g4eDAI_T1VU_BzI8_UEVxVq5TlVKeBpWczwJaQoS3-LRhn6wX0uUe2_mo8kncR0T2V9phdaYyhvSWILpBGHNwvj1y-vWeiUIN-rPCnumSJBz-Agfb2172svrfCH36pgotxqHxjlxpijDFZW4lWIUGfkYwQrHP8p-2MYtd8oRL-z1eZw5aQ-w%3D%3D
"['Edwards Ltd', '3.6']",http://www.edwardsvacuum.com/,"IP Automation Systems Engineer (Cloud/Edge) - Denver, CO","Denver, CO",$85K - $189K (Employer est.),"The Role: Systems Engineer - Semiconductor and Vacuum Technique Service Divisions

We have an exciting opportunity for a Systems Engineer within the Semiconductor and VT Service Divisions. As well as a competitive benefits package, the role offers the opportunity to work in a high performing team who are proud of what they do, and also where there are many development opportunities. The role can be based in Burgess Hill, Sussex, or can be homebased, and the role offers some global travel.

The Systems Engineer position supports the Service Technology Centre Systems Manger to deliver the digitization program across the Vacuum Technique and Semiconductor Service divisions globally, and ensures strategic business needs are met and project delivery is collaboratively achieved with various internal customer and business entities.",8d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018469fd2217bc76fbf1ad8876ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fab39233&cb=1668225525586&jobListingId=1008255008423&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghkvq8hti7lj801-1ghkvq8inii3h800-8eff35f7be5bf630--6NYlbfkN0AoGSSea4EbNwuUak34nd3j6q4Lw-hnedVURdGF1ylHUR0la5zOCQg91aJoTiA9luypi3PyK3fToZOXDYz11DraXlzjjYy0ZZJIFAT4fQGfkWof-D9PHYu-DepNNs_jHl2rYpe_CFSCuBavN5fWkxCT-g9DXnGTpvQtrp3wSqAwk82-vRcpNTX_ux4w4fuAand033YQh_ZXvLGZ3RQxMh4WebkVMcTjUxlMyO4allNhCSu6LiqLgA9IiEh6HYpMt5C-NFAcAp3WDp4_fa_mKpiFmXGSRwfD4UcpppBefdyLc2pPHlMYmT1vpqbUo4hNr9kXvBVLyZBVakFWW4XNqDuhpKCtA1huCKPx4G7SX_hvZAMqU5FfypJbUtSbVykK2xNRszYrCM96RmjEXqHE-KWpFxcHMS9hACON37qRUNmAQNjRWIE5U7G-1xQbY6GElHh4oBnWNO42xgs9Uca6ehTbgg08LIXu9cH0FGTeruUsskQVkHlkN4IHOqGhfsiHz8C9kB7MLKtfAJCMZP-beNUhFANEYr6oHbuRHCQSxUr5e6hIciDewdB9sxjsKk1lpIwI1GJdWm13-fYLns5PdNGkVMXIGaNMxj2OWbnmUkXbnlgVZOd44WeJYrcN10KV0sJH08R55G6ECg%3D%3D
"['CoStar Group', '2.9']",http://www.costarcareers.com/,"IP Automation Systems Engineer (Cloud/Edge) - Denver, CO","Denver, CO",$85K - $189K (Employer est.),"Associate Research Consultant
<br>
Job Description
<br>
OVERVIEW:
CoStar delivers real-time, verified commercial real estate data that enables our commercial real estate clients to make informed, high impact decisions ahead of competitors. By combining the power of CoStar’s independent research organization – the industry’s largest – with global data delivery, software, and application solutions, clients can act on opportunities with confidence.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018469fd2217bc76fbf1ad8876ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_623ce9ac&cb=1668225528657&jobListingId=1008153823167&jrtk=3-0-1ghkvq8hti7lj801-1ghkvq8inii3h800-4f219753dbbd81ac--6NYlbfkN0C5l7Gxn5Gm0idClkv3hg7S1LFN7YZ6CJD43mhxw06NNWfQMURjaenRwZd-pps8HC3FNT87UgG__1RSHfxzjxOZv2GKUKev2YrGC9px0jv5i3l5mzMeKWOMk7ZylErtY_pSGVGoqtpLKD8kTtoaGFeICS1o5Rx_aL2x7C7noZjZaQaPs5onCxik1fSB9h4PQ3egdJEAoAzXDbAx1QCzvNbC9nCDj_ML5Vh8HZ01ysKbr_Kf7KevQ6pc_78dakWeGlIOAAsHvvpy8Dud6bY_C_YixiICdaQczY5gHbXaGfjSQhb5lKdUZUM9YZkZlkYO5aymjHdAiS8D12vIAaYXKFvmypI5kILM-RwBYiQxfSfAfkGpxdDeDkkmj-SZe3U2XVQ9RnO55_zLnBBIpjBTaIFmmVDZP-ZtZj9Zn5qsARB0UOq46h4jB2MKVqCO7o-tNwJzbmGux8sdI6riFZiKw4-ZE_f1A-tBNVAz673wkDccab80EhFhiTsPVKr3AOKMWuATieIFAp19XExv4MHWhugKsK7hC3xfZ4B0nEf8GT1RT7xIsJEL331PWxDhWeZGysHS0A2uMfcagEfcrNzUWQUKilKgSg2lZEFEzNKo0MAsEQ%3D%3D
"['IDEMIA', '3.8']",http://www.idemia.com/,"IP Automation Systems Engineer (Cloud/Edge) - Denver, CO","Denver, CO",$85K - $189K (Employer est.),"Overview:
IDEMIA is the global leader in identity and security. Our mission is to create a safe and simple future where identity verification is indisputable, and only you can assert your identity. We are a distributed company leveraging the latest technologies to deliver world-class products in the private and public sectors of finance, telecom, identity, security, retail, sports entertainment, commercial, government, and IoT. We use a variety of technologies and approaches to deliver quality product and services to government agencies and technology companies. IDEMIA is a made up of a group of 14,000 diverse people from different nationalities, speaking over 20 different languages. Together, our solutions impact the everyday lives of citizens and nations. In this ever-changing world, protecting your identity is paramount. Join the team that is ensuring one person- one identity.
Responsibilities:
Design, implement, document, test, and support highly-scalable, fault-tolerant, enrollment platform components.
Qualifications:",4d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018469fd2217bc76fbf1ad8876ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8394bba0&cb=1668225530436&jobListingId=1008263832083&jrtk=3-0-1ghkvq8hti7lj801-1ghkvq8inii3h800-5b93969a79664001-
"['Paramount+', '3.9']",http://www.paramount.com/,"IP Automation Systems Engineer (Cloud/Edge) - Denver, CO","Denver, CO",$85K - $189K (Employer est.),"Paramount+, a direct-to-consumer digital subscription video on-demand and live streaming service from Paramount Global, combines live sports, breaking news, and a mountain of entertainment. The premium streaming service features an expansive library of original series, hit shows and popular movies across every genre from world-renowned brands and production studios, including BET, CBS, Comedy Central, MTV, Nickelodeon, Paramount Pictures and the Smithsonian Channel. The service is also the streaming home to unmatched sports programming, including every CBS Sports event, from golf to football to basketball and more, plus exclusive streaming rights for major sports properties, including some of the world’s biggest and most popular soccer leagues. Paramount+ also enables subscribers to stream local CBS stations live across the U.S. in addition to the ability to stream Paramount Streaming’s other live channels: CBSN for 24/7 news, CBS Sports HQ for sports news and analysis, and ET Live for entertainment coverage.
Description

We are seeking a Lead Video Engineer who will help drive our system’s evolution. The candidate will be an integral part of the Paramount+ Video Engineering Team, working with other video tech engineers to build and release products for various platforms like Desktop, OTT, Mobile. We are responsible for supporting the video delivery and architecture of VOD and Live content streamed on over 15 platforms for CBS All Access! Our team is also responsible for the encoding and delivery of premium content to millions of users every day. The candidate will also be responsible for doing minimal video quality check, building, deploying and managing video encoding applications to cloud (AWS/GCP).
Your Day-to-Day

Work with UI engineers to build scalable platforms for supporting Video management and publishing systems.
Work with designers, product owners and stakeholders to define and validate visual requirements, user workflow and UI prototypes.
Engage with engineers to maintain, evolve and modernize our existing video encoding platforms.
Advocate the pattern of reusability by creating and publishing component libraries.
Actively influence future innovations by following the latest and most efficient UI technology trends.
Advocate culture of teamwork and partnership between UI engineers.
Encourage an engineering culture that promotes test-driven development and long term product quality.
Key Projects

Lead a team and work with developers for building our Live CMS platform for scheduling live events and 24/7 streams and build front-end tools for our video encoding platform.
Build out microservices for our cloud (AWS/GCP) video processing workflows.
Qualifications
What you bring to the team
You have –

BS degree in Computer Science, similar technical field of study or equivalent practical experience.
7+ years of experience as a Software Engineer with experience in enterprise software development.
Experience in HTML, CSS, Javascript and React.
Experience with container technology and management such as Docker and Kubernetes.
Experience working with Cloud/SaaS services such as Amazon AWS, Google Cloud.
Experience with technical writing and design documentation.
Experience in programming languages such as NodeJs, Go, PHP or Python.
You might also have –

Familiarity with video protocols such as RTP, RTMP, HLS, HDS, Smooth Streaming.
Familiarity with modern video codecs like H264, VP8, VP9, AV1
Master’s Degree in Computer Science or similar, related field

ADDITIONAL INFORMATION

$105,000.00 - 155,000.00.

The hiring salary range for this position applies to New York City, California, Colorado, Washington state, and most other geographies. Starting pay for the successful applicant depends on a variety of job-related factors, including but not limited to geographic location, market demands, experience, training, and education. The benefits available for this position include medical, dental, vision, 401(k) plan, life insurance coverage, disability benefits, tuition assistance program and PTO or, if applicable, as otherwise dictated by the appropriate Collective Bargaining Agreement. This position is bonus eligible.

Paramount is an equal opportunity employer (EOE) including disability/vet.

At Paramount, the spirit of inclusion feeds into everything that we do, on-screen and off. From the programming and movies we create to employee benefits/programs and social impact outreach initiatives, we believe that opportunity, access, resources and rewards should be available to and for the benefit of all. Paramount is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, creed, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, and Veteran status.

If you are a qualified individual with a disability or a disabled veteran, you may request a reasonable accommodation if you are unable or limited in your ability to use or access. https://www.paramount.com/careers as a result of your disability. You can request reasonable accommodations by calling 212.846.5500 or by sending an email to viacomaccommodations@viacom.com. Only messages left for this purpose will be returned.",9d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=0000018469fd2217bc76fbf1ad8876ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b6184dcf&cb=1668225532365&jobListingId=1008253526131&jrtk=3-0-1ghkvq8hti7lj801-1ghkvq8inii3h800-bb3b6f4d7871858e-
"['Equinix', '4.1']",http://www.equinix.com/,"IP Automation Systems Engineer (Cloud/Edge) - Denver, CO","Denver, CO",$85K - $189K (Employer est.),"Director, Product Management - Strategic Solutions
Equinix is the world’s digital infrastructure company. We believe that the future of infrastructure will be developer-led and software-defined, and we’re committed to helping digital leaders assemble infrastructure in minutes, anywhere in the world, on-demand from an ecosystem of providers.
To make this vision possible, we’re building a set of products and capabilities that deliver to the needs of practitioners, builders, and creators, and a culture that is constantly learning how to more efficiently and effectively accelerate the journey of each of our users. A key component of this strategy is building a dedicated product practice for our digital services business focused on Solution Offerings.
As leader of the Strategic Solutions product area, your goal will be to deeply understand the capabilities and advantages of the various products and solutions on our platform; engage with customers, prospects, partners, and industry experts to identify the most promising and high impact business outcomes; and to then work directly with product designers, engineers, marketing, GTM stakeholders, and most critically, our service provider and product partners (OEMs, software developers, technology partners, professional and managed service providers, etc.) to assemble compelling paths that allow customers to realize that value. This is a cross functional role that demands the ability to effectively work with and manage internal and external stakeholders while optimizing long term outcomes for customers, partners, and Equinix.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=0000018469fd2217bc76fbf1ad8876ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a1d13779&cb=1668225535311&jobListingId=1008172499409&jrtk=3-0-1ghkvq8hti7lj801-1ghkvq8inii3h800-8c1d095b127bde7e-
"['CrowdStrike', '4.3']",http://www.crowdstrike.com/careers,"IP Automation Systems Engineer (Cloud/Edge) - Denver, CO","Denver, CO",$85K - $189K (Employer est.),"#WeAreCrowdStrike and our mission is to stop breaches. As a global leader in cybersecurity, our team changed the game. Since our inception, our market leading cloud-native platform has offered unparalleled protection against the most sophisticated cyberattacks. We’re looking for people with limitless passion, a relentless focus on innovation and a fanatical commitment to the customer to join us in shaping the future of cybersecurity. Consistently recognized as a top workplace, CrowdStrike is committed to cultivating an inclusive, remote-first culture that offers people the autonomy and flexibility to balance the needs of work and life while taking their career to the next level. Interested in working for a company that sets the standard and leads with integrity? Join us on a mission that matters - one team, one fight.
About the Role:
As a Program Manager, you’ll be responsible for supporting Detections Platform whose mission is to support the CrowdStrike technology stack with security and detection-related services and components, ensuring the continuous evolution of our world-class Falcon product. Your primary focus will entail driving the scheduling, scoping and execution of projects for the teams, working directly with the Engineering Developers, the Product Managers, Dev Managers and Executive Leadership in order to ensure timely delivery against the roadmap. You’ll work closely across functional teams (UX, Cloud, Sensor) to collaborate and ensure dependencies are well known, critical issues are identified and driven to resolution.
CrowdStrike, Inc. is committed to fair and equitable compensation practices. For applicants in Ithaca - NY, New Jersey City - NJ, and Colorado, the salary range is $120,000 - $190,000 per year + bonus + equity + benefits. A candidate’s salary is determined by various factors including, but not limited to, relevant work experience, skills, and certifications. The salary range may differ in other states.",22d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018469fd2217bc76fbf1ad8876ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_75a5f057&cb=1668225538158&jobListingId=1008221683807&jrtk=3-0-1ghkvq8hti7lj801-1ghkvq8inii3h800-62da88db059a4690-
"['GSK', '4.0']",http://www.gsk.com/,"IP Automation Systems Engineer (Cloud/Edge) - Denver, CO","Denver, CO",$85K - $189K (Employer est.),"Site Name: USA - Pennsylvania - Upper Providence, Home Worker - USA
Posted Date: Nov 10 2022

As a Senior Data Science Software Developer, you will be responsible for the development of professional software solutions to facilitate the access to data science to scientists in R&D.
This role is based out of our Upper Providence, PA campus. This is a hybrid role, with great remote flexibility. The ideal candidate will come onsite periodically to support our scientific teams data needs and help us accelerate our science.
This role will provide YOU the opportunity to lead key activities to progress YOUR career, these responsibilities include some of the following…
Develop data science web applications, mainly in R (with Shiny) and Python (with Streamlit, Dash or similar frameworks).",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=0000018469fd2217bc76fbf1ad8876ed&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_728be58c&cb=1668225541159&jobListingId=1008189209705&jrtk=3-0-1ghkvq8hti7lj801-1ghkvq8inii3h800-38ff09c344ee2cd7-
