Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Q Link Wireless', '2.3']",http://www.qlinkwireless.com/,Front End Developer,"Dania, FL",$60K - $80K (Employer est.),"Job description
Q Link Wireless is looking for a front-end web developer to create and maintain consumer facing web applications for millions of monthly users. This is an exciting full-time opportunity to work with a professional team of experts in marketing, design, and development.
Q Link Wireless is one of the nation's fastest-growing telecom providers. Our mission is to wirelessly connect people to their world, regardless of income, by offering free and low-cost cell phone service.
This is a full-time position for an individual that is seeking a long-term commitment.
Responsibilities:",24h,
['Six Nines IT'],,Front End Developer,"Dania, FL",$60K - $80K (Employer est.),"Who is Six Nines?
We are a software engineering first, remote native, mutually supportive consulting organization with a culture of
Continuous learning
Solution quality
Teamwork and transparency
We value work-life balance, thoroughness, bias to action, and integrity. And we're growing quickly!
Location?
We are a remote company with no physical office, so you're able to work from any state in the United States! (We cannot accommodate work outside of the US as of right now).

You will work collaboratively with other engineers at top tier clients (including FAANG companies) innovating interesting solutions. Many of our projects are large scale cloud enterprise integrations that involve writing and altering existing software and programmatic creation of cloud-based resources. You’ll lead or support engagements where you and other engineers may do things like build out infrastructure as code, set up a CI/CD pipeline, develop an observability framework, write a management interface, validate security of cloud assets, connect cloud assets to on premises and remote users, tune automated HPC infrastructure, and similar cloud and DevOps work, all in a programmatic manner!
Our staff engineers are given broad, tough problems and operate autonomously to solve them. They perform high end technical architecture, lead major client engagements, rescue other engineers when they hit the really hard problems, help ensure our high standard of engineering quality, and mentor other engineers.
Our expectation of both of this role, is that they are skilled, independent technical leaders and executors.
You’ll have the opportunity to drive new lines of business and build out entirely new toolsets to accelerate service implementations of those new use cases.
We have a separate management track; this role is for people who want to leverage their years of experience and keep working with technology.

Candidates with a strong software engineering background with DevOps and cloud experience.",11d,
"['Branch', '4.9']",http://www.ourbranch.com/,Front End Developer,"Dania, FL",$60K - $80K (Employer est.),"Branch is on a mission to make insurance less expensive, so more people can be covered. We use data, tech, and automation to simplify insurance from start to finish — cutting out the long, bait-and-switch quotes and unnecessary costs in the traditional insurance process. Then we pass those savings along to our members. The result? Prices in seconds. Hundreds in savings.
But we’re not just changing the way home and auto insurance works. We want to change what it means to “work in insurance,” too. Restoring insurance to its original purpose — a force for communal good. Together, we’re getting back to getting each other’s back. The way insurance was always supposed to be.
About Being a Software Developer at Branch
We are looking for skilled full-stack JavaScript developers to join our Engineering team. The position will do daily development in on frontend applications and backend serverless lambdas.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846ab1eafca22ce3e267328563&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ae2e6f70&cb=1668237369200&jobListingId=1008149112108&cpc=217C45A42544DB93&jrtk=3-0-1ghlb3qp1i9hn801-1ghlb3qprg2ec800-a4eaab2747215232--6NYlbfkN0AotLW1H5qX1e6hSfMGjv1vHfPCQpk1D9N69cDeRhM-xWs0jT_mqAAes1XGu0L4SJEqANxM-IZeVca7gbsbh-lynpKz3gRmom5UlFtTwszsNfjJrj4GjUwY6E4_QR4nMX9dkdgK1TAX3wMn5GVuZpehQyXB8qcAkYWAsy7wU98XQlyVnIr8Ygqo5x7zMV6Nz97buVRFZrWjt7inzedH_hzG5EVMLYY0bXiQJC8xhrR5uzh433X6GPrd5LKuTtJ2tyIs9JiTsag1Gv6E_3HIJVhi08nfst1E8JVsh7-JWkZKH-q6gFsl4Hzpl1bSaegg-y-12na_1JCbs7RrqLZvFaYLwnUG5RNDkMe7Qu-RQAfj7477galhj4QBpn3i1ow1C5HBxpF2poIDLs0CnYWGudKVvvBZDyAcoYMhRKp6UKa8o9F4Ru4B3tG1qHFLeoDha7VMl0zwnFj8MghzzRIM2nkugTcAv5sB7w5R4XVb82p5r-gt-RGWp5FS
"['Live Building Systems', '3.4']",http://www.livebuildings.com/,Front End Developer,"Dania, FL",$60K - $80K (Employer est.),"Live Building Systems is a cloud based, cross-platform technology to track utility consumption and building efficiency. This smart monitoring system analyzes and diagnoses inefficiency in real time, providing solutions to reduce waste and save money.
We are currently in search of a Junior Software Developer to create and maintain software and network systems. The right candidate is someone who is capable of helping develop critical products for our clients, on top of offering excellent technical support for our existing infrastructure.
This will involve using pre-existing tools to analyze data and compiling findings into an easily digestible format, as well as the creation of new tools to further increase customer’s understanding of their consumption across a variety of different utilities.This is an excellent opportunity for a motivated and inquisitive junior level developer or analyst who is looking to not just maintain existing software, but also create new features and products from the ground up.",1d,
"['Exxact Corporation', '3.6']",http://www.exxactcorp.com/,Front End Developer,"Dania, FL",$60K - $80K (Employer est.),"Exxact Corporation is looking for a Front End Developer to maintain, design, develop, customize, test, deploy, and support all internal applications from 3rd party to custom in-house applications, including ERP, CRM, quoting, production, RMA, EDI, and eCommerce applications.
Technical Requirements:
1+ years of experience in building database-driven applications and Websites
BS/MS in CS or equivalent education experience
Proficiency with website development including:
HTML
JavaScript",17d,
,,Front End Developer,"Dania, FL",$60K - $80K (Employer est.),,18d,
"['Miles Technologies', '4.5']",http://www.milestechnologies.com/,Front End Developer,"Dania, FL",$60K - $80K (Employer est.),"We believe in Helping People Accomplish More: our customers, our vendors, and our employees. We operate from a set of fundamental beliefs and think our employees' career growth is the greatest investment of all.
ABOUT THE SOFTWARE DEVELOPER POSITION
Are you a lifelong learner? Someone analytical, passionate about troubleshooting, and enthusiastic about solving problems? Do you have the desire and ability to continuously improve and quickly pick up new concepts?
Do you enjoy work that applies creative and innovative skills to build practical solutions? Do you believe in balancing resourcefulness and self-sufficiency with collaboration? We work as one company and believe that when people work together with open minds, they accomplish more. It is a must that you are responsible, reliable, and able to communicate well with both technical and non-technical people alike.",9d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846ab1eafca22ce3e267328563&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ae15675e&cb=1668237383137&jobListingId=1008253179149&cpc=149B3D5996025BBA&jrtk=3-0-1ghlb3qp1i9hn801-1ghlb3qprg2ec800-97c96382e3fd3333--6NYlbfkN0BVdf1B6PmM0EbVgUWLOgQvNQRrNviRWdVUeK6ei5hun7K4thAqK2X932sK5rZ7OnXhQJ8VXWst1sXR2xjCoUGnihJI9_T6yhfEJPKDsaOYwuTAuRK34EFgVzw23Y3kmhvou17bLMBmEvfjJND4fUaWD9VtHXiYYOd7iqBhDQ07gLJVS-TiQR4stjSURg7Y_lOgvllgz3dnOWwLiNFx8aNcNPfJMmqsdcnfLEUuMQpn9gn330OUz9ZfQgISUyI39wJJIssquYcMyZW-UnGEMkAqJP2P-BXzitoWWIsTOU8w41aELU_KDe3cWOljEomB296j08bO1o5NRmzjWfGB32uhDhHqJPMEtlw7e7in9XIlJ3uvQg_7JAELbTknm-HPFuFHLz2NCkTKBHQsbvxSvXOOMnHsY8QRDpCHokeIXE8AqTH29LRnktyqgBk4iSf84qei5UItquO1LK1F6dW7-BrW5BQ21cPTrU5d9h1EQKstn2zqf34wfyZXDbPJ0HtOKSN6GjuMD08YPA%3D%3D
"['NewNet Services, LLC', '4.0']",http://www.newnetservices.net/,Front End Developer,"Dania, FL",$60K - $80K (Employer est.),"NewNet Software Developer Role
Job Description:
We are looking for a full time US based developer, preferably in Missoula, MT. The position requires a developer with a minimum of 1 full year of team development experience and a willingness to learn and work with an existing DevExpress codebase. The position will work closely with the support, implementation and sales personnel teams, with a direct report to the Director of Operations.Experience with version control and CI/CD is strongly recommended. Must be able to communicate clearly and professionally both with the team members and customers.
A College degree is not required for this position.",1d,
"['Doozer Software', '3.8']",http://www.doozer.com/,Front End Developer,"Dania, FL",$60K - $80K (Employer est.),"3Ci/ Doozer Software has been providing custom software development solutions, database/BI consulting, and IT staffing services to companies across the Southeast for the past 40 years. Our IT staffing division is currently assisting one of our customers in a search for a Senior Java Developer. The customer is a Pharmacy Benefit Optimizer, that partners with the country's largest Pharmacy Benefit Managers (PBMs) to bring greater discounts, enhanced access, and improved Member Services to large companies and their employees. This is a 12 month contract position. The position will work on a team that is doing enhancements of a proprietary system. The Developer will be working on a scrum team that supports the core proprietary system. The systems processes eligibility and claims files, supports employee and customer services teams, and generates customer invoices. This is a 100% remote position.
Required Skills:
At least 4+ years of Java",2d,
"['Catalyte', '3.9']",http://www.catalyte.io/,Front End Developer,"Dania, FL",$60K - $80K (Employer est.),"Applicants located in the Chicago & surrounding areas are highly encouraged to apply!
Become a software developer. No experience needed. Fast track your entry into the software development industry with Catalyte.
During your software developer journey, you will be provided the skills needed to succeed. Under tutelage of experienced software developers, you will work on a team to hone both technical and interpersonal skills critical for real-world success. You’ll also be given the opportunity to build software for one of our many clients. You'll receive mentorship, coaching and ongoing support throughout your Catalyte career.
Qualifications
Be at least 18 years old",2d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846ab1eafca22ce3e267328563&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a9df343a&cb=1668237393027&jobListingId=1008268938665&cpc=47CFDC01B3F81FAC&jrtk=3-0-1ghlb3qp1i9hn801-1ghlb3qprg2ec800-34b0b6d2893183bd--6NYlbfkN0A6HPwldSVX6OGPWZzTw4TzYO7p1USA1TWZHvILz6bp-sdeZqCGdexRjpat5uszCu-XV1EgaNocsCPN7CMwF_X_o9qjTmv8dVHiA09DWwJmezQ-vmRCz7K2NGGpy7V9FZh6iTZX0VVugnwv3NPPanhVEHgXMHjmeE55rsFoE83Mx8f1xCFKExdPXsX-ZHkhDboRMhF1y0XNjxhTD5Sgk3a8wwegpt-3WK4zS85jgcS_IBJO2cFxdBtAwpTksuGGvtCLTXA9EtodIN2VklXADJoVXBA3cVcPAIWSmtMa09AFSvKjIk82qmzOe7gNXygmjGIbFkhyOGAaFwvTJ8zZKMFFI8NQqnYEPnYUZv43c6AQsjsxPPC-D9hrcp9thK481P3zwKUsshalsg1BKfq7mcuqB-8E9e-OWmXCjSGnib_nVD4BA24kiuLzkEJXnREeYon_VqMj-8TP1rdvbMOshzDHPD6jvCD5tk8%3D
