Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Penske', '3.7']",http://www.gopenske.com/,Power Platform Engineer,"Reading, PA",$79K - $112K (Glassdoor est.),"Summary Statement:
Working with a diverse team, you will play an integral role in designing, developing, and supporting our business critical applications, while mentoring associate engineers on software development best practices in an effort to deliver our next generation of innovative applications to our customers.
What You Will Be Doing:
As a Power Platform Engineer, you will participate in all aspects of the Software Development lifecycle by supporting existing software development efforts and troubleshooting issues as they occur while also developing new software modules across multiple small to medium projects concurrently. You will have an opportunity to lead the design of certain software components and suggest new products, applications and features based on industry and technological trends and advances. You will also consult with process owners in reviewing, interpreting & developing systems in accordance with user requirements. Finally, you will get an opportunity to work with a diverse team and mentor junior software engineers.",16d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846aadd1ca8af9312a17c6a917&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5fd8b62b&cb=1668237095263&jobListingId=1008236606259&cpc=A6F0E0205751D875&jrtk=3-0-1ghlarkfok24p801-1ghlarkgdi9iu800-ed468d4042b23d9c--6NYlbfkN0CtpXM0MSzpMQ_ld-1IrueFxu_hVDIxNkdu7oUVWOFjtBGJMeR93gldlBwy6op5qD69ZeFoA3vSfygPHdqUS65hjWnbym8E7CtuDA8bpVRoTMv2apLQzyennaeQYuJTQPUtU-EAps3c-DYVpeLmBQYOtBSgxaEQkNxNgGmunii7FnVrO1Bg28soQFJjCOjmEBcpw5H7DESdYKYSL5VaizbUhOzNDMVi4YoJ1NBz80HMxAuTQdrZviu-SJ4h96mGB6sULqTLiOpSkqDmKCORlLtebAlCEX6IvPmfpvHSomd9ubhdlsgptqtWmARZO2s8vz2kYZ1zWFDIOiW7uDRurB59zAZ1JP1UQRVU55nwDAES3EJ7PU1ZsIdiPDPx4dWhbuhRKThEnhrgU1vq4nJBPE0AwZwewUeo2Vbwq1Mz3XpvinmxKK5rAwV1psmxAdApGHHiWC4gi3_xLneKVFjjRXMx2reTIli1CEjW4WhGbTj1zWaynifCMOBK
"['Penske', '3.7']",http://www.gopenske.com/,Power Platform Engineer,"Reading, PA",$79K - $112K (Glassdoor est.),"About Penske:
Most people know us for our big yellow trucks. But we’re so much more than that. At Penske we have a 50-plus year history of leading the transportation and supply-chain industry, delivering world-class and award-winning technology solutions and the key to our success is our people.

We are experiencing rapid business growth and have added headcounts to IT teams across the organization to keep up with this expansion. Going into Spring/Summer 2022, we are hiring immediately for full-time, long-term roles. At Penske you will ensure our technology solutions keep our company and our customers moving forward.",29d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846aadd1ca8af9312a17c6a917&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8486978a&cb=1668237097192&jobListingId=1008205981513&cpc=6FC5BA77C9A4CD78&jrtk=3-0-1ghlarkfok24p801-1ghlarkgdi9iu800-a4abdeaf35653228--6NYlbfkN0CtpXM0MSzpMQ_ld-1IrueFxu_hVDIxNkdu7oUVWOFjtBZhUZG5qu6frl4HBTKmvskNGFJ_9QO6rrcKBgsKhpZTEiC70KkE1Vtr_GpeqbVwTPIECVrd6ZD_hFgA196jT2GtQ-CJIjqJQqAZ6CXOZWvlWVSQ3L5gohWrakUlg2NwsakvhdD1u3Nus5212jTvJZ7r1B9WB7L_iwjiGt7YPjwAelG2o5F47sMcZjFExhfvIQ2FxbbrTqRNy8Fq0Jxt1uLQmzG4wT7ngRmgZj24F053woNEVId2T847uYu1wehOg-D5N0ThNeOgKXz5a2hBxXAMYZOX_xUyQT6b0sT_nCCPKGr6xkfsHKp_qeEPRKQ5VsbpC1CZhdqHvL6RuEmYK2oBiW7unG1GXt2zj1X6eP-c3MmZaRKqTKgcBgxYk9zGIruXM0jVaXuiS4_s5MAwUrzyW2Y90H2DFi6INThLWqCUjuw8Ff5I2bLQQPRd1M6mfGjvSjnmTJ2Q
"['Penske', '3.7']",http://www.gopenske.com/,Power Platform Engineer,"Reading, PA",$79K - $112K (Glassdoor est.),"About Penske:
Most people know us for our big yellow trucks. But we’re so much more than that. At Penske we have a 50-plus year history of leading the transportation and supply-chain industry, delivering world-class and award-winning technology solutions and the key to our success is our people.

We are experiencing rapid business growth and have added headcounts to IT teams across the organization to keep up with this expansion. Going into Spring/Summer 2022, we are hiring immediately for full-time, long-term roles. At Penske you will ensure our technology solutions keep our company and our customers moving forward.",29d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846aadd1ca8af9312a17c6a917&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c3f857a7&cb=1668237100260&jobListingId=1008205981522&cpc=F41FEAB56D215062&jrtk=3-0-1ghlarkfok24p801-1ghlarkgdi9iu800-71747360461d2132--6NYlbfkN0CtpXM0MSzpMQ_ld-1IrueFxu_hVDIxNkdu7oUVWOFjtBZhUZG5qu6fn76-LVh60rFIRjdCLH4nAFmIjg0MNtRIsZ63lgmOAacb51BVZ9JAtHgikLpgE_ZRzge8UCGND2MfTpSrYvzqP2PIlLpfWFI9JMDp-Nhpp4J2mjd8QsgpOhHRsXy4W-U9bw1WoRhT4aW99KHIJbklW1cFhuylV-MBysAx-VgO2_3i_rvIWSgBYjBJKb8vQn9cGXjOVDZAtmvBLHiFEHm1mZdd3EEEGKDcaCMjwPKStUiQV77DfRApuzjdknYkbIbk8REhIYz6cdd_7RYRqRYEzHAZMX6j8WGyoL9AglWzgt-uNgU34Xs2dSkGGTdkOblA25VQPQlv5BSB3FTB2s2rZT5QQC7nuxNzSCy-oAtN14N6rNiH1LM3cZQjABAl-TdBZFuQnGk9sYVsLpAkF07rwIFKeWUMBLJKgMHD9epbWHnhy8SK1-niVg%3D%3D
"['Penske', '3.7']",http://www.gopenske.com/,Power Platform Engineer,"Reading, PA",$79K - $112K (Glassdoor est.),"About Penske:
Most people know us for our big yellow trucks. But we’re so much more than that. At Penske we have a 50-plus year history of leading the transportation and supply-chain industry, delivering world-class and award-winning technology solutions and the key to our success is our people.

We are experiencing rapid business growth and have added headcounts to IT teams across the organization to keep up with this expansion. Going into Winter 2021/2022, we are hiring immediately for full-time, long-term roles. On this team you will ensure our technology solutions keep our company and our customers moving forward.",17d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846aadd1ca8af9312a17c6a917&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_66232d5c&cb=1668237102067&jobListingId=1008233811198&jrtk=3-0-1ghlarkfok24p801-1ghlarkgdi9iu800-01cef5c8801ba321--6NYlbfkN0CtpXM0MSzpMQ_ld-1IrueFxu_hVDIxNkdu7oUVWOFjtM5wUZTNJqq1k1S7riDXeAusyY9pQon90ll-G9pmYYJEUAy08PYSBHjfFEwHbw_P_KbGzcq_EgpaDYdMCIs1pJhcwyKtO-B9dPtzqEfK-Qsu_YyfSMZBbz71OdNcH0HfpcG3kRdeoxSjA2iJjSAkwvzmK2vvhXoVSiIIRgx-K6xEoSwteotT5IrHzMFicO1l-KPM8GMqccGiRhUfT8PuvHKz0vcaQy9lkUSPo0zG0CoGmSCyImtR-XSWYRnBQFU2C-71J7dmXPdYrcC-tk355LsJVdnhNhbbiYMBXqrHHBRU-GW3zg_F9otxzSeD9DFQOgcT_mNwSQeLYU6aDkEuISuXRLGEmHlCTYLx8CQJGASdCoRIiI2aiXbWHpfESWxcKqQDXYTfT9J1RS6y5Db9k7J5NSafBzJfLhmG17gMqkVPd0jPw5Va5oI%3D
"['Penske Truck Leasing and Logistics', '3.7']",http://www.gopenske.com/,Power Platform Engineer,"Reading, PA",$79K - $112K (Glassdoor est.),"Java Developer (Maintenance Systems) (Job Number: 2208874 )
About Penske:
Most people know us for our big yellow trucks. But we’re so much more than that. At Penske we have a 50-plus year history of leading the transportation and supply-chain industry, delivering world-class and award-winning technology solutions and the key to our success is our people.
What You Will Be Doing:
As a Penske Java Developer (Associate Software Engineer III), you will be part of a team that develops our next generation of applications while enhancing and supporting our existing applications. You will be involved in reviewing, interpreting & developing systems in accordance with user requirements & troubleshooting issues as they occur. Working with the business and other software engineers/leads, you will develop an understanding of the requirements and translate them into technical design to develop and implement the solution. You will also collaborate with engineers and architects to ensure optimization, offering your input into the requirements and potential alternative courses of action.
2675 Morgantown Rd 2675 Morgantown Rd",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846aadd1ca8af9312a17c6a917&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d25ea327&cb=1668237105999&jobListingId=1007841199183&jrtk=3-0-1ghlarkfok24p801-1ghlarkgdi9iu800-f076776123a2293e-
"['Penske Truck Leasing and Logistics', '3.7']",http://www.gopenske.com/,Power Platform Engineer,"Reading, PA",$79K - $112K (Glassdoor est.),"Java Developer (Maintenance Systems) (Job Number: 2119546 )
About Penske:
Most people know us for our big yellow trucks. But we’re so much more than that. At Penske we have a 50-plus year history of leading the transportation and supply-chain industry, delivering world-class and award-winning technology solutions and the key to our success is our people.
We are experiencing rapid business growth and have added headcounts to IT teams across the organization to keep up with this expansion. Going into Winter 2021/2022, we are hiring immediately for full-time, long-term roles. At Penske you will ensure our technology solutions keep our company and our customers moving forward.
What You Will Be Doing:
5401 West Kennedy Blvd Suite 700 5401 West Kennedy Blvd Suite 700",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846aadd1ca8af9312a17c6a917&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_13002336&cb=1668237108899&jobListingId=1007432767709&jrtk=3-0-1ghlarkfok24p801-1ghlarkgdi9iu800-ef33a4d1adc542c3-
"['Penske Truck Leasing and Logistics', '3.7']",http://www.gopenske.com/,Power Platform Engineer,"Reading, PA",$79K - $112K (Glassdoor est.),"Manager - Software Development (Job Number: 2203571 )
Summary Statement:
You will manage a team of developers to help us create the next generation of innovative solutions while also enhancing and optimizing our existing systems and applications. Providing day-to-day management and development for your team, you will manage projects to ensure seamless delivery, implementation, support, and issue resolution. Using your knowledge and experience with the technology you will help guide our organization to implement solutions that will move us forward and keep us ahead of the competition.
What You Will Be Doing:
As a Penske manager software development, you will be leading a team focused on key software development, enhancements, and maintenance. Working with your teams, stakeholders, and development partners/vendors to ensure implementation and help define architectures to create robust solutions. Conducting performance reviews for your team and engineering process for quality assurance to ensure that deliverables are effective and meet the needs of the end-user. Guiding teams and removing roadblocks to ensure timely solutions, as well as, growing your team of developers to advance in their careers are key tasks that help make sure we can keep our organization moving forward. Fostering a partnership with business owners and key stakeholders to get the job done.
5401 West Kennedy Blvd Suite 700 5401 West Kennedy Blvd Suite 700",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846aadd1ca8af9312a17c6a917&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2aff90e6&cb=1668237112822&jobListingId=1008151980602&jrtk=3-0-1ghlarkfok24p801-1ghlarkgdi9iu800-e1c1101adfd58d96-
"['Penske Truck Leasing and Logistics', '3.7']",http://www.gopenske.com/,Power Platform Engineer,"Reading, PA",$79K - $112K (Glassdoor est.),"Associate Software Engineer III (Job Number: 2201466 )
Summary Statement:
Working with a diverse team, you will participate in all aspects of the software development lifecycle. You will get an opportunity to design functions and modules and be responsible for delivering the next generation of innovative applications to our customers
What You Will Be Doing:
As an Associate Software Engineer III, you will be part of a team that develops our next generation of applications while enhancing and supporting our existing applications. You will be involved in reviewing, interpreting & developing systems in accordance with user requirements & troubleshooting issues as they occur. Working with the business and other software engineers/leads, you will develop an understanding of the requirements and translate them into technical design to develop and implement the solution. You will also collaborate with engineers and architects to ensure optimization, offering your input into the requirements and potential alternative courses of action.
100 Gundy Drive 100 Gundy Drive",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846aadd1ca8af9312a17c6a917&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_687bd548&cb=1668237114905&jobListingId=1007637710911&jrtk=3-0-1ghlarkfok24p801-1ghlarkgdi9iu800-043c14e4f6c12be5-
"['Penske Truck Leasing and Logistics', '3.7']",http://www.gopenske.com/,Power Platform Engineer,"Reading, PA",$79K - $112K (Glassdoor est.),"Associate Software Engineer III (Job Number: 2113124 )
What You Will Be Doing:
As an Associate Software Engineer III, you will be part of a team that develops our next generation of applications while enhancing and supporting our existing applications. You will be involved in reviewing, interpreting & developing systems in accordance with user requirements & troubleshooting issues as they occur. Working with the business and other software engineers/leads, you will develop an understanding of the requirements and translate them into technical design to develop and implement the solution. You will also collaborate with engineers and architects to ensure optimization, offering your input into the requirements and potential alternative courses of action.
Ideal candidates will have 2-4 years of development experience in the following areas:
5401 West Kennedy Blvd Suite 700 5401 West Kennedy Blvd Suite 700",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846aadd1ca8af9312a17c6a917&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e39b6303&cb=1668237116503&jobListingId=1007263454479&jrtk=3-0-1ghlarkfok24p801-1ghlarkgdi9iu800-e20ccec6c8c6c3e7-
"['Penske Truck Leasing and Logistics', '3.7']",http://www.gopenske.com/,Power Platform Engineer,"Reading, PA",$79K - $112K (Glassdoor est.),"iOS Developer (Job Number: 2219148 )
What You Will Be Doing:
As a Mobile iOS Developer (Mobile Developer), you will be part of a team that develops our next generation of mobile applications while enhancing and supporting our existing applications.
Strong candidates will possess at least 3 years of the following experience:
Proficient in Swift with a working knowledge of Objective-C
Full System Development Lifecycle
Ability to work independently with a team and self-manage work
Ongoing systems monitoring and general support responsibilities
5401 West Kennedy Blvd Suite 700 5401 West Kennedy Blvd Suite 700",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846aadd1ca8af9312a17c6a917&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_30f83cf4&cb=1668237120283&jobListingId=1008145754996&jrtk=3-0-1ghlarkfok24p801-1ghlarkgdi9iu800-35e31b1366f7e30f-
