Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['PepsiCo', '3.9']",http://www.pepsico.com/,Software Engineering Analyst,"Plano, TX",$75K - $101K (Glassdoor est.),"Overview

We are PepsiCo:
PepsiCo is one of the world's leading food and beverage companies with more than $79 Billion in Net Revenue and a global portfolio of diverse and beloved brands. We have a complementary food and beverage portfolio that includes 22 brands that each generate more than $1 Billion in annual retail sales. PepsiCo's products are sold in more than 200 countries and territories around the world. PepsiCo's strength is its people. We are over 250,000 game changers, mountain movers and history makers, located around the world, and united by a shared set of values and goals.

We believe that acting ethically and responsibly is not only the right thing to do, but also the right thing to do for our business. At PepsiCo, we aim to deliver top-tier financial performance over the long term by integrating sustainability into our business strategy, leaving a positive imprint on society and the environment. We call this . For more information on PepsiCo and the opportunities it holds, visit www.pepsico.com.",25d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b8fa5c5a7591c1228fe9a7c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0e7b656c&cb=1668251898199&jobListingId=1008214153023&jrtk=3-0-1ghlov9fkkf18801-1ghlov9g4imbd800-9231bd968a79eb2b-
"['PepsiCo', '3.9']",http://www.pepsico.com/,Software Engineering Analyst,"Plano, TX",$75K - $101K (Glassdoor est.),"Overview:
We are PepsiCo:
PepsiCo is one of the world's leading food and beverage companies with more than $79 Billion in Net Revenue and a global portfolio of diverse and beloved brands. We have a complementary food and beverage portfolio that includes 22 brands that each generate more than $1 Billion in annual retail sales. PepsiCo's products are sold in more than 200 countries and territories around the world. PepsiCo's strength is its people. We are over 250,000 game changers, mountain movers and history makers, located around the world, and united by a shared set of values and goals.

We believe that acting ethically and responsibly is not only the right thing to do, but also the right thing to do for our business. At PepsiCo, we aim to deliver top-tier financial performance over the long term by integrating sustainability into our business strategy, leaving a positive imprint on society and the environment. We call this . For more information on PepsiCo and the opportunities it holds, visit www.pepsico.com.



Responsibilities:
Qualifications:
>:",25d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b8fa5c5a7591c1228fe9a7c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2841ed84&cb=1668251902108&jobListingId=1008214885357&jrtk=3-0-1ghlov9fkkf18801-1ghlov9g4imbd800-dabcd43297a319be-
"['PepsiCo', '3.9']",http://www.pepsico.com/,Software Engineering Analyst,"Plano, TX",$75K - $101K (Glassdoor est.),"Overview

Main Purpose:
Develop mobile applications for PepsiCo Foods North America (PFNA), immediately focusing on the Order to Cash Application project.
Participate as a Developer on a scrum team. Deliver high-quality code, as defined by PepsiCo standards, taking direction from team’s the Technical Lead.


Responsibilities

Accountabilities:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b8fa5c5a7591c1228fe9a7c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3c3a5180&cb=1668251905156&jobListingId=1008171618435&jrtk=3-0-1ghlov9fkkf18801-1ghlov9g4imbd800-984042ca8d84d34b-
"['PepsiCo', '3.9']",http://www.pepsico.com/,Software Engineering Analyst,"Plano, TX",$75K - $101K (Glassdoor est.),"Responsibilities

Job Locations: Plano, TX, Dallas, TX, Purchase NY, New York, NY

We are PepsiCo
PepsiCo is one of the world's leading food and beverage companies with more than $79 Billion in Net Revenue and a global portfolio of diverse and beloved brands. We have a complementary food and beverage portfolio that includes 22 brands that each generate more than $1 Billion in annual retail sales. PepsiCo's products are sold in more than 200 countries and territories around the world. PepsiCo's strength is its people. We are over 250,000 game changers, mountain movers and history makers, located around the world, and united by a shared set of values and goals.

We believe that acting ethically and responsibly is not only the right thing to do, but also the right thing to do for our business. At PepsiCo, we aim to deliver top-tier financial performance over the long term by integrating sustainability into our business strategy, leaving a positive imprint on society and the environment. We call this Winning with Purpose. For more information on PepsiCo and the opportunities it holds, visit www.pepsico.com.


The Digital Evolution is critical to driving PepsiCo’s ambitions around being FASTER, STRONGER, and BETTER. The Digital Products & Services team designs, builds, and stands up digital solutions across the value chain, that are embedded into business processes to optimize efficiency, reduce costs, and maintain high ROI. Guided by PEPSICO’s global priorities, the Digital Products & Services team create user-centric digital products that can be scaled globally by leveraging the leading technologies, advanced analytics algorithms, and latest user research.


The Senior Manager of Software Engineering will play a pivotal role in software development activities and long-term initiative planning and collaboration across the Strategy & Transformation (S&T) organization. Software Engineering is the cornerstone of scalable digital transformation across PepsiCo’s value chain. This leader will deliver the end-to-end software development experience, deliver high quality software as part of the DevOps process, and have accountability for our business operations.

The leader in this role will provide technical oversight and direction to our software development team to ensure we deliver the best possible software solutions and ensure they are generating value through cost savings or incremental value. This leader will work closely with the user experience, product, IT, and process engineering teams to develop new products and prioritize deliver solutions across S&T core priorities.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b8fa5c5a7591c1228fe9a7c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d556132b&cb=1668251909053&jobListingId=1008133229066&jrtk=3-0-1ghlov9fkkf18801-1ghlov9g4imbd800-7e7c5e9cd7daa4a2-
"['PepsiCo', '3.9']",http://www.pepsico.com/,Software Engineering Analyst,"Plano, TX",$75K - $101K (Glassdoor est.),"Overview:
eCommerce Senior Machine Learning Engineer:

PepsiCo operates in an environment undergoing immense and rapid change. Our ability to quickly make more data-driven decisions than our competitors is a key competitive advantage in the food and beverage space. PepsiCo’s eCommerce Data Engineering and Intelligence group is a team of data engineers, researchers, technology specialists, data scientists, and innovators who collaborate to build industry-leading systems and solutions.

While tied closely to broader PepsiCo, this group more closely resembles a start-up environment; embracing the core values of having a bias for action, being results-oriented, maintaining a community focus, and prioritizing people. By focusing on AI-driven decision support, as well as more traditional machine learning and automation, the Data Engineering and Intelligence group is pushing the bounds of possibility for PepsiCo and its strategic partners.



Responsibilities:
Qualifications:
>:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b8fa5c5a7591c1228fe9a7c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e2c67ca4&cb=1668251913042&jobListingId=1008201181743&jrtk=3-0-1ghlov9fkkf18801-1ghlov9g4imbd800-bc5707336cb63db4-
"['PepsiCo', '3.9']",http://www.pepsico.com/,Software Engineering Analyst,"Plano, TX",$75K - $101K (Glassdoor est.),"Overview:

Main Purpose:
Develop mobile applications for PepsiCo Foods North America (PFNA), immediately focusing on the Order to Cash Application project.
Participate as a Developer on a scrum team. Deliver high-quality code, as defined by PepsiCo standards, taking direction from team’s the Technical Lead.

Responsibilities:
Accountabilities:
Qualifications:












>:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b8fa5c5a7591c1228fe9a7c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3620201d&cb=1668251915980&jobListingId=1008173013815&jrtk=3-0-1ghlov9fkkf18801-1ghlov9g4imbd800-772bd9ef62cfc9d1-
"['PepsiCo', '3.9']",http://www.pepsico.com/,Software Engineering Analyst,"Plano, TX",$75K - $101K (Glassdoor est.),"Overview

eCommerce Senior Machine Learning Engineer:

PepsiCo operates in an environment undergoing immense and rapid change. Our ability to quickly make more data-driven decisions than our competitors is a key competitive advantage in the food and beverage space. PepsiCo’s eCommerce Data Engineering and Intelligence group is a team of data engineers, researchers, technology specialists, data scientists, and innovators who collaborate to build industry-leading systems and solutions.

While tied closely to broader PepsiCo, this group more closely resembles a start-up environment; embracing the core values of having a bias for action, being results-oriented, maintaining a community focus, and prioritizing people. By focusing on AI-driven decision support, as well as more traditional machine learning and automation, the Data Engineering and Intelligence group is pushing the bounds of possibility for PepsiCo and its strategic partners.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b8fa5c5a7591c1228fe9a7c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c504f089&cb=1668251918769&jobListingId=1008199798891&jrtk=3-0-1ghlov9fkkf18801-1ghlov9g4imbd800-d5bd3d23007f704e-
"['PepsiCo', '3.9']",http://www.pepsico.com/,Software Engineering Analyst,"Plano, TX",$75K - $101K (Glassdoor est.),"Overview

Step up to the biggest challenge of your career and realize your potential when your determination meets our dynamic culture.

This award winning modeling and simulation team is on an exciting journey to lead the PepsiCo R&D digital transformation. With the vision of delivering winning products through digital innovation, partnering with the food and beverage category teams, this team develops cutting edge technologies centered around Modeling and Simulation (MS) to deliver faster and better consumer centric solutions.

What’s in it for you?
A rewarding opportunity for personal and professional growth in the world’s leading food and beverage company",4d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b8fa5c5a7591c1228fe9a7c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5ac8636a&cb=1668251920566&jobListingId=1008264092572&jrtk=3-0-1ghlov9fkkf18801-1ghlov9g4imbd800-b2c9986f7a3e59d1-
"['PepsiCo', '3.9']",http://www.pepsico.com/,Software Engineering Analyst,"Plano, TX",$75K - $101K (Glassdoor est.),"Overview:
Step up to the biggest challenge of your career and realize your potential when your determination meets our dynamic culture.

This award winning modeling and simulation team is on an exciting journey to lead the PepsiCo R&D digital transformation. With the vision of delivering winning products through digital innovation, partnering with the food and beverage category teams, this team develops cutting edge technologies centered around Modeling and Simulation (MS) to deliver faster and better consumer centric solutions.

What’s in it for you?
A rewarding opportunity for personal and professional growth in the world’s leading food and beverage company

Responsibilities:
Qualifications:

>:",3d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b8fa5c5a7591c1228fe9a7c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_dad07921&cb=1668251923540&jobListingId=1008265572535&jrtk=3-0-1ghlov9fkkf18801-1ghlov9g4imbd800-1fc396d725460120-
"['PepsiCo', '3.9']",http://www.pepsico.com/,Software Engineering Analyst,"Plano, TX",$75K - $101K (Glassdoor est.),"Responsibilities

Job Locations: Candidate must live 90 miles from one of the following locations: Plano, TX, Dallas, TX, Purchase NY, New York, NY

We are PepsiCo
PepsiCo is one of the world's leading food and beverage companies with more than $79 Billion in Net Revenue and a global portfolio of diverse and beloved brands. We have a complementary food and beverage portfolio that includes 22 brands that each generate more than $1 Billion in annual retail sales. PepsiCo's products are sold in more than 200 countries and territories around the world. PepsiCo's strength is its people. We are over 250,000 game changers, mountain movers and history makers, located around the world, and united by a shared set of values and goals.

We believe that acting ethically and responsibly is not only the right thing to do, but also the right thing to do for our business. At PepsiCo, we aim to deliver top-tier financial performance over the long term by integrating sustainability into our business strategy, leaving a positive imprint on society and the environment. We call this Winning with Purpose. For more information on PepsiCo and the opportunities it holds, visit www.pepsico.com.


The Digital Evolution is critical to driving PepsiCo’s ambitions around being FASTER, STRONGER, and BETTER. The Digital Products & Services team designs, builds, and stands up digital solutions across the value chain, that are embedded into business processes to optimize efficiency, reduce costs, and maintain high ROI. Guided by PEPSICO’s global priorities, the Digital Products & Services team create user-centric digital products that can be scaled globally by leveraging the leading technologies, advanced analytics algorithms and latest user research.


The Principal Software Engineer will be an and play a pivotal role in software development activities and long-term initiative planning and collaboration across the Strategy & Transformation (S&T) organization. Software Engineering is the cornerstone of scalable digital transformation across PepsiCo’s value chain. This leader will deliver the end-to-end software development experience, deliver high quality software as part of the DevOps process, and have accountability for our business operations.

The leader in this role will provide technical oversight and direction to our software development team to ensure we deliver the best possible software solutions and ensure they are generating value through cost savings or incremental value. This leader will work closely with the user experience, product, IT, and process engineering teams to develop new products and prioritize deliver solutions across S&T core priorities.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b8fa5c5a7591c1228fe9a7c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_aa27f79d&cb=1668251927370&jobListingId=1008137296535&jrtk=3-0-1ghlov9fkkf18801-1ghlov9g4imbd800-2d6c45d5f4863690-
