Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
['International CSO 2GO'],,Marketing Director,"Highlands Ranch, CO",$60K - $80K (Employer est.),"CREATIVE DESIGNER WITH MARKETING IMPLEMENTATION AND ANALYTICS EXPERIENCE
International CSO (Chief Sales Officer) 2GO is an innovative multi-functional sales and marketing agency.
Our vision is to increase joy in the world!
Our mission is to create and implement sales and marketing strategies aligned to the values of our clients and exceed return expectations.
Salary = $60,000, First Year OTE = $80,000
Our three Core Business Units:",7d,
"['CPChem', '3.9']",http://www.cpchem.com/,Marketing Director,"Highlands Ranch, CO",$60K - $80K (Employer est.),"You may not realize it, but you’ve likely used a product today made possible by the plastics and chemicals manufactured by Chevron Phillips Chemical. From medical supplies and electronics to food packaging and cosmetics, we create the building blocks for more than 70,000 consumer and industrial products.

Even as a global company with 5,000 employees, we maintain a “small company feel” and uphold a culture of respect, diversity, and inclusion. Ask any Chevron Phillips Chemical employee what they like best about their job, and universally, the answer is “the people I work with!” We value work-life balance, and love to see our employees thrive both professionally and personally. There has never been a better time to work for Chevron Phillips Chemical. If you’re ready to grow with us and become part of our vision of being the premier Chemical Company, apply today!",2d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018469c4c5e8a934e0932bfcba3f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8dadf2e2&cb=1668221830227&jobListingId=1008269724949&cpc=2CAED5C921A5F994&jrtk=3-0-1ghks9hh3kuh0801-1ghks9hhnj4hp800-d2104852fa5a4ca9--6NYlbfkN0AwJgfnoJfL7L0Cj3mSZXarraxvLNDkgMD3Nhc6S_BVbtHsxNWfyJOlckmnKB2HeVGxPjsIZ2E7AriHzDjaquBwdRDlMuW0sRQh6Xqk6ZXFqjG-A-R0VdUOQysA9N-mK5m3EFSI6kLxeLnn0GRqVU89OJlEvy3HTl48lNoPhxAFVAcPxzafpVdyFXvSCR50dx4urCkKsZCpAVLUp1-4-MwiJUoYiuUDfF_PzRqx_eV04MnWLZvODvYToqyHvgaPb_yYZu3rms-yFmlF7VgdDHwGUxSrdNGDdDokAEOp6UD9Ywl1zMh9PUNMYjIwBdaHteGa0q0S_4OfqYC7Go_V_g42c06-5Rx01M8_Nu_DNOrcq6sgFpxI4KdL7hsdBJAlhoytbuyZc-9qhBhs5KPf85O6zMxt3hEmWYJqOK9oISwAlx4ZYhsvzmS9KZiakB8errShLaUBtdJbL4hvaZXe1hxDOeAFnwjIM-iKTmSBrQK3tdJ-n6GsNdiWaIiHVK65_X-JCj7MryEUT8BpQ_Awv_DBuPjJeQny5BDXi8rXhcI4JpUBUYHlLxmhchlD_ZGUAfbKntWRAs1wJGRbxzZH92gfjvgJSxmgFm8WGRGlhagz37eeO9xqt7eKF9kfWG4Owr4GSS-xgHZS9bfIboxRimBzzIs_JW296gs%3D
"['FLEETCOR', '3.5']",http://www.fleetcor.com/,Marketing Director,"Highlands Ranch, CO",$60K - $80K (Employer est.),"The game is changing in business payment, and FLEETCOR is leading the way with innovative solutions that streamline the payment process and help companies control spending.
The FLEETCOR team has cracked the code. We've assembled an A-team of business partners, payment networks, and employees. We have the technology and have made it our mission to develop and deliver better ways to pay.
FLEETCOR is not just about fun team events or great learning opportunities (although we have those too!). We’re growing our team and are looking for an Full Stack Developer to join us and make a real impact! If that is you, APPLY NOW!
Position Summary:
The Sr. Full Stack Developer is responsible for developing and supporting web applications that source and provide lodging, meals, and transportation for airline crew and passengers. The candidate will contribute to all aspects of internet connected application development including performance, scalability, coding, caching, security, encryption, session state management, data management, error logging, and testing. The primary skills for this position are .NET, C#, and Angular 11 / JavaScript.",30d+,
"['Macquarie Group Limited', '4.1']",http://www.macquarie.com/,Marketing Director,"Highlands Ranch, CO",$60K - $80K (Employer est.),"Macquarie Group is offering an exciting opportunity for a DevOps Engineer with a strong background in Java to join a diverse and innovative team that develops and maintains critical applications for our Risk Management business.
As a developer in our team, you will gain exposure to various state of the art technologies, and will also gain exposure to strategic technology initiatives including creating new applications on the Public Cloud and integrating our different systems.
This role will comprise of design, development, testing (unit & automation), implementation and maintenance of software solutions with a focus on quality and DevOps principles. You will have a diverse range of full stack development opportunities including new web services and APIs in Java, and creating new applications on the Public Cloud. In addition, you will help with production support, including coordinating the resolution of high severity incidents.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018469c4c5e8a934e0932bfcba3f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4a907d62&cb=1668221836128&jobListingId=1008000744023&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghks9hh3kuh0801-1ghks9hhnj4hp800-3690775bdcc1c0eb--6NYlbfkN0Buby3bM6xh3PvoctOm6nU0sG10uZOdQYvMWxvRDCBuHZP9gZtXeKBRA3GjHBhNf7rMQ-OOnwYb0t16k6Mbn3HGEhVyfWR5qTazT9E8k2b1txNBMfsGvKkTGwwxERhVAPZmH9CTd4m5Xk_JxM-TPxfcYYcCFBpe70P6ErGmdWhVtiBqFOzDyKq7t23c7YFr_n3qJgHNR6mZPg_PSTeFu-o5PjTsOuCQwUFh8iP8l_i91WO1tWRiwNNbVtWC3IBXUDi8aOvKoZLb3XDrOHLwR-DIo77fTzajLcqjTssmyDecb4YtIJRvAMsseQFlBFXypUOEUk4nNCtFW-VrMNLMOImOLl8a-wQQhRUSSZ4HIaQo8G-WSMIjy8yFjXn2UiQ6iJ2VWfcO_A0tU_QdZ3H9fSm_N_RwPHZPxTs-Hk31ddTLJGXZ-YLuxD994ccziw4U9mFWovErJEu8XFzVEcr-QY8Tm-lRunMzowUlcD12KuD-jo8WvFyUzVdV5nN_jXuuKs_foyEEJkSw8k9Ke-I013J7
"['Michael Page', '4.2']",http://www.pagegroupltd.com/,Marketing Director,"Highlands Ranch, CO",$60K - $80K (Employer est.),"As a backend software engineer, you will be responsible for building and owning one of the many critical services on our client's platform.
Create new developments to our client's platform
Accountable for delivery, deployment, maintenance, and monitoring the performance of your applications and the platform as a whole
Evaluate tools, technologies, frameworks, and vendors for the platform
Write performant and concise code to meet the defined standards at our client, review the code of peers, and ensure security and scalability of the features you work on
Create the backlog of tech debt and features, suggesting areas for improvement and enhancement",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018469c4c5e8a934e0932bfcba3f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ddb19ba1&cb=1668221839253&jobListingId=1008063658636&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghks9hh3kuh0801-1ghks9hhnj4hp800-73da744f4969a16d--6NYlbfkN0BR3ykMnr3Vw97HK5IC0i9Uo32NXohanwqRY-CI8z69bl4xOa6Yve6w6NlWd53uNOcYwWf5LoTK-7R3xS9TAUSm5iOXDQ8z80GcuTKAn32hfqpya5s99ecCwEQVYbIIslRdJDz-06WN05D3H5hT1m3AS6U45ZHSTyXLaEs-awvmV3-yr7WgecG8JIOhLCtQYMFAi1CyXv5X03ZhJuQBfO1NoTzoynDTCVhuA3aBWx0GA3FvHjvDXT5m0P5Dr5N0fM4LYPNckws5ZWVgAm-HkAAriuC7w0Gl-sD9GrtzDN4yM_IWlI1XR443YjrvBqgWu4NzGMYhZglbEAPCd0wRpUHDykh7ISwtsCST5CJNNzT_OzxhIubp0kTNEa6HNUNJbfXJmyRgfu8G4lq95LgZMgTu4s2WxsmIZK9Y8gP2croamsWcfyW56kHV-tJ2wPWjW41ORh6zc_LMBPO6zBaq5fdilZYuYa-6-dhFykeHPqSbbIwVV7G2cbbRcA6W0Aey76DLlSnyJqD63SVsriwcTUxGC-5W_2k-Hlu4UgfkpmyiS361PaOQYVpH6QIBROrGlpjiJGpbsLBEialvWMf8s1FdReP9e7tuOgevDMEHAFbOInWOgsiEzcCVCViX-iBE9KHAZoyuaBpdDfERcnoX6elxBaxQ0nFOwY56O7KadjN1oCZjDikbqQRU6GukOfGpH8bc3LY2JGSfNuKeMiXN2ymSxOr3U8w6OCiVkYkalRBPqPRtMICbd0aT99n7xsxl7_8NeEMUtCFkMAiTmsYUZ_sffqvhUZY8v5DJWsTv8Zo9My1Y0vpvqqwqwLPmXI6bLR8itGcfZIguVSn2YW8pGoL-3z3I86huZEkvzcw4ZGmk8bxdzqyPmPjm5U1CONYmSrtDuHj9_31KsFZxYfuTcRh7Pf95o7jjI8uytCGLqnv59qw0-wItuZSFw-kKe4756EHWz-x8tVL3eciznMtWPiZvhOLhaiStT0G89iOe41E1yffvCv8g-DDH0TTPVyTyKY1f8t2rbYCwYe4f2Ag4kOeDUPlxAFmNjEqAVTwXqW6mKWoBAiYOHDmxoo-b7klD1TZQrwDL4LhmHaagGaXzDFUjFfPD65-Pyxk%3D
"['Emerson', '3.8']",https://www.emerson.com/en-us/careers,Marketing Director,"Highlands Ranch, CO",$60K - $80K (Employer est.),"Emerson Automation Solutions is looking for a talented and versatile Software Development Manager to lead multiple small teams of developers as they design, develop and maintain the award winning DeltaV Distributed Control System.
AS SOFTWARE DEVELOPMENT MANAGER, YOU WILL:
Foster high-performing scrum teams by providing coaching and feedback
Evaluate developer performance, using observation and input from the team
Participate in development of department and team processes, best practices and guidelines, and help team execute using them
Recruit and onboard capable developers, based on team and organization needs
Collaborate with Scrum Masters, Architects and Agile Release Train leadership and others to eliminate impediments and support team's continuous improvement",4d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018469c4c5e8a934e0932bfcba3f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c0f625a6&cb=1668221843088&jobListingId=1008263270983&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghks9hh3kuh0801-1ghks9hhnj4hp800-4f3bc75444a538e7--6NYlbfkN0C0yHrujcxMCbkaG3IbA09ELIIJjJgF-_zVRJpDqTq0TTx-_fOZR8S_mlYLCrbuqdB3aw24HVTZuNtbx70V3Gb7Xl7eq-3_ex-JZOSaJQS-anUSmI3M_NQwLK7V86QTgNO3QnvYeBsYsb89Z9N0AHrt7WQCQt_sMB4abbvjvge2VGcVsdfdRAOl3dPXA3RYpotQMtc8mDOtlgyG_b4yRUSNhr_P4_2bJ9t7kXAttOF4xls0voaMyC7t6Biz6RTaRy05YB0DojLfAITWRc8Ll7JH2dWbp8SPJSQtm6CH4D_IFFmBaT8u9vYEci_Br2vn6XPJfWvnyFy7u8C5uh5bHtO57cSE2euqaBsQMr5MJJu_woWzn4tWqqa-sZvEpVnBHgzOsPrm3CJxsY59XGNBAjCJBI0fqYwC1ioOcsZKkAhMmAW0J5KMJmcZrcRXzHSKSacD4vgNAvggRz8lcnwmS3vFSu78nEI4RS5eTGk8zB4KVafiuewHA2ohNrIdNcUBt7a82RzzNnvKWUFsUh0gONvgT2vZQeF6jZJctsJMKlHznC728mflx_DW23xKdhar-Bhr7mvjcReT5RMLWIB-DoEPsT9OEPeemPlv445RALwjXqPJeJwHwmzaFXBy3kRyp4g%3D
"['Macquarie Group Limited', '4.1']",http://www.macquarie.com/,Marketing Director,"Highlands Ranch, CO",$60K - $80K (Employer est.),"Bring your strong data engineering and cloud skills to our team and work with modern technology deploying microservices to the cloud. Work directly with our business and learn about the financial services industry as you deliver technology solutions for our global asset management business.
As a Software Developer, you will deliver the software solutions which empower our people and clients to innovate and invest for a better future. Collaborating with colleagues across the globe, you’ll work with a variety of modern technologies all built on our cloud-based infrastructure.
You’ll have the satisfaction of seeing the software development process through from start to finish and the impact of your solutions as they bring opportunities to life. You will be involved from understanding the opportunity and the business case, through to prototyping requirements and delivering the final solution. You’ll design, make technology decisions, ensure security by design, code, document, test performance, and provide support. There is no aspect that you won’t be involved with.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018469c4c5e8a934e0932bfcba3f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_45739395&cb=1668221845046&jobListingId=1007993425206&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghks9hh3kuh0801-1ghks9hhnj4hp800-a23f8ef74b73d654--6NYlbfkN0Buby3bM6xh3PvoctOm6nU0sG10uZOdQYvMWxvRDCBuHZP9gZtXeKBRA3GjHBhNf7pQ9eOwrldlop2uoIbgli3Odm-p4uAERadryOR6A788RJpwZqyPCF50U_O0XCar2l2A3K2w1fkSAVdQJyruxbd89uqQoltgidurP9mPYJEFiQ1MF2sSQDS9mDEM7MJwnuoTGEam7QRAHTZIV_1ppc3J_fuuKyf35C0P9iF42Tv-yLRlEhESp99_8_4JeS0zLYo4J7MN42YtZuARWnVag203dRu3u7KfShwUIxw1kWIRPiIM5KlVUIS9bTAQQJEbHEZrcbe0KFYPxPRLO5MtV0vkzqZ_0UZc-Vr4c2i04fyr0xZXns4Uk25HgETRFxdvVQxpAlrRqeOrQKqvysvJQ_0Joxqn-bEXaXhgxEXzq0T4zIL9uisYb7ZYncUXYdJLYe3YbRNwJ_NJRhIrOPVKG_LUTR5I6REBfKVaqL2VYZy6lmUq_mDNsfcNS-g5eV3ckp1Rbx1LGzkhDhBp1YsorD_YpM9LjCHgDzE%3D
"['Core-Mark International, Inc', '3.1']",http://www.core-mark.com/,Marketing Director,"Highlands Ranch, CO",$60K - $80K (Employer est.),"Core-Mark is one of the largest marketers of fresh, food, and broad-line supply solutions to the convenience retail industry in North America. Founded in 1888, Core-Mark, part of Performance Food Group’s family of companies, offers a full range of products, marketing programs, and technology solutions in the U.S. and Canada.
At Core-Mark, you will discover a culture that enables you to grow, challenges you to achieve, and embraces you as family. Show us your power and come explore your opportunities with Core-Mark.
THE POWER OF ONE. STRENGTHENED BY ALL.
Position Summary:
A core function of the IT department within Core-Mark is to develop and support our suite of IBMi(AS400) applications, primarily the custom developed Distribution Center Management System (DCMS) and related interfaces. DCMS is at the heart of the company in terms of Supply Chain, Warehouse Management, Customer Billing, Inventory, and interfaces with financial systems (SAP FICO and BW) and other custom and packaged systems.",24d,
"['Emerson', '3.8']",https://www.emerson.com/en-us/careers,Marketing Director,"Highlands Ranch, CO",$60K - $80K (Employer est.),"If you are Scrum Leader AND Senior Cloud Software Engineer looking for an opportunity to grow, Emerson has an exciting opportunity for you! Based in our Austin, Texas location, you will be the servant-leader of 1-2 agile teams within a Scaled Agile Framework (SAFe)-based organization aimed at delivering world-quality process control products built across web, cloud, PC and embedded platforms integrated with locally developed hardware. This opportunity allows you to work in a highly collaborative team environment for this start-up project.

The ideal candidate has experience contributing to an agile transformation and working in a SAFe-based organization and is passionate about working with software development team members to foster an effective Agile/Scrum environment while coordinating with other agile teams and development leaders in order to deliver great products. You should be able to work in a dynamic and fast-passed environment and communicate effectively with a wide range of people, experience levels, and technical backgrounds.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018469c4c5e8a934e0932bfcba3f&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d8896e97&cb=1668221850832&jobListingId=1008146259530&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghks9hh3kuh0801-1ghks9hhnj4hp800-ee619d1a703e7eeb--6NYlbfkN0C0yHrujcxMCbkaG3IbA09ELIIJjJgF-_zVRJpDqTq0TTx-_fOZR8S_mlYLCrbuqdB69DHM6Xb8q0o0QasgV7Nu9kru39aOWcY-2SZcTCZ_ZWzrL4-TjsaVPVKGeDcH_hvb-8RkL7NBxQFs1_6FKSlaxPWt578_elxW3Fmsd20NVvUZNOozoNdfCMHh8iSweu2b1Qo_x99o14gALpgzhvPjWuPlF8dczxrVIRDlOtT-pCeuFYyrnHj-_jDCs9iD_hqHztxBR10gd8YwSkLQW1HlyFA4_KYPRn8ADBQas2QRiOXzRKZ3XL9qWdsB9FDS-aP0_9WkqHHEt3wZCoFlOuMpWRvwF78YDLz83Lxljg7zNs6zhC_MwmyQ5GGSmSk7QjDFzXE1__rm-DfKRL4U_nQDPr2XqmpOATaanENF3bimxt3TuwrZ1DeRjza2MArFwyyFmrGoIbyZDrNNIRrVjqrozYgys8fcMiK5cu31UohgXw5QAKGvcmpsk5jlxUex3EwGTXRafp1w5A3Ovh27xiSBrbZEaXIYkT_dM4GiaDnb68YIGIPIlgZj7oFk1Elm7riXfSvJrdmWpy7-soWz4HlqI8oWkogzYb2La3kSo1eqrEy_30reFooL6-L9G2Dq4No%3D
"['FLEETCOR', '3.5']",http://www.fleetcor.com/,Marketing Director,"Highlands Ranch, CO",$60K - $80K (Employer est.),"Come be a part of the global business payments company that is disrupting the $170 trillion annual spend for supplier and employee expenses.
The game is changing in business payment, and FLEETCOR is leading the way with innovative solutions that streamline the payment process and help companies control spending.
The FLEETCOR team has cracked the code. We've assembled an A-team of business partners, payment networks, and employees. We have the technology and have made it our mission to develop and deliver better ways to pay.
Fleetcor provides opportunities for growth, in addition to work-life balance, and competitive compensation. We value fostering career paths, recognizing, and rewarding hard work! Come join a team that has flexible work schedules, and ongoing opportunities for professional development and advancement.",30d+,
