Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Pfizer', '4.1']",http://www.pfizer.com/,"Sr. Associate, Machine Learning Engineer","New York, NY",$70K - $117K (Employer est.),"Role Summary
The Pfizer Machine Learning and Intelligent Assistance Team deliver and maintain the platforms and capabilities that enable Pfizer Business Units to connect digitally with our external customers, provide intelligent automation solutions and effectively engage/collaborate across teams internally. We build advanced cloud-based technology solutions at a global scale that positively impact Pfizer business performance. Pfizer is accelerating the use of digital technology across our entire enterprise.
The Machine Learning Engineer will partner with key business stakeholders to scope and lead Digital project/product initiatives that support key business initiatives across Pfizer. This role will be involved in understanding business processes and executing proof-of-concept initiatives as well as full production builds.
Role Responsibilities
Work closely with teams across Pfizer to prototype and build systems that make the lives and work of colleagues and patients easier and enhance decision-making

For roles based in New York City: The annual base salary for this position ranges from $69,900.00 to $116,500.00. In addition, this position offers an annual bonus with a target of 7.5% of the base salary. Benefits offered include a retirement savings plan, paid vacation, holiday and personal days, paid caregiver/parental and medical leave, and health benefits to include medical, prescription drug, dental and vision coverage in accordance with the terms and conditions of the applicable plans.
Information & Business Tech",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b7341d2abff6ca685b7d8ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ff5810a4&cb=1668250034275&jobListingId=1008019838644&jrtk=3-0-1ghln6ggdjm7e801-1ghln6ggqgajs800-ccb31cb4f4ddf522-
,,"Sr. Associate, Machine Learning Engineer","New York, NY",$70K - $117K (Employer est.),,4d,
"['Pfizer', '4.1']",http://www.pfizer.com/,"Sr. Associate, Machine Learning Engineer","New York, NY",$70K - $117K (Employer est.),"ROLE SUMMARY
We are seeking an experienced software developer to join our team to deliver solutions that streamline Pfizer’s R&D workflows and enable data driven decision-making. The Software Engineer (SE) is a member of Pfizer Digital’s R&D Solutions organization, which helps bring medicines to patients by implementing impactful scientific software solutions and providing the talent for project planning, execution, and application development excellence.
The primary focus of the role will be the design, implementation, and support of fit-for-purpose solutions primarily targeting Pfizer’s Oncology Research site in Boulder, CO. A good balance of scientific knowledge and solid technical skills will be key to the success of this role.
ROLE RESPONSIBILITIES
Collaborate with Client Partners to understand the needs and requirements of R&D scientists.
Design and implement minimally viable products (MVP) from an initial set of requirements, employing agile methodologies for rapid solution evolution.


Information & Business Tech",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b7341d2abff6ca685b7d8ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_61af6385&cb=1668250038477&jobListingId=1008264273306&jrtk=3-0-1ghln6ggdjm7e801-1ghln6ggqgajs800-cfcc6d16803b6280-
"['Pfizer', '4.1']",http://www.pfizer.com/,"Sr. Associate, Machine Learning Engineer","New York, NY",$70K - $117K (Employer est.),"Why Patients Need You
Whether you are involved in the design and development of manufacturing processes for products or supporting maintenance and reliability, engineering is vital to making sure customers and patients have the medicines they need, when they need them. Working with our innovative engineering team, you'll help bring medicines to the world even faster by imagining what’s possible and taking action
What You Will Achieve
Analyzes / designs sequence of operations and work flow to improve the company's production facilities within regulations and GMP guidelines. Activities may include process monitoring, safety and environmental improvements, troubleshooting, process reliability improvements, validation, and technology transfers. May establish or assist in establishing accident prevention measures and may train personnel concerning all phases of production operations. Conducts studies pertaining to cost control, cost reduction, inventory control, and production record systems. On the basis of these studies, develops and implements plans and programs for facility modifications and revisions to operating methods. May assist project managers or engineers in the planning and design of facilities.
Manufacturing",18d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b7341d2abff6ca685b7d8ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_60239be5&cb=1668250045336&jobListingId=1008231830903&jrtk=3-0-1ghln6ggdjm7e801-1ghln6ggqgajs800-da793935b1dde61c-
"['Pfizer', '4.1']",http://www.pfizer.com/,"Sr. Associate, Machine Learning Engineer","New York, NY",$70K - $117K (Employer est.),"Why Patients Need You
Whether you are involved in the design and development of manufacturing processes for products or supporting maintenance and reliability, engineering is vital to making sure customers and patients have the medicines they need, when they need them. Working with our innovative engineering team, you'll help bring medicines to the world even faster by imagining what’s possible and taking action.
What You Will Achieve
Working with Pfizer’s dynamic engineering team, you will play a critical role in the management of manufacturing information systems to improve manufacturing success rates and ensuring zero down time.
As a Senior Associate, your knowledge and skills will contribute towards the goals and objectives of the team. Your focus and ability to meet team targets will help in completing critical deliverables. Your innovative use of communication tools and techniques will facilitate in explaining difficult issues and establishing consensus between teams.




Engineering
#LI-PFE",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b7341d2abff6ca685b7d8ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f508e21d&cb=1668250048464&jobListingId=1008066752715&jrtk=3-0-1ghln6ggdjm7e801-1ghln6ggqgajs800-8d8b922256895fd1-
"['Pfizer', '4.1']",http://www.pfizer.com/,"Sr. Associate, Machine Learning Engineer","New York, NY",$70K - $117K (Employer est.),"Role Summary
Reporting to the Site Services Lead, you will be responsible for the support of the manufacturing control systems at the Pfizer Franklin facility including platforms such as Microsoft Windows Server, Rockwell Control/HMI/Information Automation Software, Continuum Software, and Cyber Security Programs. You will collaborate with teams at the site to support investigations as the automation subject matter expert. The Automation Engineer will be responsible for identifying, managing, and implementing changes following site change control procedures.
The successful candidate will be service oriented, delivery focused, and can build rapport with key members of the operations and site services teams specifying and implementing automation changes, fixes, and improvement projects. The ideal candidate will have excellent customer management skills combined with a broad range of technical skills in client/server, network architecture, and PLC system control.
Role responsibilities
Engineering
#LI-PFE",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b7341d2abff6ca685b7d8ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c6c71db4&cb=1668250051498&jobListingId=1007768887027&jrtk=3-0-1ghln6ggdjm7e801-1ghln6ggqgajs800-ef783a939a1832ce-
"['Pfizer', '4.1']",http://www.pfizer.com/,"Sr. Associate, Machine Learning Engineer","New York, NY",$70K - $117K (Employer est.),"Why Patients Need You
Whether you are involved in the design and development of manufacturing processes for products or supporting maintenance and reliability, engineering is vital to making sure customers and patients have the medicines they need, when they need them. Working with our innovative engineering team, you'll help bring medicines to the world even faster by imagining what’s possible and taking action.
What You Will Achieve
Working with Pfizer’s dynamic engineering team, you will play a critical role in the management of manufacturing information systems to improve manufacturing success rates and ensuring zero down time.
As a Senior Associate, your knowledge and skills will contribute towards the goals and objectives of the team. Your focus and ability to meet team targets will help in completing critical deliverables. Your innovative use of communication tools and techniques will facilitate in explaining difficult issues and establishing consensus between teams.




Engineering
#LI-PFE",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b7341d2abff6ca685b7d8ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_73e973ba&cb=1668250054595&jobListingId=1008032858149&jrtk=3-0-1ghln6ggdjm7e801-1ghln6ggqgajs800-1e2c8e8391995f20-
"['Pfizer', '4.1']",http://www.pfizer.com/,"Sr. Associate, Machine Learning Engineer","New York, NY",$70K - $117K (Employer est.),"WHY PATIENTS NEED YOU
Whether you are involved in the design and development of manufacturing processes for products or supporting maintenance and reliability, engineering is vital to making sure customers and patients have the medicines they need, when they need them. Working with our innovative engineering team, you'll help bring medicines to the world even faster by imagining what’s possible and taking action.
What You Will Achieve
The Automation Engineer – Utilities & Facilities will have overall responsibility for managing regulatory aspects of the process automation and control systems used in the manufacture of sterile injectable. This position will provide engineering and technical support related to the operation, maintenance, installation, startup/commissioning, testing, and qualification of clean utilities, black utilities, HVAC, and other systems within a sterile injectable manufacturing facility.
How You Will Achieve It

Engineering
#LI-PFE",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b7341d2abff6ca685b7d8ad&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_349f6615&cb=1668250056712&jobListingId=1008146273473&jrtk=3-0-1ghln6ggdjm7e801-1ghln6ggqgajs800-612d8c5ddb88c26b-
"['Pfizer', '4.1']",http://www.pfizer.com/,"Director, Agile Coach","Tampa, FL",$118K - $166K (Glassdoor est.),"At Pfizer we make medicines and vaccines that change patients' lives with a global reach of over 845 million patients. Pfizer Digital is the organization charged with winning the digital race in the pharmaceutical industry. We apply our expertise in business process, technology, innovation and our businesses to support Pfizer in this mission.
The Agile Center of Excellence function works across all business units and functions globally and is the COE for Agile ways of working in the enterprise. We aid Pfizer to work in new, modern and change-agile ways while achieving our Purpose, Breakthroughs that Change Patients’ Lives. We enable sustained effectiveness at a team and team-of-teams level through the application of scrum, Kanban, Lean and other Agile mindsets and methodologies. As the enterprise COE for Agile, we enable teams to accomplish their work in a faster, more innovative and customer-centric way.
The team and our members are focused on the values and behaviors that make Pfizer the amazing workplace that it is. All candidates considered must live these values every day:



Continuous Imprv and Proj Mgmt
#LI-PFE",20d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b73e30f9d976737dfb8c84d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_9423713f&cb=1668250075067&jobListingId=1008227223092&jrtk=3-0-1ghln7opum6r8801-1ghln7oqig4f7800-c75649f25da6d33e-
"['Pfizer', '4.1']",http://www.pfizer.com/,"Director, Agile Coach","Tampa, FL",$118K - $166K (Glassdoor est.),"For more than 170 years, Pfizer has continuously worked to make a difference by delivering innovative therapies that improve the lives of our patients. By building a talented community of colleagues that align with our patient-focused purpose and core values, Pfizer has improved global health and impacted more than 780 million patients around the world.

In 2021, Pfizer expanded its global footprint to Tampa, establishing a strategic powerhouse that brings together multi-disciplinary, professional services including Finance, Accounting, Treasury, Digital, HR Services, Sourcing, Commercial and Project Management into a single, centralized location. With so many diverse and highly-skilled colleagues supporting multiple functions and services across the organization, Pfizer Tampa offers ample opportunity to engage in newer ways of working that enhance, simplify, and transform how we deliver treatments to our patients.
Located in Heights Union, the Pfizer Tampa site offers a modern industrial design, the latest in innovative technology, and close proximity to Downtown with views of the Tampa Riverwalk and access to the Channel district and Bayshore Boulevard. From an onsite fitness center to top floor panoramic balconies and outdoor patio, our activity-based space will provide various ways of working to offer collaboration and flexibility to colleagues. The Pfizer Tampa site has constructed an atmosphere that fosters interaction and prioritizes colleague health and wellness.



For roles based in New York City: The annual base salary for this position ranges from $109,500.00 to $182,400.00. In addition, this position offers an annual bonus with a target of 17.5% of the base salary and eligibility to participate in our share based long term incentive program. Benefits offered include a retirement savings plan, paid vacation, holiday and personal days, paid caregiver/parental and medical leave, and health benefits to include medical, prescription drug, dental and vision coverage in accordance with the terms and conditions of the applicable plans.
Information & Business Tech
#LI-PFE",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b73e30f9d976737dfb8c84d&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5743036c&cb=1668250079118&jobListingId=1008188078874&jrtk=3-0-1ghln7opum6r8801-1ghln7oqig4f7800-5d64991dea87c9ea-
