Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Pioneer Natural Resources Company', '3.8']",http://www.pxd.com/,Software Developer,"Irving, TX",$67K - $97K (Glassdoor est.),"Job Description
At Pioneer, our values are our lifeblood and the gold standard of our award-winning culture, and we remain steadfast in this belief: We are in a people business first, oil business second. We want you to thrive here, and we're proud to offer the resources and the environment to encourage you not only to grow in your career but soar in it.
Because we need people like you to make our company successful, we don’t simply offer a competitive compensation and benefits package – we truly set our company apart from other employers by carefully selecting an outstanding array of medical, financial and personal offerings. Joining the Pioneer team has its perks!

Highlights of our outstanding compensation and benefits package include:
Medical, dental, vision and prescription drug plans with premiums covered at 100% by Pioneer for employees and eligible dependents",1d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a9334569064723a117122b6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_986cb019&cb=1668235347462&jobListingId=1008272024969&jrtk=3-0-1ghl96d4djij6801-1ghl96d4virkn800-f7d6653c52bc9092-
"['DENVER BOTANIC GARDENS INC', '4.3']",http://www.botanicgardens.org/,Application Analyst,"Denver, CO",$48K - $62K (Employer est.),"Description:
*
About Denver Botanic Gardens*: Green inside and out, Denver Botanic Gardens was founded in 1951 and is considered one of the top botanical gardens in the United States and a pioneer in water conservation. Accredited by the American Alliance of Museums, The Gardens has a robust living plant collection, natural history collection and art collection along with temporary art exhibitions. The Gardens is a dynamic, 24-acre urban oasis in the heart of the city, offering unforgettable opportunities to flourish with unique garden experiences for the whole family – as well as world-class exhibitions, education, and plant conservation research programs.
For more information, visit us online at www.botanicgardens.org.
Denver Botanic Gardens is currently seeking a Full Time Application Analyst in our IT Department! Read below to see if the requirements might be a good fit for you:
The Application Analyst champions effective software utilization throughout the enterprise, supporting visitor-facing and back-office applications. The primary purpose of this role is enabling DBG employees and visitors to successfully utilize various software applications in fulfilling organizational objectives. The Application Analyst contributes to the organizational mission by maximizing usage of enterprise applications and information that ultimately lead to a transformative experience for our Garden visitors.
Requirements:",16d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a93720a82f4d8324b0b90f7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c5bc46f7&cb=1668235366583&jobListingId=1008236515681&jrtk=3-0-1ghl96si6jrrj801-1ghl96sipj4hp800-5dafb89686dd3db9-
"['WSP', '3.7']",http://www.wsp.com/,Application Analyst,"Denver, CO",$48K - $62K (Employer est.),"GIS Analyst (FEMA Risk MAP)

Who We Are
At WSP, we are driven by inspiring future-ready pioneers to innovate. We’re looking to grow our teams with people who are ready to collaborate in building communities and expanding our skylines. To do this, we hire candidates of all experiences, skillsets, backgrounds and walks of life. We actively foster a work environment and culture where inclusion and diversity is part of our fundamental structure. This is delivered behaviorally, through our policies, trainings, local partnerships with professional diverse organizations, internal networks and most importantly with the support and sponsorship of our leaders who help drive our commitment to an inclusive, diverse, welcoming and equitable work environment. Anything is within our reach and yours as a WSP employee. Come join us and help shape the future!",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a93720a82f4d8324b0b90f7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1f695d9f&cb=1668235369496&jobListingId=1008186525711&jrtk=3-0-1ghl96si6jrrj801-1ghl96sipj4hp800-0f52e9f8faa191d0-
"['Shell', '4.1']",http://www.shell.us/,Application Analyst,"Denver, CO",$48K - $62K (Employer est.),"The Role
Where you Fit In:
Our Projects and Technology (P&T) business exist to make the delivery of Shell’s strategy and the growth of our company possible. P&T works collaboratively and in an integrated way with its business partners, to deliver value for our customers, and for Shell.
We develop the advanced products and technologies Shell needs to meet customer demand. Our solutions help our partners grow the LNG, Gas and Power businesses, deepen the integration of Manufacturing, Chemicals and Trading, and maximise the competitiveness of our Upstream business.",30d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a93720a82f4d8324b0b90f7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2d05bb03&cb=1668235373324&jobListingId=1008201310535&jrtk=3-0-1ghl96si6jrrj801-1ghl96sipj4hp800-479bbaa8446d9fc0-
"['California State University', '4.2']",http://www.calstate.edu/,Application Analyst,"Denver, CO",$48K - $62K (Employer est.),"Campus:
East Bay

Job ID: 519438

Job Title:
Associate Director of Residence Life - Administrator II

Time Base:
Full-Time

Date Posted:
October 6, 2022
Closing Date:
Open until filled",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a93720a82f4d8324b0b90f7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e99a7819&cb=1668235377208&jobListingId=1008190515226&jrtk=3-0-1ghl96si6jrrj801-1ghl96sipj4hp800-b60b764a82d4a0c4-
"['Pioneer Natural Resources Company', '3.8']",http://www.pxd.com/,Water Management Operations Engineer (Range),"Irving, TX",$50K - $71K (Glassdoor est.),"Job Description
At Pioneer, our values are our lifeblood and the gold standard of our award-winning culture, and we remain steadfast in this belief: We are in a people business first, oil business second. We want you to thrive here, and we're proud to offer the resources and the environment to encourage you not only to grow in your career but soar in it.
Because we need people like you to make our company successful, we don’t simply offer a competitive compensation and benefits package – we truly set our company apart from other employers by carefully selecting an outstanding array of medical, financial and personal offerings. Joining the Pioneer team has its perks!

Highlights of our outstanding compensation and benefits package include:
Medical, dental, vision and prescription drug plans with premiums covered at 100% by Pioneer for employees and eligible dependents",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846a93c285b193787254e9a3e1&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f2d135d0&cb=1668235387363&jobListingId=1007993695393&jrtk=3-0-1ghl97gm2mbgo801-1ghl97gmiihlq800-2807256bd4a5b80f-
"['Inari Agriculture', '3.6']",http://www.inari.com/,"Manager, Machine Learning","Cambridge, MA",$73K - $116K (Glassdoor est.),"About Inari...
Inari is the SEEDesign™ company. We embrace the diversity and complexity of nature in every aspect of our business to drive innovation – to push the boundaries of what is possible. Through our unrivaled technology platform, Inari uses predictive design and advanced multiplex gene editing to develop step-change products. We are taking a nature positive approach to unlock the full potential of seed that will transform the food system. The results will lead to more productive acres delivering value creation for farmers and a more sustainable future for our planet.
Our success is dependent on great minds, collaborating to generate bright ideas and deliver exceptional outcomes.
We have over 230 employees, with research sites in Cambridge, MA (USA) and Ghent (Belgium), as well as a product development site in West Lafayette, IN (USA). We've deliberately built a team that brings diversity of thought to all aspects of our business, to generate new ideas, approaches, and ways of operating. And we've intentionally combined experience with potential, bringing agriculture industry experts with the desire to innovate together with bright minds from academia, human therapeutics, software, and consulting. If you want to be part of a diverse and inclusive team developing unique solutions to feed the world while protecting our planet's natural resources, we'd love to hear from you!",23d,
"['Risk Management Solutions (RMS)', '3.9']",http://www.rms.com/,"Manager, Machine Learning","Cambridge, MA",$73K - $116K (Glassdoor est.),"Principal Software Development Engineer (Job #)
About RMS Bellevue
RMS is building a cutting-edge risk management platform for the global risk market, enabling RMS’ clients to share, discover, and consume Petabytes of risk modeling and insurance data to produce big insights. This platform is known as Risk Intelligence.
The RMS Risk Intelligence SaaS platform enables software engineering teams at RMS to produce world-class risk models, and empowers our customers to consume and integrate the resulting analytical data in their business processes.
About the RMS AI/ML Team",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a93e8d680814192dd920efd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7dc2c3fa&cb=1668235397550&jobListingId=1006962863552&jrtk=3-0-1ghl97q81ih6o801-1ghl97q8mi171800-cb2340ecd7bea28b-
,,"Manager, Machine Learning","Cambridge, MA",$73K - $116K (Glassdoor est.),"Are you an experienced, passionate pioneer in technology, with versatile leadership qualities and enthusiasm to tackle new and difficult problems? If so, then Raytheon BBN is the place for you.
Who we are
For more than 70 years, scientists and engineers in diverse disciplines at Raytheon BBN have collaborated to solve real-world problems through research, exploration, development and prototyping. We partner with the best technical talent in academia and industry to challenge the status quo, pioneer new technologies, and create transformative solutions.

The Opportunity
We are seeking an AI researcher with leadership and entrepreneurial experience, who prides themselves on their ingenuity, creativity, and resourcefulness to build a “next wave” innovative artificial intelligence (AI) research focus within our Analytics and Machine Intelligence group at BBN. The ideal candidate will have machine learning expertise as well as broad interdisciplinary knowledge. This will lead to leveraging existing technologies in our portfolio such as human language technologies and image processing capabilities into new domains and applications. The selected candidate will develop, propose, and carry out new research as a Principal Investigator on programs for the Defense Sector and the Intelligence Community.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a93e8d680814192dd920efd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_626aca8e&cb=1668235399482&jobListingId=1008077068761&jrtk=3-0-1ghl97q81ih6o801-1ghl97q8mi171800-7dab2b5289222617-
"['Boston Consulting Group', '4.4']",http://www.bcg.com/,"Manager, Machine Learning","Cambridge, MA",$73K - $116K (Glassdoor est.),"Who We Are

Boston Consulting Group partners with leaders in business and society to tackle their most important challenges and capture their greatest opportunities. BCG was the pioneer in business strategy when it was founded in 1963. Today, we help clients with total transformation-inspiring complex change, enabling organizations to grow, building competitive advantage, and driving bottom-line impact.

To succeed, organizations must blend digital and human capabilities. Our diverse, global teams bring deep industry and functional expertise and a range of perspectives to spark change. BCG delivers solutions through leading-edge management consulting along with technology and design, corporate and digital ventures—and business purpose. We work in a uniquely collaborative model across the firm and throughout all levels of the client organization, generating results that allow our clients to thrive.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a93e8d680814192dd920efd&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4acbc76f&cb=1668235401684&jobListingId=1008020186616&jrtk=3-0-1ghl97q81ih6o801-1ghl97q8mi171800-14d8049624fe5011-
