Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
['Standard Technology'],,Test Proctor,"Warner Robins, GA",$12.00 Per Hour(Employer est.),"The Test Proctor supports the Training and Testing Center and performs a variety of day-to-day office functions, assist with office administration, and assist with other duties as required in support of the operations of Standard Technology, Inc. This person establishes work procedures and standards to improve efficiency and effectiveness of assigned operations. The position is responsible for ensuring compliance with established corporate standards. The Test Proctor must apply a high level of mature and proven interpersonal skills, including using tact, diplomacy, discretion, sense of urgency and judgment when working with customers and sensitive information. Strong verbal, writing, and communication skills, including the ability to interact well in group meeting and working environments are required. The Test Proctor requires strong attention to detail with demonstrated eagerness to learn and develop, gain new skills, and a desire to meet challenges. This position requires the ability to efficiently support multiple projects simultaneously. Proficiency in Microsoft Office is a must. This person relies on instructions and pre-established guidelines to perform the functions of the job.",28d,
"['AJ Tutoring', '4.2']",http://www.ajtutoring.com/,Test Proctor,"Warner Robins, GA",$12.00 Per Hour(Employer est.),"Are you reliable and organized? Become part of the fastest growing 1-on-1 tutoring company in the Bay Area!
We are looking for a proctor for the practice tests that we offer our students on Saturdays from 8AM-1PM or 3PM depending on the test and some locations will have afternoon tests as well We offer tests at all 5 locations on most Saturdays, and some Sundays, and we expect that our proctors can work consistently each week.
Our practice test locations include:
1122 Crane St. Menlo Park, CA 94025
430 Cambridge Ave. Palo Alto, CA 94306
20665 4th Street Saratoga, CA 95070",30d+,
"['Kryterion Inc', '3.6']",http://www.kryteriononline.com/,Test Proctor,"Warner Robins, GA",$12.00 Per Hour(Employer est.),"New training class starts 11/28/2022
This is an onsite position with the opportunity to work from home after successfully completing 90 days of employment.
KRYTERION is an online-secured test delivery company offering a high level of test security, aberrance detection, and fraud deterrence. KRYTERION Inc., located in Phoenix Arizona is looking for staff to provide online technical support for remote test takers.
POSITION SUMMARY:
Tier I Proctors visually and audibly monitor Test Takers through a live video feed, via a webcam that is installed on the Test Taker’s computer. The proctor will utilize professional customer service to communicate effectively through both written and verbal instruction. Reliability is essential; proctors must be on time and dependable. The successful candidate must be able to quickly gain the knowledge of creating an environment for optimal test performance for all test takers and uphold the confidentiality and integrity of all exams.",4d,
"['Soni Resources Group', '5.0']",http://www.soniresources.com/,Test Proctor,"Warner Robins, GA",$12.00 Per Hour(Employer est.),"Soni Resources is partnering with a New York University in seeking Exam Proctors for the final exam season!
Job Responsibilities:
Check in students, verify identification, and explain the exam process.
Proctor and monitor exams in progress.
Troubleshoot with internal departments to address student concerns.
Proctor a variety of tests simultaneously.
Maintain confidentiality and security of all testing materials, test logs, and other test documents.
Must be vigilant – able to pay close attention to cheating or prevention of cheating; able to administer faculty rules.",2d,
"['Anchor Staffing, Inc.', '3.2']",http://www.anchorstaffing.com/,Test Proctor,"Warner Robins, GA",$12.00 Per Hour(Employer est.),"IT’S SUMMERTIME AND THE EARNING IS EASY! Before it is over
Join Anchor Staffing Inc again this year for the Proctor Project at McCormick Place—23rd and King Drive, Chicago, IL
SAVE THESE DATES!!!!! November 9 and 10th
Mandatory training—Wednesday 11/9 2pm - 5:00pm
Exam— Thursday, 11/10 from 6:15am - 3:00pm
To save your spot NOW, email your resume TODAY...
Job Types: Part-time, Temporary",30d+,
"['Mack & Associates', '3.8']",http://www.mackltd.com/,Test Proctor,"Warner Robins, GA",$12.00 Per Hour(Employer est.),"We are seeking event staff to assist with proctoring an exam for various dates this coming December. The Proctors will report onsite on their assigned days and run tests on equipment, administer tests to candidates, and answer any questions test takers may have. This is a great opportunity for someone looking for a short-term opportunity with an important organization. There is a mandatory training period on November 30th, and the testing takes place on December 5th, 6th, 12th, and 14th. Proctors must work at least 1 testing day and be present for the mandatory paid training period. The Proctors will be compensated $18/hr.
Responsibilities of the Proctors:
· Assist with testing check-in and identification verification
· Test computers and exam system, ensuring proper setup and function",4d,
"['Banner Personnel', '3.6']",http://www.bannerpersonnel.com/,Test Proctor,"Warner Robins, GA",$12.00 Per Hour(Employer est.),"Responsibilities:
Set up test rooms
Record attendance
Pass out exam materials
Ensure that all exams are turned in on time
Test proctors are essential to maintaining the integrity of the exam process
Qualifications:
Must be comfortable giving instruction and monitoring a large group of test takers
Punctuality",15d,
"['Proctors, Inc.']",http://www.proctorsinc.com/,Test Proctor,"Warner Robins, GA",$12.00 Per Hour(Employer est.),"Test Proctor needed for half day exam ( 4 1/2 Hours or less) on Friday, November 18th @ 7:00 AM - 120.00 paid on site.
Proctors, Inc. is in need of a Test Proctor for a paper pencil test session on Friday, November 18th in the Lemoore area. A brief orientation is provided before test day. On-site support is available during the exam. You will read the printed instructions and time the exam. Compensation is provided day of the exam, before you leave the site. The sign-in time for the exam is 7:00 AM. The Test Proctor duties include:
Greet candidates and verify identification
Efficiently monitor and dismiss candidates as they complete exams
Immediately Report candidate issues directly to Proctors, Inc.",24h,
,,Test Proctor,"Warner Robins, GA",$12.00 Per Hour(Employer est.),,18d,
"['State Bar of California', '3.4']",http://www.calbar.ca.gov/,Test Proctor,"Warner Robins, GA",$12.00 Per Hour(Employer est.),"Exam Proctor


The State Bar of California seeks proctors to help administer the California Bar Exam (February and July) and the First-Year Law Students' Exam (June and October). Proctors play a key role in the success of the exam by helping to ensure that exam administration follows established policies and procedures.
Starting pay: $25.00 per hour
Temporary assignment: at least 2 days of work (4 times per year)
Ten test sites across California

Condition of employment:",8d,
