Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Progressive', '3.9']",http://www.progressive.com/,Data DevOps Engineer Lead,"Mayfield, OH",$105K - $129K (Employer est.),"Data DevOps Engineer Lead
Job Number: 201173

Join Forbes’ 2022 Best Employer for Diversity!
As a DevOps engineer lead on the Data Solutions team, you'll design and develop enterprise continuous integration, continuous delivery, and cloud solutions for all service types, such as Infrastructure as a Service (Iaas), Platform as a Service (PaaS), and Software as a Service (Saas), that support Progressive’s capabilities. In this role, you'll also be responsible for the automation and integration of various technology platforms; this includes developing, building, administering, and deploying self-service tools and frameworks that enable customers to build and deploy cloud ready and cloud native applications and infrastructure. In addition, you'll serve as an escalation point for public cloud internal customers.",16d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846d16973fb28b3cd2df71e4df&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f4c3fefc&cb=1668277516387&jobListingId=1008236159664&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmhd5re2p8v001-1ghmhd5s4i15p800-f8fb9fed3ded05c9--6NYlbfkN0DL_Oi7Zazb0cXECPKtFH6-sT0XCOargTHyqbhc9QuGNesLcBQRyuYuZzGCIxmNDqQAvBVoB4W-PBNVQhuAJfTRuJHZHksKbWwgKTXDEVe9NiBkSBiBC1tx436U6SV8rT3fHtk10MY3kv9Co4JdJ-7DVtLuoS9eevWCjniJYeFpEVSkmDUMLTTZfHqoEdjI7SKMfX62M-zT0caSEeskyZHKmkaPiqyT8YkvEnRHkcZFsq8aYwjs2rayYm0PfiH2nanmbGlHAVrp0WiFPPF9GyvP9uiK381uDrNqQZji5C14HOUC5zm7tdqDFX7oPeQ4zoiVMsOSzQOI5GefRAphexiVtoQ1M8tEE1DtH9cPMr2rJ8uWLA02FjXBcQHqBzeP185XlqxNMfx1WjhDKUHQOoNNCBIwK1jOrLM1pPmG45_cWYSq6q_A9ctuL8udczYDbqZcjqswYP477HhYbCLJJpaeEV56oAA12IPg1ucJTZ6SwQPRYYrfp5GN8BlnFgWPCjMJvjOrIoNFabqZ45kb2M1dqtKrkw2h6MPbDcHCJDoaMdkryI80nuqJxdj0r3xz672N22EgjkhrBwFlLPlEy9ok
,,Data DevOps Engineer Lead,"Mayfield, OH",$105K - $129K (Employer est.),,30d+,
,,Data DevOps Engineer Lead,"Mayfield, OH",$105K - $129K (Employer est.),,10d,
"['Progressive', '3.9']",http://www.progressive.com/,Data DevOps Engineer Lead,"Mayfield, OH",$105K - $129K (Employer est.),"Android Developer Lead Level20
Job Number: 200573

As an Android Developer Lead at Level20, you’ll apply both your technical and entrepreneurial skills as part of a cross-functional team building Android native applications to support consumer-facing products. With a solid understanding of mobile application patterns like navigation, delegation, dependency injection, object mapping, and RESTful services, you’ll also develop testing activities and documentation for ongoing development and maintenance. At Level20 (https://www.Level20.com), Progressive’s growth incubator, we fuel growth for the company through the exploration and development of new-to-market products with the full support of Progressive.
This is a hybrid role in downtown Cleveland, OH with free parking. Work from home days are possible for this position (Monday/Friday).",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846d16973fb28b3cd2df71e4df&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ed52194b&cb=1668277524182&jobListingId=1008192030565&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmhd5re2p8v001-1ghmhd5s4i15p800-dbf4a39de2bc0d72--6NYlbfkN0DL_Oi7Zazb0cXECPKtFH6-sT0XCOargTHyqbhc9QuGNesLcBQRyuYuZzGCIxmNDqSzBZQTTp8kkPIHkyyLZS2w6oyRzw-uBD38VnCCfmJZ4TXCsa1CQ4BP8Gm_RvlfcSTxgy49x-b23Q1LgXmacvIaSKR5yq-aCCcYNRvsK-lC8y7Lfb3FODPSjjTUp-FLvpnQb4mfBMQWV16gNvMqDOaRWn6ZLSXKSawLydTHGEaecl1F0huNT0hiniyWuaOGH0pF_UEba2sthgGLnMX4MD_dOw3fRGDzy5HOij6mKXpBdAHyK2yU7F2d9NKw9oNOmbSE7yFF7na5F29imAjX_Daoty4AudXfLJnZ1hleTYNSx_QuW8aSP8XmVDYUuumkWn4SZAslWz-LRegpVAs-UwFV1AtTQzkuNOb2HFabpQyjtxHqzg9tdP7uJQUOgMmYHkpIWBgTXjscSHH-pymXQa3VnZw25p43Ni6LkEDomBbyGtYDREg5SO57wdQ-R6ccSx8u7Z0XbCXmFpRNvZtJFhnxfLWUrEepHlGjFTutmepEcnQjXCP2xUHL611O-qztDDjsbkyLBEL9f5ADFcQ3ZOLr
"['Progressive', '3.9']",http://www.progressive.com/,Data DevOps Engineer Lead,"Mayfield, OH",$105K - $129K (Employer est.),"Full Stack Developer Senior/Lead Level20
Job Number: 200970

Join Forbes' 2022 Best Employer for Diversity!
As a full stack developer senior or lead at Level20, you’ll apply both your technical and entrepreneurial skills as part of a cross-functional team, building consumer facing SaaS based products. At Level20 (https://www.Level20.com), Progressive’s growth incubator, we fuel growth for the company through the exploration and development of new-to-market products. Our cross-functional team has the backing of Progressive, which gives us access to a larger resource pool than a traditional start up.
This is a hybrid role in downtown Cleveland, OH with free parking. Work from home days are possible for this position (Monday/Friday).",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846d16973fb28b3cd2df71e4df&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_56d20d14&cb=1668277527037&jobListingId=1008197146901&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmhd5re2p8v001-1ghmhd5s4i15p800-7f9ff8f0f1648a8f--6NYlbfkN0DL_Oi7Zazb0cXECPKtFH6-sT0XCOargTHyqbhc9QuGNesLcBQRyuYuZzGCIxmNDqRJrzx4Ip4tXHql00v5ORHN2UrXSD6RAotunUsfJp8F3n9rdfZabCv2nLB56lgZOcx8yKYWQBM60HhdK089OCXGFNTPOrKroo-IK_6ulMvNDMhRmiz00hLjg-VY_kZAk-lYFQWa4Zp-kN7aoAX2d0Cj_3930vt4rEIpnGE4n2bLrqW_FUA0R6XmqYaVf2vwi1SQ3L4NGcLFm5HPu1MJwoRz-yzz5Y6mR3rsoSt1KgUu-elZrlfikOO95NxF_0vnye_mcmLJEmONmFkOpRf8lc0avzfZhn0ZkoUusuCgUh2J62c8nhrDkXR8vXHIOkDsQOurgK6pMpGHlPOromJ8KQVSJICf7CEmHcVMx3K2yNnyvZOsnlc0xCkT8ydfpmtLEZCdkQZ5TGQuAwsU4EiQxJFDnuUOGD8VpChKroRiv_Jp_V__xEJE_bUaqdfVeWK7p_UUOCInoaSsUCytzPxVJlFvo5T3q_jDs4N8nbFn6SfnolwCfj-5iIh9r7yj0aotRFv_xQaTssm7WgwTF23Cziqp
"['Progressive', '3.9']",http://www.progressive.com/,Data DevOps Engineer Lead,"Mayfield, OH",$105K - $129K (Employer est.),"Azure DevOps Engineer Senior/Lead
Job Number: 200796

As a DevOps engineer senior or lead on the Cloud Platform within our Enterprise Hosting Solutions organization, you'll be an integral part in our developing area of MS Azure capabilities and solutions for Cloud Computing. Progressive’s Cloud technologies are focused on creating infrastructure solutions that empower the business to execute initiatives at improved speed and quality over conventional approaches. In this role, you'll utilize your Agile team mindset along with your experience/skills with Azure, coding, IaC, and scripting to advance, support, and automate MS Azure capabilities ultimately evolving into a more self-service oriented environment for the IT organization.
This is a remote position for US based work only.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846d16973fb28b3cd2df71e4df&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_64e11ac1&cb=1668277529959&jobListingId=1008189194554&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmhd5re2p8v001-1ghmhd5s4i15p800-f73b2fd325263399--6NYlbfkN0DL_Oi7Zazb0cXECPKtFH6-sT0XCOargTHyqbhc9QuGNesLcBQRyuYuZzGCIxmNDqSm8-TDhhsPKC6A0EGG21tNr0l8KCXezy08Voe0r7rHC-CrsxGNlO6ZOAIF0hen5G4gVhgnU_bDrkQ9gzClMRWbNu5E1mmjY8wXtIJ-cpaRMAgp91N7GmmAVfVRjcBYGD717fGHu9CRU58p7qkM3F2ZyjkOrl7GMyLERW1AFsA90cU-27e2s1OiY9qKQSTMfESkrzVfA4GgRfBsoVMRV8jWkuSbC9CkxhQSullwewBABauQOGZPbWjtuBRIiEMqcVcIwyzCzaNXOEOqUcK1YscZuk0irXeDQkvEt8eenHCGtR1NWtbi6XCkTomRD47lzCPZJgv9kqn3n-QedoWodLH83D6q2oxY7uW3c34VEIFPKJuFL5-NV1w383RHDU-jcDLMD8g7WUnmpj2IcfAI8NoPXm5RgbQXuyfkes1AEwVCjhDXiMNNNgzkYAwJ9iiW4lS8Wkzfwb8iNFzR65l7ItriGL9t5NPXCa-m5ubml9vnznyAsjYu_o0SngncT9aZv9_iOGEits1m_Ts6r2xAFme0
"['Progressive', '3.9']",http://www.progressive.com/,Data DevOps Engineer Lead,"Mayfield, OH",$105K - $129K (Employer est.),"Puppet DevOps Engineer Senior/Lead
Job Number: 199849

As an IT DevOps engineer senior or lead on the Continuous Configuration Automation (CCA) Product team within our Enterprise Technology Enablement Organization - Automation Engineering Group, you'll help us to fulfill our mission of modernizing Progressive’s infrastructure configuration methodologies to improve the daily lives of our IT engineers performing configuration work. In this role, you'll assist in fulfilling the team’s main mission to empower these engineers with the tools and knowledge to define and automate configurations through Infrastructure as Code (IaC). Additionally, you'll provide value to Progressive’s business units by enabling faster infrastructure delivery with higher quality and greater consistency.
This is a remote position for US based work only.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846d16973fb28b3cd2df71e4df&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a5708900&cb=1668277532236&jobListingId=1008189194420&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmhd5re2p8v001-1ghmhd5s4i15p800-28f72597f494fb1d--6NYlbfkN0DL_Oi7Zazb0cXECPKtFH6-sT0XCOargTHyqbhc9QuGNesLcBQRyuYuZzGCIxmNDqT3H-_AHZRg048ZDcFofEwEgAVXxCIy5Ak11CBb9gitsPfOesbEy8zX-Le9PgJpRp4pDjcQZdeuCgPMNKsO4hyJNl94gdkOe6v3D48y_zRpQfdBK3PsukZsIaLCkLE2eJtMxIxkR2onYcpURsDZgVn9_MVqCrk83pu26dA3Tti9f2AUqjD744G6dflzPN5CqoqzI8P6TWxhxYiQVAfW7UuRpAAxGSrEIaGx_-_hkoZJnkRt_vYW3CvLYFK-eEIkY6wMJb81vYR8Q7Y30TD0uU05ex7-ZW5SDWmWKfANVbzPydU6ytK-f9Kj1xAD1ZXs4_Mk9ak0sOGFXaHwy-4K5lMj-z7znb3RM8kUC40RQBdaB2B0W955yyr5PXjdd0qB9Vri66S96d0XTmrtxmcwNLuwHuCdsMGsRK-IL2rMhtVq_4nunHD0rBaO2IlZ4iUKd0J1DgQKrNXkwpn9nKdxqY8KAmZE-oNzGWArhOO17YqIDaLAL3opjk3uGPLRXOee4qbLgZY7p12K6XBE1XwOx6dm
"['Progressive', '3.9']",http://www.progressive.com/,Data DevOps Engineer Lead,"Mayfield, OH",$105K - $129K (Employer est.),"Splunk DevOps Engineer Senior/Lead
Job Number: 201041

As a DevOps engineer senior or lead on the Enterprise Monitoring team, you’ll help us to deliver best in class monitoring capabilities and services to improve the maturity of our performance, availability and capacity planning processes for both the application and infrastructure areas. As an Agile delivery team member, you’ll provide our customers with the near real time observability needed to rapidly respond to events, while advancing Progressive’s monitoring capabilities. You’ll also assist in evaluating, designing and implementing software products to support our customer requirements, as well as perform research and development efforts pertaining to new features and capabilities.
This is a remote position for US based work only.",30d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846d16973fb28b3cd2df71e4df&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1c7a27e0&cb=1668277535857&jobListingId=1008202567898&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmhd5re2p8v001-1ghmhd5s4i15p800-6f057d0742be2bba--6NYlbfkN0DL_Oi7Zazb0cXECPKtFH6-sT0XCOargTHyqbhc9QuGNesLcBQRyuYuZzGCIxmNDqRCNZtAIedgygx1usidtoW-4u7Zf7Q0SwUVXXoKx_wI_1Uqv6mIL2pag2IHEhmdJq-W-1lcmu1dBm4YKgmoabHv-rK5ZMpa2eZeIlC5-vpUfsOwnT2NzgeQBHijIlH9LxhunU_1jueU4sm23KcPSNjpd5sYP3pPRrEDJu1qEW1AZq3__ZPrCPe_XsgeU1jHW8nufnOkgQ2bOl9wF-iWBD2uCuolSVgtBIFUsZH8SoIxuBNPvUF0ZwWCt2NCrdgZIbibKnQ4Aa5z4u3j8NjIkEKtLrdu3SaScKSAD3f-YEYmPrz48t77pDz98ddV-4H-oJssIOUF6pQvohW4wZT2qHIaTIuHS6UwbIeLRVEHFSqZ51Db03B9P0zuOjbQnhpY_Hnd4mqG_VuGiYNDxCGtuzEBcdT5IDcL1_nzy15ewxhezQWWvCyMyRLfm7RA94H3vOWhf4aRFzyfFLCNgGLGmIbKdoFBBAASYLhjIX7XmPmyB9td1JspiDUjAv1wa4wcY7cunENgTUUjrXFtrWOZXwjpgZTgSHYj07Y%3D
"['Progressive', '3.9']",http://www.progressive.com/,Data DevOps Engineer Lead,"Mayfield, OH",$105K - $129K (Employer est.),"Lead .NET Developer
Job Number: 201560

As a Lead .NET Developer in our End-User Experience department, you’ll work with our Microsoft 365 team developing and supporting AI driven customer interfaces designed to maximize self-help solutions. Our team works in an Agile/Scrum environment where they complete their work in two-week sprints. In this role, you’ll focus on project work but you’ll also complete some piloting and user testing. In addition, you’ll serve as the escalation point to operations support, handling more complex issues as they arise. Additionally, you'll use your strong collaboration & communication skills in this role to provide project updates and present new ideas to different stakeholders and business areas. This is a remote position.
Must-have qualifications
Bachelor's degree or higher in an Information Technology discipline or related field of study and minimum of six years of work experience designing, programming, and supporting software programs or applications",3d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846d16973fb28b3cd2df71e4df&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c7c2805f&cb=1668277537769&jobListingId=1008268295082&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmhd5re2p8v001-1ghmhd5s4i15p800-67316ad50eba6ef3--6NYlbfkN0DL_Oi7Zazb0cXECPKtFH6-sT0XCOargTHyqbhc9QuGNX6TSiu3LSdVI8J0AfoKzbypOlTrqX4n_rhzFnO-UIH59FvTJu2latUy9GuOeYOfZ0a-w8xfaTgVcjHmlw8KLnBIHFckevK3fJj0BanF7Qacl7slFe8UoY7Nh3kKnW9y5o9h9LtSSwtU4Tci48VslVFCaF-OhJu7iVVlAb3_-ywl7gWsIaQ_llGyIPl4kF_g-EE4iXrLklNPaFYGCYc2WSP9tHOF_bIQFw60qgncGwlmtAbHH2uVQIiU-uEJ6Z-SobXvyR3NBqciNMPpnNteAGrpgNbOYDD1qmkMjI6GKTGwMq70MiCS44nKDmfCGsghgfg-9Lpoy4ayl98jiRniYjs3ixBzrzdRmozpMaJaydqdGQXxp0XV8cUdph_aa7b3rFqCrVZok8kOejF9VI047gDNtrk1XnRNn4qQ_zwb-C8gLzuOu0EzjtcauhtFfoNQ9mYnBHDHUvjQyFFDC6N2kOGTMqYxn8u53vuI1puicXHVQS1MFhxx0BcGhiYNiGK7rv3mFq9AynIhV_y6kuHItFtyiQRvNkH2Iz_yJoInNS_l
"['Progressive', '3.9']",http://www.progressive.com/,Data DevOps Engineer Lead,"Mayfield, OH",$105K - $129K (Employer est.),"Software Developer/Senior
Job Number: 201779

Join Forbes' 2022 Best Employer for Diversity!
As a software developer or senior in our Property Product Rate Revision team, you’ll work in a fast-paced environment where you’ll have a key role in delivering business enhancements and products to our customers. You'll use your programming, analytical, troubleshooting, problem-solving skills and collaboration skills on innovative projects impacting our customers, agents, and employees. This is a remote position for US based work only.
Must-have qualifications
Bachelor's Degree or higher in an Information Technology discipline or related field of study and minimum two years of related work experience designing, programming, and supporting software programs and applications",10d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846d16973fb28b3cd2df71e4df&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_21f6254a&cb=1668277540564&jobListingId=1008250510123&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghmhd5re2p8v001-1ghmhd5s4i15p800-32a31991f76409a9--6NYlbfkN0DL_Oi7Zazb0cXECPKtFH6-sT0XCOargTHyqbhc9QuGNX6TSiu3LSdVI8J0AfoKzbz91wqU-wS1usG0-aNzfLCQT_KZTDMk5ke9gnaUQnJgFAQ4Eagib4rjJXeHm8FLGuEvGCqB7Jv90OkTbBwD9X6gGAAQwoes26omZMdNE_UpwDiKl1NPt8jmPCsno1f-IsaqU1XkXKyVHEnmpEIqZFUPhZmiuMFrljtanVvCs9hI_wBGOV3DXXJTK1-EHYy8zFDG1V69OY28A5AJO96Uiwy8kedfzJruIC40sgHMRvA-4zb78ud6S32dMwHbnBTll2Xl4mLlVNnuTrcfeV86k9AD9ChxXWskQfaHvrIjo-wbUaIx_4opTgoJPTXcLWrzCuxQhfucOLQwhLU-a8fVXhTBuF6GhO3jb501E259_gf9Gg7RTQAIZs1-cpfVcTb7RvcNkbGgX33LK9fK5g5LIKC9R9GAD0hyCJJj1U-hR8Nt2-7AFdOvQ0f3m0B__t4iuN7FxHxnS9wYFXWXOBfSJmGIp56er8IW25FGC3uEthUCsKC0oDp8r5a9uwHjBbKtRaZMK9WmT5KFP-voRsyiZa2j
