Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Prudential', '3.9']",http://jobs.prudential.com/,Associate Infrastructure Developer,"Newark, NJ",$86K - $126K (Glassdoor est.),"Job Classification:
Technology - IT Infrastructure/Operations
Prudential’s Global Technology team is the spark that ignites the power of Prudential for our customers and employees worldwide. Our organization plays a critical and highly visible role in delivering customer-driven solutions across every area of the company. The Global Technology team is made up of diverse, agile-thinking, and highly-skilled professionals; we use our combined capabilities to enable the organization with innovation, speed, agility, scalability and efficiency.
The Global Technology team takes great pride in our culture where digital transformation is built into our DNA. When you join the Global Technology organization at Prudential, you’ll unlock a challenging and impactful career – all while growing your skills and advancing your profession at one of the world’s leading financial services institutions",25d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846be511a296a57948a843a0b6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_136b7aee&cb=1668257494272&jobListingId=1008213102145&jrtk=3-0-1ghlua4edi9im801-1ghlua4eui9hg800-12c8e47ea37cbae5-
['SOFTWARE CONCEPTS LLC'],,Associate Infrastructure Developer,"Newark, NJ",$86K - $126K (Glassdoor est.),"Hello
Hope you are doing well. Please find below some information about SConcept.
Software Concepts Consulting was established in 2008. With our “hands-on” approach we are very successful in delivering high performance, secure IT solutions and IT services.
With headquarters in Carrollton, Texas we are specialized in providing business solutions to the Fortune 500 clients. Our clients include Software, Banking, Financial, Healthcare, Retail, Consumer goods and Insurance sectors. We deliver candidates based on client requirements.
Clients we work for:
Eli Lilly, First Republic Bank, Mercedez Benz Financial, BCBS, American Express, Cisco, US Bank, Wells Fargo, UHG, Prudential, Sprint, Mastek, Wells Fargo, ASRC federal vistronix, LogRhythm, Early Warning, Capgemini, Cherokee NATION",30d+,
"['Prudential', '3.9']",http://jobs.prudential.com/,Associate Infrastructure Developer,"Newark, NJ",$86K - $126K (Glassdoor est.),"Job Classification:
Technology - Engineering & Cloud
Prudential’s Global Technology Group is on a journey to transform its technology landscape from older, custom-built applications to newer, packaged, cutting edge software. As a developer on this Global Technology team, you will partner with designers and work with state-of-the-art technologies as you implement capabilities to solve complex business problems. Looking for candidates that work independently, receives minimal guidance where decisions are guided by policies, procedures and business plan. We are looking for associates who care deeply about communicating clearly with users in creative ways.
Primary Responsibilities:",4d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846be511a296a57948a843a0b6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_24650ef7&cb=1668257499322&jobListingId=1008263166150&jrtk=3-0-1ghlua4edi9im801-1ghlua4eui9hg800-ad79a51cdc9f7a4f-
"['Point Digital Finance, Inc.', '4.8']",http://www.point.com/,Associate Infrastructure Developer,"Newark, NJ",$86K - $126K (Glassdoor est.),"(Local or Remote)
ROLE OVERVIEW
We are seeking a hands-on manager of managers, with the ability to delegate tasks and find success through other managers. They will drive the execution and delivery of features by collaborating with many multi-functional teams, architects, product owners, and engineers. They will make critical decisions that attribute to the success of the product and business. Must be comfortable handling ambiguity, while proactively foreseeing known issues and developing resolutions prior to them occurring.
Within months of taking on this role, we expect the Director to iterate our roadmap and grow the team. To understand the technical ecosystem (e.g. stack tech etc.) and drive high-quality product and feature creations that are production ready. They will provide high-level support and unblock people on decisions and challenges.",22d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846be511a296a57948a843a0b6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4df4d045&cb=1668257503607&jobListingId=1008221882575&jrtk=3-0-1ghlua4edi9im801-1ghlua4eui9hg800-58dd14703e839629-
"['Braintrust', '4.6']",http://www.usebraintrust.com/,Associate Infrastructure Developer,"Newark, NJ",$86K - $126K (Glassdoor est.),"JOB TYPE: Direct Hire Position (no agencies/C2C - see notes below)
LOCATION: Remote - United States only (Time Zone: EST | Full day overlap)
SALARY: $120,000 – $130,000/yr
ESTIMATED DURATION: 40hr/week
ABOUT US:
Braintrust is the only network that gives in-demand talent all the freedom of freelance with all the benefits, community, and stability of a full-time role. As the first decentralized talent network, our revolutionary Web3 model ensures the community that relies on Braintrust to find work are the same people who own and build it through the blockchain token, BTRST. So unlike other marketplaces that take 20% to 50% of talent earnings, Braintrust allows talent to keep 100% of earnings and to vote on key changes to improve the network. Braintrust is working to change the way freelance works – for good.






This is a remote position.",3d,
"['Silicon Valley Bank', '4.1']",https://www.svb.com/,Associate Infrastructure Developer,"Newark, NJ",$86K - $126K (Glassdoor est.),"BE PART OF A BANK LIKE NO OTHER.
When you work with the world's most innovative companies, you know you're making a difference.
Our clients are the game changers, leaders and investors who fuel the global innovation economy. They're the businesses behind the next medical breakthroughs. And the visionaries whose new technologies could transform the way people live and work.
They come to SVB for our expertise, deep network and nearly forty years of experience in the industries we serve, and to partner with diverse teams of passionate, enterprising SVBers, dedicated to an inclusive approach to helping them grow and succeed at every stage of their business.
Join us at SVB and be part of bringing our clients' world-changing ideas to life. At SVB, we have the opportunity to grow and collectively make an impact by supporting the innovative clients and communities SVB serves. We pride ourselves in having both a diverse client roster and an equally diverse and inclusive organization. And we work diligently to encourage all with different ways of thinking, different ways of working, and especially those traditionally underrepresented in technology and financial services, to apply.

$113,424.00 - $139,287.00",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846be511a296a57948a843a0b6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_695f3b2c&cb=1668257509451&jobListingId=1008069193865&jrtk=3-0-1ghlua4edi9im801-1ghlua4eui9hg800-e2f4eb5377ae1372-
"['Prudential', '3.9']",http://jobs.prudential.com/,Associate Infrastructure Developer,"Newark, NJ",$86K - $126K (Glassdoor est.),"Job Classification:
Technology - Software Development/Quality Engineering
Prudential’s Global Technology team is the spark that ignites the power of Prudential for our customers and employees worldwide. Our organization plays a critical and highly visible role in delivering customer-driven solutions across every area of the company. The Global Technology team is made up of diverse, agile-thinking, and highly-skilled professionals; we use our combined capabilities to enable the organization with innovation, speed, agility, scalability and efficiency.
The Global Technology team takes great pride in our culture where digital transformation is built into our DNA. When you join the Global Technology organization at Prudential, you’ll unlock a challenging and impactful career – all while growing your skills and advancing your profession at one of the world’s leading financial services institutions.",23d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846be511a296a57948a843a0b6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_0817890f&cb=1668257513669&jobListingId=1008219495917&jrtk=3-0-1ghlua4edi9im801-1ghlua4eui9hg800-9c50c857bbafd6c4-
"['Prudential', '3.9']",http://jobs.prudential.com/,Associate Infrastructure Developer,"Newark, NJ",$86K - $126K (Glassdoor est.),"Job Classification:
Technology - Software Development/Quality Engineering
Prudential’s Global Technology team is the spark that ignites the power of Prudential for our customers and employees worldwide. Our organization plays a critical and highly visible role in delivering customer-driven solutions across every area of the company. The Global Technology team is made up of diverse, agile-thinking, and highly-skilled professionals; we use our combined capabilities to enable the organization with innovation, speed, agility, scalability and efficiency.

The Global Technology team takes great pride in our culture where digital transformation is built into our DNA. When you join the Global Technology organization at Prudential, you’ll unlock a challenging and impactful career – all while growing your skills and advancing your profession at one of the world’s leading financial services institutions.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846be511a296a57948a843a0b6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_85bec180&cb=1668257515615&jobListingId=1008065939816&jrtk=3-0-1ghlua4edi9im801-1ghlua4eui9hg800-1e9ccfd22707ec90-
"['PGIM Real Estate', '4.2']",http://www.pgim.com/,Associate Infrastructure Developer,"Newark, NJ",$86K - $126K (Glassdoor est.),"Job Classification:
Technology - Engineering & Cloud
ur Business:
As one of the largest real estate managers in the world with $179.2 billion in gross assets under management and administration1, PGIM Real Estate strives to deliver exceptional outcomes for investors and borrowers through a range of real estate equity and debt solutions across the risk-return spectrum. PGIM Real Estate is a business of PGIM, the $1.3 trillion global asset management business of Prudential Financial, Inc. (NYSE: PRU).
PGIM Real Estate’s rigorous risk management, seamless execution, and extensive industry insights are backed by a 50-year legacy of investing in commercial real estate, a 140-year history of real estate financing, and the deep local expertise of professionals in 31 cities globally. Through its investment, financing, asset management, and talent management approach, PGIM Real Estate engages in practices that ignite positive environmental and social impact, while pursuing activities that strengthen communities around the world. For more information visit www.pgimrealestate.com .",4d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846be511a296a57948a843a0b6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_5d49f008&cb=1668257517965&jobListingId=1008263865649&jrtk=3-0-1ghlua4edi9im801-1ghlua4eui9hg800-7785a20303ddae74-
"['Prudential', '3.9']",http://jobs.prudential.com/,Associate Infrastructure Developer,"Newark, NJ",$86K - $126K (Glassdoor est.),"Job Classification:
Technology - Agile, Delivery, & Product
PGIM, the global investment management businesses of Prudential Financial Inc., is a multi-manager that delivers industry-leading strategies and solutions to clients. With offices located in 16 countries across five continents, PGIM is among the top 10 largest asset managers in the world with over $1 trillion in assets under management. Each business maintains its own investment process and culture, allowing for a singular focus on delivering investment returns for clients. The PGIM businesses offer investors a wide range of investment strategies across asset classes and geographies, including public equities, public and private fixed income, commercial mortgages and real estate.

The PGIM Finance Process and Technology team currently has an opening for a Finance Digital Transformation Specialist. Your role on this team will be to support the development & implementation of new, integrated financial modeling applications for PGIM, which will be utilized to meet business intelligence, data analytics, corporate planning, and stress testing needs. The candidate will partner with internal, and at times external technology solution providers, as well as PGIM Finance teams and business leaders, to deliver best in class business analytics solutions for PGIM and Prudential.

The successful candidate will be a proactive and versatile individual who thrives in fast-paced environments, is comfortable being in a role with high visibility and relishes the unique opportunity to play a pivotal role in an innovative financial modeling & technology transformation role in the enterprise. The individual will need to leverage knowledge of financial concepts (e.g.: P&L, BS, Capital/Debt) and technology (e.g.: Anaplan, PowerBI, Python, SQL, etc.) to partner and collaborate with finance, business and technology colleagues at all levels. This person is committed to personal growth, teamwork, eager to learn, and embraces complex challenges.


• Support the development and implementation of new PGIM financial modeling and business intelligence solutions, which includes but is not limited to:
• Develop modeling solutions to forecast and/or analyze various key business drivers and metrics, such as profitability by business, customer and product
• Partner closely with business finance teams to define business requirements through user stories and recommend process changes to support new modeling capabilities as needed
• Partner closely with the various technology stakeholders across the enterprise for data sourcing and sending data to data lakes and forecast ledger systems
• Work within an agile framework to complete projects working with other developers.
• Prototype, test, train, and implement business solutions under tight deadlines
• Provide status updates to and solicit key decision input from business partners and senior management
• Track and communicate deliverables and the associated timelines as well as project risks and dependencies
Specific responsibilities for the position will vary over time based on business needs and other factors.


• Required Qualifications:
• Bachelor’s degree in Business IT, Finance, or similar
• Deep analytical background (experience with modeling and/or analytics)
• Experience with data architecture
• 3-5 years of relevant work experience (finance, technology – preferably both)
• Strong interpersonal, communication, and problem-solving skills with an ability to influence effectively across various stakeholders
• Ability to drill into core issues with determination to come up with a solution
• Desire to learn new modeling and programming skills and openness to evolving needs across the business
• Strong organization, prioritization, and planning skills
• A team player who is ready to teach, to learn, and to influence
• Proficient in a coding language (SQL, Python)
• PowerBI or other data visualization/BI experience",10d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846be511a296a57948a843a0b6&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3f084333&cb=1668257521310&jobListingId=1008250209928&jrtk=3-0-1ghlua4edi9im801-1ghlua4eui9hg800-56dbf18a435c4f44-
