Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['UC San Diego', '4.2']",http://www.ucsd.edu/,Grants Manager / Financial Analyst - Remote/Hybrid,"San Diego, CA",$67K - $93K (Glassdoor est.),"Payroll Title:
RSCH ADM 3
Department:
School of Public Health
Salary Range
Commensurate with Experience
Worksite:
Other
Appointment Type:
Career
Appointment Percent:
100%
Union:
Uncovered
2
Days, 8 hrs/day, Monday-Friday",10d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018469945bbda14760a776300125&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e7354131&cb=1668218646562&jobListingId=1008250186705&jrtk=3-0-1ghkp8n0328q7001-1ghkp8n0mj46m800-2db8b71b53f75f15-
"['JND', '2.6']",http://jndsolutions.net/,Grants Manager / Financial Analyst - Remote/Hybrid,"San Diego, CA",$67K - $93K (Glassdoor est.),"Apply Here -> https://jnd-inc.breezy.hr/

Position Overview
Job Title: Software QA Engineer
Education: Bachelor's degree in computer science, EE or related field required.
Experience: 3-5 years directly related experience required in android testing and field/protocol testing.
Job Type: Regular Full-Time, Hourly
Location",30d+,
"['225 Qualcomm Technologies, Inc.']",,Grants Manager / Financial Analyst - Remote/Hybrid,"San Diego, CA",$67K - $93K (Glassdoor est.),"Company:
Qualcomm Technologies, Inc.
Job Area:
Engineering Group, Engineering Group > Software Engineering
General Summary:
Cloud Software Developer
We are looking for a talented, motivated, and experienced Cloud developers. As part of the IoT (Internet of Things) team you will be working on the next generation of IoT products. This role includes research and analysis of SW solutions for next generation IoT products. Develop prototypes and proof of concepts to evaluate incremental as well as radical new architectures. Develop SW components that are scalable, available, and secure.
Minimum Qualifications:

OR
Master's degree in Engineering, Information Systems, Computer Science, or related field and 1+ years of Software Engineering or related work experience.
OR
PhD in Engineering, Information Systems, Computer Science, or related field.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018469945bbda14760a776300125&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_eb1223b5&cb=1668218652720&jobListingId=1008176271424&jrtk=3-0-1ghkp8n0328q7001-1ghkp8n0mj46m800-f838b7d939726d5e-
"['225 Qualcomm Technologies, Inc.']",,Grants Manager / Financial Analyst - Remote/Hybrid,"San Diego, CA",$67K - $93K (Glassdoor est.),"Company:
Qualcomm Technologies, Inc.
Job Area:
Sales, Business Development & Marketing Group, Sales, Business Development & Marketing Group > Business Development
General Summary:
Industrial Automation is a vertical segment in Qualcomm’s fast growing IoT Business Unit. The successful candidate will play a critical role in defining and architecting Qualcomm’s growth in the industrial automation industry and introducing new technologies that could change the face of the industry over the years. Business Development person will be responsible for driving Qualcomm’s success in the industrial vertical, with a primary focus in factory automation and digital transformation. You will focus your efforts on driving demand creation activities at customers and eco-system partners by defining clear Qualcomm value propositions across systems and applications. You will be the thought leader residing in the business unit aligning key technologies and enablement from Qualcomm’s entire portfolio across, compute, Edge processing, CV& AI, Connectivity, Security, Safety (SIL), Autonomy etc. With your knowledge and experience, you will cultivate design in opportunities and create lasting partnerships with the strongest influencers across the industrial vertical.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018469945bbda14760a776300125&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_ac35820b&cb=1668218654376&jobListingId=1008046291424&jrtk=3-0-1ghkp8n0328q7001-1ghkp8n0mj46m800-8fb986cb1dbca314-
['Drover AI'],,Senior Android Embedded Engineer,"Cincinnati, OH",$110K - $140K (Employer est.),"Drover AI builds high-performance edge-based IoT hardware to solve challenging transportation problems! As a part of the core product engineering team, you will be part of a highly-motivated, growing team building cutting-edge hardware & software products to realize our vision at scale.
This role offers a unique mix of advanced software development, low-level hardware interaction, and debugging skills. You will be responsible for integrating with our Qualcomm-based IoT product to design, develop, and implement functionality for our new product while being an important contributor to our R&D efforts.
Prior experience with Qualcomm chipsets, AI/ML, deep learning, geofencing, and IoT are a huge plus!
Desired Experience",8d,
"['CyberCoders', '4.1']",http://www.cybercoders.com/,Senior Android Embedded Engineer,"Cincinnati, OH",$110K - $140K (Employer est.),"Machine Learning Platform Engineer
If you are a Machine Learning Platform Engineer with experience, please read on!

Situated in Sorrento Valley of sunny San Diego, CA, is a stimulating opportunity for talented Engineers to work on the most cutting edge technology in AI! We are an AI startup looking to integrate bleeding edge technology into the world of AI. We utilize the latest tools in Computer Vision, Deep Learning and Speech Recognition to transcend this booming industry. We are sophisticating chip production and building integrated hardware and software solutions for smartphones, robotics, ""smart"" devices, etc.

For this role, we are looking for Engineers that have want to help build technology to accelerate artificial intelligence. As part of our growing team, we are looking for a Machine Learning Platform Engineer with a couple years of experience who wants to work with a well-funded startup. We are post series A and rapidly approaching Series B, a super exciting time for a growing startup. Some of our investors are Alibaba, Sequoia, Qualcomm, etc.


























All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",16d,
"['Electra Vehicles', '4.4']",http://www.electravehicles.com/,Senior Android Embedded Engineer,"Cincinnati, OH",$110K - $140K (Employer est.),"Embedded Software Engineer
Join the Electra Vehicles team as we revolutionize energy storage!
Electra is a B2B company that provides unique AI software to optimize battery performance. Born from co-founder and CEO Fabrizio Martini's work for NASA and the DoE, Electra's EVE-Ai™ 360 Adaptive Controls and EVE-Ai™ Fleet Analytics work in tandem to improve electric vehicle battery pack performance, lifetime, and safety across entire fleets.
Our focus is in the electric vehicle industry, particularly in embedded battery pack controls, connected mobility, fleet management and analytics, and more. Although we are currently focusing on the automotive sector, Electra's technology can be deployed into the Aerospace, Robotics, Grid, and other industries that are rapidly transitioning into clean energy.",17d,
"['CyberCoders', '4.1']",http://www.cybercoders.com/,Senior Android Embedded Engineer,"Cincinnati, OH",$110K - $140K (Employer est.),"SLAM Software Engineer
If you are a Software Engineer with computer vision or SLAM experience, please read on!

Situated in Sorrento Valley of sunny San Diego, CA, is a stimulating opportunity for talented Engineers to work on the most cutting edge technology in AI! We are an AI startup looking to integrate bleeding edge technology into the world of AI. We utilize the latest tools in Computer Vision, Deep Learning and Speech Recognition to transcend this booming industry. We are sophisticating chip production and building integrated hardware and software solutions for smartphones, robotics, ""smart"" devices, etc.

For this role, we are looking for Engineers that have want to help build technology to accelerate artificial intelligence. As part of our growing team, we are looking for a Computer Vision Engineer with a couple years of experience who wants to work with a well-funded startup. We are post series A and rapidly approaching Series B, a super exciting time for a growing startup. Some of our investors are Alibaba, Sequoia, Qualcomm, etc.
























All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability, protected veteran status, or any other characteristic protected by law.

– In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire.",16d,
"['SHIELD AI', '3.8']",http://www.shield.ai/,Senior Android Embedded Engineer,"Cincinnati, OH",$110K - $140K (Employer est.),"Introduction to Shield AI
Shield AI’s mission is to protect service members and civilians with intelligent systems. Shield AI is a fast growing, venture-backed defense-technology company built around a team of proven executives, distinguished warfighters, and world-class AI engineers. Since 2018, Shield AI’s products and people have supported operations around the world with the US Department of Defense and our allies. Most recently, we acquired Heron Systems and Martin UAV as wholly owned subsidiaries of Shield AI. Join our team and shape the future of artificially intelligent systems.

Job Description
Are you a passionate and innovative Software Engineer looking to build the foundations of state-of-the-art AI products? Are you eager to make a positive difference in the world? Do you want to work alongside mission driven and values focused teammates? Then Shield AI is just the place for you! As an engineer on the Developer Experience team, you will help us rapidly develop and deploy secure and reliable robotic systems.",4d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846994a46ab5fc81f5fc196724&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_900fc875&cb=1668218678566&jobListingId=1008263858688&jrtk=3-0-1ghkp9952jca4801-1ghkp995himbd800-707ae3887df1aa23-
['Blue Hexagon'],http://www.bluehexagon.ai/,Senior Android Embedded Engineer,"Cincinnati, OH",$110K - $140K (Employer est.),"Blue Hexagon is a premier VC-backed early stage startup applying advanced machine learning to cyber security.
We offer competitive equity and pay packages as well as medical, dental, vision, 401k, flex hours, company outings,
munchies and amazing teammates. Your teammates have worked at Amazon, Intel, Microsoft, Cisco, Palo Alto Networks,
Symantec and Qualcomm and studied at schools like Stanford, Princeton, CMU, MIT, Georgia Tech, Purdue and Berkeley.
Come join our amazing team!",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846994a46ab5fc81f5fc196724&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_20df0642&cb=1668218681418&jobListingId=1006085615812&jrtk=3-0-1ghkp9952jca4801-1ghkp995himbd800-fbfadc849cdcdaef-
