Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Raytheon Intelligence & Space', '3.8']",http://www.raytheonintelligenceandspace.com/,2023 Software Engineer II,"Indianapolis, IN",$75K - $180K (Employer est.),"Would you like to work in a collaborative environment with amazing people and projects?
Then join our Raytheon Intelligence & Space (RIS) team solving problems that make the world a safer place and help to secure our nation, ensure technical success for our customers, and grow company business and reputation! We are a technology and innovation leader specializing in defense, security and civil markets throughout the world.
Job Description:
The Software Engineering department in Indianapolis is looking for support for our V-22 aircraft program and beyond with both internal and external stakeholders. Successful candidates may support development, test, and other software-related tasks throughout the life cycle of product development for various projects as programs evolve. These could include software applications for mobile, Windows, Linux, and even proprietary or real-time embedded operating environments.",2d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846c3ed27a824d09b91922d225&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_595e2e12&cb=1668263374215&jobListingId=1008271350276&cpc=155EB9D5185558AF&jrtk=3-0-1ghm3tkl5j4jp801-1ghm3tkloghpk800-83782e5eb10e1561--6NYlbfkN0AmeoOzMpFeQa4nQauBOkgcasiRGbz5T5YfctgmEyRyniWlrXmQgp90JlYstaFv3brUjSWLJLyUzlfW3yEcpbWI5SbjP2UAQCKB0581cN993Ja-7zZio-ankgpFyafGvYkdR_1K_MH-STqQRkIPvqJ2cTj0h0YB8BkuiwzeVGoCz3ZVzzPLBkr52301ajyHVLTZP-K2niOwyWeFAguWGAGSE569YIb1XPYIrf6yvDBxcK6AnFwYkLzGMScuynW6mnEXtFIuNIdHoALJtC49-4aDrlOgMmMIrxoHK1AYytBEtqla_HdnrmEvG0wbkBtJ68UfECVKKaTgSiS3l14zcLcuW9l7CbpSqQ2-TBUkA3X09GbQVGvaTNZYtEgcwy-WS_1zgLyeX9O-rGXQowg39h7awLXe-BP2Se23nbSIkXs14aZkvFunKJRPdHKOGlp8jFZEp6Xf5TlIo3yFxkpCdqJ76hvy5WN_6gPrPqGaW2xBjYM5Q41O5BEe6Drtn7WxFnRuC8sA4r1UIcfepIRpqFj_fZXUQ9PK4syHGTZ9qSmsgcrxIWJhd68UilTBxkx5AL6PLu3wcaAob6OoWYI17iXvRSxdI7ZxoGJta6Je2YaSpHY1aLpMLz66VK9Zroovl1qfLiNMBcVad22e3OkTv5ox1Pg-zb7b91fY1t-gQxB49eS0JOMOUkkio2VTnVdXp2yS8-xcU5SRHlm3R5H1rEi6M5HgE6rWll_ujmJKBU2br26oxzFDZ7uySntZE-SdUZdlK-qPdP2ptHnziKeknBznZNs2EoPYreP_Ej2oizwtdfKjNvUd8CYTabv6KjuLy1I6BfNJkjfE1zumqyhUhfrRf8NE9Yt1luMcRiogcfC5reX_wmZwfNfWSKDGoBeeMpBHGnjbbBRyZOPifpOn6gnt
['Corporate Gray'],http://www.corporategray.com/,2023 Software Engineer II,"Indianapolis, IN",$75K - $180K (Employer est.),"You are invited to meet our clients who are looking for Information Technology Professionals at a free military-friendly virtual career event on Thursday, November 17.
These are some of the companies and government agencies that will participate in this online-only event on Thursday, November 17, from 11 am until 2 pm (Eastern Time): SAIC, Lockheed Martin, Raytheon, Los Alamos National Laboratory, Applied Research Solutions, goTenna, Leidos, Federal Aviation Administration, National Security Agency, National Geospatial-Intelligence Agency, Federal Deposit Insurance Corporation, Military Sealift Command, and more!
Don't miss this opportunity to interact with a diverse group of employers in only a few hours! Pre-registration is free (and required): https://www.corporategray.com/jobfairs/455
Here are some of the available positions:",1d,
"['Raytheon Missiles & Defense', '3.6']",https://www.raytheonmissilesanddefense.com/,2023 Software Engineer II,"Indianapolis, IN",$75K - $180K (Employer est.),"**This position is eligible for a minimum of $5K Sign-On Bonus**
**Sign-On bonus is not permitted for internal candidates
About Us:
At Raytheon Missiles & Defense, fresh thinking and possibilities are forged in times of change and you will be on the front lines as we trail blaze new approaches, push the boundaries of innovation, and chart a course to a tomorrow you can be proud to have a hand in creating
Job Summary:
As an Early-Career Operations Research Analyst & Simulation Developer I, you will participate in challenging multi-disciplinary research across integrated product teams consisting of Guidance, Navigation and Control (GNC), Signal Processing and Performance Simulation. You will participate in the design, development, and utilization of high-fidelity digital simulation software in advanced technical computing environments and contribute to system modeling and data analysis activities for the purposes of supporting new business, missile system design, performance assessment and flight tests according to the program schedule.",14d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846c3ed27a824d09b91922d225&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_84db817a&cb=1668263380018&jobListingId=1008242156893&cpc=F41FEAB56D215062&jrtk=3-0-1ghm3tkl5j4jp801-1ghm3tkloghpk800-ed2eaa0b40602721--6NYlbfkN0AmeoOzMpFeQa4nQauBOkgcasiRGbz5T5YfctgmEyRyno3mtQFBKNcr5bvWTqMUVXVngFHnK7d6h0PfPrFUcPgdRnAFjNMqPFRPcukG0vWB2WwfD8n_IZJQj_xL2FwI7amevU-x6cGN7ecAQs9SAE4QO_fgzRtEsSJ9qRhoDGHkIqYjSlGDSe2ytZdKHCL3Vjdyxpit2rWzwRN714WXYzdHX6Qtp5L--utgW3Ymuj9Qi_qNel5vO7SLUdJG7ZxZjGx7dKuUEl0zZ9xQAY1n2pJf_zDQr2FK0Jrl3qoViI_XDnqePKKsvQGUmRGosAJ2B7OnJOpd7nWvKVeenUzHmeKPHPqf3N3MDhaTmHnsYVHctmn4Mc3yIrSMfuaQHydykIPiIb8Er5o7Ia_LKemKWtrLVn9QE_AnAX41NKOzNibgKVjOGXSW4eF0Lm3PxH289-R3fJ6bC6v1JxiBmx1GI6pFuvZXoUedDDmEjc0uICTAu7wHEVDwuRWheVxyBM4ibupZq7LQW0AkTDZe8GIM7CMMErJPCFjarrByEat2lyUesWhReBhqJzlEF1HUYkh_1EWPzLRvr8oSCCf0f3pd6MDkM6n5tCoc635E0OSgKnl5tP-7curEYZXUMwXlx6iO-4Cc8nG3PQdBnKpt79As_kYsdt_BvGrii8wZQ4Ws6HPj-ul9EJvjiXlpTOJXfzlbSUnn_LyjJpX8UXl7bi3AHB5cPUEQZJWoNYOk6tG98P4sTKddJbJ8KkMuubhhavwD3to6Lk92FHqf8p8EDVlxsxU1W2O1ZNEM1E04DX79pQf-fNYoHmwFbNdaN7a3Z_E-h_21OFUWxno9IWY5dvechd8LCCaH70Rax7vr9YhuJpsK-ZKSUcZWcbYpu0r1C9vWc9qV-_w7Fp4tmw%3D%3D
"['Pratt & Whitney', '3.9']",http://www.prattwhitney.com/,2023 Software Engineer II,"Indianapolis, IN",$75K - $180K (Employer est.),"Pratt & Whitney is working to, once again, transform the future of flight—designing, building, and servicing engines unlike any the world has ever seen. And because transformation begins from within, we’re seeking the people to drive it. So, calling all curious.
In addition to transforming the future of flight, we are also transforming how and where we work. Pratt & Whitney is laser focused on offering flexibility to our employees. We’ve introduced role types (Onsite, Hybrid, or Remote) and now list them in the job posting title so candidates know where they will operate in our blended work environment. * Please consider the following role type definitions as you apply for this role.
Onsite: Employees who are working in Onsite roles will work primarily onsite. This includes all production and maintenance workers, as they are essential to the development of our engines.
Hybrid: Employees who are working in Hybrid roles will work regularly both onsite and offsite.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846c3ed27a824d09b91922d225&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4012b8be&cb=1668263384036&jobListingId=1007746155195&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm3tkl5j4jp801-1ghm3tkloghpk800-6787f36371a81a09--6NYlbfkN0AmeoOzMpFeQa4nQauBOkgcasiRGbz5T5YfctgmEyRyniWlrXmQgp90C9R_3Er909VWa0bTfjjDyJ8HOPE_OI5vov0TEEF62in1kdAX_vc49IGw91wSedbgJWbtC3r5k2VMS22edioNZVo_vCZS_BZSliT88dKgT9nkciZj39YRJ6dHG_h4Nl7i1u0MJOdf4-ZsHaPfSP_wIlC5_vFV-NEsiPZaO4LKGILj5JySkNVx_n5zpTonBz0FSEyZzXWtA0G8P9Y27jFlJ5PvsaWwnksEoApxH1LwcDUIpZ-2vGyZXbsHi_Ujl3i5YqPo82fNKW8GwTL6jgPJz13nX2gsFKX6UkIS4VEY4tSoShLW_WO8-63BKWtUG48_y2eurzzaB-uGZW5KsfUv-QuqLyqZmjRZJQdrs12vRWGU52qnKuneFRzBFy_azmx-QMEQN4sr8Ewm_w8e4zciFQLP8b-tMtP90-NQmQrW6rCDMhOvrf0wFguiOY2eJ0QNxT_yZzNlVUNpQSyynKgUaUJ498KOYlnHzn08jp45M2kwvzkHXdKEB3FIyszO2z2CFwLAcDuut4TCh85NlBORzHIqs7Y8jloX0HXEMzmaGKPWbDiytP_OFrQJsMzBAPxhK4pSdSHSog6OP9QIskCJOxAqWhxO_BNzgs_0lZep_W_wgDtR5ksP4CpE0P7rujw2d-XbU2ng14ed6a-Kjdh9mQIQldbasT0_RKM3i2LBsFzihpkhdCjCKPI6oxi8ce_EYvuhbmbht14RAhOWoXdSi0t4r1PgpfTct4dhQOzde3SfgZs2tNPPaqyb-i0jj8v2EiaIRpEAMCJWKRrxjUHjK__dnFBYantbSSoV48AY-5Ad9pnmUzHRvEaTzh_ol0HWXlzqrBUBIj-YvijxAlPIdA%3D%3D
"['Collins Aerospace', '3.8']",http://www.collinsaerospace.com/,2023 Software Engineer II,"Indianapolis, IN",$75K - $180K (Employer est.),"The Senior Software Engineer- Backend Python will support the Connected Aviation Solutions (CAS) organization from a systems level design and interactions of hardware and software components. This position offers the opportunity to work in a fast-paced environment based on program schedules, gain industry experience, and engage with both internal and external customers.
A successful candidate should be able to communicate technical issues and status both written and oral, be able to collaborate with teammates, be adaptable to change, enjoy learning new technologies, be self-motivated and contribute to a positive work environment.
Employees who are working in Remote roles will work primarily offsite (from home). An employee may be expected to travel to the site location as needed.
Primary Responsibilities:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846c3ed27a824d09b91922d225&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_456ef0a7&cb=1668263385858&jobListingId=1007999356291&cpc=F41FEAB56D215062&jrtk=3-0-1ghm3tkl5j4jp801-1ghm3tkloghpk800-cb5ce62c61fdf51d--6NYlbfkN0AmeoOzMpFeQa4nQauBOkgcasiRGbz5T5YfctgmEyRynrYolUy7pV0qPVdds7__LZe3P41ND_EEHBmbapZpV0YeooEcLnhQ-9pQVBQKq4QEdxUBFLKIWmRlSl9oDLiHjSie1Zr5t0JPsw0FrvcvA1amzXUgLPdtzvWyjxoMSLF4nPrrglvb6Sg3tT3Hxqix7H2C-APIbVjjHTWjT845z09ML4oycRmu3z_WQBDlxeGEc_ECSf0BO_ZZFaM6xYVRCxsMtvZHH2mtD4j0Zyx4PgBQoPbjE-xtwjP_wgVzsL3jmgX57wmddQTIX1KtojznYyUT8O4MSdflDPmPHYmM5iIobJCFsgjrxkYXLlw3YyCYBuBruNKhng8zgkr_aY-UikTcxgeEbmrChzZWrUsF8BvL4SC6linDOoX_YGcVk7XxxC-ePOw-UI7aNOJYYVz6bKWv6RcNxA3QenN9COh0qB2biM9sx7voOBQvfLqVi9BpCHuo61Z6OwC4IR5aQsZSYomduGRI_f4uS4-8wmgnbYoK1E24HxgzYvthHo9xuBIleGXsOlkFpeUiK8KWjoHmmkocei-QeTWm_Pg-QhFASvg2ZqCNkwy4fqXRkH7ENmgz4H8mznstjTIgf8E97oFx2v9FcNIC1wl-P7qzXC13ONj7dXkOEZdm7PGgv1yv0uQXF4zzd-xRDtEj72Vpq-xAZ7SBpH68Q1BY6uYHjQayTEQl4wX3QZhjTX3xPLiyk_e-I6wn4AZrllw8geInPXTur9FpHmGitAwknHhmKcY5Qd-tp0cYoZK_mD_E2Syey5TkBOIIpChOiHp_V12MM87q7kOma9gDRRNpIPExzxWWHQJ25DIXpmmdVkRqRS4pfl1t5L2wiCrZaGMhpmemIsJSjySamunrZP-wNQ%3D%3D
"['Pratt & Whitney', '3.9']",http://www.prattwhitney.com/,2023 Software Engineer II,"Indianapolis, IN",$75K - $180K (Employer est.),"Pratt & Whitney is working to once again transform the future of flight—designing, building and servicing engines unlike any the world has ever seen. And because transformation begins from within, we’re seeking the people to drive it. So, calling all curious.
Come ready to explore and you’ll find a place where your talent takes flight—beyond the borders of title, a country or your comfort zone. Bring your passion and commitment and we’ll welcome you into a tight-knit team that takes our mission personally. Channel your drive to make a difference into shaping an organization and an industry that’s evolving fast to the future.
Innovation through diversity of thought. At Pratt & Whitney, we believe diversity of thought enables creativity, innovation, and a foundation for inclusion. By fostering an inclusive culture, we accept a shared accountability and responsibility to recognize, sponsor, coach, hire and promote talent equally. We welcome our employees to be their whole - best - selves at work because trust, respect and integrity, are a part of our DNA.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846c3ed27a824d09b91922d225&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_49827aea&cb=1668263388956&jobListingId=1007827692287&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm3tkl5j4jp801-1ghm3tkloghpk800-6efea6fdb0c265ac--6NYlbfkN0AmeoOzMpFeQa4nQauBOkgcasiRGbz5T5YfctgmEyRyniWlrXmQgp90C9R_3Er909WotCQga-BiJLJu0iqQG70qrlZvhQ5IFHRMZl8Cna9OaHZKZSx_QPwVb-SQ44FAM8lf0DdiYy_JvOLhAxtG50BUaxhp43KajzyI_jvSVmN1pGot3IXa8625feKIRkqSAkgzfBgRRKTMpQVP9DYU1vVBxHt5QNTGfKwmSX2oq12DFJe66sMgqcOIwOokD3N8gn63td_EP5HTHHJUXrmvibAziI7cTHIkGZA8tBoDbZghPFpMd5tm32cNqEpDkK1tmYvZhQko8-feadSTCbUJkg9nOTfJKWjhSurDK30Fr7AtYNEDYnNK85t1V8GwSasoLkcUekZvTqN-cnaxqUW5zB1aMleRHlzouWsOL5Oqp4DrXlO0xmctNe7HjuBu1xFvdvz1pqSTaCOucjI2eoFGNPKlgrpn25bu4muGlR47JObDYueVcp-_M5GdsZL05I83q1V_f1LXsNetYPsUGp3cJzgjb1_w4wMyXrT1Z6IMHuIAFpBGUFtwYvANWM0HXjICIhOlY9MI198Cx1S6Nu0RRWMXcB5b8hiHoXND2pGIS1R3i3rjVdX2D2HbhlVO7_JzP0V_lrF58b61mxRGpe8i6g0f8eZDQccqYh_AraAiWLtvLuwg5hShBFNY6Ehv3mQODicJ_8iRMI4iVqRn_eEi22XXJRX5CVHx46WcbW61bp-xVgtlm25n8nvuLKLkgRQ7EV7zXh4l7QjnApSkeo0U0o_dQOioh5b4Rfjm-ZKOX4DTwvJGHl24iRGTM2se0vbsW2dO_s1ZXGTS6AfgXD97lKIS4n2VY_g0ycSa4HJlkfVSBBdl79ZGZyejBB60JpEK9SlU5cDQ9yMQCg%3D%3D
"['Pratt & Whitney', '3.9']",http://www.prattwhitney.com/,2023 Software Engineer II,"Indianapolis, IN",$75K - $180K (Employer est.),"Pratt & Whitney is working to once again transform the future of flight—designing, building and servicing engines unlike any the world has ever seen. And because transformation begins from within, we’re seeking the people to drive it. So, calling all curious.
Come ready to explore and you’ll find a place where your talent takes flight—beyond the borders of title, a country or your comfort zone. Bring your passion and commitment and we’ll welcome you into a tight-knit team that takes our mission personally. Channel your drive to make a difference into shaping an organization and an industry that’s evolving fast to the future.
Innovation through diversity of thought. At Pratt & Whitney, we believe diversity of thought enables creativity, innovation, and a foundation for inclusion. By fostering an inclusive culture, we accept a shared accountability and responsibility to recognize, sponsor, coach, hire and promote talent equally. We welcome our employees to be their whole - best - selves at work because trust, respect and integrity, are a part of our DNA.",8d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=000001846c3ed27a824d09b91922d225&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_268374b4&cb=1668263392763&jobListingId=1008256918356&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghm3tkl5j4jp801-1ghm3tkloghpk800-1ae6e1609709a8a2--6NYlbfkN0AmeoOzMpFeQa4nQauBOkgcasiRGbz5T5YfctgmEyRyniWlrXmQgp90C9R_3Er909WWbnNY5T-bSc8gLguQNWq4ZRlwot_10or0qmuxbv4bXlLgx4ho1H6l1ASyXBnzXniQwlwc1q7h7qZftE86FYAx-P3jOYbcm6XUBsba3Xv82smd_u3IYcMDDNnylgPuQ2B6ZqT6nHsENP6N80phhqKSDRZoLRcf0mc7MqfGPJ2OLAJcXBhx8HgwmjPh9ZCiZeWtHy9ieQ0HDxfT7i1MTpLt48QTaeUTMz2mXMXrzSAcKwCQu6YfPK5n0vBbv2BkhAo4KvejkPtb5TaS8mr7o1FHTF4fT-tXvJXIFFknxf5zgIZofZy9aQgAoeEX1QtnQgQe5Q4ZQe4rRocQd8GFCxFrIy4OiBHliueMTYjyBO7Hhvw3ibUW8oGqclB3ElsVsxrcNtPG3hqHNFWloyzgvJGc8v6QIOWcxItnOEWGiKdSNaNRK2u-SuYB-sLYbyWZkgq9NFJ-h_lh9ZZ41M1BQaI1D9T6LmL6CooOZYUWuUuSwQ38CUSXOkZtgD-RihY36mgnPv160Z7bkKYu4nPMHuqgAoBeFcEL7aEoTqEbvDCM1dGDS3xIwbL61HqttRpJ17m0-m6P0yexJTwhGNpNfIwfyP1wFsp0hcbKUZ1mevkz4vobyc0xwnA9WrpHvredgM6zOLr88WqS1lZlbHFzApBL7AKVFdSY7fnRdZuiCiGIR9Dh_31_AMoxo_Ns1CdBXAgCVK-ZFRMDHbRsWgTzWa6JeF8EMrtH7Qu7hjguw73FOhuwaSTvwLOu6H4WeNdDRqh0XEvxmgsACcQxrcmM6fTdWuf-XNWYBzP7iF9COmZxNAx0ecxOACn_30Ph4UZcthPHX_PNc0ym5g%3D%3D
"['Raytheon Intelligence & Space', '3.8']",http://www.raytheonintelligenceandspace.com/,2023 Software Engineer II,"Indianapolis, IN",$75K - $180K (Employer est.),"Raytheon Intelligence and Space (RIS) is seeking a Software Developer with an active Secret Clearance in Aurora CO. Relocation assistance available provided candidate meets eligibility requirements.
Life with Raytheon Intelligence and Space
In this role, you will be leading a team of talented software engineers who are designing, developing, and maintaining next-generation satellite ground station software.
This position is eligible for a sign on bonus of up to $7500K for a person with a Secret clearance that can be verified and hired here at Raytheon Intelligence & Space.
Required Skills",4d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=000001846c3ed27a824d09b91922d225&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_77878e75&cb=1668263395610&jobListingId=1008265233633&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghm3tkl5j4jp801-1ghm3tkloghpk800-9dd9444263d58a59--6NYlbfkN0AmeoOzMpFeQa4nQauBOkgcasiRGbz5T5YfctgmEyRyniWlrXmQgp90MUEuRF-s-mBOKe2ftD4Q_aPS-Hf0tRHqHg7OeQi04vrC_3DUSTz6BIw-nOvVtxFsTSaKcLvfX5blaKoSDXiKFNXnJavkQ0h1tyBJzc3A-mzDgAT09ZZ_jDLIfrIGZN2838ztLB3g4oW2yuikwPazDfVtYL22y4lbc-WCMrWFaWVYc63aKQFUCe-gOHHHKizEkRxmkZRcqo7aNsqabhi_yv1ZSS012NDGoBFLTfxYvjfrt8FddomiMPByWC8-oBGVGSZpxbdVQwRFdO4MnIN7ijTcrXXkTHzCkkScjFZSkVRtUgACTzBv03SyisILs3W4IjvGl7tx0a8kOcDLKOuzADlLgh_evlAaIWdFRdLI2AoW8fn0wNNrya785yRwArAhO766f_givY8kYez9a9xMccpoU1zOZqHvgWGL7EYtX6uRqy1vZKdatWCv2vPTI9h9t3xkz5-y5V0ctSh8u9pwmGbjDREWgXORHn4pL6UN4B_hXhxKmLXtBpKClB0V86QtooWxC4z0pRgZ66qNqt6l3O6BjZ9Lr1Zt6o6iOPP5JH_hdD-5Xy2HdhVuvhgG9pmcnBhDKy_2A0kvMzO6sRxn581yWSht4gOe1tFulY66CQ9WKCwGW0Xn4-WVNAT02ecqH31YUEqsD9CyCkJxB04GeqneIr2lN1kGLWTWamin1LWEyKnFqfMezPcOnRmv3lAFUqUeYcROyuG_noKVKsnLAjGpgL2jJBdMTOtNIVX-KD78OeC6mxk9GMeTIoHqCNXY95dBJyVEiSHsZknJeii4KYeugaUxcGQNBOISOfj9R_GG67dLJzF7XIaGm6KBJQ89qny2xGdgOeD93MJksKjAeA%3D%3D
"['Pratt & Whitney', '3.9']",http://www.prattwhitney.com/,2023 Software Engineer II,"Indianapolis, IN",$75K - $180K (Employer est.),"Pratt & Whitney is working to, once again, transform the future of flight—designing, building, and servicing engines unlike any the world has ever seen. And because transformation begins from within, we’re seeking the people to drive it. So, calling all curious.
In addition to transforming the future of flight, we are also transforming how and where we work. Pratt & Whitney is laser focused on offering flexibility to our employees. We’ve introduced role types (Onsite, Hybrid, or Remote) and now list them in the job posting title so candidates know where they will operate in our blended work environment. * Please consider the following role type definitions as you apply for this role.
Onsite: Employees who are working in Onsite roles will work primarily onsite. This includes all production and maintenance workers, as they are essential to the development of our engines.
Hybrid: Employees who are working in Hybrid roles will work regularly both onsite and offsite.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=000001846c3ed27a824d09b91922d225&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2c9bee22&cb=1668263399501&jobListingId=1007746518169&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm3tkl5j4jp801-1ghm3tkloghpk800-322a554e45eec730--6NYlbfkN0AmeoOzMpFeQa4nQauBOkgcasiRGbz5T5YfctgmEyRyniWlrXmQgp90C9R_3Er909UGP5hgtcxIpw4Y7As428takFCUEw94V8b-oljzwFpYN8SLkiHaBrrVMhJ8DSAvg5GJB9_sZjTMqZ9Y47jr88dKXRTmoN3kgX2zUxXTILyfr-dkAF0WP4vn870LbF_im8CnF2lJ-bnSd16bLWWWvzCTZSEtqE3bT98rzM8OelxeDeWtnRRCjwdnTdDxnfXC17_2PnVHMm5N64MZpw_FBZ5svjAgs868cywz9qe_lT6ICI5amhDUmV991hbeG2nbhRKukRT73tjdJ39CL3fkF6d0XAYXWLLsCbKp04QwE1bGoxkbn1sHxSGJQMGbOgOU21jvnfKm-n-OXNOMxEcn_YpqJ484a0OhBzbn9nwLOH6oIwlEOocP2Qob4N84qc79V6W9ZrxSMSWsXjrycjWDDDVa42nWqumyQ_S-00pDX6_pTzJScmvS6D5sPgxeqc4NWcZc7WbMVY4OYpyzi9FJgZ6_AJE1CVA9bbwociFvO73O0I8XYfhaqbM-qg2us0MPPjmg1ll2nnuhbSwBGFAt8HH9Sd7S-4u5JWTvJQ6EbcBCT0S-vt_aONjA2YABGYC_ltYRFryJRkgD7rzGgF5x58fR6vGdTW0mm0bfz_ahVdL5vs-Zhp_GrC5J41rnu7aek-mYCEfMHss3FdzVI-T9uqbErSDKZ2oJKYkN7j_3uDa2Er43abBskN4cbuQcmpLu6v31IvkANZbhTOa5DegN46WWvNABrO52DQ7MShSiWzZQqn3Kj9LSfFwbT234FWOi1MfsSRODVVv3GVZ0Hf2AsMr73kgBlXcfvY0VAPi5zWMxFUhwWCyDdRDZ5DvpZ84TxpNiM4lczwmkxw%3D%3D
"['Pratt & Whitney', '3.9']",http://www.prattwhitney.com/,2023 Software Engineer II,"Indianapolis, IN",$75K - $180K (Employer est.),"Pratt & Whitney is working to once again transform the future of flight—designing, building and servicing engines unlike any the world has ever seen. And because transformation begins from within, we’re seeking the people to drive it. So, calling all curious.
Come ready to explore and you’ll find a place where your talent takes flight—beyond the borders of title, a country or your comfort zone. Bring your passion and commitment and we’ll welcome you into a tight-knit team that takes our mission personally. Channel your drive to make a difference into shaping an organization and an industry that’s evolving fast to the future.
Innovation through diversity of thought. At Pratt & Whitney, we believe diversity of thought enables creativity, innovation, and a foundation for inclusion. By fostering an inclusive culture, we accept a shared accountability and responsibility to recognize, sponsor, coach, hire and promote talent equally. We welcome our employees to be their whole - best - selves at work because trust, respect and integrity, are a part of our DNA.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846c3ed27a824d09b91922d225&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_247842c4&cb=1668263403717&jobListingId=1008067771821&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghm3tkl5j4jp801-1ghm3tkloghpk800-4f3ed7cc6df80908--6NYlbfkN0AmeoOzMpFeQa4nQauBOkgcasiRGbz5T5YfctgmEyRyniWlrXmQgp90C9R_3Er909XqQme2aeW4tKvoIIv02_i_FBhuvqdKJIrvZco6TosYrkA8oFUA3sDBDhNGJPtrZ0yllzUBDsZ071_VPLN53zdfNb57eohUprSYJ8xu1GfzDnq0NlcQte_mcGy4VlgAoUhk2PEsHPGOxsR94N2V9g5VmIj-WL9-pih9j66Mr3IZeopMu3yj_E-qd_rD_GnskjVj8f8ZZxSlreVIXCDZxVLiy0jsDZJ2NyF1gnicf7P8H-aXtY7dOqXQXg-J03NHQdl-qUWrlcp1C6M7e918LdaAMVb65X1oBRXsXcq4hRCQfRC7peCZD768waV5BGml63WkpGhF9QGXUjNCVCPrFA960OT5JY34PDCKhmKSXwxHjRa61Kfk209yYwGAMueXguDjC3h32cFJdBGuU2oqQWYEtPuPfgRE5sdEardSCjwcrIKwfSr5jcSuHGuMtE8st_HuRrceRUv3QfakdFIh7ZOjsglCXd00JHlqki9_U7ugYrUzump45F7Z9CjLN-sJkZZPOmuMbgGol41IAWMe2Myb6QGlvU9qn2LLHcV5qpCWQf0lgzymqN_lLCmm5H-lFHTXQ3qigcMnOeBzwZAQULo4Ey0TDKks5i3rIBfG2zzCjyGbaOf0jEyKgHInWwJXyC_YYcGptPTKLPw88hCPV0EpXBhm2idVFKUy98z4OiIF2_AlTXUn-L9_zoygfptcHJmf-no6tSRqd9pywRXff-x1po9hAgD3oAmMh2vjPFtNJ_FvlQpFBfVYtkCIOQOFNhlp3ghKNFq71u-UWhEDsTRZgzE2LZ-J2it48uujba3oLTz2tcH4kqvfwY8BqIFfCieNnEsmz4gRaA%3D%3D
