Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['PartnerRe', '3.2']",http://www.partnerre.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"About this job:
For our Stamford office we are seeking the Pricing Applications Lead to join our IT Underwriting Non Life Unit, which is part of the Group IT department and responsible for all applications in the underwriting area (Pricing & Modeling, Capacity & Exposure Management, Portfolio Management & Optimization).
In this role you will be responsible for all Pricing applications including vendor software and in-house developments, from budget phase to testing and deployment of the new releases, and last but not least the support of the actuarial and underwriting teams. This position includes the follow-up of the relationship with our vendors, the management of the users requests and the IT activities including software development, analysis of the requirements and specification design. In more detail your area of duties will be:
About the team:",30d+,
"['Lincoln Financial', '3.6']",https://www.lincolnfinancial.com/public/individuals,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Date: Oct 14, 2022
Primary Location: Hartford, CT, US
Company: Lincoln Financial
Alternate Locations: Work from Home

Work Arrangement: Work from Home

Relocation assistance:: is not available for this opportunity.

Pay Range: $63,100 - $137,900",26d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a08ad99b9d8e08db8ee66c0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_4b67075a&cb=1668226275625&jobListingId=1008211244616&jrtk=3-0-1ghl0hbehkhp8801-1ghl0hbf2i9hg800-da36719b7f679d86-
"['Wood Mackenzie', '3.6']",http://www.woodmac.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Company Description

We help the world see new possibilities and inspire change for better tomorrows. Our analytic solutions bridge content, data, and analytics to help business, people, and society become stronger, more resilient, and sustainable.

Job Description

We are looking for a Global Head of Energy Storage Research to join Wood Mackenzie’s Power & Renewables team. The Power & Renewables research team is a highly respected group of analysts producing market-leading research on the entire renewable energy value chain and power industry.",24h,
"['Gen Re', '3.4']",http://www.genre.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Shape Your Future with Us
General Re Corporation, a subsidiary of Berkshire Hathaway Inc., is a holding company for global reinsurance and related operations,with more than 2,000 employees worldwide. Its direct reinsurance companies conduct business as Gen Re.
Gen Re delivers reinsurance solutions to the Life/Health and Property/Casualty insurance industries. Represented in all major reinsurance markets through a network of more than 40 offices, supported by over 2,000 employees worldwide, we have earned superior financial strength ratings from each of the major rating agencies.
Gen Re currently offers an excellent opportunity for Senior Business Systems Analyst to work in the General Star based in our Stamford office. This is a hybrid role.",24h,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a08ad99b9d8e08db8ee66c0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_df188ca2&cb=1668226282568&jobListingId=1008273721998&jrtk=3-0-1ghl0hbehkhp8801-1ghl0hbf2i9hg800-a9c2cde991ac20f2-
"['Munich Re America', '4.3']",http://www.munichre.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Sr. IT Technical Data Specialist
Location
Princeton , United States
Your job
We’re adding to our diverse team of experts and are looking to hire those who are committed to building a culture that enables the creation of innovative solutions for our business units and clients.

The Company
Munich Re Specialty Insurance (MRSI) provides extensive, specialty property and casualty insurance solutions to customers through select brokers, Managing General Agents, program administrators, cover holders and insurtech partners. Products include: property, casualty, professional liability and other specialty insurance solutions. Our comprehensive, customized solutions are provided by A+ rated carriers and are tailored to clients’ needs. We offer superior service levels, industry-recognized underwriting and claims expertise and innovative approaches to complex and evolving risks.

Munich Re Specialty Insurance (MRSI) is a description for the insurance business operations of affiliated companies in the Munich Re Group that share a common directive to offer and deliver specialty property and casualty insurance products and services in North America. For more information on MRSI, including licensing, regulatory-required, and other information on the operating companies, visit https://www.munichre.com/us-non-life/en/general/munich-re-specialty-insurance-disclosures.html.

The Opportunity
The Senior IT Technical Data Specialist (MRSI Data and Reporting) reports to the Head of Systems transformation and will provide leadership in developing the MRSI data and reporting platform.
He / She will provide technical solutions for analyzing data, especially to investigate, evaluate and interpret data by the business.
He / she will be responsible for owning and managing the technical solution of data acquisition and ingestion, data integration and processing, data storage, and provisioning to MRSI business analytics and operations. He / She will also be responsible for the development of respective data applications to provide the required functionality, including application maintenance and support services.

He / She will work with the MRSI architecture team to lead various enterprise data management and reporting projects. He/ She will be responsible for delivering data integration, data quality, data warehouse to support various business reporting and analytics needs. He / She will work on solutions and technical documentation to support data lifecycle management, including security and operational compliance needs.

He / she will work collaboratively with the IT Project Managers as well as the Delivery Management Service Center to coordinate workloads and ensure quality work products aligned to Munich Re IT standards.

Responsibilities:
Qualifications:
Experience with data integration tools – Informatica (PW, IICS) and databases (Azure SQL, Oracle)
At Munich Re US, we see Diversity and Inclusion as a solution to the challenges and opportunities all around us. Our goal is to foster an inclusive culture and build a workforce that reflects the customers we serve and the communities in which we live and work. We strive to provide a workplace where all of our colleagues feel respected, valued and empowered to achieve their very best every day. We recruit and develop talent with a focus on providing our customers the most innovative products and services.

We are an equal opportunity employer. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846a08ad99b9d8e08db8ee66c0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f470e1ca&cb=1668226284550&jobListingId=1008124749224&jrtk=3-0-1ghl0hbehkhp8801-1ghl0hbf2i9hg800-d222b408990e43ca-
"['James River Insurance Company', '3.6']",http://www.jrgh.net/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Come grow with James River Insurance!
James River Insurance is an excess and surplus lines segment of James River Group Holdings, Ltd. and operates on an approved non-admitted basis in 50 states and Washington, DC. Since 2003, James River has provided thousands of commercial property and casualty customers with innovative and creative solutions for particular insurance needs.
At James River Insurance, we are committed to providing a stable and rewarding work environment supported by our Core Values and Guiding Principles: Integrity, Accountability, Innovation, Customer Service, Communication, and Teamwork. We are proud of our recent national recognition as a 2022 and 2021 Top Workplaces USA awards.
James River Group Holdings, Ltd. is a Bermuda-based insurance holding company which owns and operates a group of specialty insurance and reinsurance companies. The Company operates in three specialty property-casualty insurance and reinsurance segments: Excess and Surplus Lines, Specialty Admitted Insurance and Casualty Reinsurance. The Company tends to focus on accounts associated with small or medium-sized businesses in each of its segments. Each of the Company's regulated insurance subsidiaries are rated ""A-"" (Excellent) by A.M. Best Company.",30d+,
"['Guy Carpenter', '3.9']",http://www.guycarp.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"As a Software Developer at Guy Carpenter, you will be responsible for the analysis, design, development, implementation, and support of a high-performance, highly scalable .NET scientific simulation platform using leading agile development practices. This is a hands-on role that works independently and collaboratively in a team environment. You must be delivery-focused and possess a broad set of technology skills to take this complex modeling platform to the next level of usability, ease of use, and user interaction sophistication.
We are looking for someone who can better transform our existing suite of commercial products to enable cloud and web technologies better.
We'll count on you to:
We are redeveloping our WPF UI into a new modern experience, using web technologies based on industry standards and a proven track record.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a08ad99b9d8e08db8ee66c0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_95ff06b2&cb=1668226290216&jobListingId=1008006706546&jrtk=3-0-1ghl0hbehkhp8801-1ghl0hbf2i9hg800-20e073ee9011e2e1-
"['Aspida Financial Services, LLC', '4.5']",http://www.aspida.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Company Description:
Aspida Financial Services, LLC and it’s holding company Aspida Holdings Ltd. (collectively, “Aspida”), are indirect subsidiaries of Ares Management Corporation. Aspida was formed to execute on Ares Insurance Solutions' plans to issue insurance and reinsurance products for individuals and institutions seeking to fund their long-term financial needs. Aspida employs a talented team of experienced insurance professionals who leverage innovation and technological advancement to drive change. Its cutting-edge platform is geared at providing insurance solutions with speed and simplicity, creating elegant digital experiences. With $3.0 billion in assets under management as of June 30, 2021 and supported by a team of over 100 insurance industry professionals, Aspida seeks to be a trusted partner focused on its clients’ financial security and success. For more information, please visit www.aspida.com.

Who We Are:
Sometimes, a group of people come together and create something amazing. They don’t let egos get in the way. They don’t settle for the status quo, and they don’t complain when things get tough. Instead, they see a common vision for the future and each person makes an unspoken commitment to building that future together. That’s the culture, the moxie, and the story of Aspida.

Our business focuses on annuities and life insurance. At first, it might not sound flashy, but that’s why we’re doing things differently than everyone else in our industry. We’re dedicated to developing data-driven tech solutions, providing amazing customer experiences, and applying an entrepreneurial spirit to everything we do. Our work ethic is built on three main tenets: Get $#!+ Done, Do It with Moxie, and Have Fun. If this sounds like the place for you, read on, and then apply at aspida.com/careers.

What We Are Looking For


The AWS Cloud/DevOps Engineer works on the engineering team and focus on AWS infrastructure and automation. A key part of the role is championing infrastructure as code using Terraform. The engineer will report to the Director of Digital Solutions and be located in the Durham, NC office.

What You Will Do



What We Provide


What We Believe
At Aspida Financial Services, LLC, we are committed to creating a diverse and inclusive environment and are proud to be an equal opportunity employer. As such, Aspida does not and will not discriminate in employment and personnel practices on the basis of race, sex, age, handicap, religion, national origin or any other basis prohibited by applicable law. Hiring, transferring and promotion practices are performed without regard to the above listed items.",8d,
"['Everest Re Group, Ltd.', '3.8']",http://www.everestre.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Title:
2023 Technology Early Leadership Development Program
Company:
Everest Global Services, Inc.
Job Category:
Technology
Job Description:
Everest Technology, a member of Everest Re Group, Ltd., is seeking talented associates to join our Technology Services Early Development Leadership Program. This is a three-year rotational program that will provide training and professional development for individuals seeking a career in reinsurance.
Our Strength - Our People
At Everest, we believe that our future is determined by the actions we take today. Actions that go beyond business strategy and encompass the values important to our employees and the communities in which we operate. Everest’s value commitments include providing an inclusive work environment that offers employees the opportunity to further their development, supporting our communities through the donation of time and financial resources, maintaining our integrity across all aspects of the group, and being an industry innovator to solve global complex risks. Note, Everest does not provide visa sponsorship for this position. Successful candidates must possess the requisite permanent US employment authorization to be eligible for consideration

Regular
Full time
Warren, NJ",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a08ad99b9d8e08db8ee66c0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3aecadd5&cb=1668226297243&jobListingId=1008137008989&jrtk=3-0-1ghl0hbehkhp8801-1ghl0hbf2i9hg800-c828a795f2c848f3-
"['Guy Carpenter', '3.9']",http://www.guycarp.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Title: Sr. Software Developer
Location: Remote (Seattle a plus)
What to Expect:
As a Sr. Software Developer at Guy Carpenter, you will be responsible for the analysis, design, development, implementation, and support of high-performance, highly scalable .NET scientific simulation platforms using leading agile development practices. This is a hands-on role that works both independently and collaboratively in a team environment. You must be a self-starter, delivery-focused, and possess a broad set of technology skills to take this complex modeling platform to the next level of usability, performance, automation, and scalability.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a08ad99b9d8e08db8ee66c0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_429ec481&cb=1668226299789&jobListingId=1007849808981&jrtk=3-0-1ghl0hbehkhp8801-1ghl0hbf2i9hg800-7659f8109ea4834f-
"['Risk Management Solutions (RMS)', '3.9']",http://www.rms.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"The Person
The Client Director will be an entrepreneurial, energetic sales professional with an innate desire to achieve results. In addition to a strong sales capability and natural prowess for both hunting and farming this person will have developed the critical business acumen to be a strong solution seller. The ideal candidate will have a successful track record of growing strategic accounts and prospecting new business in a SaaS, analytics, Financial Services/Insurance, or consulting environment. S(he) will have a proven track record of success in selling software and solutions and building a book of business. The successful candidate will be skilled at building trust-based relationships with key influencers and users within client organizations.
The Client Director will either have experience in strategic selling primarily to insurance organizations or the adaptability to quickly learn the market. The ability to assess and process a business problem and apply how RMS’s capabilities can improve the situation will be critical. S(he) will have experience identifying adjacent needs within a client engagement and working with technical resources to craft technical and analytic solutions to business problems. The Client Director will have strong verbal and written communication skills and significant experience in presenting complex concepts and proposals at all levels.",1d,www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=000001846a08ad99b9d8e08db8ee66c0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fb8310eb&cb=1668226301755&jobListingId=1008272776042&jrtk=3-0-1ghl0hbehkhp8801-1ghl0hbf2i9hg800-ccf0f888de581043-
"['Extreme Event Solutions', '3.7']",http://www.air-worldwide.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Company Description

We help the world see new possibilities and inspire change for better tomorrows. Our analytic solutions bridge content, data, and analytics to help business, people, and society become stronger, more resilient, and sustainable.

Job Description

About the Role
Be a part of a dynamic software development group at AIR contributing to design and development of next generation AWS cloud-native SaaS product suite. Focusing on our analytics platform, you are expected to work in an agile team to help plan and design new features, write clean, testable and performant code, provide automated tests, as well as resolve customer issues.",1d,
"['American Modern Insurance Group', '4.2']",http://www.amig.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Data Analytics Architect

WE OFFER
Enterprise Information Management (EIM) is part of IT Business Solutions. EIM drives end-to-end delivery and maintenance of our data solutions. Our solutions include analytics data platforms, Master Data Management, data quality, metadata management, and data governance tools. Our data practices include requirements analysis, data modeling, data engineering, enterprise reporting and testing. We ensure integrity of data for business operations and decision making. We build & provide support for the services we offer. EIM partners with our Business Intelligence and Analytics (BIA) team to drive data strategy, govern data assets, and create business value from our data assets. EIM collaborates with other IT teams like Enterprise Architecture, global platform teams and others, to build technology roadmaps, reference architecture and data capabilities. EIM’s charter is to build solutions that deliver business value. At the same time, we ensure these solutions are forward thinking, scalable, sustainable and drive standardization to achieve economies of scale.

AMIG has embarked on a modernization journey. EIM is laying out transformation plans to improve our data landscape. We have ambitions to be a data driven culture. We are passionate about finding ways to improve the way we handle data and analyze it to ensure it supports our business. AMIG is rethinking the way it uses and processes data, and you could be a part of this change.

The position provides technical leadership to AMIG EIM’s Data teams to ensure effective data delivery. In this position, you will perform the role of a Data architect. You will also be accountable for mentoring other resources on the team. You will drive for delivery leveraging the practices and people on the EIM team in collaboration with EIM Management.

As a Data Architect within the EIM Department, you will work with Business to ensure their data needs are met and/or addressed in evolving implementation planning or ongoing build and operate functions. You will cross collaborate with other IT teams to ensure solution alignment. You will ensure compliance with IT Standards & controls. You will be working on and influencing a new strategy for data handling. You’ll be communicating with different business partners, data stewards, developers and other architects to bring the vision to life. You will also play a key part in advocating this data-centric strategy across the business. In this position, you have the opportunity to radically change how we use data and make a difference from day one that will be felt for years to come.

Strategic Responsibilities:
Tactical Responsibilities:

Operational Responsibilities:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=113&ao=1136043&s=58&guid=000001846a08ad99b9d8e08db8ee66c0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3bd843d8&cb=1668226306480&jobListingId=1008061058680&jrtk=3-0-1ghl0hbehkhp8801-1ghl0hbf2i9hg800-5ca49c3c45c93935-
"['Swiss RE', '4.2']",http://www.swissre.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"About Swiss Re Corporate Solutions

Swiss Re is one of the world’s leading providers of reinsurance, insurance and other forms of insurance-based risk transfer. We anticipate and manage risks, from natural catastrophes and climate change to cybercrime.

Swiss Re Corporate Solutions is the commercial insurance arm of the Swiss Re Group. We offer innovative insurance solutions to large and midsized multinational corporations from our approximately 50 locations worldwide. We help clients mitigate their risk exposure, whilst our industry-leading claims service provides them with additional peace of mind.

Our success depends on our ability to build an inclusive culture encouraging fresh perspectives and innovative thinking. Swiss Re Corporate Solutions embraces a workplace where everyone has equal opportunities to thrive and develop professionally regardless of their age, gender, race, ethnicity, gender identity and/or expression, sexual orientation, physical or mental ability, skillset, thought or other characteristics. In our inclusive and flexible environment everyone can bring their authentic selves to work.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=000001846a08ad99b9d8e08db8ee66c0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8c66ecb3&cb=1668226310360&jobListingId=1008003686672&jrtk=3-0-1ghl0hbehkhp8801-1ghl0hbf2i9hg800-8b0131841566a379-
"['Chubb INA Holdings Inc.', '3.7']",http://www.chubb.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Who We Are

Blink by Chubb is an emerging growth business within Chubb Digital North America. Our mandate is to build and grow a digital-first insurance brand aimed at millennials with a portfolio of products and services that protect the life that millennials lead, not just the stuff they have. These are the products and innovations of future Chubb, built today.

The Blink by Chubb team is made up of a diverse team of entrepreneurially-spirited people. Our leader has 17+ years of founder/CEO experience in the Insurtech industry with success in growing a fully digital insurance business from an idea to a VC-funded start-up to a high growth company. Others on the team have experience in technology and insurance start-ups and starting their own businesses. We all care deeply about what we do and know that we are making a significant difference to Chubb.

Who You Are

You are the driving force and principal engineer for building high-quality, high-performance backend services.

You are a very technical, hard-core developer, love algorithms, and have strong pride in what you build.

You produce error free software, write unit tests, apply best practices and patterns, and keep informed of last trends and approaches.

You work very fast; your friends and colleagues praise you on the quality and the speed of your work.

You are a very strong C# developer, have watched/studied the evolution of .NET and are current on all changes and future plans.

You are practical and, use the right solutions for the business and architectural goals stablished - “ you don’t use a cannon to kill a mosquito, but you know how to use a cannon”

You are a critical thinker, open-minded, analytical, and enjoy solving complicated problems

You relate well with people, possessing diplomatic and constructive skills, but are also not afraid to challenge

You are in your element building new things or fixing what is broken, and you are always spotting big opportunities to do better

You are highly competent, creative, and self-motivated and you have an eagerness to learn and excel in a fast-paced environment

You are not bogged down by how things have been done before

You relate well with people, possessing diplomatic and constructive skills, but are also not afraid to challenge. You respect others. You can follow and lead.

You have technical and functional knowledge, ideally in insurance.

You are looking for a good place to work, good product, good people with great growth opportunity.

What You Will Do

You will participate in architecture discussions and provide valuable contributions and feedback.

You will take high level directions and leverage defined architectures (which you will also be tasked in helping define and actively contribute to) and work with a team of Business Analysts and other Developers in an agile manner with the goal of implementing user stories to build backend services and other software.

You will implement fast, high performance API backend services, AzureFunctions and a variety of software apps and services.

You will debug hard to solve issues, do root cause analysis and maintain software services.

About Chubb

Chubb is the world’s largest publicly traded P&C insurance company and the largest commercial insurer in the U.S. With operations in 54 countries and territories, Chubb provides commercial and personal property and casualty insurance, personal accident and supplemental health insurance, reinsurance and life insurance to a diverse group of clients. As an underwriting company, we assess, assume and manage risk with insight and discipline. We service and pay our claims fairly and promptly. We combine the precision of craftsmanship with decades of experience to conceive, craft and deliver the very best insurance coverage and service to individuals and families, and businesses of all sizes. Chubb has more than $167 billion in assets and $36 billion of gross premiums written in 2017. Chubb’s core operating insurance companies maintain financial strength ratings of AA from Standard & Poor’s and A++ from A.M. Best. Chubb Limited, the parent company of Chubb, is listed on the New York Stock Exchange (NYSE: CB) and is a component of the S&P 500 index. Chubb maintains executive offices in Zurich, New York, London and other locations, and employs approximately 31,000 people worldwide.

About Chubb Digital

At Chubb, we believe that the experience is the product; as such, customer experience and a digital-by-default strategy is at the heart of everything we do. As part of our growing Digital Business, you’ll be welcomed into a highly competent, lively and supportive environment where your voice matters. With a focus on collaborative working, we are looking for ambitious and experienced digital talent to ensure we’re creating the best new service-based products and experiences for our customers.
Qualifications What We Are Looking For

6-10+ years performing well in complex business and technical environments with the following experience

Working with remote highly distributed teams.

Owning the development of backend APIs.

Building scalable Cloud Applications, Azure Development, TableStorage, AppServices, PaaS, APIM, ApplicationInsights.

API lifecycle development, OpenAPI, Swagger.

Visual Studio, Visual Studio Code, Talend, C#. SQL, NoSQL, MongoDB, .NETCore, ASP.NET Core

MS Azure certifications are a plus.

Experience with SDLC through CI CD, Git, Agile, Jira.

EEO Statement
At Chubb, we are committed to equal employment opportunity and compliance with all laws and regulations pertaining to it. Our policy is to provide employment, training, compensation, promotion,and other conditions or opportunities of employment, without regard to race, color, religious creed, sex, gender, gender identity, gender expression, sexual orientation, marital status, national origin,ancestry, mental and physical disability, medical condition, genetic information, military and veteran status, age, and pregnancy or any other characteristic protected by law.Performance and qualifications are the only basis upon which we hire, assign, promote, compensate, develop and retain employees. Chubb prohibits all unlawful discrimination, harassment and retaliationagainst any individual who reports discrimination or harassment.",4d,www.glassdoor.com/partner/jobListing.htm?pos=115&ao=1136043&s=58&guid=000001846a08ad99b9d8e08db8ee66c0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d71a9c15&cb=1668226314252&jobListingId=1008264138763&jrtk=3-0-1ghl0hbehkhp8801-1ghl0hbf2i9hg800-270e2b3b0fef0bcb-
"['RGA', '4.0']",http://www.rgare.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Position Overview

.RGA in St. Louis MO seeks a Senior QA Automation Engineer to design and own Test plans to completely test functionality according to requirement documents, design documents, problem reports or other sources. The Senior QA Automation Engineer creates Test Scripts to automate regression Testing and develops designs and establishes standards for automation of QA components. Performs end to end data validation and testing automation of complex software solutions. Works closely with software developers and automation engineers to triage and resolve issues. Develops and maintains automated test scripts to reduce repetitive manual testing. Participates in project-wide reviews of requirements, system architecture, and detailed design documents







Job Reference: US07530",12d,
"['MMC Corporate', '4.0']",http://www.mmc.com/,Pricing Applications Lead,"Stamford, CT",$96K - $137K (Glassdoor est.),"Guy Carpenter aims to be recognized as a market leader in Operational Excellence. We are seeking a Senior Web Developer who will lead complex projects while overseeing a small team of developers. This position can be based in Edina, MN or Hoboken, NJ.

Technical Lead (Full Stack)

What can you expect?

The Technical Lead role within the Marsh McLennan’s Technology group (MMC Tech) provides an opportunity to lead a team of technologists building out future state client facing solutions to power one of the world’s largest and most respected risk management and reinsurance firms. This team has a “start-up style” mandate (within a $1.3 billion company) to effectively create the next generation of platforms across the Guy Carpenter’s ecosystem. The senior technical resource is responsible for the technical design, coding, testing and debugging of a suite of software programs in addition to meeting project plan goals under limited guidance, perform code reviews, and identify potential performance bottlenecks and issues. The team collaborates within an agile development environment where planning, estimation, sprint and milestone planning is a must. At times, step in as a scrum master in order to remove blockers for individual team members and/or across other functional teams",30d+,www.glassdoor.com/partner/jobListing.htm?pos=117&ao=1136043&s=58&guid=000001846a08ad99b9d8e08db8ee66c0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_7547a5bf&cb=1668226321983&jobListingId=1007335928724&jrtk=3-0-1ghl0hbehkhp8801-1ghl0hbf2i9hg800-ba827b5a6823bd32-
