Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Rite Aid', '3.1']",http://www.riteaid.com/,Software Engineer 2 (Remote),"Camp Hill, PA",$56K - $86K (Glassdoor est.),"EDUCATIONAL, CERTIFICATE and LICENSE REQUIREMENTS:
Bachelor’s Degree in Arts/Sciences (BA/BS) Computer Science or Engineering required.
EXPERIENCE, SKILL and ABILITY REQUIREMENTS:
2 years of experience in Design, develop and deployment of software solutions required.
Experience in DOTNET, SQL, SSIS, coding and maintaining APIs considered a plus preferred.
Experience in IBM mainframe and DB2 preferred.
JOB DESCRIPTION:
The Software Engineer 2 participate in medium level complex aspects of the software development lifecycle, which includes estimating, technical design, implementation, documentation, testing, deployment, and support of the application. As an individual contributor working in a team environment, you will work with business teams on interpretation/translation of wireframes and creative designs into functional requirements, and subsequently into technical design.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846adfcb4abb0aac1171d6f01c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_90653533&cb=1668240367878&jobListingId=1007691397284&jrtk=3-0-1ghldvirgma5k801-1ghldvis7i150800-b85b6d841841ea04-
"['Rite Aid', '2.9']",http://www.envisionrx.com/,Software Engineer 2 (Remote),"Camp Hill, PA",$56K - $86K (Glassdoor est.),"Job Description
Impact and relationships are critical to the continued innovation of our digital platforms.
The primary purpose of this position is the design, development and enhancement of mobile applications.
The position will consult with business users, technology services teams and other Digital workstreams, working in an Agile/Scrum fashion to build highly scalable application. The role will also manage the APIs and micros services development and/or integrations.
This role will play a key role in transforming the iOS application to be best in class through technical mentoring and participating in architecture, design and solutioning. Frequent independent judgments are essential. The incumbent is also required to perform all tasks in observance of Rite Aid's brand and strategy and adhere to our core values and service attributes.",30d+,
"['Rite Aid', '3.1']",http://www.riteaid.com/,Software Engineer 2 (Remote),"Camp Hill, PA",$56K - $86K (Glassdoor est.),"EDUCATIONAL, CERTIFICATE and LICENSE REQUIREMENTS:
Bachelor’s Degree in Arts/Sciences (BA/BS) Computer Science or Engineering required.
EXPERIENCE, SKILL and ABILITY REQUIREMENTS:
5 years of experience in Design, develop and deployment of software solutions required.
-
Experience in DOTNET, SQL, SSIS, coding and maintaining APIs considered a plus preferred.

-
Experience in IBM mainframe and DB2 required.

-
BASIS working experience in SAP HANA DB, SAP S4HANA (for Finance roles) preferred.

-
Have Basis working knowledge including Printer Management and Transport Management preferred.

-
Experience in Version Upgrade, Support pack upgrade and Database Upgrade; RISE and BTP implementation working experience
preferred.


Participate in all aspects of the software development lifecycle, which includes estimating, technical design, implementation, documentation, testing, deployment, and support of the application. As an individual contributor working in a team environment, you will work with business teams on interpretation/translation of wireframes and creative designs into functional requirements, and subsequently into technical design.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846adfcb4abb0aac1171d6f01c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d29bb455&cb=1668240373039&jobListingId=1007823234408&jrtk=3-0-1ghldvirgma5k801-1ghldvis7i150800-7281ebe9c7b3c82e-
"['Rite Aid', '3.1']",http://www.riteaid.com/,Software Engineer 2 (Remote),"Camp Hill, PA",$56K - $86K (Glassdoor est.),"EDUCATIONAL, CERTIFICATE and LICENSE REQUIREMENTS:
Bachelor’s Degree in Arts/Sciences (BA/BS) Computer Science, Information Technology, or related required.
EXPERIENCE, SKILL and ABILITY REQUIREMENTS:
Solution oriented, highly motivated and proactive self-starter.
7 years of experience in Mobile platforms with at least 5 years of professional iOS development experience required.
High level of technical acumen to support mobile development. Proven track record of developing & launching mobile products. required.
Strong grasp of information architecture and user experience best practices (both web and mobile). required.

Impact and relationships are critical to the continuned innovation of our digital platforms.

The primary purpose of this position is the design, development and enhancement of mobile applications.

The position will consult with business users, technology services teams and other Digital workstreams, working in an Agile/Scrum fashion to build highly scalable application. The role will also manage the APIs and micros services development and/or integrations.

This role will play a key role in transforming the iOS application to be best in class through technical mentoring and participating in architecture, design and solutioning. Frequent independent judgments are essential. The incumbent is also required to perform all tasks in observance of Rite Aid's brand and strategy and adhere to our core values and service attributes.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846adfcb4abb0aac1171d6f01c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_24562762&cb=1668240374718&jobListingId=1007853462221&jrtk=3-0-1ghldvirgma5k801-1ghldvis7i150800-251e02b8f364c288-
"['Rite Aid', '2.9']",http://www.envisionrx.com/,Software Engineer 2 (Remote),"Camp Hill, PA",$56K - $86K (Glassdoor est.),"EDUCATIONAL, CERTIFICATE and LICENSE REQUIREMENTS:
Bachelor’s Degree in Arts/Sciences (BA/BS) Computer Science or Engineering required.
EXPERIENCE, SKILL and ABILITY REQUIREMENTS:
2 years of experience in Design, develop and deployment of software solutions required.
Experience in DOTNET, SQL, SSIS, coding and maintaining APIs considered a plus preferred.
Experience in IBM mainframe and DB2 required.
JOB DESCRIPTION:
The Software Engineer 2 participate in medium level complex aspects of the software development lifecycle, which includes estimating, technical design, implementation, documentation, testing, deployment, and support of the application. As an individual contributor working in a team environment, you will work with business teams on interpretation/translation of wireframes and creative designs into functional requirements, and subsequently into technical design.",30d+,
,,Software Engineer 2 (Remote),"Camp Hill, PA",$56K - $86K (Glassdoor est.),,30d+,
['Tekaccel Inc.'],http://tekaccel.com/,Registered Pharmacist,"Mechanicsburg, PA",$77K - $112K (Glassdoor est.),"Position Highlights:
The primary purpose of this position is to assist customers with their health care needs by filling prescriptions, providing clinical services and excellent customer service while supervising Pharmacy associates. Frequent independent judgments are essential. All duties described in this document are to be performed in keeping with the core values and service attributes consistent with the Rite Aid brand and strategy.
The associate is responsible for the functions below, in addition to other duties as assigned:
Ensure the accuracy and appropriateness of all prescriptions filled by completing Drug Utilization Review and Final Quality Assurance, applicable to state and federal Board of Pharmacy regulations.
Build profitable business and script growth through recommended clinical programs including appropriate immunization and when available MTM (Medication Therapy Management), DCS (Diabetes Care Specialist), and all ongoing other programs as identified.",23d,
"['Rite Aid', '2.9']",http://www.envisionrx.com/,Registered Pharmacist,"Mechanicsburg, PA",$77K - $112K (Glassdoor est.),"Job Description
The primary purpose of the Field Services Specialist is to ensure quality delivery of services to Rite Aid locations; functioning as a liaison between Store Associates and the enterprise. Specialists must maintain a deep understanding of processes, functions, and assets in all areas of technology services. Position can be located anywhere from Northern California to Washington State.
Install new technology in designated pilot locations as a proof of concept, procedure and documentation review. Support Development and QA teams with front-line testing and feedback to provide a seamless customer experience.
Verify vendor results by conducting system audits
Provide helpdesk and technical support either by phone, remote access, or site visits",30d+,
"['Rite Aid', '2.9']",http://www.envisionrx.com/,Registered Pharmacist,"Mechanicsburg, PA",$77K - $112K (Glassdoor est.),"The primary purpose of this position is to assist customers with their health care needs by filling prescriptions, providing clinical services and excellent customer service while supervising Pharmacy associates. Frequent independent judgments are essential. All duties described in this document are to be performed in keeping with the core values and service attributes consistent with the Rite Aid brand and strategy.
The associate is responsible for the functions below, in addition to other duties as assigned:
Ensure the accuracy and appropriateness of all prescriptions filled by completing Drug Utilization Review and Final Quality Assurance, applicable to state and federal Board of Pharmacy regulations.
Build profitable business and script growth through recommended clinical programs including appropriate immunization and when available MTM (Medication Therapy Management), DCS (Diabetes Care Specialist), and all ongoing other programs as identified.",23d,
"['Rite Aid', '2.9']",http://www.envisionrx.com/,Registered Pharmacist,"Mechanicsburg, PA",$77K - $112K (Glassdoor est.),"The primary purpose of this Pharmacy Manager (RpH) position is to oversee the daily activities of the Pharmacy department within a retail store. Additionally, to assist customers with their health care needs by filling prescriptions and providing excellent customer service. The incumbent is also required to perform all tasks in a safe manner consistent with corporate policies and state and federal laws.
The associate is responsible for the functions below, in addition to other duties as assigned:
Ensure the accuracy and appropriateness of all prescriptions filled by completing Drug Utilization Review and Final Quality Assurance, applicable to state and federal Board of Pharmacy regulations.
Build profitable business and script growth through recommended clinical programs including appropriate immunization and when available MTM (Medication Therapy Management), DCS (Diabetes Care Specialist), and all ongoing other programs as identified.",30d+,
"['Medical Recruitment Strategies', '1.8']",http://www.medicalrecruitmentstrategies.com/,Registered Pharmacist,"Mechanicsburg, PA",$77K - $112K (Glassdoor est.),"10/31/22 to 04/01/23
GREENCASTLE - 23019:00 AM9:00 PM30Intermittent NeedContract Weeks: 22 Guarantee 24 Days: Sun, Mon, Tue, Wed, Thu, Fri, Sat

The primary purpose of this position is to assist customers with their health care needs by filling prescriptions, providing clinical services and excellent customer service while supervising Pharmacy associates. Frequent independent judgments are essential. All duties described in this document are to be performed in keeping with the core values and service attributes consistent with the Rite Aid brand and strategy.
The associate is responsible for the functions below, in addition to other duties as assigned:
Ensure the accuracy and appropriateness of all prescriptions filled by completing Drug Utilization Review and Final Quality Assurance, applicable to state and federal Board of Pharmacy regulations.",24h,
,,Registered Pharmacist,"Mechanicsburg, PA",$77K - $112K (Glassdoor est.),,30d+,
