Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Ross Stores', '3.3']",http://www.rossstores.com/,Supply Chain Application Developer,"Moreno Valley, CA",$70K - $104K (Glassdoor est.),"Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!
GENERAL PURPOSE:

The Supply Chain Application Developer serves as systems expert responsible for helping Supply Chain identify data / system needs and develops applications to address those issues. This person plays the critical link ensuring that Supply Chain Business applications/Tools/Reports are properly aligned and built/maintained in compliance with IT technical support team's specifications. As a systems functionality expert, this person also plays a role in ensuring the quality of enhancements and defect fixes as well as ensuring that applications and development are robust to support future growth while maintaining compliance to rules/regulatory IT requirements. The role requires an individual that has a high attention to detail, aptitude to understand both business and technical needs and strong interpersonal skills.









None


This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.

#hybrid",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c197e96bd404e06127c5191&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_82923bec&cb=1668260931371&jobListingId=1007684696654&jrtk=3-0-1ghm1ivm6jiis801-1ghm1ivmoi14k800-97867caa5d433166-
"['Ross Stores', '3.3']",http://www.rossstores.com/,Supply Chain Application Developer,"Moreno Valley, CA",$70K - $104K (Glassdoor est.),"Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!
GENERAL PURPOSE:
The DAM Solutions engineer is responsible for the engineering customization and ongoing enhancement implementations for our Digital Asset Management (DAM) platform and custom solutions. This role will report to the Technical Manager on the End User Productivity Digital team. They will work with multiple technical teams, such as architecture, security and business analysts. In addition, they will interface with business departments, such as Merchants and Marketing.














:
































Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.
This role requires regular in-office presence, including to engage in in-person team interaction, meetings and collaboration, client support, mentoring, coaching, and/or feedback. However, this role can perform duties effectively using a combination of in-office and remote work.


None


This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.

#Hybrid",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c197e96bd404e06127c5191&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_20a08a75&cb=1668260934272&jobListingId=1007870334808&jrtk=3-0-1ghm1ivm6jiis801-1ghm1ivmoi14k800-5264acf0bb14e3a4-
"['Ross Stores', '3.3']",http://www.rossstores.com/,Supply Chain Application Developer,"Moreno Valley, CA",$70K - $104K (Glassdoor est.),"Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!
GENERAL PURPOSE:
The Engineer I is responsible for DevOps capabilities, such as environment provisioning and configuration, build and release automation and CI/CD pipeline management to support custom application development, testing and deployment. This role will report to the IT Manager in this space. They will work with multiple teams, such as architecture, security, development, testing and infrastructure to ensure continuous operation of build and test systems.




























































Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.
This role requires regular in-office presence, including to engage in in-person team interaction, meetings and collaboration, client support, mentoring, coaching, and/or feedback. However, this role can perform duties effectively using a combination of in-office and remote work.


N/A


This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.

#Hybrid",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c197e96bd404e06127c5191&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2440d759&cb=1668260938100&jobListingId=1007988620139&jrtk=3-0-1ghm1ivm6jiis801-1ghm1ivmoi14k800-78d03160926a3945-
"['Ross Stores', '3.3']",http://www.rossstores.com/,Business Analyst,"Fort Mill, SC",$59K - $84K (Glassdoor est.),"Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!
GENERAL PURPOSE:
The Business Analyst serves as a key interface between the business groups teams and IT. A key component is responding to inquiries from the Transportation systems users on functional and technical features. In addition, the position is responsible for gathering user requirements, creating functional requirements, assisting in the development process, ensuring the system meets the functional and user interface specifications, and guiding the business through use of the application.



o Understand business processes within transportation and how systems enable the business processes.
o When issues and/or outages occur, perform troubleshooting, provide support, and send communications to help resolve issues.

o Gather and document project risks and provide recommendations to project leadership or management on longer-term solutions.
o Gather and document project status updates from responsible parties and present to project leadership or management.
o Collect and consolidate data from responsible parties to be used for reporting and dashboard creation.

o Create and analyze process flow documents of diverse scope by networking with users.

o Develop partnership acting as a liaison between security, technical and business teams to understand, troubleshoot, interpret and advise on technical questions or business use cases.
o Document functional and other requirements based on customer or business partner feedback on moderately complex projects.

o Manage meetings, issue resolution, escalation, etc. for the project team during the design and build phases of moderately complex projects.
o Develop the understanding of strengths/limitations various tools and technologies available.
o Allocate documentation activities to members of the team and self of all test-related deliverables including test approach, test scenarios, test cases/conditions, test scripts, and test results
o Drive test execution throughout all phases of testing (i.e. unit, end-to-end, integration, performance, operational readiness, user acceptance.) for small to moderately complex projects.
o Suggest alternate methods of data gathering and/or data presentation.

o Collaborate with key stakeholders to define the release and deployment plans.
o Lead post deployment validation as instructed by project leadership or management.

:
































Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.
This role requires regular in-office presence, including to engage in in-person team interaction, meetings and collaboration, client support, mentoring, coaching, and/or feedback. However, this role can perform duties effectively using a combination of in-office and remote work.


N/A

:
This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.

#Hybrid",24d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846c19f10ba0071bbe580db073&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_55d7f571&cb=1668260960735&jobListingId=1008216066126&jrtk=3-0-1ghm1jsb6ma4p801-1ghm1jsboi3af800-182e379e5106daf0-
"['Ross Stores', '3.3']",http://www.rossstores.com/,Business Analyst,"Fort Mill, SC",$59K - $84K (Glassdoor est.),"Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!
GENERAL PURPOSE:
The DAM Solutions engineer is responsible for the engineering customization and ongoing enhancement implementations for our Digital Asset Management (DAM) platform and custom solutions. This role will report to the Technical Manager on the End User Productivity Digital team. They will work with multiple technical teams, such as architecture, security and business analysts. In addition, they will interface with business departments, such as Merchants and Marketing.














:
































Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.
This role requires regular in-office presence, including to engage in in-person team interaction, meetings and collaboration, client support, mentoring, coaching, and/or feedback. However, this role can perform duties effectively using a combination of in-office and remote work.


None


This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.

#Hybrid",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846c19f10ba0071bbe580db073&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_19d03315&cb=1668260962530&jobListingId=1007870334808&jrtk=3-0-1ghm1jsb6ma4p801-1ghm1jsboi3af800-5264acf0bb14e3a4-
"['Ross Stores', '3.3']",http://www.rossstores.com/,Business Analyst,"Fort Mill, SC",$59K - $84K (Glassdoor est.),"Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!
GENERAL PURPOSE:
The Senior Business Analyst is responsible for working with Transportation business teams and IT to ensure systems stability while addressing requests for new functionality. A key component is responding to inquiries from the Transportation systems users on functional and technical features. In addition, the position is responsible for gathering user requirements, creating functional requirements, assisting in the development process, ensuring the system meets the functional and user interface specifications, and guiding the business through use of the application.



o Understand business processes within transportation and how systems enable the business processes.
o When issues and/or outages occur, perform troubleshooting, provide support, and send communications to help resolve issues.
o Evaluate (1) business modification requests (2) IT changes both application and architectural and (3) security vulnerabilities to determine feasibility and priority.
o Work with IT leadership to prioritize work and coordinate the priority with the AM and IM teams.
o Attend meetings with software vendors to address open issues and enhancement requests.
o Provide input on vendor and system performance and identify areas of improvement.
o Review and provide analysis on efficiencies, data integrity, process improvements opportunities and integration of new system processes.
o Work with external partners to support integration activities including EDI setup, web certificate renewals, new integration flows and data requests.
o Lead post deployment validation as instructed by project leadership or management.
o Review and modify data gathering and data presentation.
o Drive and confirm testing results of software changes prior to deployment. Assist with documentation on Change Orders with AM teams.
o Perform documentation activities with members of the team for all test-related deliverables including test approach, test scenarios, test cases/conditions, test scripts, and test results.

o Identify, create and analyze process flow documents of diverse scope by networking with users.

o Develop partnership acting as a liaison between security, technical and business teams to understand, troubleshoot, interpret and advise on technical or functional questions
o Partner with IT leadership to manage business requests.








































Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.
This role requires regular in-office presence, including to engage in in-person team interaction, meetings and collaboration, client support, and feedback. However, this role can perform duties effectively using a combination of in-office and remote work.


N/A


This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.

#Hybrid",15d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846c19f10ba0071bbe580db073&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c33e010b&cb=1668260966423&jobListingId=1008239041513&jrtk=3-0-1ghm1jsb6ma4p801-1ghm1jsboi3af800-fd525900fa7cd9e4-
"['Ross Stores', '3.3']",http://www.rossstores.com/,Business Analyst,"Fort Mill, SC",$59K - $84K (Glassdoor est.),"Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!
GENERAL PURPOSE:
The IT Manager is responsible for leading projects that apply new or existing technologies and solutions to solve business needs. Works with the IT and business management teams to define overall technical direction. Partners with the business to determine system needs, influencing and guiding the change process from concept to implementation. Coordinates the efforts of internal and external staff, and of key business partners in the support of existing production systems and in the execution of new system projects. Serves as a functional and/or technical expert in one or more disciplines.










:















Functional Knowledge


Problem Solving

Customer Focus


























Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.
This role requires regular in-office presence, including to engage in in-person team interaction, meetings and collaboration, client support, mentoring, coaching, and/or feedback. However, this role can perform duties effectively using a combination of in-office and remote work.


N/A


This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.

#Hybrid",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846c19f10ba0071bbe580db073&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_da65101b&cb=1668260970274&jobListingId=1007849123765&jrtk=3-0-1ghm1jsb6ma4p801-1ghm1jsboi3af800-6e3027e025c2c6df-
"['Ross Stores', '3.3']",http://www.rossstores.com/,Business Analyst,"Fort Mill, SC",$59K - $84K (Glassdoor est.),"Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!
GENERAL PURPOSE:
The Security Risk Analyst is responsible for executing IT risk management processes within Ross. This includes performing risk assessments, tracking mitigation efforts and developing risk metrics and risk reports. This position is also responsible for executing security risk related projects and programs, such as monitoring DLP events, third-party risk assessments, updating security policies and procedures and executing security awareness programs.















































Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.
This role requires regular in-office presence, including to engage in in-person team interaction, meetings and collaboration, client support, mentoring, coaching, and/or feedback. However, this role can perform duties effectively using a combination of in-office and remote work.

This is a hybrid role based out of Dublin, CA.


N/A


This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.

#Hybrid",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846c19f10ba0071bbe580db073&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bbc1155d&cb=1668260973146&jobListingId=1007967076432&jrtk=3-0-1ghm1jsb6ma4p801-1ghm1jsboi3af800-c1c1fc4d8db0c7c6-
"['Ross Stores', '3.3']",http://www.rossstores.com/,Business Analyst,"Fort Mill, SC",$59K - $84K (Glassdoor est.),"Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!
GENERAL PURPOSE:

The Ross Investigative and Safety Center (RISC) is located at our Dublin, CA Corporate Campus and operates 24 hours a day, 7 days a week and 365 days a year.

The RISC is a Global Security Operations, Crisis and Communications Center that operates as the central point of intelligence, threat analysis/response and crisis communications for the company. We monitor, analyze, respond, and communicate global threats, natural disasters, severe weather events, travel safety, and operational security developments that may affect the operations at Ross and/or our dd's brand.


An Analyst is excellent at assessing emerging situations and life safety threats, while making sound and split-second decisions to ensure an effective response. The scope of responsibility will include geopolitical and reputational risk, terrorism, social and political activism, crime and fraud, political stability, economic uncertainty, cultural and societal trends and risks.



o Monitoring intelligence platforms and highly sensitive company databases
o Conduct open source research, analysis and response actions needed
o Coordinate company-wide resource deployments to high-risk areas (i.e., police, security guards, mobile security stations, international assistance and security protection services, etc.)
o Intake, triage and respond to Site alarms and incidents (deploying resources for burglaries, robberies, etc.)
o Ensuring safety of travelers globally, to include coordinating security assessments, deploying resources when needed and conducting pre-trip advisories
o Leading critical training and awareness initiatives as emerging trends form (i.e. phishing processes, missed deposits, etc.)





















































Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.
This role requires full-time in-office presence, including to engage in in-person team interaction, meetings and collaboration, client support and/or feedback.



None



This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.

Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.",24h,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846c19f10ba0071bbe580db073&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_eb56ee87&cb=1668260976994&jobListingId=1008274903034&jrtk=3-0-1ghm1jsb6ma4p801-1ghm1jsboi3af800-b94725c45490b72e-
"['Ross Stores', '3.3']",http://www.rossstores.com/,Business Analyst,"Fort Mill, SC",$59K - $84K (Glassdoor est.),"Welcome to Ross Stores, Inc., where our differences make us stronger… At Ross and dd’s, inclusion is a way of life. We care about our Associates and the communities we serve and we value their differences. We are committed to building diverse teams and an inclusive culture. We respect and celebrate the diversity of backgrounds, identities, and ideas of those who work and shop with us. Come join us as we continue our diversity, equality and inclusion journey!
GENERAL PURPOSE:

The Sr Applications Analyst (Merchandising / GTM/ Custom Dev) is responsible for providing ongoing system support, influencing bug fixes, enhancements and projects that apply new or existing technologies and solutions to solve business needs.






ESSENTIAL FUNCTIONS:
























































Job requires ability to work in an office environment, primarily on a computer.
Requires sitting, standing, walking, hearing, talking on the telephone, attending in-person meetings, typing, and working with paper/files, etc.
Consistent timeliness and regular attendance.
Vision requirements: Ability to see information in print and/or electronically.
This role requires regular in-office presence, including to engage in in-person team interaction, meetings and collaboration, client support, mentoring, coaching, and/or feedback. However, this role can perform duties effectively using a combination of in-office and remote work.


N/A


This job description is a summary of the primary duties and responsibilities of the job and position. It is not intended to be a comprehensive or all-inclusive listing of duties and responsibilities. Contents are subject to change at management's discretion.
Ross is an equal employment opportunity employer. We consider individuals for employment or promotion according to their skills, abilities and experience. We believe that it is an essential part of the Company's overall commitment to attract, hire and develop a strong, talented and diverse workforce. Ross is committed to complying with all applicable laws prohibiting discrimination based on race, color, religious creed, age, national origin, ancestry, physical, mental or developmental disability, sex (which includes pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), veteran status, military status, marital or registered domestic partnership status, medical condition (including cancer or genetic characteristics), genetic information, gender, gender identity, gender expression, sexual orientation, as well as any other category protected by federal, state or local laws.

#Hybrid",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846c19f10ba0071bbe580db073&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f4e4d0c0&cb=1668260981070&jobListingId=1008092275584&jrtk=3-0-1ghm1jsb6ma4p801-1ghm1jsboi3af800-6556f5b04c616bf9-
