Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['ePayPolicy', '4.3']",http://www.epaypolicy.com/,Integration Specialist,"Austin, TX",$53K - $75K (Employer est.),"ePayPolicy is the leader in e-payments for the P&C insurance industry. We’ve built a payments platform to enable all our market segments to easily track, report, and send /receive payments to anyone at any time. Our clients include independent agents, premium finance companies, wholesalers, and carriers. By way of our cool inventions, we empower our clients to speed up receivables and bind business faster throughout the insurance purchasing process. By integrating with over twelve different industry management systems, our clients immediately notice the ease-of-use purchasing experience and boosted productivity. Trusted by over 5,500 clients nationwide, ePayPolicy makes insurance payments super easy.
We’re based in Austin, TX and have clients in the US and Canada. Founded in 2014, we have the support and backing of Serent Capital, one of the top private equity firms in the US that invests in high-growth software and services firms and manages over $2B in committed capital.
We’re looking for an who is obsessed with delivering world-class service to join our vibrant company that’s growing fast. This role will be a key-player on our support staff and tasked with responding to customer inquiries lighting fast while being available at a moment’s notice when customers call for help.",30d+,
,,Integration Specialist,"Austin, TX",$53K - $75K (Employer est.),,11d,
['VForce InfoTech'],,Integration Specialist,"Austin, TX",$53K - $75K (Employer est.),"About the Company: -
The mission of VForce InfoTech is to provide world-class technology solutions to our clients. VForce Infotech provides exceptional, experienced individuals to our clients at great value. What differentiates VForce Infotech from our competitors is our focus on developing strong and lasting relationships with our clients.
Benefits Of Joining V-force: -
We have an upcoming project & we are in the hiring process, 0-5 Years of experience as a Python/Angular
Free Training is Provided On Python on the current projects.
We accept all work authorization categories. (OPT, EAD'S, GC, Citizen)",30d+,
"['The Salvation Army', '3.4']",http://www.salvationarmy.org/,Integration Specialist,"Austin, TX",$53K - $75K (Employer est.),"Do you want to use your skills and talents to make a lasting difference in the world? The Salvation Army Central Territory Headquarters is seeking a motivated and experienced professional to join our Community Relations & Development Department as a Salesforce Developer. The Salvation Army is one of the largest charities in the United States and is an international organization based on Biblical principles created to help people in need. We are mission-driven, diverse, collaborative, and focused on positive results for people. Join our team to help support our mission by Doing the Most Good!
Central Territory Headquarters LI
The Salesforce Developer will develop customized solutions within the Salesforce platform including analyzing project objectives, creating customer workflows, and troubleshooting errors. Must create dynamic and scalable Salesforce applications that meet the changing needs of the organization.",7d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846a7de4e2a6cde87dbe6664c7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_d2796ad2&cb=1668233962984&jobListingId=1008258266397&cpc=7F6F94E2229B3AB5&jrtk=3-0-1ghl7rp8umbgs801-1ghl7rp9jghqn800-6b024ba835ea2c32--6NYlbfkN0A2tbi2cDMXla_72nFEMMu16PytJh_I7TY0l-JiQC6Z4TeTwD191Z-GdBzG9p8M1bTxBEhz04TsX32ZZWlzc5ZhlQRWzsuvQNgTVxhzQzyXTSO-C2aboB8rtUxwR610JOVws3sswb4YkCM04gZ52tbVYdBlDWwioDpuwPQC-ZVD1sOOEBCCUeXOhf-ZN2v1TD5QU0sgJmUS-xVRwBoSGTSKCvD-fhjrxu_UHmeVodzm9IHbnOHz1nycjFwiHuK3cHEtwoP7jmSXH1Uco67iTpGw_hHP5S8kbE5UDM3FeYXXw0SDZJ2LUXbbrvyMIKoM1iW_Z1LhRbRX3_PndP55VG43GuK9sclGZHFcBOAnEj8X-luEuQSCapgEpYkkyjBGIGXVt39DRpX__REKPirASPrqa7SkQPEbjuOZkLhoPir2QwcUPTPxBNC84rLqKdq3eLtiRCb-JWBgQQz9Z9qkKGHdh6OnevnVzx88HaTifKICnbKdD4D_32pmxLhaj0u5IyyV3Fc4q4GnNqY9gM-0mHo8yUKieJK8Az27fTEo5ccfebKvzR5BM_OzKmr8Pz0RG6Cyx89ZfZHv9VUMshlnMycrxsfDhGlFL-Txh5HPta49fw%3D%3D
"['The Computer Company, Inc']",,Integration Specialist,"Austin, TX",$53K - $75K (Employer est.),"Full Stack Programmer
We are looking for an outstanding Web Developer to be responsible for the coding, innovative design and layout of our website. Web developer responsibilities include building our website from concept all the way to completion from the bottom up, fashioning everything from the home page to site layout and function.
Responsibilities
Write well designed, testable, efficient code by using best software development practices
Create website layout/user interface by using standard HTML/CSS practices
Integrate data from various back-end services and databases",10d,
['10X Health System'],,Integration Specialist,"Austin, TX",$53K - $75K (Employer est.),"POSITION SUMMARY
The Director of Technology will streamline the deployment of critical systems that will transform and automate 10X Health’s processes. The role will serve as the lead architect for our Technology team. The ideal candidate will have at least 3 years’ experience in designing and implementing new systems, and work alongside the Operations team to ensure a smooth transition and anticipate any potential roadblocks. The Director of Technology will have the opportunity to recruit and develop an engineering team. This position is challenging due to the highly-regulated nature of healthcare, and more specifically high-volume, e-commerce focused nature of a Grant Cardone business. Selling healthcare services to groups of tens-of-thousands of physical, in-person customers or virtually to millions of Grant’s followers poses really unique challenges to a healthcare technology health stack.",4d,
"['KEY', '4.0']",http://key.co/,Integration Specialist,"Austin, TX",$53K - $75K (Employer est.),"KEY is leading a third wave in the travel industry by developing technology designed to revolutionize the delivery of local, curated experiences around the world. With KEY, concierge service with local knowledge is readily available at your fingertips wherever you stay, making travel effortless. With our proprietary recommendation engine, advanced technology platform and with our growing global concierge network, we help traveler’s make memories, not plans.
Your Role:
In your role, you will be responsible for developing business features and technical capabilities within KEY's Salesforce Service Cloud and Marketing Cloud instances and related data, services, and applications. You are highly familiar with our core data models and APIs in Salesforce and internal data systems and how Leads, Opportunities, Accounts, and Contacts map to key business processes in our Concierge Operation and Business Development groups. You will partner with Sales and Operations Leadership to identify, prioritize and execute the strategic roadmap of systems enhancements to drive scalability and operation efficiency in the business.",8d,
"['Resource Innovations', '3.8']",http://www.resource-innovations.com/,Integration Specialist,"Austin, TX",$53K - $75K (Employer est.),"Resource Innovations is seeking to hire a Software / Web Developer to join our growing team that is focused on delivering solutions to increase the adoption of energy efficiency and clean energy technologies. As a Software / Web Developer, you will build systems for data intake and develop integrations with internal and external (partner-facing) software systems. This is a unique opportunity to utilize your IT skills to have a meaningful impact in the clean energy space that will help solve climate change issues, while working for a great company.
Resource Innovations, with recently acquired Nexant, is a substantially woman-owned and woman-led energy consulting firm dedicated to creating equal access to clean resources through diverse partnerships. The company’s deep roots and broad expertise in resource efficiency, policy development, coalition & partnership building, and market-based technology support enable the delivery of highly successful energy programs. Nexant brings over 20 years of expertise in demand-side management, grid management and renewables as well as a comprehensive suite of software designed to support these initiatives.",9d,
"['DB Services', '4.3']",http://dbservices.com/,Integration Specialist,"Austin, TX",$53K - $75K (Employer est.),"Are you the person that people always ask to help them figure out technical problems? Built your own website? Maybe have some computer science background but more importantly are comfortable with technology and interested in what it can do for you? Do you have an eye for detail and design, and are you always trying to figure out how things can work better?
This is what we do every day, and we're looking for energetic, creative individuals to train to help us build custom database solutions for our clients. As a small company, our team enjoys a great deal of responsibility, independence and variety. We work with companies large and small, and we are good at juggling deadlines and priorities to keep a wide portfolio of clients happy.
RESPONSIBILITIES
Develop full stack applications in the FileMaker platform.",1d,
"['Capital One', '4.2']",http://www.capitalonecareers.com/,Integration Specialist,"Austin, TX",$53K - $75K (Employer est.),"Locations: US Remote, United States of America
Lead Software Engineer, Salesforce - Financial Services Technology (Remote)
Do you love building and pioneering in the technology space? Do you enjoy solving complex business problems in a fast-paced, collaborative, inclusive, and iterative delivery environment? At Capital One, you'll be part of a big group of makers, breakers, doers and disruptors, who love to solve real problems and meet real customer needs. We are seeking Salesforce Software Engineers who are passionate about marrying data with emerging technologies. As a Capital One Software Engineer, you’ll have the opportunity to be on the forefront of driving a major transformation within Capital One.

What You’ll Do:


Location is New York City
Location is Colorado
No agencies please. Capital One is an Equal Opportunity Employer committed to diversity and inclusion in the workplace. All qualified applicants will receive consideration for employment without regard to sex, race, color, age, national origin, religion, physical and mental disability, genetic information, marital status, sexual orientation, gender identity/assignment, citizenship, pregnancy or maternity, protected veteran status, or any other status prohibited by applicable national, federal, state or local law. Capital One promotes a drug-free workplace. Capital One will consider for employment qualified applicants with a criminal history in a manner consistent with the requirements of applicable laws regarding criminal background inquiries, including, to the extent applicable, Article 23-A of the New York Correction Law; San Francisco, California Police Code Article 49, Sections 4901-4920; New York City’s Fair Chance Act; Philadelphia’s Fair Criminal Records Screening Act; and other applicable federal, state, and local laws and regulations regarding criminal background inquiries.",24h,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=000001846a7de4e2a6cde87dbe6664c7&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_fbd673f1&cb=1668233983456&jobListingId=1008275077788&cpc=F41FEAB56D215062&jrtk=3-0-1ghl7rp8umbgs801-1ghl7rp9jghqn800-78340e981aa21d3f--6NYlbfkN0C3j_zLGvpMLCdiZ0WC46XqVTA1VMZzOzKXPhAXwYlrNb9EbKZEg8x0tL4Jn_n-27VH1zKRpsA2uyvrxM8R0_EsfpVlSrh1BgLivpWzmHap9xzqUUoNahMJGkK85GjMKIBwBez8tn5O0rPPW74JHNhKO6T9NpFTDJNCeSODMhNVj-4W5vfN7MDpyOZkh6n7zR5Bq_KokQe-JqNuhrsKcBhUeoqfUcVt5t_f-zLrfeRDDnFDD94xOHzkUlfAE1QiY2dCmkdH5Dcl4YKdHMnawklDu6xTbG60YYfpGWi-Y9XSWh-sDy5trzqbZGzsV66_JCVU0GYuvqoXGIDmHV0SDSYrLt7YC9HoUoWcu8Z8s4TIOYv2qSVYKo6hnRtXGurI753IOLasQ4S2J8j3328knJUHxuHpGJVnr_TDExo_S3uzScPVqgCHX4SI5yFwn3lQUDY%3D
