Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Rooms to Go', '3.7']",http://www.roomstogo.com/,Senior UX Designer,"Atlanta, GA",$83K - $115K (Glassdoor est.),"Senior UX Designer

We are seeking an individual with passion and skill for creating great customer experiences with a deep understanding of users' needs. We need someone that can take complex problems and turn them into compelling strategies. Candidate will need a strong sense of empathy as well strong creative, technical, and problem-solving skills.

We're looking for someone to be involved in the strategy and planning as well as execution, understanding business goals and executing on that vision and purpose. This will require an adaptive approach, thinking beyond wireframes and workflows to deliver a more holistic user journey.

The candidate will present design concepts, user needs, and design rationale to multidisciplinary teams, as well as to key stakeholders and business partners.

We're looking for someone able to multi-task and manage multiple timelines. This person performs tasks effectively, develops collaborative relationships with team members, displays clear communication and acts proactively and professionally.

You will report to the Manager of User Experience, who supports user experience for web & mobile app.















Founded in 1991, Rooms To Go is one of the largest and fastest growing furniture retailers in the US with over 250 stores in ten southern states, eight distribution centers and an e-commerce business. Rooms To Go offers a collaborative work environment within a supportive culture.



Rooms To Go is an equal opportunity employer. We do not discriminate in hiring or employment against any individual on the basis of race, color, gender, national origin, ancestry, religion, physical or mental disability, age, veteran status, sexual orientation, gender identity or expression, marital status, pregnancy, citizenship, or any other factor protected by anti-discrimination laws

Applicants must be authorized to work in the U.S.",18d,
"['Blizzard Entertainment', '3.7']",https://careers.blizzard.com/,Senior UX Designer,"Atlanta, GA",$83K - $115K (Glassdoor est.),"Team Name:
Overwatch
Job Title:
Senior Software Engineer, Gameplay (UI) (Open to Remote) - Overwatch
Requisition ID:
R011183
Job Description:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846afac4be84eb084ef258305c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_965c6d63&cb=1668242151020&jobListingId=1007514989691&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlflh7im6r8801-1ghlflh86grgv800-bdb2d88e2c1fadaf--6NYlbfkN0BJK7A4HLs-T65xz-NWoX08neJE6YuqP3WpQCS3sVSU4f01wRxeDEqGCbQ3auiR_-mMDlVANsBLI822R8frdGWh8OsqFT1tpkyLPbKxf1m56obRY-9R4za1g4_MMzTcaxRu373JOx2XywUeS82AVjSEutKmmYm_sukI3tpBBpXR9K9oGa0jp1Htdp9eao4OYvIXnrBF6piPWU4WzqO_XZndp0Q6MCycoN1b1vFoxk6cWF_x4H3uT5kfBhHnyiLOpLjwJrZIYMit7tmAyC3H068FoZiLO9W_aBU69W_6iSMbGpgME9qijhHZI4uBXqrsI8u9W6p3Qmgd5FOGNhrGFoQnKRT28Gd_Da2Y0fpwzxY5NBRHjroMnArTeJmGnHW9RTrSu-MlRcqEuFJjZzDzqzWtxbZ5PlSG3b1Oa2xrdKPrEaptdSz9H-EBPQY_uuuZXiSZ_ovWAeX-VIJ0zPKAX3txOsvhf6ulEi77FWH7hdIzFpmPQXQpFjee4w1XGBGTsgAGPknfDbAeCeo-yXCquN-C3YHdRAGFBQXVdPH68dNN4vbY9iLodEGP53Owa5-31v_pyYx1-vLjoDPODjCUNzuxnh0K-WZVT2ovx3MpRgxyD3UEJU70mepMVafhlRQ8i76bSfkNSoiu6Ih05nPCvNxg_abdLPZ_1X7Xxnu6FYaugpIflTxxfVgkLEA6CuGWF8iX8N2ks_91Iw9JX-BMDvxjXSLFpsm1R5SnmWCPDGczG7ONCeMc6Q03s_2MmLVtklwXGZlv2BKHZgzRS99D78oYlB7kXkYPyxBciPTUpKsLd0l6e7jkCUYv4KdzZZ_G58w%3D
"['Florida Southern College', '3.2']",http://www.flsouthern.edu/,Senior UX Designer,"Atlanta, GA",$83K - $115K (Glassdoor est.),"The College’s web team is housed within the Office of Enrollment Management and works as part of a team of marketing and communication professionals that lead the College website, social channels, as well as print and digital marketing strategies. The web developer reports to the Director of Enrollment Communications and assists with managing all aspects of the College website, from layout to function. The position requires evaluating user needs, where developer will strive to create sites that feature user-friendly design and functionality. Candidate must have a strong understanding of UI, cross-browser compatibility, general web functions and standards.
ESSENTIAL FUNCTIONS
1. Responsible for designing, coding and modifying websites, from layout to function.
2. Evaluate user needs to develop visually appealing sites that feature user-friendly design and clear navigation",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846afac4be84eb084ef258305c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b1ea9e88&cb=1668242153707&jobListingId=1008081368744&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghlflh7im6r8801-1ghlflh86grgv800-c75d1d3682f3090c--6NYlbfkN0DswSnGp4hb4V7UXJTXvqMZD1ZyEoLLrfYAEejPuN5ty5xpg23aYvYn6UPKSLTsjQKmGwFl6NUmsp2sbJmFxtQNCTdtWh8iSbRz-xjcESQfCVdiaHDYY7wRb5UJkcrSx8ZYL-2mM8694uxsN001kIGCCBS3q53nDSh0ttZ8UPn1IciuLBigev5LuCK-oc6vlw62Gh68-fGZmm0ffFPtNm35WbTtAU-c5MizTp9wjPDbqW_A6KB8QL1MHgNH4oW9P5mcOBieUjYb5bxWH_19qZXv3wmmbuuSGNQM1Hyd8jisUZWlybFv7C7QLvgabg8RySSrISyD3GoBhcJtyGprvFP2dFLoaZAhn8zGeDnJmVW-mfensC2TBjurWSU9xL3GPCECllxPwXNCzXw8-EZ-gqK3LWNzONVIg3jpUAONq2XRBhgRSZ-HIbu5tTH_cJZWJ9iJbZjmHgzxchT68qbWo-f_vvXGptfnMy38bh1Li4UgdtGYVn4kV67csxr97IWXwzkV6Lw7LWeljw%3D%3D
"['Alexander Technology Group', '4.4']",http://www.alexandertg.com/,Senior UX Designer,"Atlanta, GA",$83K - $115K (Glassdoor est.),"JOB SUMMARY
Alexander Technology is seeking a UI/UX Designer for a client located in Southern NH. This is a full time opportunity with remote flexibility, benefits and time off.

Responsibilities for UI/UX Designer:
Create mockups and prototypes
Work with stakeholders, customers and product management to develop new features and products
Collaborate with software team to refine designs
Requirements for UI/UX Designer:



#LI-JD1
ATG456",8d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846afac4be84eb084ef258305c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_00d47b65&cb=1668242156654&jobListingId=1008255521294&jrtk=3-0-1ghlflh7im6r8801-1ghlflh86grgv800-c712e03ff4b31169--6NYlbfkN0Avftd6jsqiWrKyZssmiLKhk4_EZe-NnSIBQVtPsReCG7jCM-LcLwSbOAvDOC6cdpPM67zlcH9pCCA-aOQczJYAbV2A80m_FNwH0cguq-iHuR7HenstxgvK0D8dryyeOtjF4d9n0TEiOXtHQ81DfIcay1wjQnCNTJ7DTrv6vXmVoem-Rdwci2JkP8JErZAxWUw2uSaThPwYmgUUNExQ8nXRljeoExnf0h7MOuuy0LrwB_w7YNLd2Qx2ZYxmBUayErP5Lod47KhzXM6xCWkD_I1C6_vzZ5Po9GWHx9kDNmO1tTgoOFJ7uqwhoQY-U8CIknqp-PccGFx-u2GyxoiZyTfn7Dpv4KbV599--HXs-iVn-hWkO79w7zxWml79WSWJKxenUU0zYQ13kUaQT3HCr27yzBfz0uSpwgcik3v-mbhq7UWFumeSo_h90zoLyOoasUE86Dm-Mo7ICFECMS37ZkALnL-K0vnrM5QNhyWskXD5hA%3D%3D
"['USC', '4.3']",http://www.usc.edu/,Senior UX Designer,"Atlanta, GA",$83K - $115K (Glassdoor est.),"The Annenberg Inclusion Initiative at the USC Annenberg School for Communication and Journalism is the leading global think tank studying inclusion in entertainment. We work on original research and sponsored projects, and advocate for underrepresented communities. The Initiative is seeking a UX Designer to facilitate the creation of a web-based platform for research.
The UX Designer will be responsible for coordinating the design of a website from conception through launch. The Designer will work collaboratively with Annenberg Inclusion Initiative staff to understand the scope of research, the goals of the site, and to ensure a functional, informative, and accurate site is created. The Designer will be involved in the research process, including testing the site design and usability, soliciting feedback from the team and other users as needed.
Role & Responsibilities
Designs, tests, and implements website content to support Annenberg Inclusion Initiative research.

Minimum Education: Bachelor's degree Additional Education Requirements Combined experience/education as substitute for minimum education Minimum Experience: 2 years Minimum Skills: Proven record of designing and delivering end-to-end, user-centered products. Experience designing and prototyping multiple tools with different levels of interactivity. Able to create informed designs by leveraging user research, market analysis, data, customer feedback, and both technical opportunities and constraints. Experience in design using Web Content Accessibility Guidelines (WCAG), with adherence to design and/or human interface guidelines. Knowledge of Lean and/or Agile methodologies, and an understanding of front-end web technologies including HTML, CSS, JS, or other programming languages. Excellent written and oral communication skills, with experience presenting technical topics to non-technical audiences. Proven ability and experience establishing strong, positive working relationships and rapport with diverse groups of team members and clients. Preferred Education: Bachelor's degree Computer Science Or Bachelor's degree Computer Information Systems Or Bachelor's degree Information Science Preferred Experience: 4 years designing and delivering end-to-end, user-centered products, and prototyping multiple tools with different levels of interactivity",3d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846afac4be84eb084ef258305c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_99efc051&cb=1668242158536&jobListingId=1008265117099&jrtk=3-0-1ghlflh7im6r8801-1ghlflh86grgv800-365fea1acdc10c52-
"['USC', '4.3']",http://www.usc.edu/,Senior UX Designer,"Atlanta, GA",$83K - $115K (Glassdoor est.),"As the USC Annenberg School for Communication and Journalism embarks upon a new era of data driven decision making and workflow optimization, with a new Salesforce CRM and BI solution, we are searching for an enthusiastic and organized salesforce application specialist to join our dynamic and collaborative Technical Services and Operations team.
As the Senior Salesforce Application Specialist (Application Administrator Sr.), you will lead the ongoing development of our salesforce.com deployment, drive successful utilization, and maintain a highly customized salesforce CRM and analytics integration.
The successful candidate will have a record of success in improving processes and user adoption. The specialist will work closely with functional leaders, operational units, and subject matter experts to identify develop and deploy new business processes and corresponding salesforce applications including: Admissions, Scholarship Management, Marketing and Events, Operations, and our core student focused business processes. This role is part technical project manager, part application designer/developer, and part data analyst.

Minimum Education: Bachelor’s degree; Combined experience/education as substitute for minimum education Minimum Experience: 5 years Minimum Field of Expertise: Extensive experience in design, architecture, and implementation of SaaS software applications. Extensive experience with web-based, multi-layered enterprise applications, and thorough understanding of networking and security concepts and frameworks. Experience with vendor management, issue tracking and ticketing systems, particularly related to issue escalation and troubleshooting. Extensive experience managing application credentials, an active directory, and contributing to the development of best-practice policies and procedures. Extensive, demonstrated experience assigning and configuring user permissions, and adhering to the software development lifecycle (SDLC) methodology. Experience working in a project-based environment, with solid planning and execution skills, and the ability to prioritize work and manage time. Excellent written and oral communication skills, and the ability to provide both detailed information and high-level summaries to key stakeholders. Ability to comply with pertinent policies, procedures, regulations, and requirements, and quickly troubleshoot problems that may arise in work products. Working knowledge of large, complex IT systems, with the ability to develop positive working relationships and strong rapport with team members and stakeholders.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846afac4be84eb084ef258305c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cd475c6b&cb=1668242161510&jobListingId=1008141871250&jrtk=3-0-1ghlflh7im6r8801-1ghlflh86grgv800-8de33686ce74c0b7-
"['Mint Mobile', '3.9']",http://www.mintmobile.com/,Senior UX Designer,"Atlanta, GA",$83K - $115K (Glassdoor est.),"MINT MOBILE is seeking a talented UI/UX Web Designer to join the Creative Team in Costa Mesa, CA! Individual reports to UX/UI Design Director. Role is hybrid.
This role is a hybrid opportunity that requires a local commutable in (Orange County, Los Angeles County or San Diego County) distance to the HQ Costa Mesa, CA office as needed.
ABOUT THE ROLE
As a UI/UX Web Designer, you are not afraid of a blank whiteboard – in fact, it excites you. You're confident and know exactly what's needed to get a concept to the next great launch. Whether you're pushing the pixels yourself or working with a team, your standards for delivering on brand goals are unwavering. You work as a team player and recognize the value of differing perspectives, which allows you to approach problem-solving with an open mind.",30d+,
['Oxford American'],http://www.oxfordamerican.org/,Senior UX Designer,"Atlanta, GA",$83K - $115K (Glassdoor est.),"The Oxford American (OA) is a nonprofit literary organization with a national audience. We are devoted to exploring the cultural complexity of the American South through our quarterly print magazine, digital media, and live events. We have an outstanding opportunity for an experienced editor and project manager who is eager to think creatively about the OA’s future.
At a time when the Oxford American is expanding and evolving, this position also provides an opportunity for someone with strong initiative to contribute to the growth of our audience. Thus, a thorough knowledge of the Oxford American’s aesthetic and mission is a prerequisite.
The Multimedia Editor will have the option to report to the magazine’s main offices in Conway, Arkansas or work remotely. All factors being equal, preference will be given to candidates who can work from our Conway offices three days a week.
Primary Responsibilities",2d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846afac4be84eb084ef258305c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a9cd739e&cb=1668242165200&jobListingId=1008270397742&jrtk=3-0-1ghlflh7im6r8801-1ghlflh86grgv800-bba4612ec04bdc08-
"['MSC Cruises', '3.7']",http://www.msccruises.com/,Senior UX Designer,"Atlanta, GA",$83K - $115K (Glassdoor est.),"The eCommerce\/Web Content Strategist will be responsible to select and provision the right content to be used in msccruises.com and coordinate with brand, creative, product, and marketing for the consistent and effective use of brand guidelines and CMS\/UX capabilities. This position will possess thorough knowledge of web content authoring, production configuration, publishing, site architecture, and integration with the eCommerce funnel parameters that make products compelling and inspiring to users. Reporting to the eCommerce Product Manager, you will serve on a cross-functional team with eCommerce, marketing, creative, development, and testing teams to fulfill business requirements and accomplish marketing and communication objectives.

The successful candidate will have a keen eye to find striking content assets, CMS components, and templates, that combined will create a product platform that sells our offering in the most visually appealing way. Strong knowledge and understanding of CMS and other web and eCommerce platforms is required. Excellent interpersonal skills and a proactive approach to project management and execution.

MSC continues to offer flexibility to our employees and operates a hybrid schedule - 2-3 days in the office in either Fort Lauderdale or Miami

Bachelor of marketing, design, or related discipline

Background in Digital and eCommerce asset selection and adaptation to web to best position product value proposition

2+ years experience with CMS and developing templates, components, and visually appealing functionality

Experience with Photoshop, Figma and other design packages, as well as DAM and Content review Workflows

Thorough knowledge with implementing Web Content Authoring, Production, Configuration, Publishing, and site architecture

Hands-on experience with CMS implementation, upgrades & migrations

Ability to collaborate closely with cross-functional team

Basic knowledge in front end technologies like JSP, HTML, HTML5, CSS3, JavaScript and JQuery a plus

Oversee the daily management, monitoring, and maintenance of the website content and user journeys

Integrate and optimize backgrounds, images, video, SEO metadata, and tagging in adherence to best practices and stakeholder requirements.

Knowledge of how to use templates, components, and modules required to build site pages for efficiency, readability, and reuse

Conduct periodic content audits to ensure website quality and efficiency

Publishing and direct QA of all pages to discover capability gaps, define the problem statement, evaluate solution options, and makes recommendations

Create testing scripts, conduct regular test plans, and manage technical resolutions for resolution

Collaborate with all internal and external team members (designers, product owners, marketing, and content teams) to ensure appropriate website content aligns to the overall business strategy

Management of the content on multiple environments (pre-prod, stage), troubleshooting and delivering any CMS changes, especially when geared towards product showcasing

Oversee Sitecore component library system and train authors on proper methodologies to support stable, scalable, replicable CMS instanceVISA REQUIREMENTS (if any)

US passport or Green CardPart of the MSC Group, MSC Cruises is the market leader in the Mediterranean, South Africa and South America, and sails year-round in the Mediterranean and the Caribbean. Its seasonal itineraries cover northern Europe, the Atlantic Ocean, South America, southern Africa, and the Persian/Arabian Gulf. MSC Cruises was born in the Mediterranean, and draws inspiration from this heritage to create a unique experience for holidaymakers worldwide. As a result of a euro 6.5 billions investment programme launched in 2003, MSC Cruises' fleet comprises 13 state-of-the-art cruise ships belonging to four different classes: Lirica, Musica, Fantasia and Meraviglia. The fleet's average age is 7 years, the youngest in the industry. In 2014, MSC Cruises launched a euro 9 billion, 10 year investment plan to support the second phase of its growth through the order of up to 11 next generation mega cruise ships. As a result, MSC Cruises' fleet will double by 2026, while the passenger capacity will triple to reach five million passengers per year. MSC Cruises is the first cruise company to develop an investment plan of this length and magnitude. MSC Cruises feels a deep responsibility for the environments in which it operates, and was the first company ever to earn the Bureau Veritas ""7 Golden Pearls"" for superior management and environmental stewardship. In 2009, MSC Cruises began an enduring partnership with UNICEF to support various programmes assisting children worldwide.",24h,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846afac4be84eb084ef258305c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_cdfe0792&cb=1668242168084&jobListingId=1008275187156&jrtk=3-0-1ghlflh7im6r8801-1ghlflh86grgv800-edc77e8826e7166e-
"['Lcp Tracker Inc', '4.3']",http://www.lcptracker.com/,Senior UX Designer,"Atlanta, GA",$83K - $115K (Glassdoor est.),"LCPtracker, Inc. is a leading software service provider specializing in construction site compliance related software, headquartered in Orange, CA. Our main solution, LCPtracker Pro, is a powerful web-based SaaS solution for collecting, verifying, and managing certified payrolls and other labor compliance related documents. Over 200 government agencies and 100,000 contractors have used LCPtracker for their certified payroll reporting.
In 2022, our growth continues at a rapid pace, making LCPtracker one of the fastest growing small companies in Orange County, California, recognized by the Orange County Business Journal. In 2017, 2018, 2019, 2020 and 2021 LCPtracker was recognized as an Orange County ""Best Places to Work"" by the Orange County Register.
*
Position Summary*
As Associate Product Manager, you will play a key role in the development of the next generation of LCPtracker’s core product, which will be the catalyst to accelerating our company’s already-rapid growth. You will leverage your passion for solving market problems through empathetic product design to deliver a superior user experience and value for our customers. You will become an expert of your products while growing your knowledge of product management practices and the construction labor compliance industry.",24d,
