Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Planned Parenthood of the Pacific Southwest', '3.5']",http://www.plannedparenthood.org/,Business Intelligence Developer Analyst,"San Diego, CA",$75K - $106K (Glassdoor est.),"Planned Parenthood of the Pacific Southwest has been voted one of the best places to work. We are one of the largest providers of reproductive healthcare in Southern California, operating 19 health centers throughout our three county region. Check out our new video, ""We are Planned Parenthood of the Pacific Southwest for more information about our organization: https://www.youtube.com/watch?v=4JFgoD8pcg0.

Care. No Matter What.

As the Business Intelligence Developer Analyst you will have the opportunity to work with stakeholders across the organization to develop and improve data processes, design and build workflows and optimizations, and build and manage the development of data and analyses that will help drive the decision making for our health care teams.

This position will be responsible for developing and maintaining reports, dashboards, and analytical tools that help develop a data-driven culture throughout the organization; supporting agency databases; and providing direction, oversight, and implementation of code on new development projects.",6d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=000001846a566ce3948374283fdae965&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_775059d1&cb=1668231367838&jobListingId=1008259067097&jrtk=3-0-1ghl5cr95mbgp801-1ghl5cr9pi9hg800-7b5c34470c62af97--6NYlbfkN0D0ff9e8Lfwlpl5zGbQmpn59AL71QmFd7VKOAnfyjZzp5sdngV8WPgYe0dov1m7Y2kc1yX_KeC0C8-dTs7X1TwYdAPc-_M7cF2aRo7k7U6hMOeqJeLN2U6ykrG5WNkXq4F-uC6rf1qseTIUTIB5VJ9Q1jymEyR12G3t1kbD11tsI6CG48qQtxI1VRXQQ8TwNVDqWob_3aJ02LG3E3mzPb8_rmTM6ii9tDqHh-dQAMc20OYBrOGPzSNiRf8Te1hwXDDKT_Kds1S6OZiLx5xBdZJ2wbZy3E8AtJfvO5ERu3_wxgsuteJ451SptTaY2BFQ2IqcQvUC0ZqHyJMUZ03y2KXmL39SbAQe0lXE40JGTOrOqnVb3qyzLyzP7X13VRaNunBQ4dkSZHgmucjJEh8CkdiP4F6HvtC7lnkF7ljVipeDJ70mZ9Wpq5uYKEGoX7qbzygWSQ61hdbzv29eCubTNbaEtsEt9ib251s%3D
"['Southwest Airlines', '4.2']",http://www.southwest.com/,Business Intelligence Developer Analyst,"San Diego, CA",$75K - $106K (Glassdoor est.),"Department: Technology

Our Company Promise

We are committed to provide our Employees a stable work environment with equal opportunity for learning and personal growth. Creativity and innovation are encouraged for improving the effectiveness of Southwest Airlines. Above all, Employees will be provided the same concern, respect, and caring attitude within the organization that they are expected to share externally with every Southwest Customer.

Job Description: Job Summary
Design, write program code, test, document, and implement functionally appropriate, technically sound, and well-integrated application systems in accordance with Customer requirements, organizational methodologies, and standards. Respond to production problems and implement immediate resolution efforts across technology areas.


Fly for free, as a privilege, on any open seat on all Southwest flights—your eligible dependents too.
Up to a 9.3% 401(k) Company match, dollar for dollar, per paycheck.*
Potential for annual ProfitSharing contribution toward retirement - when Southwest profits, you profit.**
swa.is/benefits
There is limited group of states or localities ineligible for Employees to regularly perform their work off-site. Those ineligible locations are Alaska, Delaware, New Jersey, North Dakota, South Dakota, Vermont, West Virginia, and Wyoming.
For eligible Leadership and individual contributor roles, additional bonus opportunities are available and awarded at the discretion of the Company.
Southwest Airlines is an Equal Opportunity Employer. We continue to look for opportunities to reflect the communities we serve, and welcome applicants with diverse thoughts, backgrounds, and experiences. *401(k) match contributions are subject to the plan’s vesting schedule and applicable IRS limits **ProfitSharing contributions are subject to plan’s vesting schedule and are made at the discretion of the Company
Responsibilities
Apply knowledge and skills of software development and testing effectively to solve a range of problems
Work alongside other engineers on the team to elevate technology and consistently apply best practices
Collaborate closely with customers and cross-functional departments to communicate project statuses and proposals
Document each aspect of a system or application as a reference for future upgrades and maintenance
Determine and assess the needs of the user and then create software to meet the requirements
Identify and resolve issues that arise during the design, testing and maintenance processes using problem-solving skills
Work in an agile environment to deliver high-quality software
Prepare and install solutions by determining and designing system specifications, standards, and programming
Mentor junior members on the team
Improve and expand technical capabilities by continuing their education thru reading, workshops, conferences, and/or communities of practice
May perform other job duties as directed by Employee's Leaders
Knowledge, Skills and Abilities
Intermediate knowledge of software development methodologies, practices, concepts, and technologies obtained through formal training and / or work experience
Ability to demonstrate consistent knowledge application, skills of software development, and testing to solve a range of problems
Intermediate knowledge of at least one required programming language
Ability to partner, communicate, and negotiate with various Technology or partner Teams
Ability to analyze and manage large, complex, and vague Business or technical problems, articulating the problem or root cause, and translating the analysis into viable solution recommendations
Ability to take on multiple assignments, whether administrative or project related, while maintaining a successful level of completion in all responsible work
Ability to mentor others to do the same
Ability to develop, present and effectively communicate ideas and strategies to a variety of audiences


Competitive market salary of at least $99,400 per year to $124,300 per year, depending on qualifications and experience. Pay amount does not guarantee employment for any particular period of time .
For eligible Leadership and individual contributor roles, opportunities for additional incentive compensation awarded at discretion of the Company.
Education
High School Diploma or GED
Bachelor's Degree or equivalent work experience; BS, Business, Engineering, Computer Science, or Information Systems, or equivalent formal training
Experience
Intermediate-level experience, fully functioning broad knowledge in software engineering
Licensing/Certification
N/A
Physical Abilities
Ability to perform work duties from [limited space work station/desk/office area] for extended periods of time
Ability to communicate and interact with others in the English language to meet the demands of the job
Ability to use a computer and other office productivity tools with sufficient speed and accuracy to meet the demands of the job
Other Qualifications
Must maintain a well-groomed appearance per Company appearance standards as described in established guidelines
Must be a U.S. citizen or have authorization to work in the United States as defined by the Immigration Reform Act of 1986
Must be at least 18 years of age
Must be able to comply with Company attendance standards as described in established guidelines

Southwest Airlines is an Equal Opportunity Employer.
Please print/save this job description because it won't be available after you apply.",17d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846a566ce3948374283fdae965&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2b411ba3&cb=1668231369642&jobListingId=1008233363182&jrtk=3-0-1ghl5cr95mbgp801-1ghl5cr9pi9hg800-9b05085383b5930c-
"['Southwest Airlines', '4.2']",http://www.southwest.com/,Business Intelligence Developer Analyst,"San Diego, CA",$75K - $106K (Glassdoor est.),"Department: Technology

Our Company Promise

We are committed to provide our Employees a stable work environment with equal opportunity for learning and personal growth. Creativity and innovation are encouraged for improving the effectiveness of Southwest Airlines. Above all, Employees will be provided the same concern, respect, and caring attitude within the organization that they are expected to share externally with every Southwest Customer.

Job Description:
The People of Southwest Airlines come together to deliver on our Purpose, which is to connect People to what’s important in their lives through friendly, reliable, and low-cost air travel. The Tech Lead Software Engineer invests in the future of Southwest’s People through their leadership of a Team of Developers and in their contributions designing and establishing technical developmental standards and processes for Southwest’s use of Workday (Monarch). This role joins the Team at an exciting time, with Workday’s recent implementation for the Company, and they will work collaboratively with Teams in Technology and stakeholders throughout the Company as they facilitate delivery of roadmap capabilities and ensuring a seamless Employee Experience. Time will be allocated across project leadership, technical leadership/mentoring, and software development/system engineering. The Tech Lead Software Engineer is excited to bring their innovative mindset and unique background to the Southwest Family, where they’ll have the opportunity to drive the future of Technology at Southwest.


Fly for free, as a privilege, on any open seat on all Southwest flights—your eligible dependents too.
Up to a 9.3% 401(k) Company match, dollar for dollar, per paycheck.*
Potential for annual ProfitSharing contribution toward retirement - when Southwest profits, you profit.**
swa.is/benefits
For eligible Leadership and individual contributor roles, additional bonus opportunities are available and awarded at the discretion of the company.
U.S. citizenship or current authorization to work in the U.S. required and no current or future work authorization sponsorship available.
There is limited group of states or localities ineligible for Employees to regularly perform their work off-site. Those ineligible locations are Alaska, California, Colorado, Delaware, Denver, Illinois, Massachusetts, Montana, New Jersey, New York, North Dakota, South Dakota, Vermont, West Virginia, and Wyoming.
Southwest Airlines is an Equal Opportunity Employer. We continue to look for opportunities to reflect the communities we serve, and welcome applicants with diverse thoughts, backgrounds, and experiences.

Responsibilities
Provide accurate development estimates in support of feasibility assessments and planned development activities
Create, maintain, review and approve application designs in collaboration with Solution Architects and shared services Teams, ensuring alignment to the appropriate solution architectures and taking tradeoffs into account
Develop, maintain, and review software with a focus on quality and maintainability
Develop, maintain, review, and execute unit, functional, and integration tests with a focus on automation and test-driven development
Provide technical oversight for performance testing, ensuring plan and outcomes align to expected non-functional requirements
Plan and oversee application deployment activities and sequencing in non-production and production environments
Investigate new technologies that could improve the applications and development activities
Identify and resolve technical debt as appropriate, weighing the development effort against the value returned
Mentor and coach Development Team on relevant architecture, design, development, and operations topics
Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems
May perform other job duties as directed by Employee's Leaders
Knowledge, Skills and Abilities
Advanced knowledge of software development methodologies, practices, concepts, and technologies
Advanced knowledge of at least one programming language and at least general knowledge of one or more additional programming languages
Knowledge of project management methodology and principles
Ability to demonstrate strong analytical and problem-solving abilities with a proactive mindset to get ahead of issues
Skilled in communication with ability to articulate a clear direction and priorities on ideas, approaches, concepts, options, risks, impacts, and recommendations to technical, non-technical, and Leadership audiences with ability to adapt the message accordingly
Ability to articulate the technical implementation and how it provides business value
Ability to lead ideation, presentation, and group-thinking sessions
Ability to influence effectively without authority up through Senior Leadership levels to achieve desired business outcomes
Ability to lead multiple efforts concurrently, whether administrative or project related, while maintaining a successful level of completion in their own work
Ability to work in a fast-paced, Team-based, Customer service-oriented environment
Education
High School Diploma or GED
Bachelor's Degree in Business, Engineering, Computer Science, or Information Systems, or related field; or equivalent formal training
Experience
Expert level experience, expansive and far reaching knowledge in software engineering
Licensing/Certification
N/A
Physical Abilities
Ability to perform work duties from [limited space work station/desk/office area] for extended periods of time
Ability to communicate and interact with others in the English language to meet the demands of the job
Ability to use a computer and other office productivity tools with sufficient speed and accuracy to meet the demands of the job
Other Qualifications
Must maintain a well-groomed appearance per Company appearance standards as described in established guidelines.
Must be a U.S. citizen or have authorization to work in the United States as defined by the Immigration Reform Act of 1986.
Must be at least 18 years of age.
Must be able to comply with Company attendance standards as described in established guidelines.

**ProfitSharing contributions are subject to plan’s vesting

Southwest Airlines is an Equal Opportunity Employer.
Please print/save this job description because it won't be available after you apply.",4d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846a566ce3948374283fdae965&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_989c6dfe&cb=1668231373643&jobListingId=1008263328842&jrtk=3-0-1ghl5cr95mbgp801-1ghl5cr9pi9hg800-cedf78d88ebe7ba3-
"['Southwest Airlines', '4.2']",http://www.southwest.com/,Business Intelligence Developer Analyst,"San Diego, CA",$75K - $106K (Glassdoor est.),"Department: Technology

Our Company Promise

We are committed to provide our Employees a stable work environment with equal opportunity for learning and personal growth. Creativity and innovation are encouraged for improving the effectiveness of Southwest Airlines. Above all, Employees will be provided the same concern, respect, and caring attitude within the organization that they are expected to share externally with every Southwest Customer.

Job Description:
Job Summary
Lead and motivate a Team of developers in the planning, delivery, and operation of highly reliable software. Accountable for the technical quality of the software that the Development Team produces and closely collaborates with the Business and other Stakeholders to ensure software meets functional and non-functional expectations. Act as an interface between the Development Team and Leadership, ensuring capacity and skillsets are aligned to meet ongoing delivery expectations. Time is allocated across Project Leadership, Technical Leadership/Mentoring, and Software Development/System Engineering.


We are hiring for multiple roles throughout our Technology Department. Job duties vary based on the position.

Fly for free, as a privilege, on any open seat on all Southwest flights—your eligible dependents too.

Up to a 9.3% 401(k) Company match, dollar for dollar, per paycheck.*

Potential for annual ProfitSharing contribution toward retirement - when Southwest profits, you profit.* *

swa.is /benefits

There is limited group of states or localities ineligible for Employees to regularly perform their work off-site. Those ineligible locations are Alaska, Delaware, New Jersey, North Dakota, South Dakota, Vermont, West Virginia, and Wyoming.

For eligible Leadership and individual contributor roles, additional bonus opportunities are available and awarded at the discretion of the Company.

Southwest Airlines is an Equal Opportunity Employer. We continue to look for opportunities to reflect the communities we serve, and welcome applicants with diverse thoughts, backgrounds, and experiences.
Responsibilities
Provide accurate development estimates in support of feasibility assessments and planned development activities
Create, maintain, review and approve application designs in collaboration with Solution Architects and shared services Teams, ensuring alignment to the appropriate solution architectures and taking tradeoffs into account
Develop, maintain, and review software with a focus on quality and maintainability
Develop, maintain, review, and execute unit, functional, and integration tests with a focus on automation and test-driven development
Provide technical oversight for performance testing, ensuring plan and outcomes align to expected non-functional requirements
Plan and oversee application deployment activities and sequencing in non-production and production environments
Investigate new technologies that could improve the applications and development activities
Identify and resolve technical debt as appropriate, weighing the development effort against the value returned
Mentor and coach Development Team on relevant architecture, design, development, and operations topics
Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems
May perform other job duties as directed by Employee's Leaders
Knowledge, Skills and Abilities
Advanced knowledge of software development methodologies, practices, concepts, and technologies
Advanced knowledge of at least one programming language and at least general knowledge of one or more additional programming languages
Knowledge of project management methodology and principles
Ability to demonstrate strong analytical and problem-solving abilities with a proactive mindset to get ahead of issues
Skilled in communication with ability to articulate a clear direction and priorities on ideas, approaches, concepts, options, risks, impacts, and recommendations to technical, non-technical, and Leadership audiences with ability to adapt the message accordingly
Ability to articulate the technical implementation and how it provides business value
Ability to lead ideation, presentation, and group-thinking sessions
Ability to influence effectively without authority up through Senior Leadership levels to achieve desired business outcomes
Ability to lead multiple efforts concurrently, whether administrative or project related, while maintaining a successful level of completion in their own work
Ability to work in a fast-paced, Team-based, Customer service-oriented environment

Pay Rate

Competitive market salary of at least $133,200 per year to $166,500 per year, depending on qualifications and experience. Pay amount does not guarantee employment for any particular period of time .

For eligible Leadership and individual contributor roles, opportunities for additional incentive compensation awarded at discretion of the Company.
Education
High School Diploma or GED
Bachelor's Degree in Business, Engineering, Computer Science, or Information Systems, or related field; or equivalent formal training
Experience
Expert level experience, expansive and far reaching knowledge in software engineering
Licensing/Certification
N/A
Physical Abilities
Ability to perform work duties from [limited space work station/desk/office area] for extended periods of time
Ability to communicate and interact with others in the English language to meet the demands of the job
Ability to use a computer and other office productivity tools with sufficient speed and accuracy to meet the demands of the job
Other Qualifications
Must maintain a well-groomed appearance per Company appearance standards as described in established guidelines.
Must be a U.S. citizen or have authorization to work in the United States as defined by the Immigration Reform Act of 1986.
Must be at least 18 years of age.
Must be able to comply with Company attendance standards as described in established guidelines.

** ProfitSharing contributions are subject to plan’s vesting schedule and are made at the discretion of the Company

Southwest Airlines is an Equal Opportunity Employer.
Please print/save this job description because it won't be available after you apply.",17d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846a566ce3948374283fdae965&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_69c007e8&cb=1668231381483&jobListingId=1008234191069&jrtk=3-0-1ghl5cr95mbgp801-1ghl5cr9pi9hg800-a998ba5a2e680198-
"['Southwest Power Pool', '4.4']",http://www.spp.org/,Business Intelligence Developer Analyst,"San Diego, CA",$75K - $106K (Glassdoor est.),"Southwest Power Pool (SPP) is about more than power. We’re about the power of relationships. Our employees have the opportunity to work together to ensure electricity is delivered reliably and affordably to the millions of people living in our service territory. We have been voted one of Arkansas’ Best Places to work by Arkansas Business and we are looking for a member of our team who is passionate about our mission to keep the lights on!
We have a core ideology here at SPP that we stand by: Do the right thing, for the right reason, in the right way.
We believe in supporting our employees through a fantastic benefits package:
Competitive pay with bonus opportunities
Excellent insurance package including three great medical plans to choose from, employer-paid short term disability, long term disability, and life insurance


Required",4d,
"['Southwest Airlines', '4.2']",http://www.southwest.com/,Business Intelligence Developer Analyst,"San Diego, CA",$75K - $106K (Glassdoor est.),"Department: People

Our Company Promise

We are committed to provide our Employees a stable work environment with equal opportunity for learning and personal growth. Creativity and innovation are encouraged for improving the effectiveness of Southwest Airlines. Above all, Employees will be provided the same concern, respect, and caring attitude within the organization that they are expected to share externally with every Southwest Customer.

Job Description:
LOCATION: 2702 Love Field Drive, Dallas TX 75235 (May work from home)

DUTIES: Oversees immediate response and maintenance to production program issues. Partners with production testers to identify defects and complete testing. Tests and implements system enhancements using techniques that preserve system integrity. Partners to maintain systems, manages escalation issues and regular functionality. Triages, researches potential defects, and completes repairs; transition of features to Business support. Maintains established procedures and standards to ensure high quality and quantity of work. Analyzes and resolves multiple complex problems without direction. Remains abreast of industry trends and applies to day-to-day work. Understands dependency identification processes in technology work, verifies information and carefully reviews and checks the accuracy of own work. Partners and leads communication within internal and cross-functional teams to achieve goals. Communicates and collaborates with external vendors regarding knowledge sharing and direction. Aligns team for best solution by utilizing experience and offering thought leadership. Expresses ideas clearly and concisely in writing. Understands and adheres to Agile best practices. Proactively identifies problems, performs root cause analysis, investigates information, performs impact analysis; formulates and executes plans to develop solutions with minimal guidance. Identifies strengths and weaknesses of alternative solutions, conclusions, or approaches to problems. Understands at a broad level how technology platforms/architectures are applied to automated business solutions. Must be able to meet any physical ability requirements listed on this description. May perform other job duties as directed by Employee's Leaders.

Bachelor's or foreign equivalent degree in Computer Science, Computer Engineering, Information Systems, Business, or related field and 2 years of experience as a software engineer. Experience therein to include 2 years with Javascript , HTML, CSS/CSS3, Webpack, and React . Must have ability to work from home.

R efer to Job reference code BOLH -W
# SWA

Southwest Airlines is an Equal Opportunity Employer.
Please print/save this job description because it won't be available after you apply.",8d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846a566ce3948374283fdae965&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e0f6cedf&cb=1668231387403&jobListingId=1008255410207&jrtk=3-0-1ghl5cr95mbgp801-1ghl5cr9pi9hg800-a993689844bf6384-
"['Southwest Airlines', '4.2']",http://www.southwest.com/,Business Intelligence Developer Analyst,"San Diego, CA",$75K - $106K (Glassdoor est.),"Department: Technology

Our Company Promise

We are committed to provide our Employees a stable work environment with equal opportunity for learning and personal growth. Creativity and innovation are encouraged for improving the effectiveness of Southwest Airlines. Above all, Employees will be provided the same concern, respect, and caring attitude within the organization that they are expected to share externally with every Southwest Customer.

Job Description:
Job Summary
Advanced experience in designing, writing program code, testing, documenting, and implementing functionally appropriate, technically sound, and well-integrated application systems in accordance with Customer requirements, organizational methodologies, and standards. Identifies and prevents production problems and implement immediate resolution efforts across technology areas. Mentoring Software Engineers, holistic vision of organization and impact, focusing on shift left activities.


We are hiring for multiple roles throughout our Technology Department. Job duties vary based on the position.

Fly for free, as a privilege, on any open seat on all Southwest flights—your eligible dependents too.

Up to a 9.3% 401(k) Company match, dollar for dollar, per paycheck.*

Potential for annual ProfitSharing contribution toward retirement - when Southwest profits, you profit.* *

swa.is /benefits

There is limited group of states or localities ineligible for Employees to regularly perform their work off-site. Those ineligible locations are Alaska, Delaware, New Jersey, North Dakota, South Dakota, Vermont, West Virginia, and Wyoming.

For eligible Leadership and individual contributor roles, additional bonus opportunities are available and awarded at the discretion of the Company.

Southwest Airlines is an Equal Opportunity Employer. We continue to look for opportunities to reflect the communities we serve, and welcome applicants with diverse thoughts, backgrounds, and experiences.

Responsibilities
Drive the technical direction and feature roadmap of large-scale cloud systems
Serve as a technical lead contributing to and directing the efforts of development teams, including internal and external team members
Determines operational feasibility by evaluating analysis, problem definition, requirements, solution development, and proposed solutions
Drives detailed definition of feature requirements through discussions with product managers and customers
Supports continuous improvement by investigating alternatives and new technologies
Prepares and installs solutions by determining and designing system specifications, standards, and programming
Evaluates code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems
Mentor Software Engineers to allow for skill/knowledge development through advice, coaching, and training opportunities
Update job knowledge by studying state-of-the-art development tools, programming techniques and computing equipment; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations
May perform other job duties as directed by Employee's Leaders
Knowledge, Skills and Abilities
Advanced knowledge of software development methodologies, practices, concepts, and technologies obtained through formal training and / or work experience
Proactively shares knowledge and skills of software development and testing to solve a range of problems
Advanced knowledge of at least one required programming language
Excellent partnering, communication, negotiation skills, and execution in working with various Technology or partner Teams
Ability to articulate (verbally / visually) ideas, approach, concepts, options, risk, impact, and provides guidance to technical, non-technical, and Leadership audiences
Ability to lead multiple assignments, whether administrative or project related, while maintaining a successful level of completion in all responsible work
Ability to mentor others
Ability to lead ideating, presentations, mentoring and group-thinking sessions
Ability to influence without authority


Competitive market salary of at least $120,800 per year to $151,000 per year, depending on qualifications and experience. Pay amount does not guarantee employment for any particular period of time .

For eligible Leadership and individual contributor roles, opportunities for additional incentive compensation awarded at discretion of the Company.
Education
High School Diploma or GED
Bachelor's Degree in Business, Engineering, Computer Science, or Information Systems, or related field; or equivalent formal training
Experience
Advanced-level experience, seasoned and specialized knowledge in software development and methodologies
Licensing/Certification
N/A
Physical Abilities
Ability to perform work duties from [limited space work station/desk/office area] for extended periods of time
Ability to communicate and interact with others in the English language to meet the demands of the job
Ability to use a computer and other office productivity tools with sufficient speed and accuracy to meet the demands of the job
Other Qualifications
Must maintain a well-groomed appearance per Company appearance standards as described in established guidelines
Must be a U.S. citizen or have authorization to work in the United States as defined by the Immigration Reform Act of 1986
Must be at least 18 years of age
Must be able to comply with Company attendance standards as described in established guidelines

** ProfitSharing contributions are subject to plan’s vesting schedule and are made at the discretion of the Company

Southwest Airlines is an Equal Opportunity Employer.
Please print/save this job description because it won't be available after you apply.",17d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a566ce3948374283fdae965&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e83cb1d8&cb=1668231389546&jobListingId=1008233363184&jrtk=3-0-1ghl5cr95mbgp801-1ghl5cr9pi9hg800-7879467935598cdc-
"['Southwest Power Pool', '4.4']",http://www.spp.org/,Business Intelligence Developer Analyst,"San Diego, CA",$75K - $106K (Glassdoor est.),"Southwest Power Pool (SPP) is about more than power. We’re about the power of relationships. Our employees have the opportunity to work together to ensure electricity is delivered reliably and affordably to the millions of people living in our service territory. We have been voted one of Arkansas’ Best Places to work by Arkansas Business and we are looking for a member of our team who is passionate about our mission to keep the lights on!
We have a core ideology here at SPP that we stand by: Do the right thing, for the right reason, in the right way.
We believe in supporting our employees through a fantastic benefits package:
Competitive pay with bonus opportunities
Excellent insurance package including three great medical plans to choose from, employer-paid short term disability, long term disability, and life insurance",30d+,
"['Southwest Airlines', '4.2']",http://www.southwest.com/,Business Intelligence Developer Analyst,"San Diego, CA",$75K - $106K (Glassdoor est.),"Department: Technology

Our Company Promise

We are committed to provide our Employees a stable work environment with equal opportunity for learning and personal growth. Creativity and innovation are encouraged for improving the effectiveness of Southwest Airlines. Above all, Employees will be provided the same concern, respect, and caring attitude within the organization that they are expected to share externally with every Southwest Customer.

Job Description:
All of Southwest’s People come together to deliver on our Purpose; Connecting People to what’s important in their lives through friendly, reliable, and low-cost air travel. The Sr Software Engineer supports our Purpose in their work on the Salesforce Center of Excellence Team, where they’ll collaboratively work with the eight Salesforce Organizations across the Company to provide assistance and support. This role is part of a growing and innovative Team, where they’ll utilize Agile methodologies, object-oriented design, and best practices to design, write program code, test, document, and implement appropriate and well-integrated application systems. The Sr level role also provides mentorship to more entry-level CoHearts on the Team. The Sr Software Engineer is excited join Southwest’s Technology space, where they’ll have an opportunity to drive the future of Southwest Airlines.


Fly for free, as a privilege, on any open seat on all Southwest flights—your eligible dependents too.
Up to a 9.3% 401(k) Company match, dollar for dollar, per paycheck.*
Potential for annual ProfitSharing contribution toward retirement - when Southwest profits, you profit.**
swa.is/benefits
For eligible Leadership and individual contributor roles, additional bonus opportunities are available and awarded at the discretion of the Company.
U.S. citizenship or current authorization to work in the U.S. required and no current or future work authorization sponsorship available.
There is a limited group of states or localities ineligible for Employees to regularly perform their work off-site. Those ineligible locations are Alaska, California, Colorado, Delaware, Denver, Illinois, Massachusetts, Montana, New Jersey, New York, North Dakota, South Dakota, Vermont, West Virginia, and Wyoming.
Southwest Airlines is an Equal Opportunity Employer. We continue to look for opportunities to reflect the communities we serve, and welcome applicants with diverse thoughts, backgrounds, and experiences.

Responsibilities
Drive the technical direction and feature roadmap of large-scale cloud systems
Serve as a technical lead contributing to and directing the efforts of development teams, including internal and external team members
Determines operational feasibility by evaluating analysis, problem definition, requirements, solution development, and proposed solutions
Drives detailed definition of feature requirements through discussions with product managers and customers
Supports continuous improvement by investigating alternatives and new technologies
Prepares and installs solutions by determining and designing system specifications, standards, and programming
Evaluates code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems
Mentor Software Engineers to allow for skill/knowledge development through advice, coaching, and training opportunities
Update job knowledge by studying state-of-the-art development tools, programming techniques and computing equipment; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations
May perform other job duties as directed by Employee's Leaders
Knowledge, Skills and Abilities
Large experience working with Cloud based software (Salesforce), Jira, Gitlab, DevOps
Advanced knowledge of software development methodologies, practices, concepts, and technologies obtained through formal training and / or work experience
Proactively shares knowledge and skills of software development and testing to solve a range of problems
Advanced knowledge of at least one required programming language
Excellent partnering, communication, negotiation skills, and execution in working with various Technology or partner Teams
Ability to articulate (verbally / visually) ideas, approach, concepts, options, risk, impact, and provides guidance to technical, non-technical, and Leadership audiences
Ability to lead multiple assignments, whether administrative or project related, while maintaining a successful level of completion in all responsible work
Ability to mentor others
Ability to lead ideating, presentations, mentoring and group-thinking sessions
Ability to influence without authority
Education
High School Diploma or GED
Bachelor's Degree in Business, Engineering, Computer Science, or Information Systems, or related field; or equivalent formal training
Experience
A minimum of 1-year experience with programming Languages – APEX
Minimum of 6 months experience with customization on the Salesforce Lightning platform which should include: Lightning Web Components using the Lightning Design System framework, Apex, Apex data loader, flow, and declarative platform tools. (Process Builder, Visual Workflow, Lightning App Builder, etc.)
Assisted with Salesforce API integration for applications residing on various platforms
Experience using DevOps tools (e.g. GIT, Jenkins, SonarCube, Salesfore DX, etc) Experience with Service or Sales Cloud, Experience Cloud, and Mobile preferred
Advanced-level experience, seasoned and specialized knowledge in software development and methodologies
Licensing/Certification
N/A Physical Abilities
Ability to perform work duties from [limited space work station/desk/office area] for extended periods of time
Ability to communicate and interact with others in the English language to meet the demands of the job
Ability to use a computer and other office productivity tools with sufficient speed and accuracy to meet the demands of the job
Other Qualifications
Must maintain a well-groomed appearance per Company appearance standards as described in established guidelines
Must be a U.S. citizen or have authorization to work in the United States as defined by the Immigration Reform Act of 1986
Must be at least 18 years of age
Must be able to comply with Company attendance standards as described in established guidelines

**ProfitSharing contributions are subject to plan’s vesting

Southwest Airlines is an Equal Opportunity Employer.
Please print/save this job description because it won't be available after you apply.",4d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a566ce3948374283fdae965&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_793398cd&cb=1668231395239&jobListingId=1008263328853&jrtk=3-0-1ghl5cr95mbgp801-1ghl5cr9pi9hg800-aec6225dfae2a266-
"['Southwest Gas', '3.9']",http://www.swgas.com/,Business Intelligence Developer Analyst,"San Diego, CA",$75K - $106K (Glassdoor est.),"The Analyst/Systems is an individual contributor in the Application Services area of the Information Services department who designs use of and participates in configuration, testing and maintenance of application software packages and SWG-developed systems utilizing company standards and practices.
POSITION DIMENSIONS
The incumbent does not have direct accountability for people or budgets. The incumbent may independently direct the work of analyst level employees on specific assignments. The incumbent infrequently exchanges information with officers and frequently exchanges information with members of division management teams, department managers and outside consultants.
QUALIFICATIONS",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a566ce3948374283fdae965&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_67dd390d&cb=1668231399338&jobListingId=1008200194023&jrtk=3-0-1ghl5cr95mbgp801-1ghl5cr9pi9hg800-64dbaa0fb15c430a-
