Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['Stanley Black & Decker', '3.5']",http://www.stanleyblackanddecker.com/,Welder,"Martin, TN",$34K - $46K (Glassdoor est.),"MTD Products Inc and its subsidiaries are wholly owned by Stanley Black & Decker Inc. At MTD Products, we do more than just design, manufacture, market, and sell outdoor power equipment. We are an industry leader driven by a greater purpose to inspire people to care for and enjoy the outdoors. Founded in 1932 and headquartered in Valley City, Ohio, MTD is a global company known for innovation and award-winning lawn mowers, snow blowers and other equipment for both residential and professional markets. Our family of brands includes Cub Cadet®, Troy-Bilt®, Robomow®, Rover®, and WOLF-Garten®.

What You'll Do
As a Mig Welder, you'll be part of our team located in Martin, TN. You'll get to:
Run production
Understand the safe operation of all equipment.

You always strive to do a good job...but wouldn't it be great if you could do your job and do a world of good? You care about quality - at every level. You love to learn and grow and be acknowledged for your valuable contributions. You're not intimidated by innovation. In fact, you embrace it.

You also have:

You'll receive a competitive salary and a great benefits plan:

What's more, you'll get that pride that comes from empowering makers, doers, protectors and everyday heroes all over the world. We're more than the #1 tools and storage company and #2 security solutions provider, with a leading presence in engineered fastening. We're visionaries. Industry 4.0 innovators. As successful as we've been in the past, we have so much further to go. That's where you come in. Join us!

All qualified applicants to Stanley Black & Decker are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran's status or any other protected characteristic.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=0000018469c87db8bc0b871f1679ac5c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b265278a&cb=1668222063747&jobListingId=1008199298782&cpc=F41FEAB56D215062&jrtk=3-0-1ghksgvfjk6e5801-1ghksgvg9ghqn800-194615b22e551f13--6NYlbfkN0Axl9LW8x1ehxrW2RzgUmyklTMVVZpT4b8X2qb2r_eHok3UUvs75yvxON5UaicUe7QbufR3COQ_5uXwZI5tz4GawJchV-8VCBJayrUo2X3cL8uu4FDnlMRLMpf6V0wk55PFXezuwOSlPLDsWmO_XjrDnfb0QHxWSLArZ4xn2_NeC9jFNhruIBhMP9XaeBrhBsRdXEQN5NEqt2vve0nnJ_xkhp4nzn4_tX1izIF79evi9gl6NJRYz-YgaLD2Q-L342FBOvXeplNx1r4Of4UulBwFl8IiIjSBJwvd3cGwtlkfJ_SQcf9RmqukvlvvO7d3VZqQwdW7XqK75E9JE8C6G3BI-LF-F2QrsyeBdx0jzqtueBg8eAvDtVu4tRi1wBoxxQz6zQpZTxwBb7rVdL30nn3Xm_bsc25eiycU17YtksRr_2qZUL7F4YmDKAyuFvYz4kpWsAVBnFIKT6aigpik2PmclV0vPKnsWS5MJDZRQ5hxWsyrrnxOxAYO_zNphBg2wnAxKpVHQskFsS8LNu22wyC2IIFTmBddyAY%3D
"['Stanley Black & Decker', '3.5']",http://www.stanleyblackanddecker.com/,Welder,"Martin, TN",$34K - $46K (Glassdoor est.),"COMPANY OVERVIEW
For the builders and protectors, for the makers and explorers, for those shaping and reshaping our world through hard work and inspiration, Stanley Black & Decker provides the tools and innovative solutions you can trust to get the job done - and we have since 1843. Our commitment to quality, safety and sustainability keeps us focused on our path to becoming the type of uniquely human-centered global industrial company that keeps every stakeholder in mind, while being For Those Who Make The World.

STANLEY Infrastructure, a division of Stanley Black & Decker, is a global manufacturer of hydraulic tools and attachments with world class brands such as STANLEY, Paladin, LaBounty and Pengo. STANLEY Infrastructure has rich history focusing on bringing innovative solutions to market and is recognized around the world for the strength of its people, products and brands.

STANLEY Infrastructure is a growth platform with plans to double it's revenue over the next few years through organic growth and strong corporate M&A commitment.
JOB SUMMARY
The Team Lead must have a high level of mechanical aptitude. Responsibilities shall include the supervision of several shop floor employees, maintaining product quality, safety, and will work with managers and production staff to coordinate production schedules.







PHYSICAL REQUIREMENTS
KNOWLEDGE, SKILLS & ABILITIES

LEADERSHIP QUALITIES

Stanley Black & Decker offers its employees a competitive salary and a comprehensive benefits plan that includes medical, dental, life, disability, 401k, ESPP, vacation, paid holidays, and more! Only those candidates who are currently eligible to work in the US will be considered for the opportunity. Stanley Black & Decker is proud to be an Equal Opportunity Employer.",30d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=0000018469c87db8bc0b871f1679ac5c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_861534b5&cb=1668222070058&jobListingId=1008202988923&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghksgvfjk6e5801-1ghksgvg9ghqn800-88fed9d2c3e99225--6NYlbfkN0Axl9LW8x1ehxrW2RzgUmyklTMVVZpT4b8X2qb2r_eHoiyqoMvKNYJG95_QIonCLeNoiIcJZX3BtPzuhtSfBEUr0IGQz56URrowXHr6hFMjOS0biscJrLkOFwZjlDQNEYQp8rkow_zF2pvWt44mAJzeYlOVF1FLIPo52VYx3Ag7_RykTQWL_BD0CD1dp90pNYBqSnOKClvnnmUpxevDGXz2R8MBM4QmFV6ItVUVuwzjbxTf6JMNa1aYgBAdnUlLov8xQU1ZZQ9RWqRYJ-e_2nHp0otPU1j7pffCo2ZwmmAja2IcNim4lr5cWgsO9TvOypSHayY-waIAzrdeJfbemTVzKaVIsXkKhfNd9j21tybkiSsmKThEaOprvA_Ld0OoDJy_koOuo3KkheR3jT7fCPL5Vea1DCmKzMu_7mYpzQkb9M-QMWztnGq62d7msLBLfmH5yu2gnTielhaZdn2kfKJnXyG6uqmM1Xtdxo5WbcD-jO_jBYgkIfwTQVrG-oZ3JNKefOV-NedTsoQbob8NBYdYC0jbJ7a5Cfc%3D
"['Stanley Black & Decker', '3.5']",http://www.stanleyblackanddecker.com/,Welder,"Martin, TN",$34K - $46K (Glassdoor est.),"MTD Products Inc and its subsidiaries are wholly owned by Stanley Black & Decker Inc. At MTD Products, we do more than just design, manufacture, market, and sell outdoor power equipment. We are an industry leader driven by a greater purpose to inspire people to care for and enjoy the outdoors. Founded in 1932 and headquartered in Valley City, Ohio, MTD is a global company known for innovation and award-winning lawn mowers, snow blowers and other equipment for both residential and professional markets. Our family of brands includes Cub Cadet®, Troy-Bilt®, Robomow®, Rover®, and WOLF-Garten®.

What You'll Do
As an Job Share Assembler, you'll be part of our team located in Martin, TN. You'll get to:
Job Shares will Split a production schedule shift with a Partner
Job Shares are responsible for their own partner.

You always strive to do a good job...but wouldn't it be great if you could do your job and do a world of good? You care about quality - at every level. You love to learn and grow and be acknowledged for your valuable contributions. You're not intimidated by innovation. In fact, you embrace it.

You also have:
What's more, you'll get that pride that comes from empowering makers, doers, protectors and everyday heroes all over the world. We're more than the #1 tools and storage company and #2 security solutions provider, with a leading presence in engineered fastening. We're visionaries. Industry 4.0 innovators. As successful as we've been in the past, we have so much further to go. That's where you come in. Join us!

All qualified applicants to Stanley Black & Decker are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran's status or any other protected characteristic.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=0000018469c87db8bc0b871f1679ac5c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e945001c&cb=1668222072063&jobListingId=1008199298739&cpc=9908D8D4413DBB8A&jrtk=3-0-1ghksgvfjk6e5801-1ghksgvg9ghqn800-6a16bff3309d39df--6NYlbfkN0Axl9LW8x1ehxrW2RzgUmyklTMVVZpT4b8X2qb2r_eHok3UUvs75yvxON5UaicUe7QbufR3COQ_5tokZD0hcIFG7ufbint69YQxRTn1eZdjRchcZg8yD-ekfKF9c1X7FanCQttpXXvNrlctvcNLLbhTiNVIGYY2yUqh9YBQC_CF56P69xoPnyBMTBA1i8dkFzNncKDVawhaT2V_gZw6cb3Q45ALECOALg9z3MrvrqSyFS_6Yw6nwrjAQxd6YETAVNU5XGX-3MPzE7oEfthJBgqi1s2z7hFd8VVmyWTMuBS0IDQyb4TV1tthfK0tsJ9wYHXQ_Hn7VUMIIbgmqi6xsir20toLT2Tmvxww8wbB4X-l7X96-oVO4vgOkyVcrD5frPZNA-aM49trEXv7RPlo3AdFQocwdaSlMgmMAwz6r7hii7EfdbYGZJIb2Ifhomzp8Dde86-hEQW-FqmXc4_YVOCE3Q-2XOWFj7iZfcBXhZah_-elzHMum-EQaZGUve_uJMVTdvcCIGIKXsPbETVcYDjzNAi_qcpjrKs%3D
"['Stanley Black & Decker', '3.5']",http://www.stanleyblackanddecker.com/,Welder,"Martin, TN",$34K - $46K (Glassdoor est.),"Come Make the World with Us. Stanley Black & Decker is hiring in Stanfield, NC. We are looking for a 2nd shift Quality Technician to join the team.
Must know company standards and all customers' requirements to accurately file test reports and complete documentation. Be familiar with various measurement devices; must be able to read blueprints.

Reporting:
Quality Inspection Technician reports to the Quality Manager

Position Responsibilities:
Perform final inspection and acceptance of completed products to assure compliance with company standards and customer requirements
Verify that all processes have been completed and are correct",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=0000018469c87db8bc0b871f1679ac5c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_1787463c&cb=1668222076107&jobListingId=1008199298797&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghksgvfjk6e5801-1ghksgvg9ghqn800-4a0afa90fb0c9ba7--6NYlbfkN0Axl9LW8x1ehxrW2RzgUmyklTMVVZpT4b8X2qb2r_eHoiyqoMvKNYJG95_QIonCLePlyXr-gZo843wPOwc_9lXZ-TcDqMpepMMLZ9yF4vyEwt9ROhNtN9KueGw7qk7lJSpD59-g_yKe1oDaoqcsHWFNOBuO-iz0I4Xi-Dv2uaO4PH_0Y4nEEWF-AEWrwNKoxiFG7WWbVhpJTa31IDG7PLBia6d5PE_yE33WAu4Q9JjqBlP8KWW3tb3jxmlkw_1LDOIts2MTMUdUpZuGOeDIrEfuxBqfAt0SBPP3fdbGeUJ1P2r3xj5-95MVSwQxv1axKY_69eHah1MnJNyjP8fC73TnVHdy3MW3ykCMp3-GahTZQ6asdNSpelNK0oUutMpVK1_6wVHacu3vL_hOB8t2grGWCb1H8r1S8gzEY4amTsbOtLHsCwcqgr0R1keFSTnb8PWaY5R_cuQnK8dkxrdx7myiv9zoM9Ox_k6JTybfxZ3g8dJKqzjXY15Z-JWRSD79GSyBvhMHQKHHmJra7151lAeuMzEiz96y_Kw%3D
"['Stanley Black & Decker', '3.5']",http://www.stanleyblackanddecker.com/,Welder,"Martin, TN",$34K - $46K (Glassdoor est.),"MTD Products Inc and its subsidiaries are wholly owned by Stanley Black & Decker Inc. At MTD Products, we do more than just design, manufacture, market, and sell outdoor power equipment. We are an industry leader driven by a greater purpose to inspire people to care for and enjoy the outdoors. Founded in 1932 and headquartered in Valley City, Ohio, MTD is a global company known for innovation and award-winning lawn mowers, snow blowers and other equipment for both residential and professional markets. Our family of brands includes Cub Cadet®, Troy-Bilt®, Robomow®, Rover®, and WOLF-Garten®.

What You'll Do
As a FL Operator, you'll be part of our team located in Martin, TN. You'll get to:
Load/unload trucks of materials
Scan all finished goods in and out of warehouse locations.

You always strive to do a good job...but wouldn't it be great if you could do your job and do a world of good? You care about quality - at every level. You love to learn and grow and be acknowledged for your valuable contributions. You're not intimidated by innovation. In fact, you embrace it.

You also have:

You'll receive a competitive salary and a great benefits plan:

What's more, you'll get that pride that comes from empowering makers, doers, protectors and everyday heroes all over the world. We're more than the #1 tools and storage company and #2 security solutions provider, with a leading presence in engineered fastening. We're visionaries. Industry 4.0 innovators. As successful as we've been in the past, we have so much further to go. That's where you come in. Join us!

All qualified applicants to Stanley Black & Decker are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran's status or any other protected characteristic.",22d,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=0000018469c87db8bc0b871f1679ac5c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_472966c3&cb=1668222078935&jobListingId=1008221734927&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghksgvfjk6e5801-1ghksgvg9ghqn800-f403a95f9083ff3f--6NYlbfkN0Axl9LW8x1ehxrW2RzgUmyklTMVVZpT4b8X2qb2r_eHok3UUvs75yvxON5UaicUe7R_vC_oELcwWq8eFDdY_0uSvD4PcEJIs8wehFGxB3pRa4UpfRDnw5yfU4_18wHJ5mBRggZ2174DTMly74fjvE8aD4oEyHNi9O4SjZktwzd9DDjhhEH7UOM_KNg_ojAhG-yGPj8WH_Qg8nmGZICYY_GItGcdf5ocEdKxs2KWTg5uvzqYjqPhrNL-H8DAfuxUMklmCuQA45Ak2lXQPilhbO-WCpgh9FCf5Vu5OvY6jnBLzWop7_P8aS-JNCz1p4kghfPXMyTvCxR6oOnC-TA6rl1NkeU7hTQ6o3Xzjiwq6TMDnFHl_oKByAiy_JR1bfY5a9pC2IhyRR1xNunZJCVbvPIyrESKGvtQ5NCSZVNBHn-eZSs294VGGa8xm34ot8Zj0bLk_kSc9VlOd8JU1t8m0ggVKDKaE8rakX5oPJjVNS6Lh6qB2A-ucsbFy-yiC9JRmKV-I_Sv0_nVjcyF8-jkAFbJ7F7rbKagpEs%3D
"['Stanley Black & Decker', '3.5']",http://www.stanleyblackanddecker.com/,Welder,"Martin, TN",$34K - $46K (Glassdoor est.),"Job Summary:

Under general supervision, sets-up and operates machines to produce parts according to specifications, blueprints, and control plans.

Essential Functions:
Sets-up and operates machine per standard work instructions.
Ensures that heading and secondary operations are done according to print.
Ensures hourly checks and all inspection processes are followed.
Actively participate in 6S events to ensure appropriate workplace organization, cleanliness and safety.
Must be able to find run instructions for equipment, control plans, and understands internal and external customer awareness.


Candidate will train on 2nd shift (2pm-10pm)
Permanent shift will be 2nd (2pm-10pm) or 3rd shift (10pm-6am).",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=0000018469c87db8bc0b871f1679ac5c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c525309a&cb=1668222081996&jobListingId=1008199298726&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghksgvfjk6e5801-1ghksgvg9ghqn800-850e79cfdf2dbb7e--6NYlbfkN0Axl9LW8x1ehxrW2RzgUmyklTMVVZpT4b8X2qb2r_eHoiyqoMvKNYJG95_QIonCLePlyXr-gZo848OJNXWh2SlNpDlTT3hEoMyy06kk5vJNxEEkxXUDRAheywNPkYBU2LX7LAAWKsSNuS9tYZUzsD7oEKbfO71uPeKUOegACh0I6KgTLiVdybOP8hr5IwuTYsqQvNYDQiO4WON0XptQt0YLUp8mAw1MaI04sCRJ0-ulsZ0AeTlnSxmn81MtP9aW1eCvPnxtS32c9BmY1WiXqh_qKbG0GUoZ5xUDJZTxpU15eCKOG4uCD0nbKCjHP_n4gEejC2Me-Vi0l9vAIaX9Qbeldfwog6b37N-txntd344TdDSTOBGRfxLRYcUNlcUBbtEFk4ynAJgj4t01qvvsMfwOBGdCRdpCbFA2HPJOpOJjMntWmK6ELh1t3jgJ_xeV8IXfxpRHZ2FeYA6fxNWrBTrpSXZqKYbgSN2Er1qmAGlcD-R49fgw_lAAQqjeW4FktZ20Jl96kKVH4Fwrehz6EE6jRqVnhgZqjCQ%3D
"['Stanley Black & Decker', '3.5']",http://www.stanleyblackanddecker.com/,Welder,"Martin, TN",$34K - $46K (Glassdoor est.),"MTD Products Inc and its subsidiaries are wholly owned by Stanley Black & Decker Inc. At MTD Products, we do more than just design, manufacture, market, and sell outdoor power equipment. We are an industry leader driven by a greater purpose to inspire people to care for and enjoy the outdoors. Founded in 1932 and headquartered in Valley City, Ohio, MTD is a global company known for innovation and award-winning lawn mowers, snow blowers and other equipment for both residential and professional markets. Our family of brands includes Cub Cadet®, Troy-Bilt®, Robomow®, Rover®, and WOLF-Garten®.

What You'll Do
As an Purchasing Buyer, you'll be part of our team located in Martin, TN. You'll get to:
Purchase of MRO Supplies.
Purchase Order Processing.

You always strive to do a good job...but wouldn't it be great if you could do your job and do a world of good? You care about quality - at every level. You love to learn and grow and be acknowledged for your valuable contributions. You're not intimidated by innovation. In fact, you embrace it.

You also have:

You'll receive a competitive salary and a great benefits plan:

What's more, you'll get that pride that comes from empowering makers, doers, protectors and everyday heroes all over the world. We're more than the #1 tools and storage company and #2 security solutions provider, with a leading presence in engineered fastening. We're visionaries. Industry 4.0 innovators. As successful as we've been in the past, we have so much further to go. That's where you come in. Join us!

All qualified applicants to Stanley Black & Decker are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran's status or any other protected characteristic.",24h,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1110586&s=58&guid=0000018469c87db8bc0b871f1679ac5c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3f2f36a9&cb=1668222084916&jobListingId=1008274749302&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghksgvfjk6e5801-1ghksgvg9ghqn800-8563631a6991f790--6NYlbfkN0Axl9LW8x1ehxrW2RzgUmyklTMVVZpT4b8X2qb2r_eHok3UUvs75yvxON5UaicUe7R4qRyrNpDK4PHMMelOqHtEc3BKFqyDW9M4y8PX_ONYzJUWE9YVlpQtgo6dU46MA7DH6AdH4Z9NrSKzg_3oNsgCkBor9mlZZh9WTbhcay0SSLQnhYCxNrKFkkC41_iPZCzIY7_f2ILXGZXfv4_9aDoR6eoJ7s6wk2h_6UbSnQ3GRvF51IYgMFeqLxRy_8-vNvFC3z8F7vky_7a2KXeMzWpH9AqNfW7-axUlK0jFhHK2-DQSI1Z1gKPFoUm6gun54LGJ_SnK_MNxIQN2GD1fG127ZMWIfk98xaqWy0ZkGyeRgQniQGmhydJNbmkcGEuTR5YNUuiEPx6FENHQAlpgqnCWgILps-KAGv9cb_46EU83XXySW-SSHw9CQFnEUJGNLOQvDlwBGdpnOuckhGAmytsRhFdAVoi1P6BwxZjgqqJkihFpXDzIXbrfAad3PRXYPPJ_rxWgK1ZbuS8-3uQcEIjhzbNDADYy59c%3D
"['Stanley Black & Decker', '3.5']",http://www.stanleyblackanddecker.com/,Welder,"Martin, TN",$34K - $46K (Glassdoor est.),"MTD Products Inc and its subsidiaries are wholly owned by Stanley Black & Decker Inc. At MTD Products, we do more than just design, manufacture, market, and sell outdoor power equipment. We are an industry leader driven by a greater purpose to inspire people to care for and enjoy the outdoors. Founded in 1932 and headquartered in Valley City, Ohio, MTD is a global company known for innovation and award-winning lawn mowers, snow blowers and other equipment for both residential and professional markets. Our family of brands includes Cub Cadet®, Troy-Bilt®, Robomow®, Rover®, and WOLF-Garten®.

What You'll Do
As an Assembler, you'll be part of our team located in Martin, TN. You'll get to:
Assist in change over and Lean procedures
Visual inspection of work in process and finished product

You always strive to do a good job...but wouldn't it be great if you could do your job and do a world of good? You care about quality - at every level. You love to learn and grow and be acknowledged for your valuable contributions. You're not intimidated by innovation. In fact, you embrace it.

You also have:

You'll receive a competitive salary and a great benefits plan:

What's more, you'll get that pride that comes from empowering makers, doers, protectors and everyday heroes all over the world. We're more than the #1 tools and storage company and #2 security solutions provider, with a leading presence in engineered fastening. We're visionaries. Industry 4.0 innovators. As successful as we've been in the past, we have so much further to go. That's where you come in. Join us!

All qualified applicants to Stanley Black & Decker are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran's status or any other protected characteristic.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1110586&s=58&guid=0000018469c87db8bc0b871f1679ac5c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_33622183&cb=1668222088784&jobListingId=1008199298799&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghksgvfjk6e5801-1ghksgvg9ghqn800-f5f0ab25c3169b84--6NYlbfkN0Axl9LW8x1ehxrW2RzgUmyklTMVVZpT4b8X2qb2r_eHok3UUvs75yvxON5UaicUe7QbufR3COQ_5jdLnsEA78YWNGQYsvnXJquFeGiNrlukz0pLmae41OZBmlkay4-ogTwjYNK1SaEPj0LVJFfuu1LHW71U0ja5KpPXTilxwosskxb1QZJdAaVoB9t4ITLhsGG-6Vj1xG-mOreU3otQwvxBzyiKupFuCGGjRu_a6NpJzkZAWYLr1ygu2RzC1jLyGRFWYNvTe3oEc5mYNHj2EyKMr_DzT94p4pQLkJenOvwnuZcVzhzYF-eANOU3IVKAX-R5Vp1phhvUypSquc9AQIA12hEiF78KlqG_n1KyRrnMt0NPQf5tH0N9T8kiidsZOl5pRYX_-PquiGVwZLfuYbwKSicBAlQu3Iohb_FCC3ZZ9qed1yykIssjw3OvN6_cBtxxVRyZ9ROpuKgrTsqH1rAEptja8e_pjo5TnW7cVoy9mCrmQE2ODDBoZ9r3otZ22-yq07hYUW3YBEJ0bbaLO6rB-iJ_5W193JM%3D
"['Stanley Black & Decker', '3.5']",http://www.stanleyblackanddecker.com/,Welder,"Martin, TN",$34K - $46K (Glassdoor est.),"MTD Products Inc and its subsidiaries are wholly owned by Stanley Black & Decker Inc. At MTD Products, we do more than just design, manufacture, market, and sell outdoor power equipment. We are an industry leader driven by a greater purpose to inspire people to care for and enjoy the outdoors. Founded in 1932 and headquartered in Valley City, Ohio, MTD is a global company known for innovation and award-winning lawn mowers, snow blowers and other equipment for both residential and professional markets. Our family of brands includes Cub Cadet®, Troy-Bilt®, Robomow®, Rover®, and WOLF-Garten®.

What You'll Do
As an Welder, you'll be part of our team located in Martin, TN. You'll get to:
Run production
Understand the safe operation of all equipment.

You always strive to do a good job...but wouldn't it be great if you could do your job and do a world of good? You care about quality - at every level. You love to learn and grow and be acknowledged for your valuable contributions. You're not intimidated by innovation. In fact, you embrace it.

You also have:

You'll receive a competitive salary and a great benefits plan:

What's more, you'll get that pride that comes from empowering makers, doers, protectors and everyday heroes all over the world. We're more than the #1 tools and storage company and #2 security solutions provider, with a leading presence in engineered fastening. We're visionaries. Industry 4.0 innovators. As successful as we've been in the past, we have so much further to go. That's where you come in. Join us!

All qualified applicants to Stanley Black & Decker are considered for employment without regard to race, color, religion, age, sex, sexual orientation, gender identity, national origin, disability, veteran's status or any other protected characteristic.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1110586&s=58&guid=0000018469c87db8bc0b871f1679ac5c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b3c5e503&cb=1668222090678&jobListingId=1008199298787&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghksgvfjk6e5801-1ghksgvg9ghqn800-7bfbf1e31462ff88--6NYlbfkN0Axl9LW8x1ehxrW2RzgUmyklTMVVZpT4b8X2qb2r_eHok3UUvs75yvxON5UaicUe7QbufR3COQ_5sTdCecvS0t5Z8WUoOth29Baz1lcVXU0yTZXbtzmQ3XvP0kfFRoYH5MTBGsXeTq_H4Rx7_T6DFTqYmJPG5wA43-9rKgMfxA_ta7nP8mMFBB-5h_vvvGzJp8LuhAwoCbCiVEUxPzlVUnVJr4c-JEbasZ7XLvVRPy4mjTEgTGhNR-nAHz-Ob0WdiCm-y-UiDCVx7LG4dRGqyZW1HCCqSdHJh8E1Y-7wAUPhFoeuKMgfFEGgBUj2RTa4hjdkKk7mkep2j5QaWYj-6zC0Ie-QgH6OcL_qh7shGbuiRr74pmM2hHSyi2O4FeShMr17tY9Uq-rAIbEHpw1l6-5oqtNItG9qy86yupXK2X3QVXuK5SY9znHbWWq7yGwaGWhLa_MGQvT9YRunM8Ji5gqwaTIEj8FzmZXRUjpa8bLYpFGC-Mtu0xp5ZjqDOoOaOi8ArqUl13JEgY62K2zH44F_4k1_DZCDmk%3D
"['Stanley Black & Decker', '3.5']",http://www.stanleyblackanddecker.com/,Welder,"Martin, TN",$34K - $46K (Glassdoor est.),"Spray Painter will be responsible for assuring that they follow quality, safety, and production standards. The Spray Painter must also follow Lean Manufacturing and ISO Policies, Procedures, and Work Instructions within their assigned area.

Responsibilities/Authority:
PAINT ALL PARTS
CHECK PAINTED PARTS
MAINTAIN ALL 6S RESPONSIBLIITIES
KEEP ROOM & BOOTHS CLEAN
SQUEEGEE & BLOW OFF CEILING AT DESIGNATED TIMES


1. Good attendance record
2. Must be able to work flexible hours to include overtime
3. Due to OSHA regulations for respirator, beards will not be permitted
4. Must be able to medical evaluation and pass pulmonary function test.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1110586&s=58&guid=0000018469c87db8bc0b871f1679ac5c&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_a7f77e94&cb=1668222092564&jobListingId=1008199298732&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghksgvfjk6e5801-1ghksgvg9ghqn800-0e521df8982900c3--6NYlbfkN0Axl9LW8x1ehxrW2RzgUmyklTMVVZpT4b8X2qb2r_eHok3UUvs75yvxON5UaicUe7QbufR3COQ_5q3vwdGQSyRl9RuMgfC6UBNcNzVu0a6S16SZRgVUL8gD_Vfw7OMOyqPceC4tllPFHyTkrPisYrDjUSBRADE2igyHu16ol9yRn-YzZ8m-SEvLliqTpN_eC_2Sb76SmSsAOPMArGmjl-DoaQci8OABu10wRLMWOtr2-ROyss9HDQQVKsTTagE9wE62feS0B9OARDbq2GsH5sgQQWXVyvfCvak_J6_oRmWhiNQL3NJltVoOGnw8ga-OHoZ5A0wt6F2ELGcy-bqH22r2D50_VPDId81KbP6ON5fCBblv3hVUuDgYULy_L_bqpxAKi1g2Z8qfKcohTP7kW7gtaQGnMe69k77UgqWwTu3aXGLturZFPtNIgcl3tGD6rSWnaDCqMdlhNfQoOOYDqb8CA5pw2_Q3Wdub6xQPfTx7NWKtUReYOYAkt6007LE4gtzZMghoLVu3fyYEwvCAe_D8n7G5EbveHjU%3D
