Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
,,engineer lead (Seattle OR Remote),"Seattle, WA",$66K - $104K (Glassdoor est.),,30d+,
"['Starbucks', '3.8']",http://www.starbucks.com/careers,engineer lead (Seattle OR Remote),"Seattle, WA",$66K - $104K (Glassdoor est.),"This position contributes to success of Starbucks iOS mobile application by developing, implementing, and sustaining test automation, practices, methods, tools and controls in support of the Starbucks iOS mobile application development team. The Lead iOS SDET works as a primary liaison between the iOS SDET team and all other work streams. Considers complete ownership for the automation needs and works closely with the team developing complex UI, API, CI, and environmental systems test automation. Lead iOS SDETs will be expected to take a proactive role in setting up and achieving goals / milestones for the team as well as recommending quality improvements to automation requirements, facilitating automation development, effective automation execution, and assist in the development and implementation of new automation technologies / frameworks. This role will have the primary focus in the development and sustainment of automation frameworks from the ground up with minimal usage of 3rd party frameworks, tools, and GUI driven automation tools.",10d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1110586&s=58&guid=000001846a2f3dba930857ff8b10e6d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f68b2d16&cb=1668228801821&jobListingId=1008250284699&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl2uffdjc9n801-1ghl2ufg0i150800-b25b1294abe1aad4--6NYlbfkN0BQv0ThAOWzDEa3X6WxQZUkcBaVfT8VfFvujX7cb-j-3o2woptUqlEBD4i4Ed1kNE_SkJ13rOEbyxrQHOZOv2SjQdqLVbnZ_SyN-GkBDISVbcSdYIsgDQZSwuCRLK-BfDBqAQwPWTlkRQR_mga0pT2kFrr25EIf1MKAdQvcDNs7P-pnKsKxGcd2MEmmlXYHu2s86LEwcP2mf1x58r_BxEK2fTMIZeWsMmznc1GQIGyQc4oQfL0BUIzY8eaun2gTPwX2Xu0-WOXJhGWpfpJVzQFYHfoWl5jlJjJ31r5gKwyMHpZ2gigM9vuz0jJncU2jW1GSqL7_fAf3I0Na3sLE8Z5v0fbrtsPCE0Ghr7PkmaVWf3LCFv7RctfX0CEg6zx96D9MIoY_Y9BZDMPfWzcAZ2I8c0JMwOSOTGWvTxQNldQORh2V2cFTEyFhfiYXB5GyDbm4FrC7AfCUEmr9MvxELwMH_ghJiib2x7sCnOTzdX51Dg%3D%3D
"['Starbucks', '3.8']",http://www.starbucks.com/careers,engineer lead (Seattle OR Remote),"Seattle, WA",$66K - $104K (Glassdoor est.),"From the beginning, Starbucks set out to be a different kind of company. One that not only celebrated coffee and the rich tradition, but that also brought a feeling of connection. We are known for developing extraordinary leaders who share this passion and are guided by their service to others.
We are seeking an experienced, self-motivated Java engineer with 7+ years of experience in developing implementation applications and 10+ technology experience. As an Engineer lead, you will collaboratively identify, design, develop and deploy technology and process solutions to implement highly scalable reactive application platform solutions in Cloud based Linux environments. This role requires deep technical expertise, domain proficiency, platform depth, and leadership. Typical activities include requirements analysis, solution design, technical development, and process improvement coupled with the ability to drive efforts and solution improvements effectively across various IT and business functions. In addition to delivering new technology and enhancing/supporting existing systems, an effective engineer lead contributes relevant technical, functional, and process expertise, negotiates and drives alignment, and coaches and mentors less-experienced developers. Models and acts in accordance with Starbucks guiding principles.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1110586&s=58&guid=000001846a2f3dba930857ff8b10e6d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_89d3ca22&cb=1668228805628&jobListingId=1008142684257&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl2uffdjc9n801-1ghl2ufg0i150800-3dfcc46dafdbcf17--6NYlbfkN0BQv0ThAOWzDEa3X6WxQZUkcBaVfT8VfFvujX7cb-j-3o2woptUqlEBejjtHhY1zuf2qKpiVlCkeDvY-fRmMkxm4KTZ1zIyZi7j_GILnLNWdg6A-gObWy9xuxVBrQJi4pnSthOzbW8uOoUcjqrmYY1neT4jo5op2siyxZsIo50z_hm5XgdoMsyLC0p2mlfbOBnyjfq85pTaCSYiJrO3aIF0Xfdc8dLbkHyyv9OCCUohNDCiHQj0FeS-RwdWDMz-amFnedm6sjeEGD95GkVx7GuFrDu1lVi8KyiZZHZMqIFQcpW0kM6AFBOWqnlWQWYu7q94D6dJk9tPRHND6eVGMFRIXErEByPJTnmkPuJC6w9izCPW7arR2PalcX7MW1Iazlgyj6eVNZbbby_grDhh9UrouQhCXzljRgYkmpfzKfhxV9r3K1oOGeuo83JJdgOE91PwFEMBR3NjiT7QKCMEzf7_ZH6XjKlCr3TUnRwi42T2zByQOn3PGrKT
"['Starbucks', '3.8']",http://www.starbucks.com/careers,engineer lead (Seattle OR Remote),"Seattle, WA",$66K - $104K (Glassdoor est.),"Cloud Services at Starbucks
At our core we believe technology is a key enabler for growth and is required for business success in the future. We believe Starbucks must advance its technology resources and think long term to innovate and deliver maximum value for our partners, customers, and shareholders. We believe it takes collaboration and partnership to deliver results and we will work across the company to enable sustainable business capabilities- not just fulfill immediate needs. Cloud security is at the fore front of every shared service we deliver.
Job Summary and Mission
As part of the Cloud Services team, you core role will be leading the development and operations of our core cloud infrastructure. This includes all aspects of cloud services within our hybrid environment (private, Azure, AWS). The role will serve as the main operations as well as the subject matter expert for both public and private IAAS/PAAS services. Your mission is to partner with cloud providers, architects, and other infrastructure engineers in developing best practices and reference architectures to ensure resiliency, agility at defined SLA levels.",10d,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1110586&s=58&guid=000001846a2f3dba930857ff8b10e6d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b6384cc8&cb=1668228808593&jobListingId=1008250231156&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl2uffdjc9n801-1ghl2ufg0i150800-c2962528c26e4b95--6NYlbfkN0BQv0ThAOWzDEa3X6WxQZUkcBaVfT8VfFvujX7cb-j-3o2woptUqlEBejjtHhY1zud4Tl8aKWyGIpD2DlBTXTiFkmWP3-Ckap2cB5YcJC_dgOupXXGMTSUqVGLHDwnj8x1QUYDsHoaxTi65SzbrbQIx2JYB-vZlSj0xx-kQFpjCQ8a945v0rXMpGsWUubdUewmwHivrFfm7KatV_nBhBU-0awK8yWYSjoi9naYu5oxuSH5ObED4SMGFTvpYk9jjbRgLaOr5lKldXQJFYd5aYhlGZQANuQg4TUrJHtBkYbLw4I0lDu1YigH_PZRtVlgv2oVRQ21wbR-pNl1tWEm2noZiwoF0yvb_aLMbpF0jLXtHpFn1Xc9YZb1ZdwDM0wnhicg5VfZwgP9t7VXQKazT7d92jFSMxT6u5ViNMoLZ1A4xMQRJsdHxyp2Sa592V2n4qdHVxsF3x2acaknZIqTatdRi_2BDxBeUR-HXNifDW9I5puIuwbC9peP5
"['Starbucks', '3.8']",http://www.starbucks.com/careers,engineer lead (Seattle OR Remote),"Seattle, WA",$66K - $104K (Glassdoor est.),"Job Summary and Mission
The Starbucks Android application is used by millions of users every month and the Android engineering team is growing and innovating quickly to deliver the best possible and inclusive experience to our users. Come join the Starbucks Android engineering team and help evolve mobile engineering at one of the world's most successful digital rewards and loyalty platforms. If you are driven by innovation, purpose-driven work, technical challenges and want to be a part of some amazing, industry-leading work come join us.
As a senior engineer on the team, you will be responsible for driving successful delivery of your work, utilizing your passion and in-depth knowledge of Android accessibility to improve client components, identifying then subsequently helping to drive efforts to mature team practices and improve the native digital platform. This role requires an effective technical collaborator who has core Android development expertise and has built and deployed apps to the Google Play Store.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1110586&s=58&guid=000001846a2f3dba930857ff8b10e6d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_252b9a42&cb=1668228811510&jobListingId=1008142700358&cpc=3BA4CE39D5B5DEF5&jrtk=3-0-1ghl2uffdjc9n801-1ghl2ufg0i150800-ac69d47584eeb976--6NYlbfkN0BQv0ThAOWzDEa3X6WxQZUkcBaVfT8VfFvujX7cb-j-3o2woptUqlEBejjtHhY1zueSYSARaPf-6LiT26ZeC_DoZyQaMU8DUR578S_y8wA9Ay2hrDgKqicUzFPm9-t9iSTQVvB_riwg9XFGqp2yjP1_a4IRrrlgmp2zNYvxYjsf3SLs5SeTyoFvmpf-7Flt83pvavl1Q6ASngch0Sjut8AXxOBwvURAgOBq70Dp7Biq7xlnm8oyI6d1VoooPwdr5IsTPkiLTIDT7D-ZjHw2tD0T0iAJkkosUhBrbd-QTA1c0Hsc9ZxmcFwL-qISq2j26w-aF6py0sBZNz-zuyrnbJx4Vw4HNFhxMZfsccDc3_Ahgm1tF3witFq3hW9XmRErDwwrOHGcNLQm6FksS5c7nOiXd5a6lMNCoEEug4t5EuhPu_8HRXw0NcNIBUXxNpbAo6JcDCByfRMa05qtMhR-mj0aivqvdaKu5ILa5x88fv97COUxYDV9WQDb
"['Starbucks', '3.8']",http://www.starbucks.com/careers,engineer lead (Seattle OR Remote),"Seattle, WA",$66K - $104K (Glassdoor est.),"Job Title: Machine Learning Engineer, Senior
Job Summary and Mission
This position contributes to Starbucks success by driving advancements to Enterprise Data & Analytics Platform and will support the definition, build out, evangelism and deployment of foundational AI capabilities that are critical to democratizing Machine Learning and AI driven applications across the organization.

Models and acts in accordance with Starbucks guiding principles.",30d+,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1110586&s=58&guid=000001846a2f3dba930857ff8b10e6d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b019f11e&cb=1668228813713&jobListingId=1008142674650&jrtk=3-0-1ghl2uffdjc9n801-1ghl2ufg0i150800-1ecbbf2617b4897f--6NYlbfkN0BQv0ThAOWzDEa3X6WxQZUkcBaVfT8VfFvujX7cb-j-3o2woptUqlEBejjtHhY1zuf2qKpiVlCkeIU9az0EWCMq3KXrPsAQD6q8pRpVpPLSTG8wSgHYlc7BEX_f4bLhzaIT9j8ILnFIysp0yBX3rAM3ud7tng8OUl6iaTi5syr34PGtrf265YRsdeaW58jVbMz9UxVS9Kj01taGy7u9U0R93fGNxz-LQhmkS5Xb8H4hnD16jIY8JKziRVVZvgT-0qriVbHtgQSnVu4yRo4282YKdfIgH5AdgFS6z2sG92SjioslgtF6MRg0rTfI-tRK5hCkF9xk967rV4NDdlZXbVYM4XlZJi4f4KoVamei0aEMgObmn4a29iLlIMdUBvdBO2bgYqjcCaSORtrwaIeOr-zFAGwrFvNHW8pJ_dvubGl64gilTiEHf2jXzlaK3nPMmckgj3B3vmyQgVY2A15jbRO_QXSxBsYOa70jmgVVVVvDdcka9nTLcV_C
"['Starbucks', '3.8']",http://www.starbucks.com/careers,engineer lead (Seattle OR Remote),"Seattle, WA",$66K - $104K (Glassdoor est.),"Job Posting
: Nov 7, 2022
Job Posting End Date
: Ongoing
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Remote",30d+,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846a2f3dba930857ff8b10e6d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b80b0307&cb=1668228815504&jobListingId=1007824802412&jrtk=3-0-1ghl2uffdjc9n801-1ghl2ufg0i150800-01e0123aa8671d7c-
"['Starbucks', '3.8']",http://www.starbucks.com/careers,engineer lead (Seattle OR Remote),"Seattle, WA",$66K - $104K (Glassdoor est.),"Job Posting
: Oct 26, 2022
Job Posting End Date
: Ongoing
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Hybrid",16d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846a2f3dba930857ff8b10e6d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_51540309&cb=1668228817380&jobListingId=1008236025640&jrtk=3-0-1ghl2uffdjc9n801-1ghl2ufg0i150800-7c8c90c6df08fc35-
"['Starbucks', '3.8']",http://www.starbucks.com/careers,engineer lead (Seattle OR Remote),"Seattle, WA",$66K - $104K (Glassdoor est.),"Job Posting
: Oct 3, 2022
Job Posting End Date
: Dec 3, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Hybrid",30d+,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846a2f3dba930857ff8b10e6d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_25f1d382&cb=1668228821243&jobListingId=1008028400201&jrtk=3-0-1ghl2uffdjc9n801-1ghl2ufg0i150800-b07b9d45dd7df645-
"['Starbucks', '3.8']",http://www.starbucks.com/careers,engineer lead (Seattle OR Remote),"Seattle, WA",$66K - $104K (Glassdoor est.),"Job Posting
: Aug 3, 2022
Job Posting End Date
: Ongoing
Location
: US-WA-Seattle-Starbucks Support Center United States
Is this role eligible for remote or hybrid work? : Yes-Remote",30d+,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846a2f3dba930857ff8b10e6d0&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_b5b1005e&cb=1668228823298&jobListingId=1008051420017&jrtk=3-0-1ghl2uffdjc9n801-1ghl2ufg0i150800-2fb95d1f92587704-
