Company_Name,Company_Link,Title,Location,Estimated_Salary,Job_Description,Job_Age,Application_Link
"['State Farm', '3.7']",http://www.statefarm.com/,Software Engineer - Salesforce,"Tempe, AZ",$85K - $135K (Employer est.),"Overview:
Do you crave innovation and want to work for a company that is the BEST at what they do in the industry? Does the opportunity to work remote and maintaining a work life balance appeal to you? Then we have the perfect job for you! We are seeking software engineers who push the envelope and strive to create the best product possible. This position will allow you to utilize different technologies, languages, and frameworks to drive solutions while working on inclusive teams that foster diversity of thought. You will be provided opportunities via in house training programs for upskilling to support your development and career goals!
Responsibilities:
As a Software Engineer, you will be a part of a small group of software engineers that work on our associate facing Salesforce org focusing on Service & Experience Clouds. You will help enhance this Salesforce org to provide a better experience for our contact center representatives and agency support users. The team is an agile based software development team that is passionate about the difference their work makes to our end users and to State Farm.
Qualifications:",8d,www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=000001846b6bc30494264996ff92d032&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_8b61ad17&cb=1668249542980&jobListingId=1008255027744&jrtk=3-0-1ghlmngrojcbq801-1ghlmngs9ghqu800-b79373dd3421b962-
"['State Farm', '3.7']",http://www.statefarm.com/,Software Engineer - Salesforce,"Tempe, AZ",$85K - $135K (Employer est.),"Overview:
*** Accepting applications through 5pm CST on 11/14/2022***
Do you crave innovation and want to work for a company that is the BEST at what they do in the industry? Does the opportunity to work remote and maintaining a work life balance appeal to you? Then we have the perfect job for you! We are seeking software engineers who push the envelope and strive to create the best product possible. This position will allow you to utilize different technologies, languages, and frameworks to drive solutions while working on inclusive teams that foster diversity of thought. You will be provided opportunities via in house training programs for upskilling to support your development and career goals!
Responsibilities:
Join the Enterprise Technology General Departments and Finance Department as an Software Engineer on the Customer Communications Infrastructure product team!
Qualifications:",3d,www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=000001846b6bc30494264996ff92d032&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_f3c9d10d&cb=1668249546140&jobListingId=1008266566300&jrtk=3-0-1ghlmngrojcbq801-1ghlmngs9ghqu800-3c2e817f7998a038-
"['State Farm', '3.7']",http://www.statefarm.com/,Software Engineer - Salesforce,"Tempe, AZ",$85K - $135K (Employer est.),"Overview:
We are not just offering a job but a meaningful career! Come join our passionate team!
As a Fortune 50 company, we hire the best employees to serve our customers, making us a leader in the insurance and financial services industry. State Farm embraces diversity and inclusion to ensure a workforce that is engaged, builds on the strengths and talents of all associates, and creates a Good Neighbor culture.
We offer competitive benefits and pay with the potential for an annual financial award based on both individual and enterprise performance. Our employees have an opportunity to participate in volunteer events within the community and engage in a learning culture. We offer programs to assist with tuition reimbursement, professional designations, employee development, wellness initiatives, and more!
Visit our Careers page for more information on our benefits, locations and the process of joining the State Farm team!
Responsibilities:
Qualifications:",3d,www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=000001846b6bc30494264996ff92d032&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_3306eabe&cb=1668249547867&jobListingId=1008265541256&jrtk=3-0-1ghlmngrojcbq801-1ghlmngs9ghqu800-d94924e5a7da500a-
"['State Farm', '3.7']",http://www.statefarm.com/,Software Engineer - Salesforce,"Tempe, AZ",$85K - $135K (Employer est.),"Overview:
We are not just offering a job but a meaningful career! Come join our passionate team!
REMOTE: Qualified candidates (outside of hub locations listed below) may be considered for 100% remote work arrangements based on where a candidate currently resides or is currently located.
HYBRID: Qualified candidates (in or near hub locations listed below) should plan to spend time working from home and some time working in the office as part of our hybrid work environment.
HUB LOCATIONS: Dunwoody, GA; Richardson, TX; Tempe, AZ; or Bloomington, IL
As a Fortune 50 company, we hire the best employees to serve our customers, making us a leader in the insurance and financial services industry. State Farm embraces diversity and inclusion to ensure a workforce that is engaged, builds on the strengths and talents of all associates, and creates a Good Neighbor culture.
We offer competitive benefits and pay with the potential for an annual financial award based on both individual and enterprise performance. Our employees have an opportunity to participate in volunteer events within the community and engage in a learning culture. We offer programs to assist with tuition reimbursement, professional designations, employee development, wellness initiatives, and more!
Responsibilities:
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=000001846b6bc30494264996ff92d032&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e1e99f36&cb=1668249551785&jobListingId=1007318156349&jrtk=3-0-1ghlmngrojcbq801-1ghlmngs9ghqu800-611f12e356e70970-
"['State Farm', '3.7']",http://www.statefarm.com/,Software Engineer - Salesforce,"Tempe, AZ",$85K - $135K (Employer est.),"Overview:
Do you crave innovation and want to work for a company that is the BEST at what they do in the industry? Then we have the perfect job for you! We are seeking software engineers who push the envelope and strive to create the best product possible. This position will allow you to utilize different technologies, languages, and frameworks to drive solutions while working on inclusive teams that foster diversity of thought. You will be provided opportunities via in house training programs for upskilling to support your development and career goals!
Responsibilities:
The Enterprise Technology Billing and Payments(B&P) team is seeking a Software Engineer to assist with the AWS migration work and ongoing B&P priority work. This is an AWESOME opportunity to help the team rearchitect and migrate the 15 CPDS web services from TP2 to AWS Cloud. The AWS Software Engineer's role in projects is to build, maintain, monitor and/or integrate AWS-based computer systems and data.
Qualifications:",30d+,www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=000001846b6bc30494264996ff92d032&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_77a011d7&cb=1668249555573&jobListingId=1008198464795&jrtk=3-0-1ghlmngrojcbq801-1ghlmngs9ghqu800-87aece86959fdfb7-
"['State Farm', '3.7']",http://www.statefarm.com/,Software Engineer - Salesforce,"Tempe, AZ",$85K - $135K (Employer est.),"Overview:
Do you crave innovation and want to work for a company that is the BEST at what they do in the industry? Does the opportunity to work remote and maintaining a work life balance appeal to you? Then we have the perfect job for you! We are seeking software engineers who push the envelope and strive to create the best product possible. This position will allow you to utilize different technologies, languages, and frameworks to drive solutions while working on inclusive teams that foster diversity of thought. You will be provided opportunities via in house training programs for upskilling to support your development and career goals!
Responsibilities:
Our Digital Experience team is seeking a full-stack software engineer that will enhance the online Auto Shopping capabilities for our customers. This is a great opportunity to join a fast-paced and outcome-focused team that is given autonomy in delivering critical business and technical capabilities. This job is for you if you are passionate about customer experience and have a strong desire to work on a product that will directly impact our customers. You will have the opportunity to reimagine the Auto shopping experience, innovate on new ideas, and develop new capabilities to drive auto growth for the enterprise.
Qualifications:",21d,www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=000001846b6bc30494264996ff92d032&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_2ec5f492&cb=1668249557431&jobListingId=1008226407143&jrtk=3-0-1ghlmngrojcbq801-1ghlmngs9ghqu800-676cc4e6e5fef91b-
"['State Farm', '3.7']",http://www.statefarm.com/,Software Engineer - Salesforce,"Tempe, AZ",$85K - $135K (Employer est.),"Overview:
We are not just offering a job but a meaningful career! Come join our passionate team!
As a Fortune 50 company, we hire the best employees to serve our customers, making us a leader in the insurance and financial services industry. State Farm embraces diversity and inclusion to ensure a workforce that is engaged, builds on the strengths and talents of all associates, and creates a Good Neighbor culture.
We offer competitive benefits and pay with the potential for an annual financial award based on both individual and enterprise performance. Our employees have an opportunity to participate in volunteer events within the community and engage in a learning culture. We offer programs to assist with tuition reimbursement, professional designations, employee development, wellness initiatives, and more!
Visit our Careers page for more information on our benefits, locations and the process of joining the State Farm team!
Check out our Enterprise Technology department!
Responsibilities:
Qualifications:",29d,www.glassdoor.com/partner/jobListing.htm?pos=107&ao=1136043&s=58&guid=000001846b6bc30494264996ff92d032&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_50787b97&cb=1668249559277&jobListingId=1008206925359&jrtk=3-0-1ghlmngrojcbq801-1ghlmngs9ghqu800-becebb7bb39c12d2-
"['State Farm', '3.7']",http://www.statefarm.com/,Software Engineer - Salesforce,"Tempe, AZ",$85K - $135K (Employer est.),"Overview:
Then we have the perfect job for you! We are seeking software engineers who push the envelope and strive to create the best product possible. This position will allow you to utilize different technologies, languages, and frameworks to drive solutions while working on inclusive teams that foster diversity of thought. You will be provided opportunities via in house training programs for upskilling to support your development and career goals!
Responsibilities:
This position is for a Software Engineer - Mainframe assigned to a team within the Auto Policy Administration System Product Suite. As a Software Engineer - Mainframe within this team, you will be providing critical support for our legacy (mainframe based) Auto applications and playing a critical role in enabling our modernization efforts (Java). This team integrates closely with teams that support rating and change of Auto policies.
Qualifications:
A competitive candidate should possess the following:",3d,www.glassdoor.com/partner/jobListing.htm?pos=108&ao=1136043&s=58&guid=000001846b6bc30494264996ff92d032&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_c782b939&cb=1668249561214&jobListingId=1008265541258&jrtk=3-0-1ghlmngrojcbq801-1ghlmngs9ghqu800-09a4086e2134097f-
"['State Farm', '3.7']",http://www.statefarm.com/,Software Engineer - Salesforce,"Tempe, AZ",$85K - $135K (Employer est.),"Overview:
Do you crave innovation and want to work for a company that is the BEST at what they do in the industry? Does the opportunity to work remote and maintaining a work life balance appeal to you? Then we have the perfect job for you! We are seeking software engineers who push the envelope and strive to create the best product possible. This position will allow you to utilize different technologies, languages, and frameworks to drive solutions while working on inclusive teams that foster diversity of thought. You will be provided opportunities via in house training programs for upskilling to support your development and career goals!
Responsibilities:
Our Digital Experience team is seeking a full-stack software developer that will contribute to key self-service capabilities for our customers across State Farm products and business lines.
You will be a part of the digital aggregation team that provides capabilities to the award winning State Farm mobile application and customer’s web experience with State Farm. The team is focused on delivering self-service and growth capabilities, and is also involved in modernization efforts for the business and technology moving towards AWS. gives you the opportunity to work with multiple business lines via integration with all business areas including Alliance Partners, Claims, Mutual Funds and Insurance.
Qualifications:",22d,www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=000001846b6bc30494264996ff92d032&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_bf6ea608&cb=1668249565008&jobListingId=1008222450286&jrtk=3-0-1ghlmngrojcbq801-1ghlmngs9ghqu800-bf59ef5d8b2ee46e-
"['State Farm', '3.7']",http://www.statefarm.com/,Software Engineer - Salesforce,"Tempe, AZ",$85K - $135K (Employer est.),"Overview:
We are not just offering a job but a meaningful career! Come join our passionate team!
As a Fortune 50 company, we hire the best employees to serve our customers, making us a leader in the insurance and financial services industry. State Farm embraces diversity and inclusion to ensure a workforce that is engaged, builds on the strengths and talents of all associates, and creates a Good Neighbor culture.
We offer competitive benefits and pay with the potential for an annual financial award based on both individual and enterprise performance. Our employees have an opportunity to participate in volunteer events within the community and engage in a learning culture. We offer programs to assist with tuition reimbursement, professional designations, employee development, wellness initiatives, and more!
Visit our Careers page for more information on our benefits, locations and the process of joining the State Farm team!
Responsibilities:
Qualifications:",3d,www.glassdoor.com/partner/jobListing.htm?pos=110&ao=1136043&s=58&guid=000001846b6bc30494264996ff92d032&src=GD_JOB_VIEW&t=SR&vt=w&cs=1_e838f602&cb=1668249567896&jobListingId=1008265541254&jrtk=3-0-1ghlmngrojcbq801-1ghlmngs9ghqu800-23fbf81cd751330c-
